名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
岩前村Yanqiancun,http://travel.qunar.com/p-oi10067059-yanqiancun,"

地址:
肇庆市端州区岩前宝环大道

",岩前村位于七星岩景区外围东侧青莲湖畔、紧邻星湖大道，交通十分便利，景色优美，外侧有肇庆环星湖绿道。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/b14d06726cbff15ae0c7582c477b54f3.jpg_480x360x95_df33363f.jpg,4.4,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
鼎湖山Dinghu Mountain,http://travel.qunar.com/p-oi705881-dinghushan,"

地址:
肇庆市鼎湖山风景区


电话:
0758-2302822


官网:
http://www.dhs.scib.cas.cn/

",岭南有四大名山，即鼎湖山，罗浮山，西樵山及丹霞山，鼎湖山是四大名山之首。它是知名的旅游胜地，拥有着千姿百态的流泉飞瀑、林木茂盛的原始森林、丰富的亚热带植物，在这里你可以爬山享受森林氧吧。鼎湖山还是有名的佛教圣地，这里有唐朝就已建立的知名古刹白云寺和庆云寺，前来祈福的香客很多，庆云寺还是岭南四大名刹之一，香客们可以来此烧香祈福。鼎湖山包括天溪、天湖、云溪三大景区，必游的景点有宝鼎园、庆云寺、飞水潭、蝴蝶谷。景区内部有电瓶车，可搭乘由大门至宝鼎园、蝴蝶谷、庆云寺三处景点，并可以分段乘坐。电瓶车的顺序是先宝鼎园再蝴蝶谷再庆云寺，祈福后建议步行下山，因为可以路过飞水潭，并且适当的步行自行游山还是很推荐的。当然如果实在觉得累，也可以在庆云寺坐电瓶车返回大门。宝鼎园古典文化浓郁，建筑古朴别致，以展示中国古代鼎文化为主题，里面有各种知名鼎的复制品，比如龙纹鼎、秦公鼎还有纪念香港、澳门回归的宝鼎复制品及端溪龙皇砚和九龙宝鼎。庆云寺它位于鼎湖山中部偏东的山谷中，座西面东，具有浓重的东方建筑艺术特色，寺内文物古迹甚丰，佛教文化浓郁，与广州光孝寺、韶关南华寺和潮州开元寺并称为岭南四大名刹。蝴蝶谷需要注意的是，这里门票另外收取，它由碧湖、小岛、森林三部分组成，要进入蝴蝶谷，必须乘坐游船。荡舟鼎湖上享受清净时光，然后可以登上愿望岛，走近蝴蝶园，蝴蝶园据游客描述目前真的蝴蝶较少，标本还比较美，离开蝴蝶谷后是进原始森林寻幽探险。蝴蝶谷原始森林植被丰富多样，谷内溪水潺潺、飞瀑繁多，有人字瀑、白象瀑等多个瀑布，欣赏自然美景。,5月1日-10月31日 5:30-18:30；11月1日-次年4月30日 6:00-18:00；蝴蝶谷游船：9:00-16:30,https://img1.qunarzz.com/travel/d0/1602/f8/0a38c8cdf1044f7.jpg_480x360x95_25eb96e6.jpg,4.5,建议游览时间：4小时 - 1天,雨水充沛，温度适宜。冬不见大雪、夏不见酷热。9月份秋高气爽，适宜出游。,"{'鼎湖山门票成人票\n\n': ['¥70起'], '星湖旅游景区开心100星湖卡大小同价\n\n': ['¥100起'], '鼎湖山蝴蝶谷游船票成人票\n\n': ['¥30起']}",景区除公务车辆外，禁止任何其它社会车辆进入。,1
七星岩景区,http://travel.qunar.com/p-oi7475871-qixingyanjingqu,"

地址:
广东省肇庆市端州区迎宾大道七星岩旅游度假区内

",岩顶名嵩台，相传是天帝宴请百神之所。岩下有一特大的石室洞，洞口高仅2米余，洞内穹窿宽广，顶高达30余米，石乳、石柱、石幔遍布其间。洞中有地下河，泛舟遨游可览璇玑台、黑岩、鹿洞、光岩等景。石室洞内最著名的还在石刻，洞口有唐李邕所书的《端州石室记》碑刻。洞内摩崖石刻林立，计有270余处，上自唐宋，下至明清，多出自名家之手，有“千年诗廊”之称。石洞右侧有水有宫，它始建于明朝，1957年重修，依山榜水，红墙绿瓦，与岩前五龙亭、飞龙桥遥相辉映。石室岩上的揽月亭和水月...岩顶名嵩台，相传是天帝宴请百神之所。岩下有一特大的石室洞，洞口高仅2米余，洞内穹窿宽广，顶高达30余米，石乳、石柱、石幔遍布其间。洞中有地下河，泛舟遨游可览璇玑台、黑岩、鹿洞、光岩等景。石室洞内最著名的还在石刻，洞口有唐李邕所书的《端州石室记》碑刻。洞内摩崖石刻林立，计有270余处，上自唐宋，下至明清，多出自名家之手，有“千年诗廊”之称。石洞右侧有水有宫，它始建于明朝，1957年重修，依山榜水，红墙绿瓦，与岩前五龙亭、飞龙桥遥相辉映。石室岩上的揽月亭和水月宫倒映入湖，其景甚妙，被称为“水月岩云”。,07:00-17:30,https://img1.qunarzz.com/travel/d3/1602/66/830d94dc185abcf7.jpg_480x360x95_5474492b.jpg,4.0,建议游览时间：4小时,夏季和冬季最佳。七星岩风景区绿树成荫，凉风习习，年均气温21.6℃，夏季最高月均气温28.9℃，冬季最低月均气温13.4℃，是一个御寒避暑的游览胜地。,"{'七星岩门票成人票\n\n': ['¥70起'], '星湖旅游景区开心100星湖卡大小同价\n\n': ['¥100起'], '七星岩竹筏全景游船票成人票\n\n': ['¥57起']}",,1
肇庆古城墙(宋城一路)Duanzhou Ancient City Wall,http://travel.qunar.com/p-oi707815-zhaoqingguchengqiang,"

地址:
肇庆市端州区正西路6号(康乐居东北)

", 端州古城墙位于肇庆市区宋城路一带，始建于宋代。它呈长方形，制高点在城北披云楼，是广东仅存的完整古城墙，也是文化名城肇庆的标志性建筑。古城墙近千年来经过多次修葺，有非常多个品种的砖墙，是活生生的“砖的博物馆”。它虽算不上雄伟壮观，但却有其独特的味道。一般从北门“朝天”上去城楼，城楼上即见居民和住宅。房子就直接建在古城墙上，城墙就犹如居民家的围墙，有时候，还可以见到居民在遛狗。想想看，昔日官兵驻防，御敌门外的城墙上，现在这么一幅市井的画面，实在是有很意思的场景。原城墙四角各有角楼，后来皆被毁，如今较为宏伟的就是重建的披云楼。沿着宋城路往西走，在十字路口左转到清风坛，城墙内有一座“宋代古城墙”石碑，从旁边铁门进入就可上到城楼近看披云楼。国内其实古城墙不少，但是比起那些收费的，开发的较好的古城墙，肇庆的古城墙却依然有着它自己的小感觉、小味道。它是免费的，也是亲民的。回望古城墙，墙的一边和任何一座城市没有任何区别，一派都市的样子。但隔着一座墙，却圈出了一片悠然自得。,全年 8:00-17:30,https://img1.qunarzz.com/travel/d5/1702/7d/4f74314f2dcacab5.jpg_480x360x95_466c3b9b.jpg,4.3,建议游览时间：0.5小时,雨水充沛，温度适宜，年平均气温22.1℃。冬不见大雪、夏不见酷热。9月份秋高气爽，适宜出游。,具体收费情况以现场公示为主,,1
砚洲岛Yanzhou Island,http://travel.qunar.com/p-oi715915-yanzhoudao,,,,,,,,,,1
紫云谷Ziyungu,http://travel.qunar.com/p-oi3367741-ziyungu,"

地址:
肇庆市东南郊烂柯山


电话:
0758-2638618

",紫云谷是西江羚羊峡保护区的重要组成部分，景区内自然风光十分优美，由于这里交通便利，旅游资源丰富，因此许多都市人都把此地当作回归大自然、保健养生的最佳生态旅游线路。在这里游客可以醉心于优美的大自然风景之中，呼吸山林中清新的氧气，弄瀑戏水、沐浴山泉，享受生活。紫云谷景区的四条豪华游轮是整个西江羚羊峡段唯一的旅游船只，游客游览完景区后，更可坐上游轮享受不一样的动态旅游。春夏之际更是烟雾弥漫，气象万千，让游客全身心感受羚羊峡峡两岸美景，并可观看到砚坑城墙、大小龙门、羚关古道、清风阁、晒衣坑、出入山虎口、文殊村等胜景。还有，紫云谷因出产中国四大名砚之首的“端砚”而闻名，中国品质最好的端砚都出自于紫云谷的老坑、坑子、麻子坑。当然不能错过寻访三大名坑以及古端砚遗址。,8：00-22：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/88f812edfe5774b484b744a8076365f0.jpg_480x360x95_48c25ec6.jpg,4.4,建议游览时间：3小时,,"{'紫云谷电子导览服务大小同价\n\n': ['¥7起'], '广东肇庆棕榈谷丛林越野基地\n\n': ['¥188起'], '【酒店套餐】肇庆瑞涛酒店(鼎湖山店)+可选晚餐/星湖年卡（七星岩+鼎湖山+湿地公园+梦幻奇趣园）\n\n': ['¥399起']}",,1
棕榈谷丛林越野基地,http://travel.qunar.com/p-oi38035544-zonglu:guconglinyueye,"

地址:
肇庆市高要区回龙镇恒大世纪梦幻城北侧约1000米棕榈谷花园


电话:
0758-8166333

",,全年 09:30-18:30,,0.0,,,,,1
星湖旅游景区Star Lake Tourism Area,http://travel.qunar.com/p-oi711024-xinghulu:youjingqu,"

地址:
肇庆市北郊4公里处


电话:
0758-2528138


官网:
http://www.xhglj.com.cn/

",肇庆星湖风景名胜区包括“七星岩”和“鼎湖山”两大景区，共有景点100多个，是久负盛名的旅游胜地。七星岩景区以岩峰、湖泊、溶岩地貌为主要景观。七座岩山排列状如天上北斗，镶嵌在碧波荡漾约9000亩的湖面上，岩峰挺秀，湖水清澈，绰约多姿，兼西湖之秀，阳朔之美。摩岩石刻，历史悠久，雕刻刀功，令人叹为观止，为国家重点保护文物。文人墨客，史迹众多。仙女湖充满仙气、灵气、古朴自然；“禾花仙女”、“出米洞”等传说故事，美丽动人；灵鸟仙鹤，展翅飞翔。“卧佛含丹”天然奇景，尉为壮观。水上泛舟更是快意悠悠，船在水中行，宛自画中游，如梦如幻。,7:30-17:30,https://img1.qunarzz.com/travel/d2/1711/6d/6beda0e2e8cbacb5.jpg_480x360x95_a9372395.jpg,4.6,建议游览时间：4小时 - 5小时,只要是晴天，哪个季节来都会收获很棒的景色。,"{'鼎湖山门票成人票\n\n': ['¥70起'], '七星岩门票成人票\n\n': ['¥70起'], '七星岩星湖湿地公园游船票成人票\n\n': ['¥57起']}",,1
盘龙峡生态旅游区Panlongxia Ecological Tourism Zone,http://travel.qunar.com/p-oi710388-panlongxiashengtailu:,"

地址:
肇庆市德庆县官圩镇463乡道


电话:
0758-7235038,020-84358922

",盘龙峡位于肇庆市德庆县官圩镇，它是个综合的生态旅游区。盘龙峡的植物非常多，环境很好，它也是广东省摄影家协会拍摄基地。盘龙峡的游览从近山顶的瀑布区开始，这里有大大小小的水车群，宛如一个童话般的水车世界，这是全广东较大的水车群景观。然后沿着栈道穿越瀑布群，瀑布分为东西两部分，整体落差达约300米。东瀑布在不到200米的距离就有四到五个落差达60多米的瀑布，西瀑布群则以雄伟闻名，其中腾龙瀑布落差约86米。 游览过盘龙峡谷后往下走就是薰衣草世界，一眼望去，田地中种满了不同品种的薰衣草，有羽叶薰衣草、狭叶薰衣草、齿叶薰衣草等。不同的花朵不同的味道，羽叶薰衣草更是不分季节地绽放着，当然薰衣草盛开的季节还是春季，这里的春天格外的美丽。盘龙峡还有漂流及温泉可玩，可以按照去的季节选择，如果你是夏季来盘龙峡，不妨体验下“中国勇士第一漂”，非常的刺激。如果是冬季则可以去泡下温泉解乏。,全年 08:30-18:00,https://img1.qunarzz.com/travel/poi/1503/29/f91fd19e984156.jpg_480x360x95_03da7426.jpg,3.6,建议游览时间：3天 - 6天,这里一年四季都可以漂流，特别提醒的是秋季是薰衣草的季节适合拍照。,"{'盘龙峡生态旅游区观光门票成人票\n\n': ['¥60起'], '盘龙峡生态旅游区观光门票优待票\n\n': ['¥30起'], '盘龙峡生态旅游区电子导览服务大小同价\n\n': ['¥9起']}",,1
西江Xijiang River,http://travel.qunar.com/p-oi709474-xijiang,"

地址:
肇庆市德庆县肇庆全境

",西江流经肇庆全境，它的北岸为肇庆市区，南岸为高要城区，这段江面风景秀丽，名胜古迹众多，可以乘船游览。西江的主要景点都包括在羚羊峡、大鼎峡和三榕峡这“三峡”中，其中有名的景点是“砚渚清风”。相传当年包公离开端州时，百姓感念他的功绩就赠给他一块端砚，两袖清风的包公坚辞不受，将其扔进西江中，结果砚台化成小岛。当地人为纪念包公，称小岛为“砚州岛”，并在岛上建了包公祠。后人称这里为“砚渚清风”。此外，“西江三峡”还有羚峡归帆、桃溪夕照、白沙夜月、榕峡钓台等景点。西江水质优良，江水青碧，盛产肥美河鲜，一年四季，来此旅游的客人都能品尝到西江出产的美味河鲜。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/19d31df96f56f183ddb12cfb.jpg_480x360x95_54d6012a.jpg,4.4,建议游览时间：1小时,肇庆冬不见大雪，夏不见酷热，9月份秋高气爽，适宜出游。,具体收费情况以现场公示为主,,1
