名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
中国彩灯博物馆Chinese Lantern Museum,http://travel.qunar.com/p-oi712230-zhongguocaidengbowuguan,"

地址:
自贡市自流井区中华路公园路6号


电话:
0813-2304003,0813-2303934,0813-2305061


官网:
http://www.lantern-museum.com/

",中国彩灯博物馆位于彩灯公园内，是中国彩灯收藏、保护、研究和展示的专门机构。整体建筑以灯为主题，远看仿佛一组大型宫灯，此起彼伏，流光溢彩。春节的时候这里会举办灯会，很多游客和当地人都会来参观，灯光绚丽，非常漂亮。展馆内分四大部分，分别是序厅、中国彩灯历史厅、中外彩灯风情厅、自贡彩灯精品厅。展示的灯具从远古时期的陶灯到运用现代声光电技术制作的彩灯，一应俱全。,8:30-17:30；晚上预约专场开灯。,https://img1.qunarzz.com/travel/d7/1603/eb/3d51a77ca48a0ef7.jpg_480x360x95_1205f0e0.jpg,4.6,建议游览时间：2小时 - 3小时,,{'彩灯公园动物园门票成人票\n\n': ['¥18起']},,1
自贡恐龙博物馆Zigong Dinosaur Museum,http://travel.qunar.com/p-oi713560-zigongkonglongbowuguan,"

地址:
自贡市大安区燊海井路4段268号


电话:
0813-5801235,0813-5802095,0813-5801234,0813-5801000


官网:
http://www.zdm.cn/

","自贡恐龙博物馆位于自贡市东北部，建在“大山铺恐龙化石群遗址”上。它是我国专门性恐龙博物馆，被誉为""东方龙宫""，来这里可以了解与恐龙有关的各种知识。博物馆有两层，一楼摆有18具恐龙骨架，硕大无比，十分震撼。在恐龙遗址厅可以看到数以千计的化石首尾相接，排布有序，令人眼花缭乱，叹为观止。二楼可以去看看“恐龙再现”展厅，这里用声光电模拟出恐龙当年生活的场景，非常真实。",10/8-12/31 08:30-17:30;10/1-10/7 08:30-18:30,https://img1.qunarzz.com/travel/d5/1702/17/d56587e08bb227b5.jpg_480x360x95_00d5c36b.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'自贡恐龙博物馆门票成人票\n\n': ['¥40起'], '自贡恐龙博物馆门票优待票\n\n': ['¥20起'], '自贡恐龙博物馆门票双人票\n\n': ['¥80起']}",,1
仙市古镇Ancient Town of Xianshi,http://travel.qunar.com/p-oi706520-xianshiguzhen,"

地址:
自贡市沿滩区自富路附近


电话:
0813-7980675

",仙市古镇依偎在釜溪河畔，这千年古镇经历了无数的风风雨雨仍然风韵犹存。这里不是热门的旅游古镇，几乎没有商业气息，可以感受到古朴、宁静的原始古镇氛围。在仙市古镇游玩，大可不必走马观花，古镇充满悠闲、宁静的气息，可以慢慢游览。街道上林立着许多清代建筑，独具风格，拿相机拍下这这些建筑，就可以得出一幅幅人文建筑风景照。镇内有许多佛教庙宇，佛像雕塑林立，长年香火缭绕，古刹钟声回荡古镇，在庙内烧香拜佛求平安是不错的选择。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1503/b5/70e2f0f029b497.jpg_480x360x95_c911a420.jpg,4.3,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
燊海井Shenhai Well,http://travel.qunar.com/p-oi7469427-shenhaijing,"

地址:
自贡市大安区阮家坝山下


电话:
0813-5106214


官网:
http://www.zgshjly.com/

",燊海井坐落在自贡市大安区阮家坝山下，是土法生产井盐的“活化石”，是中国古代钻井工艺成熟的标志。燊海井开凿于清道光三年，看过的人都会被深深地震撼到，有1000多米深，古人的智慧是无穷的。景区内有师傅用着传统的方式煮盐、抬盐，看着看着会有一种回到过去的感觉。景区内很大，如果只是逛一逛，可能不能深入了解。有条件的建议请一位讲解，可以了解到很多与盐有关的知识和当地盐业的历史故事。,夏季（2月-10月）8:30-17:30；冬季（11月-次年1月）8:30-17:00。,https://img1.qunarzz.com/travel/poi/1408/27/fb85e4015b92a0a3ffffffffc8d65eac.jpg_480x360x95_6b4fec31.jpg,4.4,建议游览时间：1小时 - 2小时,,"{' 燊海井门票成人票\n\n': ['¥25起'], ' 燊海井门票学生票\n\n': ['¥13起'], ' 燊海井门票老人票\n\n': ['¥13起']}",,1
荣县大佛Giant Buddha in Rong County,http://travel.qunar.com/p-oi704489-rongxiandafo,"

地址:
自贡市荣县旭阳镇大佛街大佛寺1号


电话:
0813-6161156,0813-6108789,0813-6200354

",荣县大佛寺景区位于四川省自贡市荣县城区大佛街大佛寺一号，是国家4A级旅游景点、四川省文物保护单位，距自贡34公里，处于成渝高速公路中段，沿自雅公路可直达景区。以其隽美而享誉神州，素有“乐山大佛雄，荣县大佛美”之民间赞誉，为世界第二大石刻佛像。。大佛寺坐落在荣县城郊大佛山（亦称真如岩）山麓，山门书题“大佛禅寺”，以石刻大佛命名。大佛寺始建于唐代，气势雄伟、衣纹流畅、慈眉善目、神韵飘然，是古代艺术家和劳动人民匠心独运的上乘之作，是中国石刻遗存之艺术瑰宝，1956年大佛寺被四川省人民政府批准为省级文物保护单位，待批为全国重点文物保护单位。是川南旅游线上著名的文物旅游景点和游览胜地。,9:00-17:30，具体开放时间详见景区公示。,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1551990771599100v12000000ryw1r8B0F_D_640_10000.jpg_480x360x95_2f4bfeb2.jpg,4.2,建议游览时间：1小时 - 2小时,,"{'荣县大佛门票成人票\n\n': ['¥10起'], '荣县大佛手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥9起']}",,1
盐业历史博物馆Salt Making Industry History Museum,http://travel.qunar.com/p-oi706195-yanyelishibowuguan,"

地址:
自贡市市区解放路173号


电话:
0813-2202083,0813-2205577


官网:
http://www.zgshm.cn/

",盐业历史博物馆原为到自流井经营盐业的陕西盐商集资兴建的西秦会馆，始建于清乾隆元年(公元1736年)。它不仅是一个博物馆，也是一个精美的建筑，融明清两代宫廷建筑和民间建筑于一体，规模宏大、金碧辉煌。在博物馆内观赏，如果单是参观展品会很难了解到它具体的使用方法和价值。请一个导游会非常不错，导游会讲解各种器具的知识和价值，可以了解到它们背后的故事和惊叹于古人的智慧。,全年 08:30-17:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20201/697c9649359fc6b977bd72c83b892339.jpg_480x360x95_c8fd7140.jpg,4.5,建议游览时间：1小时 - 2小时,,"{' 盐业历史博物馆门票成人票\n\n': ['¥35起'], ' 盐业历史博物馆门票学生票\n\n': ['¥17起'], ' 盐业历史博物馆门票老人票\n\n': ['¥17起']}",,1
富顺文庙Fushun Confucian Temple,http://travel.qunar.com/p-oi702153-fushunwenmiao,"

地址:
自贡市富顺县文庙正街179~183号


电话:
0813-7290686,0813-7113805

",富顺文庙位于四川省富顺县城中心，是中国保存完好、规模宏大、建筑精美的宋代建筑。在四川省所有文庙中，富顺文庙以其建筑规模、保存完好以及独特的建筑、雕刻艺术而独树一帜。富顺文庙有“五绝”。一是棂星门由3组石坊组成，中间一组石柱高达22.65米，为各地文庙所罕见。二是大成殿面积532平方米，共用大圆柱50根，殿高30米，整个梁枋、檐板都是精雕的龙凤麟狮、虫鱼花鸟。三是孔子石刻像奇。此像不着冕旒，线条简洁明朗，衣着飘逸自然、形象逼真，是稀世珍品。四是龙的世界。文庙内有大大小小各具形态的雕龙300多条，有浮腾在20余米高空的巨龙，有蜿蜒于泮池“状元桥”上的九龙，大成殿屋脊上有飞龙。五是崇圣祠上裸体男陶人之“谜”。在1986年翻修富顺文庙崇圣祠屋面时，发现正脊梁三重琉璃亭塔式宝鼎中有一座古铜色裸体男陶像，其身高25厘米，肩宽10厘米，右手向上举过头顶，左手自然垂下，五官清晰。,全年 09:00-17:00,https://img1.qunarzz.com/travel/poi/1803/79/d95ac07c7f366937.jpg_480x360x95_c468fd63.jpg,4.4,建议游览时间：2小时,四季皆宜。,具体收费情况以现场公示为主,,1
三多寨镇Sanduo Stockaded village,http://travel.qunar.com/p-oi712877-sanduozhaizhen,"

地址:
三多寨镇牛口山


电话:
0813-2202124

",整个寨堡的建制，俨然是一座封闭的城垣、独立的王国，易守难攻，全川罕见。近年的三多寨，每年春季都会有梨花节，因为梨花而名声远扬。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8cbbe920c2d999b35355c3399835862f.jpg_480x360x95_f359a1e8.jpg,4.1,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
飞龙峡,http://travel.qunar.com/p-oi703143-feilongxia,"

地址:
四川自贡市风景秀丽、环境幽雅的农团山区


电话:
0813-8210658

",飞龙峡位于自贡市风景秀丽、环境幽雅的农团山区，距城区18公里，因峡谷像一条腾飞的巨龙而得名。农团尖山自然风景旅游区以林地和湖光山色为主要特色，景区内有7个主要景点，分别是：尖山湖、农团山、狮子湾卢德铬故居、永安古镇、开后宫、何乐祠、金银湖。,8:00 - 17:00,,--,,,60元,,1
高石梯森林公园Sichuan Gaoshiti Forest Park,http://travel.qunar.com/p-oi713228-gaoshitisenlingongyuan,"

地址:
自贡市荣县铁厂镇山王井荣路


电话:
0813-6260199

",高石梯森林公园位于自贡市荣县，公园地貌奇特，巨石、奇峰、沟谷、山溪形成了典型的川南区低山地貌的自然景观。早在清光绪33年就被作为外国人在四川的四大避署之地。高石梯森林公园林木繁茂，风景优美。主要景观有：九霄顶：九霄顶系公园较高峰，群山环抱，重峦迭嶂，有大小山峰30余个，远望九霄顶像，一朵菌菇，又像一只撒翅伏臣，正在孵蛋的天鹅，俗称“天鹅抱蛋”；双狮拜象：北端的“老林口”，树木繁茂，地势险要，山形奇特。远看如罗汉领着两头狮子，在向大象顶礼膜拜，称“双狮拜象”；石笋凌空：“鹅公颈”下有一沟，沟名“石笋沟”，沟底有一峰矗立，刺向蓝天，人称石笋山。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e2f91d7d83130e720abd724a9cd89a1a.jpg_480x360x95_cc8b6844.jpg,4.7,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
