名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
东极岛风景区East Pole Island Scenic Area,http://travel.qunar.com/p-oi709650-dongjidaofengjingqu,"

地址:
舟山市普陀区东极镇东极庙子湖岛


电话:
0580-6048002

","东极岛位于舟山群岛东侧，这里有古朴的渔家风情，可以看日出、品海鲜、玩海钓，很适合与亲友一起度假。韩寒导演的电影《后会无期》在这里取景，让这个祖国东端的神秘岛屿闯入人们的视线。所谓“东极岛”其实是一个统称，它由4个有人居住的岛屿和许多无人小岛组成。主岛庙子湖岛，是当地政府所在地。它的西边是黄兴岛，几乎无人居住，没有交通船，游客也基本不会去；东边是青浜岛，因为岛上建筑依山而建，看起来像布达拉宫，因此被当地人称做“海上布达拉宫”，适合远观；东福山岛是我国能看到海上第一缕阳光的地方，是不少人看日出的首选。前往东极岛必须在沈家门半升洞码头乘船，平日每天8:30有一班船发往庙子湖岛，11:00左右返程。旅游旺季和周末、节假日会有加班船，单程2小时左右。因此建议前一晚住在沈家门，第二天一早赶早班船出发，平日若是错过了船就得滞留一天了。比较常规的游玩时间大约2-3天，行程安排推荐8:30乘东极轮从半升洞码头出发，大约10:40到达庙子湖，在庙子湖的候船厅购买11:00庙子湖岛-东福山岛的船票，转乘东福轮前往东福山岛。中午在旅馆登记入住，吃一碗海鲜面，下午轻装开始游玩。东福山岛的景色很好，是东极诸岛中性价比较高的，深入的游玩方式是徒步环岛，虽然比较耗费体力，但很值得。沿着海岸线往北，大树湾石屋群不仅能看到当地特有的石屋，而且这里海湾的海水很蓝，可以看到明显的海水颜色分界线。往南走，可沿着岛上的水泥路依次游玩风电场、白云宫、陨石瀑布、象鼻峰，景色很美。西南面有一块福如东海石刻，风景也不错，可以躺在岩石上休息。要做好徒步2-4小时的准备，其中一些地方比较陡，一双舒适的鞋子会让你轻松不少。第二天一早是此行的重点，三四点前往第一缕阳光观测台看祖国的海上日出，颇有美感和仪式感。每天8:30、12:00有船返回庙子湖岛，如果行程赶，看完日出便可以返程了，想继续逛逛或者睡个回笼觉也没问题，注意轮船的时间就好。这两班船会路过青浜岛，岛上相对衰败，但也安静原始，感兴趣可以上岛看看，然后再去到庙子湖岛，随意逛逛而后乘11:00的船返回沈家门。庙子湖岛比较商业化，已经有环岛的观光车（50元/人）。岛上石码头附近写着“东极”的石碑，许多人在这里留影。另外，东边的山上有一尊财伯公高举火把的塑像，也是标志之一。这尊塑像在《后会无期》中露过脸，被大家爱称为“自由男神像”。关于吃饭：东极岛吃的以海鲜为主，比较推荐吃住在渔家或者旅馆 ，比较实惠，事先谈好价格就好。一般一份素菜20元左右，海鲜50-60元一份。岛上散布的海鲜面馆也可以尝试，20元左右一碗，不一定吃得惯，但也是体验当地风情的途径之一。想要享受夜排档吃海鲜的感觉，可以去庙子湖石码头附近的海鲜大排档。不过6-9月禁渔期野生海鲜很少，养在塑料盆里的所谓“正宗野生海鲜”基本都是人工养殖的，而且价格较贵。关于住宿：东极岛的住宿集中在庙子湖岛和东福山岛，相比之下，庙子湖岛虽然住宿选择较多，但想体验更纯粹的海岛风情还是推荐住在东福山岛。可以住在塔塔青年旅舍，这家旅馆是一所小学改造的，有空旷的操场和无敌海景，平日海景双人间160元，到了码头可以让老板去接你。""",全天开放,https://flight-feed.qunarzz.com/as3/308/image/2021/4/886ecbf2-8cfc-41d4-a5c7-1abea0002d89.jpeg_480x360_82dfa394.jpeg,4.6,建议游览时间：6天 - 9天,,"{'东极岛朱家尖蜈蚣峙码头-庙子湖单程船票+明信片套餐成人票\n\n': ['¥127起'], '东极岛庙子湖-朱家尖蜈蚣峙码头回程船票+明信片套票成人票\n\n': ['¥127起'], '【酒店套餐】舟旅南苑海上丝绸之路酒店1间1晚+双人早餐+双人次温汤+双人下午茶1份+双人东沙景区畅游\n\n': ['¥1198起']}",1.出海乘坐休闲渔船观光、垂钓，请选择正规的休闲渔业公司，正规休闲渔船上印有“浙普渔休XX号”，船靠岸时不要拥挤，在工作人员的帮助下上下船，游客上船后一定要穿好救生衣并坐稳。不要乘坐小型渔船和小型快艇。2.游客也可以选择旅游观光车代步，环岛包车或者拼车游玩。3.东极夏天易受台风天气影响，届时请您根据相关部门和渔家民宿业主的相关建议，合理安排行程，台风天气为了您的人身安全，请勿外出，更不要到码头或者岸边走动。4.关于徒步旅行，由于东福山岛环岛所需时间较长，大概需要4个小时，如果游客要步行环岛请注意出行前可咨询当地人或者所住渔家的经营者，以便更好的安排时间和行程，尽量不要单独出行，出行时带好通讯设备或者找当地人陪同出行；环岛时根据指示牌和警示牌所指尽量走大路，远离杂草丛生的小路和危险地段；不要攀爬礁石、岩石，不要在礁边湿滑地带行走。5.海钓游客请特别注意，不要到海浪汹涌的礁石上垂钓，注意涨潮时间，救生衣不离身，严禁向海面投撒化学饵料，请保护我们的海洋资源，钓上幼鱼请放生，离开时请携带好垃圾。6.观日出：观日出夏季一般清晨4时出发，东极亭是庙子湖岛观日出的最佳地点，东福山岛还有世纪第一缕曙光观测点。7.在东极您品尝野生海鲜时，为防止肠胃不适，请您在吃时最好蘸一下米醋或芥末，并注意别一下子猛吃，应少量为宜，等肠胃适应后再加量品尝。海鲜需要煮熟，海鲜啤酒同吃易惹痛风，吃海鲜后不要立即吃水果或喝茶。东极海鲜价格时有变动，您在点菜时请提前向经营者询价，以防发生纠纷。如果您是一位“驴友”，在野外进行野餐、烧烤等活动，离开时请您务必把火种熄灭，以免发生火灾。,1
普陀山风景区Putuo Mountain Scenic Area,http://travel.qunar.com/p-oi711581-putuoshanfengjingqu,"

地址:
舟山市普陀山梅岑路85-1号（普陀山正山门旅游服务中心，普陀山售票窗口旁边）


电话:
0580-3191919,0580-3889090

",普陀山是观音菩萨的道场，有“海天佛国”的美誉。普济、法雨、慧济三大寺，还有33米高的南海观音立像，是游人香客们都不愿错过的景观。宜人的山海风光是普陀山另一动人之处，漫步千步沙，远眺海上卧佛，非常享受。普陀山岛位于舟山本岛的东部，与外界不通公路，只能乘船上岛来到普陀山码头。整个岛呈长条状，长度约有7公里，岛上景点之间距离在2-10公里之间不等，距离较近的景点可以步行游玩，较远的可在码头旁的客运站里乘坐岛上的旅游线路车游览。另外，岛上的佛顶山可乘索道游览，普陀山东部约5公里的小岛洛迦山可乘船游览（该岛只能从普陀山岛乘船前往，属于普陀山景区的一部分。普陀山风景区内的景点主要分布在三个区域，每个区域的景点可以放在一起游玩，游玩每个区域大概需要半天时间，游客可以根据自己的住宿地和到达岛上的时间安排行程。第一区域：以普济寺为中心，围绕有西天景区等位于岛西侧的景点。其中普济寺是全岛最大的寺院，也是全山供奉观音的主刹，普济寺的旁边是普陀山三宝之一的多宝塔。西天景区内则有磐陀石、心字石、梅福禅院等众多景点。第二区域：南边的南海观音、紫竹林、不肯去观音院、南天门等景点，其中的南海观音是岛上的标志性建筑，不肯去观音殿则拥有普陀山传奇的传说，不能错过。第三区域：以佛顶山为主，旁边有法雨寺、慧济禅寺两个寺院，普陀山三宝的另外两宝九龙藻井和杨枝观音碑，一个在法雨寺内，一个在法雨寺旁的杨枝禅院内。另外，如果时间允许，还可以乘船前往洛迦山，大概需要大半天时间，传说洛迦山上的求子观音十分灵验，可以前去参拜。除了这些宗教景点之外，在岛东侧还分别有千步沙和百步沙两个优良的海滨浴场，千步沙靠近法雨寺，百步沙则靠近紫竹林附近，喜欢观海玩水的游客可以前去。所以，一般游玩普陀山景区大概需要2-3天时间，需要在岛上住宿和吃饭。岛上的物价比岛外贵，所以如果可能的话尽量带一些零食和饮料，在岛上吃海鲜价格一般较高，要做好准备。岛上的三大寺院分别为游客准备素斋，价格便宜又是岛上特色，值得一试。岛上的住宿地有很多，宾馆、客栈、农家乐各种标准的住宿都有，不过一般价格都高于外面，周末和节假日会涨价，而且还需提前预定，需要做好准备。,全年 06:20-21:50,https://img1.qunarzz.com/travel/poi/1808/a9/181dfb4c9a2c1037.jpg_480x360x95_9baac48e.jpg,4.7,建议游览时间：6天 - 9天,四季皆宜因普陀山季风气候，夏无酷暑，冬无严寒，四季皆适合观光，尤以4-10月最宜，若时间允许，建议避开旺季，如春节、五一、国庆、农历二月十九（观音生日）、六月十九日（观音成道日）、九月九日（观音涅槃日），及每个月的农历初一，若想观览佛事盛况，则可专门挑选此时段。夏季适合漫步海滩，亲吻碧海，十月适合品尝海鲜，香会期间，适合进香礼佛，游客按需选择即可。,"{'普陀山风景区门票+朱家尖至普陀山往返船票成人票\n\n': ['¥230起'], '普陀山风景区门票+朱家尖至普陀山单程船票成人票\n\n': ['¥200起'], '普陀山风景区门票成人票\n\n': ['¥170起']}",1、在景区注意安全，雨天注意防滑，勿要去没有路的地方。2、在景区注意防火，不要吸烟，上香小心火患。3、在海边游泳，建议提前自备衣物，岛上物价较高。4、夏日南方天气炎热，海滩没有遮挡，注意防晒防暑，海边风大，多加衣服，小心着凉。5、摄影爱好者可在寺院周围照相，寺院内部禁止照相。6、观音香会期间到普陀山旅游必须提前订票、订房，房价也有大幅度上涨，烧香所用香火最好也提前准备。7、禁止旅客携带超规格香棒（长度超过60厘米，直径超过1厘米）进山。朱家尖客运中心设有临时寄存点，若有携带，可登记保存，待返程后取回。8、吃海鲜最好不要喝啤酒，和葱姜一起吃，可以杀菌暖胃。9、根据近期游客消息，各寺院斋饭仅午饭对外开放（10:30开始卖饭票），数量有限，按时排队购买。10、去普陀山需要徒步很久，建议穿着舒适的徒步鞋。11、普陀山除景区门票外，部分大寺庙要另收香火券，晚上17:30以后免票。12、朱家尖至普陀山的旅客只需有效二代身份证和银行卡，即可自助购买普通客船船票，购票时需注意船次的选择，购票成功后无需取票，凭有效二代身份证即可检票通关，建议游客们携带好有效身份证件。,1
花鸟岛Huaniao island,http://travel.qunar.com/p-oi9201499-huaniaodao,"

地址:
舟山市嵊泗县花鸟乡


电话:
0580-5596999,0580-5596998

",花鸟岛花鸟岛位於浙江省舟山市嵊泗列岛的北面，关于花鸟岛名字的由来，流传的版本很多，普遍的说法是，这个海岛形如展翅欲飞的海鸥，花木漫山遍野，岛上繁花似锦， 因此得名。岛民多唤作“花脑山”的，文学家解读为“众花山之主脑”，意指周边的诸岛虽美，还是无法媲美花鸟，岛民对生养其上的家园的爱护与自豪，毫不隐讳。另由於岛上终年云雾缭绕， 故又名雾岛。地理位置位于东经122°40′，北纬30°50′，距嵊泗本岛25.9千米。地处国际航道，位于马鞍列岛北部，四面环海，东邻公海。花鸟以岛设乡，隶属嵊泗县，下辖花鸟村与灯塔村两个行政村。四季分明，气候宜人，光照充足，昼夜温差较小。景点1）花鸟灯塔花鸟灯塔坐落在花鸟岛（即花鸟山）西北角的山嘴上，地理位置为北纬30度51分，东经122度40分。，因其地理位置重要、规模巨大、功能齐全、历史悠久且具有国际影响。花鸟灯塔的塔身呈圆柱形，高16.5米，下部为白色，混凝土砖石结构，上部为黑色，材料主要是铁板。灯塔内部分四层楼面。塔顶为铜铸圆顶，装风向板。顶层使用巨大的玻璃作为墙体，安装有光源。一开始由英国人赫德出资，从上海招来劳工建造，于1870年建成。此后灯塔也由英国管理，1916年进行了重修。2）佛手石（五指石）耸立于花鸟山北侧山崖，形如手掌，指间分明，又因近处有庙宇，而手形又似佛教礼仪中单手立掌作问询状，故称佛手石（五指石）。佛手石很适合观看日出，当霞光跳出海平面后，整个小岛渐渐苏醒，渔民们即将出海捕鱼，这样的美景朴素却又格外珍贵。3）荧光海荧光海又称“蓝眼泪”，其原理是海面上有很多夜光藻，在海浪的拍击下出现蓝色的微光。当退潮时，近海的夜光藻会留在沙滩上，海浪较大的扰动会使夜光藻发光。每年5-8月是偶遇荧光海几率很高的时间段，荧光海多出现在夏日天气晴朗的夜晚，夜幕降临后可前往南岙沙滩或者北岙码头观看。,因船班时间的缘故，一般建议3天2晚， 花鸟岛开放时间根据船运的时间调整，目前客船有交通船（每日2班），直达船（旺季每日1班）的区别，具体营运时间详见景区当日公示。,https://img1.qunarzz.com/travel/d2/1708/a1/9f804d57612b80b5.jpg_480x360x95_79843d72.jpg,4.4,建议游览时间：6天 - 9天,,"{'花鸟岛门票成人票\n\n': ['¥85起'], '花鸟岛门票优待票\n\n': ['¥45起']}",,1
枸杞岛Gouqi Island,http://travel.qunar.com/p-oi7337826-gouqidao,,,,,,,,,,1
衢山岛Qushan Island,http://travel.qunar.com/p-oi23343541-qushandao,"

地址:
舟山市岱山县


电话:
0580-2911168

"," 衢山岛位于浙江舟山市高亭镇东北处，是舟山群岛一颗迷人而内敛的珍珠。在这里可以在风车观景台上大饱眼福，也可以观音山朝拜，望满天繁星，探寻海市蜃楼。 衢山岛整个岛上的山脊上分布着近百个发电风车，连绵的山脊就像个“风车之国”。在风车观景台，背后是巨大的白色风车，眼前是一望无际的大海，景色令人震撼。观音山是衢山岛的一座高峰，数峰连环如莲花，相传观音菩萨去普陀修道之前，曾在此山驻足数年。山上较宏伟的建筑当数玉佛宝塔，塔高约45米，共十一层。佛塔基层十米周方，用精凿加工的花岗石叠砌而成，内有梯阶，可逐层而上，并逐层安列玉佛二百尊。塔顶天灯在方圆数百里都能看见，为舟山群岛一大景观。另外，衢山岛上还有盐田，为""岱盐""主要产地之一，观光旅客在岛中部沿海可以看到颇为壮观的大盐田。",全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/dd8c80a7db42da62eff545e9a4718f0e.jpg_480x360x95_3e973503.jpg,4.5,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
朱家尖风景区Zhujiajian Scenic Area,http://travel.qunar.com/p-oi702407-zhujiajianfengjingqu,"

地址:
舟山市普陀区朱家尖岛


电话:
0580-6032006,0580-6632545


官网:
http://www.zhujiajian.com/

","朱家尖是国家级风景名胜区，位于浙江省舟山群岛东南部，与相距1.35海里的“海天佛国”普陀山并称普陀山国家级重点风景名胜区，是舟山群岛核心旅游区“普陀金三角”的重要组成部分，是舟山群岛的第五大岛，岛屿面积74平方公里。
朱家尖现已开发国际沙雕艺术广场（南沙景区）、乌石砾滩（乌石塘景区）、观音文化苑（白山景区）、东沙湾海滨浴场、大青山国家公园、观音法界等，旅游度假服务设施完备，海陆空交通便捷。
 “浙江省十大最佳旅游度假胜地”、“国家AAAA级旅游景区”、“中国最美海岸线”.......朱家尖岛的潜在优势已凸显，它以“时尚海洋、自在生活”为蓝本，以大海、沙滩、佛语梵音为基调，以海洋文化、观音文化为内涵，努力打造成为国际海岛休闲度假胜地。
",1/1-10/31(白山，乌石塘景区) 08:00-17:00;1/1-10/31(东沙，南沙景区) 08:00-19:00,https://img1.qunarzz.com/travel/d2/201404/23/fbdccaec451fa131ddb12cfb.jpg_480x360x95_0bd9b3f5.jpg,4.5,建议游览时间：3天 - 6天,夏秋两季,"{'朱家尖白山景区门票成人票\n\n': ['¥20起'], '朱家尖白山景区门票优待票\n\n': ['¥5起'], '南沙门票成人票\n\n': ['¥20起']}",1.最好不要让出租司机领路找旅馆，一般都不会有价廉物美的。2.南沙是渔民家庭旅馆的聚集地，找旅馆的时候可以多询问几家，肯定能找到最便宜、最适合的。3.建议不要在投宿的宾馆就餐，都很贵，路边的大排档很多且便宜；如果住在渔民家，还可以买来海鲜让其代为加工，味道一样鲜美，花费又少。,1
嵊泗列岛,http://travel.qunar.com/p-jq712656-shengsiliedao,,,,https://img1.qunarzz.com/travel/poi/201407/11/281acf3fbe978ffcc8d65eac.jpg_r_720x400x95_f4419f3a.jpg,4.3,,,,,1
舟山嵊泗列岛风景名胜区-北朝阳景区Zhou Shan Shengsiliedao Fengjing Mingshengqu-Bei Zhaoyang Sceneic Area,http://travel.qunar.com/p-oi26580171-zhoushanshengsiliedao,,北朝阳海钓基地景区拥有独特的海钓资源，因长江汇合东海的特殊地理环境而产生了大量浮游、贝、藻类生物，为北朝阳近海的鱼类提供了丰富的饵料，既有常年生活在此的各种斑科鱼类，又有洄游性的，国际海钓运动公认的鲷、鲈类等贵重鱼种，无论从鱼的品种还是数量上看，北朝阳海钓基地都是您理想的钓处。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/8978394cb1bb647ba21c4785bc665cd6.jpg_480x360x95_3d479aae.jpg,4.8,,,具体收费情况以现场公示为主,,1
朱家尖大青山景区Daqing Mountain,http://travel.qunar.com/p-oi10000864-zhujiajiandaqingshanjing,"

地址:
舟山市普陀区朱家尖岛南端


电话:
0580-6031226

",“观千岛海景，看青山醉雾；玩十里金沙，揽海岛峭壁”，朱家尖大青山国家公园是普陀山国家重点风景名胜区、国家AAAA级景区——朱家尖的核心景区。十平方公里的区域面积、30多公里的海岸线、18公里的环岛旅游大道，集聚了阳光、海浪、沙滩、礁石、峭壁、渔村、千岛海景等一系列现代滨海休闲度假的优质资源以及国家公园特有的稀缺元素，大青山国家公园以其特有的“山奇、石怪、滩美”风景资源而闻名。千沙千沙又叫千步沙，长约1200米，宽约170米，它横亘于姆岭山和癞头山之间，如一根经年挑着两座青山的扁担，南北两侧礁石险峻，惊涛拍岸。金沙沿碧海布地，步行其上，如履金毯，观远海孤帆，云光天影，更让人心旷神怡。四季花海四季花海总占地四百多亩，由主体花海区、水系景观区、草坪休闲区、配套服务区四大区域组成。区域内设置了划船、呐喊喷泉、儿童乐园、滑滑梯等游玩设施，还配套有烧烤、篝火、露营等户外活动，让游客可游、可玩、可憩。里沙海滨浴场里沙又名“西莲花池大沙滩”，相传普陀山僧人曾在此建西莲花池，因而得名。滩长约800米，宽170米。滩呈弦月形，滩面平缓，沙质金黄。每当东风甫吹，沙起如雾，盘旋于滩面之上，蔚为壮观。作为海滨浴场，里沙海域水质清澈、沙质细腻；浮桥、帆船、摩托艇等精彩的休闲项目，让大青山动静结合，趣味无穷；配套的冲淋、寄存服务设施更让你无后顾之忧。里沙生态园里沙生态园环抱着里沙，占地100多亩，有上千年历史。林中树冠一齐向背对大海的方向伸展，状若蓬帆，形成“古老沙成林，绿树攀青藤” 的独特风景。良好的生态环境让这里素有“天然氧吧”之称。你可以在这里体验“丛林碰碰车”、“原木攀爬”、“竹林迷宫”等娱乐项目，也可以在秋千吊床上小憩，感受无处不在的负氧离子。青沙青沙滩长约500米，宽约150米，东临大海，背倚大青山，苍翠的山影把这里的海洋、沙滩和村落染成一片青色，故而得名。由于地势的作用，东风起时，汹涌的波涛连绵不绝地扑向沙岙，喷出的烟雾又如轻纱羽衣，飘舞在沙滩上，故形成了“青沙烟涛”的奇景。牛头山牛头山是大青山东面的山峰，因形状宛若向大海探首汲水的牛头而得名。它是景区南北分界中的岬角，故而形成天然的全景观赏点。站在牛头山上，北面可以清晰地将“十里金沙、五沙连环”尽收眼底，南望东面海域一望无际，是被誉为“海上丝绸之路”的国际深水航道的必经之道。猫跳大青山南脉天然形成的突出于大海的岬角，崖边多为嶙峋岩石，是一处理想的望海品礁观景点，由于高低不平，行路时需要跳跃而过，形似猫跳，故而得名。猫跳地势呈狭长状，由于位置突出，这里成了东海浪涛卷集海岸的前沿，更是神奇的青山醉雾主要形成上涌的地方，所以他还有一个更诗意的名字，叫海角烟涛。喷水洞喷水洞是大自然的鬼斧之作，似一时玩心起，在峭壁内凿了个洞，潮水扑来之时，冷静聚集而后锋利喷出，高的时候竟有10几米，天然的喷泉可遇不可求，喷水奇观的形成关系到潮浪大小以及潮面高度，若巧遇喷水洞之奇观或可开启一日好运之势哦青山峰青山峰是大青山的主峰，海拔378.6米。上世纪五十年代，大青山作为东海前哨曾驻扎过守岛部队。青山峰上至今还留有军营、坑道和车库等军事设施。山顶视野开阔，是千岛海景观赏点，东望普陀、东极诸岛；南眺东亭山灯塔和洋鞍渔场；西面是桃花岛和进出东海渔场的主要通道乌沙门水道；北面则是“中国渔都”沈家门渔港。站在山顶，临海凭风，让人心胸豁然开朗。衔远山，吞东海，浩浩汤汤，横无际涯，朝晖夕阴，气象万千。筲箕湾渔村筲箕湾是一处天然的港湾，它坐落于大青山西麓山脚，西临出入洋鞍渔场的乌沙门水道，三面环山，腹地平坦，南北宽约330米，纵深1500米，因地形酷似渔家淘米用的筲箕，故而得名。这里是朱家尖岛的海边人家安居之所，古代先民在这里驾船撒网、耕海牧渔，逐渐形成朱家尖第一个自然渔村。筲箕湾是目前浙东沿海地区保存完整的原生态渔村。景区娱乐项目摩托艇：驰骋于辽阔大海，领略无限海天风光海上浮桥：谁说“凌波微步”只存在于武侠传奇，谁说旱鸭子只能望海兴叹，大青山海上浮桥让不会游泳的你也能逐海踏浪、做一回挑战大海的勇者。丛林碰碰车：五彩碰碰车在丛林间穿梭，擦身而过无论熟悉或是陌生，轻轻一碰带来无限欢乐，丛林碰碰车带你重温那些遗忘的童年和岁月真人CS：穿上迷彩，戴上头盔，举起突击步枪，这里不是真战场，但却可以让你挥洒真豪情。景区美食烧烤：背山面海，眼前是令人垂涎的美食，背后是四季花海的炫美景色，与至亲好友一起来体验美景美食吧，鲜花的拥簇，微风的轻抚，做一回真正的“吃货”吧 ！游人中心海景餐厅：时尚优雅的用餐环境，色香味俱全的舟山地道美食，在海景餐厅静静品尝海鲜，看落地窗外海浪轻抚金沙，让出行更优雅，让旅行更有滋味。,全年 08:00-16:45,https://img1.qunarzz.com/piao/fusion/2108/91/984c77cc3b04c202.jpg_480x360x95_234d2a03.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'大青山门票成人票\n\n': ['¥60起'], '大青山门票优待票\n\n': ['¥30起'], '《印象普陀》演出票+大青山景区门票成人票\n\n': ['¥178起']}",,1
庙子湖岛Miaozihu Island,http://travel.qunar.com/p-oi7526512-miaozihudao,"

地址:
舟山市普陀区东极镇东极岛内

",庙子湖岛是当地岛类中的主岛。这里各种旅游配套设施相对较好，也是诸岛中可乘船直达的岛屿，因此成了人们到达这里旅游的必经之地。若是想要体验更纯粹的海岛风情，可在此中转去东福山岛，返程时顺便在庙子湖岛逛逛。此外，这里还是韩寒导演的电影《后会无期》的主要取景地，随着影片的热播，岛上近期也新出现了一些和电影相关的看点，比如财伯公塑像、“金毛背”、《后会无期》片场等等，感兴趣可以去一探究竟。,全年 8:00-17:00,https://img1.qunarzz.com/travel/d6/1802/be/9de72fdfe883fab5.jpg_480x360x95_1ff41f09.jpg,4.2,建议游览时间：12小时 - 3天,,免费,,1
