名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
蓝色多瑙湖Blue Danube Lake,http://travel.qunar.com/p-oi32733577-lanseduonaohu,,,,,,,,,,1
鸠兹古镇Jiuzi Old Town,http://travel.qunar.com/p-oi9554719-jiuziguzhen,,,,,,,,,,1
天门山Tianmen Mountain,http://travel.qunar.com/p-oi10005026-tianmenshan,"

地址:
芜湖市经济技术开发区东梁村凤鸣湖北路


电话:
0553-5317588

",天门山位于芜湖市鸠江区大桥镇境内，千百年来，天门山以其独有的山形水势和丰厚的历史文化底蕴吸引着历代名流、墨客来遨游题咏，唐代诗人李白多次游历此处，留下《望天门山》这首脍炙人口的绝句：“天门中断楚江开，碧水东流至此回，两岸青山相对出，孤帆一片日边来”。天门山下还有两处不可多得的人文景观。一是历史悠久的天门书院，始建于公元1246年，同绩溪桂枝书院，颍州西湖书院，歙县紫阳书院齐名。二是别具特色的铜佛寺，依山傍水，风景优美，多年来吸引着全国各地的信徒前来焚香拜佛，每逢佛事，香烟浓郁，香客如潮。因此，被评为芜湖市新十景之一“天门烟浪”天门山本是东、西梁山的合称。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/d69ec929dfe2eccdfbdde4ed2f89610c.jpg_480x360x95_96e92729.jpg,4.3,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
芜湖大龙湾沙滩风景区,http://travel.qunar.com/p-oi38817984-wuhudalongwanshatanfeng,,芜湖大龙湾沙滩风景区位于鸠江区，这里有大片的沙滩，水域开阔，可以眺望到对岸林立的高楼。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
中国雨耕山Yugeng Mountain,http://travel.qunar.com/p-oi10071428-zhongguoyugengshan,"

地址:
芜湖市镜湖区青山街57号附近


电话:
0553-2309598

",雨耕山园区位于安徽省芜湖市核心商业区，地面上拥有保存完好的百年西洋建筑群，地下有15000平方米、50多年历史的老防空洞。经过西班牙与美国设计师匠心的设计，让老防空洞成为中国较大的地下酒窖群，让园区成为“中西合璧，精致繁华”的城市风景线。雨耕山，一个可以在地下酒窖中品尝世界美酒的高雅社交场；一个可以在百年历史建筑里喝酒言欢、品茗论道的文化沙龙地；一个可以在风景如画的园区内感受西洋文化、体验酒文化的特色旅游区。,全年 全天开放,https://img1.qunarzz.com/p/tts3/1801/ea/242ba0762b957b02.jpg_480x360x95_27936af5.jpg,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
芜湖东湖公园Donghu Park,http://travel.qunar.com/p-oi10067562-wuhudonghugongyuan,"

地址:
芜湖市芜湖县湾沚镇世纪大道

",东湖公园由一处内涝荒地改建而成，整个公园环绕大面积的湖泊，湖边有步道和绿化带，及数处伸入湖中的观景台，长虹路北边的道路延伸，从湖中心穿过，走在上面看到的风景很好。梦风塔、蟠龙寺都是公园内的景点。,全年 全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/93366829-2d38-4ff4-89ff-d95edc189f16.jpg,4.7,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
芜湖新华联大白鲸海洋公园Macrolink Beluga Ocean Park,http://travel.qunar.com/p-oi9518900-wuhuxinhualiandabaijing,,,,,,,,,,1
赭山风景区Mt. Zheshan Scenic Resort,http://travel.qunar.com/p-oi709083-zheshanfengjingqu,"

地址:
芜湖市镜湖区九华山路345号(近凤凰美食街)


电话:
0553-3800071

",赭山风景区位于芜湖市中心地标鸠兹广场的北边，当中隔了个安徽师范大学。风景区的主要部分是赭山公园，山下零星散布着广济寺、陆和村茶艺博物馆等景点。赭山公园内北边有小赭山，南边有大赭山，相传干将曾在附近炼剑，把山烧成了红色，所以叫“赭山”，两座山都不高，绿化很好，很多当地人会来此晨练。公园里还有游乐园和动物园，是孩子们的天堂。赭山公园有东门、西门、南门、翠明园大门等几个出入口，小赭山山顶有芜湖电视台发射塔；大赭山上有中山纪念堂，山顶有始建于明嘉靖年间的一览亭等古迹。站在山顶往西眺望，能看见长江。如果你喜欢参观博物馆，赭山公园东门北侧有徽商博物馆，藏品以“徽州三雕”（石雕、砖雕、木雕）为主，并珍藏了历代名人字画等，还有水口、祠堂、当铺、绸庄、中药铺、花戏楼等场景布置。赭山公园南边有陆和村茶艺博物馆，藏品也以徽州三雕为主，还可以喝茶。陆和村茶艺博物馆旁边的广济寺依大赭山而建，是一座历史悠久的古寺，寺内供奉地藏菩萨，因此赭山也有“小九华”之称。寺中尤为显眼的要属九华行宫后院的赭塔（广济寺塔），高五层，建于北宋治平二年（公元1065年）。此外，景区还有翠明园、月季园、杜鹃园等景点。赭山公园的西门连接着凤凰美食街，逛完景区就可以去吃美食，十分方便。,全年 4:30-21:30,https://img1.qunarzz.com/travel/d6/1709/2e/84245c85a149dbb5.jpg_480x360x95_01c62109.jpg,4.6,建议游览时间：2小时,3月--5月、9月--11月适宜游玩。此时赭山风景区风景优美，气温舒适。,具体收费情况以现场公示为主,,1
汀棠公园Tingtang Park,http://travel.qunar.com/p-oi706123-tingtanggongyuan,,,,,,,,,,1
马仁奇峰风景区Maren Qifeng Scenic Area,http://travel.qunar.com/p-oi711990-marenqifengfengjingqu,"

地址:
芜湖市繁昌县孙村镇八分村马仁奇峰风景区


电话:
0553-7216888,0553-7217676


官网:
http://www.mrqf.com/

","祈福源头，休闲胜地的马仁奇峰景区是安徽省芜湖市内省级森林公园，风景奇特，文化底蕴深厚，素有""皖南张家界，江滨小黄山""之称。景区自然风光秀丽，人文蕴藏丰厚。自然风光以奇峰、奇壁、奇柱、奇洞、奇屋、奇树为代表，奇峰异石，灵泉秀水，嘉木修竹，更兼山间珍禽翔集，时见水滨异兽出没，呈现出幽、险、秀、奇的特色。天下第一福鼎，是人类祈福文化的发源地，适合祈福；绝壁天梯玻璃栈道，为全透明玻璃组建，长200米，垂直高度180米，适合敢于挑战的你，在刺激与冒险中感受自然美景。丛林穿越，在茂密的树林中，越过重重机关险阻，到达目的地，在惊险中与大自然来一次亲密接触。上山时可以体验一下玻璃栈道，下山时可以坐滑道，滑道很长，感觉像滑梯。马仁山，原名叫马人山，这里常常能够看见云雾遍山，像极了人间仙境，",全年 08:00-17:00,https://img1.qunarzz.com/travel/d3/1706/e5/68d81261f061a9b5.jpg_480x360x95_19166246.jpg,4.4,建议游览时间：12小时 - 3天,,"{'马仁奇峰风景区门票成人票\n\n': ['¥70起'], '马仁奇峰门票优待票\n\n': ['¥35起'], '马仁奇峰风景区+玻璃栈道+玻璃桥门票成人票\n\n': ['¥130起']}",1.游客在景区游览、体验互动过程中，请听取景区工作人员的提示和忠告，积极配合预防意外事故发生；2.本景区为无烟景区，为预防火灾发生，游客请不要携带易燃易爆物品，不要吸烟，不留火种；3.留意景区提示语，静止攀爬树木拍照、静止翻越防护栏、不要拥挤，文明游览。,1
