名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
拙政园Humble Administrator's Garden,http://travel.qunar.com/p-oi707228-zhuozhengyuan,"

地址:
苏州市姑苏区东北街178号


电话:
0512-962015

",拙政园是苏州有名的园林，全园以水为中心，萦绕错落有致的假山及精致的庭院建筑，花木并茂。这一江南园林典范与北京颐和园、承德避暑山庄、苏州留园并称为“中国四大名园”，并被列入世界文化遗产名录。整个园林的设计十分精巧，游览起来可以说是“一步一景”，处处体现着江南水乡的韵味。园中小径曲折，从一重重门廊、镂空图案的石墙，到每个亭子、每扇窗户都不雷同，而且与树木花草搭配得恰到好处，构成一幅幅如画般的风景，你可以花上很多时间来摄影。全园分为东、中、西三部分，各具特色，尤其中花园基本保持明代园林朴素自然的风格，是全园的精华所在，可以细细游玩。而东花园更加开阔，西花园建筑精美，在拙政园南端还建有苏州园林博物馆，是国内的园林专题博物馆。拙政园主要景观有兰雪堂、涵青亭、远香堂、香洲、卅六鸳鸯馆、盆景园等。还有两个很有意思的名景，一是“北寺塔借景”，站在东花园往西看，可以见到1公里外的北寺塔，仿佛就在园子里，这是很多游客会拍照的景色，而借景的手法在园内也四处可见，在游玩时可以体验一番；二是中花园里的“廊桥小飞虹”，朱红色的桥栏倒映在水中宛如飞虹，以这座桥为主体的景观十分漂亮。春、夏、秋三季都很适合游玩拙政园，3月中旬-5月上旬有杜鹃花展，6月上旬-10月中旬有荷花展，9月上旬-10月中旬有菊花展，春节期间还有花果盆景展。冬季去人会少很多，但可以安静地欣赏清秀的景色。,3/1-11/15 07:30-17:30;11/16-2/28 07:30-17:00,https://img1.qunarzz.com/travel/d2/1611/45/0e0bcbda61269db5.jpg_480x360x95_2fa99f3e.jpg,4.6,建议游览时间：2小时 - 3小时,1、每年春季（3月28日—5月10日）拙政园都要隆重举办一年一度的“杜鹃花节”，期间将有数百种名贵杜鹃花展出；2、每年夏季（每年6月上旬—10月中旬），拙政园都将举办苏州园林的传统特色项目“荷花节”；3、每年秋季（每年9月上旬—10月中旬），拙政园都将以菊花为主题举办反季菊花展。,"{'拙政园门票成人票\n\n': ['¥70起'], '拙政园门票老人票\n\n': ['¥35起'], '拙政园门票优待票\n\n': ['¥35起']}",拙政园全园占地78亩（约52000平方米），分为东、中、西和住宅四个部分。住宅是典型的苏州民居，布置为园林博物馆展厅。拙政园中现有的建筑，大多是清咸丰九年（公元1850年）拙政园成为太平天国忠王府花园时重建，至清末形成东、中、西三个相对独立的小园。摄影提示：1、由于苏州园林里绿色植被比较多，相比其他颜色的花对比度比较大，所以应该选取镜头成像好且使用高分辨率进行拍摄。所以建议您使用单反相机进行拍摄。去苏州园林拍摄一定要注意光影交叉以及背光的时候闪光灯补光要及时。2、去苏州园林拙政园是必要去的，不过旺季时这里的人比较多的，所以把握整体场景拍摄就比较难了，建议真正喜欢苏州园林的朋友还是要等人少的时候再去，在一种静的环境中才能拍摄出好的作品。,1
山塘街Shantang Street,http://travel.qunar.com/p-oi704582-shantangjie,"

地址:
苏州市姑苏区古城西北


电话:
0512-65314467


官网:
http://www.shantangjie.com.cn/

",山塘街西北端至虎丘，东南端在阊门，街道与山塘河并行，一座座古桥横跨河面，石板街两侧是粉墙黛瓦的老房子和林立的店铺。晚上，亮起的红灯笼倒映在河里，适合拍照。也可以乘游船，或是找家茶馆喝茶、听评弹。山塘街为东南往西北走向，全长约七里，故有“七里山塘”之称。山塘街拥有千年历史，是由唐代诗人白居易在苏州做官时主持修建的，如今在街道南端能看到百姓为感念白居易所建的白公祠。清朝乾隆皇帝对七里山塘情有独宠，他御笔书写的“山塘寻胜”御碑亭至今保存完好。这里还有牌坊、祠堂、会馆等古迹，仅会馆就有十几座，它们曾是外地商会的驻苏办事处，大多建于清朝中期。山塘街的东南，也就是靠阊门的一小段被称为“山塘老街”，约有360米。这一段店铺比较密集，汇集了各种工艺品店和小吃店，还有玉涵堂、安泰救火会、通贵桥、苏州商会博物馆、古戏台等主要景点，是整条街道具有商业气息、游客居多的地方。玉涵堂是明代吏部尚书吴一鹏的故居，是苏州城外的古建筑群。这座建筑汇集了厅、堂、楼、阁、斋等中国各种房间的形态，通过这里的雕梁画栋感受到浓郁的明代文化艺术特色。通贵桥是一座横跨山塘河的拱形石桥，是欣赏苏州水乡风貌的好去处，也是油画、水彩画的经典取景处，时常能在桥上见到细心作画的人，而且早年《梅花巾》、《红粉》等获奖电影也曾在此取景。山塘街上有很多传统美食老店，有松鹤楼这样的大馆子，也有荣阳楼、新年点心店这样价廉物美的小吃店，更有黄天源糕团店、采芝斋糖果店等点心。能尝到梅花糕、海棠糕、赤豆糊糖粥等传统小吃。而卖古玩、书画、雕刻、剪纸等民间工艺店也是比比皆是。,8:00-21:00,https://img1.qunarzz.com/travel/d1/1504/93/92d29a9e182883.jpg_480x360x95_cd557b67.jpg,4.5,建议游览时间：2小时 - 4小时, 苏州的最佳旅游季节在春秋两季。苏州属亚热带季风性气候，气候温和湿润，四季分明，尤以春秋旅游最佳。随着季节变换，苏州园林的色彩也随之变化，并有相应的花卉展览。 另外，二月光福古镇的“香雪海”，梅花吐蕊，香气醉人。4月-10月可以在太湖诸岛品尝鲜桃、碧螺春、杨梅、枇杷、糖藕、大闸蟹、腌笃鲜等鲜食。七月拙政园有荷花展，十月天平山有枫叶节，除夕夜寒山寺有撞钟活动。,"{'山塘昆曲馆昆曲评弹日场门票成人票\n\n': ['¥48起'], '山塘昆曲馆昆曲评弹日场门票儿童票\n\n': ['¥36起'], '苏州古运河游船（山塘街白居易码头）古运河观光日游船票\n\n': ['¥72起']}",1、山塘街和山塘河有典型江南水乡的风貌，家家户户前街后河，河上小船来往如梭，街上店铺林立，乘船游览很有意境；2、很多游客只去山塘街最热闹的那一段，如果偏爱宁静，可以继续往虎丘方向走，或者去主街两边的小巷里走走，会更有苏州弄堂味道；3、山塘街北端走到底就是虎丘；南端走到底之后，再往西就是留园，西园离留园也很近。,1
周庄Zhouzhuang,http://travel.qunar.com/p-oi706611-zhouzhuang,"

地址:
苏州市昆山市周庄镇全福路43号


电话:
400-8282900


官网:
http://www.zhouzhuang.net/

",周庄是江南闻名于世的水乡古镇，镇上水路纵横，明清老建筑依河而建，画家陈逸飞笔下的双桥刻画出小桥流水人家的温柔，古镇南边的南湖开阔美丽。夜晚周庄亮了灯，又别有一番意境。游玩亮点周庄建筑主以江南民居为主，其中有近百座古宅院第，多为明清明期的建筑。古镇的四面环水，使得古镇因河而成，各路水道形成了“井”字形嵌入古镇中，让周庄形成了依水成街、以街为市的特色格局。在周庄的水巷之上，完好保存着14座建于元、明、清各代的古石桥，古桥、水巷、古宅，是真实意义上的“小桥流水人家”。这里有不少古代民居建筑古迹，有名的要数张厅、沈厅，以及充满神秘感的沈万三水底墓，相传那是沈万三的衣冠冢。沈厅是由沈万三后裔所建，是周庄保存较好的清代民居，结构精妙，可以前去参观见识一下江南大富豪的生活踪迹，还可以摸下传说中的“聚宝盆”沾沾财气。而张厅原名怡顺堂，建于更早的明代，清朝转于张姓人家，名为张厅，是典型的明代官宅。周庄古镇面积不大，长宽大约都在一到两公里，步行就可以游玩整个古镇。不过乘船泛舟在水路之上是非常建议体验的，古镇内的船是遮着蓝印花布的木船，一次可乘坐六人，划船的阿姨经常会唱些昆曲小调，很有水乡韵味。《四季周庄》是表现江南水乡生活风韵的水上实景演出，分为“水韵周庄”、“四季周庄”和“民俗周庄”三个篇章，非常精彩的视觉盛宴，可以让你更好地了解这个水乡古镇。周庄是一个非常适合放松的地方，早上起来在河边吹吹风，吃点江南特色早点，白天你可以在镇内走走，在茶楼听戏喝茶，或者去咖啡馆看看书喝咖啡，晚上可以去清吧小酌一杯，许多酒吧都有歌手驻唱或者表演。特色购物贞丰文化街：出售江南手工艺品，包括土布、黄酒、木版年画、竹编艺品等，大多数店家日落便关门。纸箱王主题创意园区：店内的各类装饰品、小物件均由纸张制成，非常具有特色，你会发现原来仅仅用纸，就可以做出这么多好玩的东西。源丰顺酒作坊：这家酿酒工艺久远，原料采用水乡特有的粳糯米，经过多道繁琐程序才能出酒，有兴趣的话可以去买一壶。青岚工舍：手绘陶瓷板画为主，画的大多数是古典的人物和图像，典雅别致，颇有韵味。周庄住宿如果条件允许，建议在古镇里住宿一晚，更加深入地了解这个地方。古镇内有很多当地人家开的客栈，大多位置沿河，并附有后院，环境很好也很安静，可以根据自身需求进行选择。周庄美食来到周庄，这里的小吃不能不品味一下，在贞丰街附近和沈厅周围有很多特色的小吃店铺，周庄的小吃非常丰富，万三蹄、阿婆菜、白丝鱼、三味圆等，江南特色的青团、袜底酥、撑腰糕等各类糕点也都可以在这里找到，可以一边逛街一边寻觅品尝。美味的万三蹄：龙凤酒楼，万三食府阿婆菜：沈厅酒家，周庄花间堂桔梗餐厅三味圆：万三食府，沈厅酒家,5/1-10/31 07:00-21:00;11/1-4/30 07:30-21:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/fe68fddf90c1e8a12cea0a54b4a221ab.jpg_480x360x95_a62b3108.jpg,4.5,建议游览时间：3天 - 6天,周庄春季和秋季气候适宜，是游玩的好时机；夏季时气温较高，六至七月为梅雨季节，雨水多，气候潮湿，蚊虫较多。冬天和早春的周庄阴冷潮湿，注意防寒。春季（3-5月）季生机盎然，欣欣向荣，秋季（9-11月）秋高气爽，气候适宜，雨量和气温适中，是周庄游玩的最佳时机，游玩时不需太过担心天气问题。2019年4月1日起，周庄水乡风车季第六季正式开始，2019年4月—6月凡在店铺购买周庄门票或者周庄联票，每张票赠送一个小风车，凭预定成功短信在纸箱王创意园区指定工作人员处领取小风车。 ,"{'昆山周庄门票成人票\n\n': ['¥88起'], '周庄门票儿童票\n\n': ['¥50起'], '周庄门票学生票\n\n': ['¥50起']}",1、周庄大多为石板路，最好不要穿高跟鞋，以免卡入石缝中。2、周庄阶梯多，带着小宝宝的家庭，尽量不要选择婴儿车，抬着婴儿车上下台阶和自己抱着或背着比起来，或许更吃力。3、春秋季节游玩只需备一件薄外套，在梅雨季节游玩需注意防潮，青石板的老路可能会较滑，出行时选择防滑防水的鞋子为好。4、节假日时游人如织，如果想感受周庄的宁静美，可以选择避开高峰期前往。5、从周庄镇上乘坐三轮车到古镇门口的话需要讲明路线和价格，有时候会出现车夫带着游客转一圈然后加价的情况；6、环镇水上游和景区内的摇橹游船不是同一项活动，环镇水上游在景区售票处买票或购买联票，景区内摇橹船需前往码头买票乘船。,1
同里古镇Tongli Ancient Town,http://travel.qunar.com/p-oi714632-tongliguzhen,"

地址:
苏州市吴江区中川南路1号


电话:
0512-63311140


官网:
http://www.tongli.net/

",江南水乡同里古镇位于苏州吴江，周围被湖泊围绕，网状的河流将小镇分割成七个岛，古镇上几乎家家邻水，有很多狭窄的小巷和明清老建筑，平日里游客并不太多，有种安静祥和的感觉。夜晚时灯光沿着房檐亮起，美轮美奂。古镇游览区面积并不大，一般都步行游览，另外还可以付费乘坐人力三轮车游览。同里古镇的入口在景区的南侧，进入后即可看到古镇里处处小桥流水的景观。形态独特各异历史悠久的三桥就在古镇的中心区域。有精美小巧的园林、名人故居，也有特色展览馆，可以在古镇内步行一一游览。罗星洲是古镇东侧湖上的一个小岛，可以烧香拜佛，需要从古镇步行20分钟到码头乘船前往。来到同里，小吃是一定要尝试一下的，才进大门两侧的明清街和竹行街便是古镇里小吃密布的地带。同里的各类糕点很有特色，袜底酥、芡实糕、麦芽塌饼都十分有名，而江南特色的桂花小圆子、状元蹄也可以让人大开味蕾。可以沿着这两条小街一家家逛过去，享用美味。除了小吃之外，景区里也有很多文艺小资的去处，大多集中在古镇南侧。南园茶社便是其中的代表，坐在二楼喝一杯茶，不时还有评弹表演十分惬意，不能错过。如果要游玩两天，可以在古镇内住宿一晚，镇上有很多民宿客栈，不过古镇内住宿虽有特色，条件设施并不如外面的酒店，古镇外东侧的环湖西路附近则有快捷酒店和宾馆可供选择。,全年 08:00-17:15,https://img1.qunarzz.com/travel/d1/1506/34/d461ac231d9b26.jpg_480x360x95_da6e222e.jpg,4.5,建议游览时间：12小时 - 3天,同里是典型的江南水乡，气候宜人，无寒冬酷暑，四季景色各领风骚。因此，到同里不必介意时节，最好避开节假日。春季最适合来同里，温度适宜，降水刚好，春雨、薄雾、轻烟、暮霭，使水乡的景致更添几分韵味。,"{'同里古镇门票成人票\n\n': ['¥66起'], '同里古镇门票老人票\n\n': ['¥50起'], '同里古镇门票优待票\n\n': ['¥45起']}","1、走在水边时要注意，地上的碎石小路长着青苔，以防滑倒。 
 2、多数民居都不提供梳子、毛巾和牙刷等物品，去游玩前，做好自己准备好。 
 3、每周五-周日晚上，同里推出夜游同里活动。例如三桥变聆听江南独特的丝竹等表演。 
 4、同里的门票，可以在古镇入口处购买，从上海、南京来的游客还可以和大巴票买在一起，但注意，该大巴是指定的正规旅游大巴。 
 5、节假日期间，9:00-11:00为景区入园高峰期，建议在景区开放时间内错开游览。 
 6、购买五福水上游套票的游客注意，五福水上游每天只开2班，分别是10:30和13:30，需调整好时间。 
 7、购买肖甸湖套票的游客注意，从同里汽车站坐303直达肖甸湖，路程大约15分钟左右，肖甸湖森林公园开放时间为8:30-16:30，需安排好时间。 
1、节假日期间，9:00-11:00为景区入园高峰期，建议您在景区开放时间内错开高峰时间。2、每周五、周六，退思广场古戏台将开设夜电影专场，三桥边可以聆听江南独特的丝竹表演等，有兴趣的游客和市民可前往免费观看。3、同里停车场比较大，收费10元，不限时间，但这里离同里进口——中川路有点距离，建议可以在票务中心门口乘电瓶车过去，2元/人。4、平时去同里，如果对住宿没有过高的要求，一般不需要提前预订房间。旺季为了避免麻烦，最好提前预订。如果想免门票，最好订好客栈，老板一般会到车站接送。有的老板可做导游或提供很多当地信息，并且有的客栈还提供上好的饭菜，价格相对便宜。5、谨防房托。游客一下车就会有一些骑着三轮车的人招呼，或者是骑着自行车的人跑过来问是否要住宿。这些人最好不要理睬，因为他们一般都是房托，除了做三轮的生意就是房托拿回扣，一般这些房子地址远，风景不好。6、同里一般旅店的拖鞋都是塑料拖鞋，冬天也是如此，而且他们几乎不洗。建议自己带双一次性拖鞋在包里，这样方便又干净。多数民居的旅舍不提供梳子、毛巾、牙刷，也要自己带好。7、走在水边时要注意，地上的碎石小路长着青苔，以防滑倒。",1
平江路历史街区Pingjiang Road,http://travel.qunar.com/p-oi5740205-pingjianglulishijiequ,"

地址:
苏州市平江区平江路


电话:
0512-69163907,0512-66090240,0512-67200129


官网:
http://www.pj-road.com

",平江路历史街区在拙政园以南，距今已有二千五百多年历史，是保存较为完整的古街区。它与西边的观前街仅一巷之隔，却有与其截然不同的清静古朴气息。在这里随便逛逛，边看建筑边吃小食，十分惬意。整个街区以平江路为中心，东西两侧有悬桥巷、大儒巷、卫道观前、中张家巷、大新桥巷等小巷，尤其东边还保留了多条水巷。街区内水陆并行、河街相邻，很有江南水城的特色。街区留住了街巷的旧貌，哪怕是改造而成的酒吧、纪念品店、咖啡馆也不张扬，看起来好似民居。你可以仔细观察一下这里的老宅，白墙灰瓦、木制门窗，淡雅而有韵味。这里的桥也各有特色，桥栏两端的抱鼓石、云纹石柱，还有雕刻着双龙戏珠、翠竹、花卉等图案的栏板都十分精致。街区里还有昆曲博物馆、评弹博物馆，在馆内能欣赏到精彩的表演。街区东边有耦园，西面有狮子林，都可以好好游览一番。此外，在平江河水上游码头可以坐小船游览平江河，到了傍晚时分，有灯光打在小桥流水、古宅街巷中，格外令人沉醉。古街区中有许多文艺青年们爱逛的有意思的店铺，例如猫的天空之城，这家充满小资情调的书店非常热闹，很多人在此邮寄“给未来的明信片”。还有小花店、苏式服装店等都很有特点。当然，这片街区里也有很多美食值得品尝，,全天开放,https://img1.qunarzz.com/travel/d3/1504/1b/24687896d20a72.jpg_480x360x95_297c23ab.jpg,4.6,建议游览时间：3小时 - 4小时,四季皆宜,"{'平江路历史街区VIP人工讲解服务大小同价\n\n': ['¥400起'], '平江路历史街区VIP人工英文讲解服务大小同价\n\n': ['¥628起'], '平江历史文化街区手机智能语音讲解服务成人票\n\n': ['¥1.3起']}",1、与平江路垂直相接的是诸多狭小的街巷，悬桥巷、狮林寺巷、传芳巷、东花桥巷、曹胡徐巷、丁香巷、大小新桥巷、卫道观前、中张家巷、大儒巷、萧家巷、钮家巷等等，每一个名字背后都可能有着长长的故事，可以漫步于此感受历史；2、区内有耦园、东园、惠荫园、戏曲博物馆、中国昆曲博物馆等名胜古迹。,1
苏州博物馆Suzhou Museum,http://travel.qunar.com/p-oi703504-suzhoubowuguan,"

地址:
苏州市东北街204号


电话:
0512-67575666


官网:
http://www.szmuseum.com/

",苏州博物馆包括2006年起开放的新馆和太平天国忠王府古建筑（旧馆）两部分，整个博物馆就像一座小园林。在新馆内，可以看到从远古到近代的陶器、玉器、书画等文物；在忠王府内，还能看到秀丽典雅的“苏式彩绘”。新馆大门是入口，忠王府大门是出口。进馆后可以好好欣赏一下这座新馆建筑，它由建筑大师贝聿铭设计，有着传统的苏州园林风格，高低错落，深灰色屋面与白墙相配，清新雅致。屋顶上金字塔形的玻璃天窗让博物馆内充满自然光线，在大门、天窗廊道、凉厅及各展厅都可以看到这个特点。馆中还有庭院、水池、石桥，既传统又现代。漫步在新馆庭院中，蓝天、白墙、绿竹、清水，十分惬意；走在石桥上还能看到白墙下用砂石堆砌而成的画，很有特点，不妨拍照留念。馆内设有吴地遗珍、吴塔国宝、吴中风雅、吴门书画4个富有苏州特色的常设展览。这里收藏了许多发现自虎丘塔和瑞光塔的文物，其中不得不看的是陈列在“吴塔国宝”的两件镇馆之宝，一是“越窑秘色瓷莲花碗”，由碗和盏托组成，大瓣莲花浮雕十分高雅，晶莹润洁；二是“真珠舍利宝幢”，是用珍珠等七宝连缀起来的一个存放舍利的容器，璀璨夺目。此外，博物馆里还有民俗展览，可以了解苏州一带的风俗习惯；也经常举办临时专题展览，如“明清书画展”等。而在忠王府里可以参观一下太平天国时的古建筑，感受一下当时的场景，这个庭院也有许多花草树木，赏心悦目。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00,https://img1.qunarzz.com/travel/d2/1706/c4/f95cc3b71dbae9b5.jpg_480x360x95_cccf440b.jpg,4.7,建议游览时间：2小时 - 3小时,四季皆宜。,"{'苏州博物馆门票+3小时私家团大咖讲师人工讲解服务大小同价\n\n': ['¥252起'], '苏州博物馆深度体验服务团队票\n\n': ['¥568起'], '苏州博物馆1.5小时文博大咖深度精讲票大小同价\n\n': ['¥105起']}",注意事项：1、凡衣衫不整和穿着拖鞋者（海绵、塑料、棉布等材质及无后帮）、携带宠物、携带易燃易爆及危险品者，谢绝入馆参观。博物馆内温度常年约为20摄氏度，请注意衣着适宜。2、进入博物馆请维护安静、有序的参观环境。勿高声谈笑、追逐嬉戏；勿从事与参观无关的活动；勿随地吐痰、抛弃纸屑杂物；勿在休息座椅上躺卧。展厅和影视厅内禁止使用手机。3、馆内禁止吸烟。4、请勿携食物和有色饮料入馆；勿在馆内茶室、紫藤园以外的休息区用餐。5、展厅内禁止使用闪光灯、三脚架拍照、摄像；临时展览禁止拍照、摄像。所拍摄的影像资料不可作为商业用途。新闻媒体等需要特殊许可的，请事先联系苏州博物馆办公室，电话0512-67575111。6、临摹或写生可用铅笔、炭笔、圆珠笔、蜡笔、色粉笔，但不可使用各类水性笔和水溶性材料，请勿在展厅架设画架。进行素描时，请勿妨碍其他观众的正常参观。7、苏州博物馆的图书馆仅对本馆职员及志愿者开放，持各类学术机构和文化系统介绍信的单位和个人，亦可入馆查阅资料。（馆外查询请预先致电0512-67576086）温馨提示：1. 自2019年4月27日起，苏州博物馆开始实行分时预约制度，不再提供现场预约和购票，未提前预约的游客将不能入园游览。预约截止时间为前一天24时。2. 入馆要安检，不能携带食物和有色饮料，不能穿拖鞋进馆；馆内温度常年在20摄氏度左右，请注意衣着适宜；70岁以上老人、残疾人有专门的绿色通道。3. 该景点与狮子林、苏州园林博物馆、苏州民俗博物馆等相近，可一并游览。,1
同里国家湿地公园Tongli Wetland Park,http://travel.qunar.com/p-oi7646854-tongliguojiashidigong,"

地址:
苏州市吴江区同里镇屯村社区东北部


电话:
0512-63191210

",同里国家湿地公园位于同里古镇的东北部，公园占地约4000亩，栽种有水杉、池杉、毛竹、早园竹、银杏、白沙枇杷、花卉、苗木等，林地内茂密葱笼、古朴幽静自然，吸引了等多种野生动物来林地憩息。园内地势平坦，渠塘纵横，小道密布，呈方格网状，周围湖泊农田环绕，自然环境优雅。　   ,8:30-18:00；16:30截止入园。,https://img1.qunarzz.com/p/tts7/1805/f8/4b3fed7753329502.jpg_480x360x95_db1afded.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'同里国家湿地公园吊床体验成人票\n\n': ['¥13起'], '同里国家湿地公园小火车票大小同价\n\n': ['¥40起'], '同里国家湿地公园一壶茶+小食拼盘票大小同价\n\n': ['¥88起']}",,1
寒山寺Hanshan Temple,http://travel.qunar.com/p-oi714460-hanshansi,"

地址:
苏州市姑苏区寒山寺弄24号


电话:
0512-67236213


官网:
http://www.hanshansi.org/

",寒山寺位于苏州西郊，已有一千四百多年的历史，因唐代诗人张继的名诗《枫桥夜泊》中“姑苏城外寒山寺、夜半钟声到客船”一句而闻名天下。寒山寺是有名的祈福胜地，每天来寺中撞钟进香、祈求平安的信徒络绎不绝。寒山寺主要由大雄宝殿、钟楼、碑廊、藏经楼等建筑组成。大雄宝殿内高大的须弥座以汉白玉雕筑，座上安奉释迦牟尼佛金身佛像，两侧靠墙供奉着明代成化年间铸造的十八尊精铁鎏金罗汉像，是由佛教圣地五台山移置于此。在碑廊可见到“江南四大才子”中的文征明、唐寅所书碑文的残片，还有岳飞、康有为等名人的诗碑，而清末知名学者俞樾书写的诗碑《枫桥夜泊》更是寒山寺中的经典。寺内的钟楼便是“夜半钟声”的来源之处，宏亮悠扬的钟声是寒山寺的象征。每年十二月三十一日，寒山寺都会举行跨年敲钟仪式，钟敲108下，寓意来年烦恼随之消去。如今的大钟虽已非唐诗中的那口钟、而是晚清的古迹，但却是需三人才能合抱的罕见巨钟。,全年 08:00-16:30,https://img1.qunarzz.com/travel/poi/1808/43/d8a2d254bc0ad137.jpg_480x360x95_7aad52d1.jpg,4.5,建议游览时间：1小时 - 2小时,四季皆宜，尤以4-10月最佳。,"{'寒山寺门票成人票\n\n': ['¥17.1起'], '苏州寒山寺素斋馆素面套餐大小同价\n\n': ['¥18起'], '寒山寺素斋馆餐饮套餐大小同价\n\n': ['¥128起']}",1、寒山寺素以钟声闻名天下，每年12月31日晚上或1月1日晚上，寒山寺都会举行敲钟仪式，钟敲108下。每一下代表一个烦恼，听完钟声，来年烦恼便随风而去；2、平日在寺内撞钟10元（3下）；每年12月31日的跨年撞钟价格不固定，一般约300多元；3、出寒山寺后可步行去枫桥景区感怀一下唐诗中的点滴意境，注意这两个地方虽然毗邻，但是分开单独售票。,1
观前街Guanqian Street,http://travel.qunar.com/p-oi5740206-guanqianjie,"

地址:
苏州市姑苏区

",观前街位于苏州市中心，距离苏州火车站不远，是成街于清朝的商业老街。如今改造成了步行街，长约800米，与它辐射出去的道路太监弄、碧凤坊等一起，是苏州有名的小吃街、商业街，相当于南京的夫子庙，上海的城隍庙。到观前街首先是冲着它的美食，这里百年老店云集。松鹤楼菜馆（太监弄72号）有200多年历史，还穿越到小说《天龙八部》里充当了乔峰和段誉结义的地方，苏帮菜里的松鼠鳜鱼，正宗的要到松鹤楼吃，是该店的招牌菜，其他如清炒虾仁、响油鳝糊、东坡肉等也很好吃。得月楼（太监弄43号），老电影《小小得月楼》里出现的便是这家餐馆，做的也是老牌苏帮菜。然而这两家动辄一道菜一百来块的价钱让不少游客望而却步，陆稿荐（观前街8号）的酱汁肉，绿杨馄饨（碧凤坊84号）的价格则要平民化许多。晚上的观前街灯火通明，酒足饭饱后可以逛街，购物。黄天源糕团（观前街86号）的枣泥山药糕，《红楼梦》中都有写到过，对面采芝斋（观前街91号）的粽子糖，都是可以买回家分享给亲戚、朋友的。你也可以淘点丝巾、苏扇等苏州当地特色小玩意儿，黄金店、银饰店、眼镜店、皮鞋店这里也不少。大商场如大洋百货（人民路1331号）、人民商场（北局路22号）、长发商厦（临顿路108号）等买买服饰，价格亲民；在观前街你还可以参观位于街道正中央的玄妙观，观前街便因地处玄妙观的前面而得名。这座道观始建于西晋咸宁二年（公元276年），南宋淳熙六年（公元1179年）重建，主殿三清殿西边能见到“镇观之宝”老子像碑，碑上老子画像是唐代吴道子的手笔，画像上方的文字为唐玄宗所题御赞，唐代大书法家颜真卿书写，由宋代刻石高手张允迪摹刻。,全天开放,https://img1.qunarzz.com/travel/d6/1705/56/86ebdb5bbe59a2b5.jpg_480x360x95_d67b7afc.jpg,4.4,建议游览时间：2小时 - 3小时,,免费,,1
狮子林Lion Forest Garden,http://travel.qunar.com/p-oi706251-shizilin,,,,,,,,,,1
