名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
浪漫海岸国际旅游度假区Langman Hai’an (“Romantic Coast”) International Tourism Zone,http://travel.qunar.com/p-oi8456152-langmanhaianguojilu:you,"

地址:
茂名市博贺镇尖岗管理区


电话:
0668-2628888


官网:
http://www.lm1314.com/

",浪漫海岸国际旅游度假区拥有绵长海岸线，沙白水清，有着浓郁的东南亚海滨风情。“爱”与“浪漫”的元素更是始终贯穿其中，因此这里也是茂名热门的婚纱摄影去处。沙滩沙质细软，在阳光照耀下仿若泛着银光，不仅可以漫步其中，吹吹海风，欣赏美丽海景，还可以体验众多休闲娱乐活动，香蕉船、摩托艇、出海捕鱼、沙滩车等项目应有尽有。游玩累了，也可以在这里的餐厅享用一顿海鲜大餐，品味当地特色菜肴。如果想小憩一晚，也可挑选一家度假区内的别墅酒店入住。,8:00-21:00，售票时间8:00-19:30。,https://img1.qunarzz.com/travel/d0/1410/19/3a540e732a82c272ffffffffc8d65eac.jpg_480x360x95_2f5c4a62.jpg,4.6,建议游览时间：12小时 - 3天,四季皆宜。,"{'浪漫海岸国际旅游度假区门票成人票\n\n': ['¥71.8起'], '浪漫海岸国际旅游度假区门票优待票\n\n': ['¥40起'], '浪漫海岸国际旅游度假区门票双人票\n\n': ['¥99起']}",,1
放鸡岛,http://travel.qunar.com/p-oi707415-fangjidao,"

地址:
茂名市电白县博贺镇翠湖路放鸡岛

",,"9:00-16:00。
 进岛时间：9:00、10:00、12:00、14:00、16:00、18:00（5月8日至9月6日）。
 出岛时间：10:00、11:00、13:00、15:00、16:40、18:30（5月8日至9月6日）。
 9月7日至次年5月7日
 进岛时间：10:00、12:00、14:00、16:00、17:00。
 出岛时间：11:00、13:00、15:00、17:00。



Tips
 具体时间以景区当天公告为准。",https://img1.qunarzz.com/travel/d1/1611/ec/3765096ae06310b5.jpg_480x360x95_22d0cce2.jpg,4.4,,,"茂名放鸡岛成人票（含来回程大船票和景区内各个小景点）：180元
 茂名放鸡岛儿童票（含来回程大船票和景区内各个小景点）：100元",,1
中国第一滩旅游度假区First Beach Tourist Resort,http://travel.qunar.com/p-oi708403-zhongguodiyitanlu:you,"

地址:
茂名市电白区海滨二路与一港大道交叉路口往南约200米


电话:
0668-2508869

",中的一个滩旅游度假区内沙滩宽阔平缓，沙质洁白细软，绵长的沿海防护林带更是一道独特的风景。漫步在绵长的沙滩之上，蓝天碧海，景色美不胜收。游泳区的海水又清又浅，并且周围配有专业的救生员。海滨也不乏沙滩椅、沙滩车、香蕉船、水上摩托等休闲娱乐项目。沿海还建有一条绿道，环海徒步或者骑行都是一个不错的选择。景区周边也不乏度假酒店和海鲜餐厅，且性价比都不错。,"全年 周日 09:30-17:00;全年 周一-周三,周六 09:30-17:30;全年 周四-周五 09:30-21:00",https://img1.qunarzz.com/travel/d8/1507/9e/e504f99efdca35.jpg_480x360x95_ba389d8e.jpg,4.3,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
茂名森林公园Maoming Forest Park,http://travel.qunar.com/p-oi711562-maomingsenlingongyuan,"

地址:
茂名市茂南区公馆镇125乡道附近


电话:
0668-2331088


官网:
http://www.mmslgy.com/

",广东茂名森林公园位于茂名市西郊，离市区仅12公里，占地面积4500多亩，是国家aaaa级旅游景区、全国科普教育基地、全国青少年户外体育活动营地、全国野生动物保护科普教育基地、大世界基尼斯之—勇敢者之路。森林公园树木葱郁，鸟语花香，空气清新、景色迷人。不仅是生态旅游、观光、休闲、娱乐的好去处，也是展示生物多样性和奇妙性，传播百科知识，开展科研、科普和生态环保教育的理想场所。广东茂名森林公园重要景区、景点主要有：勇敢者之路：被上海大世界基尼斯总部列入。是国内目前规模较大、跨距较长，特别采用双通道布设、可供多队列同时ｐｋ的大型游乐项目。设有“荡板船”、“攀悬梯”、“平衡桥”、“梅花桩”、“棋盘壁”、“飞天渡”、“云梯墙”、“双龙会”、“三障坡”、“玄网阵”、“秋千路”、“盘龙洞”、“晃桩道”等13个项目，模拟现代军事实战野练障碍穿越工事，集体力、智力、毅力、技巧挑战于一体，惊险刺激。动物展示区：动物别墅：有国家保护动物鳄蜥、巨蜥、蜂猴等。还有狼、海狸鼠、豪猪等多种珍贵动物，是饲养、保护、观赏动物的科普长廊。猛兽区：有白虎、狮虎兽、非洲狮、黑熊、金钱豹、孟加拉虎等各种食肉动物。猩猩馆：猩猩是亚洲的大猿，它们是世界上较大的树栖，也是繁殖较慢的——哺乳动物。火烈鸟园：拥有智利火烈鸟和古巴火烈鸟，是一种具有观赏性的鸟类。动物长廊：云集了阿拉伯狒狒、白颊长臂猿、金雕、秃鹫、金刚鹦鹉、黑帽悬猴、双角犀鸟、松鼠猴等珍贵动物一大批。草食动物区：云集了斑马、袋鼠、南非剑羚、水羚、黄麂、黑羚、耗牛、驼羊等大批外来珍贵保护动物。鳄鱼池：是粤西较大的观赏鳄鱼池。猴园：猴园有猕猴、食蟹猴等，是吸引游客的景点之一。名龟长廊：展示中外名龟20多种。珍贵名鸽园：收集中外名鸽20多种，名贵的品种“巨霸白玉球形鸽”，又名“英国吹气鸽”，目前全世界仅存三对，我国只有一对，茂名森林公园引进了其中一只。,8:30-17:00,https://img1.qunarzz.com/travel/d4/1801/ff/5dfd3dbc05ee33b5.jpg_480x360x95_57dfc373.jpg,4.6,建议游览时间：3小时 - 5小时,,"{'茂名森林公园门票成人票\n\n': ['¥25起'], '茂名森林公园门票优待票\n\n': ['¥13起'], '茂名森林公园电子导览服务大小同价\n\n': ['¥6起']}",,1
茂名市珍稀植物园Maoming Rare Botanical Garden,http://travel.qunar.com/p-oi711324-maomingshizhenxizhiwu,"

地址:
广东省茂名市茂港区小良镇


电话:
06682699020

",茂名珍稀植物园在广东省茂名市电白区小良水保站内，属热带北缘地区，景区规划面积为180公顷，分为热带人工林、先锋林区、荒漠化土地“光板地”和水土保持复合农业示范区四个景区。,全年 8:00-18:00,,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
宝光塔,http://travel.qunar.com/p-oi702936-baoguangta,,"建于明万历四年（1 5 7 6），清咸丰九年（1 8 5 9）重修加固塔基。塔为平面八角、九层楼阁式砖石塔，高63.19米。塔腔为壁内折上式结构。石砖塔基边长5.27米，须弥座八面刻有2 4幅精致的花岗岩浮雕图案，内容有""富贵吉祥""、""鱼跃龙门""，还有独具特色的高州香蕉图等。石刻每幅长1.45米、高0.5米。塔身外观各层设假平座，塔刹为-铁钟覆盖。据《高州府志》记载，共耗费白银1 3万多两，均分摊到府属各县负担，亦发动乡民捐赠。过去，塔内装饰华丽，每层设佛像4个，璀璨夺目，古往今来吸引...建于明万历四年（1 5 7 6），清咸丰九年（1 8 5 9）重修加固塔基。塔为平面八角、九层楼阁式砖石塔，高63.19米。塔腔为壁内折上式结构。石砖塔基边长5.27米，须弥座八面刻有2 4幅精致的花岗岩浮雕图案，内容有""富贵吉祥""、""鱼跃龙门""，还有独具特色的高州香蕉图等。石刻每幅长1.45米、高0.5米。塔身外观各层设假平座，塔刹为-铁钟覆盖。据《高州府志》记载，共耗费白银1 3万多两，均分摊到府属各县负担，亦发动乡民捐赠。过去，塔内装饰华丽，每层设佛像4个，璀璨夺目，古往今来吸引若许多游人登塔观赏，赋诗赞美者众多，如明代知县张晓有《登塔诗》：""浮图九级俯江流，乘兴抠衣豁倦眸。万里雄风吹短袖， 四山疏雨淡高秋。星辰半自长空落，云气低联远岫浮。回首尘寰烟雨隔，犹如飞鸟傍云游""。宝光塔是广东省最高的楼阁式塔。登高远眺，高州古城内外的美丽景色尽收眼底。1 9 8 9年公布为广东省文物保护单位",,https://img1.qunarzz.com/travel/d3/1807/dc/bc2137543a4b36b5.jpg_480x360x95_43eb173a.jpg,5.0,,,5元,,1
冼太庙Xiantai Temple,http://travel.qunar.com/p-oi703075-xiantaimiao,"

地址:
茂名市高州市光明路18号

",高州冼太庙位于高州市文明路，潘州公园北面。明嘉靖十四年（公元1535年）始建，嘉靖四十三年和清同治年间先后重修，是高州地区规模较大、等级较高的冼太庙。冼太庙主体建筑共三进，总进深49.5米，总面阔13.4米，建筑面积826.3平方米，分前殿、中殿、正殿。砖木结构，红墙绿瓦，斗拱飞檐，装饰华丽，运用彩绘、堆塑、雕刻等艺术形式，表现出浓郁的民族风格和地方风貌。冼太夫人是公元六世纪时的岭南百越族女首领，是广东高州人，一生致力于祖国统一和民族团结，功绩优越，被民间尊称为“岭南圣母”，在广东、海南、东南亚等地有广泛影响。后人为纪念冼太夫人而在各地兴建了许多冼太庙，仅在茂名地区就超过200座，高州冼太庙是高州地区规模较大的冼太庙。明初，高州府治南迁茂名城（今高州市区）后，冼太庙也随之南迁，并于嘉靖十四年（1535年）建于东门之外，称高州冼太庙。,全年 8:00-18:00,https://img1.qunarzz.com/piao/fusion/1508/86/b1979185207f0e.jpg_480x360x95_82a70645.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
根子荔枝文化旅游区,http://travel.qunar.com/p-oi712481-genzilizhiwenhualu:you,,根子荔枝文化旅游区毗邻茂名和高州市区。距全国著名风景旅游区水东虎头山和“中国第一滩”47公里；距茂名火车站25公里，湛江飞机场102公里。广湛高速公路的开通、茂名机场的建设和高州至阳春，高州至玉林省道的拓宽及洛(洛阳)湛(湛江)铁路将在高州穿境而过，可大大地加强高州与广州和珠江三免洲地区的联系，高州至广州不外乎数个小的车程，作为茂名旅游体系重要组成部分的高州荔枝文化旅游区秀丽的田园风光，自然风光，全国著名的荔枝生产基地风貌和独特的俚人风情将吸引众多的游客。,,https://img1.qunarzz.com/piao/fusion/1601/77/33dafb4d4fb9e5f7.jpg_480x360x95_30deee88.jpg,--,,,0元,,1
西江温泉度假村Xijiang (West River) Hot Spring Resort,http://travel.qunar.com/p-oi705836-xijiangwenquandujiacun,"

地址:
茂名市信宜市北界镇西江村东兴街66号


电话:
0668-8516138

",度假村四周群山起伏，层峦叠翠，风光秀丽，景色迷人，充满大自然的野趣。该度假村的温泉水温高达80度以上，可将鸡蛋烫熟，所以在诸多泉池里有个汤鸡蛋小池，让你可以边泡温泉边剥烫熟的鸡蛋来吃。度假村里形态各异的泳池喷泉、亭台水谢、奇水异花、园林山水，构成了一座多功能、亦动亦静、如诗如画的大型度假村。温泉水用作健身，在我国有近千年的历史。西江温泉度假村的温泉有健身池、健身泉酒池、牛奶美容池等。经广州分析测试检测，西江温泉的水质属广东好，为国内罕有的温泉——氟泉。村内兴建有可以在室内泡温泉的温泉宾馆和度假别墅，温泉浴分为自然温泉区和贵宾浸身雅室。自然温泉区又分为童稚区、情侣区、瀑布区。度假村内还建有大小会议室、学生旅馆，辟有篮球、网球、羽毛球、乒乓球、烧烤等健身及休闲场所。,9:00-23:30,https://img1.qunarzz.com/travel/poi/1803/56/57ac604e99057437.jpg_480x360x95_c351abd4.jpg,4.4,建议游览时间：1小时 - 2小时,,"{'西江温泉度假村门票成人票\n\n': ['¥49.5起'], '西江温泉度假村门票儿童票\n\n': ['¥30起']}",,1
大雾岭,http://travel.qunar.com/p-oi716233-dawuling,,大雾岭旅游区地处茂名市北部，离信宜城区38公里，地跨信宜、高州两地。大雾岭由云开山脉以及数十座海拔1000米以上的山峰组成，群山连绵不绝，高耸入云，其中海拔1500以上的山峰就有29座，是集生态保护、科学研究、旅游度假、高山疗养为一体的森林公园和自然保护区。大雾岭旅游区的主峰大田顶，号称粤西第一峰。如果说地势高挺的信宜是粤西的青藏高原，那么大雾岭就是粤西的喜马拉雅山山脉，而海拔1704米的大田顶则是粤西的珠穆朗玛峰了。相传离山顶不远处的东侧有一片平整的大田地，...大雾岭旅游区地处茂名市北部，离信宜城区38公里，地跨信宜、高州两地。大雾岭由云开山脉以及数十座海拔1000米以上的山峰组成，群山连绵不绝，高耸入云，其中海拔1500以上的山峰就有29座，是集生态保护、科学研究、旅游度假、高山疗养为一体的森林公园和自然保护区。大雾岭旅游区的主峰大田顶，号称粤西第一峰。如果说地势高挺的信宜是粤西的青藏高原，那么大雾岭就是粤西的喜马拉雅山山脉，而海拔1704米的大田顶则是粤西的珠穆朗玛峰了。相传离山顶不远处的东侧有一片平整的大田地，此峰因而得其名。山顶北面就是广东省732电视差转台的电视发射塔，整个粤西乃至广西部分地区的电视频道都是接受这里的转播信号。大田顶上有茂密的原始森林，风光奇丽无比；山顶旁边屹立着三座小山，远远望去犹如栖息着三个仙鹤，奇趣无穷。人称“天湖”的高山水库，苍山环抱，树木茂盛，湖面清澈如镜。每当云雾四起时，峰峦若隐若现，如身处仙境，雾里看花。晨观日出，红日喷薄，霞光万道，雾气散去之时，玉宇澄清，群峰青翠欲滴，空气象过滤般清新。,,,--,,,20元,,1
