名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
荆州古城Jingzhou Ancient City,http://travel.qunar.com/p-oi712464-jingzhougucheng,"

地址:
荆州市荆州区张居正街2号


电话:
0716-8450389

",荆州古城，位于荆州市荆州区，始建于春秋战国时期，现存古城墙大部分为明清时代建筑而成，砖城逶迤挺拔、完整坚固，是中国保存完好的古城垣（城墙）之一（当地人更愿相信，这些古城墙是三国的关羽关老爷兴建）。人们口中的“大意失荆州”，出典就是这里，一部《三国演义》，也让荆州城名声远扬。现存你看到的城墙，是清朝顺治三年（公元1646年），依照明代旧基重建，采用糯米石灰浆灌缝、砖城墙和土城墙互相依托而成。荆州古城周长约12公里，城池依地势而起伏，现已成为游客热切向往、感受历史的旅游胜景，也是我国南方保存完好、规模宏大的一座古代城垣。古城城墙四周，原有城门6座，即东门、小东门（亦称公安门）、北门、小北门、西门、南门，东门上方还有始建于明代的宾阳楼（游客登城墙就从宾阳楼处等城）。古城的每座城门均设前后两道门，二门之间建有瓮城，以便“瓮中捉鳖”，致攻城之敌于死地。荆州古城墙作为古时的一项大型军事防御工事，城墙之上还有众多配套的军事设施，如今尚存且具作战防御功能，最有特色的要数暗设的四座藏兵洞，东西南北各一座，分上下两层，可容100多人。作为楚文化的发源中心之一，荆州古城的周围出土了大量珍贵文物，其中就有国宝级文物西汉古尸和越王勾践剑。荆州古城中主要的景点有荆州博物馆、张居正故居、关帝庙等。在荆州博物馆中，你可以观赏到越王勾践的剑和吴王夫差的矛；如果你喜欢明史，那来到荆州，张居正的故居是有必要去一次的，这位明朝万历年间“首辅“的故居，位于古城的东门；位于古城南门的关帝庙，建在当年关羽镇守荆州时的府邸故基上，如果没有关大爷，荆州的名气也不会有如此之名。游玩古城可以乘坐景区内的电瓶车，环绕城墙一圈，全程约1小时，在古城内主要景点有停靠，上下车地点：东门景区。有兴趣的游客还可以租借当地私人公司经营的自行车，骑车绕古城墙一圈。无论是电瓶车还是自行车，都是在城墙下乘坐或骑行，城墙上只能步行（需要购买宾阳楼的门票，然后登城），开放的徒步范围大约1公里。,全年 08:00-17:30,https://img1.qunarzz.com/travel/d5/1706/c0/b4f1dd736c6948b5.jpg_480x360x95_3561f5ae.jpg,4.5,建议游览时间：12小时 - 3天,,"{'荆州古城免费预约票团队票\n\n': ['¥400起'], '荆州古城门票成人票\n\n': ['¥31.9起'], '关帝庙门票成人票\n\n': ['¥18起']}",,1
荆州博物馆Jingzhou Museum,http://travel.qunar.com/p-oi703186-jingzhoubowuguan,"

地址:
荆州市荆州区荆州中路166号


电话:
0716-8494574


官网:
http://www.jzmsm.org

",作为一家地方性博物馆，荆州博物馆的馆藏不为不丰富，而且具有鲜明的地方特色。你在荆州博物馆中，能够观赏到史前巧夺天工的各种玉饰；有质数堪称国内之最的战国丝绸；还有寒光闪烁、成色如新的越王剑、吴王夫差矛；有色彩斑斓、工艺精湛的战国秦汉漆器。博物馆还藏有世界上最早的数学专著《算数书》和萧何的《二年律令》等汉初简牍；镇馆之宝是：迄今为止保存年代最久远、最为完好的“西汉男尸”。 荆州博物馆的文物陈列分前院、后院两大展区。前院展区的陈列楼为基本陈列。即按历史发展顺序选择有代表性的文物，展示了荆州地区从新旧石器时代到秦、汉期间的文明发展史。共设两个专题展览：《江汉平原原始文化展》和《江汉平原楚汉文化展》。 后院展区的珍品馆，内设3个专题展。《荆州凤凰山168号汉墓》专题陈列，展出的是镇馆之宝：1975年在楚故都纪南城内出土的一具西汉男尸，及其棺椁、随葬物品。据墓中出土文字记载，死者下葬于汉文帝十三年（公元前167年），早于长沙马王堆汉墓女尸。该男尸在地下埋葬2000多年而不腐，世所罕见。装殓男尸的“一椁二棺”都保存完好，大型椁室及二套棺表明了主人的高贵身份。陈列还展出的数百件随葬物品，其中有两件式样别致、保存年代最久至今仍完整无损的物品：麻裙和麻鞋，异常珍贵。荆州博物馆的管藏文物，有时会采用“轮回展出”的方式，你可能无法一次性看遍所有的馆藏珍品。博物馆提供租借讲解器的服务，租金20元/个，建议参观时租借一台。,全年 周一 全天不开放 ;全年 周二-周日 09:00-17:00;中国法定节假日 09:00-17:00,https://img1.qunarzz.com/travel/d2/1702/b1/1321d090874071b5.jpg_480x360x95_bb2ff545.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'荆州博物馆参观护照券大小同价\n\n': ['¥50起'], '荆州博物馆电子导览服务大小同价\n\n': ['¥5起']}",,1
洪湖湿地Hong Lake Marsh,http://travel.qunar.com/p-oi18714177-honghushidi,"

地址:
湖北省洪湖市市辖区内


电话:
0716-2742799

",洪湖湿地位于湖北省中南部，长江中游北岸，地跨洪湖市和监利县。保护区以洪湖围堤为界，总面积41412公顷，其中核心区域12851公顷，缓冲区域4336公顷，实验区域24225公顷，边界线总长度104.5公里。洪湖湿地国家自然保护区是以洪湖大湖为主体的湿地生态系统类型的保护区，始建于1996年，2000年被湖北省政府批准晋升为省级自然保护区，2008年被列入《国际重要湿地名录》。2014年12月，经国务院批准正式晋升为国家自然保护区。保护区的主要保护对象是洪湖水生和陆生生物及其生境共同组成的...洪湖湿地位于湖北省中南部，长江中游北岸，地跨洪湖市和监利县。保护区以洪湖围堤为界，总面积41412公顷，其中核心区域12851公顷，缓冲区域4336公顷，实验区域24225公顷，边界线总长度104.5公里。洪湖湿地国家自然保护区是以洪湖大湖为主体的湿地生态系统类型的保护区，始建于1996年，2000年被湖北省政府批准晋升为省级自然保护区，2008年被列入《国际重要湿地名录》。2014年12月，经国务院批准正式晋升为国家自然保护区。保护区的主要保护对象是洪湖水生和陆生生物及其生境共同组成的湿地生态系统、未受污染的淡水资源和生物物种的多样性。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0dbe387d97a32ca216ebf140f257a7c5.jpg_480x360x95_8b4bff2d.jpg,4.7,建议游览时间：2小时 - 3小时,,包含于洪湖生态旅游风景区门票内，通用于洪湖生态旅游风景区门票。,,1
章华寺Zhanghua Temple,http://travel.qunar.com/p-oi710683-zhanghuasi,"

地址:
荆州市沙市区太师渊路


电话:
0716-8233177

",章华寺位于荆州沙市区，始建于元代泰定年间（公元1325年左右），为荆楚名刹，同汉阳归元寺、当阳玉泉寺并列为湖北三大丛林。章华寺内的章华古梅、沉香古井、银杏古树、石碑古刻被称为“四古之绝”。章华寺原名章台寺，明初更名为章华寺至今。清代章华寺重修，有山门、天王殿、财神殿、韦驮殿、大雄宝殿、观音殿、弥陀殿、藏经楼、禅堂、念佛堂、净月堂、斋堂、客堂、方丈室等主体建筑，规模巨大，雄伟壮观。整座寺庙为宫廷式建筑格局，布局合理，金碧辉煌。寺内藏有清代皇室御赐《藏经》，及许多宫廷珍品，还有缅甸国王敬赠的两尊玉佛。另有史料记载，这里是楚灵王五行宫古章华台的遗址，乃楚灵王于公元前535年所建。这座“举国营之，数年乃成”的宏大建筑，被誉为当时的“天下第一台”。史载章华台“台高10丈，基广15丈”，曲栏拾级而上，中途得休息三次才能到达顶点，故又称“三休台”；又因楚王好细腰，不少宫女为求媚于王，少食忍饿，以求细腰，故亦称“细腰宫”。后毁于兵乱。至隋末唐初（约公元618年）有古德在此结茅静修，元泰定二年（公元1325年）始建章台寺。,全年 全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/c4a04287-627a-4c22-b833-e960630e4f27.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
宾阳楼Binyang Tower,http://travel.qunar.com/p-oi23344391-binyanglou,,宾阳楼原名“寅宾楼”， 俗称东门楼，富丽堂皇，造型别致，极具明代建筑风格。,,https://img1.qunarzz.com/piao/fusion/1808/58/0767f5dfab671802.jpg_480x360x95_97cec632.jpg,4.5,建议游览时间：1小时 - 2小时,,"{'荆州古城门票成人票\n\n': ['¥31.9起'], '宾阳楼+关帝庙+环城观光车联票成人票\n\n': ['¥90起']}",,1
洪湖,http://travel.qunar.com/p-oi709880-honghu,"

地址:
洪湖市西南部

",,6:00-23:00,https://img1.qunarzz.com/piao/fusion/1608/38/0d9783fe3faccc02.jpg_480x360x95_1de12eed.jpg,4.7,,,免费,,1
万寿宝塔Wanshou Pagoda,http://travel.qunar.com/p-oi704867-wanshoubaota,"

地址:
荆州市沙市区荆堤路99号


电话:
0716-8503232

",万寿宝塔，坐落在荆州沙市区西南荆江大堤象鼻矶上，为湖北省重点文物保护单位。此塔始建于明嘉靖二十七年（公元1548年），乃是当年袭爵于江陵的辽王朱宪尊奉其母毛太妃之命为嘉靖皇帝祀寿而建。此塔为楼阁式塔，砖石结构，八角七级，高40余米，下设高大石座，座上嵌扛塔力士，顶施葫芦形铜鎏金塔刹，内藏毛太妃手抄《金刚经》。万寿宝塔檐下砖雕仿木额，枋、斗拱做工朴实大方。塔身外壁嵌有94龛汉白玉雕佛像，造型庄重，神韵生动。内壁也有许多汉白玉雕佛像，还有901块花砖和文字砖，分别刻有汉文、满文和藏文，为各地所敬献。万寿宝塔建于荆江大堤之上，除了为皇帝祈寿的主旨外，另还有镇锁江流、降伏洪魔，保一方平安的寓意。数百年来，万寿宝塔既是荆江两岸饱经水患的历史见证，又承载寄托了人们制服江流的美好愿望。,全年 全天开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/cc39540e-e426-4b62-8bf3-a5be1817b914.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
八岭山镇Baling Mountain,http://travel.qunar.com/p-oi707386-balingshanzhen,,八岭山绿树林立，山上果木苍翠，自然资源丰富，风景很美。,,https://img1.qunarzz.com/travel/poi/201211/15/29ae15456fcae580ddb12cfb.jpg_480x360x95_897cd599.jpg,0.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
华容古道,http://travel.qunar.com/p-oi708541-huaronggudao,,在监利县城西南12公里。即曹桥至毛家口的一条湖区小路，长7.5公里。监利古称华容，原县城位于今县城北30公里。《资治通鉴》注：“从此道可至华容县也”，故名。据载：东汉建安十三年（208年），曹操兵败赤壁走此，遇泥陷，急令军士负草填之，赢者饥乏倒地，多被人马践踏而死。强行间，又被关羽堵截，后被放行，因有“关云长义释曹操”故事传闻，并有诗云：“曹瞒兵败走华容，正与关公狭路逢。只为当初恩义重，放开金锁走蛟龙。”现在古道旁，阡陌纵横，公路交错，城镇与水乡连在一起，...在监利县城西南12公里。即曹桥至毛家口的一条湖区小路，长7.5公里。监利古称华容，原县城位于今县城北30公里。《资治通鉴》注：“从此道可至华容县也”，故名。据载：东汉建安十三年（208年），曹操兵败赤壁走此，遇泥陷，急令军士负草填之，赢者饥乏倒地，多被人马践踏而死。强行间，又被关羽堵截，后被放行，因有“关云长义释曹操”故事传闻，并有诗云：“曹瞒兵败走华容，正与关公狭路逢。只为当初恩义重，放开金锁走蛟龙。”现在古道旁，阡陌纵横，公路交错，城镇与水乡连在一起，一改昔日崎岖荒凉面貌。,,,2.0,,,,,1
洈水景区Weishui Scenic Area,http://travel.qunar.com/p-oi713865-weishuijingqu,"

地址:
荆州市松滋市洈水镇洈水风景区


电话:
0716 658 2669


官网:
http://www.wsfjq.cn/

","洈水景区总面积286平方公里，核心景区52.8平方公里。这里旅游资源和自然景观得天独厚，融山、水、林、泉、洞、坝于一体，属山水型风景区。景区主要由“湖面泛舟水上游、溶洞观光地下游、旅游度假休闲游、登山科考生态游、传统教育红色游”五大板块组成。景区内森林覆盖率达90%以上，湖水碧波浩淼，水质甘冽,属国家地表一级直接饮用水。素有“亚洲第一人工土坝”之称的洈水大坝巍峨壮观，似绿色巨龙伸臂，守望湖光山色；新神洞内， 溶洞奇观――“乾坤神柱”、“天宫大幕”让你惊叹“神州第一洞”的大气磅礴和大自然的鬼斧神工；漫步洈水，颜将军洞里泛舟水府洞天，依稀可闻远古巴国将士金戈铁马、刀劈剑击的拼杀与呐喊。",全年 09:00-17:00,https://img1.qunarzz.com/piao/fusion/1810/4a/1740dc07a0d0ed02.jpg_480x360x95_b99461df.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'松滋颜将军洞门票成人票\n\n': ['¥63起'], '松滋颜将军洞门票优待票\n\n': ['¥35起'], '洈水景区门票+往返游船票成人票\n\n': ['¥95起']}",时令公告2019年6月11日至2019年8月31日，应届初、高中毕业生凭中考、高考准考证可免汽车露营地景点门票，具体以景区当天实际情况为准。活动时间截止到8月31日。,1
