名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
湄洲岛Meizhou Island,http://travel.qunar.com/p-oi712699-meizhoudao,"

地址:
莆田市秀屿区湄洲大道1588号


电话:
400-918-9966,0594-5095333,0594-5094611


官网:
http://www.mzdtour.com/

",湄洲岛坐落于莆田市南部，是一座南北纵向狭长的小岛。湄洲岛是妈祖文化的发源地，岛上坐落着雄伟的妈祖祖庙，一直以来都是沿海信众的朝圣之地，有“东方麦加”的美誉。岛上景色优美，有随处可见到奇特巨石的地质景观，以及宽阔细软的沙滩，是度假旅游胜地。从莆田市区可以坐公交车到文甲码头，再乘渡轮上岛。湄洲岛不算大，只要早点去、合理安排游览时间，就可以一日游完主要景点。岛上有妈祖祖庙、妈祖文化园、鹅尾神石园、黄金沙滩、妈祖影视城等景点，乘坐岛内公交都可以到达，很方便。当然，也可以在岛上住一两晚，好好享受这里的阳光和沙滩，或者租辆自行车环岛骑行，细细品味这里的风土与美景。湄洲妈祖祖庙是世界上五千多座妈祖庙的祖庙。祖庙主要包括天后宫、朝天阁、钟鼓楼等仿宋建筑，每天都有很多信徒来此进香祈愿，因此香火十分旺盛。妈祖文化园紧邻着祖庙，文化园是收费景点，里面的山顶坐落着14米高的巨型妈祖石雕塑像，园内还有石刻群和新建的庞大庙宇群，若是坐船从海上远观这些建筑，颇有“海上布达拉宫”的感觉，十分宏伟。鹅尾神石园是岛上的另一大主要景点，位于岛的南端，在这里你可以行走在海边的山脊上登高望海，或者穿行于千姿百态的怪石群之间。神石园的游览时间约为2小时，园内大多为山路石阶，行走时需注意安全，建议随身多带点水、并注意防晒。作为著名海岛，湄洲岛上自然少不了多片海滩，包括岛屿北部的牛头尾沙滩、中部的莲池澳沙滩、南部的鹅尾山沙滩等。但最有名的莫过于岛西南端的黄金沙滩，这片延绵三公里的海滩滩平坡缓、沙质细软，是赶海、玩沙、游泳的胜地。每当清晨或黄昏时来此，可见海面被阳光照得金光粼粼，十分迷人。    ,全年 07:30-17:20,https://img1.qunarzz.com/travel/d0/1509/47/3d0bf45602b13e.jpg_480x360x95_073c0354.jpg,4.3,建议游览时间：3天,四季皆宜。,"{'湄洲岛进岛门票+往返船票+祖庙往返+伴手礼套票成人票\n\n': ['¥160起'], '湄洲岛进岛门票+往返船票+祖庙往返+伴手礼套票儿童票\n\n': ['¥130起'], '湄洲岛进岛门票+往返船票+祖庙往返+伴手礼套票老人票\n\n': ['¥130起']}",到达码头莆田市区-文甲码头（去湄洲岛的码头）可在市内的新汽车站（公交东站旁）乘坐公交362路（中途停站少，全程约70分钟）或361路（中途站点多，全程约90分钟）至【文甲码头】。莆田火车站前可乘坐公交363路（约一小时）至文甲码头。上岛轮渡1、客轮：客轮是主要上岛交通，分为普通渡轮和快艇。普通渡轮15分钟船程，船票单程10元，如果想上第二层船舱就坐，要多加2元。4月1日-10月31日期间7:00-18:00开班，11月1日-次年3月31日期间7:30-17:30开班，每1小时对开一班。旅游旺季时晚上通常会加开夜航，具体班次以现场信息为准。快艇船程7分钟，单程30元，每15分钟一趟，首末班时间一般与客轮相同。2、车渡：若要自驾车上湄洲岛需在文甲码头乘坐汽渡轮，岛外居民5座以下小轿车，每辆运价为200元。车渡每天四班：8:00、10:00、14:00、16:00。另外，也可把车停在文甲码头停车场，然后坐渡轮上岛。文甲码头停车收费参考：高峰期（7:00-19:00）小型客货车2元/小时，该时段最高收费20元；非高峰期（19:00-次日7:00）所有车辆均为1元/小时，封顶10元；停放24小时内最高收费为30元。岛内交通1、公交岛上目前有公交1、2、3路三条公交，均为无人售票、自行投币。其中1路和2路是普通公交（中巴车），票价都是2元；3路是旅游专线（空调大巴），票价3元。三条公交都可经停妈祖祖庙、鹅尾神石园、黄金沙滩等主要景点，但它们班次比较少，间隔约15-20分钟。2、电瓶车岛上有很多观光电瓶车，一般可乘坐7-10名游客，这种电瓶车只要有空位子可随叫随停，费用根据行驶距离每人3-10元不等。在码头和各景点门口都有电瓶车司机在揽客，如果人多也可以包车，环岛包车价格每辆150-200元，可议价。3、自行车岛上码头、妈祖祖庙正门口、黄金沙滩等都有自行车租赁点，单人车20元/六小时，双人车40元/六小时，车辆可在不同的租赁点归还。,1
九龙谷景区Jiulong (“Nine Dragon”) Valley Scenic Area,http://travel.qunar.com/p-oi707675-jiulonggujingqu,,,,,,,,,,1
坪盘村油菜花Pingpan Village Rape Flower,http://travel.qunar.com/p-oi18702827-pingpancunyoucaihua,,"在坪盘村,春季百亩的油菜花盛开，花开正旺春意浓。无论阳光灿烂还是微雨薄雾天，约上亲朋好友，这里都是踏春赏花、感受田园风光的好去处。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/79dced04c0e03fa96198409e5bc9ff54.jpg_480x360x95_0fee0efa.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
莆田瑞士文化小镇Putian Swiss Cultural Town,http://travel.qunar.com/p-oi10092806-putianruishiwenhuaxiao,"

地址:
莆田市荔城区城港大道城港大桥下长盛高尔夫练习场侧


电话:
0594-2200555

",莆田瑞士文化小镇位于港城大桥高尔夫球场旁，是饱含独特欧式风格的小镇，融合浓郁的瑞士建筑风格和欧陆人文风情。是婚纱摄影、举办户外婚礼的场所。瑞士文化小镇还有特有的欧式户外亲子活动，自然、质朴的牧歌式异域风情生活体验吸引众多游客。,9:00-22:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/31a3082c-dd7a-44af-bb57-b951420ef1fd.jpg,3.4,建议游览时间：12小时 - 3天,,"{'莆田瑞士文化小镇门票儿童票\n\n': ['¥30起'], '莆田瑞士文化小镇门票亲子票(1大1小)\n\n': ['¥49.9起'], '莆田瑞士文化小镇mini zoo门票成人票\n\n': ['¥38起']}",,1
南少林寺遗址South Shaolin Temple Site,http://travel.qunar.com/p-oi708936-nanshaolinsiyizhi,"

地址:
莆田市荔城区西天尾镇九莲山林山村


电话:
0594-2899371,0595-22795119

",相传河南嵩山少林寺13武僧帮助唐太宗统一中国后，唐太宗赐于“僧兵”，并准许在全国各地建立十座分寺。莆田县九莲山的林泉院，就是少林寺十座分寺中较早创建的分寺之一。唐太宗贞观年间，嵩山少林寺僧南下，不远千里来到九莲山，住锡在林泉院。此后，林泉院易名林山少林寺。北宋时，寺庙更加兴旺，僧人500多名，武风极盛， 因为规模宏大（占地约三万平方米），武风鼎盛，影响南中国，故称之为南少林寺，形成南少林拳，与北少林的腿功一起誉称“北腿南拳”。南宋时，寺院仍保留兴旺趋势。刘克庄也盛赞“邑之嵩山少林”。林泉院毁于清初。清初，南少林寺因在反清复明斗争中与天地会有着千丝万缕的联系，清王朝深为忌恨，遣兵焚毁，南少林寺从此湮没于历史烟尘之中。现在南少林寺遗址一带仅存一些附属寺院，如资福寺、红花亭等。1986年至1988年，莆田县在文物普查中，发现了这座湮灭了几百年的寺院遗址，发现了5个刻有“僧兵”、“诸罗汉浴煎茶散”等文字的北宋石槽。1998年，南少林寺重建落成。2006年12月，南少林寺正式接纳广化寺方丈管理，成为两寺院共同统一体制。由中国佛教会会长赵朴初先生题写“南少林寺”寺名。,全年 全天开放,https://img1.qunarzz.com/travel/d3/1703/a2/6e1e7a5f20cc5eb5.jpg_480x360x95_e7f1b241.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
南日岛Nanri Island,http://travel.qunar.com/p-oi9221486-nanridao,"

地址:
莆田市秀屿区南日镇

",南日岛古称南匿山，因山隐大海而得名。扼兴化湾咽喉，是福建省第三大岛，与湄洲岛并称姐妹岛。南日岛是个还未被开发的岛屿。南日的景点分东半岛和西半岛。东半岛：风力发电场、海滩，九重山，如果天气好，可以看整个南日岛；西半岛：皇帝山。皇帝山非常有特色山的一面是沙，一面是石头。,全年 全天开放,https://img1.qunarzz.com/travel/d5/1610/84/a1df517da8d3c5b5.jpg_480x360x95_8be03293.jpg,4.5,建议游览时间：3天,,具体收费情况以现场公示为主,,1
黄金沙滩Golden Beach,http://travel.qunar.com/p-oi8457735-huangjinshatan,,,,,,,,,,1
菜溪岩Caixi Rock,http://travel.qunar.com/p-oi702172-caixiyan,"

地址:
莆田市仙游县菜溪乡境内


电话:
0594-8664129

",菜溪岩传说有一百多景。山中有一座古老寺院，寺始建于唐，几经兴废，现存清代重建的大雄宝殿、九仙宫、观音殿和宁代舍利塔。寺院附近有两块高达百米、宽近三百米的巨石对峙，中开一门，即为石门。石门的北面峭壁如屏，每逢降雨后，山上流水从这里倾泻，形成壮观的瀑布，直泻龙潭。龙潭东侧，一块高数十米的巨石巍然矗立，俗称“飞来石”。据说是明万历年间从山巅滚下来的。飞来石下，另有一平卧巨石，上刻“眠云石”三字。站在石上西眺，只见狮子峰峻峭逼人。峰上的石笋、石凉伞形象逼真，亭亭玉立。眠云石下是“幻游洞”，洞前小湖边，古松垂荫，藤蔓翳然。菜溪岩的右侧还有石鼓、石钟、石狮、石象、罗汉洞诸景。罗汉洞幽深宽敞，传说昔时九鲤湖何氏九仙常到此游玩。,8:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/201910/74c1aad38ea3040ee57975e4140507b7.jpg_480x360x95_d9df2d6f.jpg,4.4,建议游览时间：1小时,,"{'菜溪岩门票成人票\n\n': ['¥35起'], '菜溪岩门票优待票\n\n': ['¥17起'], '菜溪岩电子导览服务大小同价\n\n': ['¥6起']}",,1
鹅尾神石园Goose Tail Stone Garden,http://travel.qunar.com/p-oi7568505-eweishenshiyuan,"

地址:
莆田市秀屿区文甲码头湄洲岛东南端


电话:
0594-5089922,400-918-9966

",鹅尾神石由“金山坳”“飞戟洞”“海门”“狮子山”和“神石冈”五个部分组成，包括海龟朝圣，圣泉井、飞戟洞、鲤鱼十八节、龙洞听潮、拇指石等数十个景点。历史上，宋刘克庄、明黄仲昭(1435～1508)等众多莆田籍文人才子，都曾到此吟诗作赋，留下不少题咏。神石园的第一景点是：海龟朝圣。相传千年以前，这只神龟在海中修炼多年，经常在海面看到渔家女林默娘风里来雨里去地扶危救难，感念林默娘的慈悲情怀和勇敢精神，决心拜默娘为师。海龟选择了九九重阳佳节登陆，它爬到鹅尾山半山腰...鹅尾神石由“金山坳”“飞戟洞”“海门”“狮子山”和“神石冈”五个部分组成，包括海龟朝圣，圣泉井、飞戟洞、鲤鱼十八节、龙洞听潮、拇指石等数十个景点。历史上，宋刘克庄、明黄仲昭(1435～1508)等众多莆田籍文人才子，都曾到此吟诗作赋，留下不少题咏。神石园的第一景点是：海龟朝圣。相传千年以前，这只神龟在海中修炼多年，经常在海面看到渔家女林默娘风里来雨里去地扶危救难，感念林默娘的慈悲情怀和勇敢精神，决心拜默娘为师。海龟选择了九九重阳佳节登陆，它爬到鹅尾山半山腰时，远望湄屿主峰上祥云五色，默娘在阵阵仙乐声中缓缓升天了。拜师无望，海龟痛断肝肠，含泪化成赤石凝固在朝圣的路上。由于海龟的辛酸泪水点点滴滴留在半山腰，至今“海龟朝圣”石前还是湿漉漉的，不管天气如何干旱，这里常年泛潮，传说海龟千年伤心泪未干。“百兽拜神”是由山上的石景和海上的奇观动静结合组成的，它孕育着一个十分生动的传说：妈祖升天后，其英灵驰骋在海面救苦救难；而海上鲨鱼、鲸鱼家族，仗着鱼多势众，经常在海上兴风作浪，危害百姓。为救黎民苍生，妈祖决定与鲸鲨决一死战。双方约定，如果妈祖三招之内能制服鲸鲨，它们愿从此听从妈祖调遣，并于每年三月二十三前来朝拜。妈祖施用“汲水法”，只一招就把鲨鱼、鲸鱼搁浅困住，动弹不得。从此，鲨鱼鲸鱼们遵守诺言，每年三月必成群结队，千里迢迢游向湄洲岛，遥对祖庙山朝圣，这就是当地人说的“海帮拜妈祖”的壮丽奇观。沿着滨海岩石凿出的一条石径前行，过了一座石桥，前边便是“飞戟洞”和“斧劈崖”，几乎都与妈祖的传说紧密相连。从“雾海寻灯”亭出来，到“读海台”，后来到“龙洞听潮”。如果是夏天，这里可是纳凉的好地方，即使是炎炎酷日，这里也是清沁凉爽。,夏季8:00-18:00；冬季8:00-17:30,https://img1.qunarzz.com/travel/poi/1412/69/6965da6565527a64cdb.jpg_480x360x95_5f639178.jpg,4.7,建议游览时间：2小时 - 3小时,四季皆宜,15元,,1
土海湿地公园Putian Tuhai Wetland Park,http://travel.qunar.com/p-oi35216781-tuhaishidigongyuan,, 莆田土海湿地公园拥有巨大的湿地面积，人们在这里能够看到很多鸟类和植物，因其良好的生态环境受到当地人喜爱。,,,2.0,建议游览时间：3小时,,,,1
