名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
历山舜王庙,http://travel.qunar.com/p-oi709400-lishanshunwangmiao,,历山舜王庙在鄄城县阎什镇历山庙村西，东距阎什镇2公里。舜，有虞氏，姓姚，名重华，字成都，虞君之后，历代传为贤明圣君，司马迁列之为五帝之一。皇甫谧云：“舜生姚墟”，据考姚墟即今山东省鄄城县麻寨乡舜城集。《史记》载：舜耕历山，历山之人皆让畔；渔雷泽，雷泽之人皆让居；陶河滨，河滨器皆不苦窳。一年而所居成聚，二年成邑，三年成都。历山、雷泽、河滨均在鄄城境内。舜20岁登帝位，它是一位仁爱、诚信、谦恭、勤政、爱民的帝王，后人思其功德，向往其遗风，在所耕之历山建...历山舜王庙在鄄城县阎什镇历山庙村西，东距阎什镇2公里。舜，有虞氏，姓姚，名重华，字成都，虞君之后，历代传为贤明圣君，司马迁列之为五帝之一。皇甫谧云：“舜生姚墟”，据考姚墟即今山东省鄄城县麻寨乡舜城集。《史记》载：舜耕历山，历山之人皆让畔；渔雷泽，雷泽之人皆让居；陶河滨，河滨器皆不苦窳。一年而所居成聚，二年成邑，三年成都。历山、雷泽、河滨均在鄄城境内。舜20岁登帝位，它是一位仁爱、诚信、谦恭、勤政、爱民的帝王，后人思其功德，向往其遗风，在所耕之历山建庙以祀之，故名“历山舜王庙”。据古庙碑记载，东汉光武帝年间开始修庙立碑，其后南北朝、北魏、唐、元、明、清各朝皆有修复。,,,5.0,,,,,2
青年湖公园,http://travel.qunar.com/p-oi715841-qingnianhugongyuan,"

地址:
山东省菏泽市市辖区

",青年湖公园似一颗明珠，镶嵌在菏泽城的西南端。现存的150余亩水面，为历史上筑城取土所形成． 这里远离闹市，环境清幽，西南两面城堤环护，绿树掩映，风景宜人。经1978年以来几年初期施工， 现已建起小码头、佳景亭、湖心桥等一批基础设施和景观吸引了本地和外地的游人，按照总体规划，完全建成后的青年湖公园占地 500余亩，湖上曲亭回环，亭阁相连，湖中筑人工岛，建园中园，沿湖错落分布游泳池、游乐场、旱冰场、 月季园、北方水乡等。巧施精雕，人工天成荟于一体，模山范水，南北风...青年湖公园似一颗明珠，镶嵌在菏泽城的西南端。现存的150余亩水面，为历史上筑城取土所形成． 这里远离闹市，环境清幽，西南两面城堤环护，绿树掩映，风景宜人。经1978年以来几年初期施工， 现已建起小码头、佳景亭、湖心桥等一批基础设施和景观吸引了本地和外地的游人，按照总体规划，完全建成后的青年湖公园占地 500余亩，湖上曲亭回环，亭阁相连，湖中筑人工岛，建园中园，沿湖错落分布游泳池、游乐场、旱冰场、 月季园、北方水乡等。巧施精雕，人工天成荟于一体，模山范水，南北风光近收眼底。是一个集娱乐、休闲、垂钓的好去处。近年游人以有诗赞曰 “莫道曹州无山水，青年湖上景阑干”。,全天,,--,,,免费,,2
曹州武术馆,http://travel.qunar.com/p-oi703010-caozhouwushuguan,"

地址:
菏泽市人民南路附近

",曹州武术馆是国家教委、体委批准认可的一所大型规范化、军事化教武育人的训练基地。本馆指导思想是：“以文保武”，“以武促文”、“以质量求生存”，“以信誉求发展”以法治馆，以德育人，培养“四有”人才，以传授和发扬中华武术为已任。,8：00——18：00,,--,,,免费,,2
谷林尧陵,http://travel.qunar.com/p-oi704656-gulinyaoling,"

地址:
山东省菏泽市鄄城县境内的富春乡谷林

",尧陵又称尧王墓，乃帝尧所葬之处，《吕氏春秋》云：“尧葬谷林”，其址在距鄄城县城7公里的富春乡谷林，故名“谷林尧陵”。尧，姓伊祁，名放勋，号陶唐氏，系轩辕黄帝五世孙，父帝喾，母庆都。司马迁列之为五帝之一。尧以钦明文思四德安其民，亲睦九族，更以“禅让”美德名扬天下，颇受人民敬仰和拥戴。尧15岁封唐侯，20岁为天子，建都平阳（今山西临汾西境），在位98年，117岁去世，葬于谷林。,8：00-18：00,,5.0,,,,,2
仿山墓群,http://travel.qunar.com/p-oi706456-fangshanmuqun,"

地址:
菏泽市定陶县城北偏西约5公里处

",仿山墓群是西周至春秋战国时期曹国贵族墓地，位于定陶县城北偏西约5公里处，西距菏泽至商丘公路约1.5公里。乘车至定陶县化肥厂，举目东望，突兀隆起，绿荫覆盖，仿佛若山，即仿山墓群。仿山墓群由东西两山构成：东山阜高约12米，东西宽90米，南北长340米，中间跨越50米的深谷，即至西山；西山高约4米，东西宽54米，南北长140米。两山共占地约3.8万平方米。仿山墓群又是两汉墓地，虽不见文献记载，但从东山西南部断壁观察，已暴露多座两汉的竖穴、石匣、砖室墓葬，并出土部分文...仿山墓群是西周至春秋战国时期曹国贵族墓地，位于定陶县城北偏西约5公里处，西距菏泽至商丘公路约1.5公里。乘车至定陶县化肥厂，举目东望，突兀隆起，绿荫覆盖，仿佛若山，即仿山墓群。仿山墓群由东西两山构成：东山阜高约12米，东西宽90米，南北长340米，中间跨越50米的深谷，即至西山；西山高约4米，东西宽54米，南北长140米。两山共占地约3.8万平方米。仿山墓群又是两汉墓地，虽不见文献记载，但从东山西南部断壁观察，已暴露多座两汉的竖穴、石匣、砖室墓葬，并出土部分文物。有的墓自墓口至墓底，深足有五六米之多，可见规模较大。经调查，在菏泽地区不论是古代文化遗址还是古墓地，几乎都有两汉墓葬打入，这或许与依山傍水埋葬可造福后代的迷信习俗有关。,8:00-17:00,,4.5,建议游览时间：2小时 - 4小时,四季皆宜,10元,,2
巨野金山景区Juye Jinshan Scenic Resort,http://travel.qunar.com/p-oi713738-juyejinshanjingqu,"

地址:
独山镇中共巨野县金山旅游区工作委员会(东南20公里)


电话:
0530-8480006

",金山景区位于山东省菏泽市独山镇，这里山虽不高，却有很多的景点。,全年 7:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0a7f3aaac28653afcc5649dcfea4fbc7.jpg_480x360x95_89d75e09.jpg,4.4,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2
林台古镇,http://travel.qunar.com/p-oi39773394-lintaiguzhen,,,,,0.0,,,,,2
中国牡丹园滑雪场,http://travel.qunar.com/p-oi39608666-zhongguomudanyuanhuaxue,,中国牡丹园滑雪场，项目占地面积约4万平米，总建筑面积约1600平米，总投资1.2亿，项目位于山东省菏泽市牡丹区牡丹办事处G220国道中国牡丹园，是您冬季滑雪玩雪的良好去处。,,,0.0,,,,,2
冷庄宋江湖,http://travel.qunar.com/p-oi39540848-lengzhuangsongjianghu,,,,,0.0,,,,,2
花乡牡丹芍药园,http://travel.qunar.com/p-oi38964447-huaxiangmudanshaoyaoyuan,,,,,0.0,,,,,2
老城曹州,http://travel.qunar.com/p-oi38950615-laochengcaozhou,,,,,4.0,,,,,3
长城路桥,http://travel.qunar.com/p-oi38943498-zhangchengluqiao,,,,,5.0,,,,,3
蚩尤广场,http://travel.qunar.com/p-oi38943119-chiyouguangchang,,,,,0.0,,,,,3
齐鲁会盟台遗迹,http://travel.qunar.com/p-oi38941979-qiluhuimengtaiyiji,,,,,--,,,,,3
巨野教案遗址,http://travel.qunar.com/p-oi38941961-juyejiaoanyizhi,,,,,--,,,,,3
曹县黄河故道国家湿地风景区,http://travel.qunar.com/p-oi38923166-caoxianhuanghegudaoguo,,,,,,,,,,3
寿文化广场,http://travel.qunar.com/p-oi38891676-shouwenhuaguangchang,,,,,--,,,,,3
南城公园,http://travel.qunar.com/p-oi38887911-nanchenggongyuan,,,,,0.0,,,,,3
戴月公园,http://travel.qunar.com/p-oi38853765-daiyuegongyuan,,,,,4.0,,,,,3
湖西公园,http://travel.qunar.com/p-oi38336833-huxigongyuan,,,,,0.0,,,,,3
新天地公园,http://travel.qunar.com/p-oi38336100-xintiandigongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,4
朱家大院,http://travel.qunar.com/p-oi38335254-zhujiadayuan,,,,,0.0,,,具体收费情况以现场公示为主,,4
甜湖公园,http://travel.qunar.com/p-oi38134803-tianhugongyuan,,甜湖公园位于菏泽市单县，是单县新建的大型公园之一，公园建设面积约12万平方米，同时公园内有楹联文化墙、花海大道、月牙沙滩等景点。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,4
前王庄民居建筑群,http://travel.qunar.com/p-oi37807207-qianwangzhuangminjujian,,,,,0.0,,,具体收费情况以现场公示为主,,4
单县牌坊,http://travel.qunar.com/p-oi37806575-danxianpaifang,,,,,0.0,,,,,4
巨野博物馆,http://travel.qunar.com/p-oi37806155-juyebowuguan,,巨野博物馆是一座综合类博物馆，馆藏文物一万余件。展馆由基本陈列、专题陈列和临时展览组成。下设大野沧桑、金石瑰宝、大汉之风、馆藏文物、精品书画、俊杰星驰、民俗非遗、临时展览八个展厅。展陈形式上利用现代科技展陈手段配合传统陈列，营造古今碰撞的氛围，以场景复原和多媒体声光电相结合，客观而生动地展现了巨野历史。,,,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
幻境空间梦幻乐园,http://travel.qunar.com/p-oi37801276-huanjingkongjianmenghuan,"

地址:
山东省菏泽市牡丹区长江路1266号万达广场3号楼3019


电话:
19153016013

",众里寻她千百度，蓦然回首，那人却在灯火阑珊处，这是呼吸灯森林带给人最直观的感受，呼吸灯森林曾和水晶宇宙、冰冷的生命等，艺术装置组成的光影魔幻城堡，被誉为全球“必看展览”。呼吸灯森林是展览最重要的环节，打开门的一瞬间，缤纷的色彩猝不及防地涌向你的双眼，360度的镜像、空灵的配乐，让你如同坠入了一个迷离的幻境，数不清的灯盏高低错落地凌空悬挂，如同呼吸一般变换着色彩,全年 09:00-21:30,,5.0,建议游览时间：1小时 - 3小时,,,,4
南湖公园,http://travel.qunar.com/p-oi37532410-nanhugongyuan,,南湖公园修建有游船码头，环湖步道，观景台，广场等，还有博物馆，风光秀丽，景色宜人，是人们休闲锻炼的好地方。,,,0.0,建议游览时间：3小时,,,,4
徐格妻刘氏节孝坊,http://travel.qunar.com/p-oi37381324-xugeqiliushijiexiaofang,,,,,--,,,具体收费情况以现场公示为主,,4
申氏牌坊,http://travel.qunar.com/p-oi37381301-shenshipaifang,,,,,--,,,具体收费情况以现场公示为主,,4
周自齐公园,http://travel.qunar.com/p-oi37190486-zhouziqigongyuan,,,,,0.0,,,,,5
郓州博物馆,http://travel.qunar.com/p-oi37190425-yunzhoubowuguan,,郓州博物馆位于菏泽市郓城县，建筑面积两万余平米，共有四层，分为六个展区，馆藏四千余件，集历史记忆、典藏文物、红色郓城、民俗非遗、城市规划等多方位于一体。,,,0.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
濮水公园,http://travel.qunar.com/p-oi37190400-pushuigongyuan,,,,,--,,,具体收费情况以现场公示为主,,5
万福公园,http://travel.qunar.com/p-oi37189797-wanfugongyuan,,,,,--,,,,,5
单县幵山公园,http://travel.qunar.com/p-oi37189717-danxianjianshangongyuan,,,,,,,,,,5
慧光公园,http://travel.qunar.com/p-oi37189523-huiguanggongyuan,,,,,0.0,,,,,5
湖西人民广场,http://travel.qunar.com/p-oi37189218-huxirenminguangchang,,,,,0.0,,,具体收费情况以现场公示为主,,5
东舜河湿地公园,http://travel.qunar.com/p-oi36680812-dongshunheshidigongyuan,,东舜河湿地公园面积辽阔，湿地率高，有四方隋珠雕塑、亲水平台、人工生态湿地等景观，是一幅天蓝、水清、草绿、路幽的山水画卷。,,,0.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
菏泽牡丹园,http://travel.qunar.com/p-oi36453633-hezemudanyuan,"

地址:
菏泽市经济开发区长江东路德商高速东300米路南


电话:
0530-5520185

",菏泽牡丹园位于菏泽市经济开发区长江东路，德商高速菏泽口东临，菏泽牡丹机场西4公里。由中科农林科技有限公司投资建设，项目占地400亩，总投资额1.6亿元。主要包括菏泽牡丹园、菏泽市牡丹林木种质资源库、牡丹科研中心、牡丹芍药观赏基地、名贵大丽花观赏繁育基地等。公司现状：1：菏泽牡丹园拥有百年以上牡丹树保有量全的一个(目前保有百年以上牡丹树2000余株)；2：菏泽牡丹园拥有高端什锦牡丹保有量全的一个（二十年生以上“什锦”牡丹20万株）；3：天竺牡丹及新品种培育全的一个（...菏泽牡丹园位于菏泽市经济开发区长江东路，德商高速菏泽口东临，菏泽牡丹机场西4公里。由中科农林科技有限公司投资建设，项目占地400亩，总投资额1.6亿元。主要包括菏泽牡丹园、菏泽市牡丹林木种质资源库、牡丹科研中心、牡丹芍药观赏基地、名贵大丽花观赏繁育基地等。公司现状：1：菏泽牡丹园拥有百年以上牡丹树保有量全的一个(目前保有百年以上牡丹树2000余株)；2：菏泽牡丹园拥有高端什锦牡丹保有量全的一个（二十年生以上“什锦”牡丹20万株）；3：天竺牡丹及新品种培育全的一个（公司目前拥有观赏牡丹品种1200多个，观赏芍药品种600多个，天竺牡丹120余种）；4：我们把新物种研发及牡丹芍药与医药产业结合列在公司发展首位目标，（培育适合江南湿热环境牡丹品种、培育抗寒牡丹品种、培育适合鲜切花牡丹品种）。菏泽牡丹园同中科院、以色列、荷兰等国际高端研发单位合作，现有专家科研团队2个、业务拓展团队3个、技术服务团队6个，在牡丹区建有牡丹种植培育基地1300亩。逐步把菏泽牡丹园打造成菏泽牡丹及花卉的品种研发、种植、生产、销售、旅游于一体的现代化国际花卉基地。菏泽牡丹园项目的落成，为菏泽增加了一处新的牡丹主题观光景点，紫藤长廊、大丽花、欧洲月季等花卉扩繁种植，确保四季有花，年可接待游客200万人，为助力菏泽牡丹产业发展、完善牡丹观光布局、深度开发牡丹资源发挥重要作用。,全年 08:30-16:30,,4.5,建议游览时间：2小时 - 3小时,,48元,,5
单县民俗博物馆,http://travel.qunar.com/p-oi36259256-danxianminsubowuguan,,,,,0.0,,,具体收费情况以现场公示为主,,5
单县科技馆,http://travel.qunar.com/p-oi36222933-danxiankejiguan,"

地址:
菏泽市单县北园路（单县党校西50米）

",单县科技馆总建筑面积24000多平方米，总投资3亿多元。主要包括1个常设展厅、3个科普影院、8个科普实验室。单县科技馆总建筑面积24000多平方米，总投资3亿多元。主要包括1个常设展厅、3个科普影院、8个科普实验室。1个常设展厅分为11个展区，30个主题，共有323件展品展项。展厅紧扣“科技引领未来”这一主题，分为科技之魂、科技之美、科技之梦三大部分。以科学心路开篇，以科学天路收官，揭示科技之魂，展示科技之美，述说科技之梦，通篇浑然一体。“科技之魂”主要展示古今中外尤其是建国以来的科学家们孜孜不倦、勇攀高峰、不怕牺牲的感人事迹和高尚情操。共包含“科学心路”1个展厅。其中，科学心路展厅是全国科技馆具有特色、独一无二的展厅。“科技之美”主要展示了与人们工作和生活密切相关的科技成果，共包含科技生活、儿童乐园、航空航天、基础科学、生命健康、公共安全、生态环境等7个展厅。“科技之梦”主要展示过去、现在和未来的幻想如何变为现实，展示科学家在科学探索过程中取得的伟大成就，展示中国领先世界的科技成果、当今世界的未解之谜以及人类对科学永无止境的追问。共包含科幻殿堂、科技探索、科学天路3个展厅。其中，科学天路展厅是全国科技馆具有特色、独一无二的展厅。3个科普影院包括4D影院、VR影院和球幕影院，其中，VR影院是全国科技馆行业第一家。8个科普实验室包括数字科技世界、VR实验室、物理实验室、创客空间、手工教室等。其中，数字科技世界被称为数字化科普知识百科全书，VR实验室从虚拟的角度，带领青少年进入一个全新的丰富多彩的科学实验殿堂！单县科技馆自2018年2月7日正式开馆以来，先后接待了70万人次前来参观体验。单县科技馆的建成使用，极大的掀起了全县广大群众特别是青少年崇尚科学、探索科技、追逐梦想的浪潮，不仅得到了广大人民群众的广泛拥护，同时也得到了各级领导的高度赞扬，省科协党组书记、副主席王春秋同志曾这样评价：单县科技馆与中国科技馆同步！,全年 周一-周二 全天不开放 ;全年 周三-周日 09:00-17:00,,4.9,建议游览时间：2小时 - 3小时,,常设展厅免费,,6
八里湾水库Bali Bay Reservoir,http://travel.qunar.com/p-oi35832357-baliwanshuiku,,水库地形特殊，四面环水，是人们较为理想的休闲娱乐场所。,,,0.0,建议游览时间：1小时 - 3小时,,,,6
百花园Bai Garden,http://travel.qunar.com/p-oi35832173-baihuayuan,,曹州百花园原名“万花村”，现为国家AA级旅游景区。始建于明朝嘉靖年间。园内面积100余亩，培植精品牡丹20万余株，观赏芍药10万余株，拥有牡丹、芍药种苗繁育基地2300余亩，是“中国牡丹城”的主要牡丹精品园之一。曹州百花园位于菏泽市北郊，该园牡丹名贵品种繁多，有红、黄、蓝、白、黑、绿、紫、粉、复色九大色系，品种达520余个，并且多次引进了宁国、兰州、美国、日本等地牡丹品种。自育的牡丹新品种“景玉”、“春红娇艳”“乔子红”、“曹州红”、“向阳红”、“百园奇观”、“万花争春”等35个品种，是世博会获奖较多的单位，被誉为“菏泽牡丹精品园”。曹州百花园集国内外观赏芍药优良品种300余个，八色俱全，“黄金轮”、“红银针”、“菊峰”、“杨妃出浴”等皆为芍药中之珍品。 ,,,4.8,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
白虎山动物园Baihu Mountain Zoo,http://travel.qunar.com/p-oi35824460-baihushandongwuyuan,,白虎山动物园隶属白虎山旅游度假区，目前，园区占地面积300余亩，园内景观布局采用非对称式，以山势起伏的白虎山为背景，把自然景色与人工建筑巧妙有机的结合在一起，根据地形建设动物展区、娱乐游玩区，科普知识教育区、餐饮服务区及动物艺术表演等多个区域。 园内饲养展出各类稀有珍贵野生动物70余种590多只（头），有我国特产珍稀野生动物和世界各地的代表性动物。如孟加拉虎、东北虎、白虎、鸸鹋、非洲狮、白狮、长颈鹿、袋鼠、黑熊等，是一所集动物饲养、观赏、科普、娱乐、餐饮服务为一体的综合性动物园。,,,3.9,建议游览时间：2小时 - 3小时,,"{'白虎山动物园门票成人票\n\n': ['¥59.5起'], '白虎山旅游度假区玻璃桥+前王庄民居建筑群票+青龙山水上乐园门票+菏泽巨野金山旅游区门票成人票\n\n': ['¥60起']}",,6
曹县牧原六分场,http://travel.qunar.com/p-oi35642131-caoxianmuyuanliufenchang,,,,,,,,,,6
曹县牧原四场,http://travel.qunar.com/p-oi35641853-caoxianmuyuansichang,,,,,--,,,具体收费情况以现场公示为主,,6
冯沙窝村Fengshawo Village,http://travel.qunar.com/p-oi35474446-fengshawocun,,,,,--,,,具体收费情况以现场公示为主,,6
魏湾桥Weiwan Bridge,http://travel.qunar.com/p-oi35474440-weiwanqiao,,,,,--,,,,,6
沙窝赵Shawozhao Village,http://travel.qunar.com/p-oi35474412-shawozhao,,,,,0.0,,,,,6
北张楼村Beizhanglou Village,http://travel.qunar.com/p-oi35474283-beizhangloucun,,,,,5.0,,,具体收费情况以现场公示为主,,6
许沙窝村Xushawo Village,http://travel.qunar.com/p-oi35474148-xushawocun,,,,,--,,,,,7
北孙楼村Beisunlou Village,http://travel.qunar.com/p-oi35474142-beisunloucun,,,,,--,,,具体收费情况以现场公示为主,,7
西堡城Xibaocheng Village,http://travel.qunar.com/p-oi35474096-xibaocheng,,,,,--,,,具体收费情况以现场公示为主,,7
沙窝李村Shawoli Village,http://travel.qunar.com/p-oi35474093-shawolicun,,,,,--,,,具体收费情况以现场公示为主,,7
沙窝赵村Shawozhao Village,http://travel.qunar.com/p-oi35474032-shawozhaocun,,,,,--,,,具体收费情况以现场公示为主,,7
北袁楼村Beiyuanlou Village,http://travel.qunar.com/p-oi35474015-beiyuanloucun,,,,,--,,,具体收费情况以现场公示为主,,7
冉楼村Ranlou Village,http://travel.qunar.com/p-oi35384044-ranloucun,,,,,--,,,具体收费情况以现场公示为主,,7
董邵楼村Dongshaolou Village,http://travel.qunar.com/p-oi35320685-dongshaoloucun,,,,,--,,,具体收费情况以现场公示为主,,7
郭长庄Guochangzhuang Village,http://travel.qunar.com/p-oi35320671-guozhangzhuang,,,,,--,,,具体收费情况以现场公示为主,,7
