名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
萍乡武功山风景区Pingxiang Wugong Mountain Scenic Area,http://travel.qunar.com/p-oi10010895-pingxiangwugongshanfeng,"

地址:
萍乡市芦溪县芦万武旅游公路


电话:
0799-2109616


官网:
http://www.wugongshan.cn/

",武功山地处罗霄山脉北段，主峰白鹤峰（金顶）海拔约一千九百米。由于山脉地跨两市，武功山分为萍乡和安福两个景区，两边各有特色。萍乡武功山风景区以武功山经典的高山草甸为主，一般来武功山徒步、赏景的游客都会选择萍乡。景区包含羊狮幕、金顶、发云界、九龙山四个部分，其中，羊狮幕正在开发中；金顶有完善的步道和索道上下山，是武功山开发完善的游览线路。登金顶、看日出日落、赏云海星空是来此游玩的三大体验项目，许多爱好徒步摄影的驴友选择组队徒步穿越羊狮幕-发云界-金顶-九龙（三天），算是华东比较虐的徒步线路。普通游客则通常会用步行与索道结合的方式，花一两天游玩金顶，赏日出和云海，轻松很多。金顶的步道大致是个“P”字型，入口右边有通往山顶的两级索道，左边则是包含吊马桩、好汉坡等景点的游步道。体验“三大项”的安排是，当天中午开始，从右边步行加索道上山，夜宿金顶，第二天一早看日出和云海，而后继续逆时针从左边步道返回。入口去索道下站会经过石鼓寺、武功山文化园，可花半小时简单参观。坐在索道上，往上看是奇峰陡崖和原始次生林，往下看是青翠的竹林、梯田，景色怡人。如果步行上山，沿途有尽心桥、尽心瀑、母子岩等景观。二者各有千秋，若不愿错过，可在次日下山时选择步行这一段。下索道便进入了福星谷区域，你会感到空气变得清新。索道站旁边的紫极宫也被叫做“中庵”，里面供奉着武功山王爷，据说这里求神问卦十分灵验。参观完紫极宫就要登顶了，可走左边的吊马桩、中间的回音谷、右边的福星谷，吊马桩线是溯溪而上，经吊马桩栈道，爬好汉坡，直到山顶的高山草甸。步道比较陡峭，一路沿着悬崖绝壁、森林古木穿行，体力消耗非常大。回音谷是条老官道，有回音壁、雷打峡等景点。福星谷则是近几年专门为游客打造的上山路，由此步行到金顶大约1.5小时，若不愿走路还可以再坐一程索道，很人性化。通常选择悬索桥方向，由福星谷上，吊马桩下。走在福星谷的步道上，沿路生态很好，石景有形似福星的福星岩、像心脏的许愿石。点将台和问道台是一览后面千米悬空木栈道的位置，很适合拍照。不过由于地势险，地方小，人多的时候要注意安全。福星谷步道尽头便是千米木栈道，结束了攀登，走在平整的栈道上正好能歇口气。这段栈道也是条观景长廊，不仅能看山峦起伏，还能欣赏武功山特有的江西杜鹃、独蒜兰等植物，远眺森林梯田。路上的悬索桥和玻璃观景台有些惊险，如果恐高，悬索桥旁边也有普通步道可以通行。到达二级索道下站，乘索道上去，再步行一会儿就能见到武功山独特的高山草甸景观和千年祭坛。二级索道上站去到高山草甸的路上有几处值得一看的奇石景观，诸如像一个紧握的拳头的“武功神拳”、威严深沉的“武功山神”等，顺着游步道穿越草甸，草甸上散落的四处古祭坛是古人用来人与上苍沟通的纽带，已有约1700年历史，是武功山的标志性景观。再往前几十米便是江西高峰的金顶了，这里有一块世纪之碑，碑的底座是萍乡地图，让人感觉整个江西都在你的脚下。继续往前，过白鹤观有一排小房子可以住宿和吃饭，再向前走到观音宕则是片适合扎帐篷的营地，这里也是每年九月的武功山帐篷节的露营地，草甸上五颜六色的帐篷颇为壮观。晚上在山上留宿，第二天一早，当红日从天边升起，山体逐渐被染红，给人的感觉也很开阔。日出后就能看到壮观的云海。特别是在秋季，满山芦花盛开，草甸金黄一片，在阳光照耀下更显璀璨。看过日出，过双乳峰，在吊马桩留影，在发云界与好汉坡的岔路选择后者，走过好汉坡数百级的陡直石阶，便回到比较好走的麻石小路上了。走过吊马桩栈道，往前约一公里，便能回到紫极宫索道站，由此乘索道下行即可回到大门。出大门往右边走，是七仙潭、红岩谷瀑布等水景，若是时间充裕，也可安排半天时间一并游览。,11/1-03/31(淡季) 08:00-17:00;4/1-10/31(旺季) 08:00-17:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20222/3ed884a60eb29c22bc9a8925cb740e3c.jpg_480x360x95_40526d26.jpg,4.6,建议游览时间：3天 - 6天,,"{'武功山门票成人票\n\n': ['¥70起'], '武功山门票+中庵索道（上行）票成人票\n\n': ['¥125起'], '武功山中庵索道票成人票\n\n': ['¥50起']}",,1
萍乡武功山云顶景区,http://travel.qunar.com/p-oi38842799-pingxiangwugongshanyun,,萍乡武功山云顶景区位于萍乡市，紧邻国家AAAAA级旅游景区萍乡武功山，武功山云顶景区以观音宕草甸、星空户外营地、国际帐篷文化博览园、红岩谷、云顶栈道、金壶洒酒瀑布、七仙潭、夫妻瀑、一木成林等自然、人文景观为特色，徒步溯溪、户外运动、生态观光、避暑度假为功能的山岳型景区。,,,4.9,,,,,1
金顶索道Jinding Ropeway,http://travel.qunar.com/p-oi19592496-jindingsuodao,"

地址:
萍乡市芦溪县武功山风景区内


电话:
0799-2109616,0799-7636666

",金顶索道位于萍乡武功山风景区内，又称二级索道，是由福星谷到金顶的往返索道。,04/01-10/31(旺季) 08:20-17:10;11/1-03/31(淡季) 08:30-16:30,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/5d8b1181-2428-4e4a-a97b-6570c8b6202f.jpg,4.4,建议游览时间：0.5小时 - 2小时,,25元,,1
发云界,http://travel.qunar.com/p-oi7527503-fayunjie,"

地址:
萍乡市 芦溪县新泉乡武功山风景区内


电话:
0799-6682266


官网:
http://www.wugongshan.cn/

",,8:00-20:00,https://img1.qunarzz.com/travel/poi/1411/e7/e7a78291f1622eb0213a9cdb.jpg_480x360x95_fb265806.jpg,4.3,建议游览时间：1小时 - 2小时,,70元,,1
义龙洞,http://travel.qunar.com/p-oi722617-yilongdong,"

地址:
江西省萍乡市上栗县‎


电话:
0799-3611080‎

","义龙洞是形成于1亿8千万年前的天然溶洞,洞长4200余米,蜿延曲折,溪水相伴，水随洞转，洞因水活，平坦处溪水静如玉带飘荡，断层处跌落成瀑，飞瀑声如春雷滚滚，岩缝中不时有清泉涌出，其声如铃似琴，洞中岩景乳石甚是发育，有的如玉雕，有的像刺绣，似人似兽，若物若影，惟妙惟肖。洞内庭廊相连，最大洞庭高达30米，可容纳千人，石笋、石花、石幔玲珑剔透，闪光发亮，五颜六色，千姿百态，兼静赏动观之妙，赋形象思维之乐，形成一个蔚为壮观的雕塑艺术长廊。洞内景点众多，是旅游胜地和...义龙洞是形成于1亿8千万年前的天然溶洞,洞长4200余米,蜿延曲折,溪水相伴，水随洞转，洞因水活，平坦处溪水静如玉带飘荡，断层处跌落成瀑，飞瀑声如春雷滚滚，岩缝中不时有清泉涌出，其声如铃似琴，洞中岩景乳石甚是发育，有的如玉雕，有的像刺绣，似人似兽，若物若影，惟妙惟肖。洞内庭廊相连，最大洞庭高达30米，可容纳千人，石笋、石花、石幔玲珑剔透，闪光发亮，五颜六色，千姿百态，兼静赏动观之妙，赋形象思维之乐，形成一个蔚为壮观的雕塑艺术长廊。洞内景点众多，是旅游胜地和天然岩溶的标本库。洞内怪石、清风、流泉、飞瀑，被称为洞中“四绝”。洞内常年平均温度计18度，冬暖夏凉，需游览二个多小时。特别是洞内天然瀑布，高九米，宽七米，被地质和园林专家称为见所未见、闻所未闻的洞天奇观。1982年曾被中国风景名胜权威、同济大学教授陈严周先生誉为“天下第一洞”、“地下艺术长廊”。尤其是我公司接管改造建设后，洞内外设施日臻完善,面貌焕然一新。今后她将以更加灿烂的形象让游客赏心悦目热忱欢迎广大游客到义龙洞旅游观光。义龙洞位于距江西萍乡市城区15公里的上栗县福田镇青溪村，是一个形成于1.8亿义龙洞风景图年前的天然溶洞，全洞长达4.2公里，蜿蜓曲折，深邃清幽。洞内宽敞处高达30多米，可容纳千人，低窄处仅可容一人侧身通过。",9：00-17：00,https://img1.qunarzz.com/travel/d7/1508/c5/bfc01cd1b3b879.jpg_480x360x95_7b8b2fa3.jpg,4.5,,,40元人,,1
狗脑寨,http://travel.qunar.com/p-oi39587630-gounaozhai,,,,,0.0,,,,,1
傩神洞,http://travel.qunar.com/p-oi39577573-nuoshendong,,傩神洞是融合了非遗文化傩文化元素，给游客带来沉浸式体验的溶洞。傩神洞占地面积4800平，洞内游客步道长450米，这是一个历经两亿年的沧桑巨变造就的地质奇观，也是一个被萍傩文化浸染了二千多年的神奇的地下魔宫。洞内冬暖夏凉，常年17摄氏度，四季如春。奇险俊美的溶洞风光，和神秘古老的萍乡傩文化，水乳交融，相辅相成，为游客开启一次奇妙的傩神洞探秘之旅。,,,0.0,,,,,1
鳌州书院,http://travel.qunar.com/p-oi39572999-aozhoushuyuan,,,,,0.0,,,,,1
早禾塘,http://travel.qunar.com/p-oi39518739-zaohetang,,,,,0.0,,,,,1
江口乡村森林公园,http://travel.qunar.com/p-oi39512303-jiangkouxiangcunsenlin,,江口乡村森林公园位于湘东区湘东镇南部，濒临萍水河。这里建有零799艺术别墅区、白墙黛瓦，透着浓浓的艺术气息。三石竹艺展示馆，现代气派，展示传统文化与现代工艺的完美结合。油葵花摄影基地，油葵花海，姹紫嫣红，五光十色齐聚一起。鸬鹚烟雨湿地景观，烟波浩渺，水鸟嬉戏，江南水乡，美不胜收。,,,0.0,,,,,1
