名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
仙人岛国家森林公园Fairy Island National Forest Park,http://travel.qunar.com/p-oi705533-xianrendaoguojiasenlin,,,,,,,,,,1
白沙湾海水浴场Baishawan (White Sand Bay) Bathing Beach,http://travel.qunar.com/p-oi703474-baishawanhaishuiyuchang,"

地址:
营口市盖州市白沙湾大酒店对面


电话:
13704025940

",白沙湾是一个在绿树掩映之下的海滨浴场。归州白沙湾以盛产大桃和水产品而闻名，在首届白沙湾鲜桃品评会上，一个单体重1040克的大桃夺得白沙湾大桃之冠，并被选入上海吉尼斯纪录。白沙湾的水产非常丰富，深受旅游者的喜爱。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1506/84/8db89ff649cb61.jpg_480x360x95_f45ea33c.jpg,4.0,建议游览时间：2小时 - 3小时,每年6月至10月为最佳。,具体收费情况以现场公示为主,,1
楞严禅寺Lengyan Temple (North Gate),http://travel.qunar.com/p-oi714539-lengyanshansi,"

地址:
营口市站前区新兴大街西16号


电话:
0417-2837195

",楞严禅寺位于营口市新兴大街西16号，地处营口市中心，与哈尔滨极乐寺、长春般若寺、沈阳慈恩寺合称东北四大禅林。楞严禅寺始建于1922年，1931年落成。寺院共有佛殿九十九间，院落规整，主体建筑分布在正南正北走向的一条中轴线上。全寺布局为三进院落。山门为大屋檐歇山式，琉璃瓦顶，金碧辉煌。一进院落东西建有钟、鼓二楼，巍峨壮观。二进院落正高为大雄宝殿，是楞严寺的主要建筑，两边各有彩绘“山花”一幅，是其他庙宇所不多见的。三进院落正面为藏经楼。该寺佛像众多，全寺供奉大型佛像共四十二尊，材质不一，有木雕、泥塑、铜铸、瓷烧、绢绘等。楞严寺东侧是1997年落成的楞严宝塔，塔高61米，八角，九层、空心。造型精美，气势雄浑。宝塔内部，每层都供奉有樟木贴金佛，沿塔内壁，镶嵌323块钛金经板，上刻全部楞严经共6237字，顺扶梯墙壁，镶嵌着黑大理石佛教壁画，映衬着八尊樟木雕刻佛像，更透出佛教文化之博大精深。,全年 8:00-18:00,https://img1.qunarzz.com/piao/fusion/1601/9d/afd80b8577e0f7.jpg_480x360x95_e93da345.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
月牙湾海滨旅游度假区Crescent Bay Seaside Tourist Resort,http://travel.qunar.com/p-oi712821-yueyawanhaibinlu:youdu,"

地址:
营口市鲅鱼圈区经济技术开发区西部渤海之滨

",月牙湾旅游区位于营口经济技术开发区西部渤海之滨，受温带海洋气候影响，四季温和湿润，气候宜人。这里依山傍海，风光秀丽，海域辽阔，浪缓滩平宽阔，水清沙净细腻，是国内外少有的黄金海岸。旅游区内建有错落有致的园林艺术，造型风格各异的雕塑小品，休息凉亭，形状美观、赏心悦目的花坛草坪，丰富多彩的游乐场等，游人来此不但可以领略到风光怡人的海滨自然风光，还可以欣赏到多姿多彩的人文景观，具有较高的观赏游憩价值。,全年 8:00-17:00,https://img1.qunarzz.com/travel/d7/1505/2b/136a7ae5f11954.jpg_480x360x95_2632f37c.jpg,4.4,建议游览时间：3小时 - 4小时,四季皆宜。,具体收费情况以现场公示为主,,1
雪帽山,http://travel.qunar.com/p-oi712652-xuemaoshan,"

地址:
中国辽宁省盖州市九寨镇

",雪帽山位于盖州市九寨镇，山峻林密，古朴原始，风光秀丽。山上土质肥沃，植被丰富，生长着几十个种类、近千亩的阔叶林，以及上百种中草药和山野菜。一年四季花开不断。这里还生活着几十种野生动物，随时可见松鼠、山鸡跳跃山间，野鹿、狍子、獾、狐等穿行林中，整个雪帽山如同一个天然的野生动植物园。,全年开放,https://img1.qunarzz.com/travel/d8/1710/d0/0e98a6e4986536b5.jpg_480x360x95_cf5ab688.jpg,4.7,,,10.00元,,1
金沙滩海滨浴场Golden Beach Bathing Beach,http://travel.qunar.com/p-oi714382-jinshatanhaibinyuchang,"

地址:
熊岳镇

",金沙滩海滨浴场位于熊岳镇，北起号房，南至熊岳河口，海岸线长1公里，可浴面积5公顷。宽阔的海水浴场河滩平缓，沙粒均匀，海水洁净，是理想的“黄金海岸”。这里林静花俏，田园景色与海岸风光融汇一体，别具一格。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a50d925b96b6df070509bd65774576f3.jpg_480x360x95_93a78085.jpg,3.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
金牛山,http://travel.qunar.com/p-oi712807-jinniushan,"

地址:
中国辽宁省营口市大石桥市永安镇西田屯村

",金牛山古人类遗址位于大石桥市永安镇西田屯村，是迄今为止东北地区最早的古人类居住址。1974年以来，国家、省市有关部门对金牛山古人类遗址进行多次发掘，除发现78种哺乳动物化石外，还发现人类使用的打制石器、人类居住面和人类用火的痕迹。1984年10月间北京大学考古系吕遵谔教授组织发掘出土距今26万年前，包括头骨在内的一批极为罕见又极为丰富的古人类化石。经科学鉴定，被命名主“金牛山人”，是晚期直立人向早期智人过渡的代表。“金牛山人”的重要发现对研究古人类发展、深化...金牛山古人类遗址位于大石桥市永安镇西田屯村，是迄今为止东北地区最早的古人类居住址。1974年以来，国家、省市有关部门对金牛山古人类遗址进行多次发掘，除发现78种哺乳动物化石外，还发现人类使用的打制石器、人类居住面和人类用火的痕迹。1984年10月间北京大学考古系吕遵谔教授组织发掘出土距今26万年前，包括头骨在内的一批极为罕见又极为丰富的古人类化石。经科学鉴定，被命名主“金牛山人”，是晚期直立人向早期智人过渡的代表。“金牛山人”的重要发现对研究古人类发展、深化，人类的起源、分布；对研究猿人与智人阶段的体质特征及古地理、古气候等具有重要的科研价值。1984年被列为世界十大科技进展项目之一。1988年金牛山古人类遗址被国务院列为全国重点文物保护单位。,全天开放,https://img1.qunarzz.com/travel/d9/1609/1e/5f1269b81eb4c2b5.jpg_480x360x95_76dfc8b3.jpg,4.0,,,10元,,1
钟鼓楼Gaizhou Bell Tower and Drum Tower,http://travel.qunar.com/p-oi704738-zhonggulou,"

地址:
营口市盖州市古楼办事处辰州南路


电话:
0417-4830090

",钟鼓楼位于盖州市古楼办事处前进街辰州路中段，地处盖州古城的南、北中轴线上，为明朝洪武五年至九年盖州指挥使吴玉在扩建南面城时修建的，是原盖州城的繁华地所在。盖州钟鼓楼现为省级文物保护单位。钟鼓楼中间是观音阁，东侧为钟亭，西侧为鼓亭。阁后为大慈宝殿，左右各有一配殿。钟鼓楼下的高台为石条砌基，青砖筑身，呈上敛式。西端北侧有花岗岩台阶二十余级通台上。高台中部有卷门一座，是南北大街的必经之处。,全年开放,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/888063b1-fd25-4200-9f65-621b1a4ad144.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
望儿山Wang'er Mountain,http://travel.qunar.com/p-oi712160-wangershan,"

地址:
辽宁省盖州市熊岳镇东 115200


电话:
0417-7012999,0417-7013068

",望儿山位于营口市经济技术开发区熊岳望儿山村，是辽南名山，距离熊岳古城2公里。望儿山海拔106米，孤峰陡立，山顶有一臧式青砖塔，建于明末清初，远看如一位老妇伫立山头，日夜眺望大海，盼望远行的儿子归来。望儿山就以美丽的母爱传说得名，是以母爱为主题而命名的天下独有之山。中的一个个有组织的母亲节即诞生于此。望儿山现为国家3A级旅游景区，景区内有慈母像、拜母亭、步母石、哺乳轩、望儿塔、拜母祠、报母泉、母恩池、念母寺、仙人桥、望儿山庄、母子桥、母爱世界、风范园、礼...望儿山位于营口市经济技术开发区熊岳望儿山村，是辽南名山，距离熊岳古城2公里。望儿山海拔106米，孤峰陡立，山顶有一臧式青砖塔，建于明末清初，远看如一位老妇伫立山头，日夜眺望大海，盼望远行的儿子归来。望儿山就以美丽的母爱传说得名，是以母爱为主题而命名的天下独有之山。中的一个个有组织的母亲节即诞生于此。望儿山现为国家3A级旅游景区，景区内有慈母像、拜母亭、步母石、哺乳轩、望儿塔、拜母祠、报母泉、母恩池、念母寺、仙人桥、望儿山庄、母子桥、母爱世界、风范园、礼园等十余处以母爱为主题的人文景观。它们与望儿山古老的自然景观融于一体。近年修建的慈母馆是我亲纪念馆，每年来自海内外的拜母者络绎不绝。母爱世界亦为我国目前展现股金中外伟大母爱的庞大雕塑群。,8:00-16:30,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1557689284076100614000000w5qx45D4E_D_640_10000.jpg_480x360x95_b7079906.jpg,4.3,建议游览时间：3小时,,"{'望儿山门票成人票\n\n': ['¥19.6起'], '望儿山电子导览服务大小同价\n\n': ['¥6起'], '【酒店套餐】望儿山温泉水乐园度假酒店+含双早+双人单次温泉门票\n\n': ['¥458起']}",,1
上帝庙Xuanzhen Taoist Temple,http://travel.qunar.com/p-oi714677-shangdimiao,"

地址:
营口盖州市内红旗大街19号

",上帝庙位于盖州市内红旗大街19号，地处崇教寺里路北，有正殿五间，山门三间，现为盖州市文物管理所办公所在地。又名玄贞观、元真观、玄帝庙，建于明洪武十五年（公元1382年）。上帝庙原本是正殿、配殿、山门俱全的完整寺院，然而早在建国前期寺院便遭到破坏，只余大殿和山门。上帝庙现在是全国重点文物保护单位。,全年开放,https://img1.qunarzz.com/travel/poi/1803/bb/e6566ea1dd186637.jpg_480x360x95_c993fe84.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
