名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
兴城古城Xingcheng Ancient City,http://travel.qunar.com/p-oi703464-xingchenggucheng,,,,,,,,,,1
觉华岛Juehua Island,http://travel.qunar.com/p-oi709505-juehuadao,"

地址:
葫芦岛市兴城市觉华岛菊花街道办事处北村


电话:
0429-5333010,0429-5167000

",在烟波浩渺的渤海湾有一座神秘岛屿，气候宜人，古迹众多，她就是渤海辽东湾大的岛屿——觉华岛。觉华岛（原菊花岛，2009年更名为觉华岛）民间俗称大海山，在唐宋时代称桃花岛，辽金时代称觉华岛，面积13.5平方公里，号称北方的小澳门，距离海岸十八里，离宁远城三十里。明代觉华岛是屯粮基地和水师基地，战略地位重要，扼守辽西水路两津。岛上山石秀美、古树参天，南有张山岛、阎山岛，北有磨盘山岛，一大三小孤悬海中，相映成趣。古岸画廊景区（原大龙宫寺景区），以辽代觉华大师肇建...在烟波浩渺的渤海湾有一座神秘岛屿，气候宜人，古迹众多，她就是渤海辽东湾大的岛屿——觉华岛。觉华岛（原菊花岛，2009年更名为觉华岛）民间俗称大海山，在唐宋时代称桃花岛，辽金时代称觉华岛，面积13.5平方公里，号称北方的小澳门，距离海岸十八里，离宁远城三十里。明代觉华岛是屯粮基地和水师基地，战略地位重要，扼守辽西水路两津。岛上山石秀美、古树参天，南有张山岛、阎山岛，北有磨盘山岛，一大三小孤悬海中，相映成趣。古岸画廊景区（原大龙宫寺景区），以辽代觉华大师肇建大龙宫寺得名，位于觉华岛东南海边，是觉华岛的核心景区。这里是历史文化游、自然观光游、考古探秘游和品菩提茶、饮古井水（虔诚祛病）和进香朝拜的综合景区。景区有千年菩提圣树、千年八角古井、神秘的唐王洞、菩提茶楼、大悲阁遗址和游客服务中心。觉华岛民风淳朴，当地岛民经营的“渔家乐”别有情调。这里海产丰富，盛产花盖蟹、海蛎子、蚬子、虾爬子、海蜇、鱼、虾等，尤以花盖蟹肥价廉而出名。,全天开放,https://img1.qunarzz.com/travel/d2/1501/ba/74555a9a180b6f.jpg_480x360x95_1dad1138.jpg,3.8,建议游览时间：3小时 - 4小时,是旅游观光、消夏避暑的好去处。,{'觉华岛电子导览服务大小同价\n\n': ['¥6起']},,1
东戴河Dongdaihe,http://travel.qunar.com/p-oi7475163-dongdaihe,"

地址:
葫芦岛市绥中县东戴河止锚湾


电话:
17704295681

",东戴河位于辽宁西南端的葫芦岛市绥中县，距秦皇岛山海关区仅七公里，范围包括了万家镇及其周边的沿海村镇、海滩及众多古迹景点。与北戴河、南戴河相似，东戴河也坐拥着一大片海滩，拥有美丽的海景，但东戴河由于开发较晚，依然保存着较为原生态的海滨风光。东戴河较有名的海滨是止锚湾，这里是周边城市游客集中的休闲名地，来海滩上晒晒太阳、拍拍照，或是与孩子一起赶海、玩沙、捉螃蟹，然后去吃海鲜，享受远离城市喧嚣的自由。止锚湾是万家镇东南部海边一个宁静的小渔村，距万家镇约六公里。这里滩缓无礁，沙质也不错，是一片开阔的天然海滩，这一带海岸绵长，有非常多的海滨浴场紧挨着，目前基本都不收入场费，海边有快艇、水上摩托等各种水上运动，需另收费。来这里休闲度假的自驾车游客居多，很多都是来自北京、天津来的游客，从北京开车走京哈高速一直到万家镇下，全程约5小时，海边停车一般要收10-20元停车费。从北京、沈阳等地也都有动车可到新建的东戴河火车站。除了海滨度假，东戴河还坐落着很多古迹景点，比如止锚湾浅海内矗立着的碣石奇景，历史上有五位帝王先后巡幸于此，并多留有诗篇。碣石对岸是秦始皇行宫群遗址——碣石宫，秦始皇在此建宫驻跸，刻下有名的《碣石门辞》，留下“孟姜女哭长城”的动人传说。这附近还有孟姜女庙、万佛禅寺等景点，而有名的九门口水上长城、前所古城、前卫歪塔、妙峰寺双塔等历史古迹也都在这周边。来东戴河度假一般会在这儿住一晚，止锚湾及其周边小村都开满了农家院，基本都提供住宿和餐饮服务，这里也有不少设施较为好的度假酒店和酒店式公寓，价格不等。东戴河的海鲜是特色，旺季时在止锚湾海滩有各种海鲜烧烤排档。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/7bb88b859e39cc5a1509caae9043c6ee.jpg_480x360x95_acd5dbbb.jpg,4.9,建议游览时间：3天 - 6天,夏季最佳，相比三亚热带海洋，这里是避暑的圣地，夏天在东戴河，夜晚不用开空调，下海也教合适。,,1. 东戴河旅游区处于开发中，目前景区管理还不完善。据不少游客反应，海滩浴场有乱收费现象，比如停车费、租用躺椅和遮阳伞以及水上项目的收费，因此消费前一定要讲清价格，以免引起纠纷。2. 请注意保护海边环境，切勿随意丢弃垃圾。,1
第一海滨浴场First Bathing Beach,http://travel.qunar.com/p-oi19509655-diyihaibinyuchang,,葫芦岛市的连山区、龙港区、兴城市、绥中县皆缘临渤海，共有海岸线258公里，居辽宁省第二位。辽阔的大海，不仅为人们提供了丰富的生产生活资源，还为人们的消闲度假提供了娱乐场所，这就是众多的海滨浴场。兴城第一海滨浴场以水质清净、沙滩松软而著称，冬季则有千姿百态的冰凌花，吸引着远远近近的八方游客。海滨浴场内无暗礁，岸边沙滩细软洁白，晶莹如玉，海水深浅适宜，水稳波清，清澈见底，海岸地势开阔，绿树掩映，是大海送给人间的一片天然乐园。步入海滨第一浴场，兴目望去，是一座四柱三门二楼单檐庑殿门式正门，牌坊上边是茂名书画家范曾题写的“洪波涌起”和“古城在望”八个大字。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/95a23f861916908261a02ab862767b9c.jpg_480x360x95_8f13a1e0.jpg,4.7,建议游览时间：3小时,,,,1
兴城海滨风景区Xingcheng Seaside Scenic Area,http://travel.qunar.com/p-oi710469-xingchenghaibinfengjing,"

地址:
葫芦岛市兴城市兴海南路5段


电话:
0429-5410345

",兴城海滨风景区位于兴城市区东部沿海的兴海湾，是一片长约1.5公里的天然海滩。这里地处渤海北部海岸，沙滩坡缓宽阔、水质洁静，有多个海水浴场和各种嬉水游乐设施。每年夏季，众多游人来这里游泳、赶海、晒太阳，或是全家人来吃海鲜，这里也是拍摄日出的好地方。来到兴城市区东部、滨海公路南段的环岛处，会看到一座牌坊，这里就是海滨的入口，可以望见海边矗立着的菊花女雕像，诉说着一段动人的神话故事。海滨浴场内沙滩较软，水中无暗礁，适合游泳戏水，还可以坐快艇兜风（价格较贵，可砍价），每年夏季都可见海边人潮涌动的景象。不过，不同于南方的沙滩，这里的沙质还是相对较粗的，这儿的更衣冲凉服务约15元每人，停车费小车10元、大车20元。海滩的北部是游船码头，这里可以乘船去菊花岛，约40分钟船程。海滩南端有名胜景观“三礁揽胜”，在三座盘踞海中的礁石上，各建有一座造型幽雅的观海亭——水上长亭，各亭之间有栈桥相连，可登亭观潮听浪，或者早晨来看日出，也有人在此静心垂钓，十分惬意。如果赶上落潮，里侧的海水退却后海滩半隐半露，还可拾贝、捉蟹，乐趣横生。海滨有很多露天烧烤摊，周边也有不少海鲜餐馆，可以品尝到各种海鲜，价格还算可以。海滨、兴城古城、海鲜是兴城的三大名片，来兴城一日游，可以上午逛古城、下午去海滨，晚上吃海鲜。当然，若有更多时间，还可以去菊花岛游玩。,全天开放,https://img1.qunarzz.com/travel/d2/1702/32/f8ff69a022a1e6b5.jpg_480x360x95_f73f0e0f.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以景区现场公示为主。,前往兴城最好避开旺季以及周末，这段时间住宿和其他消费都比平时贵出许多，海边的人也会有拥挤的现象。,1
九门口水上长城Nine-Gate Water Great Wall,http://travel.qunar.com/p-oi714122-jiumenkoushuishangzhang,"

地址:
葫芦岛市绥中县李家堡乡


电话:
0429-6491155


官网:
http://www.jmksscc.com/

",九门口水上长城位于绥中县郊，地处辽宁与河北两省交界处，它始建于北齐，扩建于明初（1381年）。它与南部山海关方向的长城相接，并一直向北延伸到九江河，然后筑起一段一百多米的巨大跨河城桥，因城桥下有九个泻水城门而得名。在这里，你可以站在城桥上参观这座独特的古代军事要塞、进入长城隧道探寻建在洞中的军事设施，还可登上山脊上的长城遗址远眺四方，群山、城墙、烽火台组成的风光甚是雄伟。参观长城隧道和城桥、以及爬长城是九门口长城景区的游玩亮点，一般花半天时间游玩足矣。进入景区往城桥方向走，可根据指示牌先去参观长城隧道。隧道全长一公里，出口直通长城外，是由明朝大将督建的，目的是让士兵秘密绕到敌后去袭击。如今在隧道里可以见到练兵房、伙房、指挥室、兵器房等石室设施，景区还在内布置了一些铜人士兵，还原了古时的场景。参观完隧道需原路返回来到过河城桥，通过台阶走上宽阔的城桥，可以看到巨大的水牢和通道两侧的垛口，而九江河水从脚下的门洞缓缓流过。这座高大坚固的城桥既是过河桥又是长城城墙的一部分。这座水上要塞是关内外的重要门户，1922-1924年，直奉两系军阀在此进行过厮杀。过了城桥继续往山上走，即是类似于八达岭那样的长城城墙，顺着山脊延绵不尽。景区里的这段长城已被修复，所以可以踏实地走在这坚固的石道上，还可以走进几座敌楼去看看。不过由于长城年代久远而且经历数次战火，所以远处的“野长城”早已是残垣断壁，就不能走过去了，只能远眺着这些静静躺在山脊上的历史创痕。景区内还有珍禽观光园、慈恩寺等小景点，丰水期时还可在九江河上划船。此外，九门口长城景区离绥中东戴河旅游区不远，离秦皇岛山海关也比较近，一般可与这两地一起游玩。尤其是5-9月间，来这一带的海滩上走走、吃吃海鲜，再去爬爬长城，非常惬意。,8:00-16:00,https://img1.qunarzz.com/travel/poi/201211/15/42face2087667086ddb12cfb.jpg_480x360x95_8ab48229.jpg,3.8,建议游览时间：2小时 - 4小时,,"{'九门口水上长城门票+隧道票成人票\n\n': ['¥50起'], '九门口水上长城电子导览服务大小同价\n\n': ['¥6起']}",有烧香陷阱，请勿上当。,1
葫芦岛港Huludao Harbor,http://travel.qunar.com/p-oi713022-huludaogang,,,,,,,,,,1
止锚湾Zhimao Bay,http://travel.qunar.com/p-oi722973-zhimaowan,"

地址:
葫芦岛市绥中县万家镇(近渤海湾)


电话:
0429-6485880

",止锚湾位于辽宁省西部绥中县万家镇，它在渤海之滨，毗邻山海关。很多周边城市游客会选择周末自驾来此，尤其以北京市民居多。由于这里是一片未开发过的原始海滩，所以相对其他成熟的海滩游客较少，很安静。这里环境优美，民风也很淳朴。止锚湾的海滩干净、平缓、不扎脚。海水清澈见底，在距岸边200多米的海面上矗立着三块绝大的礁石，这就是止锚湾比较出名的景点——姜女坟，民间传说这里是孟姜女投海之处。,全年 全天开放,https://img1.qunarzz.com/travel/d0/1409/24/9022fc332710bf1fffffffffc8d65eac.jpg_480x360x95_f5c2d235.jpg,3.9,建议游览时间：6天 - 9天,每年7月-10月是旺季，但是冬天不建议前往，基本没有游客，且止锚湾的农家没有暖气供应，会很冷。,具体收费情况以现场公示为主,"1. 自驾去的话，停车靠近海滩北侧渔船那边是免费的。 
 2. 海滩旁边有海鲜市场可以买新鲜海鲜，随便都有地方可以加工，加工费约30-50元左右。 
",1
葫芦古镇旅游度假区Hulu Old Town Tourist Resort,http://travel.qunar.com/p-oi706781-huluguzhenlu:youdujia,"

地址:
葫芦岛市龙港区经济开发区北港工业区滨海公路


电话:
0429-2077655


官网:
http://www.hlsz.cn/

",葫芦古镇与锦州笔架山景区陆地相连，海水相映。景区以葫芦文化为主线，以民俗文化为特点，依托渤海湾畔自然风光。葫芦古镇是喜欢追溯民俗魅力、亲近自然风光、享受度假乐趣的人们的好去处。景区内建有“中国葫芦文化博物馆”、“中国关东民俗博物馆”“石文化馆”三家特色历史博物馆，所有展品约达10000余件;在葫芦古镇不仅惊叹葫芦文化的博大精深，更能感受关东风情的质朴纯真，还可以感受VR体验、CS、射击、天鹅迎客船等娱乐项目的快乐与惊险;可以欣赏到二人转、快闪、街景互动的精彩表演等。在体验民俗、观赏美景、享受快乐的同时，还可以享受全方面的旅游服务，并且景区内还建有温馨舒适的独门独院民宿小院和含有“关东老味道”景区代表性的餐厅、满足一切吃穿玩乐住行的综合性民俗度假区。,8:00-20:00,https://img1.qunarzz.com/travel/d8/1702/4d/e73cc8c70d48d2b5.jpg_480x360x95_464f7841.jpg,4.4,建议游览时间：19.2小时 - 3天,,"{'葫芦古镇旅游度假区观光票成人票\n\n': ['¥29.9起'], '葫芦古镇旅游度假区观光票优待票\n\n': ['¥20起'], '葫芦古镇旅游度假区观光票双人票\n\n': ['¥65起']}",,1
龙湾海滨Longwan Seashore,http://travel.qunar.com/p-oi722454-longwanhaibin,"

地址:
葫芦岛市龙港区龙湾新区（近1路汽车终点站）


电话:
0429-3132001,0429-3132108

",龙湾海滨地跨兴城市和龙港区，沙滩长达3000多米，宽80-100米，海湾的北面是葫芦岛市龙湾新区，宽阔的海滨南路将海滨与城区紧紧连接成一体。龙湾海滨一带山海相接，景色秀丽，是夏季海滩度假的胜地。龙湾海滨的沙滩沙质柔软、海水清透，在沙滩上漫步或是戏水，十分惬意。在海湾西北的山坡上建有新颖别致的“望海楼”，登楼远眺，海天一色，风光迷人。 “望海楼”的南面坡地上还建有随山势弯转曲折、上下两层均可观海的“观海长廊”。 ,全年 全天开放,https://img1.qunarzz.com/travel/d9/1707/3f/03d6b0de7b8e0b5.jpg_480x360x95_d856ae86.jpg,4.4,建议游览时间：1小时 - 2小时,夏季,具体收费情况以现场公示为主,,1
