名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
衡水湖景区Hengshui Lake,http://travel.qunar.com/p-oi715591-hengshuihujingqu,,,,,,,,,,1
武强年画博物馆Wuqiang Nianhua Museum,http://travel.qunar.com/p-oi706401-wuqiangnianhuabowuguan,"

地址:
衡水市武强县新开街1号


电话:
0318-3822491,0318-3822401


官网:
http://www.wqnh.art/

",武强年画博物馆位于著名的年画之乡武强县县城东侧，是以年画为主题的专题博物馆。这里展示了著名的武强年画的历史发展、流派和特色等，有众多的年画实物展示，是了解年画文化的好去处。年画博物馆是一座院落，院子的建筑古朴，展览都位于院内的主体建筑之中，这里收藏了年画的古版4000多件，古旧的年画、画稿等6000多件，文物很多。现在的陈列有“年华的源流与发展”、“历史上的辉煌成就”、“具有革命传统的近现代武强年画”、“目前年化发展的新格局”、“各地年华呈异彩”和“传统工艺作坊”六个部分，可以一一参观，了解武强年画的文化、历史，参观精美年画。馆内还有售卖年画的商店，可以在里面挑选自己喜欢的作品。,8:30-11:30，14:30-17:00，周一闭馆（节假日除外）,https://img1.qunarzz.com/piao/fusion/1902/1c/3e9251c686382102.jpg_480x360x95_c7badc5c.jpg,4.6,建议游览时间：1小时 - 2小时,,免费,,1
老白干酒文化展览馆Laobaigan Wine Culture Exhibition Hall,http://travel.qunar.com/p-oi702588-laobaiganjiuwenhuazhan,"

地址:
衡水市桃城区人民东路

",衡水老白干酒文化展览馆，馆内设有酒文化展板、古酒器及现代酒器展柜。衡水老白干历代产品展台及精品专柜等浑然一体，既古朴庄重又典雅富丽。,8：00——17：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/9af3de290df094e5819b1b93a5f3c108.jpg_480x360x95_d8474a9a.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
内画展览馆Neihua Exhibition Hall,http://travel.qunar.com/p-oi722395-neihuazhanlanguan,"

地址:
衡水市人民中路35号


电话:
0318-2155855,0318-2150838

","位于河北省衡水市人民中路。距衡水火车站2公里，距石黄高速路口8公里。是目前国内外唯一一座展示内画艺术的专业展览馆。建筑面积1,732平方米，是河北省青少年爱国主义教育示范基地、衡水市爱国主义教育基地、衡水市未成年人思想道德建设教育基地。展内画界主要分为四大派系，即京派、冀派、鲁派和粤派。冀派内画的风格可概括为：立意深邃、构图严谨，线描技法丰富、设色协调精润、书画并茂、雅俗共赏。从绘画工具到绘画技法及绘画形式有三项创新：金属杆钩毛笔、油彩内画、系列烟壶。 衡水内画展览馆展览馆共分四层，集中展示了中国古代料器、玉石、有机物、金属、陶瓷、内画六大类鼻烟壶，全面展现了鼻烟壶这一集中国多种工艺之大成的袖珍艺术品。一楼是以展示、观赏、销售为一体的经营大厅，主要向游人介绍烟—鼻烟—鼻烟壶及内画艺术的历史形成过程；介绍内画烟壶的流派和冀派内画的兴起、现状；介绍衡水的内画艺术人才和创新作品,并重点展示内画艺术大师王习三大半生的内画艺术精品。二楼以上设有书法、字画、古玩、奇石等多功能展厅。",8:30-11:30;12:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5ebb067d80fdc5aa77f914e4751ce66b.jpg_480x360x95_ccfd0d06.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
宝云寺Baoyun Temple,http://travel.qunar.com/p-oi707317-baoyunsi,"

地址:
衡水市桃城区河沿镇旧城村


电话:
0318-2179341

",位于衡水市区西南部。碑石记载始建于隋，其实早在南北朝时，此处已有寺庙。相传在其鼎盛之时，寺域广占三十亩，殿堂多有近百座，“樵楼钟声惊千里，成年累月拥香客”。  宝云寺内一塔，高36.5米，塔体为八面棱锥体砖木结构，自四层以上四面有门，塔的各层建筑风格各异，或成鸳鸯斗拱，或成梅花斗拱，雄浑古朴，气势磅礴。若登塔顶，需有一定的勇气，因为每登一层都要绕塔沿半圈，找到另一侧的入口。,全年 8:30-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8f8f1fc777ae700be38dfde8220acfa7.jpg_480x360x95_6a2661ce.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
邓庄农业科技示范园,http://travel.qunar.com/p-oi706991-dengzhuangnongyekejishi,"

地址:
河北衡水

",邓庄农业科技示范园区先后投资170多万元新建连栋温室一座，修建了绿色长廊和百亩果脯采摘园，完善了蔬菜花卉组织培养中心和肉奶牛胚胎移植中心，把现代农业技术示范园区改造成了一个集科研、生产、观光、学习于一体的农业旅游示范点。,全天,,--,,,免费,,1
北湖公园,http://travel.qunar.com/p-oi39893648-beihugongyuan,,,,,0.0,,,,,1
鸭鸭乐园,http://travel.qunar.com/p-oi39595018-yayaleyuan,,鸭鸭乐园位于河北省石家庄市正定新区主轴线中心位置，南边距离滹沱河3.2公里，西边距离正定县城1.5公里，占地约1200亩。为了满足园博会办展需要，园博园被划分为七大功能分区，分别为主入口广场、燕赵园、社会园、专类园、康体园、滨水景观区和山体休闲区。,,,0.0,,,,,1
刘老人村,http://travel.qunar.com/p-oi39573001-liulaorencun,,,,,0.0,,,,,1
衡水安济桥,http://travel.qunar.com/p-oi39442920-hengshuianjiqiao,,,,,0.0,,,,,1
深州市粮仓博物馆,http://travel.qunar.com/p-oi39175807-shenzhoushiliangcangbo,,,,,5.0,,,,,2
故城大运河历史文化街,http://travel.qunar.com/p-oi39172805-guchengdayunhelishiwen,,,,,--,,,,,2
运河故城万亩花海,http://travel.qunar.com/p-oi39172717-yunheguchengwanmuhuahai,,,,,0.0,,,,,2
饶阳县图书馆,http://travel.qunar.com/p-oi39171944-raoyangxiantushuguan,,,,,,,,,,2
耿长锁纪念馆,http://travel.qunar.com/p-oi39171912-gengzhangsuojinianguan,,,,,4.0,,,,,2
观津公园,http://travel.qunar.com/p-oi39167515-guanjingongyuan,,,,,5.0,,,,,2
新时代公园,http://travel.qunar.com/p-oi39167460-xinshidaigongyuan,,,,,--,,,,,2
诗经文化广场,http://travel.qunar.com/p-oi39167018-shijingwenhuaguangchang,,,,,--,,,,,2
枣强县大原书院,http://travel.qunar.com/p-oi39166941-zaoqiangxiandayuanshu,,,,,--,,,,,2
冀州博物馆,http://travel.qunar.com/p-oi38921101-jizhoubowuguan,,,,,--,,,,,2
衡水植物园,http://travel.qunar.com/p-oi38806283-hengshuizhiwuyuan,,,,,0.0,,,具体收费情况以现场公示为主,,3
衡水博物馆,http://travel.qunar.com/p-oi38800795-hengshuibowuguan,,,,,3.0,,,具体收费情况以现场公示为主,,3
孔颖达文化公园,http://travel.qunar.com/p-oi38340820-kongyingdawenhuagongyuan,,,,,--,,,具体收费情况以现场公示为主,,3
孝感圣姑庙,http://travel.qunar.com/p-oi38340520-xiaoganshenggumiao,,,,,4.7,,,,,3
铁北公园,http://travel.qunar.com/p-oi38340257-tiebeigongyuan,,铁北公园是衡水市“老铁路”的文化坐标。公园里花团锦簇，一片片花海美不胜收，有桃花、梨花和碧桃花等，公园内还有一段废弃的铁路。,,,--,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
人民公园,http://travel.qunar.com/p-oi38337224-renmingongyuan,,,,,--,,,具体收费情况以现场公示为主,,3
衡水失恋博物馆(怡然城旗舰店),http://travel.qunar.com/p-oi38335744-hengshuishilianbowuguan,,,,,0.0,,,,,3
辛玛奇幻乐园,http://travel.qunar.com/p-oi38017976-xinmaqihuanleyuan,"

地址:
河北省衡水市桃城区滏东嘉园北


电话:
13292881458,0318-2050456

",衡水辛玛奇幻乐园占地45.7亩，为石家庄辛玛奇幻乐园加盟项目。乐园东大门位于滏东街西侧，乐园内共有20个游乐项目，海盗船、过山车、摇头飞椅、弹跳机、自控飞机、碰碰车等。除了游乐项目外，还设置了无动力儿童活动区，萌宠乐园。值得一提地是，在萌宠乐园内将饲养浣熊、细尾獴、象龟、金刚鹦鹉等各种呆萌可爱的小动物，小朋友们来到这里可以观赏小动物，与小动物互动。,全年 09:00-21:00,,1.0,建议游览时间：1小时 - 3小时,,,,3
衡水之眼,http://travel.qunar.com/p-oi38017936-hengshuizhiyan,"

地址:
河北省衡水市桃城区滏东嘉园北


电话:
13292881458

",位于衡水辛玛奇幻乐园里的这座摩天轮，轮圈直径为88米，加上地基和摩天轮圆柱支架的高度，摩天轮总高达到了95.5米。 近百米的高度，坐在上面，近处可以欣赏滏东公园以及滏阳河美丽精致，远望可以环顾整个市区街景，会有一种更加震撼的感觉。更让人期待的是，摩天轮上将会安装景观灯，届时，夜晚观看摩天轮更会带上一份奇幻和浪漫的感觉。,全年 09:00-21:00,,4.0,建议游览时间：0.5小时 - 1小时,,,,3
索泸河南湖公园,http://travel.qunar.com/p-oi37806985-suoluhenanhugongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,3
饶邑古城,http://travel.qunar.com/p-oi37806638-raoyigucheng,,,,,4.5,,,具体收费情况以现场公示为主,,4
安平万亩油菜花,http://travel.qunar.com/p-oi36476697-anpingwanmuyoucaihua,"

地址:
衡水市安平县杨屯村


电话:
0311-85814986

",安平杨屯万亩油菜花基地，作为中原生态观光旅游项目，乘势国家发展乡村旅游之天时，集萃城市交通便捷、坐享自然水域之地利，旨在打造“离你近的万亩花海”,9:00-17:00,,--,建议游览时间：2小时 - 3小时,,30元,,4
周通庄村Zhoutongzhuang Village,http://travel.qunar.com/p-oi35474508-zhoutongzhuangcun,,,,,--,,,具体收费情况以现场公示为主,,4
周通村Zhoutong Village,http://travel.qunar.com/p-oi35474429-zhoutongcun,,,,,3.0,,,具体收费情况以现场公示为主,,4
