名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
衡山风景名胜区Mount Heng Scenic Area,http://travel.qunar.com/p-oi714294-hengshanfengjingmingsheng,"

地址:
衡阳市南岳区延寿路37号


电话:
0734-5673377


官网:
http://www.nanyue.net.cn

",衡山风景名胜区位于衡阳市南岳区境内，高峰是海拔约1300米的祝融峰。在“五岳”中，衡山的地理位置靠南，相比较气候条件好，使得山中一年四季都是满目苍翠，树木茂盛，有着“五岳独秀”的美称。而在中国脍炙人口的成语“寿比南山”中的南山，指的就是衡山。衡山风景名胜区主要有中心景区和其他个别小景点组成，大部分游客所说的“衡山”就是指的衡山中心景区。在衡山山脚下南岳镇上的“南岳大庙”是除了中心景区外重要的景点，它是我国南方超大的宫殿式古建筑群，每年都有盛大庙会，一般游客都会将中心景区和南岳大庙一并游玩。衡山是汉传佛教圣地，南宗的“南岳派”在这里开派，其法脉演绎出沩仰宗、临济宗而传遍海内外。此外，这里还是南中国的抗战圣地。香炉峰下“南岳忠烈祠”，祭奠、埋葬着在抗战正面战场中阵亡的中国军人。游览衡山你可以选择全程步行，或者步行与环保车（含索道）相结合的方式，对于大部分普通游客，建议选择后者，这样会有更多的精力去欣赏山中的美景和体验南岳的文化内涵。线路推荐如果你选择步行与环保车（含索道）的方式，那么一天内游览衡山，并不是一件十分吃力的事情。你可以先游览南岳镇上的“南岳大庙”后，再购票进入中心景区，基本线路：忠烈祠-半山亭-麻姑仙境-磨镜台-福严寺-南天门-祝融峰。如果你时间比较宽裕，那么用两天的时间游玩衡山，那会有更多的收获。大致线路如同上面的“一日游”，由于时间充足，你可以在游览完福严寺后，再去藏经殿待一会，那里幽静之极。晚上可以住宿在上封寺附近，便于第二天凌晨前往“望日台”看日出。,周一-周五 7:30-17:30，周六、周日 7:00-18:00；法定节假日及暑假期间5:00-17:30。,https://img1.qunarzz.com/travel/d6/1707/ee/586fd268300c23b5.jpg_480x360x95_1bd2ef4f.jpg,4.4,建议游览时间：3天 - 6天,衡山的最佳旅游季节在夏末秋初，这时候天气凉爽，植被仍然丰茂，景色比较优美。另外，如果12月至次年2月初到衡山，则可以欣赏到著名的衡山雪景。由于特殊的气候条件，衡山有着南方其他地方都没有的雾淞奇观。,"{'南岳大庙门票成人票\n\n': ['¥40起'], '南岳大庙门票儿童票\n\n': ['¥20起'], '南岳大庙门票老人票\n\n': ['¥20起']}",1.为保护景区生态环境。为方便游客进香祈福，中心景区内所有燃香祈福场所都备有免费的线香。2.外出旅游着装要轻便、大方、舒适。衣裤不宜过于宽大或窄小，以免影响走路。夏季旅游，由于早晚温差较大，除了带上随身的换洗衣服外，最好再带一件夹衣或绒线衣；冬季旅游，必须带上毛衣、棉衣、风帽等。3.文明进香，自觉遵守宗教场所秩序和景区工作人员的引导，购买贴有物价部门核定价格的环保香。人流高峰时，请您务必注意自身安全，避免拥挤并妥善保管好自己的随身物品。4. 门票当天有效，出园后再入园，需再次购票。5. 园内禁止活动：在禁烟场所吸烟、使用明火。 攀折树木、采摘花果，各种形式的狩猎，捕捉、打捞水生动物及植物。 破坏生态、污染环境、危害文物之行为。6. 不得有任何野外用火行为。在乘坐游览车期间请不要将头和手伸出窗外，以防被过往车辆或树枝划伤。   ,1
南岳大庙Grand Temple of Mount Heng,http://travel.qunar.com/p-oi716539-nanyuedamiao,"

地址:
衡阳市南岳区北支街2号


电话:
0734-5673377

",南岳大庙位于衡阳市南岳区（原南岳镇）衡山脚下，始建于唐代，后历次修缮，现存建筑是清光绪八年（1882年）重修。大庙内主殿供奉着衡山山神——火神祝融，传说中是“黄帝”手下一名管火的官员，主管南方事务，火神住在衡山，死后葬于衡山。宋大中祥符四年（1011年）起，“火神祝融”被加封为“南岳司天昭圣帝”，南岳大庙的建筑形制也升格为帝王级别。这里也是中国江南大型的古建筑群。南岳大庙除了中轴线上的主要建筑外，在大庙的东、西两侧分别有八个道观和八个佛寺，对应了道教的“紫气东来”和佛教的“极乐”的规制，佛道共存，同在一座寺院修行，非常少见。各道观和寺庙的规模都很小，游览南岳大庙主要以中轴线上的主要建筑为主。当你站在“大庙”前，可以看到名为“棂星门”的正门，以“棂星”命名，意思是人才辈出，用“棂星”冠以庙门的，只有孔庙和这里等不多的几处。棂星门之后是“奎星阁”，道教中“奎星”能主管文人学士的命运，如今很多父母会带着子女到这里祈拜学业有成。沿着中轴线可以来到第二院落，院落东边是“文昌殿”，通东侧的八个道观；西边是“六寺同门”，通大庙西侧的八个佛寺。在这个院落里你还能看到一个石碑，石碑上刻着康熙皇帝撰写的的《重修南岳庙碑记》。南岳大庙的核心建筑是中轴线上的正殿，殿内就供奉着“火神祝融”，也叫“圣帝殿”。殿前有广场，是用于酬神演戏和朝拜敬香的地方。传说“南岳圣帝”（火神祝融）历来有求必应，非常灵验，因此这里的香火十分旺盛。特别是在农历的七、八、九月份和宗教节日的时候，众多的信徒都会来这里焚香祈祷，僧人道士也来此讲经，届时正殿前热闹非凡。此外，在大庙中游览时还能看到各殿内供奉着的各种神灵，如财神殿内的武财神赵公明。文珠殿内供奉的文珠菩萨等等，有兴趣的话，可以一一拜过。,5月1日-10月31日 7:00-17:30；11月1日-次年4月30日 7:30-17:30。,https://img1.qunarzz.com/travel/d7/1706/4e/a98566e469bf3ab5.jpg_480x360x95_709afad7.jpg,4.6,建议游览时间：2小时 - 3小时,南岳大庙的最佳旅游季节在夏末秋初，这时候天气凉爽，植被仍然丰茂，景色比较优美；当然，12月至次年2月初到衡山，可以欣赏到著名的衡山雾淞（雪景），由于特殊的气候条件，衡山有着南方其他地方都没有的雾淞奇观。,"{'南岳大庙门票成人票\n\n': ['¥40起'], '南岳大庙门票儿童票\n\n': ['¥20起'], '南岳大庙门票老人票\n\n': ['¥20起']}",1.参观游览时请合理安排旅游线路，避开人流高峰，每年的农历七月、八月份是南岳朝圣的香火旺季，可适度避开出游时间。2.在游览过程中留意景区内的安全警示标志，注意自身安全。保障。请您选择证照齐全的酒店或餐馆食宿。请您拒绝景区内无关人员的搭讪和兜售，遇到问题可及时拨打咨询或投诉电话，确保消费权益得到保障。不购买和饮用无证照小商贩或地摊提供的饮料及食品。3. 景区活动内容如有变动，以当日公告为准。景区所有项目均会定期进行日检、周检、月检和年度检修，相关检修工作可能会造成部分项目运行时间的延迟或暂停对游客开放，详情以景区现场公告为准。4. 门票当天有效，出园后再入园，需再次购票。 5. 园内禁止活动：在禁烟场所吸烟、使用明火。 攀折树木、采摘花果，各种形式的狩猎，捕捉、打捞水生动物及植物。不得有任何野外用火行为。在乘坐游览车期间请不要将头和手伸出窗外，以防被过往车辆或树枝划伤。6. 严禁倒票，一经发现，相关电子门票作废，入园现场将不予承认         ,1
祝融峰Zhu Rong Peak,http://travel.qunar.com/p-oi721949-zhurongfeng,,,,,,,,,,1
福严寺Fuyan Temple,http://travel.qunar.com/p-oi716808-fuyansi,"

地址:
衡阳市衡山风景区内，距离半山亭约3公里。


电话:
0734-5673377

",福严寺，古称般若寺，是佛教天台宗慧思禅师在陈光大元年（公元567年）创建的，为南岳古的名刹之一，禅宗“南岳系”在此开派，其法脉演绎出沩仰宗、临济宗而传遍海内外，被誉为“天下法院”。寺庙坐落在衡山风景区内的掷钵峰下，周边树木茂盛，是衡山风景区内的景点之一，也是极具人文渊源的一个景点。唐先天二年（公元713年），怀让禅师到南岳后，将般若寺辟为禅宗道场，通过他的弟子道一禅师传法，南宗的“顿悟”佛法弘传天下，天下佛家弟子以该寺为传法的佛院，可见它在禅宗南宗中的...福严寺，古称般若寺，是佛教天台宗慧思禅师在陈光大元年（公元567年）创建的，为南岳古的名刹之一，禅宗“南岳系”在此开派，其法脉演绎出沩仰宗、临济宗而传遍海内外，被誉为“天下法院”。寺庙坐落在衡山风景区内的掷钵峰下，周边树木茂盛，是衡山风景区内的景点之一，也是极具人文渊源的一个景点。唐先天二年（公元713年），怀让禅师到南岳后，将般若寺辟为禅宗道场，通过他的弟子道一禅师传法，南宗的“顿悟”佛法弘传天下，天下佛家弟子以该寺为传法的佛院，可见它在禅宗南宗中的显赫地位。北宋太平兴国年间（公元976-984年），宋太宗赵炅赐“福严禅寺”匾额，一直沿用至今。福严寺与一般寺院有所不一样，这里没有四大天王的神像，却有南岳衡山之神-祝融火神像。这是因为南岳衡山自古祭祀之主神就是祝融火神，祭祀南岳山神为历朝“国之大事”，民间朝圣主要是朝拜南岳圣帝，佛教要想在南岳发展，必须尊重南岳圣帝。在寺庙东侧，有一股清泉自石井中涌出，名叫虎跑泉。泉边有石碑，记载着当年慧思禅师带人建寺掘泉的故事。寺庙右侧有一棵1400多年的银杏树，据记载是当年慧思禅师亲自栽植，如今枝繁叶茂。旁边山崖上建有“慧思禅师三生塔”，相传当年慧思禅师遗骨都藏在其中。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/poi/1408/18/8e88d7141e964b81ffffffffc8d65eac.jpg_480x360x95_c65898d0.jpg,4.6,建议游览时间：1小时, 福严寺在衡山上，衡山的最佳旅游季节在夏末秋初，这时候天气凉爽，植被仍然丰茂，景色比较优美。 另外，如果12月至次年2月初到衡山，则可以欣赏到著名的衡山雪景。由于特殊的气候条件，衡山有着南方其他地方都没有的雾淞奇观。,"{'【My南岳·2-16人精致小团】祈福南岳大庙·登顶祝融峰·五岳独秀福严寺·千年银杏叶落黄·五岳登顶游\n\n': ['¥338起'], '南岳衡山VIP精致小团一日游（2-16人）\n\n': ['¥328起']}",,1
磨镜台Mojingtai,http://travel.qunar.com/p-oi717153-mojingtai,"

地址:
衡阳市南岳区南岳镇金沙路南岳衡山风景名胜区内


电话:
0734-5673377

",磨镜台，位于半山亭以西约2公里处，祝融峰南的燕子岩下。这里因唐代名僧怀让和“江西马祖”道一和尚磨镜斗法的故事而闻名。唐先天二年（公元713年），禅宗七祖——怀让大师，在离这不远的般若寺（现福严寺）聚徒说法，大力宣扬南宗“顿悟”法门的教义，自此南宗的宗风大振。所以墨镜台也有“南禅祖源，传法圣地”的称号，中国佛教史上一块圣地。磨镜台上有马祖庵（传法院），是道一和尚在南岳创建的草庵。磨镜台后有七祖塔，是怀让和尚的墓地。塔后为上山老路，路旁有碑题“怀让路”。登上磨镜台远望，南岳镇景色尽收眼底。这里森林茂密，到处是绿荫古树，是个天然大氧吧，消暑的好去处。磨镜台还是中国的抗战圣地。抗日战争全面爆发后，国民政府军事委员会曾一度迁到南岳，磨镜台成了军政要员的临时官邸。,全年 06:00-17:30,https://img1.qunarzz.com/travel/poi/1408/18/9f08e6c7b7baaa8affffffffc8d65eac.jpg_480x360x95_0c40714a.jpg,4.6,建议游览时间：0.3小时 - 1小时, 景点在衡山上，衡山的最佳旅游季节在夏末秋初，这时候天气凉爽，植被仍然丰茂，景色比较优美。 另外，如果12月至次年2月初到衡山，则可以欣赏到著名的衡山雪景。由于特殊的气候条件，衡山有着南方其他地方都没有的雾淞奇观。,80元,,1
水帘洞Shuilian (Water Curtain) Cave,http://travel.qunar.com/p-oi716703-shuiliandong,"

地址:
衡阳市南岳区南岳镇金沙路南岳衡山风景名胜区内


电话:
0734-5673377

",水帘洞景区，位于衡山紫盖峰下，距离南岳大庙约4.5公里。水帘洞景区的门票不包括在衡山风景区门票内，需要另外购票。水帘洞的水源来自南岳紫盖峰顶，流经山洞，汇入深不可测的石洞。水满后溢出下泻，形成瀑布。天晴时候，阳光照射水帘上，常有彩虹出现，五彩缤纷，十分壮观。水帘洞不仅风光秀丽，还是个书法艺术宝库，唐宋以来，历代名人题刻多达一百多处。水帘洞前的有座道观——朱陵宫，它始建于宋代，屡废屡修，现存建筑为2000年重建。在水帘洞入口处，可以看到一块刻着“朱陵洞天”的巨石，还有一座嵌有“水帘洞”三个鎏金大字的汉白玉石拱龙凤桥，桥两边对称的亭子称为太极龙凤八卦亭。沿溪而上，就可以看到卧在溪中的两块花岗岩石上分别有摩崖石刻，一幅刻着“天地同流”，另一幅是清末名士李元度题刻的“醉眠观瀑”。“醉眠观瀑”石刻上方，就是醉眠湖，湖边石壁高耸屹立，石壁上刻有唐朝著名僧人怀素题写的草书“醉”字；旁边还刻有明代衡山县令彭簪的题词。沿着溪水一直往前走，经过金牛潭，就是水帘洞瀑布。瀑布高达50多米，从高悬的石壁奔泻直下，水花四溅。在瀑布对面的山崖上，有一座亭子，叫雪浪亭，始建于唐朝，清朝重建，1964年再次重修。,7:30-17:30,https://img1.qunarzz.com/travel/poi/1408/18/69d3a3bb8429386bffffffffc8d65eac.jpg_480x360x95_24ff9dad.jpg,4.3,建议游览时间：1小时 - 2小时,水帘洞在衡山景区内，衡山的最佳旅游季节在夏末秋初，这时候天气凉爽，植被仍然丰茂，景色比较优美。另外，如果12月至次年2月初到衡山，则可以欣赏到著名的衡山雪景。由于特殊的气候条件，衡山有着南方其他地方都没有的雾淞奇观。,"{'水帘洞电子导览服务大小同价\n\n': ['¥10起'], '南岳大庙门票+祈福香票+衡山风景名胜区门票成人票\n\n': ['¥168起'], '衡阳大浦航空运动中心/3500米高空跳伞刺激体验/固定翼体验\n\n': ['¥680起']}",,1
回雁峰Hengyang Huiyanfeng Scenic Area,http://travel.qunar.com/p-oi709185-huiyanfeng,"

地址:
衡阳市雁峰区雁峰路与蒸阳南路交汇处


电话:
0734-8225728

",回雁峰为南岳七十二峰之首。古人一直认为，北来的大雁南飞至此处便不再南飞了，只等来年春天再飞回北方，故名回雁峰。杜甫曾写过“万里衡阳雁，今年又北归”。回雁峰靠近湘江之滨，在衡阳湘江上的公路、铁路两用桥附近。站在回雁峰上，不仅可俯瞰大桥，还可纵观衡阳城全貌。回雁峰为中华寿岳“无量寿佛”的供奉点，有诗云“欲往祝融拜圣帝，且来雁峰谒寿佛。”景区是集锦式的古典园林，有衡阳市城标——雁雕、千年古刹——雁峰寺、衡州八景之冠——雁峰烟雨、潇湘八景之一——平沙落雁、衡阳标志性建筑——回雁阁、王船山出生地纪念馆等主要景点。回雁峰上有一座古刹名雁峰寺，迄今已有一千五百多年的历史，正门悬挂赵朴初书写的“雁峰寺”。泥金横匾。寺院分前后两殿：前殿为观音殿，供奉着观音菩萨；后为寿佛殿，金刚台上端坐着3米高的寿佛。它与花药寺、西禅寺、罗汉寺并称为衡阳佛教禅宗四大寺院，历代有不少高僧都曾来此参禅。,全年 7:00-19:00,https://img1.qunarzz.com/travel/poi/1408/19/7c04ec9c05a8ee61ffffffffc8d65eac.jpg_480x360x95_eb938e87.jpg,4.3,建议游览时间：2小时 - 3小时,衡阳最佳旅游季节是夏末秋初之时，这个时候天气凉爽，植被仍然丰茂，景色比较优美；,具体收费情况以现场公示为主,,1
南岳忠烈祠Nanyue Memorial Hall,http://travel.qunar.com/p-oi718229-nanyuezhonglieci,"

地址:
衡山风景区内，神州祖庙和延寿亭之间。


电话:
0734-5673377

",南岳忠烈祠，又名“南岳衡山抗战忠烈祠”，这里祭奠、埋葬的是在抗战正面战场中阵亡的中国军人。忠烈祠位于景区内“延寿亭”附近的香炉峰下，景区大门步行到这里约1小时左右，也可以坐景区环保车（双程80元，不包含在景区门票内）到这里，车程约10分钟。1943年7月7日忠烈祠落成，同时举行了公祭。忠烈祠在1944年被日军破坏，后又在文革中被严重损坏，现存的建筑是1992年全面修复的。忠烈祠的建造风格仿造于南京中山陵，由祠宇和墓葬两大部分组成。祠宇的中轴线上分布着三孔牌坊、七七纪念塔、纪念堂、纪念亭和享堂等主要建筑。当你来到忠烈祠的正门下，抬头能看到“南岳忠烈祠”五个鎏金大字，是由当时第九战区司令长官薛岳题写。穿过正门就能看到五颗直指蓝天的炮弹，这就是“七七”纪念塔。五颗炮弹代表着汉、满、蒙、回、藏等各族人民团结一心、共同抗日。在纪念堂中，你能看到一块高达6米的汉白玉石碑，碑上刻有薛岳撰写的《南岳忠烈祠纪念堂碑记》。忠烈祠的纪念亭，全名“安亭战役纪念亭”，是为了纪念在“淞沪会战”中安亭战役牺牲的将士修建，这次战役是薛岳将军亲自督战。亭中有块致敬碑，上面写有：“游人到此，脱帽致敬”。当你再登上二百多级台阶后，就可以看到悬挂着“忠烈祠”鎏金匾额的”享堂“。堂内有记载着37位抗日将军生平事迹的石碑。享堂后面耸立着一块巨大的汉白玉石碑，碑中间题有“抗日阵亡将士总神位”字样。,全年 7:00-17:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20223/15a3920beb4306eb2b204bd1dc65874e.jpg_480x360x95_60bd970f.jpg,4.6,建议游览时间：1小时 - 2小时, 景点在衡山上，衡山的最佳旅游季节在夏末秋初，这时候天气凉爽，植被仍然丰茂，景色比较优美。 另外，如果12月至次年2月初到衡山，则可以欣赏到著名的衡山雪景。由于特殊的气候条件，衡山有着南方其他地方都没有的雾淞奇观。,"{'衡阳南岳大庙＋衡山风景名胜区＋南天门＋祝融峰一日游（一价全含/上门接/纯玩无购物/趣味讲解）\n\n': ['¥699起'], '南岳衡山-南岳大庙-祝融峰祈福纯玩1日游  可选VIP小众团\n\n': ['¥218起'], '【My南岳·2-16人精致小团】祈福南岳大庙·登顶祝融峰·五岳独秀福严寺·千年银杏叶落黄·五岳登顶游\n\n': ['¥338起']}",,1
南天门Nantianmen,http://travel.qunar.com/p-oi718460-nantianmen,"

地址:
衡阳市南岳区南岳镇金沙路南岳衡山风景名胜区内


电话:
0734-5673377

",自南岳庙后登盘山路逶迤而上，经半山亭，过邺侯书院不远即可到南天门。南天门是南岳衡山前后山的分水岭，古人称之为人间与仙境的分界线。紫盖峰在东，烟霞峰在南，天柱峰在西，碧罗峰在北，它们从各自方向环抱过来，伸展开去。南天门下方，有船状的卧龙石，名飞来船，衬以流云，好比船在云海中乘风破浪，而南天门的石牌坊，就是高耸的桅杆。牌坊分中门和左、右川门，中门上方横额镌有“南天门”三个描红大字，左、右横楣上刻有“行云”、“施雨”，字迹端正醒目。在南天门的位置，极目远眺，群峦叠嶂，万木葱茏。这里也是观“衡岳烟云”是好地点。游人站在这里，头上是白云漂浮，脚下是白浪盘旋，举手青云满袖，张口吞吐云烟，仿佛在腾云驾雾，飘飘欲仙。难怪乎谭嗣同会赞叹“身高殊不觉，四顾乃无峰，但有浮云渡，时时一荡胸”。,包含于衡山风景区内，景点开放时间详见景区现场公示。,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/1e1dc4eb5fe8a5235d6916760f9ee775.jpg_480x360x95_00d20825.jpg,4.4,建议游览时间：0.2小时 - 0.5小时, 南天门在衡山上，衡山的最佳旅游季节在夏末秋初，这时候天气凉爽，植被仍然丰茂，景色比较优美。 另外，如果12月至次年2月初到衡山，则可以欣赏到著名的衡山雪景。由于特殊的气候条件，衡山有着南方其他地方都没有的雾淞奇观。,包含于衡山风景区内，通用衡山风景区门票。,到了南天门，祝融峰就不远了。山上温度低，要注意保暖。,1
西湖公园West Lake Park,http://travel.qunar.com/p-oi713892-xihugongyuan,"

地址:
衡阳市石鼓区蒸阳北路


电话:
0734-8194596

",西湖公园位于衡阳石鼓区，又叫明翰公园，至今已有1000多年历史，李定国斩大清尼堪亲王、曾国藩创建湘军水师于此。素有“西湖夜放白莲花”的美誉，列全国三十六个西湖之一。公园主要分为六个功能分区：东片与西片分别为青少年、老年活动区；北片与岛区是全园的主要赏景区，适合不同层次的游人欣赏湖光山色；南端主要是管理服务区。园内通过山、水、绿地来分割空间，形成山水园林景观，颇有有闹中取静的艺术意境。水面有聚有散，聚散结合，适合开展多样水上活动。南湖广阔适宜快艇飞驰，中湖弯曲幽静宜于小船荡漾，北湖广植荷花宜于泛舟赏荷；湖的西北角还被辟作钓鱼区，闲情逸致，诱人驻足。西湖公园以清新明快为主基调，以中国山水园林为主题，在占整个公园面积42.7％的水面做文章，水陆兼用，建有“莲湖飞珠”、“湖天一色”、“双亭烟雨”、“花鸟回廊”、“芙蓉拥翠”、“月映白莲”“中日友谊樱花林”等十余处景区。园内建造的夏明翰烈士铜像，寄托了故乡人民对先烈的缅怀。古色古香的周敦颐爱莲阁耸立湖边，秀美挺拔，与之隔湖相对的花卉馆更是流光溢彩。更建有爱莲书斋、太极广场、爱莲亭、夏明翰烈士纪念广场等景点。,全年 5:30-22:30,https://img1.qunarzz.com/travel/poi/1806/af/f9d872fc4e813d37.jpg_480x360x95_db9956e3.jpg,4.4,建议游览时间：1小时 - 2小时,衡阳最佳旅游季节是夏末秋初之时，这个时候天气凉爽，植被仍然丰茂，景色比较优美。,具体收费情况以现场公示为主,,1
