名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
龙游石窟Longyou Caves,http://travel.qunar.com/p-oi709733-longyoushiku,"

地址:
衢州市龙游县小南海镇石岩背村


电话:
0570-7053567,0570-7025769

",龙游石窟位于龙游汽车北站东面1公里处，是一处在地下沉睡了千年之久的大型地下建筑群。在方圆近一平方公里的范围内，似有规律地分布了24个大大小小人工开凿的洞窟，规模宏大，是我国古代水平最高的地下人工建筑群之一。如今已开发的石窟共有5个，游人可沿着石阶下到洞里参观。景区是个开放式的大公园，里面有湖和一些亭台楼阁，只有进入石窟才检票，只在公园里逛逛是免费的。景区里，你也能看到那些尚未开发的石窟，不过它们都被积水淹没，用护栏拦住了。进入景区后， 首先会来到一个放映厅，看关于石窟发现与挖掘的介绍。关于龙游石窟的来历众说纷纭，有说是地下金字塔，有说是西汉起储粮、战备用的仓库，甚至有人说是外星人留下的。当地的老人们则常说，这里以前是采石场，凿挖了地底的石头是为了修建龙游城墙……龙游石窟扑朔迷离的身世，也吸引了不少游客前来一探究竟。出放映厅，沿着小路前行，不远便可到达参观区域。石窟的入口都在高处，顺着石阶步步向下，越深入越凉快。尤其是在夏天，外面骄阳似火，一进入石窟就能感到一股冷气扑面而来，非常凉爽舒服。事实上，龙游石窟并不会像天然的喀斯特溶洞，或者龙门石窟的塑像那样给人强烈的视觉冲击，进入石窟后，乍一看你或许会觉得就是个巨大的洞穴，里面光线幽暗，地面潮湿，啥也没有。然而如果你仔细揣摩，你会发现洞顶和石柱上能清晰地看到古人似乎带有装饰意图的凿痕，分布得十分均匀、规则；各个洞窟大小不一，但洞中总有几个粗大的石柱撑顶；每个洞窟的底部均有一至两个凿挖而成的石池和人工斜坡；一号洞窟入口处不远还有鱼、马、鸟的摩崖壁刻……每个来到这里的游客都不禁好奇，是谁建造了如此庞大的地下石窟？它是用来干什么的？石窟本身的观赏性倒是其次了。从石窟出来，可以前往附近的龙游民居苑继续参观，开车十几分钟可到。,全年 08:00-16:30,https://img1.qunarzz.com/piao/fusion/2104/3f/528ce9bdbde41202.jpg_480x360x95_607f770e.jpg,4.2,建议游览时间：2小时,,"{'龙游石窟门票成人票\n\n': ['¥80起'], '龙游石窟门票优待票\n\n': ['¥42起'], '龙游石窟门票老人票\n\n': ['¥42起']}",,1
江郎山风景名胜区Jianglang Mountain Scenic Area,http://travel.qunar.com/p-oi709315-jianglangshanfengjing,"

地址:
衢州市江山市石门镇江郎乡余家坞村


电话:
0570-4911010

",江郎山俗称三片石，由石峰郎峰、石柱亚峰、石墙灵峰组成，三块巨石就像从地面上长出来的三根石笋，像一个“川”字，是典型的丹霞地貌。在这里爬山感觉很刺激，幽深的一线天、大段近乎垂直的陡阶，其艰险不输华山。    景区门口的公路上，可以较为方便地观看江郎山全景，随着位置的变化会有不同的画面出现。门票里包含了游览车的费用，可以坐车从游客中心坐车到山下的开明禅寺附近，然后开始攀登。平日自驾车也可开到山下的停车场。这段路上可以远观江郎山全景，有一棵标志性的大榕树，人们喜欢拿它做前景拍照。    上山有两条路，一条走南线的一线天，一条往北线的烟霞亭。大多数人会选择从十八曲-开明禅寺-会仙岩-一线天-登天坪-问天亭（南线）上山，而后从北线下山。因为南线坡度较为平缓，而北线是大段几近垂直的铁梯，路很窄，没地方歇脚，下山还好，上山可能会很崩溃。普通人往返走下来需要四五个小时。    会仙岩是登山的起点，在此选择去一线天的路向前。爬山赏景走到一线天大概1小时，路比较平缓。江郎山的一线天虽然不算窄，但很深远，是所有来此的游客必到、必拍照的地方。云雾天气时，两山夹壁之间扑面而来的云雾给人一种身处异境的感觉。一般旅游团到一线天看看便返回了，若打算登山则须继续向前往登天坪方向去。登天坪是一处休息点，可以买到些小食，不过价钱很贵，建议自带些补给的干粮。从这里开始的路基本都是八九十度的陡阶，务必休息足了再继续往前登顶。    通往山顶的路上沿着崖壁凿出的仅一人宽的石阶路，旺季时游人排起长龙，只能随着队伍走走停停，进退两难。快到山顶的时候会遇到去往舒心坪的岔路，一定记得过去看一下。路并不远，这边是天然石头形成的大平台，可以俯瞰山下全景，视野比山顶的观景台开阔些，山顶的观景台上则可以拍到眼前一座馒头状的山峰的全貌。需要注意的是，山顶15:30之后就不开放了。    过了山顶顺着“北线下山”的指示牌走，依旧是几乎垂直的下山路，陡且窄的地方得背过身倒退着往下。站在山上看下曲曲折折的陡阶，看着就挺惊心动魄的。下山路上有一段峡谷是没有光线的，不过这段并不长。    到山下的乘车点，如果时间充裕可以由此往须女湖方向步行，大概40分钟能到。须女湖是个水库，有些人造休闲景观。这里可以远观江郎山的全景，不想爬山可以来这儿远观一下，不过去的游人并不多。景区附近有农家乐可以住宿，来此的游客多会选择用两三天和周边的廿八都、浮盖山一并游玩。    ,8:00-16:30（淡季12月1日-次年2月28日；旺季3月1日-11月30日。）,https://img1.qunarzz.com/travel/d2/1409/11/fa75f8c7f2c7d406ffffffffc8d65eac.jpg_480x360x95_d70baf56.jpg,4.6,建议游览时间：12小时 - 3天,,"{'江郎山门票+景交车票成人票\n\n': ['¥90起'], '江郎山热气球体验成人票\n\n': ['¥200起'], '江郎山三角翼体验成人票\n\n': ['¥650起']}",,1
天脊龙门Tianji Longmen,http://travel.qunar.com/p-oi705740-tianjilongmen,"

地址:
衢州市衢江区黄坛口乡下呈村


电话:
0570-3680173

",国家AAAA级风景区——天脊龙门景区是国家级森林公园、省级风景名胜区紫微山风景区的主要景区之一，距衢州市区30公里。景区以峡谷、奇峰、绝壁、飞瀑见著。区内山峰林立，峡谷纵横。相对高差一千米的深谷，溪涧，时阔时狭，忽陡忽平。峰林景观雄奇、大气、明快，水体景观气势磅礴。龙的传说给天脊龙门景区蒙上了一层神秘的色彩。龙生九子，各有所好，因各得山水不同之灵秀，而形异性殊。景区内的五座龙桥、九个龙亭、鲤鱼跃龙门以及龙涎温泉、龙潭飞瀑、飞天索桥等景点无不蕴含着神秘的龙文化。海拔千米高处的龙宫，楼阁悬空，飞檐翘角，神奇壮观。龙宫内的龙王威武端庄，龙子、龙女栩栩如生。飞架在海拔千米之上，总长近2千米的“飞龙在天”栈道，蜿蜒起伏于悬崖峭壁间贯穿于整个景区，恰如飞龙再现出神入化。无限风光尽收眼底，令人叹绝。玻璃栈道﻿悬崖峭壁，漫步空中，俊美峡谷，尽收眼底。脚底的俊美峡谷风光一览无遗，在群山环绕中漫步前行仿佛踏在云端，感受天脊龙门的精华所在！飞龙大滑索﻿长358米、落差108米的高空滑索，安全刺激。感受凌空飞渡，体验傲视苍穹，还可以免去步行下山的劳累。,8:00-17:00,https://img1.qunarzz.com/travel/d2/1701/b5/ee8d993736c91fb5.jpg_480x360x95_ed0212ab.jpg,4.8,建议游览时间：2小时 - 3小时,,"{'天脊龙门门票+玻璃栈道+滑索套票成人票\n\n': ['¥49起'], '天脊龙门玻璃栈道+滑索套票成人票\n\n': ['¥49起'], '天脊龙门玻璃栈道票成人票\n\n': ['¥20起']}",,1
廿八都古镇Nianbadu Ancient Town,http://travel.qunar.com/p-oi705900-nianbadouguzhen,"

地址:
浙江省衢州市江山市枫岭路1号


电话:
0570-4887543

",廿八都地处浙西、福建和江西的交界处，当地人常用“一脚踏三省”来形容这里。北面的仙霞关，南面的枫岭关将廿八都阻隔在一个近乎封闭的环境里，而这里的文化却表现出令人诧异的开放与多元，游人比较集中的廿八都镇的3600多人分属69种姓氏，很有意思。古镇内保存着原汁原味的老建筑，融合了三省的建筑风格，白墙飞檐很有特色，细节之处的雕刻也令人印象深刻。廿八都镇包括浔里、花桥、枫溪三个村子，进入古镇的街巷很多，而现已开发，需要检票参观的景点全部在浔里街一线。建筑上最具价值的是文昌宫，其它展览多半是利用了原来的老宅布置了图片，以及部分实物展览。过了售票时间古镇是可以随意出入的，当然收费景点也不能入内的了。过了景区入口的珠坡桥就是售票处，顺着浔里街往南走，第一个看点便是文昌宫，殿里里供奉着文昌帝君、仓颉、魁星，外观颇有气势。在此除了看里面精美的雕刻构建，不要忘了抬头看看屋顶的彩绘，内容不仅有山水植物，还有三顾茅庐、姜太公钓鱼等小故事，十分精致。参观完毕，还可以在许愿台的小卡片上写下心愿。继续往里走，在方言、姓氏、名人馆，可以对廿八都各姓氏的来龙去脉、语言特色有个速览，也算是了解当地文化的一个窗口。戴笠与女特工陈列馆曾经是戴笠培训女特工的地方，除了介绍当时各房间的布局陈设，还有一部小短片介绍他与女特工们的故事和生活片段。关帝庙是廿八都最重要的节点，也是浔里街最南端的标志。它的周边是整个镇子中最繁华、热闹的一段，附近的戏台每逢周末节假日会有两场表演，戏曲、杂耍等等，节目还算丰富，可到时前往观看。除了以上这些地方，浔里还有好几处旧宅，可以浏览建筑，关帝庙有路通往枫溪街，这边尚未开发也无需门票，和浔里比起来更加静谧祥和。枫溪街北端的水星庙、气宇轩昂的东岳宫和枫溪上唯一的石拱廊桥水安桥，都很值得走走逛逛。廿八都通常会和江郎山、仙霞古道、浮盖山等一同游玩，安排一两天的行程。若打算在廿八都住宿，景区内比较出名的有念八铺客栈，古镇外围的风岭街上也集中了不少性价比不错的宾馆，标间价格在100元上下。来此必吃的两种小吃是燕圆馄饨和铜锣糕，前者类似福建燕皮馄饨，而铜锣糕是种糯米做成的小吃，口感柔韧，遇到不妨买来尝尝。,8:00-17:00,https://img1.qunarzz.com/travel/d0/1705/9d/7c9119f00ffa45b5.jpg_480x360x95_098fe91a.jpg,4.4,建议游览时间：2小时 - 3小时,,"{'廿八都古镇门票成人票\n\n': ['¥65起'], '廿八都古镇电子讲解服务大小同价\n\n': ['¥10起'], '浙江衢州江郎山飞行基地【热气球/骑马/越野车/三角翼体验】\n\n': ['¥90起']}",,1
水亭街,http://travel.qunar.com/p-oi9635638-shuitingjie,"

地址:
浙江省衢州市柯城区

",水亭街，沉淀了这座城市的历史与沧桑，它连接着城门外的衢江和码头，是衢州最有名的古街之一。,全天开放,https://img1.qunarzz.com/travel/d5/1808/9f/a4e2a004730d9fb5.jpg_480x360x95_23b7e301.jpg,4.6,,,免费,,1
钱江源国家森林公园Qianjiangyuan National Forest Park,http://travel.qunar.com/p-oi706736-qianjiangyuanguojiasen,"

地址:
衢州市开化县205国道(山深线)


电话:
0570-6076000

",钱江源国家森林公园位于开化县境内，皖浙赣三省交界处。这里是浙江的母亲河钱塘江的正源，有着葱茏的幽谷，清澈的山涧和瀑布，却因为交通不便游客寥寥。若是想要亲近自然休闲避暑，避开节假日人潮寻找清静，或是“追本溯源”，钱江源都是不错的选择。冲着钱江源来的游客一般将源头景区作为游览重点，这里包含大峡谷和莲花塘两部分，进到景区首先映入眼帘的便是钱江源大峡谷的石碑，可在此留影。大峡谷景区主要是沿着步道观赏其中落差达130米的际坑飞瀑（神龙飞瀑），走到栈道上方俯瞰瀑布全景为壮观。回到出口再驱车几分钟便是莲花塘，这里集中了景区要紧的看点，也是走起来辛苦的部分。在山中绿意盎然的台阶小路上行走，一路都有溪流声相伴，半路可见路边“钱江源”石碑。越往上行水声越小，也就越接近水源地，难以想象波澜壮阔的钱塘江大潮是始于这一股涓涓细流。一路上行，沿路会经过“源井飞瀑”、“卧牛听经”等景点，走到吊桥附近有一个岔路，往右去到三省交界碑，往左则是莲花塘。往莲花塘方向走，不久便能见到莲花塘碧绿的池水。后面的游程便是下山路，会穿过一片颇为茂盛的树林，称它为“负离子呼吸区”可能有些夸张，不过，在走了这么远山路后，大口吐纳林中清新的空气，着实畅快。,全年 8:00-16:00,https://img1.qunarzz.com/travel/d4/1710/30/f674a99328d5db5.jpg_480x360x95_15488d17.jpg,4.5,建议游览时间：12小时 - 3天,,周一-周五免费，周六、周日及法定节假日门票60元，具体收费情况请以景区公示或电话咨询为准。,,1
衢州小南海Quzhou Little South Sea,http://travel.qunar.com/p-oi712996-quzhouxiaonanhai,"

地址:
衢州市龙游县城北3公里衢江之阳凤凰山

",小南海风景区位于龙游县城北3公里衢江之阳凤凰山，地属浙江省衢州市，正当衢江和灵山港交汇处，“双溪合流，风景绝胜”。相传观音菩萨从西天归来，路过凤凰山，见山上竹林茂密，误以为是南海紫竹林，便停下来参禅歇息，没想到下来之后才发现这不是她的道场，便离去，却留下了美丽动人的故事。从此凤凰山便有了“小南海”的雅号。凤凰山上有竹林禅寺，始建于明，宣统元年（1909年）南海普陀山派忠禅师来此扩建殿宇，作为临济正宗南海行宫，故称“小南海”。寺庙宏伟，香火鼎盛，游人不绝。山背有被称为“世界第九大奇迹”的“龙游石窟”洞群。龙游石窟的规模浩大恢宏、设计精巧科学、施工痕迹依然犹新、气势磅礴、瑰丽壮观、巧夺天工，堪称一绝。走进石窟，宛若时光倒流到远古。而它的“开采年代”、“开采人”、“用途”……都是千古不解之谜。小南海环境清幽，建筑依山顺势，参差错落，风光宜人，青山绿水相衬，古树掩映。山、水、洞、庙浑然一体，引人入胜。江中绿洲，草被如茵，芦苇广布，杨树茂密，溪中卵石成堆，沙滩成片，洁白如玉，是开展度假、游憩、娱乐的理想场所。整个景区融自然景观与人文景观于一体，集游览观光，怀古朝圣，宗教朝觐于一地。,8 ：00—19：00,https://img1.qunarzz.com/travel/poi/1803/77/370ac26b7987e937.jpg_480x360x95_7fea6139.jpg,4.7,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
孔氏南宗家庙Zhangzhou Confucius Temple,http://travel.qunar.com/p-oi714044-kongshinanzongjiamiao,"

地址:
衢州市柯城区新桥街96号


电话:
0570-3041551

",衢州孔庙俗称南宗，具有700多年的历史。北宋末年，金兵南侵，宋高宗赵构仓促南渡，建都于临安，孔子第48代裔孙孔端友，负着孔子和孔子夫人的楷木像，离开山东曲阜，南迁至此，后敕建孔氏家庙，为宗庙。衢州孔庙按山东曲阜孔庙的规模建造，亦分孔府、孔庙两部分。庙内古木参天，殿宇宏伟，思鲁阁前的“先圣遗像”碑，据传为唐吴道子所绘，极为珍贵。整个古建筑群肃穆凝重，洋溢着浓郁的儒家文化氛围。楷木圣像：孔子逝世后，为谢师恩，弟子们在墓前结庐服丧三年，子贡独为多守三年。此间，子贡采孔林的楷木，为老师和师母亓官氏精心雕刻一对像，后人称“楷木像”。南宋初，孔端友率族人负传家珍宝“楷木像”南渡。清乾隆年间，冯世科记述“护圣像”的故事“衍圣公孔端友负楷木像扈跸来南，夜泊镇江。奉像舟覆浪中，有三神人逆流而上，得之江滨。公焚香祷谢，烟篆‘鲁阜山神’四字”。 孔端友负圣像寓衢。后，城四隅建“鲁阜山神庙”以祷神功。圣像由孔氏南宗家庙珍藏。代代潜心保护。日寇侵衢时期，为免遭掠夺，当时南宗奉祀孔繁豪奉南京政府电命，护圣像至龙泉、庆元山区。1946年楷木像还庙，珍藏于家庙“思鲁阁”。,全年 09:00-17:00,https://img1.qunarzz.com/travel/d8/1705/f7/d53b450b18fa07b5.jpg_480x360x95_dc6c8d96.jpg,4.5,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
龙游民居苑Longyou Residential Court,http://travel.qunar.com/p-oi716048-longyouminjuyuan,"

地址:
衢州市龙游县文化路62号


电话:
0570-7855904

",龙游民居苑坐落在风光秀丽的鸡鸣山，隔灵山江与龙游县城相望，是块依山傍水的风水宝地。山上的民居苑都是明清时期徽派建筑，当地政府将分散在龙游乡里民间值得保留的建筑经过一系列评定、筛选后，将它们聚集一处，按原样移植过来重建，形成了一片特定的民居游览区。游人可在此集中欣赏龙游棒的民居建筑。这里的建筑以龙游商帮为主题，不是商宅就是官邸，和皖南、婺源的古村落是不一样的味道。搬迁复建到此的民居中，包括了龚氏民居、余氏民居、滋树堂、聚星堂、高冈起凤厅、巫氏厅、劳...龙游民居苑坐落在风光秀丽的鸡鸣山，隔灵山江与龙游县城相望，是块依山傍水的风水宝地。山上的民居苑都是明清时期徽派建筑，当地政府将分散在龙游乡里民间值得保留的建筑经过一系列评定、筛选后，将它们聚集一处，按原样移植过来重建，形成了一片特定的民居游览区。游人可在此集中欣赏龙游棒的民居建筑。这里的建筑以龙游商帮为主题，不是商宅就是官邸，和皖南、婺源的古村落是不一样的味道。搬迁复建到此的民居中，包括了龚氏民居、余氏民居、滋树堂、聚星堂、高冈起凤厅、巫氏厅、劳氏民居、灵山花厅、翊秀亭、邵氏小厅和汪氏民居等34幢古建筑，其中还保留了一些文物。这些建筑是龙游古代劳动人民智慧和劳动的结晶，也是龙游商帮历史的见证。你可以在古商业街上走走逛逛，也可以走进民居内细细欣赏。由于这里没有人居住，游人也不多，拍建筑的照片很合适。龙游民居苑和龙游石窟相距不远，开车大约十几分钟，可购买联票一并游玩（100元）。,6月1日-9月30日8:00-17:30；10月1日-次年5月31日8:00-16:30。,https://img1.qunarzz.com/piao/fusion/2104/a2/dd4b7e67fcf1fb02.jpg_480x360x95_abb3cc6d.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'龙游民居苑门票成人票\n\n': ['¥45起'], '龙游民居苑门票优待票\n\n': ['¥25起'], '龙游民居苑手机智能导游讲解服务大小同价\n\n': ['¥9起']}",,1
药王山Yaowang (Medicine King) Mountain,http://travel.qunar.com/p-oi703005-yaowangshan,"

地址:
衢州市衢江区黄坛口乡黄泥岭村


电话:
0570-3680173

",国家AAAA级风景区——药王山景区是以中华药文化和山水形胜为特色，集观光、休闲度假、康体健身及科普教育为主要功能的山地型城郊风景游赏区，景区距衢州市区28公里，是紫微山国家森林公园风景名胜区的主景区之一。景区总面积10平方公里，由三老峰、药王居、马尾瀑、石林荟翠四景群及入口旅游服务中心组成。景区汇密林、清溪、深潭、飞瀑、绝峰、幽谷、仙洞、险道等自然景观于一体；奇峰绝立，幽谷生云，飞瀑流霞，顽石蕴秀，山环水抱，林木葱茏，百药丛生，峭壁崖间，古藤悬彩，天地复色，走兽观人；有特色景点、景观100多处。雄险奇秀幽的山水形胜，独特的地理位置和优越的自然条件孕育了丰富的野生动植物资源。因此，这里既是“天然氧吧”、“育百药之胜地”，又是“天然野生动物园”。药王山的药文化也非常丰富，有传说的，有史实的。如相传神农氏炎帝在神谷偿百草，石林炼丹配制灵丹妙药拯救苍生；药王孙思藐曾在药王居用山中的草药，山中的水熬药为百姓治 病；衢州的历代名医如秦朝精通五运六气之说的刘光大，明代针灸大师杨继洲等都曾在山中采集中草药。神农、药王、华佗的神奇传说，给药王山蒙上了神奇的色彩。,8:00-16:30,https://img1.qunarzz.com/travel/d7/1707/a4/d7ce14417a3ddeb5.jpg_480x360x95_83c3fbc2.jpg,4.8,建议游览时间：2小时 - 3小时,,"{'药王山景区门票+玻璃天桥+玻璃滑道套票成人票\n\n': ['¥59起'], '药王山玻璃天桥+玻璃滑道门票成人票\n\n': ['¥59起'], '药王山门票成人票\n\n': ['¥65起']}",,1
