名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
襄阳古城Xiangyang Ancient City,http://travel.qunar.com/p-oi9204023-xiangyanggucheng,"

地址:
襄阳市襄城区冯家巷2号

",襄阳古城，位于襄阳市的襄城区，汉江从襄阳市穿城而过，分出南、北两岸的襄城区（汉江南岸）和樊城区（汉江北岸）。襄阳古城的南、北、东三面环水，易守难攻，自古就是军事重地，素有“铁打的襄阳”之称。这也是一座充满历史故事的城池，《三国演义》中有三十一个章回里出现过襄阳城、《射雕英雄传》和《神雕侠侣》中很多情节也发生在襄阳古城。准备去古城游玩的游客，不妨去之前瞄瞄这些小说，这样游玩时会更有趣味。襄阳城约始筑于西汉高帝六年（公元前201年），现存城墙基本上是于明代所建，外面砌有城砖，里面用土夯筑。如今的襄阳古城以临江的北城墙保护较好，东城墙的阳春门、西城墙的西成门、南城墙的文昌门已毁，但整体上依然保留着古代城市的基本格局和双层防御体系。古城的临江门，直接面对着汉江，建议游客从北门进入襄阳古城。穿过古城，是一条约300米的步行街，青石板的街道两边，是一幢幢仿古建筑，绝大部分是售卖纪念品和餐馆。这里的纪念品以“孔明扇”较为出名。因为襄阳与河南省南部接壤，所以这里的饮食与河南比较接近，面食比较多，口味偏重。沿着步行街，一直向南走，就可以到达古城的昭明台。昭明台位于古城的中央北街，高大巍峨，原本是为了纪念梁朝（公元502年）的昭明太子而建造的，如今的昭明台是近年来重修的，昭明台内有免费的襄阳博物馆，有兴趣的游客可以去转转。从北门（临江门）至昭明台的步行街，是古城的精华所在。北门前有一个广场，晚上这里人气很旺，有时市民会在这里点燃一盏盏孔明灯，在夜空中徐徐而上。你也可以晚上来到这里，吹吹江风，看看灯光照耀的古城墙。古城内值得一去的景点有仲宣楼、绿影壁等。古城东南角的仲宣楼，是纪念东汉末年的文学家、“建安七子”之一王粲的楼宇，这也是古城的标志性建筑之一，楼内可以看到很多碑刻。绿影壁位于古城内的襄阳王府前，是明代襄王府门前的照壁，上面的龙纹石刻非常精美，是国内罕见的大型石刻龙壁。在襄阳古城北门的汉江对岸，就是樊城区，有纪念北宋时期（公元960-1127年）有名书法家米芾的——米公祠，可以一并游玩。,8:00-17:30,https://img1.qunarzz.com/piao/fusion/2005/81/1c60e7a80ce83902.jpg_480x360x95_6f030e4f.jpg,4.5,建议游览时间：3小时 - 4小时,四季皆宜,"{'襄阳米公祠+襄阳王府绿影壁门票成人票\n\n': ['¥40起'], '【酒店套餐】襄阳华侨城云海酒店2天1晚 可选购奇趣童年/奇幻谷+早餐，入住期间无限次入园\n\n': ['¥638起'], '湖北襄阳鹿门山滑翔伞基地\n\n': ['¥100起']}",,1
古隆中Gulongzhong,http://travel.qunar.com/p-oi708256-gulongzhong,"

地址:
湖北省襄阳市襄城区隆中路461-1号古隆中风景区游客中心


电话:
0710-3775067,0710-3773333,0710-3592382,0710-3591656


官网:
http://www.lzfjq.com/

",襄阳郊外约15公里的隆中风景区，是传说中三国时期诸葛亮躬耕务农的隐居地，这里也是“三顾茅庐”、“隆中对”等故事的发生地。襄阳隆中和河南南阳一直在争夺“诸葛躬耕之地”的称号，作为普通游客不用太在意这些，毕竟两地为了这个称号已经争夺了几百年了，而隆中风景区内的所有建筑也是近年人工重建的。从襄阳市区出发，约40分钟可以到隆中风景区，景区不大，可以根据区内的指示图步行浏览整个景区。在景区的入口处，耸立着一座三门石坊，正中雕刻着“古隆中”三个大字。走过牌坊你能看到一块农田，据说这是当年诸葛亮“躬耕”的那块农田。距离农田不远处的山脚下，有一座茅草屋，那就是茅庐，是刘备当年“三顾茅庐”邀请诸葛亮出山的地方。 这间茅庐前是一个小院子，当你进入茅庐后，映入眼帘的是正面墙上悬挂的陈寿（《三国志》作者）的“隆中对”木刻匾额，侧面的书案旁，诸葛亮和刘备的塑像栩栩如生。茅庐附近建有武侯祠，在祠中的大堂内端坐着诸葛亮的雕像，在祠中还有很多蜡像，再现了当时诸葛亮的一些生活场景：读书、躬耕、交友等。武侯祠边上就是三顾堂，是为了“三顾茅庐”而修建的，里面也有塑像，展示了刘备和诸葛亮谈论天下大事的场景。风景区内还有古柏亭、隆中书院等小景点，可以一并游玩。还可以登上景区内的滕王阁，在这里俯瞰四周，苍翠的小山环抱着古隆中，一派田园风光。,03/01-10/31 08:30-17:30;11/01-02/28 08:30-16:30,https://img1.qunarzz.com/travel/d2/1612/91/583630cf5505eab5.jpg_480x360x95_4e7d06e1.jpg,4.3,建议游览时间：1小时 - 3小时,,"{'古隆中门票+古隆中巴士车票成人票\n\n': ['¥82起'], '古隆中门票+往返景交车票优待票\n\n': ['¥50起'], '古隆中门票+古隆中巴士车票亲子票(1大1小)\n\n': ['¥118起']}",,1
襄阳米公祠Migong Temple,http://travel.qunar.com/p-oi707501-xiangyangmigongci,"

地址:
襄阳市樊城区沿江大道2号


电话:
0710-3433316

",米公祠始建于元朝，原名米家庵，是纪念我国北宋时期杰出的书法家、画家米芾的祠宇。米芾能诗文、擅书画、与蔡襄、苏轼、黄庭坚一起并称“宋四大家”，后人为纪念他修建了这座祠宇，先后经过多次扩建、重建，形成了今天庭院深深、碑石林立的景象。米公祠由三部分建筑群体组成，中轴为主体建筑亭、拜殿、碑廊、宝晋斋、仰高堂，殿堂里陈列着大量宋四大家的墨迹和石刻。中轴两侧为东、西石苑，苑内亭台楼阁错落其中，树木郁郁葱葱，景色很是怡人。拜殿及宝晋斋内悬挂着很多匾额、楹联，都是后人的题词，廊壁上陈列有一百多块米芾、黄庭坚、赵子昂、蔡襄等人的书法石刻，米公祠可谓一座巨大的艺术宝库。,"8:00-17:30,17:00停止售票入园",https://img1.qunarzz.com/travel/poi/201211/15/62ec8a9378f6d4ebddb12cfb.jpg_480x360x95_81cfebda.jpg,4.4,建议游览时间：1小时,,"{'襄阳米公祠门票成人票\n\n': ['¥22起'], '襄阳米公祠仿古小瓦当票成人票\n\n': ['¥9.9起'], '襄阳米公祠小书法碑票成人票\n\n': ['¥25起']}",,1
广德寺Guangde Temple,http://travel.qunar.com/p-oi711110-guangdesi,"

地址:
襄阳市襄城区303省道旁

",广德寺原名云居禅寺，始建于唐代贞观年间。位于襄阳市城西13公里处，寺院与古隆中风景区毗邻，寺内古木参天，寺外碧水环绕，环境幽雅宜人，被清朝康熙皇帝赐封为“护法尊”的古银杏树干年不衰，枝叶茂盛。寺院占地面积4.5万平方米，是鄂西北有名古刹，湖北省佛教历史上有名的十方丛林。广德寺南北长250米，东西长180米，护寺河长达1000余米。主要建筑有皇禅师石塔、东山门、南山门、伽蓝殿、韦驮殿、钟楼、鼓楼、大雄宝殿、观音殿、藏经楼、多宝佛塔、厢房、配房和跨院等，共有房屋127间。多宝佛塔始建于明弘治七年，砖石仿木结构，由塔座及塔峰两部分组成，塔座高7米，塔身高约10米。主塔四周另有四座六角形砖塔，塔身共嵌有48尊石雕佛像，故称多宝佛塔。,全年 8:00-18:00,https://img1.qunarzz.com/travel/d2/1609/de/af5d7d54a092a8b5.jpg_480x360x95_b976480b.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
襄阳华侨城奇幻谷,http://travel.qunar.com/p-oi38857643-xiangyanghuaqiaocheng,,将于2022年4月29日盛大启幕，中国 宇宙探索主题乐园，奇幻谷总投资40个亿，占地约45万平方米。作为华侨城 一代大型主题陆公园，奇幻谷以“平行时空，宇宙探索”为主题，将六大有形的时空主题实景，与无形的多元虚拟数字娱乐相融合，打造一个时空共存的平行宇宙，游客可以自由地穿越、无限地探索六大平行时空，勇敢地探索人类文明起源与生命重生、新世界与工业机械大发展、宇宙星际与未来新纪元，开启一场“勇闯星辰大海”的宇宙探索之旅。并以家庭型全龄段娱乐度假、主题文化IP创造、沉浸式奇幻体验为核心，打造集平行时空探索、奇幻娱乐体验和文化休闲度假为一体的主题公园新标杆。u核心亮点«1场全球首秀 机械麒麟巨型机械麒麟·金璃，奇幻大巡游 全球首秀«5大全国首台 游乐设备国内最高的动物主题激流勇进设备—方舟大冒险国内最长的科幻风格宽翼过山车—达芬奇飞翔国内首台以金属杆件木质结构搭建的过山车—疯狂战车中国首座火山主题大漂流—赤水漂流中国首座雪山主题过山车—雪山飞车«7大全国  沉浸互动馆全球首创“蒸汽朋克机械主题”特技秀—联盟竞技场国内主题乐园 星际主题任务式闯关鬼屋—星球情报局国内首台“元宇宙”互动演艺秀—地宫厉险国内 行走式的互动射击项目—虫巢突围国内 巨型机械麒麟互动体验馆—奇妙发明馆国内 “熊猫家庭”亲子互动体验馆—熊猫部落国内 创新观光潜水艇的水族馆—深海探秘«5大原创多元主题 奇幻故事IP昆仑幻境—考古主题IP鲲之方舟—熊猫主题IP发现湾—智者主题IP疯狂机械城—机械师主题IP星球集市&异星港—星际主题IP«6大首创影视级 平行宇宙主题区昆仑幻境—神秘藏区的惊险奇遇鲲之方舟—动物世界的勇气大冒险发现湾—中世纪沉浸式的科幻之旅疯狂机械城—机械朋克世界的疯狂冒险星球集市—星际主题的宇宙拯救之旅异星港—未来高科技的宇宙大历险«15大全龄沉浸式 时空穿梭体验馆地宫历险、昆仑神宫、万年冰窟、索朗狩猎屋深海探秘、熊猫部落、疯狂小鸟、炼金学院联盟竞技场、奇妙发明馆、星球情报局、超时空营救虫巢突围、星际历险、星港舞台«17大国际领航级 全景包装游乐设备雪山飞车、赤水漂流、雪怪之怒、伽珞遗址蛟龙之旅、方舟大冒险、飞跃大草原、熊猫对对碰达芬奇飞翔、海兽旋涡、斗转星移疯狂战车、钢铁角斗士、飞鲨运输机星际速运、特攻快艇、星盗战舰  ,,,5.0,,,,,1
水镜庄Shuijing Village,http://travel.qunar.com/p-oi711125-shuijingzhuang,"

地址:
襄阳市南漳县城关镇情侣路43号


电话:
0710-5232754

",水镜庄背倚玉溪山，层峦叠翠；下临彝水，泉流淙淙，是东汉末年名士司马徽隐居地，因司马徽雅号“水镜先生”而得名。山中有一巨洞，可容百人，传说有白马奔出，故名白马洞，上刻“洞天福地”四字。相传此洞即水镜先生弹琴、弈棋、饮酒会客之所。洞庭幽深，可通后山；洞内深潭神秘莫测。庄西三里石壁长廊如刀削状，形成天然石瀑景观，下有四个洞口相互贯通，名曰“地下迷宫”，已开发出禹王洞景点。山脚下战国永丰渠清澈碧绿，贯穿庄内，终年淙淙不息。水镜祠位于峭壁中白马洞外，亭阁式建筑，飞檐凌空，气宇轩昂，金窗修户，朱梁画栋。祠内有司马徽、庞德公和学生诸葛亮、徐庶、庞统玉石塑像风彩飘逸。半山腰的“头天门”、“二天门”似金刚高悬，拾级而上如登云梯。庄正门前铁索桥飞跨。山上秀雅亭榭多处，供游人小憩。主要景观有草庐、水镜遗址、司马徽故事碑廊、水镜祠、幽居斋、善福洞、将军亭、禹王洞、老虎洞、藏龙洞、神迷谷、桃花流水等。,8:00-17:30。,https://img1.qunarzz.com/travel/poi/201211/15/558aefc509deb2e6ddb12cfb.jpg_480x360x95_7fefb487.jpg,4.0,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
夫人城Furen City Site,http://travel.qunar.com/p-oi702211-furencheng,,,,,,,,,,1
三顾堂,http://travel.qunar.com/p-oi705637-sangutang,,隆中位于襄阳城西十三公里处的群山中，是一个以诸葛亮故居为主体的襄樊市近郊文物风景区，总面积十二平方公里，景区内有隆中山、乐山、大旗山、小旗山及其所属的谷地。主峰隆中山海拔306米，起伏盘旋，势若蟠龙；隔谷相望的大旗山，一头高昂，一头缓缓下垂，型如卧虎；山上茂林修竹，郁郁葱葱，望之巍然深秀；山下泉水、池塘，山涧小溪流水潺潺。我国三国时期杰出的政治家、军事家诸葛亮青年时期隐居隆中，躬耕苦读，广交名士，历史上著名的“三顾茅庐”和“隆中对”也都发生在这...隆中位于襄阳城西十三公里处的群山中，是一个以诸葛亮故居为主体的襄樊市近郊文物风景区，总面积十二平方公里，景区内有隆中山、乐山、大旗山、小旗山及其所属的谷地。主峰隆中山海拔306米，起伏盘旋，势若蟠龙；隔谷相望的大旗山，一头高昂，一头缓缓下垂，型如卧虎；山上茂林修竹，郁郁葱葱，望之巍然深秀；山下泉水、池塘，山涧小溪流水潺潺。我国三国时期杰出的政治家、军事家诸葛亮青年时期隐居隆中，躬耕苦读，广交名士，历史上著名的“三顾茅庐”和“隆中对”也都发生在这里。三顾堂是刘备三顾茅庐，诸葛亮隆中对策的纪念堂。刘备与诸葛亮会面的房屋已在明朝遭到破坏，现在的三顾堂是清...,,https://img1.qunarzz.com/travel/d5/1706/91/b93d14213d1c34b5.jpg_480x360x95_ae0d30d3.jpg,3.5,,,,,1
多宝佛塔话珍奇,http://travel.qunar.com/p-oi704930-duobaofotahuazhenqi,,距隆中一箭之遥，有一座寺庙，叫广德寺。它离山不远，在一片空旷的田野上。南望，是巍巍清山，北眺，是滔滔汉水。寺院方方正正，四外有整整齐齐的护寺河，除东山门外，别处进不了寺院。这恐怕是其它很多寺院所没有的。此寺以刹深殿高而著称于世，更以颇具特色的多宝佛塔而名闻遐迩。穿过巍峨的方丈殿，一出后门，独具特色的多宝佛塔便呈现在眼前。它通高十七米，分塔座、塔峰两部分。塔座高7米，成八方形，东、南、西、北各设一券门，并有甬道入内。座上建5塔组成完整的塔群，主塔为...距隆中一箭之遥，有一座寺庙，叫广德寺。它离山不远，在一片空旷的田野上。南望，是巍巍清山，北眺，是滔滔汉水。寺院方方正正，四外有整整齐齐的护寺河，除东山门外，别处进不了寺院。这恐怕是其它很多寺院所没有的。此寺以刹深殿高而著称于世，更以颇具特色的多宝佛塔而名闻遐迩。穿过巍峨的方丈殿，一出后门，独具特色的多宝佛塔便呈现在眼前。它通高十七米，分塔座、塔峰两部分。塔座高7米，成八方形，东、南、西、北各设一券门，并有甬道入内。座上建5塔组成完整的塔群，主塔为典型的喇嘛塔，高10米，围绕喇嘛塔建有4座六角形密檐攒尖顶式砖塔。整个佛塔上下内外共嵌石雕盘坐佛像45尊。塔弯有古银杏树一株，高30余米，4人合抱。明嘉靖年间曾被襄阳王赐以“大将军”封号，清乾隆25年（公元1760年）更立“感应大将军树碑”。古树奇塔交相辉映，蔚为壮观。现为全国重点文物保护单位。,,https://img1.qunarzz.com/travel/d2/1609/fc/017b78708e37ddb5.jpg_480x360x95_e75e3910.jpg,4.0,,,,,1
习家池Xijia Pond,http://travel.qunar.com/p-oi716513-xijiachi,"

地址:
襄阳市襄城区凤凰山南麓

",习家池位于襄阳城南约5公里的凤凰山南麓，又名高阳池，建于东汉建武年间（公元25-56年）。襄阳侯习郁，依春秋末越国大夫范蠡养鱼的方法，在白马山下筑长60步、宽40步的土堤，引白马泉水建池养鱼。习家池自汉晋以来就是襄阳南郊的旅游胜地，距今已有一千九百多年历史，被《园冶》奉为“私家园林鼻祖”。西晋永嘉年间，镇南将军山简镇守襄阳，常在此宴饮，喝得酩酊大醉，故称“高阳酒徒”，因此有高阳池馆。东晋时，习郁的后裔习凿齿在此临池读书，登亭著史，留下《汉晋春秋》这一千古名作，成为名播后世的史学家，而使习家池益负盛名。晋以后，习家池曾一度荒废。南宋嘉定宝庆年间曾加以修缮。明正德年间，抚民副使聂贤重修。明嘉靖时副使江汇又建飞凿齿、杜甫两公祠。后又多次重建修葺，池边有凤泉馆、芙蓉台、习郁墓。这里群山环抱，苍松古柏，流水涓涓，亭台掩映，花香鸟语，风景幽静。自古常有骚人墨客来此咏诗作赋，现在不少游客来此参观白马泉、养鱼池和亭台等景观。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/91d0f6ba12dcbec9efd3bb1a09dc6d4b.jpg_480x360x95_fc2f2947.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
