名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
"中科院西双版纳热带植物园Xishuangbanna Tropical Botanical Garden, Chinese Academy of Sciences",http://travel.qunar.com/p-oi721624-zhongkeyuanxishuangban,"

地址:
西双版纳州勐腊县勐仑镇中国科学院西双版纳热带植物园景区


电话:
0691-8715914


官网:
http://www.xtbg.cas.cn/

",中国科学院西双版纳热带植物园位于西双版纳勐腊县勐仑镇的热带林海之中，当地人称勐仑植物园。园区分东区和西区两部分，游玩主要看点在西区，由多个小的植物园组成；东区是一片狭长的热带雨林，适合徒步穿越。东西区之间距离较远，景区有电瓶车联通。西区建有二十多个专类植物园区，受游人喜爱的是“奇花异卉园”，种植有会变颜色的花朵、按时开花的时钟花，随音乐颤动的跳舞草、只有树干不长叶子的光棍树以及见血封喉的箭毒木等各色奇花异草，令人大开眼界。东区是大片原生态的热带雨林，可以看到大片的野生兰花，绞杀树等奇观也不难看到。林间大部分区域都铺设有观景步道，请注意保护植物。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d1/1504/a1/6fac5db787dd8d.jpg_480x360x95_9b9bf560.jpg,4.7,建议游览时间：2小时 - 3小时,西双版纳地区最佳的旅游时间在10月至次年6月。西双版纳的气候只有干湿之分，每年11月至次年4月为干季，雨季在每年5-10月间。,"{'中国科学院西双版纳热带植物园门票成人票\n\n': ['¥75起'], '中国科学院西双版纳热带植物园门票+全园电瓶车票成人票\n\n': ['¥175起'], '中国科学院西双版纳热带植物园门票+西区电瓶车票成人票\n\n': ['¥125起']}",,1
星光夜市Starlight Night Market,http://travel.qunar.com/p-oi10065422-xingguangyeshi,"

地址:
西双版纳傣族自治州景洪市告庄西双十景区(靠近大金塔)


电话:
0691-2221600,0691-2221171

",星光夜市是西双版纳新兴的夜市之一，也是旅游度假区告庄西的一个景点之一。夜市里主要是美食小吃和各种特色手工艺品，这里比滨江夜市要干净很多，大概多是游客的缘故，环境并不脏乱，而且来西双版纳游玩，逛夜市不能错过。夜市均是由小摊主组成，他们有的是当地人，有的也像游客一样来自五湖四海，夜市有很多摊主卖工艺品、民族服饰、宝石首饰等。,街道全天开放，夜市17:00-23:00开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/fe92da79a45ffdbfc24b61e1289dc41a.jpeg_480x360x95_2d105abb.jpeg,4.6,建议游览时间：2小时 - 3小时,,,,1
野象谷Wild elephant valley,http://travel.qunar.com/p-oi718447-yexianggu,"

地址:
景洪市勐养镇三岔河距景洪市36公里


电话:
0691-2431024,0691-2431040

",野象谷位于西双版纳景洪市以北36公里处，213国道线西侧。这里是亚洲野象频繁光顾的地方，野象谷也因此而得名。来到野象谷，一是看大象表演，二是看热带雨林。景区内有长达四千多米的步行道蜿蜒于热带雨林之间，你可以漫步其中，感受热带雨林的气息，步道两旁不仅可以见到少见的热带植物，还可以看见野象出没留下的脚印、粪便等痕迹。幸运的话，或许还能看到林间漫步的野象群。景区南门附近每天都有固定的大象表演，憨态可掬的大象与工作人员互动，会跳舞、过独木桥，甚至会用鼻子踢球，非常精彩。在此，近距离与训练有素的大象来个亲密接触，既安全又有趣，也是很不错的体验。南门附近还有百鸟园、蝴蝶园可以一并游览。从百鸟园出来还有一条长约920米的高架走廊至北门亚洲象博物馆，可以去看大象骨骼标本，了解关于大象的知识，沿路风景也很不错。另外。景区内有餐厅可以用餐，在景区门口也有些农家乐可以解决吃饭问题，很方便。,全年 08:00-18:00,https://img1.qunarzz.com/travel/poi/201211/15/439755b4745f8b64ddb12cfb.jpg_480x360x95_875b7316.jpg,4.3,建议游览时间：3小时 - 5小时,西双版纳地区最佳的旅游时间在10月至次年6月。西双版纳的气候只有干湿之分，每年11月至次年4月为干季，雨季在每年5-10月间。,"{'野象谷门票成人票\n\n': ['¥56.2起'], '野象谷门票双人票\n\n': ['¥113起'], '野象谷门票三人票\n\n': ['¥160起']}",,1
告庄西双景Gaozhuangxishuangjing,http://travel.qunar.com/p-oi7645615-gaozhuangxishuangjing,"

地址:
西双版纳傣族自治州景洪市宣慰大道江北段环岛旁


电话:
0691-2221600,0691-2221171

",告庄西双景为傣语，汉语意为“九塔十二寨”。其中心的佛塔引人注目，一定要去观赏一番。在告庄西双景游玩，不必太匆忙，可以租一个自行车慢慢骑行闲逛。白天去看看湄公河，然后去佛塔感受下佛教文化，十分惬意。晚上可以去夜市“淘宝”，吃点当地特色的热带水果，买点工艺品，或者去酒吧和朋友小酌几杯，聊聊人生理想，很是悠闲自在。,全天开放，夜市18:00-23:30,https://img1.qunarzz.com/travel/d3/1512/18/fb65a4deccc900f7.jpg_480x360x95_a3baaedf.jpg,4.6,建议游览时间：12小时 - 3天,,"{'湄公河六国水上市场内湖游船票成人票\n\n': ['¥60起'], '湄公河六国水上市场内湖游船票儿童票\n\n': ['¥30起'], '告庄西双景无人机拍摄套餐服务大小同价\n\n': ['¥228起']}",,1
曼听公园Manting Park,http://travel.qunar.com/p-oi701597-mantinggongyuan,"

地址:
云南省西双版纳傣族自治州景洪市曼听路35号


电话:
0691-2161061,0691-2161451,0691-2160296

",曼听公园位于云南省景洪市东南，是个天然的村寨式公园，也是西双版纳历史悠久的城市公园。旅行者在曼听公园可以去藤本植物区、孔雀园看看动植物，也可以参观颇具风情的傣族和泰国式建筑，还可以在晚上观看少数民族的歌舞表演。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d5/1706/18/afdcc3ecc3c5a5b5.jpg_480x360x95_0f8354ba.jpg,4.5,建议游览时间：2小时 - 3小时,西双版纳地区最佳的旅游时间在10月至次年6月。西双版纳的气候只有干湿之分，每年11月至次年4月为干季，雨季在每年5-10月间。,"{'景洪曼听公园门票成人票\n\n': ['¥35起'], '景洪曼听公园门票双人票\n\n': ['¥76起'], '景洪曼听公园门票三人票\n\n': ['¥120起']}",,1
西双版纳傣族园Xishuangbanna Dai Minority Park,http://travel.qunar.com/p-oi703664-xishuangbannadaizuyuan,"

地址:
西双版纳州景洪市勐罕镇傣族园（近锰腊镇）


电话:
0691-2504601,0691-2504099

",西双版纳傣族园位于景洪市东南的勐罕镇。傣族园由保存较完好的五个傣族自然村寨组成，分别是曼将、曼春满、曼听、曼乍、曼嘎。无论你走进哪一个寨子，都会看到典型的缅式佛塔和传统的傣家竹楼，感受到浓郁的傣家文化。走进景区大门，首先是迎宾广场，在这里接受热情的傣家人跳迎宾舞、唱祝辞、洒水祝福。之后来到曼春满古佛寺，这是西双版纳古老的佛寺之一，已有1400多年的历史，进到寺中，可在琅琅的诵经声中拜佛、祈福。西双版纳傣家人隆重的节日莫过于泼水节，在傣族园的泼水广场，你可以感受到这热烈的场面。这里“天天都是泼水节”，上百人聚拢在水池边，相互泼水，洗去尘埃和罪孽。记得一定要带一套替换的衣服。,全年 09:30-17:00,https://img1.qunarzz.com/travel/d8/1702/a9/def5894b56e300b5.jpg_480x360x95_5a1201ef.jpg,4.3,建议游览时间：2小时 - 3小时,西双版纳地区最佳的旅游时间在10月至次年6月。西双版纳的气候只有干湿之分，每年11月至次年4月为干季，雨季在每年5-10月间。,"{'傣族园门票成人票\n\n': ['¥38.5起'], '傣族园门票双人票\n\n': ['¥90起'], '傣族园门票三人票\n\n': ['¥135起']}",,1
西双版纳热带雨林国家公园望天树景区Xishuangbanna Tropical Rainforest National Park Wangtianshu Scenic Area,http://travel.qunar.com/p-oi708916-xishuangbannaredaiyulin,"

地址:
西双版纳傣族自治州景洪市勐腊县


电话:
0691-8175922,0691-8876098

",西双版纳热带雨林国家公园望天树景区位于西双版纳傣族自治州勐腊县东北，是北纬21度的一片绿洲，是热带雨林国家公园的核心景区，也是从水、陆、空全方位体验热带雨林的好地方。在雨林中可以看到高耸入云的参天大树，高的有80米，相当于20多层楼的高度。你还可以体验惊险刺激的空中走廊，它搭建在几十米高的树上，长约500米。走在走廊上面，俯瞰整片热带雨林景区，壮观且刺激。如果不想体验空中走廊，也可以沿着树丛中的小路蜿蜒前行，零距离探索热带雨林的神秘。,8:30-18:00,https://img1.qunarzz.com/travel/d2/1702/79/31a8ee8940fc4b5.jpg_480x360x95_7a4b86ac.jpg,4.7,建议游览时间：2小时 - 3小时,西双版纳地区最佳的旅游时间在10月至次年6月。西双版纳的气候只有干湿之分，每年11月至次年4月为干季，雨季在每年5-10月间。,"{'西双版纳热带雨林国家公园望天树景区门票+单程游船票成人票\n\n': ['¥95起'], '西双版纳热带雨林国家公园望天树景区门票+单程游船+树冠走廊+往返直通车票成人票\n\n': ['¥242起'], '望天树景区+单程游船+观光车+树冠走廊套票成人票\n\n': ['¥170起']}",,1
西双版纳热带动物园Xishuangbanna Tropical Zoo,http://travel.qunar.com/p-oi712254-xishuangbannaredaidong,"

地址:
西双版纳州民族风情园西双版纳热带动物园


电话:
0691-2136398

",西双版纳热带动物园于2005年建园，位于风情园内，总占地面积四十亩，共有一百多种动物，其中热带野生动物30种，这些动物深受当地小朋友的喜爱。民族风情园位于允景洪西南1公里处的流沙河畔，占地面积66.7万平方米，其中，陆地面积53.4万平方米，水域面积13.3万平方米。整个园区为南园和北园。蓊蓊郁郁的热带园林内，建有西双版纳6个世居少数民族的展馆，它将西双版纳珍贵的热带的动植物和浓郁的民族风情融为一体，是美丽而又神奇的西双版纳的一个缩影。近期又新引进一些动物，有阿拉伯狒狒，园区的公狒狒一直没有找到伴侣，从昆明野生动物园引进了这只母狒狒给它配对。此外还引进了一对非洲斑马，还有一对环尾狐猴，非洲雄师，这些动物引进后，动物园的（动物）种群有30种了。,全年 09:00-18:00,https://img1.qunarzz.com/piao/fusion/2102/a5/6c6b6728ae777902.jpg_480x360x95_12a804b5.jpg,4.3,建议游览时间：2小时 - 3小时,西双版纳地区最佳的旅游时间在10月至次年6月。西双版纳的气候只有干湿之分，每年11月至次年4月为干季，雨季在每年5-10月间。,"{'西双版纳热带动物园门票成人票\n\n': ['¥39起'], '西双版纳热带动物园门票儿童票\n\n': ['¥20起'], '西双版纳热带动物园门票老人票\n\n': ['¥20起']}",,1
西双版纳原始森林公园Xishuangbanna Primeval Forest Park,http://travel.qunar.com/p-oi716389-xishuangbannayuanshisen,"

地址:
西双版纳傣族自治州距景洪市郊8公里


电话:
0691-2759999,0691-2759888,0691-2759818

",西双版纳原始森林公园位于景洪市东部，澜沧江以北，是一片原始森林。公园内代步工具是游览车，主要景点有孔雀山庄，当驯养员一声哨响，上百只孔雀越过波光粼粼的湖面，场面非常震撼。另外两站是爱伲山寨和民族风情演艺场，既可以观看民族歌舞表演，也可以参加小型泼水节，很有民族风情。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d1/1708/93/862ba7bf537627b5.jpg_480x360x95_c7211ed6.jpg,4.3,建议游览时间：12小时,西双版纳地区最佳的旅游时间在10月至次年6月。西双版纳的气候只有干湿之分，每年11月至次年4月为干季，雨季在每年5-10月间。,"{'西双版纳原始森林公园门票成人票\n\n': ['¥36起'], '西双版纳原始森林公园门票双人票\n\n': ['¥74起'], '西双版纳原始森林公园门票三人票\n\n': ['¥112起']}",,1
勐远仙境Mengyuan Fairyland,http://travel.qunar.com/p-oi707318-mengyuanxianjing,,,,,,,,,,1
