名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
曹魏古城Caowei Ancient City,http://travel.qunar.com/p-oi20968503-caoweigucheng,"

地址:
许昌市魏都区春秋广场南大街

",曹魏古城位于河南省许昌市，是以文化展示、旅游休闲、商业服务、特色居住为主要功能的曹魏文化古城。曹魏古城东至文峰路，南至七一路，西至京广铁路，北至八一路。,全天开放,https://img1.qunarzz.com/travel/poi/1807/f0/3b41cf7c58255737.jpg_480x360x95_a34c159c.jpg,4.4,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
曹丞相府Cao Chancellor's Office,http://travel.qunar.com/p-oi710853-caochengxiangfu,"

地址:
许昌市魏都区府前街魏武帝广场


电话:
0374-2785588,0374-2796677

",曹丞相府位于许昌市老城中心的繁华地带，是在原来曹操大营和办公的遗址上恢复重建的，是国内目前的一个全方面展示曹魏文化的主题景区。曹丞相府由府门、求贤堂、赋诗楼、议事厅等组成。除塑像、浮雕、文字、故事之外，景点内还采用了木质烙画、脸谱、数码技术、三维图像等新的符号和工具，让游客去感受、品味曹操，而“七步诗”、“汉代八美”的设计又能让游客参与进去、互动起来。求贤堂前的广场上有影壁——《观沧海》大型浮雕，堂内也以浮雕群为主，反映曹操招才求贤、一统天下的政治抱负。议事堂主要展示曹操的政治、经济与军事成就，内有曹操与文臣武将的硅胶塑像。而赋诗楼高三层，一层展示了曹操和曹氏三兄弟的文学成就，二层以建安文学和建安七子为主题，三层则着重展示三国时期有名的“八大美女”。,5/1-10/14(春夏季) 08:00-18:00;10/15-4/30(秋冬季) 08:00-17:30,https://img1.qunarzz.com/travel/d1/1509/72/959f8df264120a.jpg_480x360x95_b8511b2d.jpg,4.0,建议游览时间：2小时 - 3小时,,"{' 曹丞相府门票成人票\n\n': ['¥40起'], ' 曹丞相府门票双人票\n\n': ['¥80起'], '曹丞相府电子导览服务大小同价\n\n': ['¥7起']}",,1
许昌博物馆Xuchang Museum,http://travel.qunar.com/p-oi703285-xuchangbowuguan,"

地址:
许昌市魏都区许都路与赵湾路交叉口西北角


电话:
0374-2961910

",许昌博物馆是一座中型地方级综合博物馆。馆藏文物一万两千余件，包括青铜器、陶器、瓷器、玉器、字画、画像砖石，其中汉代及三国时期的居多，尤其以汉代画像砖石及陶器为馆藏特色。昌博物馆规模宏大，气势雄伟，建筑新颖，古朴典雅，布局以文峰塔为中轴线，南北对称。展览区采用“U”字形平面建筑格局，组成两个四合院：游览区以长廊连接亭、台、楼、阁。整个建筑为单檐卷棚式仿古建筑，白墙灰瓦，红漆染柱，飞檐挑角，错落有致，形成融苏州园林与北方四合院为一体的完美的仿古建筑群体。既有南方建筑的精巧、秀丽、玲珑；又有北方建筑的雄厚、端庄、严整，和古塔协调一致，相映成辉。汉代画像艺术是许昌博物馆的收藏特色之一，其品类包括石质雕刻的画像石精品和模压烧制的画像砖。陈列分室内画像砖石精品展示与室外画像石长廊展区。许昌汉画年代较晚，东汉晚期作品居多。画像刻画较细，多为平面浮雕施阴线或剔地浅浮雕施阳线。线条简洁明快，刚健有力；题材多为祥禽瑞兽、奇花异木、车骑出行、狩猎、建筑等；画像追求神似，形象生动逼真，显示出许昌汉画的个性特点。许昌汉画是汉代画像发展的一个飞跃，代表了汉代晚期画像的艺术成就，具有一定的历史价值和艺术价值。除此之外，这里还收藏有历代货币。时代久远，范围广泛，数量众多，品类齐全，展示出了中国历代货币的演变及发展，反映了中国不同社会时期的经济发展概况。,全年 08:00-18:30,https://img1.qunarzz.com/travel/d5/1806/44/4fc92631f51f09b5.jpg_480x360x95_a1d99325.jpg,4.7,建议游览时间：1小时,,需提前在微信公众号预约并携带有效身份证件进入，详情以景区公示为准。,,1
许昌灞陵桥景区Xuchang Baling Bridge Scenic Area,http://travel.qunar.com/p-oi706742-xuchangbalingqiaojing,"

地址:
许昌市许继大道西段


电话:
0374-3369673,0374-3317318,0374-3261111


官网:
http://www.blqjq.com/

",灞陵桥原名八里桥，在许昌市城西4公里的清泥河上，相传为三国名将关羽辞曹挑袍处，灞陵桥从此名扬。原桥高于水面3米余，为三孔青石桥。桥面宽能并行两车，桥长90米，两岸杨柳成行，风景宜人，桥旁有《汉武帝挑袍处》石碑，为明末将领左良玉所立。另一通碑为辞曹书，保存完好，清代康熙、雍正、乾隆年间，又竖了四通碑，文字清晰，碑文论述关羽对曹操辞其金而挑其袍的过程。该桥时毁时修，原形早变，后来因兴修水利，原桥已拆毁，仅存《辞曹图》石刻一块。桥西有关帝庙，为后人追念关羽所建。庙为三进大院，有山门、钟鼓楼、大殿、厢房、道士院等，并塑有关羽、曹操和二夫人像。其中关羽勒马塑像神采奕奕，英姿飒爽，庙中古柏参天，碑碣林立。建安五年（公元200年）春，曹操征讨徐州，击败刘备。下邳之战降伏关羽。曹操敬重关羽。回许后，深器之，厚待之。羽深知新恩，但不忘旧主，护刘备二夫人，千里寻兄。操甚惜之，追至灞陵桥赠袍献酒，以饯其行。羽疑其有诈，立马桥上，以刀挑袍，长揖而去。开始了千里走单骑、过五关斩六将的千古壮举。为推崇关羽忠义仁勇，桥西建庙设像以祀。运粮河横贯景区，灞陵桥如弯月卧波；垂柳洄堤，野趣天成；古道残碑，翠柏依旧；殿宇蔚然。是《中国文物古迹游》三国战略旅游线上一处著名景区。,9/22-12/31 08:00-21:30,https://img1.qunarzz.com/piao/fusion/2104/55/21d133e1f2c58c02.jpg_480x360x95_d69a9232.jpg,4.2,建议游览时间：1小时,,"{'许昌灞陵桥景区门票成人票\n\n': ['¥27.9起'], '许昌灞陵桥景区门票优待票\n\n': ['¥15起'], '灞陵桥电子导览服务大小同价\n\n': ['¥7起']}",,1
神垕古镇Shenhou Ancient Town,http://travel.qunar.com/p-oi7527334-shenhouguzhen,"

地址:
许昌市禹州市神垕镇236省道附近


电话:
0374-8365677

",神垕古镇位于禹州市西南30公里处，驰名中外的钧瓷文化发祥地，是中国北方陶瓷的主要产地和集散地，是五千多年陶瓷文化积淀而成的具有典型区域特色的历史文化名镇。神垕因钧瓷而得名，因陶瓷而兴盛，“神垕”两字曾被四次皇封而声名显赫，钧瓷文化是中原文化的重要组成部分和典型代表。神垕老街俗称“七里长街”。唐宋以来，随着陶瓷业的兴盛，许多富商大贾在此置田、建宅、经商，使五个村庄逐渐连成一片，形成了初具规模的神垕镇，老街由东、西、南、北四座古寨构成，从东到西有东大街、西大街、白衣堂街、红石桥街、关爷庙街等街道，道路两侧店铺林立，古民居依地势而建，保存比较完整的有伯灵翁庙、邓禹楼、温家大院、白家大院、王家大院、霍家大院、苗家大院、苗家祠堂等，炮楼、古民居、庙宇鳞次栉比。古迹见证小镇繁荣。漫步神垕小镇，古老的街道，鳞次栉比的老房屋，仿佛让人回到了遥远的年代，从这些建筑中，也让人们见证了这个小镇昔日的辉煌。“进入神垕山，十里长街观，七十二座窑，烟火遮住天，客商遍地走，日进斗金钱。”同时神垕古镇也是电视剧《大河儿女》风铃寨的原型。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1805/a5/e5b5073e6ac0e8b5.jpg_480x360x95_dc0a95a8.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
文峰塔Wenfeng Tower,http://travel.qunar.com/p-oi705727-wenfengta,"

地址:
许昌市魏都区文峰中路育才路路口附近


电话:
0374-3256818

",文峰塔建于明万历四十二年（公元1614年），距今已有400年历史。因建于文明寺内，又名文明塔或文明寺塔。文明寺是当时有名的佛教寺院，寺已毁，唯有文峰塔巍然雄峙。塔高49.536米，共十三层，呈平面八角形，造型精美、结构谨严，为河南省二百座明代砖塔之冠。整个塔由基台、基座、塔身、塔刹等部分组成。基台用条砖平卧顺砌而成。基座由青石构筑，束腰须弥座，饰以浅浮雕仰覆莲及卷草花纹等。塔身笔直秀丽，巍峨挺拔，由外壁、回廊、塔心三部分组成。各层壁辟有半圆拱券门窗，嵌石质圆形窗花。各层均有塔心室或塔心柱，设有佛龛。塔心室室顶用砖质小拱斗、叠涩砖层、菱角牙子砖相间砌出藻井，规整匀称，玲珑优美。塔门楣上嵌一长方形青石匾额，正中阴刻行书“文笔耸秀”，左上方竖刻阴文“万历四十二年”。塔檐用仿木砖质斗拱装饰，翼角处皆雕有青石龙头，颈项系风铃。塔顶檐部镶嵌龙、虎、狮、孔雀、玩童托莲等琉璃饰件。塔刹内有青铜宝镜和铁剑各一件。塔内供奉千手千眼佛、白衣菩萨和文昌帝君等。塔前立有石碑三通。整座塔气势雄伟，造型优美，历时400年，至今仍保存完好。从塔的整体造型、建筑结构与雕饰上，体现了明代工匠高超的建筑技巧和精湛的雕刻艺术，富有浓郁的中原文化色彩，涵盖了典型的地方特征，在中国建筑领域具有很高的艺术价值。,全年 周二-周六 9:00-17:00,https://img1.qunarzz.com/piao/fusion/1604/93/07d000df9532a0f7.jpg_480x360x95_ae5ecf9a.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
华佗墓Huatuo Tomb,http://travel.qunar.com/p-oi707422-huatuomu,,专家对华佗墓的公论是：许昌华佗墓为华佗真墓；亳州、华山、扬州华佗墓为衣冠冢；徐州彭城、河南沈丘华佗墓为纪念冢；洛阳、项城两地的华佗墓，没有葬于此地的古今佐证。华佗墓园现有墓冢、墓碑、华佗立像、华佗祠。张月庄路口向东1.7公里处。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/7fef3d6a424ed31fa0c721cf5d153315.jpg_480x360x95_20369e57.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
鄢陵国家花木博览园Yanling National Flower and Tree Expo Park,http://travel.qunar.com/p-oi709213-yanlingguojiahuamubolan,"

地址:
许昌市柏梁镇311国道与锦绣路交叉口东500米路北


电话:
0374-6099188,0374-7167288

",鄢陵国家花木博览园（鄢陵花园），位于许昌市鄢陵县311国道旁，许昌市区以东约20公里，鄢陵县自古就是著名的腊梅之乡。景区内汇聚有世界各地的奇花异卉，名贵树种，形成了造型别致的大地花卉景观。博览园共分为13大功能区域，其中包括：博览会展区、竹类植物展区、蜡梅文化展区、休闲度假区、热带植物展区、生态科普展区、名优花木示范区、盆景文化展区、旅游接待区、花卉观赏区、儿童乐园区、针叶植物展区、系列景观区等。整个景区就是花的世界，在这里可以感受平原氧吧的清新。每年的五月，景区内会举办“花木节”，节日期间，景区内万紫千红、百花争艳，非常值得前往赏花，此时景区内的游客数量也会增加不少。此外，夏、秋、冬三季各有时令花卉盛开。景区内还有游乐园，供前来的小朋友们玩耍。,夏季8:00-18:00，冬季8:00-17:30。,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/73d74266-c6df-4ca7-aad6-16d0c717c091.jpg,4.4,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
三国故城遗址,http://travel.qunar.com/p-oi711884-sanguoguchengyizhi,,"位于许昌县张潘乡古城村东南一里许，系周时许国国都。东汉建安元年（公元196年），汉献帝迁都于此，曾为一代帝都。该遗址分内外二城，内城系皇城，外城周长""九里一百二十九步""，曹魏时为五都之一。南北朝刘宋景平元年（公元432年）该城为北魏夺取，颖川太守李元德曾收复，魏大将周几复夺取后，将城焚毁。现存遗址，仍依稀可见。故城城垣蜿延起伏，状如小丘。在遗址内先后出土有玉璧、青铜器、陶器及建筑构件等。1986年被河南省人民政府公布为河南省级文物保护单位。",,,--,,,,,1
许昌千亩荷塘,http://travel.qunar.com/p-oi711035-xuchangqianmuhetang,,"位于彭店乡刘庄村，目前已建植莲养鱼池600多个，面积达2000亩，商标准钓鱼塘3个，占地15亩，园内莲池成片，鱼塘连接，春桃夏荷，碧波荡漾，是游人消暑度假，赏荷垂钓，踏青,品鱼的好去处.",,,--,,,,,1
射鹿台遗址Shelutai Ruins,http://travel.qunar.com/p-oi702903-shelutaiyizhi,,射鹿台遗址位于许昌县陈曹乡许田村。东汉末年，曹操陪献帝游猎于此，并建亭筑台以观盛况。台前原来立有清康熙年间许州吏目滕之瑚书“射鹿台”碑一通。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/814be1663588e0c7dedbad5b08aacca6.jpg_480x360x95_0edf5905.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
周定王陵Zhou Dingwang Tomb,http://travel.qunar.com/p-oi705309-zhoudingwangling,"

地址:
许昌禹州市无梁镇老山坪东麓

",周定王陵旅游区由明代周定王墓、王妃陪葬墓及其周围的自然景观所构成。它的西部是层峦叠嶂的嵩岳余脉，即具茨山东首，又称明山，东部则是广袤的黄淮平原。这里风光秀丽，景点繁多，具有丰富的文化内涵。其中的周定王墓与王妃陪葬墓是河南省重点文物保护单位，也是该旅游区的主景点。周定王陵是明太祖朱元璋的第五子朱橚及其王妃们的墓区。墓区左边是青龙岭，右边有卧虎山，主峰坐北向南，山岭呈弯曲状向左右两边延伸为椅子形。周定王墓就坐落在椅子的环抱之中。背依险峻的山峰，长约五华里，五中间一峰名叫“太白崖”，称为“中天一柱”。南200米处的一座石峰，名为“龙拉磨”，称为“南天一柱”。北300米处有一奇石，名为“金字石”，称为“北天一柱”。三柱鼎立，形成擎天之势。周定王陵就建造于金字石下侧，金字石两侧的老鸦坪和旋磨顶，两峰各延展一岭，于二里外汇合，汇合处的高地有座府城隍庙，鸟瞰整个山貌，在此形成“二龙戏珠”。北山山半腰有一石洞，名叫“炸龙洞”，山下两块奇石，名为“龙炸石”，南山有一石虎，名为“太虎石”，形成龙虎把门之势。周定王陵背靠明山，面对陉山，左有青龙山，右有白虎山，是一块风水宝地。,全年 8:30-18:00,https://img1.qunarzz.com/piao/fusion/1809/7a/3803a7089e1e3702.jpg_480x360x95_dff632ab.jpg,3.4,建议游览时间：2小时,,具体收费情况以现场公示为主,,2
许都公园Xudou Park,http://travel.qunar.com/p-oi7587884-xudougongyuan,"

地址:
建安大道市政府对面(市政府对面)

",许都公园是融休闲娱乐、文化集会、商务观光为一体的大型市民公园。公园占地184亩，由文化广场、音乐喷泉、水系景观、生态园林、休闲健身活动区等组成。公园标志性建筑智慧门，以独特的造型和雕饰成为许昌文化旅游新地标。,全天,https://img1.qunarzz.com/travel/poi/1412/41/4150254841135a3dcdb.jpg_480x360x95_750dc569.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
洗砚池,http://travel.qunar.com/p-oi710096-xiyanchi,,位于长葛老城镇内福泉井之旁，池呈长方形，长80米，宽30米，水深1－3米。池水呈墨青色，久旱不涸，池边有一高台为钟繇学书台，池前立有1920年《重修洗砚池碑记》碑，高0.91米，宽0.4米， 碑文记述了钟繇的书法成就及其学字精神，对重修后的洗砚池景观也作了描绘。据传三国时期大书法家钟繇常邀胡昭字台上练字，穷究先师技法，久而久之写秃的笔堆集如山，写过的纸帛弃之成垛。由于洗笔洗砚，把满池的水都洗成黑色了。解放后，人民政府曾对此进行了修复、保护。,,,1.0,,,,,2
天宝宫,http://travel.qunar.com/p-oi709774-tianbaogong,,天宝宫位于许昌桂村乡西北，是一座规模宏伟的道教宫殿建筑群。始建于南宋理宗嘉熙四年（1240年），历代均有修葺。宫内建筑、碑碣具有重要历史、艺术价值。其中大元宝谕圣旨碑，为八思巴文，是研究元代宗教、文字、语言的珍贵文物。,,,5.0,,,,,2
夏侯渊墓Tomb of Xiahouyuan,http://travel.qunar.com/p-oi706874-xiahouyuanmu,,这里是夏侯渊在此处的衣冠冢。原先有东西二墓并立。但东墓夏侯惇墓已毁，现存下来的西墓为夏侯渊墓。,,https://img1.qunarzz.com/travel/poi/1803/72/f016f30b1b259637.jpg_480x360x95_3ed13204.jpg,3.3,建议游览时间：2小时,,,,2
大鸿寨风景区Dahong Village Scenic Resort,http://travel.qunar.com/p-oi711342-dahongzhaifengjingqu,"

地址:
禹州市鸠山镇后地村


电话:
0374-8811116

",大鸿寨风景区集自然、山、水、洞、林为一体，是河南省少有的自然生态旅游区之一。主峰大鸿寨高1156米，驻足山巅，俯视远眺，万壑纵横，群山拱围，峰峦叠翠，气象万千。景区以涌泉河流为界，自然分成南北两大区域。北区：自西向东，巍峨雄壮的大鸿寨主峰、尖峭峻拔的摘星楼，开阔平坦的坷垃垛依次排列。有簸箕掌、钻天洞、烽王台、一线天、白果树、水帘洞、佛爷庙、樊梨花台、老羊山等28处景观。这些景点或高悬于峭壁之上，或掩映于原始林木之间，或盘踞于沟壑之处，或令翅于高峰之巅，置身其间，移步换景，身若飘然；四季更替，风景变幻；昼夜有分，各具洞天；晴雨有别，致趣各般。南区：自东向西，有蜘蛛山、梨辕山、兰花山、玛瑙山等19处景观。由于50年代鸠山乡人民大战荒山，现如今自东至西，松柏流翠，白杨参天，花椒飘香，刺槐成片，红山楂挂满枝头。春夏季节，万木峥嵘，百花吐艳，与北区原始的自然林木花卉争奇斗妍，着实令人心旷神怡，流连忘返。风景区内清泉小溪随处可见，堤坝水库似明镜般点缀其间。自西向东，有大鸿寨山腰中的鸣咚泉、老姜树覆盖的陈窖泉、石灰岩夹缝中的海眼泉，还有悬崖之下的白龙潭、黑龙潭。这些泉和潭，水质清净，一尘不染，山中还有金盆水库、吴河水库、石门水库。一年四季，水量充盈，澄澄碧透，鸭鸥飞鸣、鱼虾翔游。近来这里又发现一个长1200米的大溶洞，洞内（百米内）可见石钟乳、石笋、石幔、石帘等典型的碳溶景观，真乃天造地设、神秘莫测。被专家誉为“江北第一洞”。,全年 08:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202010/0c8da99b3f0a867e91ce00d21ba1cb8f.jpg_480x360x95_9793b2ae.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'大鸿寨风景区门票+观光车门票成人票\n\n': ['¥49起'], '大鸿寨风景区门票成人票\n\n': ['¥29起'], '大鸿寨手机智能导游讲解服务大小同价\n\n': ['¥9起']}",,2
