名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
北帝山旅游区Beidi Mountain Tourist Area,http://travel.qunar.com/p-oi29462432-beidishanlu:youqu,,北帝山旅游区位于广西大瑶山南麓、状元的故乡—平南县大鹏镇，旅游区内风景秀丽、环境怡人，以“峰秀、林茂、石奇、花艳、泉清、雾仙”六绝闻名于世。主要旅游资源有：北帝奇峰（海拔约1300米）、峡谷漂流、北帝文化祈福、十里画廊、石桥壁画、思灵瀑布、北帝山佛光等，旅游区以原生态的山水环境和民俗文化为依托，充分展示北帝文化、状元文化和民俗风情的特色旅游资源，被誉为“仙境山水，祈福圣地”。,,https://img1.qunarzz.com/piao/fusion/2102/c4/2f25fd019efed702.jpg_480x360x95_4f3fd9ae.jpg,4.1,建议游览时间：2小时 - 3小时,,"{'北帝山旅游区门票+观光车票成人票\n\n': ['¥100起'], '北帝山旅游区门票+观光车票优待票\n\n': ['¥60起'], '北帝山旅游区门票+换乘车往返+全程索道票老人票\n\n': ['¥185起']}",,1
西山风景名胜区West Mountain Scenic Area,http://travel.qunar.com/p-oi701861-xishanfengjingmingsheng,"

地址:
贵港市桂平市西山路3号


电话:
0775-3382971,0775-3398370

",西山风景名胜区是广西东部有名的景区之一。广义的西山风景名胜区包含桂平西山景区、北回归线标志公园、大藤峡、太平天国金田起义遗址等众多名胜，几乎包含了桂平所以景点，占地面积很大。一般意义上的桂平西山风景名胜区即是指桂平市区西北侧的西山景区，一般游客前来也是游玩这里。西山自古以来就是广西有名的佛教名地，景区内有古刹龙华古寺，是周边一带礼佛的必去之处。另外，山间景色也非常漂亮，山路上古木参天，山上可以俯瞰市区，还有乳泉这一有名泉眼。游客来此登山、祈福、观景、拍照都十分不错。西山海拔不高，大约680米左右，绝大部分景点都集中在登山主干道的两旁。从山下步行到山顶大约需要2-3小时，游客一般来此走走拜拜、登山观景，上下全程大约5-6小时。不过因为山顶只有一座电视塔景致较少，也有游客不会选择登顶。一般如果是拜佛为主，到达观音岩处即可下山。如果是观景，到达神仙峡处即可下山。仅有喜爱登山的游客会选择登顶，会仙峡到山顶大约还需要40分钟左右。另外，山间也修建了一条索道，索道从山下开始，可以节省大部分的上山路，如果体力不足的游客可以考虑单程乘坐。龙华寺是西山风景区内的精华地带，也是游客来此参观拜佛的重要之处。龙华寺始建于唐末宋初，历史悠久，一直是广西省的有名寺院，如今的龙华寺也是广西省佛教协会的驻地。寺院现有大雄宝殿、千手观音殿等壮观的寺院建筑，相传十分灵验，想要参拜祈福的游客，可不要错过这里。山下的洗石庵也是有名的佛教名地，很多人会来此参拜。洗石庵处的敬慈斋馆也是很多游客来到西山游玩的重要之处，这里是一家素斋馆，提供素面、素食早餐和各种各样的斋菜，其中还有很多用素食材料做成的肉味、肉形的菜品，很多游客都会来此品尝。除了参拜祈福外，西山的树木、清泉风光也非常漂亮。其中有名的当属乳泉了，泉眼底流出的泉水接近乳白色，十分神奇，是西山的一绝。靠近山顶的神仙峡附近，有险要耸立在峭壁上的亭子，可以俯瞰到市区的风景和山下湖水等，视野非常开阔漂亮，是拍照摄影的好地方。,4:00-19:00,https://img1.qunarzz.com/travel/d8/1701/a9/f63300f6c39377b5.jpg_480x360x95_398873ee.jpg,4.5,建议游览时间：3天,,"{'西山风景名胜区门票成人票\n\n': ['¥67起'], '桂平西山电子导览服务大小同价\n\n': ['¥7起'], '广西贵港百花山滑翔伞基地【专业持证教练一带一体验】\n\n': ['¥100起']}",,1
大藤峡,http://travel.qunar.com/p-oi712287-datengxia,"

地址:
广西贵港市桂平县

",在桂平县西北的黔江下游、武宣县勒马至桂平县弩滩之间。传原有大藤如斗，横跨江面，昼沉夜浮，供人攀附渡江，故名。大滕峡河道曲折，江流湍急，四面高山环绕，峰峦叠嶂，绵亘数百里。北通罗渌三峒、紫荆、罗运等三十六弄场，南通龙山、八寨，岩洞数以百计。而九层楼、仙人阁、三妹洞尤险，是明代大藤峡瑶、壮、汉各族农民起义活动的中心。明王朝先后派韩雍、陈钧、王守仁率重兵镇压，改大藤峡为断藤峡，并在崖壁刻“敕赐水通峡”五大字。,8：00－17：00,,3.5,,,55元,,1
东塔Canton East Tower,http://travel.qunar.com/p-oi713046-dongta,,,,,,,,,,1
太平天国金田起义旧址Taiping Tianguo Jintian Uprising Site,http://travel.qunar.com/p-oi701580-taipingtianguojintian,"

地址:
贵港市桂平市金田镇金田村


电话:
0775-3566103


官网:
http://www.jtqyjq.net/

",距桂平市城北28公里处，是1851年1月11日爆发的我国历史上规模大、影响深远的太平天国农民起义所在地。现有起义陈列馆、洪秀全像以及古营盘、韦昌辉故居、三界祖庙、练兵场、风门坳古战场、犀牛潭等多处遗址。,全年 8:30-18:00,https://flight-feed.qunarzz.com/as3/359/image/poi_vishnu/c4ad8a36-57de-47ea-a16f-594fe24457cf.jpg,4.1,建议游览时间：1小时,,{'金田起义旧址电子导览票大小同价\n\n': ['¥6起']},,1
南山寺Nanshan Temple,http://travel.qunar.com/p-oi709336-nanshansi,"

地址:
贵港县城东南约3公里的南山公园内


电话:
0775-4526494

",贵港的南山寺坐落在南山公园内，这里环境清幽，山上奇岩峭壁，杂树间生，景色雅致。南山寺依洞而建，始建于宋端拱二年（公元989年），距今已有一千多年的历史了。从古至今也一直是附近居民礼佛祈福的首选之地。到达南山公园，沿着南山攀登，便能来到寺前，登山途中有多座亭子可供休息与观景之用，寺内环境清幽，留有的宋代铁钟至今依然保留完好，寺后方还有山洞大佛与观音洞。,全年 8:00-17:00,https://img1.qunarzz.com/travel/d3/1411/72/72c4cf9f9adf2817213a9cdb.jpg_480x360x95_c95c2412.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
白石山Baishi Mountain,http://travel.qunar.com/p-oi715079-baishishan,"

地址:
贵港市桂平市麻垌镇洞天村


电话:
0775-3089908

",白石山是桂东南有名的丹霞地貌景观，这里山峰险峻，也曾是有名的道佛胜地。这里还留下了诸如寿圣寺、三清观等道佛遗迹。徐霞客还曾来此考察，写下了《白石游记》，让人每每读起便可想象到他笔下那只能“循崖壁行”的惊险之景。游玩白石山主要有两种方式，其一是沿着山脚看看沿途的山林风光与寿圣寺、三清观等道佛遗迹；其二是沿着“一线天”开启登山之旅。白石山有两座高峰，一个是独秀峰，一个莲花蕊，前者太过惊险只供参观，后者则是登山的去处，登顶大约1.5小时，走过石阶路，便是一段更为陡峭的云梯，不过从云梯到达山顶还有一段非常惊险的路，难度不亚于攀岩，建议不要贸然前往，若想在山顶一览壮阔风光，建议与经验丰富的户外运动者一同前行。,全年 6:00-22:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/81ffcb573726cce37d559589caaaa222.jpg_480x360x95_81f90867.jpg,4.6,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
龙潭国家森林公园Longtan National Forest Park,http://travel.qunar.com/p-oi707524-longtanguojiasenlingong,"

地址:
贵港市桂平市中山路114号


电话:
0775-3370033,0775-3531010


官网:
http://www.gplongtan.com/

",龙潭国家森林公园以雄奇险峻的山峰峡谷之景和落差高达200多米的峡谷瀑布最为有特色，这里植被茂密，还有着丰富的动植物景观，还可看到众多调皮可爱的猴子，颇有趣味。这里还曾是电视剧《太平天国》的主要取景地之一。景区范围较大，从公园大门到龙潭景区核心景点约十多公里的路程，途中可以远观大藤峡风光、浔江平原风光和龙潭景区峡谷森林风光。游客可自驾游览，也可乘坐园内的交通车。从景区大门到龙潭山庄的途中，有四公里观光亭和眺龙亭，这是两个赏景的佳处，会停车让游人赏景。龙潭山庄设有餐厅和招待所，可以吃到山笋等农家菜。由此继续前行经龙潭牌坊便是龙潭主景区，沿着栈道上观瀑台，欣赏龙潭瀑布的壮丽景色，还可看到龙潭峡谷四周峭壁的石岩大多呈方块形，十分特别。看完瀑布之景后，继续往山上走，来到一个岔道前，一边是沿溪流观赏龙潭溪谷的步道，一边是通往引风亭的登山道，游客可根据自己的喜好进行选择。每年夏天景区还会开放龙潭大峡谷漂流，在幽深的溪谷中漂流，可体验速度和原始的碰撞。,8:00-17:30,https://img1.qunarzz.com/travel/d1/1512/25/8c82e855e8efb0f7.jpg_480x360x95_bb2f3cc1.jpg,4.5,建议游览时间：12小时 - 3天,,"{'龙潭国家森林公园门票成人票\n\n': ['¥55起'], '龙潭国家森林公园门票优待票\n\n': ['¥30起'], '龙潭国家森林公园门票双人票\n\n': ['¥103起']}",,1
大桂山,http://travel.qunar.com/p-oi713277-daguishan,"

地址:
平南县东，在平南与藤县交界处，距县城约20公里


电话:
 0774-5035151

",大桂山风景区位于平南县东，在平南与藤县交界处，距县城约20公里，有简便公路直通景区，由丹竹镇往东平水库，乘船亦可达景区腹地大桂山风景区，由大桂峡谷(俗称石巷)和峡谷附近的天然森林公园两个主景点，以及附近的东平水库库区、大桂林场、团罗茶场等景点组成。大桂峡谷在大桂山最深处，长约8公里，高约30米，两边是陡立的石壁，峡谷最窄处仅两三米宽，谷底为石面，泉水在石面上涓涓而流。人在峡谷穿行，踏着清凉的泉水，仰望崖壁，可见到各种绿藤怪树，奇草野花，还可听到各种陌生...大桂山风景区位于平南县东，在平南与藤县交界处，距县城约20公里，有简便公路直通景区，由丹竹镇往东平水库，乘船亦可达景区腹地大桂山风景区，由大桂峡谷(俗称石巷)和峡谷附近的天然森林公园两个主景点，以及附近的东平水库库区、大桂林场、团罗茶场等景点组成。大桂峡谷在大桂山最深处，长约8公里，高约30米，两边是陡立的石壁，峡谷最窄处仅两三米宽，谷底为石面，泉水在石面上涓涓而流。人在峡谷穿行，踏着清凉的泉水，仰望崖壁，可见到各种绿藤怪树，奇草野花，还可听到各种陌生的鸟儿在山上发出悦耳的叫声。大桂山除了秀丽奇险的自然风景外，还有近十多年来地方政府及集体、个人投资开发的大面积的经济林和连片的茶场，经济林约为40000多亩，以玉桂、龙眼、荔枝、柑桔和竹子为主。茶场约6000多亩，是获得广西区优产品称号的团罗茶生产基地，苍翠的茶林象绿色的腰带，一道道绕在山坡上。春夏晴和，采茶女散落在茶场里，鲜艳的服饰飘动在万绿丛中，偶有山歌悠扬而起，更使游人留连忘返。,8:00-17:00,,5.0,,,,,1
平天山国家森林公园,http://travel.qunar.com/p-oi702534-pingtianshanguojiasen,"

地址:
贵港市城区以北4公里的覃塘管理区覃塘镇根竹乡

","国家级森林公园，距贵港市区20公里，是贵港市方圆70公里内唯一的山岳型自然风景区。平天山国家森林公园总面积16.76平方公里。园区山峰属中山地貌，主峰大平天海拔1157.8米，为桂东南第二高峰，是观赏日出、日落及远眺郁江平原的最佳观景点，公园山脉绵延，纵横交错，地势东南高，西南低。平天山动植物资源丰富，种类繁多，有桫椤、格木、喜树、海南五针松、罗汉松等珍稀植物和18种国家二级保护的兰科植物，形成了色彩斑谰的森林景观；还有虎纹蛙、山瑞、猕猴、穿山甲、小灵猫、苏门羚...国家级森林公园，距贵港市区20公里，是贵港市方圆70公里内唯一的山岳型自然风景区。平天山国家森林公园总面积16.76平方公里。园区山峰属中山地貌，主峰大平天海拔1157.8米，为桂东南第二高峰，是观赏日出、日落及远眺郁江平原的最佳观景点，公园山脉绵延，纵横交错，地势东南高，西南低。平天山动植物资源丰富，种类繁多，有桫椤、格木、喜树、海南五针松、罗汉松等珍稀植物和18种国家二级保护的兰科植物，形成了色彩斑谰的森林景观；还有虎纹蛙、山瑞、猕猴、穿山甲、小灵猫、苏门羚等国家二级保护动物。公园森林密布，内空气清新，负氧离子含量高，有""自然空调，森林氧吧""之称。平天山既是科考、野营、教学的重要场所，又是旅游度假、休闲娱乐的理想胜地。公园内的主要景点有""高山草甸、仙女浴池、仙人瀑布、林海奇景、平天大峡谷、奇石清溪、桫椤群落、高山茶园、沟谷雨林、南天门、石人石马、黄三立寨遗址""等众多的自然景观和人文景观。景区内每年4～5月举行平天山杜鹃花节，6～9月举办森林浴旅游活动，9月举办平天山登山节。高山大草甸：位于大平天山顶，海拔1157米，面积3500多亩， 为广西面积最大的高山草甸，草甸早晚云雾缭绕，一年四季均绿草茵茵，景似天上人间。仙女浴池：位于仙人谷中下部，直径3米左右，深度5米左右，山泉瀑布凌空喧腾而下，似龙王爷喷珠吐玉，水质清澈甘洌，凉爽宜人。仙人瀑布：从仙人谷朝大平天方向溯溪而上，位于海拔597米的两溪交汇处。山泉水从断崖倾泻而下，凌空飞泻，形成落差30多米的瀑布。",8:00-18:00,https://img1.qunarzz.com/piao/fusion/1803/1a/0a7461316216c402.jpg_480x360x95_ed264564.jpg,5.0,,,"{'平天山国家森林公园门票成人票\n\n': ['¥9.5起'], '平天山国家森林公园门票优待票\n\n': ['¥4.9起'], '平天山国家森林公园年卡大小同价\n\n': ['¥50起']}",,1
龙华寺,http://travel.qunar.com/p-oi716002-longhuasi,,"广西桂平市西山龙华寺始建于宋朝，清康熙乾隆、同治年间曾三次重修，一九七四、八八年又两次重修，现为钢筋水泥结构。几经重修后，一九九О年重修开光。殿阁雄伟巍峨，香火甚盛，香客进香，参禅礼拜，佛殿生辉。龙华古寺，又名上寺，至今已传四十余代僧，二十世纪三十年代初为释巨赞、释觉光法师驻锡，现为广西佛教协会驻寺。古寺背靠姚翁岩飞阁，左旁灵溪，右临乳泉，下至碧云天。寺内塑四大金刚、十八罗汉，主殿为释迦牟尼佛祖像。“大雄宝殿”殿额为原国家佛教协会会长赵朴初所题...广西桂平市西山龙华寺始建于宋朝，清康熙乾隆、同治年间曾三次重修，一九七四、八八年又两次重修，现为钢筋水泥结构。几经重修后，一九九О年重修开光。殿阁雄伟巍峨，香火甚盛，香客进香，参禅礼拜，佛殿生辉。龙华古寺，又名上寺，至今已传四十余代僧，二十世纪三十年代初为释巨赞、释觉光法师驻锡，现为广西佛教协会驻寺。古寺背靠姚翁岩飞阁，左旁灵溪，右临乳泉，下至碧云天。寺内塑四大金刚、十八罗汉，主殿为释迦牟尼佛祖像。“大雄宝殿”殿额为原国家佛教协会会长赵朴初所题，殿联为释觉光法师墨宝。殿前为钟鼓楼。后为千手观音殿，“木鸟树音咸宣佛教僧宝，灵霞山色尽毗庐遮哪”，这是释觉光法师给龙华寺的赠联。古寺重光，晨钟暮鼓，佛法弘扬。登上龙华寺的文昌阁， 凭栏望远，不但可以饱览西山景色，还可以领略浔州古城的大好风光。每当夕阳西下，华灯初上，更是令人如痴如醉的良辰美景。龙华晚眺,这便是著名的西山旧八景之一。",,https://img1.qunarzz.com/travel/d5/1512/62/a8551d739b8eaff7.jpg_480x360x95_0a577596.jpg,4.0,,,,,3
达开水库,http://travel.qunar.com/p-oi714857-dakaishuiku,"

地址:
广西贵港市以北30公里的龙山盆地的奇石乡境内

",达开水库，是一幅硕大的风景画，又是一座有影无形的历史博物馆。遨游达开水库，会把人引入宽阔无比的美感世界，带进岭南各族人民为改变自己命运而不断抗争的伟烈场面。以太平天国翼王石达开名字命名的达开水库，位于广西贵港市以北30公里的龙山盆地的奇石乡境内。龙山盆地四周层峦叠嶂，险峰陡峭，古木森森，云霭重重。马来江水自西向东，直贯其间，一年四季，碧水涟涟，游鱼穿梭。达开水库，像一洼狭长的湖泊，更像一条硕大的长龙，在四面高山呵护下和袅袅岚烟簇拥中，百拐千弯地自...达开水库，是一幅硕大的风景画，又是一座有影无形的历史博物馆。遨游达开水库，会把人引入宽阔无比的美感世界，带进岭南各族人民为改变自己命运而不断抗争的伟烈场面。以太平天国翼王石达开名字命名的达开水库，位于广西贵港市以北30公里的龙山盆地的奇石乡境内。龙山盆地四周层峦叠嶂，险峰陡峭，古木森森，云霭重重。马来江水自西向东，直贯其间，一年四季，碧水涟涟，游鱼穿梭。达开水库，像一洼狭长的湖泊，更像一条硕大的长龙，在四面高山呵护下和袅袅岚烟簇拥中，百拐千弯地自西南向东北伸展，30公里的行程，一路水间浪隔，把200多座大小不一，形态奇异的岛屿分布在波澜壮阔的湖面上。泛舟漫游，极目远方，那些四面环水的岛屿和伸向湖面的半岛上，在各种林果和各类修竹的掩映下，林立着一幢幢古色古香的唐式建筑农舍，或中西结合新颖别致的楼房，在浓浓的烟霞里，变得朦朦胧胧，隐隐约约，似幻似真，似此似彼，如海市蜃楼，如太虚幻境，像神仙洞府，类天宫玉阙；还有林下劈岛种山的健男，如吴刚砍桂，似后羿张弓；湖畔洗红涤绿的情女，如出浴的贵妃，似奔月的嫦娥。此情此景，无人不感到心胸旷远空阔，好似与天地共久长。凝目眼底，又是另一番天地，船走浪翻，撞石水飞，水花如珠如玉，经阳光折射，五彩缤纷，如云如絮，如绢如练；顾盼左右，山上花团锦簇，姹紫嫣红，燕舞莺歌，水下鲤翔击波；更有奇石之乡奇石千姿百态，秀水滢滢，石在水中浮，水在石上流，水石交融妙不可言。在这山连水，水连天，天人合一的情景里，不知陶醉着多少南来北往的游客。,全天,https://img1.qunarzz.com/piao/fusion/1906/2b/f2f28e1acf4c4702.jpg_480x360x95_3d9c635f.jpg,5.0,,,免费,,3
石硖龙眼母本园,http://travel.qunar.com/p-oi705686-shixialongyanmubenyuan,"

地址:
广西贵港平南县大新镇

","石硖龙眼母本园位于广西平南县大新镇，南宁至梧州、平南至容县二级公路从旁边穿过，距平南县城30公里，占地120多亩，始建于1927年。母本园是1927年覃姓乡绅留学日本早稻田大学归来，利用学到的嫁接技术，将村民在山上的石缝中发现一株果大肉脆的龙眼树的枝条嫁接到自家的农庄果园里，石硖龙眼因此而得名，现仅存母树108棵。经中外专家考证，石硖龙眼母本园早期嫁接技术及连片开发的远见实属罕有。已注册""珍珠石硖""商标的石硖龙眼曾获国家农业博览会金奖，远销日本、欧美等国，是以母...石硖龙眼母本园位于广西平南县大新镇，南宁至梧州、平南至容县二级公路从旁边穿过，距平南县城30公里，占地120多亩，始建于1927年。母本园是1927年覃姓乡绅留学日本早稻田大学归来，利用学到的嫁接技术，将村民在山上的石缝中发现一株果大肉脆的龙眼树的枝条嫁接到自家的农庄果园里，石硖龙眼因此而得名，现仅存母树108棵。经中外专家考证，石硖龙眼母本园早期嫁接技术及连片开发的远见实属罕有。已注册""珍珠石硖""商标的石硖龙眼曾获国家农业博览会金奖，远销日本、欧美等国，是以母树园为源发树种的石硖龙眼出口基地。桂圆肉、龙眼干、荔枝干、笋干、白菜干等农特产品产销两旺。园内鸟语花香、百年老果树终年硕果累累，人工湖碧水荡漾、人欢鱼跳。母树园、湖心岛、古炮楼、烧烤场、桃花林、现代化的农产品深加工车间及桂圆肉等农副土特产品展示厅等富有吸引力，是集科普、游览、生态田园体验、餐饮休闲娱乐、购物等功能于一体的庄园。",全天,,--,,,免费,,3
九凌湖Jiuling Lake,http://travel.qunar.com/p-oi714957-jiulinghu,"

地址:
贵港市覃塘区石卡镇九凌湖南岸


电话:
0775-4859090,0775-4687399

",位于贵港市区中心东南约12公里处，距柳北公路（209国道）与贵横公路的十字交汇处3公里。湖水常年清澈无污染，冬暖夏凉。湖岸是连绵起伏的山岭，莽莽苍苍，山水相连，重峦叠翠。,全年 全天开放,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202011/69eb55cc37c91441abf036be9f43a90f.jpg_480x360x95_c85ea5f0.jpg,3.8,建议游览时间：1小时,,免费,,3
蒙公灵龟宝山,http://travel.qunar.com/p-oi39727839-menggonglingguibaoshan,,,,,0.0,,,,,3
马来河自然沙洲风景区,http://travel.qunar.com/p-oi39634081-malaiheziranshazhoufeng,,马来河自然沙洲景区是一个以露营、养生、休闲、农家乐、度假为打造方向的乡村旅游景点。,,,0.0,,,,,3
中里乡平安村平山屯特色民族旅游景区,http://travel.qunar.com/p-oi39631955-zhonglixiangpingancun,,,,,0.0,,,,,3
贵港市覃塘运水寺,http://travel.qunar.com/p-oi39627516-guigangshitantangyunshui,,,,,0.0,,,,,3
贵城大东码头渡口,http://travel.qunar.com/p-oi39627470-guichengdadongmatoudu,,,,,0.0,,,,,3
平南县江北公园,http://travel.qunar.com/p-oi39427691-pingnanxianjiangbeigong,,,,,0.0,,,,,3
五指山,http://travel.qunar.com/p-oi39418447-wuzhishan,,,,,0.0,,,,,4
田贵水库,http://travel.qunar.com/p-oi39366557-tianguishuiku,,,,,,,,,,4
官成水库,http://travel.qunar.com/p-oi39328627-guanchengshuiku,,,,,0.0,,,,,4
罗泊湾大桥,http://travel.qunar.com/p-oi39314912-luobowandaqiao,,,,,0.0,,,,,4
贵港市龙涡瀑布,http://travel.qunar.com/p-oi39167041-guigangshilongwopubu,,,,,5.0,,,,,4
万隆水上乐园,http://travel.qunar.com/p-oi38964192-wanlongshuishangleyuan,,广西规模较大的海啸造浪池，采用先进的真空造浪技术，实景模拟海啸情景，瞬间可形成3米的巨浪，让你感受乘风破浪的快感！这里有儿童欢乐天地，是小朋友们暑期度假小天堂，游泳泡水、水枪互动、跷跷板滑梯，每一样都充满欢乐。,,,0.0,,,,,4
相思洲,http://travel.qunar.com/p-oi38964179-xiangsizhou,,,,,--,,,,,4
贵港自然博物馆,http://travel.qunar.com/p-oi38964087-guigangziranbowuguan,,,,,5.0,,,,,4
平南三桥,http://travel.qunar.com/p-oi38962518-pingnansanqiao,,,,,--,,,,,4
南宁宾阳大圣山,http://travel.qunar.com/p-oi38962466-nanningbinyangdasheng,,,,,0.0,,,,,4
东南村,http://travel.qunar.com/p-oi38944548-dongnancun,,,,,--,,,,,5
铜鼓湾温泉旅游度假区,http://travel.qunar.com/p-oi38888425-tongguwanwenquanlu:you,,铜鼓湾温泉旅游度假区位于广西贵港市港南区桥圩镇长塘村，一期占地760亩，以温泉为主线，集酒店、旅游、休闲、医养、度假、娱乐康体、会议会展、主题地产开发为一体综合性温泉旅游休养度假区。,,,5.0,,,,,5
中山公园,http://travel.qunar.com/p-oi38857614-zhongshangongyuan,,,,,--,,,具体收费情况以现场公示为主,,5
草坪屯,http://travel.qunar.com/p-oi38636799-caopingtun,,,,,5.0,,,具体收费情况以现场公示为主,,5
龚州公园,http://travel.qunar.com/p-oi38340554-gongzhougongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,5
贵港滨江公园,http://travel.qunar.com/p-oi38337489-guigangbinjianggongyuan,,贵港滨江公园内有健康步道，有儿童游乐设施，是附近居民休憩娱乐的好去处。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
大水车水上乐园,http://travel.qunar.com/p-oi38337488-dashuicheshuishangleyuan,,,,,--,,,具体收费情况以现场公示为主,,5
南山风景名胜区,http://travel.qunar.com/p-oi38336034-nanshanfengjingmingsheng,,,,,0.0,,,具体收费情况以现场公示为主,,5
大安古建筑群,http://travel.qunar.com/p-oi36383887-daangujianzhuqun,"

地址:
大安镇西北

",大安古建筑群体，座落在大安镇西北，白沙、新客二江汇合处，古建筑群以大王庙(列圣宫)、粤东会馆、大安桥、大码头等古建筑物组成。是研究古代广东、广西的政治、经济、文化的重要实物资料。1989年7月20日县人民政府(平政发[89]136号)公布为县级重点文物保护单位。自治区人民政府(桂政发[94]83号)把大王庙、粤东会馆和大安桥三合一公布为自治区级重点文物保护单位。,全天,,0.0,建议游览时间：1小时 - 2小时,,,,5
下回屯Xiahuitun Village,http://travel.qunar.com/p-oi35678556-xiahuitun,,,,,--,,,具体收费情况以现场公示为主,,5
思怀乡Huaisixiang Village,http://travel.qunar.com/p-oi35678362-sihuaixiang,,,,,--,,,具体收费情况以现场公示为主,,6
思怀村,http://travel.qunar.com/p-oi35678173-sihuaicun,,,,,,,,,,6
南荫村Nanyin Village,http://travel.qunar.com/p-oi35645535-nanyincun,,,,,--,,,具体收费情况以现场公示为主,,6
贵港园博园Guigang Garden Expo Park,http://travel.qunar.com/p-oi35644273-guigangyuanboyuan,"

地址:
贵港市港北区迎宾大道

",贵港市园博园是广西城市园林园艺博览会之一。广西各地市轮流举行园博园，以此来展示全区园林园艺成果，此次园博会以“水韵古郡，活力荷城”为主题，突出展示了“荷城”贵港市的荷文化特色。园博会期间还将有其他更多的文化展示类活动。,全年 全天开放,,4.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
王大岭,http://travel.qunar.com/p-oi35559451-wangdaling,,,,,--,,,具体收费情况以现场公示为主,,6
小义梨Xiaoyili Village,http://travel.qunar.com/p-oi35388160-xiaoyili,,,,,--,,,具体收费情况以现场公示为主,,6
小耙岭,http://travel.qunar.com/p-oi35388107-xiaopaling,,,,,--,,,具体收费情况以现场公示为主,,6
弓塘岭Gongtangling Village,http://travel.qunar.com/p-oi35316880-gongtangling,,,,,--,,,具体收费情况以现场公示为主,,6
