名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
花溪夜郎谷Huaxi Yelang Valley,http://travel.qunar.com/p-oi706845-huaxiyelanggu,,花溪夜郎谷位于贵安新区花溪大学城斗篷山脚的小峡谷里，与之相对的斗篷山相传曾是夜郎王后继金竹司的住所。时至今日，山顶仍保留着古夜郎屯堡的遗址，夜郎谷也因此得名。夜郎谷内的石头建筑、陶艺、雕塑等特色建筑，神秘而又充满了浓郁的艺术气息，值得一观。,,https://img1.qunarzz.com/travel/d6/1710/91/37e0c3299ff9bfb5.jpg_480x360x95_9977ee19.jpg,4.2,建议游览时间：2小时 - 3小时,夏秋时节，白天在思丫河水中游泳、嬉戏、漂流、观品夜郎古国艺术文化；晚间留宿于青石筑就的小屋，搓玩几团陶泥，学做几件艺品，由宋培伦再刻上几句充满禅意的寄语，游人心中便也有了自己的夜郎。,具体收费情况以现场公示为主,,1
花溪公园Huaxi Park,http://travel.qunar.com/p-oi702155-huaxigongyuan,"

地址:
贵阳市花溪区花溪大道南段3108号


电话:
0851-83623593

",花溪公园位于贵阳南郊的花溪区，是贵阳历史悠久的自然景观公园。花溪公园融山水田园和民俗风情于一体，这里景色四季皆美，尤以春季群花与秋季梧桐夹道的黄金大道很迷人，而蜿蜒于花溪河上的百步桥也是一道美景。花溪公园落成于1940年，1949年正式命名为花溪公园，园内主要以真山真水和田园风光为主，有芙蓉洲、百步桥、坝上桥、黄金大道、麟山、龟山、松柏园、碧桃园、牡丹园、竹莲池、憩园等景点。公园内有花溪河贯穿，而景点多错落于花溪河两岸。花溪公园是一个山水环绕的地方，春季来此可以看到这里处处绽放着各种花卉，夏季则是非常适合避暑消夏的地方，秋季行走在铺满梧桐树叶的黄金大道上，其景可媲美童话世界。不过公园里顶美的莫过于碧绿的河水和架于水上的各种小桥，其中有意思的是盘曲在水上的一个个石蹬——百步桥。来花溪公园可以随意地散步，也可以在湖中划船，或登上小山丘远眺。公园里也有提供自行车租借服务，不过由于公园里小桥很多，骑行的话要经常将车抬上抬下，多为不便。,"全年 周一-周四,周日 12:00-16:00;全年 周五 11:00-16:00",https://img1.qunarzz.com/travel/d8/1508/fa/5f1d35910c8f90.jpg_480x360x95_7172c281.jpg,4.6,建议游览时间：1小时 - 2小时,3-10月为最佳。,"{'花溪公园门票成人票\n\n': ['¥15起'], '花溪公园电子导览服务大小同价\n\n': ['¥5起']}",,1
贵州省博物馆Guizhou Provincial Museum,http://travel.qunar.com/p-oi10018221-guizhoushengbowuguan,"

地址:
贵阳市观山湖区林城东路107号贵州省博物馆


电话:
0851-84811809,0851-84811830,0851-6822214


官网:
http://www.gzmuseum.com/

",贵州省博物馆位于贵阳国际会展中心对面，馆藏包括旧石器时代的人类化石、夜郎青铜文化代表作的战国无胡戈及戈范、铜柄铁剑及剑茎内模、贵州西部汉墓出土的漆耳杯等大批珍贵文物，是了解贵州历史文化的好去处。贵州博物馆所展示的馆藏文物主要分为史前文物标本、历史文物、民族文物三大类，基本陈列有《贵州矿产资源》、《贵州自然资源》、《太平天国时期贵州各族农民起义斗争》、《中国工农红军在贵州的革命活动》、《贵州出土文物》等。在馆内不仅可以看到贵州龙化石、海龙化石、鱼龙化石、海百合化石等史前文物标本，还可见到省内出土的铜车马、立虎辫耳大铜釜、石寨山铜鼓、杨餐墓铜鼓、铜柄铁剑、鎏金铜鍪、一字格剑、明代金冠、彩釉陶俑仪队等古代珍贵文物。而民族文物则是展示重点，除刺绣、蜡染、挑花、织锦、银饰等1000余件外，典型藏品有苗族婚姻记事符木、苗族刻绘动物图案酒角、苗族青缎镶花边饰银铃银坠女夹衣，彝族土司八挂龙袍、彝文《六祖纪略》手抄本和水族墓葬石刻“铜鼓”，颇具观赏价值。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/5bc5d387cefacb5337c6196cd3caa2c5.jpeg_480x360x95_f432d950.jpeg,4.3,建议游览时间：2小时 - 3小时,,凭有效证件领券参观。,,1
云顶草场Yunding Grass Field,http://travel.qunar.com/p-oi10006713-yundingcaochang,"

地址:
贵阳市花溪区高坡乡苗乡


电话:
0851-88171597

",位于贵阳市花溪区的高坡乡，距贵阳花溪风景区约37公里，是一个苗族为主、汉族和布依族杂居的苗族自治乡。 广袤的云顶草场，位于高坡东部，是体味草原风光的旅游佳境。在如此高地有广大的平地草原，实属罕见。缓丘广袤，无边无际，大有“风吹草低见牛羊”的塞外感觉。山高水也高，极端顶上，有“天塘”如镜，傍苗寨竹园草舍。山颠云驻，时聚时舒，缥缈犹仙。,景区暂时停业，详情请以景区公示为准，原开放时间全天开放,https://img1.qunarzz.com/piao/fusion/1906/43/eceeeedecc716f02.jpg_480x360x95_06a1ebbb.jpg,4.5,建议游览时间：12小时 - 3天,最佳的旅游时节是7月,具体收费情况以现场公示为主,,1
青岩古镇Qingyan Ancient Town,http://travel.qunar.com/p-oi701681-qingyanguzhen,"

地址:
贵阳市花溪区青岩镇


电话:
4001169666

",青岩古镇位于贵阳市南郊花溪区，与镇远、丙安、隆里并称为贵州四大古镇。古镇始建于明代，原为军事要塞，镇内完好地保存了大量明清时期的古建筑，电影《寻枪》的拍摄，使得青岩古镇为更多人所熟知。古镇建筑依山就势，城墙用巨石筑于悬崖上，有东、西、南、北四座城门，镇内建筑精湛的石雕、木雕工艺是一大看点。镇内景点大多是风格各异的古建筑，每个景点独自收费，如果第一次来，可以购买联票，将古城内景点全盘扫过。如果仅仅是在古城内悠闲度日，则可根据需要挑选几个景点分别购买。古镇南门定广门是四大城门中气势恢宏的一座，历史上，这里曾是扼守贵阳南大门的第一座门户。巨石砌成的城门楼和城墙高大威武，加上城外蜿蜒的石板路和两侧的农田，构成一副壮美的画图，很多青岩古镇的宣传照都是出自这里。沿着定广门走进古镇，先看到的是赵理伦百岁坊。牌坊是清道光帝御赐而建，稀奇的是：四根立柱上雕刻的石狮子很反常的尾上头下，与平时所见不同，颇为奇特。沿着石板铺就的古驿道前行，街道两侧几乎全都是售卖当地特产的店铺，卤猪脚、烤豆腐、玫瑰糖等特色小吃也别具风味，走累了不妨停下里买一点尝尝。从南门蜿蜒向北一直到北门的古驿道，既是古镇的中轴线，也是主街。主街以古镇中心的古文化广场为界，以北称北街，以南称南街。与主街相交的向东有东街，向西是西街。沿着东街向东，可抵达文昌阁，文昌阁位于东街143号，建于明万历年间，砖木结构，依山而建，为攒角重楼八角式。是旧时读书人常去读书、聚会、祭拜文昌帝君的地方，有兴趣也可祭拜一番。主街向西可抵达迎祥寺、慈云寺、万寿宫和天主教堂等风格各异的宗教建筑，无不各具特色，精雕细琢，是游人拍照的好地方。在南街与西街之间有一条幽静小巷，称为背街。背街是青岩古镇具特色的一条石巷，路面的青石板经过几百年的冲刷、磨砺，已光可鉴人，如镜面般泛着青黑的光芒，感觉幽深而静谧。街边都是层层片石垒起的院墙，路窄而幽静，沿山势起伏，是摄影的地点。青岩古镇街巷幽深，曲折复杂，但主街和每个重要路口都有指引牌，况且大多数小巷都可以兜回主街，所以，在古镇内穿行，无须担心迷路问题。一般来说，步行逛完古镇约2小时左右，所以也无需在镇上住宿。,全年 08:30-17:00,https://img1.qunarzz.com/travel/d2/1607/15/a3a0a5e71e40799a.jpg_480x360x95_10f7adcf.jpg,4.4,建议游览时间：2小时 - 3小时,春夏秋三季都是旅游的黄金季节。,"{'青岩古镇景区套票成人票\n\n': ['¥60起'], '青岩古镇套票成人票\n\n': ['¥20起'], '青岩古镇傲鹰空中之旅观览票大小同价\n\n': ['¥45起']}",,1
黔灵山公园Qianling Mountain Park,http://travel.qunar.com/p-oi708474-qianlingshangongyuan,"

地址:
贵阳市云岩区枣山路187号


电话:
0851-86823039

",黔灵山公园位于贵阳市区西北隅，园内可以爬山观景，也可以游湖、看洞，还可以去弘福寺礼佛，或者逛动物园。黔灵山公园有东西南北四个大门，其中南大门是公园的正门，途经的公交车很多，上山索道也是在南大门这边的，所以建议游客从南大门进入公园。进入南大门，首先看到的是七星潭，泉水从麒麟洞流向公园南门，形成七个阶梯状的水潭。顺着七星潭走几步，就是上山路了。如果不想爬山，可以坐索道直达象王岭上的瞰筑亭。爬山的话，沿着九曲径拾级而上，山上植被茂密，空气很新鲜，一路上还能看到摩崖石刻群。山不是特别高，距离地面的垂直距离大约是200米。山顶有一座始建于清代的弘福寺，据说寺里祈福很灵验，所以来拜的信徒很多。弘福寺后再爬一些山路，就到象王岭的瞰筑亭，在亭子处可以俯看贵阳群山中高楼林立的景色，是个不错的拍摄点。若特别喜欢爬山，黔灵山公园的山是由几座山头连绵而成的，还可以去白象山、关刀岩、大罗岭爬爬，而一般游客看过弘福寺、瞰筑亭就差不多可以下山了。弘福寺及下山的这段路上猕猴特别多，不少游客来黔灵山公园就是为了看这些猕猴，猴儿们是公园放养的，一点不怕人，人反而要让它们三分，有照相机的手里要拿好，有食物的要特别藏好，因为猴子会来抢。下山遇岔路，先走黔灵湖方向，黔灵湖边有小吃店，可以补充一点体力。黔灵湖是个人工水库，湖畔有一座烈士纪念碑。湖中可以划船，到了夏季，荷花盛开，景色很美。接着去动物园，动物园边上也有小吃店，有烤肉串、烤鱿鱼、烤豆腐等，味道不错，价钱都不贵。动物园动物品种不是很多，不过如果有小孩子同行的话，看到黑熊、狮子、梅花鹿、鸽子等，也已经乐得合不拢嘴了。动物园南边就是麒麟洞。在洞中可以看到一些奇石，其中有一块长得酷似麒麟。张学良、杨虎城曾先后被关押于此，这里还有张、杨二将军文物陈列室，能看到他们当年在此的卧室，与二人相关的图文介绍等。这样一圈逛下来，黔灵山公园的主要景点就玩得差不多了。若是带小孩的游客，还可以去公园南大门进门处的儿童游乐场，有碰碰车、转马、海盗船等游乐设施。,全年 07:00-18:00,https://img1.qunarzz.com/travel/d9/1610/7d/636e79474fa93ab5.jpg_480x360x95_25e3e3d3.jpg,4.6,建议游览时间：3小时 - 4小时,立秋过后，天气良好，是最佳出游时间。,"{'黔灵公园电子讲解服务成人票\n\n': ['¥9起'], '贵阳西屿湾露营地【拎包入住轻奢露营】\n\n': ['¥680起']}",,1
贵阳森林公园Guiyang Forest Park,http://travel.qunar.com/p-oi713939-guiyangsenlingongyuan,"

地址:
贵阳市南明区园林路67号


电话:
0851-85514343,0851-85535225

",贵阳森林公园地处贵阳市区东南，是离市区很近的一处大型森林旅游区，公园里各种树木枝叶茂盛，走在步道上头顶是遮天蔽日的参天大树，还可以看到许多放养的猕猴在林中嬉戏，春季时更有各种花卉竞放，生态环境良好。贵阳森林公园起初为贵州省林科院实验林场，这里林木种类众多，面积广阔，开辟为公园后曾被誉为“贵阳八景之一”。这座森里公园如今成为贵阳市民郊游远足的好去处，也是非常适合避暑和野营的地方。,全年 7:00-19:00,https://img1.qunarzz.com/travel/d7/1505/a5/e1c73f1f10e17a.jpg_480x360x95_e3b81b2c.jpg,4.4,建议游览时间：2小时 - 3小时,春、夏、秋都是最佳出游时节。,具体收费情况以现场公示为主,公园里有一些放养的猕猴，请将自己的随身物品放包里，不要去逗弄猴子，以免发生危险。,1
红枫湖Hongfeng Lake,http://travel.qunar.com/p-oi715409-hongfenghu,"

地址:
贵阳市清镇市湖滨路旁


电话:
0851-82624639,0851-82522669

",红枫湖位于贵阳西部的清镇市，是贵州省较大的人工湖，湖中分布着一百多个大小岛屿及半岛。湖畔红枫岭上枫树密布，每到深秋，11月初至12月初，枫叶一片火红，在碧水的映衬下颇为壮观。游人可乘坐游船游湖赏枫，还可登湖中小岛游览，枫叶红似火，红叶碧波，令人陶醉。红枫湖湖面辽阔，分北湖、中湖、南湖、后湖四块区域。北湖碧波万顷，水域面积较大；中湖水域狭窄而两岸山势奇峻；南湖山重水复而溶洞较多；后湖群峰环水、湾汊众多。湖中小岛星罗棋布，其中尤以北湖岛屿较多，游客可坐景区游船游湖赏景，还可登上湖中的蛇岛、龟岛观光。红枫湖畔还有苗寨、侗寨和布依寨，融汇了许多民族风情。苗寨的吊角楼、侗家的鼓楼及风雨桥、布依族的石板房错落有致，别具特色。游客可步入村寨，观赏“上刀山、下火海”等精彩的民族表演，领略到敬酒歌、拦路酒等浓郁的民族风情。,7:00-19:00,https://img1.qunarzz.com/travel/poi/201408/07/fde3a10e32e20feac8d65eac.jpg_480x360x95_6c5e2c18.jpg,3.6,建议游览时间：3小时 - 5小时,立秋过后，天气良好，是最佳出游时间，还可欣赏红枫映湖的美景。,"{'红枫湖电子导览服务大小同价\n\n': ['¥9起'], '贵州安顺平坝樱花园直升机空中飞行观光\n\n': ['¥199起']}",,1
阿哈湖国家湿地公园Ahahu National Wetland Park,http://travel.qunar.com/p-oi10094073-ahahuguojiashidigongyuan,"

地址:
贵阳市花溪区延安南路


电话:
0851-85116666

",阿哈湖国家湿地公园共包含南郊公园、小车河湿地公园、啊哈湖水库三部分，公园离市中心不远，景色幽静，是休闲漫步的好去处。公园面积广阔，有河流、沼泽、人工湿地三大湿地类型，景观资源丰富，沿着公园入口延安南路延伸段往公园内走便是长百余米的樱花大道了，继续往前走，可看到与小车河城市湿地公园相连的公园北广场，周围古树参天，花海烂漫。公园内还有一座按照侗乡风雨桥原型设计的风雨桥，古色古香，极具民族特色。听鸟谷、花谷、木兰林语等景观也极具自然特色。当然这里也不乏儿童乐园、运动中心之类的休闲娱乐设施。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1804/f9/c67c45f90ea7aab5.jpg_480x360x95_7438afeb.jpg,4.2,,,,,1
多彩贵州城极地海洋世界Colorful Guizhou City Polar Ocean World,http://travel.qunar.com/p-oi9553480-duocaiguizhouchengjidi,"

地址:
贵阳市南明区龙洞堡老里坡1号


电话:
0851-85511850

","多彩贵州城极地海洋世界是贵州省第一家以海洋生物观赏、海洋动物表演为主的大型海洋展馆。场馆由亚马逊热带雨林区、海洋珊瑚礁鱼区、鲨鱼区、极地世界区、海底隧道区、梦幻水母区、科普展示区及“美人鱼”剧场、海豚剧场等七个展区两大剧场组成。同时展示了北极熊、白鲸、海豚、企鹅等300多个品种、上万尾（只）珍稀海洋生物。观看了种类丰富的海洋生物之后，大家可千万要记得观看一场海洋萌宠们带来的精彩表演，在极地海洋世界推出的海豚狂欢表演、海狮互动表演、人鲸共舞表演中，搞怪逗趣的毛皮海狮、憨态可掬的加州海狮、聪明伶俐的海豚和呆萌可爱的白鲸将用它们的独门绝技征服你挑剔的眼光。置身长达35米的海底隧道区里，你会被蓝色所包围。在众多大型的海洋生物中你会看到善于伪装的深海巨斑，飞翔飘逸的鳐鱼，带人毒刺的牛鼻鲼，色彩鲜艳、成群结对的圆燕、体型庞大的护士鲨等等，你还可以观赏到安徒生笔下的美人鱼在巨型的海螺宫里深情的等待着她的王子而演绎的曼妙的水下舞蹈、还有国内的水下表演者带来的异域风情的水下芭蕾表演、潜水员带来的人鲨共舞表演，都将会大大震撼你的眼球，让你体验到大海的神奇与梦幻、人与自然的和谐。海底隧道区:海底隧道全长35米,储水2500多吨,穿越海底隧道,您可以欣赏到种类繁多的海洋大型鱼类,有善于伪装的深海巨斑,飞翔飘逸的鳐鱼,带人毒刺的牛鼻鲼,色彩鲜艳、成群结对的圆燕、体型庞大的护士鲨等等,你还可以观赏到巨型的海螺、安徒生笔下的美人鱼、珊瑚礁等美丽景观。多彩贵州城极地海洋世界不仅仅是提供观赏和表演那么简单，他更是贵州省和贵阳市重要的“科普教育基地 ”和“水生野生生物保护和救护中心”，在提高人们对水生生物的认识与保护方面肩负着艰巨的社会责任。在给大家带来欢乐的同时，这里还能让你了解到关于海洋生物的生活习性，从而对人类认知海洋、了解海洋、保护海洋起到了积极的推动作用。","9:00-17:30,16:00停止入园。",https://img1.qunarzz.com/travel/d0/1706/d5/b94746eb6dcc71b5.jpg_480x360x95_9b3d2f5d.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'多彩贵州城极地海洋世界门票成人票\n\n': ['¥149起'], '多彩贵州城极地海洋世界门票学生票\n\n': ['¥90起'], '多彩贵州城极地海洋世界门票老人票\n\n': ['¥90起']}",,1
