名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄姚古镇Huangyao Ancient Town,http://travel.qunar.com/p-oi711623-huangyaoguzhen,"

地址:
广西壮族自治区贺州市昭平县黄姚镇1号


电话:
0774 529 9070


官网:
http://www.huangyao.cn/

",黄姚古镇有着近千年历史，它发祥于宋朝年间，由于镇上以黄、姚两姓居多，故名“黄姚”。黄姚古镇以前不算一个知名的地方，直到《茶是故乡浓》及《酒是故乡醇》两部当年的热播剧及影片《面纱》在此取景，才让黄姚出现在聚光灯下，好在它依旧没有被过度开发。与很多江南小镇一样，黄姚也有小桥、流水、人家，有精雕细刻的檐梁壁画，有屋檐上诗文画壁的古宅民居。石板街依旧是几百年前的老样子，青砖瓦顶的屋子连成一大片，显得绵延深邃。只是相对于浙江一带的古镇，黄姚要少了一份喧嚣与浮华，多了一份宁静致远的感觉，是国内值得推荐的美丽古镇。黄姚古镇内有古戏台、宝珠观、龙爪榕、带龙桥、农趣园、吴氏宗祠等景点。古戏台位于村口，整座建筑雕梁画栋，刻有各种飞檐走兽的形象，是旧时搭建的戏台，上面还有清代举人题字的“可以兴”横匾。戏台的前方就是宝珠观，观内的石柱上雕刻着石龙，四周壁画色彩斑驳。出观门后可以看到龙爪榕，古树长在石头上，形似龙爪，令人称奇。带龙桥位于古镇的核心位置，带龙桥旁边怪石嶙峋，左边桥头下有一处酷似蛇头的石头，蛇又称小龙，可能因此才叫带龙桥吧。如果是夏天不妨去农趣园，是赏荷的好地方，园内还有复原的豆豉、豆腐、榨油古作坊。荷塘的东面就是吴氏宗祠，《茶是故乡浓》及《酒是故乡醇》的祠堂都是在在这里取的景。另外，古镇的景点还有郭家大院及兴宁庙，人文景观还有韩愈、刘宗标墨迹以及许多诗联碑刻。整个古镇如果走马观花逛一圈大约2-3小时。如果想玩得更深入，可以去东门楼外天马山的文明阁。另外，摄友、发烧友还可到镇外的“市场旅社”屋顶拍摄古镇全貌（会收取5-10元左右）。或请当地人做向导，登上附近的小山，也可俯瞰全镇。多留一点时间，在古镇里静静体会那份悠远、古朴，或与当地人坐下好好聊聊，定会有不少收获。关于用餐古镇内及古镇外有很多餐厅，水平比较平均，黄姚豆腐是当地的一大特色菜，有豆腐和豆腐酿，两种都应该尝尝。另外，黄姚豆豉很有名，黄姚是“豆鼓之乡”，这里出产的豆鼓曾是送进京城的贡品，这里几乎每家餐馆都有“豆豉宴”。关于住宿黄姚分为古镇和新街，新街多是以登高拍摄黄姚古镇全景为卖点的私家酒店，也适合对硬件要求较高的人群，古镇内则以文艺怀旧的客栈为主，是深度感受古镇风韵的住处。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d8/1612/ee/b76a43e7153c3eb5.jpg_480x360x95_71750c0c.jpg,4.3,建议游览时间：12小时 - 3天,黄姚古镇属亚热带季风气候，气候温和，全年都适宜旅游。春季（3~5月）：黄姚春季多雨，沐雨春风之下的古镇带着朦胧清新的气息，可以到带龙桥和天然桥边欣赏小桥流水。夏季（6~8月）：夏天黄姚在古树古木的遮挡下并不是很炎热，这时在黄姚大树底下享受习习凉风，浅酌清酒几杯，细数天上星星，别有情调。秋季（9~11月）：秋天正是黄姚收获的季节，黄姚人家种植的花果、辣椒、青梅都成熟了，随便走进一家客栈都可以享用到当地特色的果蔬佳肴。冬季（12~2月）：冬天的黄姚十分静谧和安逸，古屋古祠中故人的故事让这座古镇多了一份沧桑和魅力。来黄姚古镇游玩四季皆宜，不过每年的9月下旬到11月上旬这段时间最佳，此时气候宜人，当地的的柿子、山楂等均成熟，可以品尝到这些可口的水果。,"{'黄姚古镇门票成人票\n\n': ['¥65起'], '黄姚古镇门票优待票\n\n': ['¥44起'], '黄姚古镇门票亲子票(1大1小)\n\n': ['¥118起']}",1、 春季游玩古镇最好穿薄外套和带上伞，秋季古镇昼夜温差较大，注意保暖。2、 黄姚古镇地处贺州，因此当地居民多说广西白话，即“老粤语”，但是也会说普通话。3、 黄姚古镇居民很多都不喜欢拍照，拍照前最好请求她们的意见。4、 黄姚古镇居民很多热情好客，可能会赠送一些小特产，因此可以备一些水果作为交换。5、 黄姚古镇树木很多，又有小桥流水，因此注意做好防蚊措施，可以带驱蚊水前往。6、 黄姚古镇并不像普通的小镇，夜间生活丰富，可以到镇上的酒吧喝上一杯。7、 在市场口的市场旅馆是观赏黄姚古镇全景的最佳处，可花费5元登楼观赏。,1
姑婆山Gupo Mountain,http://travel.qunar.com/p-oi701730-guposhan,"

地址:
贺州市平桂区姑婆山自然保护区


电话:
0774-5236813,0774-5236888


官网:
http://www.guposhan.com/

",姑婆山景区以秀美的山势、灵透的瀑布河流和古老茂密的森林风光为主，是一处环境优美的天然氧吧。另外，这里还是多部电视剧的取景地，《茶是故乡浓》中的方家茶园，《酒是故乡醇》中的九铺香酒厂，《春蚕织梦》中的江南水乡锦绣村在这里都依稀可见。姑婆山景区面积广阔，如果要登顶，往返则需5-7小时左右。景区内的观光车十分方便，仙姑瀑布是终点，沿途各景点之间均有观光车来回，用漫步与观光车相结合的方式游览景区也十分不错。来这里的一般有三条线路可选择，其一是从景区大门口一路游玩到仙姑瀑布，经过五棵樟大草坪时可以沿着另一条路前往参观一下九铺香酒厂；其二是从山脚游玩到九铺香酒厂的时候向天堂顶稍微走一走，可以看到另一座壮观的瀑布——九天瀑布；其三则是乘坐景区观光车到仙姑瀑布，然后从这里开始登顶姑婆顶之旅。景区内大部分景点都集中在山腰及以下部分，瀑布、茶田、特色民俗建筑等精华景点在这里都可一一看遍，其中方家茶园景色清新，仙姑瀑布灵秀壮美，是最好的拍照之地；锦绣村则是优雅的风情小村庄，也可以好好逛逛；酒厂和茶园分别可以免费品尝到当地特色的酒和茶；在猴趣园还可以带小朋友观看机灵活泼的猕猴。无论是景点还是娱乐活动，姑婆山都十分丰富。如果想登顶，景区有姑婆顶和天堂顶两处高峰，目前景区内的天堂顶山路并未开发成熟，游客来此主要攀登的都是姑婆顶，一路上都有成熟的栈道，爬山单程大约需要3小时，需要一定体力。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d2/1702/5f/05c417a009e3bdb5.jpg_480x360x95_6b26ba88.jpg,4.6,建议游览时间：12小时 - 3天,,60元,,1
钟山十里画廊Zhongshanshili Gallery,http://travel.qunar.com/p-oi712252-zhongshanshilihualang,"

地址:
贺州市钟山县燕塘镇人民政府东2公里


电话:
0774-8972388

",,全年 7:00-18:30,https://img1.qunarzz.com/travel/d4/1710/59/d32273e3d68dc5b5.jpg_480x360x95_52d8f35e.jpg,4.1,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
带龙桥With Dragon Bridge,http://travel.qunar.com/p-oi7337951-dailongqiao,"

地址:
贺州市昭平县黄姚镇黄姚街（黄姚古镇正门对面）


电话:
0774-6722748,0774-5283798

","是黄姚古镇15座古桥梁中大的阶梯石拱桥。始建于明朝万历三年，清乾隆二十三年（1759年）重修。该桥长22m，宽3m，有两拱，一大一小，大拱离水面3.2m，直径约5.6m；小拱是旱拱，离地面2.55m,直径约3m。",8:00-17:30,https://img1.qunarzz.com/travel/d2/201407/11/1f84b26d91a1421ec8d65eac.jpg_480x360x95_2e78ac3d.jpg,4.5,建议游览时间：0.5小时 - 1小时,四季皆宜,包含于黄姚古镇景区门票内，通用黄姚古镇景区门票。,,1
古戏台Ancient Stage,http://travel.qunar.com/p-oi7337940-guxitai,"

地址:
贺州市昭平县黄姚古镇景区门口处


电话:
0774-6722748

",古戏台位于姚江边，宝珠观东侧。  它属单檐歇山木石砖瓦结构，整座戏台平面呈“凸”字形，是一座八柱式，带后台、厢台、边栏的亭阁式戏台。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/poi/1409/11/5a123c6e8411eee7ffffffffc8d65eac.jpg_480x360x95_873373b0.jpg,3.9,建议游览时间：0.5小时 - 1小时,四季皆宜,首道大门票收费情况请咨询景区,,1
贺州客家围屋Hakka round houses in Hezhou,http://travel.qunar.com/p-oi715971-hezhoukejiaweiwu,"

地址:
贺州市莲塘镇客家围屋景区


电话:
0774-5116008


官网:
http://www.gxhzkjww.com/

",贺州客家围屋建于清乾隆末年，距今已有二百多年的历史。围屋占地面积三十多亩，分南、北两座，相距三百米，呈崎角之势。南座三横六纵，有厅堂八个，天井十八处，厢房九十四间；北座四横六纵，有厅堂九个，天井十八处，厢房一百三十二间。整座围屋建筑为方形对称结构，四周有三米高墙与外界相隔，屋宇、厅堂、房井布局合理，形成一体，厅与廊通，廊于房接，迂回折转，错落有致，上下相通，屋檐、回廊、屏风、梁、柱雕龙画凤，富丽堂皇，是典型的客家建筑文化艺术结晶，素有江南“紫禁城”之美称。独具特色的客家饮食、感人的客家历史传奇，是一部永远读不完的百科全书，是客家文化的象征，它全面地展示了客家人的人文历史。,8:00-17:30,https://img1.qunarzz.com/p/tts9/1812/26/469a156ccae76302.jpg_480x360x95_48960248.jpg,3.4,建议游览时间：1小时,,"{'贺州客家围屋门票成人票\n\n': ['¥15起'], '贺州客家围屋门票儿童票\n\n': ['¥12起'], '贺州客家围屋门票学生票\n\n': ['¥12起']}",,1
灵峰山Lingfeng Mountain,http://travel.qunar.com/p-oi711395-lingfengshan,"

地址:
贺州市贺州广场南


电话:
0774-5273288

",灵峰山座落在广西贺州，亦称灵峰山、马峰岩，是一座石灰岩石孤山，山脚北面有一个岩洞，高约八米，宽约五米，深不可测，可容数百人。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/77a454bf5ab5a9675f2a726d45695eac.jpg_480x360x95_e17870a9.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
迎秀街Yingxiu Street,http://travel.qunar.com/p-oi7475951-yingxiujie,"

地址:
贺州昭平县黄姚古镇中心街


电话:
0774-6722748

",迎秀街有取自迎接秀才归来之意，是黄姚古镇一条很宽阔的石板街，也是古镇的中心街。,全天开放,https://img1.qunarzz.com/travel/poi/1409/17/c217980ee15e764effffffffc8d65eac.jpg_480x360x95_88ce0d39.jpg,4.2,建议游览时间：0.5小时 - 1小时,四季皆宜,包含在黄姚古镇景区门票内,,1
石跳桥Stone Jump Bridge,http://travel.qunar.com/p-oi7340801-shitiaoqiao,"

地址:
贺州市昭平县黄姚古镇内


电话:
0774-6722748

",石跳桥是黄姚古镇景点之一，整座桥长19m，由31个石墩组成，石墩由两块高矮不同长宽相同（约35㎝）的正方形面青石条组成。高石墩露出水面，较矮的石墩埋于下方，起支撑作用，而31个石墩间距按人行走步伐恰当排列，既利人行，又不影响泄洪。而且由埋在河床下的松木固定在一条直线上，上小下大，既小巧，又牢固。,具体开放时间请咨询景区,https://img1.qunarzz.com/travel/d2/1611/66/8f4ca79fce3d31b5.jpg_480x360x95_faa34844.jpg,4.3,建议游览时间：1小时,4-10月，冬季较为寒冷,包含在黄姚古镇门票内，80元,,1
十八水原生态景区18 Water Ecological Scenic Area,http://travel.qunar.com/p-oi7468401-shibashuiyuanshengtai,"

地址:
贺州市平桂区黄田镇路花村境内


电话:
0774-5283798,0774-6558966


官网:
http://www.shibashui.com/

",十八水景区是贺州市的景点之一，毗邻姑婆山景区，周边还有玉石林、黄姚古镇等景点，可以看自己的兴趣一并安排游玩。十八水景区内自然风光优美，以众多落差高、规模大的瀑布而闻名，是观赏瀑布的地带。游客来此可以漫步登山观景、在湖中戏水、品味生态美食，游玩内容十分丰富。十八水景区的面积不大，游客在景区内步行游览，2小时左右即可。景区内需要爬一座小山，不过一路都有成熟的栈道，而且山不高，所以体力要求不高，适合带老人、小孩儿前来游玩。景区内主要分为山间的瀑布区和山...十八水景区是贺州市的景点之一，毗邻姑婆山景区，周边还有玉石林、黄姚古镇等景点，可以看自己的兴趣一并安排游玩。十八水景区内自然风光优美，以众多落差高、规模大的瀑布而闻名，是观赏瀑布的地带。游客来此可以漫步登山观景、在湖中戏水、品味生态美食，游玩内容十分丰富。十八水景区的面积不大，游客在景区内步行游览，2小时左右即可。景区内需要爬一座小山，不过一路都有成熟的栈道，而且山不高，所以体力要求不高，适合带老人、小孩儿前来游玩。景区内主要分为山间的瀑布区和山下的湖区两个部分。山间的瀑布区是景区的核心景观，登山观瀑也是游客前来主要的游玩内容。景区的登山路可以说是一个环线，一路上可以看到十几处瀑布，水流湍急清澈，全都十分漂亮，其中黄绸瀑布、神龙瀑布、仙女瀑布和大佛瀑布是主要的四处，可以着重参观一下。几处瀑布的形态各不相同，有宽阔的瀑布群，也有隐藏在崖壁中的清流。大佛瀑布层层叠叠规模大，是景区内重点的景观。山下的湖区便是指景区入门后的相思湖附近，相思湖原是一座天然湖泊，如今景区在湖边建设了一些仿古建筑，修成园林景致的湖景。在湖的一侧还有一处游泳戏水区，这里可以游泳，是夏季消暑玩乐的好地方。,8:00-18:00,https://img1.qunarzz.com/travel/d6/1705/86/6de87380d9025ab5.jpg_480x360x95_219916a2.jpg,4.1,建议游览时间：2小时 - 3小时,"   适宜5月,6月,7月,8月,9月,10月前往。","{'十八水原生态景区门票成人票\n\n': ['¥50起'], '十八水原生态景区门票优待票\n\n': ['¥29起'], '贺州十八水电子导览服务大小同价\n\n': ['¥9起']}",,1
