名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
卧佛院Sleeping Buddha Courtyard,http://travel.qunar.com/p-oi10069975-wofoyuan,,卧佛院位于四川省安岳县城以北25公里八庙乡卧佛沟。该处山势蜿蜒，湖水滢绕，翠竹掩映，景色幽雅恬静。唐代在此建有规模壮观的卧佛院。现寺院虽毁，但在长约1公里的卧佛沟、两侧高约20余米的崖壁上，保留着盛唐摩崖造像1613躯，石刻经文15窟，碑刻、题记、经幢、异兽图像等数十处。其造像区长达865米，龛窟142个。,,https://img1.qunarzz.com/travel/poi/1712/85/f99be1135bf5cf37.jpg_480x360x95_03a68493.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
圆觉洞摩崖造像风景区Yuanjue Cave Cliff Sculpture Scenic Area,http://travel.qunar.com/p-oi10007397-yuanjuedongmoyazaoxiang,"

地址:
资阳市安岳县岳阳镇陈抟路西段


电话:
028-24533231

",圆觉洞位于安岳县城东南角1.5公里的云居山，因山上刻造有十二圆觉而得名。这里的石刻造像分布于南、北两岩，有龛窟编号76个，大小石刻造像1993尊，内容以佛教为主，兼有少量道教与佛教合龛造像。另外，还有碑刻题记25 处。这里的石刻造像始凿于唐开元年间，经前蜀、后蜀，至北宋达到鼎盛时期，历400余年完成。,全年 09:00-17:00,https://img1.qunarzz.com/travel/poi/1712/3d/8f5b2f59d3bcf037.jpg_480x360x95_c22b25ff.jpg,4.9,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
三岔湖马鞍山码头,http://travel.qunar.com/p-oi39555582-sanchahumaanshanmatou,,,,,0.0,,,,,1
柠都广场,http://travel.qunar.com/p-oi38599681-ningdouguangchang,,,,,,,,,,1
三岔湖风景区Sancha Lake Scenic Area,http://travel.qunar.com/p-oi705873-sanchahufengjingqu,"

地址:
成都市简阳市简三路


电话:
028-27820333

",三岔湖风景区，位于简阳市西南。三岔湖是一个人工湖泊，岛屿密布，有大小岛屿113个。在这里可以烧烤、钓鱼、坐船游览、喝茶聊天，很是悠闲。游客可以去月亮岛上，挑一个树阴底下，喝茶观景，畅谈人生，享受一次慢生活。喜欢户外活动的游客也可以在湖边垂钓，大展身手。钓到了的鱼儿可以直接在旁边做一次烧烤大餐，非常惬意。,全年 全天开放,https://img1.qunarzz.com/travel/d1/1608/b9/9b8212294c3bf6b5.jpg_480x360x95_c9475f93.jpg,4.2,建议游览时间：2小时 - 4小时,夏季最为适宜。,{'成都同道野梵七彩田园露营地\n\n': ['¥50起']},,1
陈毅故里Former Residence of Chen Yi,http://travel.qunar.com/p-oi714953-chenyiguli,"

地址:
资阳市乐至县劳动镇正沟湾


电话:
028-23336012,028-23077799

",陈毅元帅童年生活在乐至县薛苞镇（现名劳动镇）正沟湾。陈毅故居建于清朝乾隆初年，系三重堂式木结构瓦房。陈毅同志于1901年8月26日诞生于此，1980年，经县政府修葺改为陈列馆对外开放。同年10月正式对外开放，并被四川省政府列为省级重点文物保护单位。,全年 9:00-17:00,https://img1.qunarzz.com/travel/poi/1605/87/8af2654fff128af7.jpg_480x360x95_665137be.jpg,4.6,建议游览时间：1小时 - 2小时,,{'陈毅故居手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥9起']},,1
龙门报国寺,http://travel.qunar.com/p-oi704806-longmenbaoguosi,"

地址:
四川省资阳市乐至县龙门乡

",四川省乐至县龙门报国寺，始建于隋开皇二年（589），距今1400余年。报国寺位于乐至县龙门乡，距县城18公里。现存唐五代石碑二通；大小磨岩造像十余龛，造像考究，集各地造像之精粹，山水之灵气，给人以无限祥和与安宁；千年古树，壁立怪石，蔚为奇观。近年修建大雄殿、祖师殿、钟鼓楼、五观堂、佛学院、和平塔等；新增大理石精刻《金刚经》碑，及匾额、楹联多起。寺中玉佛量多体高，堪称国内之首。居士林紧靠其侧，常有数百居士。报国寺平时香客游人络绎不绝，99年春节曾创下一天3.2万...四川省乐至县龙门报国寺，始建于隋开皇二年（589），距今1400余年。报国寺位于乐至县龙门乡，距县城18公里。现存唐五代石碑二通；大小磨岩造像十余龛，造像考究，集各地造像之精粹，山水之灵气，给人以无限祥和与安宁；千年古树，壁立怪石，蔚为奇观。近年修建大雄殿、祖师殿、钟鼓楼、五观堂、佛学院、和平塔等；新增大理石精刻《金刚经》碑，及匾额、楹联多起。寺中玉佛量多体高，堪称国内之首。居士林紧靠其侧，常有数百居士。报国寺平时香客游人络绎不绝，99年春节曾创下一天3.2万人的记录,8:00-18:00,,4.5,,,2元,,1
安岳石刻Anyue Stone Carvings,http://travel.qunar.com/p-oi707580-anyueshike,"

地址:
资阳市安岳县油坪村


电话:
028-24536626

",安岳石刻，始于南北朝（公元521年前后），盛于唐、五代和宋。距今已有1300年历史。安岳县是目前中国已知的中国古代佛教造像遗址较为集中的县，目前已发现历代石窟造像200处，造像10万余尊，其中尤以唐代造像的宏伟和宋代造像的精美著称于世，在中国石刻艺术史上具有上承云冈、龙门，下启大足石刻的特殊地位。安岳石刻是中华古代石刻艺术一宝库。它多是我国石刻艺术成熟和鼎盛时期的作品，具有很高的雕刻艺术价值，造像风格除少数敦朴、粗犷的魏晋风骨外，大多是雍容华贵的唐代风格，也有一些精细华美、璎珞盖身的宋代特征。其中，也有安岳人的创作，他们凭自己独特的匠心，高超的技法和对生活的观察与理解，对宗教仪式有许多大胆的突破。,不同景区开放时间不同，详情以各景区现场公示为准。,https://img1.qunarzz.com/piao/fusion/1708/84/418b6da9aab6a002.jpg_480x360x95_827f3dae.jpg,4.3,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,1
塔坡摩崖造像,http://travel.qunar.com/p-oi40015098-tapomoyazaoxiang,,,,,,,,,,1
猫猫寺,http://travel.qunar.com/p-oi40005030-maomaosi,,猫猫寺位于简阳市，因建有供奉猫猫的寺庙而得名。,,,0.0,,,,,1
