名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
玉龙沙湖Yulong Sand Lake,http://travel.qunar.com/p-oi715736-yulongshahu,"

地址:
内蒙古赤峰市翁牛特旗乌丹镇玉龙沙湖景区


电话:
0476-6350666,0476-5626777,0476-8283007


官网:
http://www.yulongshahu.com/

",玉龙沙湖位于赤峰市翁牛特旗乌丹镇境内。1971年闻名中外的新石器时代红山文化标志物，就是在此地出土的，将中华五千年的古文明史起源又向前追溯了一千多年，景区因此得名“玉龙沙湖”。这里的沙漠、沙湖、沙松和响沙是科尔沁沙地的一部分，有“八百里瀚海”之称。景区内草原与茫茫无边的科尔沁沙地相连，沙地中有一眼清泉，泉水喷涌近1米高，每小时喷水数百吨，在沙漠中积水成湖。湖面很大，湖中有十几座沙岛，岛上有草、草中有鸟，十分独特，《后会无期》、《万物长生》等热门电影都把取景地选在了这里。每年6-10月份，这里蓝天丽日，草绿林翠。在湖北面一望无际的大沙漠边缘，平地耸立起一座奇形怪状的石山，山上的怪石和树木千姿百态，有鹌鹑石、蘑菇石、阴阳石等，个个活灵活现，惟妙惟肖。湖西南部的黄花山和西北部的大黑山，像两面巨大的屏风一样矗立着，山有上驼佛、仙人指、龙门等奇峰怪石。景区根据沙地地形特点，在不同的功能区域设置了野外露营、冲沙、沙漠滑翔伞、徒步穿行等沙地等项目。玉龙沙湖还设计了初、中、高三个等级的越野赛道，游客可以乘坐景区内专业沙漠越野车，进入沙漠腹地，在沙漠中狂野冲浪，体验前所未有的刺激，于雄伟空旷的茫茫沙海中，尽情感受特殊的快感。,全年 07:30-18:30,https://img1.qunarzz.com/travel/d3/1508/9b/8bdd42fc71446.jpg_480x360x95_9b1e123f.jpg,4.4,建议游览时间：12小时 - 3天,6月—11月，夏秋时节，气候宜人，凉爽湿润。,"{'玉龙沙湖门票成人票\n\n': ['¥75起'], '玉龙沙湖门票儿童票\n\n': ['¥40起'], '玉龙沙湖门票学生票\n\n': ['¥40起']}",,1
乌兰布统旅游区Wulan Butong Tourist Area,http://travel.qunar.com/p-oi707859-wulanbutonglu:youqu,,,,,,,,,,1
达里诺尔湖Dalai Nur Lake,http://travel.qunar.com/p-oi708376-dalinuoerhu,,,,,,,,,,1
蛤蟆坝Hamaba Slope,http://travel.qunar.com/p-oi7475834-hamaba,,,,,,,,,,1
克什克腾石阵旅游区,http://travel.qunar.com/p-oi711249-keshenketengshizhenlu:,,,,,,,,,,1
克什克腾草原,http://travel.qunar.com/p-oi722943-keshenketengcaoyuan,,,,,,,,,,1
黄岗梁国家森林公园Huanggangliang Nature Reserve,http://travel.qunar.com/p-oi715432-huanggangliangguojiasen,,,,,,,,,,1
赛罕乌拉,http://travel.qunar.com/p-oi706507-saihanwula,,,,,,,,,,1
中国克什克腾旗世界地质公园博物馆China Hexigten Global Geopark Museum,http://travel.qunar.com/p-oi715391-zhongguokeshenketengqi,,,,,,,,,,1
梵宗寺Fanzong Temple,http://travel.qunar.com/p-oi707937-fanzongsi,"

地址:
内蒙古自治区赤峰市翁牛特旗

",,全天开放,https://img1.qunarzz.com/piao/fusion/1510/bd/e8442d6fe707fd.jpg_480x360x95_f981d6e3.jpg,4.8,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
将军泡子Jiangjun Lake,http://travel.qunar.com/p-oi5942230-jiangjunpaozi,,,,,,,,,,2
乌兰布统古战场wu lan bu tong gu zhan chang,http://travel.qunar.com/p-oi711007-wulanbutongguzhanchang,,,,,,,,,,2
白音敖包景区Baiyin Aobao Scenic Area,http://travel.qunar.com/p-oi709926-baiyinaobaojingqu,,,,,,,,,,2
大青山第四纪冰川遗迹公园Daqingshan Quaternary Period Glacial Relic Park,http://travel.qunar.com/p-oi716329-daqingshandisijibingchuan,,,,,,,,,,2
红山公园Hongshan Park,http://travel.qunar.com/p-oi707714-hongshangongyuan,"

地址:
赤峰市红山区北环路5号


电话:
0476-8224483

",位于红山区城北的红山是赤峰市的自然景观，以该山命名的红山公园是市区面积较大的公园，园内主要景点有月牙湖、荷花池、五盘湖等。公园东北的红山脚下，是微波荡漾的月牙湖，它因形似一弯月牙而得名。湖的东西侧分别建有赏月桥和姊妹桥，站在桥上，看碧波荡漾，是一件十分惬意的事。湖上配有各种水上游乐设施。公园东部在两桥中间，是景点“园艺小屋”和赏荷桥。五盘湖有一处湖心小岛，湖畔垂柳依依，东西两侧分别有九曲桥和圆拱桥与湖岸相接。除此之外，公园的配套设施也相对完善，不但设有许多游船及水上快艇，餐饮服务也比较到位。在五盘湖东岸的敕勒园是一处颇具蒙古特色的餐厅，你可以在蒙古包中品尝具有特色的民族食品。,全年 5:30-21:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/ef71d4d83766e226255479820aa82180.jpg_480x360x95_38a55957.jpg,4.2,建议游览时间：1小时 - 2小时,全年，四季景色各有特色。,具体收费情况以现场公示为主,,2
曼陀山庄Mantuo Mountain Villa,http://travel.qunar.com/p-oi705895-mantuoshanzhuang,,,,,,,,,,2
元应昌路遗址Yingchang,http://travel.qunar.com/p-oi710161-yuanyingchangluyizhi,"

地址:
内蒙古赤峰市克什克腾旗达日罕乌拉苏木境内达来诺尔湖西畔

",元应昌路遗址原是鲁王城。也是当年鲁王的府第。因在当时经过战火硝烟的洗礼，现在也只剩断壁残垣、颓砖废瓦。,9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ccee31a3f3fffba32567383c6d34f3a6.jpg_480x360x95_a06bdb59.jpg,4.3,建议游览时间：2小时,,50元,,2
贡格尔草原Gonggeer Grassland,http://travel.qunar.com/p-oi7475120-gonggeercaoyuan,,,,,,,,,,2
勃隆克沙漠旅游区Bolongke Grassland Desert Tourist Area,http://travel.qunar.com/p-oi709853-bolongkeshamolu:youqu,"

地址:
赤峰市翁牛特旗朝格温都苏木布日敦嘎查境内

",勃隆克沙漠旅游区位于翁牛特旗以北，是观赏自然奇景和体验蒙古族风情的好去处。这里有金色的沙山、碧绿的湖水、如茵的草原、奇异的怪石。种种看似奇异的组合就这样完美地融在一处，让人如在梦中一般。这里以白色沙海为主基调，背倚千姿百态、惟妙惟肖的怪石山峰，面临万顷湖泊和碧绿的草原。山上古树临风、松涛阵阵；山下牛羊成群，野马奔腾；玉湖碧波荡漾，锦鳞游泳，百鸟翔集。蓝天、绿草、白沙、碧水、苍松翠柏、奇岩异石，勾勒出一幅绝好的塞外自然风光画卷，加之古朴的牧区生活习俗，浓郁的蒙古族风情。旅游区内还特别设有观赏区、娱乐区、生态建设示范区等，主要项目包括赛马、射箭、滑翔、滑沙、快艇、皮划艇、游泳、垂钓、水上游戏、沙漠驼队探险等，游乐之余，你还可以到民族餐厅品尝内蒙古风味菜肴。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1712/5b/19c89a0cbc0f0d37.jpg_480x360x95_95c0d17c.jpg,3.8,建议游览时间：3天,,具体收费情况以现场公示为主,,2
灯笼河草原Lantern River Grassland,http://travel.qunar.com/p-oi711923-denglonghecaoyuan,"

地址:
赤峰市巴林左旗经山线

",灯笼河草原位于赤峰市西北部，方圆143平方公里。每到夏季，这里芳草萋萋、鲜花盛开、蜂飞蝶舞、青山妩媚，景色十分秀丽。在这里，你会觉得天格外蓝，草格外绿，花鲜水美，空气清新。草原上的赛罕庙已有300多年历史，据传为康熙北征时所建，由一块巨石雕刻而成，它古朴黄雅，精巧别致，里面供奉了一个“塞北灵验佛”。,全天开放,https://img1.qunarzz.com/travel/poi/1409/09/614f948cb439ded9ffffffffc8d65eac.jpg_480x360x95_e41307cd.jpg,3.7,建议游览时间：3小时 - 4小时,夏季最佳。每到夏季，这里芳草萋萋、鲜花盛开、蜂飞蝶舞、青山妩媚，景色十分秀丽。,具体收费情况以现场公示为主,,2
