名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
龙头水库,http://travel.qunar.com/p-oi38944351-longtoushuiku,,,,,--,,,,,1
养鹿官山园,http://travel.qunar.com/p-oi38920928-yangluguanshanyuan,,,,,--,,,,,1
榆林村五组,http://travel.qunar.com/p-oi38910310-yulincunwuzu,,,,,0.0,,,,,1
辽源龙首山,http://travel.qunar.com/p-oi38674632-liaoyuanlongshoushan,,,,,4.5,,,具体收费情况以现场公示为主,,1
鴜鹭湖国家湿地公园,http://travel.qunar.com/p-oi38340496-ziluhuguojiashidigong,,,,,0.0,,,,,1
南照山公园,http://travel.qunar.com/p-oi38336063-nanzhaoshangongyuan,,,,,--,,,具体收费情况以现场公示为主,,1
马蹄背岭,http://travel.qunar.com/p-oi36393523-matibeiling,,,,,--,,,具体收费情况以现场公示为主,,1
东辽县建安林场,http://travel.qunar.com/p-oi35473888-dongliaoxianjiananlin,,,,,--,,,具体收费情况以现场公示为主,,1
连泉山森林公园Lianquan Mountain Forest Park,http://travel.qunar.com/p-oi35122434-lianquanshansenlingong,,连泉山森林公园是一个以森林为主题的公园。所以东辽县林业资源比较丰富。同时也是一个集生态景观、休闲场所、文化旅游的主题公园。,,,4.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
东北沦陷时期辽源矿工墓陈列馆Dongbei Lunxian Shiqi Liaoyuan Kuanggong Mu Exhibition Hall,http://travel.qunar.com/p-oi34273073-dongbeilunxianshiqiliao,"

地址:
吉林省辽源西安区安家街安仁路36号


电话:
0437-3184246

",,08:30-11：3012:00-16：00 周一闭馆,,0.0,,,免费,,1
小四平博物馆Xiaosiping Museum,http://travel.qunar.com/p-oi34272671-xiaosipingbowuguan,"

地址:
小四平镇四平村

",,08:30—11:00 13:30—16:00 周六、周日休息,,--,,,免费,,2
东丰县博物馆Dongfengxian Museum,http://travel.qunar.com/p-oi34271665-dongfengxianbowuguan,"

地址:
吉林省辽源市东丰县西城区

",,周二至周六 09:00-11:0014:00-15:30 场馆修建暂时关闭,,--,,,免费,,2
东丰县农民画博物馆Dongfengxian Nongminhua Museum,http://travel.qunar.com/p-oi34271556-dongfengxiannongminhua,,,,,,,,,,2
太子公园Taizi Park,http://travel.qunar.com/p-oi23341428-taizigongyuan,,,,,--,,,具体收费情况以现场公示为主,,2
福寿宫Fushougong （South Gate）,http://travel.qunar.com/p-oi23341427-fushougong,,,,,,,,,,2
人民广场People's Square,http://travel.qunar.com/p-oi23341426-renminguangchang,,,,,--,,,具体收费情况以现场公示为主,,2
魁星楼Kuixinglou,http://travel.qunar.com/p-oi23341425-kuixinglou,"

地址:
吉林省辽源龙山区龙山公园内


电话:
3313575

",魁星楼是塔楼式建筑，一共有九层。整体大气恢弘、雄伟壮观。是集宗教历史文化、建筑艺术和旅游观光为一体的标志性建筑。,全年 07:30-16:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/3bac1c8b1d7276fc124bb6c0045fef83.jpg_480x360x95_827094e4.jpg,4.3,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
