名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
九一八事变策划地纪念馆918th Shibian Cehuadi Memorial Hall,http://travel.qunar.com/p-oi20978191-jiuyibashibiancehuadi,,九一八事变策划地纪念馆是了解九一八事变发生与策划过程的展馆，是时刻提醒人们勿忘国耻，振兴中华！值得一览！,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cbd53e666b0e90783842617f0bbc6988.jpg_480x360x95_474bca21.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
核伙沟Hehuogoucun,http://travel.qunar.com/p-oi713797-hehuogou,"

地址:
辽阳市辽阳县寒岭镇境内


电话:
0419-6110001

",核伙沟自然风景区核伙沟位于辽阳县寒岭镇境内，与本溪毗邻。区内有着丰富的动植物资源且无丝毫人为雕琢痕迹，有着丰富的动植物资源和自然景观，梦笔峰、双狮像、清泉、断桥、瀑布、迎客松、姐妹松、鸽子洞等自然美景无一不奇、无一不美，一年四季风光各异，置身其间，让人感受一种原始与古朴的风貌，仿佛是人在画中游。核伙沟风景区总面积7.97平方公里，有火龙沟、西大沟、花溪沟三个景区，山势险峻，峰陡坡急。景区内动植物资源丰富，山色风光优美。每年都有许多画家和美术爱好者在这里写生作画，有“十里画廊”的美誉。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1510/3f/1960d30d0b0221f7.jpg_480x360x95_f7945104.jpg,3.9,建议游览时间：4小时 - 5小时,,10元,,1
广佑寺Guangyou Temple,http://travel.qunar.com/p-oi3762376-guangyousi,"

地址:
辽阳市白塔区中华大街60号


电话:
0419-2890666

",广佑寺始建于汉代，是佛教传入中国后较早出现的寺院之一，鼎盛于明清。广佑寺景区内的中华广场上耸立着一个巨大的青石牌坊，五门六柱，气派非凡。寺内的供奉的释迦牟尼佛像是目前世界有名的木质鎏金坐像。广佑寺气势恢宏，雄伟壮观。山门前的青石牌坊宽34米，高16米，五门六柱，形体高大，雕刻精细，是中国石牌坊中的杰作。山门两侧各有一铜塑，左为车马出行，取材于两汉时期墓葬壁画的车马出行图，作品以辽东官员乘舆疾行的生动场面，形象地展示了古襄平独领东北一隅的汉魏之风。右为驾鹤升仙，取材于民间传说。,全年 08:00-17:00,https://img1.qunarzz.com/travel/poi/1408/26/e58c4f362541baa3ffffffffc8d65eac.jpg_480x360x95_4f080236.jpg,4.6,建议游览时间：1小时 - 2小时,,{'广佑寺电子讲解服务大小同价\n\n': ['¥9起']},,1
白塔公园Baita Park,http://travel.qunar.com/p-oi707842-baitagongyuan,,,,,,,,,,1
东京陵Dongjing Ling,http://travel.qunar.com/p-oi712375-dongjingling,"

地址:
辽阳市文圣区东京陵乡东京陵村

",东京陵位于辽阳市太子河区东京陵乡东京陵村，为省级文物保护单位。东京陵曾在清朝先祖建业辽沈期间一度为王室的祖陵，在清朝政权发展史上具有十分重要的意义。清太祖努尔哈赤迁都辽阳后，于后金天命九年（1624年）将其祖父、弟、子等十余人的陵墓由赫图阿拉迁至东京城东北4华里的阳鲁山上，成为后金祖陵，故称“东京陵”。清顺治十一年（1654年），努尔哈赤祖父辈的陵墓迁回故土赫图阿拉城的清永陵。东京陵现存努尔哈赤胞弟舒尔哈齐、长子褚英、庶母弟穆尔哈齐及其子达尔差等人的四座陵园。陵园内有缭墙、山门、碑亭等建筑。碑亭保存完好，建于舒尔哈齐墓前，是四券单檐歇山式建筑，内有彩绘藻井，亭中立有大理石《庄达尔汉把兔鲁亲王碑》，用汉、满两种文字刊刻，字迹清晰，雕刻精美。,暂时停业，具体营业时间详见景区公示。原开放时间为：8:00-18:00。,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/d3fd1d756772255760e216b78aca9b19.jpg_480x360x95_9afe0879.jpg,4.5,建议游览时间：1小时,,暂时停业，具体营业时间详见景区公示。原门市价10元。,,1
冷热地公园Cold and Hot Land Park (East Gate),http://travel.qunar.com/p-oi708753-lengredigongyuan,"

地址:
辽阳市弓长岭区华表路姑嫂城村


电话:
0419-5607797

",公园位于辽阳市弓长岭区安平乡姑嫂城村，地处白砬子山脚下，这里寒冬野草抽芽发绿，盛夏寒气袭人、滴水结冰。这一奇特地段东西长约500米、上下宽约20米，山体都是白色的风化石。盛夏酷暑，人们站在上面，顿觉凉气上涌，呆10多分钟后就凉得受不了，像在冰窖里一样；而到寒冷的冬天，这里又变得温暖异常，地上从不积雪，洞穴石缝中往外透出微微的热气，小草鹅黄嫩绿。,全年 7:00-18:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/35057b21-9283-4ff5-a926-d260bcffe6ec.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
龙峰山Liaoyang Longfengshan Scenic Area,http://travel.qunar.com/p-oi722459-longfengshan,"

地址:
辽阳市辽阳县下达河乡境内


电话:
0419-6100958

",龙峰山位于辽阳市辽阳县下达河乡境内，距辽阳市区约35公里，在千山风景区和汤河水库风景区之间，为国家3A级旅游景区。山上有龙峰寺。龙峰山又名金刚山，峰峦叠嶂，奇特险峻，山下九龙河碧水环绕，蜿蜒曲折。山上的自然景观有龙头峰、大金刚峰、二金刚峰、金蟾迎旭、犀龟望月、卧狮峰、人头峰、白云洞、一线天、迎客松、九龙河、龙潭垂柳、老君塘、老君柜石等，统称为金刚山28景。新近又开发了山下水上游乐项目，并新修了道路和停车场。,8:00-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562441024659100j16000000ywvvm4655_D_640_10000.jpg_480x360x95_80d2f3e5.jpg,4.5,建议游览时间：3小时 - 4小时,,{'龙峰山门票成人票\n\n': ['¥18起']},,1
辽阳博物馆Liaoyang Museum,http://travel.qunar.com/p-oi706431-liaoyangbowuguan,"

地址:
辽阳市文圣区中心路2号


电话:
0419-3716823,0419-3716888

",辽阳市博物馆位于辽阳市文圣区中路2号，博物馆于1985年10月1日正式对外开放。用31间房屋、面积450平方米，布置5个展室。作为辽阳简史基本陈列。从馆藏文物4000余件中选出300余件充实陈列内容。从新石器时代至明清时 期的精品，以出土文物为主，也有传世文物。突出了更新世梅氏犀牛化石、春秋战国青铜器、西汉村落出土文物、古墓壁画。,11/1-3/31 周二-周日 09:00-16:30;4/1-10/31 周二-周日 09:00-17:00;全年 周一 全天不开放,https://img1.qunarzz.com/piao/fusion/1905/75/34382e2449ee3102.jpg_480x360x95_ce52812a.jpg,4.7,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
曹雪芹纪念馆Cao Xueqin Memorial Hall (South Gate),http://travel.qunar.com/p-oi708079-caoxueqinjinianguan,"

地址:
辽阳市文圣区武圣路武圣路卧狮胡同2号


电话:
0419-3610879

",曹雪芹纪念馆位于辽阳市卧狮胡同2号，是在清代建筑吴公馆的基础上建立的，为市级文物保护单位。曹雪芹纪念馆为二进四合院，有硬山瓦房21间，院内有曹雪芹塑像。纪念馆内各展室收藏和展出曹家相关的历史档案、曹雪芹祖父曹寅诗作、曹氏家谱、清宫档案等一系列文献资料。此外，还陈列有多版本的《红楼梦》以及以《红楼梦》为内容的全国名家书画等。整个陈列馆为清代建筑，每个展室皆有楹联，前门有出名红学专家冯其庸题写的“曹雪芹纪念馆”金字牌匾。,全年 周二-周日 9:00-15:30,https://img1.qunarzz.com/piao/fusion/1601/ac/d2675ddfd6e271f7.jpg_480x360x95_71ed3d94.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
瓦子沟,http://travel.qunar.com/p-oi711306-wazigou,"

地址:
辽宁省辽阳弓长岭区瓦子沟旅游风景区

",瓦子沟农家风情旅游区创建于2001年5月，由辽阳市人民政府计划经济委员会批准建立。旅游区地处弓长岭区西南，汤河水库中游，距市区30公里，占地面积10平方公里。瓦子沟农家风情旅游区由果园观赏采摘区、农家小院食宿区、水库观光垂钩区和民俗风情园区四个部分组成；有鹰咀砬、玄武洞、城墙砬、水库等自然景观和天池、蓄水池、拦河坝、休闲广场、果园、农家院等人文景观供游人游览。,全天,,--,,,15元,,1
清风寺Qingfengsi,http://travel.qunar.com/p-oi709953-qingfengsi,"

地址:
辽阳市辽阳县首山乡马伊屯村

",清风寺历史上曾有“辽南第一寺”的美称。清风寺有山门、正殿、后殿、配殿、僧房共22间。山门墙壁上嵌有清咸丰七年立的石碑。正殿仍保留明代歇山式作法，是省内现存明代殿宇建筑的典型代表。正殿后有白松一株，为国内罕见。经过重修，保持基本完好，为我市重点古建筑之一。建筑面积3418平方米，原有殿房34间，三层殿，山门、正殿、配殿、僧房、钟鼓楼、碑匾、塔院俱全。其中正殿仍保存明代歇山式建筑结构，1988年被列为省级文物保护单位。,全年 8:00-18:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/102f821b719ec02b1c0843528ae2d064.jpg_480x360x95_2b8837eb.jpg,4.9,建议游览时间：1小时,,5元,,2
参窝水库Canwo Reservoir,http://travel.qunar.com/p-oi703297-canwoshuiku,"

地址:
弓长岭区安平乡南沙村东


电话:
+86 419 313 9999

",参窝水库位于辽阳市弓长岭区安平乡街道南沙村，地处辽阳县、灯塔县和弓长岭区交界处的太子河干流上，是辽宁省大型水库之一。参窝水库建成于1973年，距辽阳市区40公里。参窝水库大坝宏伟壮观，水面浩渺无际，自然景观优美，四季景观各异。参窝水库风景区内设有山门区、服务区、登山区、望海泉寺、综合游乐区、太子河游览区、一担山景区等。,8：00—18：00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/de0bb2f4-96ad-48e9-8d96-1053e7ed8f0b.jpg,4.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
