名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
运城盐湖Xiechi Lake,http://travel.qunar.com/p-oi714043-yunchengyanhu,"

地址:
运城市盐湖区城南（距离池神庙3公里处）


电话:
0359-8966737,0359-8968888


官网:
http://www.chinadeadsea.com/

",中国死海（运城盐湖）景区，地处山西晋南盆地。运城盐湖南依苍翠高峻的中条山，西接黄河古渡，湖光山色，景色奇特。与美国犹它州大盐湖，俄罗斯西伯利亚库楚克盐湖并称为世界三大硫酸钠型内陆盐湖。运城盐湖的盐税曾占全国财政收入的八分之一，在我国盐业史上，运城盐湖占有重要一页。运城盐湖有三绝，这也是游客来到景区一定要体验的项目。黑泥养生，盐湖黑泥经数万年沉淀而成，含有丰富的矿物质和微量元素，将黑泥裹满全身，做一次黑泥养生后，会明显感觉到皮肤不仅变白、变嫩而且富有弹性，更加光滑。死海漂浮，由于盐湖的盐分含量很多，湖水的密度很大，人在湖水中能够自然的漂浮起来，而且盐水中含有人体必需的常量元素和微量元素，将会由皮肤毛孔直接吸收进入体内进行调节。此外，来到盐湖的游客还可以泡泡这里的温泉。这里的温泉水来自盐湖深层，泉口常年出水温度68℃，由于水中含有较高的铁份和盐份，泉色似铁锈红，具有较高价值的优质热矿水资源。,12/7-3/31 10:30-21:30;4/1-12/6 11:00-20:30,https://img1.qunarzz.com/travel/d9/1611/39/04cc80a29b6476b5.jpg_480x360x95_23af1fc4.jpg,4.4,建议游览时间：3小时 - 5小时,,228元,,1
黄河大梯子崖Big Ladder Cliff of the Yellow River,http://travel.qunar.com/p-oi34256316-huanghedatiziya,,,,,,,,,,1
普救寺Pujiu Temple,http://travel.qunar.com/p-oi703441-pujiusi,"

地址:
永济市蒲州镇西厢村的塬上


电话:
0359 803 2323

",普救寺即是我国历史名剧《西厢记》故事的发生地。普救寺的建筑富丽堂皇，“红墙匝绕，古塔高耸，绿树丛中，殿宇隐现”，建筑由寺院和园林两部分组成，大致分布在三条轴线上。西轴线上的建筑有大钟楼、塔院回廊、莺莺塔、大雄宝殿，后为花园；中轴线上有天王殿、菩萨洞、弥陀殿、罗汉堂、十王堂、藏经阁；东轴线上有前门、僧舍、枯木堂、斋堂、香积厨等。相传花园为唐代崔相国所建的佛居，《西厢记》中老夫人和莺莺所居之处。而莺莺塔后有经籍阁，东西两侧建有厢房，所谓的“西厢书斋”...普救寺即是我国历史名剧《西厢记》故事的发生地。普救寺的建筑富丽堂皇，“红墙匝绕，古塔高耸，绿树丛中，殿宇隐现”，建筑由寺院和园林两部分组成，大致分布在三条轴线上。西轴线上的建筑有大钟楼、塔院回廊、莺莺塔、大雄宝殿，后为花园；中轴线上有天王殿、菩萨洞、弥陀殿、罗汉堂、十王堂、藏经阁；东轴线上有前门、僧舍、枯木堂、斋堂、香积厨等。相传花园为唐代崔相国所建的佛居，《西厢记》中老夫人和莺莺所居之处。而莺莺塔后有经籍阁，东西两侧建有厢房，所谓的“西厢书斋”，就是传说中当年张生游蒲东时来到普救寺借宿的所在。从西厢书院穿过，是崔居别院。崔居别院的后面是花园，这里是崔莺莺与张生“幽会”的地方。花园内假山高耸，湖水荡漾，小桥飞梁，厅榭玉立，到处红花绿树，使有人不舍离去。屹立在寺中的莺莺塔，原名舍利塔，不仅形制古朴、蔚为壮观，而且以奇特的结构，同北京天坛的回音壁、河南宝轮寺塔、四川潼南县大佛寺内的“石琴”，并称为我国现存的四大回音建筑；和掸邦的摇头塔、匈牙利索尔诺克的音乐塔、摩洛哥马拉克斯的香塔、法国巴黎的钟塔、意大利的比萨斜塔，并称为世界六大奇塔。游人在塔侧以石扣击，塔上会发出清脆悦耳的“咯哇~咯哇~”的动物叫声，令游人连连称奇。据地方志中称“普救蟾声”为古时永济八景之一。由于《西厢记》的问世，使得这个“普天下佛寺无过”的普救寺名声大噪，寺内的舍利塔也被更名为“莺莺塔”而闻名遐迩。美丽动人的爱情故事，千百年来一直撼动着人们的心灵，使它成为文明中外的游览之地。,4月1日-10月31日8:00-18:00；11月1日-次年3月31日9:00-17:00。疫情期间开放时间：8:30-17:00。,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/883b7cff-3184-48bf-8340-5ecb80ebf417.jpg,4.5,建议游览时间：2小时 - 3小时,四季皆宜。,"{'普救寺门票成人票\n\n': ['¥50起'], '普救寺门票优待票\n\n': ['¥25起'], '普救寺导览服务成人票\n\n': ['¥1.5起']}",,1
鹳雀楼Guanque Tower,http://travel.qunar.com/p-oi715522-guanquelou,"

地址:
运城市永济市蒲州古城西向的黄河东岸


电话:
0359-8485390


官网:
http://www.sxgql.com/

",又名鹳鹊楼，位于运城永济市蒲州古城西面的黄河东岸，与武昌黄鹤楼、洞庭湖畔岳阳楼、南昌滕王阁一起被誉为我国古代四大名楼。该楼始建于北周（公元557年~580年），废毁于元初，1997年重建。唐宋之际文人学士登楼赏景留下许多不朽诗篇，其中王之涣的《登鹳雀楼》堪称千古绝唱。鹳雀楼外观四层，内分六层，楼内文化陈设表现了五千年黄河文化的底蕴。一层主题千古绝唱和大唐蒲州盛景，二层悠远流长（华夏根祖文化），三层亘古文明，四层黄土风韵，五层旷世盛荣，六层极目千里，从而使繁华盛唐的氛围和华夏文明在这里得到充分的展示。,04/01-10/31 08:30-18:00;11/1-3/31 09:00-17:00,https://img1.qunarzz.com/travel/d5/1512/fe/f100e5cfd93cb3f7.jpg_480x360x95_aa213aaa.jpg,4.5,建议游览时间：1小时,四季皆宜,"{' 鹳雀楼门票成人票\n\n': ['¥40起'], '鹳雀楼门票优待票\n\n': ['¥22.5起'], '鹳雀楼电子讲解票大小同价\n\n': ['¥0.5起']}",,1
解州关帝庙Haizhou Guandi Temple,http://travel.qunar.com/p-oi703253-jiezhouguandimiao,"

地址:
山西省运城市盐湖区五一路145号


电话:
0359-2808369,0359-2805252


官网:
http://www.guandimiao.com.cn

",该景点位于运城市解州镇西关，距离运城市区约20余公里。因为解州附近的常平村是三国蜀将关羽的故乡，所以这座庙宇也被称为“武庙之祖”。该景点始建于隋代，现存的建筑基本都是清代重建的。整个庙宇分为正庙和结义园两部分。进入景区后，先是来到结义园。园中有结义坊、君子亭等主体建筑，园中种植了不少古柏，还有小桥流水、亭台楼阁，是个休闲的好地方。正庙是该庙的主体部分，采用了传统的中轴对称、宫殿式建筑格局，游客在游玩时，沿着中轴线向前游览即可。在这条中轴线上排列着端门、午门、御书楼、崇宁殿、春秋楼等主要建筑，两旁还有木坊、石坊、碑亭、钟亭和东西长廊。进入正庙后，你首先看到的是端门，其次正南门修建于明嘉靖年间（1522-1566年）。当你来到崇宁殿，这里是全庙的主殿，26根盘龙石柱树立在殿前。走进大殿后，迎面而来的是关公的塑像，神情肃穆，一身帝王打扮。在大殿檐下悬挂着乾隆皇帝钦定的“神勇”巨匾；门楣上还有咸丰皇帝御书“万世人极”匾；殿内关帝神龛上悬康熙皇帝御笔“义炳乾坤”帖金匾。中轴线的后端是“春秋楼”，因为关公“夜读春秋”而得名。一楼神龛内供奉关公戎装像，二楼神龛内供奉关公夜读《春秋》真身像，楼内四周的“悬梁吊柱”的结构，是古代建筑艺术的珍品，如果你是“古建迷”，可以多关注下。每年国庆前后，运城市还会举办大型的“关公文化节”，届时这里会有仿古祭祀表演和民间祭拜活动，有兴趣的游客可以此时前往游览。,4月1日-10月31日8:00-18:00；11月1日-次年3月31日9:00-17:00。,https://img1.qunarzz.com/travel/d1/1801/76/637a49043da3d0b5.jpg_480x360x95_a3fec181.jpg,4.7,建议游览时间：1小时 - 2小时,四季皆宜,"{'解州关帝庙门票成人票\n\n': ['¥50起'], '解州关帝庙手机电子导游  票大小同价\n\n': ['¥0.1起']}",,1
永乐宫Yongle Palace,http://travel.qunar.com/p-oi709110-yonglegong,"

地址:
运城市芮城县以北约2公里古魏镇上


电话:
0359-3011491,0359-3011521

",永乐宫，始建于公元1247年，是为了纪念八仙之一的吕洞宾而建，共用了110多年才修建完工，是现存大的元代道观。永乐宫原建在芮城县城以西的永乐镇，建国初期由于水库工程而搬迁到现在的位置。永乐宫游玩起来非常方便，当你进入大门后，沿着中轴线由南至北向前步行游玩即可。在永乐宫的中轴线上排列着山门、龙虎殿（无极门）、三清殿（无极殿）、纯阳殿、重阳殿。除山门为清代建筑外，其余四座均为元代原物。当你站在永乐宫中时，会发现这里的建筑充满了元代风格，粗大的斗拱层层叠叠地...永乐宫，始建于公元1247年，是为了纪念八仙之一的吕洞宾而建，共用了110多年才修建完工，是现存大的元代道观。永乐宫原建在芮城县城以西的永乐镇，建国初期由于水库工程而搬迁到现在的位置。永乐宫游玩起来非常方便，当你进入大门后，沿着中轴线由南至北向前步行游玩即可。在永乐宫的中轴线上排列着山门、龙虎殿（无极门）、三清殿（无极殿）、纯阳殿、重阳殿。除山门为清代建筑外，其余四座均为元代原物。当你站在永乐宫中时，会发现这里的建筑充满了元代风格，粗大的斗拱层层叠叠地交错着，四周的雕饰不多，比起常见的明清两代的建筑，显得更加的简洁明朗。除了风格特别的元代建筑，永乐宫的四座大殿内的壁画更是精美绝伦，其中的代表作就是三清殿中的《朝元图》，它是中原地区现存画技高、画面大，保存为完整的古代绘画精品。当你来到三清殿，展现在你面前的，是四周布满的壁画，壁画内容是各路神仙朝谒元始天尊的盛况，。壁画中一共画出了290位神仙，八位主神尽然高达3米，低的玉女也在2米左右，构图宏伟，气势磅礴。当你观赏这幅壁画时，一定要多注意其中的人像。对画中人物的刻画，是壁画成功的部分。290位神仙，姿态各异，各有特征，表情生动，衣冠服饰等没有一个是相同的。当年的画家画的是神仙，实际上塑造了人间世界形形色色的形象。除了代表作之外，你还能在纯阳殿欣赏到《纯阳帝君神游显化图》，壁画通过连环画形式，形成了吕洞宾的一部传记画册。而在重阳殿，你能看到壁画中形象的描绘出传奇人物王重阳一生的传奇故事。在永乐宫游玩时，经常会碰到不少美院的学生来这里临摹古代壁画。,4/1-10/31 周二-周日 08:00-18:00;11/1-3/31 周二-周日 09:00-17:00;全年 周一 全天不开放,https://img1.qunarzz.com/travel/d6/1801/53/907761ec51ad25b5.jpg_480x360x95_d3d8bc2a.jpg,4.7,建议游览时间：1小时 - 2小时,,"{'永乐宫门票成人票\n\n': ['¥50起'], '永乐宫门票优待票\n\n': ['¥25起'], '永乐宫导览服务成人票\n\n': ['¥9起']}",,1
蒲津渡遗址Pujindu Site,http://travel.qunar.com/p-oi711453-pujinduyizhi,"

地址:
运城市永济市蒲州镇西厢村


电话:
0359-8485160

",蒲津渡遗址位于山西省永济市区西18公里的蒲州故城西门外，黄河东岸侧，东与《西厢记》故事发生地普救寺相依，西与全国四大名楼之首的鹳雀楼相望，处于旅游黄金线上。2001年被公布为全国重点文物保护单位。蒲津渡遗址于1989年发掘出土。1991年，联合考古发掘队对遗址进行了全面科学地清理发掘，完整出土了唐开元十二年（724年）铸造的铁牛四尊、铁人四尊、铁山两座、铁镦柱四个、七星铁柱一组、明代护岸石堤70余米、明正德16年（1521年）记事碑一通。,夏季（5月-10月）8:30-18:00，冬季（11月-次年4月）8:30-17:30。,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/746c9efb-f65d-4d9f-836b-6ea941c65330.jpg,4.4,建议游览时间：2小时 - 3小时,四季皆宜,{'蒲津渡电子导览服务大小同价\n\n': ['¥7起']},,1
黄河古渡,http://travel.qunar.com/p-oi706931-huanghegudu,,奔腾咆哮的黄河，一出龙门，被秦岭山脉阻拦，于是掉头向东，浩浩荡荡，蜿蜒于宽达10多公里的河道上，穿中原，过齐鲁，驰骋千里，汇入渤海。沿途山川险要，良田万顷，车马如潮，景色宜人。在黄河北岸的山西省境内，从上流到下流，相继有风陵渡、大禹渡和茅津渡三大著名渡口。自古到今，为晋陕豫的交通要冲和军事重地，地理位置十分重要。,,,0.0,,,,,1
蒲津渡,http://travel.qunar.com/p-oi716548-pujindu,,蒲津渡遗址位于山西省永济市西约13公里处，为唐至明朝的遗址。蒲津渡是历史上的著名古渡口。考古发掘的蒲津渡遗址是唐开元十二年（公元724年）修建的“铁索连舟固定式曲浮桥”的遗迹。遗址附近还发现有明代石碑一通和石堤50米。发掘清理出来的蒲津渡遗迹有铁牛四尊，各长3．3米，高1．5米，重约50～70吨。每条铁牛旁各有一铁人，高约1．9米，重约3吨。南侧铁牛下还发现有铁板、铁柱，铁牛尾部立有铁制的七星铁柱7根。四大铁牛被誉为“世界之最”，在考古学、桥梁建筑、冶炼铸造、水...蒲津渡遗址位于山西省永济市西约13公里处，为唐至明朝的遗址。蒲津渡是历史上的著名古渡口。考古发掘的蒲津渡遗址是唐开元十二年（公元724年）修建的“铁索连舟固定式曲浮桥”的遗迹。遗址附近还发现有明代石碑一通和石堤50米。发掘清理出来的蒲津渡遗迹有铁牛四尊，各长3．3米，高1．5米，重约50～70吨。每条铁牛旁各有一铁人，高约1．9米，重约3吨。南侧铁牛下还发现有铁板、铁柱，铁牛尾部立有铁制的七星铁柱7根。四大铁牛被誉为“世界之最”，在考古学、桥梁建筑、冶炼铸造、水文地质等学科领域，有着十分重要的研究价值。蒲津渡遗址对于中国古代桥梁史的研究具有极为重要的价值。,,https://img1.qunarzz.com/travel/d5/1608/b5/29fa3e9021f0e0b5.jpg_480x360x95_7ddbb930.jpg,3.5,,,,,1
万固寺Wangu Temple,http://travel.qunar.com/p-oi705919-wangusi,"

地址:
永济市蒲州镇运风高速永济西出口向西1.5公里处


电话:
+86 359 849 6182

",位于永济市西南25华里的中条山腰，与闻名于世的普救寺莺莺塔遥遥相应，是蒲州著名的寺院之一。始建于北魏时期，明洪武年间，又把石佛寺、竹溪寺、平陆县沉底村度门寺并入万固寺，时称“中条第一禅林”。传说：万固寺是师徒比艺的结晶，与之相望的普救寺莺莺塔是师傅的作品，所以它们也被称为姊妹塔。,全年 8:30-18:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/7d6e62a9-676e-4776-b355-d32e2db0d47c.jpg,4.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
