名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
连岛Lian Island,http://travel.qunar.com/p-oi712897-liandao,"

地址:
连云港市连岛镇连岛海滨旅游度假区


电话:
400-828-2898


官网:
http://www.lygld.cn/

","连岛景区坐落在江苏最大的岛屿——东西连岛上，是一个集海洋观光、休闲、度假为一体的生态滨海旅游胜地。
 它位于中国沿海的脐部，旅游客源区域广阔，主要辐射区域为华中、长三角区域以及我国新亚欧大陆桥沿线和东亚地区的国家,是江苏省内唯一的国际性区域海滨生态旅游目的地，也是《江苏“十四五”沿海地区发展规划》中“建设令人向往的生态风光带”和海滨“特色风貌景观”建设的重点项目。全岛面积8.1平方公里，森林覆盖率达80%。这里气候温和，空气清新，生态环境优美，极为适合大家观光、休闲、度假。2016年，在国家海洋局组织的全国美丽海岛评选中，被评为中国“十大美丽海岛”之一。
",04/28-10/27 08:30-17:20;10/28-4/27 周一-周五 08:30-16:40,https://img1.qunarzz.com/travel/d0/1609/17/0dac0a76a3d3a2b5.jpg_480x360x95_f8533699.jpg,4.2,建议游览时间：2小时 - 3小时,4月至10月最佳。这时连云港气候温暖而湿润，阳光充足。夏可游海滨，秋可品海鲜。,"{'连岛门票成人票\n\n': ['¥25.9起'], '连岛门票双人票\n\n': ['¥54起'], '连岛电子导览服务成人票\n\n': ['¥9起']}",注意防晒，尤其是在海滨游玩，如果不注意防晒的话会很伤害皮肤。,1
花果山Mount Huaguo,http://travel.qunar.com/p-oi708042-huaguoshan,"

地址:
连云港市海州区郁林路5号


电话:
0518-85723837,0518-85723839


官网:
http://egov.lyghgs.cn/

",花果山自然景观呈现山海相依，崎峭与开阔呼应对比的壮丽景色。更有与《西游记》故事相关联的孙悟空降生地的娲遗石，栖身之水帘洞、妖魔七十二洞、唐僧崖、猪八戒、沙僧石、老君堂、仙人桥、南天门、唐僧家世碑、照海亭、懒汉石、美人松、一线天、九龙桥等等，神形惟妙惟肖，栩栩如生。山顶玉女峰是江苏省最高山峰。登玉女峰可见云台铺海，白云翻滚，好像海水扬波，露出来的峰顶就像大海里的蓬莱仙岛，群山俯伏，阡陌纵横，此情此景更令人有飘飘欲仙的感觉。,03/01-11/30 07:00-17:00;12/01-2/28 08:00-16:00,https://img1.qunarzz.com/travel/d6/1609/6b/cdf3244e972dafb5.jpg_480x360x95_4c962b6e.jpg,4.2,建议游览时间：5小时 - 6小时,春季、夏季、秋季最佳，花果山植被丰富，景色秀丽，春夏秋较适合爬山。,"{'连云港花果山门票成人票\n\n': ['¥83起'], '连云港花果山门票优待票\n\n': ['¥45起'], '连云港花果山风景区手机智能导游讲解服务大小同价\n\n': ['¥0.3起']}",连云港花果山风景区针对属猪、属猴游客免门票，游客凭身份证原件到景区指定窗口登记换票入园。,1
连云港老街Lianyunganglao Street,http://travel.qunar.com/p-oi9555178-lianyunganglaojie,"

地址:
连云港市连云区中山中路77号


电话:
0518-82375002

",连云港老街位于江苏省连云港市连云区连云街道，又称“连云老街”、“连云古镇”，为连云港市四条老街（海州古城、民主路文化街、连云港老街、南城六朝一条街）之一。老街自1933年连云港建港，到1948年解放后至今，山城石街石房的特殊地理风貌和不同历史阶段留下的时代印记，2003年重建后的连云港老街将集传统民俗文明、滨水酒吧文明、时髦精品购物与海景休闲休假于一体，是一座别具山海港城特征的海边石街。在连云港老街除了可以欣赏老建筑之外，还有别具特色的各色展馆可以参观。民俗工艺馆旧址为原国民连云市农民银行，馆内共设面塑、根雕、葫芦烙画、剪纸、传统布饰品、锣钿画、连环画收藏、嘉连玉器展品等展厅。果城里建筑群位于胜利社区果城里巷，是一座独立小城。建筑风格如同乔家大院，布局精妙，工艺考究，院中有院，据说日军曾在此开过慰安所，房檐、房顶通透的圆窗是青砖砌成的江南气息，而立柱、窗户及门框皆是西洋的格调，它从布局到细节，都是二、三十年代建筑中的精品。连云港老街历史文化馆以“城市记忆体”为主，展示连云港老街的“前世今生”，反映老街百年的风采，集中展示老街印象、老街文化、今昔对比、阳光公示四个专题内容。陇海铁路连云港历史博物馆位于老连云火车站的博物馆，分室内展区和室外展区两个部分。室内展区共有三层，一、二层为史料展示部分，以大量珍贵的历史老照片并配以实物，展示陇海铁路历经满清、民国，蹒跚起步、分段修筑、艰难延伸，直至新中国成立后才全线贯通的历程。三层为科普和体验区，介绍火车诞生、发展的历史。室外展区位于博物馆东部，以公园景点的形式呈现，主要是在老连云火车站站前广场展示三个实物火车头，这三个火车头分别代表蒸汽机、内燃机、电气化三个火车发展的不同时代。,全天开放,https://img1.qunarzz.com/travel/poi/1708/3f/25c4d5c054398e37.jpg_480x360x95_fe50168e.jpg,4.2,建议游览时间：12小时 - 3天,,{'连云港老街手机智能定位导览讲解服务大小同价\n\n': ['¥7起']},,1
海上云台山Yuntai Mountain,http://travel.qunar.com/p-oi713083-haishangyuntaishan,"

地址:
连云港市连云区桃源路


电话:
0518-82202297


官网:
http://www.hsyts.net/

",海上云台山即传说中的东海仙山——瀛洲，位于江苏省连云港市连云区后云台山，由云山、围屏山、桅尖山、吕端山、宿城山等58座山峰组成。主峰大桅尖，海拔605.4米，为江苏第二高峰。北邻新亚欧大陆桥的起点东方大港连云港，南环中国十佳村镇慢游地，素有“世外桃源”美誉的宿城乡。景区主要景点有：华东最大的原生态楸林花海“万寿谷”，竹海仙境“悟道庵”，佛从海上来，淮海第一丛林“法起寺”，东方鸟国少昊之国图腾“云台神鹰”。和内陆的山相比，海上云台山的独特在于，走在山上的栈道便可看到美丽的黄海。宋代大诗人苏东坡在《海上书怀》诗中赞叹：“郁郁苍梧海上山，蓬莱方丈有无间，旧闻草木皆仙药，欲弃妻孥守市圜”。,"8:30-17:30,16:00停止入场。",https://img1.qunarzz.com/travel/poi/201211/15/c0a250606d36feebddb12cfb.jpg_480x360x95_299d8b34.jpg,4.4,建议游览时间：12小时 - 3天,8月、9月最佳，一般只有这时才能看到314米的云台大瀑布，其他景点的水量也比较大。,"{' 海上云台山门票成人票\n\n': ['¥40起'], ' 海上云台山门票优待票\n\n': ['¥30起'], ' 海上云台山门票双人票\n\n': ['¥80起']}",1、云台山的雨季在七月份和八月份，一定要注意带好雨伞类的雨具。还要带好必要的常用药品。雨中欣赏美景一般不会有什么危险，不用担心    2、云台山有一种像蜜蜂的小虫子，一定要小心提防。   3、旅程中，注意最好不要理睬拉客者。,1
渔湾风景区Yuwan Scenic Area,http://travel.qunar.com/p-oi702432-yuwanfengjingqu,"

地址:
连云港市云台区云台乡渔湾村


电话:
0518-85941666,0518-85940766

",渔湾景区自然景观奇特优美，由瀑布、峭壁、怪石叠化而成，尤其是飞瀑四季不绝，传说中三龙戏水的老龙潭、二龙潭、三龙潭以及龙王三太子睡觉的龙床等景点，给人以如入仙境的感受。老龙潭瀑布落差40多米，游人至此伸手可及。瀑布轰轰纷泻，飞珠溅玉。半山腰的藏龙洞是名副其实的水帘洞，参差怪石环绕洞门，洞口水帘倒挂，洞庭可容20余人。在临近洞口的“观虹台”上远眺，还可见到老龙潭瀑布折射的巨大彩虹，景色十分壮观。这里以瀑布、峭壁、怪石叠化而成，自然景观十分美。因其自然纯净，淳朴险峻而被游人称誉为“江苏的张家界”。两百多年前，渔湾只是云台山脉延伸到大海中的一个岛，偶有渔船停泊，作为一个渔村码头，后来海水东退，山下才逐渐变为良田。这里山僻人稀，自然环境很少遭到破坏，民风淳朴，有浓郁的田园风味。《镜花缘》中对山林风光的描述，多取材于这一带。游览渔湾循“三潭、一洞、三汪”为主线。即三龙潭、二龙潭、老龙潭、藏龙洞、绿水汪、清水汪、黄水汪。其中以老龙潭最有神采，瀑布落差40多米，游人至此伸手可及。瀑布轰轰纷泻，飞珠溅玉。半山腰的藏龙洞是名副其实的水帘洞，参差怪石环绕洞门，洞口水帘倒挂，洞庭可容下20多人。在临近洞口的“观虹台”上远眺，还可见到老龙潭瀑布折射的巨大彩虹，景色十分壮观。 ,全年 08:30-17:30,https://img1.qunarzz.com/travel/d7/1701/67/91180c534332d3b5.jpg_480x360x95_db3bc85e.jpg,4.5,建议游览时间：4小时 - 5小时,4至10月最佳。连云港气候温暖而湿润，四季分明，阳光充足。夏季可以游海滨，秋季可以品海鲜。,"{'渔湾风景区门票成人票\n\n': ['¥37起'], '渔湾风景区门票优待票\n\n': ['¥20起'], '渔湾风景区门票双人票\n\n': ['¥78.1起']}",1、建议穿轻便的运动鞋，休闲一点的衣服。 2、老人、小孩需要注意：建议有家人陪同，在景区游览时要结伴而行,1
水帘洞Cave of Water Curtain,http://travel.qunar.com/p-oi5740446-shuiliandong,"

地址:
连云港市新浦区花果山风景区内


电话:
0518-85723837,0518-85723839

","水帘洞，位于连云港市花果山中，因《西游记》闻名海外。吴承恩就是受了这个水帘洞的启发。在《西游记》中给早期的孙悟空提供了一个神话色彩十分浓郁的活动场所。因此全国各地的水帘洞很多，但都是《西游记》流行以后起的名字，唯独这里在《西游记》风行以前便有了。明代海州人张朝瑞在为三元宫写的一块碑记里，便记载着水帘洞是香客必游之处。石壁上“高山流水”四个大字，是海州知州王同题写的，时为明嘉靖二十三年（1544年），那时《西游记》还不曾出书。水帘洞是一个天然裂隙洞穴，内有人工隧道可通下层平台。洞门前有许多珍贵的题刻。其中，“印心石屋”是清代道光皇帝手书，赐给太子少保、兵部尚书、两江总督陶澍的。据说道光十二年（1832年）陶澍奉命来海州改革盐政，成效卓著，使清廷国库转亏为盈，出现了短时期的中兴局面，因此皇帝给予他亲书室名的殊荣。三年后，陶澍又以钦差大臣的身份再次来海州巡视盐政改革的成效，并发起云台山庙守的修缮工作，大兴土木，使这一带风景区顿时面貌一新。为了纪念他的功绩，当地人便将御书“印心石屋”发行量地水帘洞旁。""灵泉""二字是嘉庆年间知州师亮采的手笔，“灵泉”指的是洞里那口方形小井，井虽不大，却常年有水，大旱不涸，民间传说通往东海龙宫的海眼就是指的它。",包含于花果山风景区，景区开放时间：淡季（12月-2月）8:00-16:00， 旺季（3月-11月）7:00-17:00；景点开放时间详见景区现场公示。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/3b0e2ab2e65c912bfbd0a25bb871e24a.jpg_480x360x95_75e34419.jpg,4.4,建议游览时间：1小时 - 2小时,,包含在花果山风景区门票内，通用于花果山风景区门票。,,1
伊甸园Garden of Eden,http://travel.qunar.com/p-oi20968475-yidianyuan,"

地址:
连云港市灌云县伊山镇川星村五组


电话:
400-9287-199,0518-88995066


官网:
http://www.gyydy.com.cn

",伊甸园景区位于江苏省灌云县城以东3.5公里，紧邻204国道。总面积10000亩，其中梨园6500亩，百花园3200亩，丹麦童话小镇、游乐体验中心、游客服务中心等约300亩。其中包括创意特色景观共计98处，每一处景观都是独特的分光，每一座桥、一处建筑都是一个故事。伊甸园景区以亚当果园、伊娃游乐园、童话小镇等片区为依托而打造的乡村旅游示范点。,全年 08:00-19:00,https://img1.qunarzz.com/piao/fusion/2004/78/9051b6393b7ab802.jpg_480x360x95_7cc63535.jpg,4.8,建议游览时间：12小时 - 3天,,"{'伊甸园门票成人票\n\n': ['¥60起'], '伊甸园门票优待票\n\n': ['¥30起'], '伊甸园手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥9起']}",,1
海州古城Haizhou Ancient City,http://travel.qunar.com/p-oi5740445-haizhougucheng,,古城始建于梁武帝天监十一年，明永乐十六年，加砌城墙，全长九里一百三十步，高二丈五尺，城有四门，它位于锦屏山北面，距市区心仅5公里。当年建陇海铁路时就是从这里开始的。秦始皇统一中国后，公元前212年在海州建朐县，并立石阙，作为“秦东门”。海州多山。云台山和锦屏山环列东西，南大山和孔望山南北遥望，而石棚山就匍匐在连绵起伏的南大山脚下。现在，一条由海州古城通往孔望山的公路全线畅通，它把海州古城、石棚山、蜘蛛山、塔山、孔望山等著名景点联成一线，形成独具特色的风景带。近年，海州古城建设迅猛发展，建起了古城门阙，上有中国佛教协会会长赵朴初的手书——“东海名郡，海州古城”；恢复了朐阳门，修复了钟鼓楼，建造起10多万平方米的仿明清建筑，重新恢复了昔日古镇的形象。古城沿街楼台错落，画梁雕栋，色彩纷呈，被游人称誉为“苏北的夫子庙”。,,https://img1.qunarzz.com/travel/d3/1701/b2/882f1a1c5365a6b5.jpg_480x360x95_52dc2b9c.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
在海一方公园“Over the Sea” Park,http://travel.qunar.com/p-oi10013025-zaihaiyifanggongyuan,"

地址:
连云港市海棠北路、海滨大道交叉口


电话:
0518-82310153

",“在海一方”公园位于连云港连云区。它东至海域，西至海棠路、南至海滨大道，北至西大堤，占地面积约为25.269公顷，公园以“尊重自然、改造自然、享受自然”为总设计原则，以“大尺度、大空间、新感受”为设计手法，按照私密空间、半开放空间、开放空间、广阔无垠的大海空间序列，把公园分为休闲中心、疏林草地、景观广场、阳光沙滩、怡情海域五个功能区，是集休闲、观光、旅游为一体的海滨风光特色的现代生态游乐公园。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1712/9e/4a7e864bb143c102.jpg_480x360x95_562ffc7a.jpg,4.2,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
海州湾,http://travel.qunar.com/p-oi9483929-haizhouwan,"

地址:
江苏省连云港市赣榆县海头镇小口村东


电话:
0518-6891002

","连云港有170多公里的海岸线，弯曲的海岸线形成著名的海州湾。这里散布着7个岛屿，像7颗明珠，镶嵌在万顷碧波之中。绵长的金色海滩，细沙平软，形成一个个天然海滨浴场；现代化的深水良港崛起在秀丽的海湾；一方方盐田怒放朵朵银花……它们各呈奇姿，景趣迥别，往往一目数景，使人格外心醉情怡。中国赣榆海州湾旅游度假区位于江苏省连云港市赣榆县炸海头镇境内,这里风景秀丽，气候宜人，光照充足，拥有江苏省最大的优质沙滩，滩宽潮稳，金沙绵延，密林葱郁，空气新鲜，具备当今世界海...连云港有170多公里的海岸线，弯曲的海岸线形成著名的海州湾。这里散布着7个岛屿，像7颗明珠，镶嵌在万顷碧波之中。绵长的金色海滩，细沙平软，形成一个个天然海滨浴场；现代化的深水良港崛起在秀丽的海湾；一方方盐田怒放朵朵银花……它们各呈奇姿，景趣迥别，往往一目数景，使人格外心醉情怡。中国赣榆海州湾旅游度假区位于江苏省连云港市赣榆县炸海头镇境内,这里风景秀丽，气候宜人，光照充足，拥有江苏省最大的优质沙滩，滩宽潮稳，金沙绵延，密林葱郁，空气新鲜，具备当今世界海岸旅游要求的海洋，沙滩，空气，阳光，绿色等优越条件，被誉为江苏的“北戴河”。",8:00-18:00,https://img1.qunarzz.com/travel/poi/1606/b5/35b35092102516db.jpg_480x360x95_7d2d89a3.jpg,--,,,100元,,1
