名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
松赞林景区Sungtseling,http://travel.qunar.com/p-oi709130-songzanlinjingqu,,,,,,,,,,1
梅里雪山国家公园Meili Snow Mountain,http://travel.qunar.com/p-oi711004-meilixueshanguojiagong,"

地址:
迪庆藏族自治州徳钦县梅里雪山景区


电话:
0887-8414949

","梅里雪山又称太子雪山，主峰卡瓦格博藏语意为：峡谷中险峻的白色雪峰，是藏区八大神山之一。“日照金山”是很多背包客梦寐以求难得一见的胜景，这里也是户外爱好者和摄影发烧友的目的地之一。一般游客是从飞来寺出发去明永冰川观景台，那里可以俯瞰冰川的壮美景色。飞来寺烧香台是拍摄梅里雪山全景的好地方，早上带上摄影装备，架起三脚架，拍摄震撼的风景大片。也许可以拍到“日照金山”,那景色一定会让你永生难忘。梅里雪山至今仍是未被登顶的峰。从1902年开始，多国登山队多次试图登顶，均无功而返，尤其1991年的中日联合登山队，更是遭遇雪崩而导致17名登山队员集体遇难，创造了世界第二大山难。1996年，中国政府明令禁止攀登这座雪山，给予了神山永远的宁静。",全天开放，售票时间6:00-16:30。,https://img1.qunarzz.com/travel/d8/1711/17/c91a5f448542bab5.jpg_480x360x95_4f008174.jpg,4.7,建议游览时间：3天 - 6天,每年1-5月最佳，天气晴朗，空气洁净，透明度高，常能看到主峰。,"{'梅里雪山手机导游(不含门票)手绘地图、讲解、路线票大小同价\n\n': ['¥8起'], '【精品商务小团】香格里拉+梅里雪山二日游|三日游·赠氧气瓶·防寒服\n\n': ['¥726起'], '【不进家访·不推特产·纯玩小团】香格里拉小团2日游·虎跳峡·普达措·松赞林寺·含氧气·防寒服\n\n': ['¥466起']}","
  1、每年6-9月雨季来临，是登山的气候禁区。 


  2、梅里最美的景色是早上的“日照金山”，但在滇西北有雨季和旱季之分，在出行前往梅里雪山前，敬请留意天气预报，以免去了什么也看不到，留下遗憾。 



",1
普达措国家公园Pudacuo National Park,http://travel.qunar.com/p-oi703454-pudacuoguojiagongyuan,"

地址:
迪庆藏族自治州香格里拉市建塘镇普达措国家公园


电话:
0887-8232533


官网:
http://www.puda-cuo.com/

","普达措国家公园位于大香格里拉风景区的中心区域，是世界自然遗产“三江并流”的重要组成部分， 由碧塔海、属都湖和弥里塘亚高山牧场为主要组成部分（从2017年9月3日起，碧塔海核心景区和弥里塘亚高山牧场全线封闭，停止对外接待游客）。
公园内主要的两个湖泊：属都湖、碧塔海，分别位于公园的南北两侧，相距10余公里。两湖之间有洛茸村、弥里塘草原等景点。因距离较远，游人一般都乘坐环保观光车，根据车行路线游玩。入口处乘坐景区环保观光车，约20分钟可抵达属都湖景区。属都湖湖水清澈碧蓝，湖畔是一片绵延的高原牧场，春夏季节，草场上野花盛开，非常漂亮。冬季的清晨，湖面上水汽凝结，像一层白雾弥漫在水面上，只有搭乘清早的第一班车到此，方可观赏到这一奇景。草场沿湖搭建有步行栈道，走完一圈大约需要一个小时。栈道尽头就是环保车站，游玩结束上车抵达下一个目的地。环保车的下一站是弥里塘草原，平坦开阔。环保车继续前行，会经过公园游客服务站，这里有桑错卡餐厅，条件虽然一般，价格也不便宜。但如果真的累了饿了又没有自带干粮的话，也只能在此吃午餐，顺便休息一下。碧塔海是环保车路线的末站，也是此行的重头。碧塔海在藏语里是意思是“栎树成毡的海子”，顾名思义，湖畔栎树茂密如绿色的毡子。栎树林间生长有大量杜鹃花，每年5-6月春暖花开时，杜鹃花瓣掉落水中，鱼儿吃了含微毒的杜鹃花，纷纷浮上水面，这就是碧塔海有名一景：杜鹃醉鱼。碧塔海湖畔也建有栈道，沿着栈道缓缓前行，可至湖畔码头。湖中有游船，可环湖游览山光水色。",全年 08:30-16:00,https://img1.qunarzz.com/travel/d9/1506/df/5db5f8edba742.jpg_480x360x95_88df73cb.jpg,4.5,建议游览时间：4小时 - 6小时,夏秋最佳。夏季看花海，秋季看缤纷,"{'普达措国家公园门票成人票\n\n': ['¥138起'], '普达措国家公园门票+电瓶车票成人票\n\n': ['¥138起'], '普达措国家公园门票+独克宗古城至普达措公园往返车票+景区内观光车票成人票\n\n': ['¥215起']}",1、公园门口有租羽绒服的摊位。2、临去前导游会让大家购买氧气。因为普达措最高的地方有海拔四千多米。景区氧气68元一瓶，视身体情况而定，如果在香格里拉县城没什么高原反应的话可以不买，或者两人备一瓶。   （在天气晴朗的夏日的话二者皆可不备。）3、如需购买氧气可以在城内先准备好，也可准备餐食到公园野餐。,1
虎跳峡Tiger Leaping Gorge,http://travel.qunar.com/p-oi710720-hutiaoxia,"

地址:
香格里拉市虎跳峡镇


电话:
0887-8806978


官网:
http://www.ynhutiaoxia.com/

",虎跳峡景观位于从丽江去香格里拉的中途，从香格里拉到虎跳峡镇坐车需两个小时。虎跳峡，中国最深、最美的峡谷之一，也是世界最经典的十大徒步线路之一。这条峡谷在金沙江上游，分上虎跳、中虎跳、下虎跳三段。停车场右侧一只腾跃的石虎，连底座高约3米，这是进入虎跳峡的标志性石雕造型。沿木板台阶一路向下，两岸峭立的山崖，将流水紧紧地束起，而江水就像一只猛虎吼叫着冲刺下来。只有香格里拉上虎跳是可以停靠游览车或大巴车的，其余中虎跳、下虎跳则都需要徒步。上虎跳是峡谷中最...虎跳峡景观位于从丽江去香格里拉的中途，从香格里拉到虎跳峡镇坐车需两个小时。虎跳峡，中国最深、最美的峡谷之一，也是世界最经典的十大徒步线路之一。这条峡谷在金沙江上游，分上虎跳、中虎跳、下虎跳三段。停车场右侧一只腾跃的石虎，连底座高约3米，这是进入虎跳峡的标志性石雕造型。沿木板台阶一路向下，两岸峭立的山崖，将流水紧紧地束起，而江水就像一只猛虎吼叫着冲刺下来。只有香格里拉上虎跳是可以停靠游览车或大巴车的，其余中虎跳、下虎跳则都需要徒步。上虎跳是峡谷中最窄的一段，离公路边的虎跳峡镇9公里，其江心雄踞一块巨石，横卧中流，如一道跌瀑高坎陡立眼前，把激流一分为二，江水从两边倾泻而下，犹如猛虎下山，风驰电掣，水花迸射，气势汹涌，惊涛震天。传说曾有一猛虎借江心这块巨石，从玉龙雪山一侧，一跃而跳到哈巴雪山，故此石取名虎跳石。,淡季（1月—4月、12月）：7:30-18:00；旺季（5月—11月）：7:00-19:00。                           ,https://img1.qunarzz.com/travel/d8/1704/ae/d3c41c0cc8fd19b5.jpg_480x360x95_4637eeab.jpg,4.5,建议游览时间：4小时 - 1天,4-6月的春末夏初和9-10月的秋季最佳。这两个时段除了适合来虎跳峡徒步探险，还能看到玉龙雪山美景。春末夏初，气温适中，草甸上繁花似锦，景致迷人。中秋节过后大约20多天时间里高原上满目秋色，这也是迪庆高原最精彩的瞬间。6月到9月是迪庆高原的雨季，虽然风光秀丽，但不宜出行。,"{'虎跳峡（香格里拉段）门票+拉市海茶马古道骑马+午餐+丽江-景区往返直通车票成人票\n\n': ['¥289起'], '香格里拉虎跳峡门票+噶丹松赞林寺门票+独克宗古城+往返交通用车套票成人票\n\n': ['¥369起'], '虎跳峡（香格里拉段）+依拉草原+独克宗古城+往返交通用车套票成人票\n\n': ['¥299起']}","
  1、徒步虎跳峡要量力而行，因步行体力消耗较大，可带一些高热量的食品，如巧克力、麦乳精、牛肉干等。 


  2、最应该小心的是位于核桃园和中峡旅馆之间的大深沟瀑布，无论晴雨都会落石，非常危险，过了这个险地就到了中峡旅馆。 


  3、每年6月到9月是迪庆高原的雨季，虎跳峡容易发生泥石流和山间落石，最好不要前往。 


  4、虎跳峡地处高海拔地区，昼夜温差很大。建议带上厚外套，加上气候干燥，紫外线辐射强，女士应准备好防晒霜、遮阳帽、太阳镜。 
",1
纳帕海Napa Sea,http://travel.qunar.com/p-oi702908-napahai,"

地址:
迪庆藏族自治州香格里拉市214国道


电话:
0887-8200077,0887-8229045

",纳帕海位于香格里拉县城西北部，是高原季节性湖泊。纳帕海四季景致各有特色，夏末秋初是雨季，此时水量较大，纳帕海是一大片湖泊。夏天水草丰满，草原上长着小花，羊、牛、马成群吃草，和草原融为一体。秋天的草原一片金黄，雪峰倒映在湖泊中。而到了冬春旱季，湖面缩小甚至干涸，变成大片的沼泽。景区的入口处有座八瓣莲花白塔，这样的塔全世界只有两座，另一座在印度。纳帕海离香格里拉县城不远，如果打算包车游玩，可以把它作为其中一站和其它景点一并游玩。除了包车外，游玩纳帕海另一个主要方式是骑自行车环湖，全程约40公里，骑行一圈大概需要三四小时。沿路的草原、湖泊、雪山风景很美，更让人惊喜的是，进县城的那段公路可以远眺松赞林寺。环湖公路比较平坦，没有急弯，路也很宽，可以边骑边玩边拍照，体力不错的话推荐骑自行车前往。需要注意的是，务必沿湖顺时针骑行，这样西侧环湖公路景观带上会是一路下坡，可以轻松游览，只是在回城的214国道上会有一些比较漫长的上坡，但也不太会影响看景的心情。,全年 8:00-18:00,https://img1.qunarzz.com/travel/d7/1511/2b/34e1968fb8d683f7.jpg_480x360x95_8fcf8e0d.jpg,4.0,建议游览时间：3小时 - 5小时,四季皆宜，夏秋季节最佳。水草丰满，牛羊遍地。,"{'丽江至香格里拉小团二日游【虎跳峡+松赞林寺普达措+依拉草原】\n\n': ['¥498起'], '丽江至香格里拉包车二日游【专车接送-私享行程-司导携玩】\n\n': ['¥1100起'], '香格里拉松赞林寺+依拉草原+普达措+独克宗古城一日游商务小团\n\n': ['¥376起']}",1、提醒大家注意的是，有些草地下面其实是泥潭，很容易陷下去，一定要注意不要乱跑。 2、草场是藏民的集体财产，不要未经允许随意踏上草原，以免造成不必要的麻烦。      3、纳帕海骑马有多条线路，骑马大概一小时，可以牵着走也可以小跑。   4、骑马时要看好脚下的路，在草原上时不时会有浅浅的沼泽，马有时会陷下去。    5、高原紫外线较强，如果沿湖骑行，务必穿轻薄长袖运动服注意防晒。  ,1
噶丹松赞林寺Gadansong Zanlin Temple,http://travel.qunar.com/p-oi31544128-gadansongzanlinsi,,,,,,,,,,1
独克宗古城Dukezong Ancient Town,http://travel.qunar.com/p-oi5740156-dukezonggucheng,"

地址:
迪庆州香格里拉市康珠大道


电话:
0887-8223310

",独克宗古城位于迪庆藏族自治州香格里拉县东南隅，为唐代吐蕃王朝所建。“独克宗”是藏语发音，意为“月光城”和“建在石头上的城堡”。古城依山而建，路面就地势铺筑石板，自然起伏。至今，在石板路上甚至还能看出马蹄的印迹，这是岁月久远的马帮留下的信物。古城的建筑布局犹如八瓣莲花，中心是月光广场，古朴的藏式木屋一幢接一幢环绕在四周，当地百姓在这里平静地生活。广场西侧是大龟山，又称龟山公园，龟山顶上有载入吉尼斯世界纪录的世界大转经筒，要三个人一起用力才能转动。龟山公园西北侧的四方街，每晚的藏族锅庄舞总是能吸引大量游人参与其中，如果恰好遇到，一定要参与到这份快乐中去。月光广场北侧的院落是“迪庆州红军长征博物馆”。博物馆入口处是建于清代的中心镇公堂，又称藏经堂，建筑风格融汉、藏、纳西为一体，颇具观赏价值。长征博物馆南侧是迪庆州博物馆。馆内陈列有新石器时代的文物和藏医药展示，不妨来此观摩一番。古城内大部分民居都已被改建成客栈、餐馆和商铺，商铺里售卖当地特色的藏刀、牦牛肉、藏饰等，餐馆餐食也多以川菜和藏餐为主，牦牛肉火锅和酥油茶、糌粑等是一定不要错过的。客栈多以藏族特色为主，价格相对新城宾馆略贵，但胜在风情浓郁，每天人流络绎不绝。2014年1月11日发生的独克宗大火，使得大片藏民居变成废墟，非常可惜。但是徜徉其中，仍然可以辨认出当年古城的辉煌。,全天开放,https://img1.qunarzz.com/travel/d8/1703/c4/5be90eec59a83fb5.jpg_480x360x95_1cfa7cde.jpg,4.5,建议游览时间：2小时 - 3小时,5--10月是去香格里拉的最好季节，初春，冬天较冷。,"{'香格里拉虎跳峡门票+噶丹松赞林寺门票+独克宗古城+往返交通用车套票成人票\n\n': ['¥369起'], '丽江至香格里拉小团二日游【虎跳峡+松赞林寺普达措+依拉草原】\n\n': ['¥498起'], '丽江至香格里拉包车二日游【专车接送-私享行程-司导携玩】\n\n': ['¥1100起']}",古城所在香格里拉海拔约3300米，属高原湿润气候，早晚温差大，无论哪个季节前往香格里拉，都应该备有防寒外套。,1
雨崩村Yubeng Village,http://travel.qunar.com/p-oi5419361-yubengcun,"

地址:
迪庆藏族自治州德钦县雨崩村


电话:
0887-8414949

",雨崩村是梅里雪山神女峰脚下的一个藏族村寨，分上雨崩（海拔3150米）、下雨崩（海拔3050米）两村，二者距离约一公里，上雨崩可以通往冰湖和笑农大本营，下雨崩则通往神瀑和神湖。此外，也是梅里雪山转山的必经之地。由于地处大山深处，又不通公路，雨崩好似一处世外桃源，在驴友间流传一句话：不去天堂，就去雨崩。目前雨崩还不通公路，要进去必须靠两条腿。从外界进雨崩，需从西当开始徒步17公里，翻越3700米高的南宗垭口到达上雨崩。翻垭口前这段上坡比较难走，如果体力不支，这一段也可以租骡子。路上有休息站可以买到泡面和水。过了垭口便是一段6公里的下坡，直达上雨崩。雨崩是拍摄神女峰景色的好地点之一，天晴时，拍摄位置是南宗垭口和上雨崩的梅里客栈和徒步者之家，以及下雨崩的神瀑客栈。除了拍照摄影，来到雨崩村的人多冲着是徒步来的，上雨崩、下雨崩都有客栈可住，基本都是当地农家改造的，条件一般，并且无法保证24小时有电和热水洗澡。一般会在雨崩村住一晚，次日一早开始徒步。有神瀑、冰湖和神湖三条经典徒步路线。神瀑：从雨崩村去神瀑来回大约4-5小时，这是三条线路中难度较小的路，除了后面有几个较陡的坡，前面几部以平路为主，是条初级徒步路线。体力较差的人至少要来一下神瀑，不然就真的白来雨崩了。神瀑的水量不大，下面是一片石滩，可以走到瀑布底下，按照藏族的传统顺时针绕瀑布走三圈祈福。这里常会遇到转山至此的藏人，也许神瀑的风景比不上冰湖，但信仰赋予了神瀑意义，即使你没有信仰，也会感到肃然起敬。冰湖：去冰湖的徒步难度不亚于进雨崩，来回大约需要一天。沿路有许多岔路，但已有许多前辈在岔路做了标记，所以不太会迷路。但这段路较为难走，保险起见可以请一位向导。从上雨崩骑骡子或者徒步约4小时，可到达笑农大本营，这里曾是1991年中日联合登山队攀登梅里雪山的大本营。在此稍作休整后，沿着陡峭的小路继续上行约1小时，爬上一块大石头，就能看到冰湖了。这是一个结冰的湖面，在四周草甸、雪山的映衬下像一块璞玉，天气好的时候可以看到冰面倒映着神山。绕过湖边的玛尼堆可走到底部，触摸正在消融的千年冰雪。但一定要注意头顶的动静，并且不要大声喧哗，这里时常会有小型的雪崩发生，注意安全。神湖：神湖在雨崩的三个景点中较为神秘，海拔高（5360米），风景美，难度也大。这里距离下雨崩约18公里，而且比较容易迷路，需要雇向导，并且不建议体弱者和高反者前往。值得一提的是，去往神湖的路上会经过错卡牧场，这里夏天风景非常美，可以带上帐篷睡袋在牧场的牛棚里住一宿，第二天前往神湖，这样也不会太累。需要特别注意的是，神湖在藏民心中非常神圣，湖水只能喝，不允许洗任何东西，游玩时务必尊重当地习俗。,全天开放,https://img1.qunarzz.com/travel/d8/1801/b1/b0312d683ac134b5.jpg_480x360x95_e74f7783.jpg,4.6,建议游览时间：6天 - 9天,每年4-6月和9-11月最佳。此间为旱季，适宜徒步。没有雨季的困扰，没有泥泞的道路，进入雨崩如同进入了一个斑斓的世界，美丽得无与伦比。,具体收费情况以景区公示为准,"
  1、前往雨崩只有一条不通车的山路，游客可以通过徒步或骑马的方式进入雨崩村。整段路程2/3是上坡，因此对于体力不好或者高原反应严重的游客来说十分痛苦。通常需要步行7小时才可到达雨崩村。游客应当找到当地的向导带入，否则非常容易迷失在山中，极其危险。 


  2、建议尽量徒步，自己可以控制时间和节奏，拍照方便，骑马时间并不短，因为中途马匹要休息，而且不便宜。 


  3、装备方面主要是服装和鞋子，梅里地区比较潮湿，雨水多，作好防雨防潮准备，另外就是防蚊虫的药品，注意防藏虱。 


  4、食品方面，建议带一些巧克力和加工过的肉类食品，因为在雨崩能吃到新鲜的肉类不容易，一般的菜是土豆、青菜和鸡蛋，而在这里的体能消耗很大。 


  5、雨崩一些地方保留有一妻多夫现象，即兄弟合取一个妻子，所以在和藏民交流时要注意其微妙的关系。 


  6、德钦县汽车站是离雨崩最近的汽车站。前往雨崩,一般是在香格里拉坐车至德钦县,再转车到西当温泉,在西当温泉包车或骑马前往那宗垭口,到达那宗垭口后,就必须要徒步或者骑马进入雨崩村。 
",1
虎跳峡（香格里拉段）Tiger  Leaping  Gorge,http://travel.qunar.com/p-oi10013969-hutiaoxia,"

地址:
迪庆藏族自治州香格里拉市虎跳峡镇东环线虎跳峡风景名胜区香格里拉上虎跳景区内


电话:
0887-8388500,0887-8806978


官网:
http://www.ynhutiaoxia.com

",虎跳峡是世界上落差较大的峡谷，位于香格里拉县虎跳峡镇东部，分为上、中、下虎跳三段，全长约20公里。金沙江奔流至此，被玉龙、哈巴两大雪山所挟峙，江面窄处仅二三十米，加上巨大的落差，江水奔腾汹涌。除了雄奇的自然风光，虎跳峡更是世界知名的徒步胜地，每年慕名而来的户外爱好者络绎不绝。走过中虎跳，下到江边，你才能真正领略到虎跳峡恢宏磅礴的气势。虎跳峡以奇、险、雄、壮著称。其中，上虎跳以“峡口”和“虎跳石”称雄，中虎跳以“满天星”和“一线天”为险，而下虎跳则以“高峡出平湖”和“大具风光”为美。上虎跳上虎跳是虎跳峡的上段，距离虎跳峡镇约9公里，是整个虎跳峡窄的一段。其中观景台附近，宽度仅有不足30米，江心雄踞一块三角形巨石，把激流一分为二，溅起如雪的浪花和阵阵涛声。传说曾有一猛虎借江心这块巨石，从玉龙雪山一侧，一跃而至哈巴雪山这侧，所以此石得名：虎跳石。上虎跳开发较早，修有栈道可以从路边下至江边，脚程快的人20分钟即可。因为道路简单易行，路程较近，难度较低，有人戏称上虎跳为“老年人活动中心”。中虎跳中虎跳在上虎跳之下，距离上虎跳观景台约8公里路程。中虎跳峡口略宽，江面相对开阔，但险滩众多。江水在礁石区穿行，在阳光的照耀下，波光粼粼，仿佛漫天闪耀的星星，故称：满天星。沿着“张老师小路”蜿蜒下行，小路狭窄崎岖，至江边约需40分钟。江边怪石嶙峋，江水激荡奔涌，溅起水雾一片，可以看到绮丽的彩虹。返回公路的山路有两条，分别是张老师客栈修建的“108级勇者梯”和天梯客栈修筑的“天梯”路，沿着山路蜿蜒上行，攀爬上几近垂直的天梯，手脚并用的回到公路上后，无不大汗淋漓。但回看对面苍茫的玉龙雪山和脚下奔腾的金沙江，还有远处峡谷中的一线天空，你会觉得所有的辛劳都是值得的。下虎跳从中虎跳沿着公路前行，经过山体松动滚石连连的“滑石板”，眼前忽然一片开阔，江面变得开阔，江水趋于平缓，宛如峡谷中出现了一个巨大的水库，这里就是下虎跳。远处阡陌纵横，炊烟袅袅，已是丽江市的大具乡了。,全年 08:00-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/997c5a79a54a6305f61d6976173b4621.jpg_480x360x95_fdc0c54d.jpg,4.6,建议游览时间：12小时 - 3天,,45元,,1
碧塔海Bitahai Lake,http://travel.qunar.com/p-oi703964-bitahai,"

地址:
迪庆藏族自治州香格里拉县东25公里普达措国家公园内


电话:
0887-8227568,0887-8232533

",碧塔海位于普达措国家森林公园内，距离香格里拉县城32公里，海拔约3600米，是云南省海拔较高的湖泊。碧塔海是藏语，意为“栎树成毡的海子”。碧塔海是普达措环保车途经的一个景点，碧塔海沿岸也有栈道，沿路风景非常美，还有可能遇到小松鼠之类的小动物。沿着栈道前行可至湖畔码头，可以在这里坐上游船，泛舟于清澈碧绿的湖水上，尽享湖光山色。,4/1-10/31 07:30-16:00;11/1-3/31 08:30-16:00,https://img1.qunarzz.com/travel/poi/201407/07/09b5d2814c386668ddb12cfb.jpg_480x360x95_3b9dc769.jpg,4.6,建议游览时间：3小时,夏季最佳。每年的6-7月份，可以看到“杜鹃醉鱼”景观。杜鹃花叶含有微毒，落到水面上后，被游鱼吞食，使鱼如同醉了一般漂浮在水面上，就形成了碧塔海的独有奇观。,包含于普达措国家森林公园，通用普达措国家森林公园门票。,1、每年 6-9 月 是香格里拉的雨季，高原天气多变，可以多带几个塑料袋(或浴帽)，雨天时罩在相机上，防雨又防尘，还可以保护设备。2、香格里拉紫外线辐射强，应准备好防晒霜、遮阳帽、太阳镜等。,1
