名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
东北不夜城,http://travel.qunar.com/p-oi38913463-dongbeibuyecheng,,,,,4.4,,,,,1
鸭绿江国境旅游区Yalu River Border Tourist Area,http://travel.qunar.com/p-oi704451-yalu:jiangguojinglu:you,,,,,,,,,,1
高句丽王城(洞沟古墓群)Ji'an Tomb Group,http://travel.qunar.com/p-oi716058-gaojuliwangcheng,,,,,,,,,,1
五女峰,http://travel.qunar.com/p-oi707210-wunu:feng,"

地址:
通化市集安市迎宾路21号

",五女峰国家森林公园总面积68.6平方公里。森林覆盖率94.5％，年平均气温6.5℃，年降雨量947毫米。公园内植物有100多科，1000余种。园内共有较大山峰26座，海拔1000米以上的有17座。景区风景奇异秀丽，山高林密，大树参天，珍贵的松、椴、楸、桦树，青翠欲滴。华盖苍苍。山峦峰叠，陡峭挺拔，千姿百态，雄伟壮观。这里不仅是野兽、飞禽的乐园，而且还是关东三宝---人参、鹿茸、貂皮的产地，也是野菜、鲜果、山珍的故乡。春天的映山红，满山开放，夏季的奇花异草，散发着清幽芳香，秋季的...五女峰国家森林公园总面积68.6平方公里。森林覆盖率94.5％，年平均气温6.5℃，年降雨量947毫米。公园内植物有100多科，1000余种。园内共有较大山峰26座，海拔1000米以上的有17座。景区风景奇异秀丽，山高林密，大树参天，珍贵的松、椴、楸、桦树，青翠欲滴。华盖苍苍。山峦峰叠，陡峭挺拔，千姿百态，雄伟壮观。这里不仅是野兽、飞禽的乐园，而且还是关东三宝---人参、鹿茸、貂皮的产地，也是野菜、鲜果、山珍的故乡。春天的映山红，满山开放，夏季的奇花异草，散发着清幽芳香，秋季的五彩山，霜打枫叶层林尽染，冬季的皑皑白雪，树挂雪景奇特。,8：00-17：00,https://img1.qunarzz.com/travel/d8/1708/97/7fd78bb682bd6cb5.jpg_480x360x95_3dabb1aa.jpg,4.5,,,50元,,1
洞沟古墓群,http://travel.qunar.com/p-oi706093-donggougumuqun,,,,,,,,,,1
三角龙湾Triceratops Bay,http://travel.qunar.com/p-oi707777-sanjiaolongwan,"

地址:
通化市辉南县金川镇三角龙湾景区


电话:
0435-8862555,0435-8221066

",三角龙湾具有山秀、古秀、湖美的特点，四季特征明显，早晚风光各异，十分迷人。俯瞰全景，山如盘龙，湖如玉镜，枫叶如火，泉水如涓，处处洋溢着大自然的青春活力。三角龙湾自然保护区位于吉林省辉南县东南部，属长白山系龙岗山脉。保护区由三角龙湾、大龙湾、二龙湾、小龙湾、四方顶等组成“七湾、一湖、两顶”十大景观区.三角龙湾水面面积50公顷，湖中大水深104米，蓄水量达1000万立方米。因水面呈三角形，加之湖南侧矗立着30米高的三角石，故名“三角龙湾”。经科学考察证明，这是距...三角龙湾具有山秀、古秀、湖美的特点，四季特征明显，早晚风光各异，十分迷人。俯瞰全景，山如盘龙，湖如玉镜，枫叶如火，泉水如涓，处处洋溢着大自然的青春活力。三角龙湾自然保护区位于吉林省辉南县东南部，属长白山系龙岗山脉。保护区由三角龙湾、大龙湾、二龙湾、小龙湾、四方顶等组成“七湾、一湖、两顶”十大景观区.三角龙湾水面面积50公顷，湖中大水深104米，蓄水量达1000万立方米。因水面呈三角形，加之湖南侧矗立着30米高的三角石，故名“三角龙湾”。经科学考察证明，这是距今20万年前的一次火山喷发后形成的火山湖。当地民间有很多关于龙湾的传说。三角龙湾山清水秀，四季特征明显，早晚风光各异，十分迷人。,7:00-17:00,https://img1.qunarzz.com/travel/d1/1701/71/5060529f874234b5.jpg_480x360x95_4f89189f.jpg,4.1,建议游览时间：4小时,,50元,,1
杨靖宇烈士陵园Cemetery of Martyr Yang Jingyu,http://travel.qunar.com/p-oi713533-yangjingyulieshilingyuan,"

地址:
通化市东昌区靖宇路888号


电话:
0435-3616042,0435-3652882,0435-3652889

",陵园位于通化市区东北部，烈士陵园由五座琉璃瓦民族式建筑物组成，正面主体建筑为灵堂和墓室，两侧四个偏殿为陈列室，正中巍然挺立着将军的戎装铜像。陵墓是烈士安息的地方，烈士的遗首遗骨合葬于白丁香木民族式棺柩中。两侧的陈列室展出将军的遗物以及他在抗日战争艰苦岁月里的一些用品和战利品等有关文物、文献、照片。每逢清明，前来悼念、扫墓的人们络绎不绝，陵园内郁郁葱葱，铜像下摄影留念者也比比皆是。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e08af92ecaa4c9969029608cbc60a832.jpg_480x360x95_8a5b0857.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
白鸡腰森林公园Baijiyao Forest Park,http://travel.qunar.com/p-oi722638-baijiyaosenlingongyuan,"

地址:
东昌区林场


电话:
0435-3610567

",森林公园是以自然景观为主的森林生态旅游景点。园区由天桥、正岔、吴里常三条主要沟系组成。园区内动植物资源非常丰富，森林植被大部分为针阔混交林。主要树种有红松、云冷杉、柞、桦等。珍稀树种有紫杉、刺楸、山槐、天女木兰等。园内山势雄伟，水系发达，风光秀丽，相传几千年前外星系陨石落于园内两座峰上。石质坚硬银白如雪，又因两山形如鸡状，故得名白鸡腰，并有前白鸡和后白鸡之分，海拔分别为1，318米和1，300米。这里曾是驼运的古道，据考证公园沿途在明末清初分别建有龙王庙、关公庙和观音寺等建筑，有些庙址和遗址尚存。可见当时这一带经济繁荣，香火鼎盛。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1803/70/fcfd8a36475b5d37.jpg_480x360x95_eff13b92.jpg,4.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
玉皇山公园Yuhuang Mountain Park,http://travel.qunar.com/p-oi715199-yuhuangshangongyuan,"

地址:
通化市东昌区柳泉路8号


电话:
0435-3437799

",玉皇山公园是伴随着玉皇阁庙而兴起的。庙中除了雕塑了玉皇大帝，还有“关公”、“娘娘”、“张飞”“的塑像，分布在山间树丛中的楼台亭阁、压水池、花窖、动物园、人工湖，以及儿童乐园、99项颢观迷离的大型迷宫等现代化娱乐设施。公园道路四通八达、曲径通幽，亭台楼阁相映成趣，春夏翠黛鸟语花香。秋冬红叶、雾淞独具山城特色。公园内山峦俊秀、群山环抱、美不胜收，素以山幽林茂驰名省内外。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/95547616535337389004dbba1867fa60.jpg_480x360x95_782b99d3.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
吉林龙湾群国家森林公园Longwanqun National Forest Park of Jilin,http://travel.qunar.com/p-oi708833-jilinlongwanqunguojia,"

地址:
通化市辉南县


电话:
0435-8221066,0435-8221067,0435-8713522

",龙湾群国家森林公园位于长白山龙岗山脉的西南端，是中国大的火山口湖群。景区是由“七湾二顶一湖”十大景区组成，三角龙湾是其中负盛名的。公园以森林生态景观为主体，火山口湖群和火山锥体为骨架，流泉、瀑布为脉络，人文建筑点缀其间，构成了一副静态景观与动感景观相协调、自然景观与人文景观浑然一体的生动画卷。另外，公园内地形复杂、地貌奇特，海拔在500-1000米左右。景区内的土壤为暗棕色森林有机土质。,4/25-10/25 07:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/201910/4ff0aef8d5b52fb76bbc0315747279e7.jpg_480x360x95_43c37732.jpg,4.5,建议游览时间：3小时,,135元,,1
