名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
珠日河草原旅游区Zhurihe Grassland Tourist Area,http://travel.qunar.com/p-oi715613-zhurihecaoyuanlu:youqu,"

地址:
通辽科尔沁左翼中旗Z001县道


电话:
0475-2376111,0475-2376029

",珠日河草原旅游区位于科尔沁左翼中旗境内，距通辽市101公里，地处科尔沁草原的腹地，是清孝庄文皇后及民族英雄嘎达梅林的诞生地。在珠日河草原有一个具有国际标准的赛马场，一年一度的“8.18赛马节”就在这里举行。珠日河草原旅游区蓝天白云相依，骏马羊群如梭，尽显科尔沁草原的美丽。旅游区的整体设计突出民族特色，鸟瞰全景区呈雄鹰展翅型。中间五个殿堂式迎宾包坐落在用汉白玉制成的1.2米高平台上，象征着成吉思汗和他的四大汗国，表现出浓厚的民族英雄气概。周围的18座高级固定包，14座传统毡包组成一系列蒙古包群，可同时接待200多人住宿和500多人用餐。每天这里还有热情洋溢的马队迎宾、精彩热烈的赛马表演、神秘庄重的祭敖包仪式、民族同乐的篝火晚会，还有搏克表演、牧户做客、射箭、射弩、打布鲁、民俗表演、骑骆驼、骑马漫游等。此外，在尽情游乐的同时还可以品尝到“手把肉”、奶茶和各种蒙古族风味的食品。,5月-10月全天开放，11月-次年4月不开放,https://img1.qunarzz.com/travel/d6/1504/59/da58319519074d.jpg_480x360x95_9df2c1f2.jpg,3.8,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
阿古拉草原,http://travel.qunar.com/p-oi712091-agulacaoyuan,"

地址:
内蒙古自治区通辽市科尔沁左翼后旗(甘旗卡镇)阿古拉镇

",在科尔沁大草原腹地，保存着一块十分完整的原始草原――阿古拉草原旅游区，距通辽70公里，距大青沟100公里。蒙古族聚居比例达100%。阿古拉历史悠久，文化底蕴深厚，是远近闻名的“风水宝地”，1650年设“府”建旗，是一代名将僧格林沁的家乡，双合尔山在草原上突兀拔起，方园占地百余亩，山高近百米，以“天下第一大敖包”之称称奇宇内外，其成因乃千古之谜。山上有一座清朝雍正年间修建的古白塔属国家级重点保护文物，其建筑制式和造型完全仿北京北海公园之白塔，并称“中华宇内姐妹...在科尔沁大草原腹地，保存着一块十分完整的原始草原――阿古拉草原旅游区，距通辽70公里，距大青沟100公里。蒙古族聚居比例达100%。阿古拉历史悠久，文化底蕴深厚，是远近闻名的“风水宝地”，1650年设“府”建旗，是一代名将僧格林沁的家乡，双合尔山在草原上突兀拔起，方园占地百余亩，山高近百米，以“天下第一大敖包”之称称奇宇内外，其成因乃千古之谜。山上有一座清朝雍正年间修建的古白塔属国家级重点保护文物，其建筑制式和造型完全仿北京北海公园之白塔，并称“中华宇内姐妹双塔”。山脚下曾有过清朝年间所建的双福寺喇嘛庙九九八十一间，巍峨壮观，与北京雍和宫如出一辙，形神俱备。双福寺在香火鼎盛时期曾有喇嘛1300多名，除格根活佛以外，曾有4位转世活佛延续，极为显灵。阿古拉还是全国著名的蒙古族叙事民歌之乡。民间也曾流传着大量真实可歌可泣的达那巴拉、金香、扎那、巴力吉尼玛等传奇故事。草原深处世代家居的阿古拉人民能歌善舞，长期保留着蒙古民族传统的生产、生活习惯，民俗风情浓郁，文化特色鲜明。阿古拉草原旅游区资源得天独厚，在东北区独树一帜。保存完好的万亩原始湿地，风光无限。协日勒万亩封山乔灌丛林，春花秋实，翰海滴翠，位于双合尔山下的白音查干淖尔湖，分“东湖”和“西湖”，稳定水面达4000多亩。四周草木丛生，万鸟云集，已成为北方独具特色的候鸟乐园。,全天,https://img1.qunarzz.com/piao/fusion/1705/af/c04283dfb80ddb02.jpg_480x360x95_bd21d3e9.jpg,3.3,,,免费,,1
塔敏查干沙漠旅游景区,http://travel.qunar.com/p-oi7646161-taminchaganshamolu:you,"

地址:
内蒙古自治区通辽市库伦旗

",塔敏查干沙漠，塔敏查干，蒙语，译为“魔鬼”或“地狱”，号称“八百里瀚海”。在酷热的夏日，沙漠深处偶而会出现“沙市蜃楼”的奇观，或楼台殿阁，或都市风光，绡纵即逝，如梦如幻。它是库伦旗生态旅游中的优良旅游区，也是东北地区最大的沙漠带。2005年，科左后旗投资商在库伦旗瓦房牧场三分场处投资兴建了塔敏查干沙漠旅游区。,7:00-18:00,https://img1.qunarzz.com/travel/d9/1508/b9/a0a6ac84c504c9.jpg_480x360x95_a792c2df.jpg,4.0,,,"票价
 30元

优惠政策
 儿童身高1.2米以下免票；军官持军官证免票。
",,1
奈曼王府Naiman Mansion,http://travel.qunar.com/p-oi709857-naimanwangfu,,,,,,,,,,1
库伦三大寺Three Great Temples of Küriye,http://travel.qunar.com/p-oi711478-kulunsandasi,,,,,,,,,,1
怪山,http://travel.qunar.com/p-oi711520-guaishan,"

地址:
内蒙古霍林郭勒市西北14公里处

",怪山旅游区位于内蒙古霍林郭勒市西北14公里处，距通辽市政府所在地科尔沁区320公里，占地11.4平方公里。景区内分营业区、水库区和自然保护区。怪山由地壳运动时挤压而形成，山脉长度约2000米，海拔1199.3米。闻名于世的怪山耸立在哈布其勒水库岸边，是广阔草原的守护神，原名浑迪罕乌拉，蒙古语意为山谷中的最高峰。因其形状古怪、天气异常、植被在当地罕见且有着悠久的传说而得名。从南方正视，石林直耸云霄，据说古代多凶狠的敌人都无法侵入；从西北方看，是一座莲花佛座，乃神圣宝...怪山旅游区位于内蒙古霍林郭勒市西北14公里处，距通辽市政府所在地科尔沁区320公里，占地11.4平方公里。景区内分营业区、水库区和自然保护区。怪山由地壳运动时挤压而形成，山脉长度约2000米，海拔1199.3米。闻名于世的怪山耸立在哈布其勒水库岸边，是广阔草原的守护神，原名浑迪罕乌拉，蒙古语意为山谷中的最高峰。因其形状古怪、天气异常、植被在当地罕见且有着悠久的传说而得名。从南方正视，石林直耸云霄，据说古代多凶狠的敌人都无法侵入；从西北方看，是一座莲花佛座，乃神圣宝地；从东南远眺，似神女仰卧，安详自然。其脚下的哈布其勒水库由七个神泉吐水而成，泉水清甜可口。怪山自然生态保护区，春天百花盛开，夏季绿树成荫，秋天枫叶似火，冬季白雪茫茫，独具塞外草原风光。项目投资2300万元，一期投入875万元，主要用于哈布其勒水库和蒙古包等设施。二、三期工程将扩建水库，建设一批配套的住宿、餐饮等服务设施，并建设果园、蔬菜和花卉基地，充分利用自然资源，开发具有民族风情、民族文化，可避暑、纳凉的农家大院、蒙古包群等。可开发赛马、狩猎、垂钓、游泳、划船、小学生夏令营等活动。目前已具备年接待9万人次的能力。,全天,,3.0,,,免费,,1
静湖度假村,http://travel.qunar.com/p-oi707315-jinghudujiacun,"

地址:
霍林郭勒市市区北4公里的漫山中

",静湖度假村总面积2万亩，是一处融自然环境与人文景观于一体的、适宜休闲娱乐的好地方。这里独特的气候条件，使它夏季可避暑纳凉，游山玩水，让人心旷神怡；冬天可滑冰玩雪，欣赏雕品，令人赏心悦目。目前已建成蒙古大营餐厅、儿童乐园、水上娱乐等必备项目设施。,全天,,--,,,,,1
御马苑-汗血马主题公园,http://travel.qunar.com/p-oi39316188-yumayuan_hanxuemazhuti,,御马苑-汗血马主题公园位于内蒙古自治区通辽市科尔泌区叫来河大街与304国道交汇处北100米路西，是草原上距京、津、冀最近的蒙古风情和御马文化旅游景区。这里有着纯正的内蒙古草原风情。景区内建有御马馆、御马大酒店、蒙古包等设施。,,,0.0,,,,,1
珠日河牧场,http://travel.qunar.com/p-oi39036648-zhurihemuchang,,,,,4.0,,,,,1
科尔沁左翼后旗浩坦草原,http://travel.qunar.com/p-oi38674664-keerqinzuoyihouqihaotan,,,,,5.0,,,具体收费情况以现场公示为主,,1
