名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
圣莲岛Holy Lotus Island,http://travel.qunar.com/p-oi35832288-shengliandao,,圣莲岛位于遂宁船山区涪江中间，是一个冲积岛。岛的面积很大，现已成为一座生态岛、文化岛、旅游岛，为一体的旅游点。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/9e16c3628b0c83eabe2016c11781818e.jpg_480x360x95_af4f418c.jpg,4.7,建议游览时间：3天 - 6天,,,,1
王家大湾Wangjia Dawan Village,http://travel.qunar.com/p-oi26958969-wangjiadawan,,,,,--,,,,,1
螺湖Luohu Lake,http://travel.qunar.com/p-oi23343236-luohu,,,,,,,,,,1
中国死海旅游度假区China’s Dead Sea,http://travel.qunar.com/p-oi714321-zhongguosihailu:youdu,"

地址:
遂宁市大英县蓬莱镇胡家坝


电话:
0825-6169188

",中国死海旅游度假区位于四川省大英县，地处四川盆地中心地带，距离省会成都市约114 公里，行程大致1小时，距重庆市直线距离约240公里，行程大致2小时。由成都天友旅游集团投资开发，于2003年10月正式对外营业，是国家工商总局核准以“死海”命名的旅游度假区。度假区规划用地2000余亩，现占地约 700亩，利用地下3000米以下丰富的盐卤资源开发以盐卤漂浮、黑泥养生、健康盐疗为特色，并配套水上游乐、住宿餐饮、休闲娱乐等项目，形成了集健康疗养、休闲度假为一体的综合性休闲旅游度假区。,9:00-23:55,https://img1.qunarzz.com/travel/d1/1704/5a/0aeb7afc92bca5b5.jpg_480x360x95_b2716a46.jpg,4.1,建议游览时间：3小时 - 4小时,夏季是游玩的最佳时机。,{'中国死海门票成人票\n\n': ['¥99起']},,1
金华山,http://travel.qunar.com/p-oi711933-jinhuashan,"

地址:
中国浙江金华城北

",位于金华城北，为国家级重点风景名胜区。海拔150-1200米，绵延250平方公里，像一条长龙横卧于古婺大地。全年气候湿润、云雾缥缈，环境清凉宜人，并以林海莽原、奇异洞景和黄大仙真源为特色，被游客公认为休闲度假的仙游胜地。金华山洞奇、石怪、山幽、水秀、山水妙合，林洞掩映，山林水石景点300多个。传说黄大仙在此修炼留下了大量的仙踪和仙物，有关黄大仙的景观多达100多处。金华山在历史上就是道教隆兴之地，是中国道仙的摇篮和云集地之一。许多道教名士都曾游历或修炼于此，至...位于金华城北，为国家级重点风景名胜区。海拔150-1200米，绵延250平方公里，像一条长龙横卧于古婺大地。全年气候湿润、云雾缥缈，环境清凉宜人，并以林海莽原、奇异洞景和黄大仙真源为特色，被游客公认为休闲度假的仙游胜地。金华山洞奇、石怪、山幽、水秀、山水妙合，林洞掩映，山林水石景点300多个。传说黄大仙在此修炼留下了大量的仙踪和仙物，有关黄大仙的景观多达100多处。金华山在历史上就是道教隆兴之地，是中国道仙的摇篮和云集地之一。许多道教名士都曾游历或修炼于此，至宋元右六年婺州太守祈雨北山，从此名声大振，誉为“天下名山”。金华山最著名的是双龙国家风景名胜区。景区内山峰巍峨、林海苍茫、山泉曲曲、云树重重、溶洞争奇、寺观竞荣。双龙风景区是金华山的精华所在，而黄大仙是金华山的灵魂，他匡正去邪，乐善好施，向为后人敬仰，在香港、东南亚、北美地区也有着众多的善男信女。为开发黄大仙旅游资源，1996年修建了气势雄伟的“江南道馆云馆”――黄大仙祖宫。另外还开发了景观奇特、洞中瀑布落差达73米、堪称世界之最的仙瀑洞。并且开始修建具有交通、观景、景观三大功能的仙游索道。金华山游乐公园也已在1999年建成并对游人开放。,全天,,--,,,20元,,1
中国观音故里灵泉风景区Hedong Lianli Park/Lingquan Temple,http://travel.qunar.com/p-oi704030-zhongguoguanyinguliling,"

地址:
四川省遂宁市船山区


电话:
0825-2911123,0825-2910004

",中国观音故里灵泉景区灵泉寺目前作为核心景点，寺庙始建于隋开皇初年（公元581—600年之间），距今已有1400余年悠久历史，灵泉寺前身又名资圣禅院，南宋宝佑六年（公元1268年）灵泉山顶绝壁处一口泉眼（现观音殿内），泉水绀碧甘美，长年不溢不涸，北宋大诗人苏东坡曾题写一首名为“七泉”的诗用来赞美此水：“泉泉泉泉泉泉泉，古往今来不记年，玉斧劈开天地髓，金钩钓出老龙涎”，引得民间百姓慕名而来，在明孝宗弘治三年时（公元1490年）更名灵泉寺，一直沿用至今。寺庙分为上下庙，整体依山而建，每年农历二月十九、六月十九、九月十九三大香会节期间，游客、信众如云，齐聚灵泉，场面壮观。,全年 08:30-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1559676095637100l15000000xagdtA0FC_D_640_10000.jpg_480x360x95_270e45fe.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'灵泉寺风景区门票成人票\n\n': ['¥33起'], '灵泉寺风景区门票学生票\n\n': ['¥20起'], '四川遂宁图乐沙滩车俱乐部【免费体验弓箭、弹弓】\n\n': ['¥168起']}",,1
广德寺风景区Guangde Temple Scenic Area,http://travel.qunar.com/p-oi704061-guangdesifengjingqu,"

地址:
遂宁市船山区广德路中国观音故里广德景区


电话:
0825-2929002

",中国观音故里旅游区广德风景区位于遂宁城西2里处，景区以广德寺为核心景区，始建于唐朝（公元618年前后），距今已有近1400年历史。 自唐代宗永泰元年（公元765年）克幽禅师开山阐教以来，香火兴盛，高僧辈出。历受唐、宋、明三朝九帝十一次敕封，是古代较早钦定的观音道场。寺庙依山而建，规模宏大，曾主领川、滇、黔三百余佛教寺院，建筑形仿京城故宫排列。广德寺建筑总面积达二万八千余平方米，其中明清建筑共有十一处，建筑面积5632.69平方米，为全川之冠。千百年来，广德寺作为观音道场、四海归崇、龙天敬仰、六和僧集，到寺庙许愿和还愿的信众络绎不绝。广德寺贵为禅林，到此祈官、发财的香客、信众也是纷至沓来，多有灵验，广为传颂。千百年传承下来的“广德六宝”更是世间罕见的珍贵文物和广德寺厚重历史文化积淀的佐证。2006年广德寺被列为全国文物保护单位。经过景区多年的营销和宣传，广德景区游客、信众数量不断攀升，年接待量已突破百万人次。广德寺现有的六件镇寺之宝，见证了传承千年的观音文化和文化，它们是：圣旨牌坊、善济塔、西来玉佛、九龙碑、观音珠宝印、四国文玉印。,全年 08:30-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1551815570485100a12000000rl686C38A_D_640_10000.jpg_480x360x95_dbcc705a.jpg,4.5,建议游览时间：2小时 - 3小时,,"{'灵泉寺风景区门票成人票\n\n': ['¥33起'], '灵泉寺风景区门票学生票\n\n': ['¥20起'], '四川遂宁图乐沙滩车俱乐部【免费体验弓箭、弹弓】\n\n': ['¥168起']}",,1
中国侏罗纪硅谷,http://travel.qunar.com/p-oi702395-zhongguozhuluojiguigu,,龙凤峡是一条绝对能让游客惊呼的神秘峡谷。因为峡谷地貌一般出现在高山林立地方，而在川中丘陵地区这样的峡谷显得十分罕见。此外，恐龙化石、硅化木，这两个带着侏罗纪尘灰的名词更是增加了龙凤峡的神秘性。当地官员透露，“在2003年以前，龙凤峡的硅化木曾长期被当地部分老百姓错认成棺材木化石，认为很不吉利。也有一些老百姓认为它是龙骨石，弄来砸碎研磨成粉末可以疗伤止血。,,,--,,,,,1
蓬溪白塔公园,http://travel.qunar.com/p-oi40004707-pengxibaitagongyuan,,白塔公园位于蓬溪县，有白塔、健康长廊等景观，是一个集古迹保护、文化展示、绿色生态等功能为一体的综合性城市公园。,,,0.0,,,,,1
小懒猫亲子乐园,http://travel.qunar.com/p-oi39599025-xiaolanmaoqinzileyuan,,,,,,,,,,1
