名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
"赤水丹霞旅游区·佛光岩Foguang Rock, Chishui Danxia Tourist Area",http://travel.qunar.com/p-oi10007409-chishuidanxialu:youqu,"

地址:
遵义市赤水市元厚镇佛光岩景区


电话:
0851-22863700

",佛光岩景区素有“丹霞第一园”、“赤景一绝”等美誉，以“丹霞绝壁、天下奇观”的大白岩和“天造地设、鬼斧神工”的五柱峰为主体景观，丹霞地貌、奇峰异石、绝壁岩穴、五柱峰、白龙瀑、丹霞城堡、茶花林等30多个靓景奇观，由小金驿沟、世外桃园、太阳谷、犁辕沟、豹子沟等五大景段构成，面积20平方公里，集新、奇、险、秀、幽、野六大特色为一体，是赤水国家重点风景名胜区的重要组成部分，不可多得的精品自然生态旅游风景区。佛光岩景区出露地层全是侏罗纪、白垩纪河湖相红色沉积岩。这种特殊的地貌在差异风化，重力崩塌、风雨侵溶等物理生化综合作用下，形成宝塔状、城堡状、针状、柱状、棒状、方山状、峰林状等无数奇异的丹霞地貌景观，丹岩绝壁、奇峰异石、崖廓岩穴比比皆是、多不胜数，大地山崖呈现出红艳艳的赤红色彩。因此，佛光岩景区便被誉为“赤水乃至中国侏罗纪、白垩纪丹霞地貌发育最好，出露最齐，特色最典型的景区之一”。景区丹霞地貌环境涵养水分多，气候条件复杂多样，消水洞、泉水极为发育，溪流落差大，多瀑布；植物类群多达2000多种，珍稀植物20多种，植物生长繁茂、森林覆盖率达95%以上；野生动物有400多种，珍稀动物10多种，种群多样，繁衍快速、数量众多，自然生态系统完整。当地“一山有四季、十里不同天”、“山下桃花山下雪”、“猴子林、野猪窝”等农谚，恰好成为景区自然生态的最真写照。,03/01-10/31 08:00-16:30;11/01-2/28 08:00-16:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202010/014fef2c335a60b2098b87e5a7ac4eef.jpg_480x360x95_b7f397b7.jpg,4.6,建议游览时间：3小时 - 4小时,,"{'赤水丹霞旅游区·佛光岩门票成人票\n\n': ['¥75起'], '赤水丹霞旅游区·佛光岩门票青少年票\n\n': ['¥40起'], '赤水丹霞旅游区·佛光岩双程观光车票成人票\n\n': ['¥25起']}",,1
遵义会议会址Site of the Zunyi Conference,http://travel.qunar.com/p-oi712993-zunyihuiyihuizhi,"

地址:
遵义市红花岗区遵义老城子尹路96号


电话:
0851-28257409,0851-28229870

",遵义会议会址原为黔军25军第二师师长柏辉章的私人官邸，整个建筑分主楼、跨院两个部分。主楼的走廊是一个观景、拍照的好地方，这里可以看到周围苍翠挺拔的群山指点昔日红军二占遵义时与敌军鏖战地红花岗、插旗山、玉屏山、凤凰山诸峰。在遵义会议会址游览，必然要接受爱国主义教育。游客可以回味那段艰辛的历史，观赏许多历史照片和文字资料，还有各种革命先烈生前用过的物品。这里是增长历史知识和缅怀革命先烈的地方，值得一游。1935年1月上旬，中国工农红军第一方面军长征到达遵义后，中华苏维埃共和国中央革命军事委员会总司部与一局即驻在这幢楼房里。遵义会议，在中国革命的危急关头，挽救了党，挽救了红军，挽救了中国革命，是我党历史上一个生死攸关的转折点。,8:30-17:00；每周一闭馆。,https://img1.qunarzz.com/travel/d6/1506/1d/8eaaa8fa98b047.jpg_480x360x95_f16d3beb.jpg,4.6,建议游览时间：2小时 - 3小时,一年四季皆可游览。,"{'遵义会议会址电子导览服务大小同价\n\n': ['¥7起'], '可选直通车·贵阳遵义会议一日游 息烽讲解费+景区摆渡车\n\n': ['¥169起'], '贵州遵义会议会址+息烽集中营纯玩一日游\n\n': ['¥229起']}",,1
仁怀茅台镇Renhuai Maotai Town,http://travel.qunar.com/p-oi708666-renhuaimaotaizhen,"

地址:
遵义市仁怀市茅台镇


电话:
0851-22331308

",茅台镇位于仁怀市赤水河畔，是川黔水陆交通的咽喉要地，也是国酒茅台的发源地。在茅台镇可以了解到茅台酒的文化和红军的历史，既能增长知识，也能增强爱国主义情怀。在茅台镇内漫步，能感受到空气中都散布着微微的酒香，让人有点醉醉的感觉。国酒文化城是必去的景点之一，在这可以了解到中国酒的发展历程和有关茅台酒的各种故事和知识。还可以去红军四渡赤水渡口纪念陈列馆参观，了解红军老战士对茅台酒的钟爱，接受爱国主义教育。,全年 全天开放,https://img1.qunarzz.com/travel/d8/1611/af/7da01b42b47b41b5.jpg_480x360x95_ca0b5338.jpg,4.6,建议游览时间：2小时 - 4小时,,{'【贵阳热门核心】梵净山2日●超长游览时间●100%纯玩高端游\n\n': ['¥499起']},,1
中国傩城Nuo Town,http://travel.qunar.com/p-oi10095357-zhongguonuocheng,"

地址:
贵州省道真县文家坝


电话:
19115155665

",中国傩城是中国傩戏学会授牌的傩戏文化研究中心，是当今世界较大的傩文化古城。其整体布局契合金、木、水、火、土五行相生原理，融入福、禄、寿、喜、财祥瑞元素。在继承和发扬原始文化的同时，赋予其新的时代特征，以科学的规划和精心的打造，集中展示出傩文化的精髓。非物质文化遗产——傩戏，被称为“人类文明的活化石”，是远古时代图腾崇拜时期的一种祭祀仪式。傩戏、傩祭、傩舞承载着仡佬族人祈福纳祥，祛病消灾的美好愿景。,全天开放,https://img1.qunarzz.com/travel/d2/1805/a7/dde2d54a061ddb5.jpg_480x360x95_3b05371b.jpg,4.3,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
赤水河Chishui River,http://travel.qunar.com/p-oi705978-chishuihe,"

地址:
遵义市赤水市

",刚毅与轻柔合二为一，成就了遵义赤水河的秉性：两岸既有青山如黛，又不乏石林“面目狰狞”暗自涌动；论惊险，有十里长滩景区的危崖峭壁、急浪冲天，论恬静，有三棵桩景区的榕树夹岸，翠竹堆浪。在发育成熟的丹霞地貌上，奔腾着赤水河上壮观的景观―――十丈洞瀑布。画坛大家刘海粟先生曾誉之为“空谷佳人”。赤水号称有千瀑，除了大气磅礴的十丈洞瀑布外，四洞沟瀑布的性情则要舒缓许多。 近河锦囊：赤水到四洞沟有15公里路程。从赤水到十丈洞约42公里，每人10元左右。住则可以选择赤水宾馆或者赤水大酒店，与大河亲近的较好方式自然是漂流，由茅台镇至二郎滩的十里长滩浪涌滩多，时缓时急。赤水河畔茂林修竹，可以挑几样当地特产的竹编工艺品带回家，推荐全竹香扇。饮食方面，一定要尝一尝产自赤水河的青驳鱼和鲢鱼。若时间富足，可顺便参观茅台酒文化城和红军四渡赤水纪念塔。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1704/24/973979fc7b55bdb5.jpg_480x360x95_3bca99da.jpg,4.6,建议游览时间：1小时 - 3小时,四季皆宜。,具体收费情况以现场公示为主,,1
四洞沟景区Four Caves Valley Scenic Area,http://travel.qunar.com/p-oi716960-sidonggoujingqu,,,,,,,,,,1
丙安古镇Bing'an Ancient Town,http://travel.qunar.com/p-oi707787-binganguzhen,"

地址:
遵义市赤水市丙安乡


电话:
0851-22991118

",丙安古镇是个典型的川南黔北交界的古老场镇，处于川黔古道上。丙安古镇三面濒临赤水河，你可以看到河边建有许多由数百根圆木支撑在岩石上的吊脚楼，非常壮观，在这拍摄一些照片很不错。镇上只有一条狭窄的石板街，长约400米，从古至今一直是周围几个村寨商品交易的重要场所。这里的商业气氛也不是很浓，有各种当地特产和工艺品。如果对历史感兴趣的游客可以去红一军团陈列馆参观，了解红军四渡赤水的历史。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d7/1710/ec/5c05e7551c7624b5.jpg_480x360x95_4f3e9b4d.jpg,4.2,建议游览时间：1小时 - 2小时,,{'丙安古镇电子导览服务大小同价\n\n': ['¥7起']},,1
赤水丹霞旅游区·大瀑布Chishui Danxia Tourist Area · Great Waterfall,http://travel.qunar.com/p-oi702698-chishuidanxialu:youqu,"

地址:
赤水市两河口乡赤水丹霞旅游区大瀑布景区


电话:
0851-22021260,0851-22863700,0852-2261329

",景区中最有名的当属其中的赤水大瀑布了，又名十丈洞瀑布，位于贵州省赤水市南部。瀑布悬挂在红色丹霞悬崖上，比黄果树瀑布还要高8米，因此来景区游玩，瀑布是必游的。游客走过景区大门有一条岔路，一边是游客步行的路，另一边是电瓶车走的公路，可自行选择。步道的路上可以一路欣赏丹霞地貌，呼吸新鲜空气。走到底就是赤水大瀑布了，壮美的瀑布倾泻入潭水，溅起的水花晶莹剔透，发出的瀑布声轰鸣震耳，运气好的话在阳光下还能看到彩虹。攀上潭水中的巨石，就能近距离感受瀑布。,全年 08:00-17:00,https://img1.qunarzz.com/travel/poi/201408/07/6698b86e37d4b5c9c8d65eac.jpg_480x360x95_7b7a0e78.jpg,4.6,建议游览时间：2小时 - 3小时,四季皆宜。,"{'赤水丹霞旅游区·大瀑布门票成人票\n\n': ['¥75起'], '赤水丹霞旅游区·大瀑布门票青少年票\n\n': ['¥40起'], '赤水丹霞旅游区·大瀑布门票+往返观光车票成人票\n\n': ['¥95起']}",,1
佛光岩,http://travel.qunar.com/p-oi7469482-foguangyan,"

地址:
贵州省赤水市元厚镇境内

","五柱峰景区（又名佛光岩景区），距赤水城区44公里，距丙安古镇30公里，是赤水国家级名胜区的重点组成部分。其三面与赤水桫椤国家级自然保护区相连，其峰大多在1200米以上，形成了壮丽秀美、形态各异的丹霞绝壁景观。在五柱峰面积为20平方公里的范围内,浓缩了丹霞、瀑布、常绿阔叶林。在这封闭的自然生态环境内,海拔从300多米直至1300米,形成了沟谷纵横,森林密闭、瀑布壮观、丹霞雄奇、人迹罕至,保存了完整的热带生物生态系统,具备了优质旅游开发的前提条件,为游人提供了高品位、高档次...五柱峰景区（又名佛光岩景区），距赤水城区44公里，距丙安古镇30公里，是赤水国家级名胜区的重点组成部分。其三面与赤水桫椤国家级自然保护区相连，其峰大多在1200米以上，形成了壮丽秀美、形态各异的丹霞绝壁景观。在五柱峰面积为20平方公里的范围内,浓缩了丹霞、瀑布、常绿阔叶林。在这封闭的自然生态环境内,海拔从300多米直至1300米,形成了沟谷纵横,森林密闭、瀑布壮观、丹霞雄奇、人迹罕至,保存了完整的热带生物生态系统,具备了优质旅游开发的前提条件,为游人提供了高品位、高档次旅游自然景观。景区环境古朴原始，植物群落多样，生态系统完整，风光靓丽，景观以丹霞地貌为典型，素有“世界丹霞之冠”、“世界丹霞第一园”之美誉。",淡季（12月-次年3月）8:00-16:30旺季（3月-11月）8:00-17:00,https://img1.qunarzz.com/travel/poi/1408/27/437f1975b5175e1fffffffffc8d65eac.jpg_480x360x95_f0ab8c0a.jpg,4.6,建议游览时间：4小时,适宜月份：3月、4月、5月、9月、10月,,淡季（12月-次年3月）8:00-16:30旺季（3月-11月）8:00-17:00,1
赤水丹霞旅游区·燕子岩Chishui Danxia Tourist Area -- Swallow Rock,http://travel.qunar.com/p-oi702638-chishuidanxialu:youqu,,,,,,,,,,1
