名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
开元寺Kaiyuan Temple,http://travel.qunar.com/p-oi714046-kaiyuansi,"

地址:
邢台市桥东区开元北路66号


电话:
0319-8765911

",位于正定常胜街西侧，原名净观寺，始建于东魏兴和二年(540)，隋开皇十年(591)改名解慧寺。唐开元二十六年(738)奉沼改今名。现存的建筑却是显著的唐代风格。与其他寺院的布局不同，开元寺并非采用的对称布局，而是塔和钟楼并列而立。至清后期，因年久失修，寺院废毁，仅存钟楼和须弥塔。钟楼：河北现存年代较早的一座木结构钟楼，也是北方时代较早的一座。钟楼上挂铜钟一口，高2.9米，口径1.56米，厚15厘米，造型古朴，为唐代遗物。钟楼为砖木结构的二层楼阁式建筑，平面呈正方形。面阔、进深各三间，建筑面积135平方米。单檐歇山顶，上布青瓦，通高14米。其大木结构、柱网、斗拱都展示了唐代建筑艺术风格。甚至上层木构件还有相当部分保持了唐代原貌。钟楼是一座两层楼阁，可以登上去，但台阶实在陡峭得很。在二楼可以看到屋顶的木结构和那口大钟。钟楼的屋檐四角也悬有风铃，和正定的其他几座寺庙一样，这里的风铃的铃舌也是四瓣心形的，非常漂亮。,全年 8:30-16:00,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/39032b83-b818-4e01-a085-aeffb3874c8a.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
扁鹊庙Ancestral Temple of Bianque,http://travel.qunar.com/p-oi716016-bianquemiao,"

地址:
邢台市内丘县


电话:
0319-6801237,0319-6986699


官网:
http://www.bianquemiao.com/

",扁鹊庙又名鹊山庙，鹊王庙，位于内丘县城西侧约20公里处，距离邢台市区车程约50公里。庙宇始建于汉朝，是历史为悠久、规模为宏大的纪念神医扁鹊的庙宇。春秋时，扁鹊曾为晋大夫赵简治好其儿子的病，大夫为表感谢将这一块土地赐给扁鹊。所以这里是扁鹊真实生活过的地方，是其第二故乡。扁鹊庙的规模很大，除了纪念扁鹊外，这里也是当地的道教庙宇，每年节庆时都会有人来此参拜祈福。庙宇的南北纵深约有300多米，宽约120米，在其中游览大约需要2-3小时左右。扁鹊庙大门外的对面有九颗巨...扁鹊庙又名鹊山庙，鹊王庙，位于内丘县城西侧约20公里处，距离邢台市区车程约50公里。庙宇始建于汉朝，是历史为悠久、规模为宏大的纪念神医扁鹊的庙宇。春秋时，扁鹊曾为晋大夫赵简治好其儿子的病，大夫为表感谢将这一块土地赐给扁鹊。所以这里是扁鹊真实生活过的地方，是其第二故乡。扁鹊庙的规模很大，除了纪念扁鹊外，这里也是当地的道教庙宇，每年节庆时都会有人来此参拜祈福。庙宇的南北纵深约有300多米，宽约120米，在其中游览大约需要2-3小时左右。扁鹊庙大门外的对面有九颗巨型的古柏，也被成为九龙柏，古木高耸参天，展现了这里的历史悠久。古柏下有一座回生桥，也是纪念传说中扁鹊可以起死回生的神奇医术，目前很多游客走回生桥都是为了给自己祈求健康长寿，走过回生桥，便进入到庙宇内。庙内建筑众多，山门、回升桥、扁鹊庙、桥楼殿、三清殿、献殿、寝宫殿、阎王庙、戏楼、道士院、报厦殿、后奶奶庙、睡呼庙、老母庙、玉皇殿、纺花洞、老君洞、鬼王庙、祖师庙、牛王庙、火神庙、百子殿等28个庙殿。其中扁鹊庙是主体的建筑，里面供奉了神医扁鹊极其10大弟子的塑像，另外的殿堂内分别供奉了三清、玉皇大帝、太上老君等众多道教的神像，可以一一参拜。在院落内，还有一座扁鹊墓，传说是在扁鹊被秦太医杀害后，当地人民不远千里到山西偷回了扁鹊的头建墓埋葬，因此这里的村名就叫“神头村”，可以在这里参观祭奠。,全年 08:30-17:30,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1551139002561100211000000rhvb1C210_D_640_10000.jpg_480x360x95_232204cc.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'扁鹊庙门票成人票\n\n': ['¥35起'], '扁鹊庙（不含景区门票）地图定位自动中文语音讲解服务成人票\n\n': ['¥0.5起']}",,1
秦王湖Qinwanghu,http://travel.qunar.com/p-oi715647-qinwanghu,"

地址:
邢台沙河市329省道（南石公路）旁


电话:
0319-8671888


官网:
http://www.qinwanghu.com/

",位于沙河市西30公里处，距邢台市50公里。湖四周奇峰回列，沟谷幽深，山岳、湖泊、沟谷相得益彰，有“三峡四沟五十景”。狮子峰、秦王峰、莲花峰、和尚峰、五仓峰、老君台、漆泉寺、太行大渡槽等各具特色。秦王湖是隋末唐初秦王李世民大战刘黑闼起义军之处，唐军和义军在此地大战三天三夜，血流成河。为了纪念阵亡战士，李世民命大将尉迟敬德临修漆泉寺，以慰英灵。此地还有许多关于李世民的传说和故事。,8:00-20:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1554750253166100o0t000000ia0tnBDFB_D_640_10000.jpg_480x360x95_4c179521.jpg,4.3,建议游览时间：2小时,,"{'秦王湖门票成人票\n\n': ['¥9.9起'], '秦王湖门票+游船票成人票\n\n': ['¥69.9起'], '秦王湖电子导览服务大小同价\n\n': ['¥6起']}",,1
毛毛虫小镇,http://travel.qunar.com/p-oi39604257-maomaochongxiaozhen,,邢台毛毛虫小镇位于邢台园博园现代农业园内，该园区集游乐、运动、趣味、探索为一体的新型综合性儿童乐园，也是中小学生农耕文化研学基地，园区内有萌宠乐园、宠物寄存、农事体验、彩虹滑道、卡丁车、旋转木马、丛林穿越、坑爹过山车、小猪快跑等,,,5.0,,,,,1
英谈古寨Yingtancun,http://travel.qunar.com/p-oi23341782-yingtanguzhai,"

地址:
邢台市信都区英谈村

",英谈古寨，位于河北省邢台市邢台县西部山区路罗镇。2008年10月23日，磁县滏阳桥被河北省人民政府公布为第五批省级文物保护单位。2009年被中国景观村落终审会评为“中国景观村落”；2013年被国家授予“中国传统村落”称号。据传古寨是唐朝黄巢起义军留下的营盘的地方，明朝永乐年间，山西一位路姓的大户举家来此落户，岁月流逝，原来的营盘，被乡民们叫来叫去（用了谐音）叫成了今天的名字英谈。路考察此村始建于明朝永乐年间，至今有600多年的历史，村内67处院落依山就势，高低错落，...英谈古寨，位于河北省邢台市邢台县西部山区路罗镇。2008年10月23日，磁县滏阳桥被河北省人民政府公布为第五批省级文物保护单位。2009年被中国景观村落终审会评为“中国景观村落”；2013年被国家授予“中国传统村落”称号。据传古寨是唐朝黄巢起义军留下的营盘的地方，明朝永乐年间，山西一位路姓的大户举家来此落户，岁月流逝，原来的营盘，被乡民们叫来叫去（用了谐音）叫成了今天的名字英谈。路考察此村始建于明朝永乐年间，至今有600多年的历史，村内67处院落依山就势，高低错落，具有丰富的内涵和典型的古太行建筑风格，是我省目前发现保存完好的石寨。英谈村建筑多为明清时所遗存，筑有围寨墙，留有四门，错落有致，该村民风纯朴，热情好客。,全年 08:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ed469e94bde2fc989476d0d3ebcc03dc.jpg_480x360x95_f1c570b8.jpg,4.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
兴台古镇Xingtai Ancient Town,http://travel.qunar.com/p-oi20961715-xingtaiguzhen,"

地址:
邢台市邢台县兴台古镇


电话:
,

",兴台古镇位于邢台县龙冈经济开发区，古镇中，曲桥卧波，亭台楼阁，如入诗境，如临画卷。兴台古镇分为中华财神第一阁、大戏楼、福禄寿三星报喜台、民俗文化体验区、饮食文化体验区、酒文化体验区六个区域。,8:30-18:00，17:30停止入场。,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/8f3ea5c6-19d3-40c5-a2f9-2b24a8243f0a.jpg,3.8,建议游览时间：12小时 - 3天,,88元,,1
清风楼Qingfenglou,http://travel.qunar.com/p-oi713736-qingfenglou,,清风楼原坐落于府衙前，为府衙的组成部分。清风楼始建年代不详，据《顺德府志》记载，清风楼“建自唐、宋”，后因战乱等故被毁坏。明朝宪宗成化三年（公元1467年），邢台知府黎光亨不惜巨资重新修建。重建后的清风楼具有典型的明代建筑风格，为重檐歇山式结构，楼高7丈余，下面砖石筑台，上面斗拱飞檐，气宇轩昂，庄严雄伟。清风楼共分三层。一层为砖石筑台，中间有拱形圈门，门内既可通车，又能行人，还是夏日消暑纳凉的好地方。二层四周用青砖围成花栏，中间为正厅，前后两门对开。厅内西南角的墙壁上镶嵌有春夏秋冬四季诗画石刻一组，相传为唐代大诗人王维所作，具有一定的历史和艺术价值。可惜春景逸失，现只存夏、秋、冬三块。另有清风楼题记石刻十块存于室内。三层为木质结构，四面开门，顶檐下有一巨匾，上书“清风楼”三个大字，苍劲秀雅，细镌精剔，原为明代一宰相所书。市肆鳞次栉比，太行远山青黛，邢州全景尽收眼底，故有“郡楼远眺”之称，为旧时“邢台八景”之一。,,https://img1.qunarzz.com/travel/poi/1803/1d/b7dbd783944e4c37.jpg_480x360x95_3bdc6057.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
北武当山North Wudang Mountain,http://travel.qunar.com/p-oi713981-beiwudangshan,"

地址:
邢台市沙河市蝉房乡大欠村


电话:
0319-8670999

",位于河北省邢台沙河市西部山区，主峰海拔1437.3米，俗称“老爷山”，距市区60公里，是河北省重点风景名胜区。  该山气势雄伟，植被繁茂。有太行山中罕见的三万亩公林，植被覆盖率达70％。山顶有真武大帝庙，相传为道教护法大神真武大帝当年修行悟道之福地。另外还有菩萨殿、碧霞殿、药王殿等。古庙经历年修缮，大体可观。整座建筑规模虽不甚大，但因高踞于三面绝壁之峰巅，故颇有威风凛凛、势压群峰之感。此外，据《道藏》和当地民间传说，当年真武曾在沙河北武当山出家修道，得到正果后辗转到湖北等地传经布道，这个过程便是民间传说“修道于北方，布道于南方”的起因。之后于明代，道家真人张三丰也曾寻着真武的仙迹，莅临北武当山讲经传道。据传说，张三丰当年收徒传道的地方就在沙河市北武当山脚下大欠村南的一块地方，后人将此地命名为“道庄”。关于该山，当地有许多民间传说，如老爷修行的故事、老爷与小西天奶奶的故事等，至今流行很广。目前，仍留有很多与这些传说有关的遗迹，如拴马桩、磨针沟、舍身崖、车辙印等。  为了开发旅游资源，发展旅游事业。2001年11月重新修建了“南岩宫”。该宫占地面积5亩，建筑设计规模宏伟，造型古朴典雅，香火十分旺盛。另外北武当山景区内的自然生态环境很好。野生动物很多。有刺猬、獾、松鼠、狐、狼、野猪、穿山甲、喜鹊、山鸡、斑鸠、猫头鹰、布谷鸟、黄鹂、山雀、画眉等数十种禽兽。中草药分布也十分广泛，象当归、党参、何道乌、柴胡等，遍地皆是。,目前景区已暂时停业，具体开放时间详见景区公示，原开放时间8:00-18:00。,https://img1.qunarzz.com/p/tts4/1712/25/18a26961b3e5f302.jpg_480x360x95_e6befc74.jpg,3.7,建议游览时间：3小时,,"{'大门票成人票\n\n': ['¥18.8起'], '北武当山电子导览服务大小同价\n\n': ['¥7起']}",,1
天河山Tianhe Mountain,http://travel.qunar.com/p-oi706343-tianheshan,"

地址:
邢台市邢台县白岸乡清泉村天河山景区


电话:
4008565657,0319-2716666,0319-2251188


官网:
http://www.tianheshan.com/

",天河山位于邢台市西侧，距离市区车程约70公里，是一处山清水秀的自然风景区。这里传说是牛郎织女故事的发源地，山间可以参观很多以牛郎织女的爱情故事为主题的景点，因此也被称为“中国爱情山”。游客来此可以在树林溪水之间登山漫步，观赏反映爱情文化的特色景点，还可以体验景区内的拓展娱乐和刺激的漂流活动。天河山景区的面积较大，大部分游客游玩时都会选择一个小环线，即从大门经爱情广场、三岔口等步行至情人谷、牛郎庄，然后爬月老峰，沿着二郎峡返回三叉口附近下山。小环线的步行时间大约3小时左右，景区内大部分的精华景点都集中在这里。另外还有一处大环线，即到达牛郎庄后继续前行，一直爬到景区深处的夫子岭处，然后沿着龙脊岭长廊返回，大环线距离较长，全程大约需要1天时间，很少有游客会走。景区的小环线上，分别会经过锅穴、红河谷、鹊桥、情人谷、牛郎庄、月老峰、二郎峡等景点，有池塘、水流和峡谷内形状独特的岩壁和巨石，还有反映牛郎织女文化的景点等。其中情人谷是景区内的标志性景点，在相望的两座山上雕琢了巨大的牛郎织女雕像，两人隔空对望，场面动人，很多情侣都会在这里留影纪念。月老峰地势较高，在这里可以俯瞰景区下面的湖泊、山崖，还能从高处拍摄相望的牛郎织女雕像，视野非常开阔。大环线的景点较少，有冀南银行、水格叠大坝、清凉谷等，可以简单参观一下。前来的游客也比较少，不过山间空气清新，到处都有绿树和河水相间，对于喜欢爬山的游客也是个不错的地方。除了两条环线上的景点外，三岔口以下的山下部分也有一些可以参观的景点，其中以爱情博物馆较有名，可以进入参观爱情主题的展览，不过展馆需要单独收费30元每人。另外，景区内的娱乐项目也是一重要的地方，其中以漂流较为精彩。漂流的起点位于三叉口旁，直到山下大门附近，全程3.6公里，落差很大，非常刺激。如果要玩的话，可以买漂流和门票的联票，大约148元/人（漂流仅在夏季开展，而且要每天下午三点前赶到漂流点）。另外还有一些拓展项目、高空索桥、碰碰船、真人CS项目等，一般每人收费50-60元左右。,7:00-18:00,https://img1.qunarzz.com/travel/d6/1611/77/3cf7a7f20c9079b5.jpg_480x360x95_6a2c77e8.jpg,4.5,建议游览时间：12小时 - 3天,,"{' 天河山门票成人票\n\n': ['¥65起'], ' 天河山门票优待票\n\n': ['¥35起'], '天河山门票+漂流票成人票\n\n': ['¥138起']}",,1
天梯山景区Tianti Mountain Scenic Area,http://travel.qunar.com/p-oi702420-tiantishanjingqu,"

地址:
邢台市邢台县西黄村镇东牛庄村


电话:
0319-2868198

",天梯山景区位于邢台市西郊，是邢台周边郊游登山的好去处。天梯山地貌险峻，石壁陡峭，有一条陡峭的石阶沿山而上，因此得名，这条石阶现在就是景区内的爬山步道。步道间有悬空桥、吊桥惊险刺激，两旁的山体间则是几十个形状各异的天然山洞，山洞里有神像、佛像、石刻等历史古迹可以参观。在天梯山脚下还有一个地下水道金水洞，可以乘船进入欣赏溶洞美景。景区面积不大，可以步行游玩，徒步爬山并下山大约需要2-3个小时。游玩天梯山景区一般都会先进金水洞，然后爬山，全程大约3-4小时即可完成。景区的大门位于东侧，从山门进入后很快便可以来到金水洞的入口，选择入洞的游客便是从此处进入。金水洞的前半段是水路，大约400米，需要乘船，后半段则是旱路，大约700米，需要下船在洞内步行游览，整个探洞大约需要1小时。金水洞里面有很多的地下洞厅，较大的厅有200多平方米，行走在其中有种别有洞天的感觉，洞内以钟乳石为主，可以看到典型的溶洞风光，彩色灯光照映下奇幻瑰丽，可以一一欣赏。沿着旱道一直向洞内走到尽头便是金水洞的另一个出口，出口位于山脚靠近登山步道的起点，不进洞的游客也可以从大门步行来到此处开始爬山。登山步道大约有几百级石阶通上山顶，石阶较为陡峭，需要一定的体力。爬山时会看到石猴沐风、唐僧取经等山行构成的景观，还可以在山顶的玉皇庙外向下远眺，另外，步道间的悬空桥、吊桥等都是非常刺激的特殊体验。重要的则是山上的几十座山洞，山洞形状各异，有七座天窗的七星洞、供奉宋代佛像的古佛洞等等，很多洞内都有古代的石刻或佛像，非常值得参观。爬山的路是由山体的西侧上行，到达山顶后从东侧的山路下山，下山到圆梦洞附近时还可以选择体验滑道下山，惊险刺激。乘坐滑道或从台阶步行下山后即可返回。,8:00-17:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1562526831496100l16000000yzifk6460_D_640_10000.jpg_480x360x95_9d73a200.jpg,4.3,建议游览时间：2小时 - 4小时,,"{' 天梯山景区门票成人票\n\n': ['¥26.9起'], '天梯山景区+金水洞门票成人票\n\n': ['¥59.9起'], '天梯山电子导览服务大小同价\n\n': ['¥10起']}",,1
