名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
崀山国家级风景区Langshan Mountain,http://travel.qunar.com/p-oi701719-langshanguojiajifengjing,"

地址:
邵阳市新宁县崀山镇S218省道附近崀山风景名胜区


电话:
0739-4705110,0739-4705478


官网:
http://www.langshanhong.com/

",崀山是典型丹霞峰林地貌，是一块以水秀、山美、洞奇著称的风光宝地。在崀山这片土地上，突起的石林群落，复杂的石灰岩溶洞，神秘的峡谷群和美丽的扶夷江流，构成了碧水丹崖的自然景观。景区有3座天生桥；有10处一线天；有10个各具特色的溶洞；有8条溪河纵贯全境；有20余条壮观的峡谷；有许多的奇花异草，走兽飞禽。撮其大要来说，在这100余平方公里的丹霞地貌内，分为天一巷、辣椒峰、夫夷江、八角寨、紫霞峒、天生桥六大景区。崀山自然景观独具特色，资江上游的夫夷江（夫夷水）蜿蜒贯穿南北，风光如画，有桂林的美丽；有青城山的幽静；有泰山的雄奇。夫夷水常年水流不断，清澈见底。植被茂盛，生长着许多珍稀名贵物种，有“植物熊猫”银杉、珙桐、国家保护动物华南虎、云豹、锦鸡、灵猫等。森林覆盖率超过70%，生态环境非常优越。崀山人文景观同样非常丰富。有出土的10万年前的猕猴头骨化石，4500年前的新石器文化遗址，历代农民起义的古战城堡，晚清重臣的宗祠墓葬。汉、瑶、苗、壮民族杂居，民族风情异彩纷呈。崀山辖天一巷、辣椒峰、夫夷江、八角寨、紫霞峒、天生桥六大景区，其中著名的景观有“崀山六绝”，更是堪称世界奇观：第一绝是天下第一巷：位于天一巷景区，全长238.8米，两侧石壁高120—180余米，宽处0.8米，窄处0.33米，可谓世界一线天绝景。2009年，崀山天一巷入选世界纪录协会世界第一巷，创造了世界之最。第二绝是鲸鱼闹海：位于八角寨景区，俯视峡谷，浮云飘渺，奇峰异石，时而露出头尾，恰似千万条鲸鱼在海中嬉戏；第三绝是将军石：位于夫夷江景区，海拔399.5米，石柱净高75米，周长40米，沿夫夷江漂流而下，只见将军石背负青天，下临夫夷江，昂首挺胸，披星执锐，虎虎声威；第四绝是骆驼峰：位于辣椒峰景区，峰高187.8米，长273米，有两处凹陷，分成骆驼头，骆驼背峰和骆驼尾，形象逼真，惟妙惟肖；第五绝是天生桥：桥墩长64米，宽14米，高20米，桥面厚度5米，全桥呈圆拱形，划天而过，气势磅礴，被誉为亚洲第一桥；第六绝是辣椒峰：位于辣椒峰景区，高达180米，头大脚小，恰似一只硕大无比的辣椒。,04/01-10/31 07:30-17:30;03/01-03/31 08:00-17:00;11/01-12/31 08:00-17:00;01/01-2/28 07:30-17:30,https://img1.qunarzz.com/travel/d1/1510/da/49984b6e7ee542.jpg_480x360x95_eccdb030.jpg,4.5,建议游览时间：3天 - 6天,,"{'崀山国家级风景区B线套票成人票\n\n': ['¥115起'], '崀山国家级风景区B线套票儿童票\n\n': ['¥60起'], '崀山国家级风景区B线套票学生票\n\n': ['¥60起']}",崀山最佳旅游时间：春夏秋季崀山景区气候属亚热带湿润季风气候，四季分明，年平均气温17℃；夫夷江常年水流不断，最小流量为12m3/秒；植被茂盛，生长着许多珍稀名贵物种，森林覆盖率超过70%，气候宜人，生态环境非常优越。崀山门票门票价格天一巷景区 50元/人辣椒峰景区 36元/人八角寨景区 30元/人紫霞峒景区 30元/人夫夷江漂流 260元/筏（4人）交通全国主要城市火车到崀山:从长沙乘N731次、5373次火车，从广州乘N742次、从娄底乘8435次火车均可到邵阳市。再从邵阳市转乘汽车至新宁县，也可从长沙、桂林乘汽车直达新宁县（县城至崀山10公里）。,1
白水洞,http://travel.qunar.com/p-oi715096-baishuidong,,"白水洞风景名胜区位于湘中新邵县境内，核心景区在严塘镇白水村。 早在明代， 白水洞就是湘中的旅游胜地，文人墨客纷来沓至， 多有赞咏。清人杨太灏著有《白水洞游记》、 李厚培著有《白水洞纪胜集》。白水洞风景名胜区于1999年经省人民政 府正式批准为省级风景名胜区，2002年4月经国家旅 游局正式评定为AA级旅游区。白水洞风景名胜区以其山青水秀、洞幻石奇、人 文攸丰而著称于世。风景区现有景点480多处，一级 景点30处，省、市重点保护文物8处。自然景观有""高峡平湖""、""流泉飞、瀑""...白水洞风景名胜区位于湘中新邵县境内，核心景区在严塘镇白水村。 早在明代， 白水洞就是湘中的旅游胜地，文人墨客纷来沓至， 多有赞咏。清人杨太灏著有《白水洞游记》、 李厚培著有《白水洞纪胜集》。白水洞风景名胜区于1999年经省人民政 府正式批准为省级风景名胜区，2002年4月经国家旅 游局正式评定为AA级旅游区。白水洞风景名胜区以其山青水秀、洞幻石奇、人 文攸丰而著称于世。风景区现有景点480多处，一级 景点30处，省、市重点保护文物8处。自然景观有""高峡平湖""、""流泉飞、瀑""、 ""地下溶洞群""、 ""一线天""、""洞天门""、 “白龙洞”等 ， “白龙洞”以洞奇和石怪闻名世界,2002年12月中央电视台专题采访 此洞并称誉之为世界奇景， 人文景观有寺院、宗祠、 牌坊、古墓葬、名人故居等，其中保存较为 完好的太平天国古战场遗址、抗日战争遗址和李臣典、刘策成、廖耀湘、李文、李公望等名人故居给白水洞风景名胜区增添了浓厚的历 史文化色彩。白水洞风景名胜区处于湘中城市群 （邵阳、冷江、涟源、娄底）的怀抱之中，207国道、1821省道和资江穿境 而过，汤（汤仁桥）白（白水洞）旅游公路2003年12月破土动工修建，预计2004年10月1日前峻工。地理交通位置得天 独厚。该景区是一个集观赏、度假、娱乐为一体的综 合旅游风景区，是全世界人民双休日、节假日 旅游休闲的""后花园""。",,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1553454323494100c050000000yk5gFEE8_D_640_10000.jpg_480x360x95_ad79cd19.jpg,4.0,,,,,1
魏源故居Wei Yuan Former Residence,http://travel.qunar.com/p-oi7469315-weiyuanguju,"

地址:
邵阳市隆回县司门前镇学堂弯村之沙洲上


电话:
0739-8845253

",魏源，字默深，道光年间进士，官至高邮知州。故居座落在隆回县司门前镇学堂湾村沙洲上，距隆回县城桃洪镇约六十公里。1995年，魏源故居被定为湖南省爱国主义教育基地，1996年5月公布为全国重点文物保护单位，2006年4月入选为“百姓喜爱的湖南百景”。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1408/27/8f88b1ec2fa74282ffffffffc8d65eac.jpg_480x360x95_0fdca190.jpg,4.4,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
高山红哨,http://travel.qunar.com/p-oi720766-gaoshanhongshao,,高山红哨高山红哨是广州军区在1963年6月为了国防需要而建，并派兵驻守，担任防空任务。哨所由营房、碉堡、地道、战壕、蓝球场五部分组成，总占地面积3456平方米。1969年10月1日其驻军代表赴北京参加国庆观礼，受到毛主席的亲切接见后，被中央军委誉为“高山红哨”。广州军区为了表彰该哨所在国防中作出的贡献，还委派潇湘电影制片厂拍摄了纪实片《高山红哨》。哨所1978年3月裁撤。,,https://img1.qunarzz.com/travel/d1/1408/19/f3c38b33104b1f42ffffffffc8d65eac.jpg_480x360x95_c06feb1f.jpg,4.0,,,,,1
大丫口日出,http://travel.qunar.com/p-oi716696-dayakourichu,,大丫口日出此处，夏秋观日出，春冬观雾海，美妙至极。夏秋的清晨，在银灰色的雾海中，天边红红的，突然间，千万支金箭由天边射来，接着又轱辘地冒出一个大火球，只见霞光红波，雾海银波，交织出一幅辉煌的图景。进入春冬，常常是山上万里晴空，而山谷却白雾茫茫，最奇妙的是那大大小小、高高矮矮的峰峦突兀在雾海之上，构成一幅广阔无垠、秀丽绝伦的画面，令人叹为观止。,,https://img1.qunarzz.com/travel/d4/1608/9e/de07ef65d9ee0b5.jpg_480x360x95_ac8234bd.jpg,--,,,,,1
老山界景区,http://travel.qunar.com/p-oi717206-laoshanjiejingqu,,"老山界景区老山界是一片2万余亩的原始森林。1934年10月，红一方面军渡过湘江，进入广西，后经广西龙胜进入湖南蓬洞抵江头司。至此，军团一部分从江头司翻越老山界往通道方向前进。陆定一笔下的著名散文《老山界》，描写的就是当时的真实场景，即沿“之”字形路攀登，拾阶而上，火把从地上一直连到天上，构成了一幅险峻而又壮美的图画。现老山界景区已按照规划修筑了游步道，取名红军路。朋友,请你走一段红军路，忆万里长征。",,https://img1.qunarzz.com/piao/fusion/1609/e5/5f5227cebb7d8702.jpg_480x360x95_0cc054ea.jpg,--,,,,,1
紫阳峰,http://travel.qunar.com/p-oi721589-ziyangfeng,,紫阳峰紫阳峰被誉为中国南方“呼伦贝尔”的南山牧场，犹如一颗璀璨的明珠，镶嵌在湘西南边境，著名的紫阳峰牧区便是方圆百里的南山的缩影。紫阳峰牧区是典型的高山台地草原风光，登临紫阳峰，眺望四周，如置身绿色的海洋之中，起伏的草山宛如绿色的波涛；群群黑白花奶牛，恰如精工雕刻点缀于碧玉之中，好一幅高山放牧图！令人心旷神怡。,,https://img1.qunarzz.com/piao/fusion/1609/4a/4f07bc12df774f02.jpg_480x360x95_6bcaae3b.jpg,--,,,,,1
南山风景名胜区,http://travel.qunar.com/p-oi703149-nanshanfengjingmingsheng,"

地址:
湖南城步南山牧场大坪

",南山风景名胜区位于湖南省城步苗族自治县西南部，总面积199平方公里，其主体部分是南山牧场。南山牧场是中国南方最大的现代化山地牧场，东西48公里，南北63公里，平均海拔1760米，年平均气温11℃；场内气候温和，雨量充沛，在连绵起伏的地表上形成48坪、48溪，自然生态条件好，动植物资源丰实。特别是133平方公里连片草场，构成一幅“横至百余里，环绕数千峰”的雄浑壮阔的绿色海洋图，展示出其无可伦比的南方大草原地壮美风光，享有“南方的呼伦贝尔”、“中国的新西兰”之美誉。南...南山风景名胜区位于湖南省城步苗族自治县西南部，总面积199平方公里，其主体部分是南山牧场。南山牧场是中国南方最大的现代化山地牧场，东西48公里，南北63公里，平均海拔1760米，年平均气温11℃；场内气候温和，雨量充沛，在连绵起伏的地表上形成48坪、48溪，自然生态条件好，动植物资源丰实。特别是133平方公里连片草场，构成一幅“横至百余里，环绕数千峰”的雄浑壮阔的绿色海洋图，展示出其无可伦比的南方大草原地壮美风光，享有“南方的呼伦贝尔”、“中国的新西兰”之美誉。南山风景名胜区自然景观以中国南方高山台地草原风光为主调，集峡谷、峭壁、怪石、原始植被、飞瀑流泉、人工湖泊、奇雾为一体，具有雄浑、壮阔、峻秀、幽野、古朴、神奇的独特个性。南山风景名胜区有紫阳峰、老山界、茅坪湖、蛟龙洞、南山顶等五大景区；有紫阳峰牧区、老山界森林公园、茅坪湖、高山红哨、天然盆景园、蛟龙洞、围山坪一线天等60余处景点，是一个集旅游、疗养、避暑、探险于一体的天然草地公园。俗语“寿比南山”中的“南山”即指此。,8:00至18:00,https://img1.qunarzz.com/travel/d2/1504/ec/2cb4a98f03297b.jpg_480x360x95_c567a801.jpg,5.0,,,40元,,1
九龙山,http://travel.qunar.com/p-oi704886-jiulongshan,,九龙山海拔1142米，座落在县城东北面的岩口乡， 南距县城45公里，东距宝庆古城55公里。九龙山有一处古人石刻“不让武陵”。说明了其风景秀丽不亚于武陵源。这里竹木葱茏，巨石林立。在山的东面有人面狮头石，侧面看，活象仰面的高尔基在望天兴叹；正面看，又似雄狮呼啸山河，反面看，又如骆驼昂首健步，奔驰沙漠。沿山而上有燕于岩，燕巢高筑似乳燕横飞。山腰上，黄果瀑布、三重瀑布气势迭宕，白雾缭绕。‘百读不解的“有字天书”高悬石壁，笔力猷劲；连理古银杏，郁郁葱葱，直插云天...九龙山海拔1142米，座落在县城东北面的岩口乡， 南距县城45公里，东距宝庆古城55公里。九龙山有一处古人石刻“不让武陵”。说明了其风景秀丽不亚于武陵源。这里竹木葱茏，巨石林立。在山的东面有人面狮头石，侧面看，活象仰面的高尔基在望天兴叹；正面看，又似雄狮呼啸山河，反面看，又如骆驼昂首健步，奔驰沙漠。沿山而上有燕于岩，燕巢高筑似乳燕横飞。山腰上，黄果瀑布、三重瀑布气势迭宕，白雾缭绕。‘百读不解的“有字天书”高悬石壁，笔力猷劲；连理古银杏，郁郁葱葱，直插云天。这些景点错落有致，分布在一条完整的旅游环线上，令游人目不暇接。沿山上黄金洞，一条树木掩映的狭长通道里，有龙头石，独立山头，吞云吐雾，有形似碧螺的九龙山水库，嵌镶在奇峰峡谷之中，有梵音缈缈的九龙古刹，给人一种清净境界的享受；赶在清晨登上山顶，站在一块名叫观日台的巨石上，远看一轮红日破雾而出，冉冉升空，无不为大自然的壮美而欢呼。自山南而下，有一条青石板驿道，它是湘西南通向川、黔的必经之路，沿路又是一步一景。望梅亭有曹阿瞒率军望梅止渴之典故；巨石嵌镶的夜明珠曾给夜行人带来了黑夜的光明；行至膝头岭，有一磨膝石，光洁如镜，相传为仙人所赐，凡过路行人，无不对石套磨双膝以解疲困；岭中名曰“仙迹亭”的古亭，不仅可供来往行人歇 脚纳凉，饮茶聊天，也是名人骚客评品亭门两边石刻名联之乐的佳处。联曰：“客从何来，者番劳碌征程，极岭峻山崇，世路几经奇险处；我行且止，对此放空眼；界，笑云奔雾逐，众峰都在急忙中”。,,https://img1.qunarzz.com/piao/fusion/1504/30/9a0c7c4ac1fbf6.jpg_480x360x95_207597a3.jpg,3.0,,,,,1
南山特产,http://travel.qunar.com/p-oi720505-nanshantechan,,南山奶粉“南山”牌系列乳制品以“凉开水即溶，喝了不上火”蜚声全国，被誉为“南国净土里长出的绿色食品”，其中婴幼儿系列奶粉为“国家免检产品”。南山奶粉畅销全国近30个省、自治区、直辖市，成为全国奶粉行业十大畅销产品，在广大消费者的心目中有较高的美誉度、忠诚度。“南山”牌先后获得“中国食品安全放心品牌”、“中国农产品市场畅销品牌”等荣誉称号。2005年3月，国家统计局认定：南山奶粉进入全国市场同类产品销量前五强。南山萝卜南山萝卜个大，外呈乳白色，干香...南山奶粉“南山”牌系列乳制品以“凉开水即溶，喝了不上火”蜚声全国，被誉为“南国净土里长出的绿色食品”，其中婴幼儿系列奶粉为“国家免检产品”。南山奶粉畅销全国近30个省、自治区、直辖市，成为全国奶粉行业十大畅销产品，在广大消费者的心目中有较高的美誉度、忠诚度。“南山”牌先后获得“中国食品安全放心品牌”、“中国农产品市场畅销品牌”等荣誉称号。2005年3月，国家统计局认定：南山奶粉进入全国市场同类产品销量前五强。南山萝卜南山萝卜个大，外呈乳白色，干香、甜、脆、嫩中略带辣味，吃起来清凉爽口；根为圆柱形，皮薄、光滑、肉质紧密、细嫩、酥脆、味浓多汁、耐储藏。再加上它脆甜可口，物美价廉。所以当地人生吃萝卜可代替水果。南山苹果梨南山苹果梨果大，肉多、汁液丰富、果肉白色、细密无石细胞，含糖量高，质地脆，果心小，有微香，甜酸适度、品质上乘，最大特点是耐贮性强。据分析，其水分达87.3%，总酸0.35%，还原糖9.33%，总糖10.65%，含丰富的维生素C及B1、 B2等多种维生素和钙、磷、铁等成分，营养丰富，有润肺、消痰、止咳、降火、清心、利尿之功效，还能增进食欲、助消化，对体虚、津液不足者颇益。又可制果酱、果脯、果酒、罐头等。做风味小菜时拌上几片苹果梨，可使小菜更加爽口。南山土豆南山的土豆含有丰富的维生素B1、B2、B6和泛酸等B群维生素及大量的优质纤维素，还含有微量元素、氨基酸、蛋白质、脂肪和优质淀粉等营养元素。这些成分在抗老防病过程中有着重要的作用。经常吃可延缓衰老。吃南山土豆不必担心脂肪过剩，因为它只含0.1%的脂肪，是所有充饥食物中脂肪含量最低的。每天多吃南山土豆，可以减少脂肪摄入，让身体把多余脂肪渐渐代谢掉。南山土豆有很好的呵护肌肤、保养容颜的功效。新鲜土豆汁液直接涂敷于面部，可起到增白、清除色斑的作用。熟土豆切片贴在眼睛上，能减轻下眼袋的浮肿，对眼周皮肤也有显著的美颜效果。脸上出现小皱纹的女性，把土豆切成片敷在脸上，能美容护肤、减少皱纹。年轻人皮肤油脂分泌旺盛，常受青春痘、痤疮困扰，用棉花沾新鲜土豆汁涂抹患处可以解决问题。南山野菜南山野菜长期生长繁衍在深山幽谷、茫茫草原等自然环境中，有很强的生命力，且具有未受污染的优越性。具有质地新鲜、风味独特、营养丰富的特点。 而且含有很高的营养价值，具大量人体需要的脂肪、蛋白质和维生素A、B1、B2、C、D、E等多种矿物质和微量元素。 中医药学家认为医食同源、药食同根。南山野菜亦菜亦药，具有很高的医疗价值，对高血压、冠心病、糖尿、癌症有很好的疗效，能预防多种疾病。这是普通栽培蔬菜无法比拟的。,,,--,,,,,1
