名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
少林寺Shaolin Temple,http://travel.qunar.com/p-oi712534-shaolinsi,"

地址:
河南省登封市中岳嵩山西麓


电话:
0371-62745599


官网:
http://www.shaolin.org.cn

",都说“天下武功出少林”，别说从小深受少林功夫影响的国人，许多国际友人到了河南，也都会去少林寺看看。这里不仅是天下武林圣地，也是佛教禅宗祖庭。在少林寺摆几个经典武打造型留张影，江湖的刀光剑影似乎就在眼前闪过。关于少林寺的两个关键词1. 禅宗之祖2. 武术之源旅行干货半日游：少林寺-塔林-初祖庵-达摩洞-少林寺武术馆表演少林寺建筑群主要包括三部分：常住院塔林、初祖庵、达摩洞。多数从洛阳或者郑州出发前往少林寺的游客，都会选择这条线路。少林寺的格局是典型的汉传寺庙风格，中轴对称，进入山门后一路向前走即可，寺内不大，一个小时可以结束游览。塔林位于少林寺以西约400米，是少林寺历代高僧圆寂之后的墓地。佛教有句话：“救人一命，胜造七级浮屠”，浮屠指的就是佛塔。在这里，你可以了解到少林寺历代高僧的生平。初祖庵和达摩洞也在少林寺附近，步行游览即可。初祖庵是宋代人为了纪念初祖达摩面壁而修建，而达摩洞正是达摩祖师面壁九年的地方。一日游：少林寺-塔林-三皇寨上午按照半日游的行程，先游览少林寺，再前往塔林，距离塔林约5分钟步行距离的地方就是“少林索道”。乘坐索道到达三皇寨站后，步行约30分钟，可以到达三皇寨景区的入口。游玩三皇寨景区至少需要3-4个小时的时间，景区内有很多奇特的地质景观，三皇寨悬空栈道更是不容错过。走在悬崖栈道上，一边是高耸的峭壁，一边是万丈悬崖，对身心都是极大的考验。两日游：少林寺-嵩阳景区-中岳景区少林寺与嵩阳书院、中岳嵩山同在登封市境内，时间充裕的游客可以购买三地的联票，分两天的时间来游玩。第一天去少林景区，晚上观看《禅宗少林音乐大典》实景剧演出，第二天前往距离登封市区较远的嵩阳和中岳景区。现如今，作为普通游客是很难在少林寺看到少林武僧们的练武场面了。不过游客可以凭少林寺套票，前往少林寺以东约700米处的少林寺武术馆观看少林功夫表演。表演时间大约为：9:30，10:30，11:30，14:00，15:00，16:00，17:00，每场表演持续半个小时。少林故事史上超牛钉子户：,营业状态调整频繁，建议提前咨询景区。 开放时间：全年 08:00-16:30,https://img1.qunarzz.com/travel/d8/1706/de/b6ae8c77719365b5.jpg_480x360x95_e1250f28.jpg,4.4,建议游览时间：1小时 - 3小时,郑州属于典型的大陆性季风湿润气候，四季分明，气候温和。    年平均气温14.4℃，降雨大部分集中在七、八、九三个月。    春秋两季天高气爽，百花齐放，为旅游最佳季节。,"{'少林寺景区门票成人票\n\n': ['¥80起'], '中岳景区门票成人票\n\n': ['¥27起'], '少林寺景区嵩杨索道票成人票\n\n': ['¥58起']}",,1
古柏渡丰乐樱花园Fengle Sakura Garden,http://travel.qunar.com/p-oi9577568-gubodufengleyinghuayuan,"

地址:
郑州市荥阳市连霍高速上街虎牢关站下沿石化路向北行驶2500米（古柏渡飞黄旅游区附近）


电话:
0371-86571111

",古柏渡丰乐樱花园位于荥阳市南水北调穿黄口区域，是河南南水北调穿黄文化旅游规划区域50平方公里的拳头生态观光旅游项目之一。园区以樱花观赏为主题，运用不同花期、品种的珍稀樱花种植，规划设计樱花景点，配以完善的服务设施。集旅游观赏、休闲娱乐为一体，成为规模大、品种多、景观精致的樱花文化主题公园之一。,3/1-4/30 09:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/82c67b1b9b9014d54ae7c5b01707830a.jpg_480x360x95_05e38027.jpg,4.1,建议游览时间：2小时 - 5小时,,"{'古柏渡丰乐樱花园门票成人票\n\n': ['¥59.9起'], '古柏渡丰乐樱花园门票三人票\n\n': ['¥179.7起'], '古柏渡丰乐樱花园门票双人票\n\n': ['¥99.9起']}",,1
河南博物院Henan Museum,http://travel.qunar.com/p-oi706744-henanbowuyuan,"

地址:
郑州市金水区农业路8号


电话:
0371-63511237,0371-63511239


官网:
http://www.chnmus.net/

","【河南博物院简介】河南博物院创建于1927年，是我国成立较早的博物馆之一。本馆坐落于河南省郑州市农业路中段，院区占地面积126亩，建筑面积5.5万平方米。河南博物院现有馆藏文物17万余件(套)，尤以史前文物、商周青铜器、历代陶瓷器、玉器及石刻具有特色。精品文物数量多、种类全、品位高、价值大，是见证中华文明发展轨迹，展示中国历史发展脉络的文化艺术宝库。
现开放有基本陈列展《泱泱华夏 择中建都》和专题陈列《明清河南》《中原古代石刻艺术展》《丹淅吉金——中原楚国青铜艺术》《巧工遗珍——院藏明清珍宝展》及《国宝特展》等，与展览相配套的“社会教育体验厅”和“华夏古乐厅”也开放使用。
河南博物院以“发扬固有文化、提倡学术研究、增长民众知识、促进社会文明”为建院宗旨，精心打造公益文化服务品牌，是领略中原文化、黄河文化、华夏文脉的重要窗口，是弘扬核心价值观的重要阵地，是增进文化交流合作的重要平台 。【现有展览讲解 】基本陈列《泱泱华夏 择中建都》基本陈列“泱泱华夏 择中建都”，以中原的建都历史为主线，以中原文明发展历史为纲，以世界文明背景为参照，整合河南地区的文物优势，抓住中原古代发展中的闪光点，展示华夏民族的文明发展轨迹，再现中原文化的悠久与辉煌，以及中原文化的影响力与辐射力。同时在全球化视域下，展现中原文化与其他地区文化的异同，展开黄河文明与其他文明的对话。基本陈列位于主展馆1、2、3层，共分10个展厅，由新石器时代、夏商、西周、东周、秦汉魏晋南北朝、隋唐、宋金元七部分组成，围绕各个历史时期中原都城文化以及都城中的人文生活进行解读。【华夏古乐演出】河南地处中原，自古为礼乐之邦，音乐文化发展得天独厚。八千年前的贾湖骨笛，夏商周时期的钟鼓磬瑟、管箫琴笙，汉唐时期乐舞百戏、燕乐大曲中原的古代音乐仿若一条历史的长河，奔腾不息，波澜壮阔。
河南博物院华夏古乐团自2000年成立以来，对中原音乐文物进行复原研究，对古代乐谱、服饰以及演出场景进行复原和重构，推出不同主题的音乐会，深受海内外观众的好评。
千年古乐，薪火相传，华夏古乐团正奏响着中华民族生生不息的心灵之声……演出时间：每周二至周日，每天两场，演出时间分别是11:00和16:00，每场演出时长30分钟左右。
演出地点：河南博物院主展馆一楼西侧 华夏古乐厅
购票方式：通过河南博物院微信公众号进入“我要预约”-“华夏古乐厅”进行购票【河南博物院文创区域】河南博物院“豫博文创”积极与省内外企业合作，通过吸收各个企业的创意理念、设计风格和产品特点，梳理出适合开发的文物元素300余件（套），并以“突出原创”为开发原则，累计出品近800款文创产品，品种涵盖文具类、玩具类、日用品类、服饰类、食品类等。其中，以镇院之宝、明星文物为主题开发的系列文创产品在全国各类文创大赛中斩获佳绩，并代表我省多次走上各大文创主题的展台。    
  目前豫博文创已重点打造出实物类“灼蓁文物咖啡”“失传的宝物——考古盲盒”“光明之杯”，活动类“博物雅堂”“河南省博物馆文创大赛”等品牌。同时，积极探索文创与科研的深度结合，与多所高校合作成立了文创人才培训实践基地，加快推动文创人才的培训。
“大鹏之动，非一羽之轻也；骐骥之速，非一足之力也”。未来豫博文创还将汲取更多的社会力量，共同挖掘历史文化的魅力，创造出更多的文创作品，为我省文创产业高质量发展做出应有的贡献。区域位置：河南博物院主展馆一楼大厅西侧精品店、三楼书咖店、西出口快闪店【河南博物院社会教育体验厅】来到豫博，除了看展览，听古乐，逛文创。还有一个地方一定要去体验。它位于河南博物院东配楼一楼，是一处拥有1400平方米的超大全新综合实践体验区，可同时容纳500人参与体验活动；这里赋予博物馆教育发展新内涵；这里是全国中小学研学教育基地；这里是亲子寓教于乐的博物馆课堂；这里还可以沉浸式感知文化的博大精深。这里有古代科技体验区、田野考古体验区、文物修复保护观摩区、观众自主学习区、研学实践教育区、三维国宝魔墙体验区、5G＋360°实时全景体验区等七大不同区域，体验观感俱佳。河南博物院社会教育体验厅采取“分众化、菜单式”的服务模式，定位服务人群。在对未成年观众的教育上，着重打造“特约讲解”等教育项目，开发专题学程，优化九大镇院之宝系列学程、考古知多少、国宝守护人、成语典故等热门教育课程，丰富教育体系、共享教育项目。新开辟的博物馆综合实践体验中心，以高起点、立体化、沉浸式展示博物馆教育发展新内涵。",4/1-10/7 周二-周日 09:00-17:30;10/8-3/31 周二-周日 09:00-17:00;全年 周一 全天不开放 ;国庆节 09:00-17:30,https://img1.qunarzz.com/travel/d2/1506/1b/d2e30a8f65e3cb.jpg_480x360x95_7656b0b1.jpg,4.8,建议游览时间：2小时 - 4小时,,"{'河南博物院门票+散拼团人工讲解服务大小同价\n\n': ['¥99起'], '河南博物院门票+语音讲解票成人票\n\n': ['¥30起'], '河南博物院包团人工讲解(含预约门票)服务团队票\n\n': ['¥400起']}",1、河南博物院还为国内外来宾备有可视语音导览自助讲解器，内设中、英、日三种语种。每部机器租用费20元，需缴纳押金200元并登记有关信息和联系方式，如丢失须赔偿500元。2、华夏古乐演出：周二至周日每天两场，每场演出20分钟。分别在上午11：00和下午4：00 票价为成人20元 ，学生10元。,1
嵩山风景名胜区Songshan Scenic Area,http://travel.qunar.com/p-oi706758-songshanfengjingmingsheng,"

地址:
郑州市登封市中岳大街146号


电话:
0371-62745000


官网:
http://www.songshancn.com/

",嵩山风景名胜区位于登封市中岳大街，也称为嵩山少林风景区。嵩山又叫中岳嵩山，是中国五大名山（五岳）之一，由太室山和少室山组成。这里不仅拥有三皇寨、峻极峰等壮美的自然风光，同时还是世界地质公园，地质资源相当丰富。目前整个嵩山景区被分割成少林、嵩阳和中岳三大景区，少林寺、嵩阳书院和中岳庙分别是这三大景区的核心景点。各个景区和景点相距较远，对于时间不太充裕的游客来说，可以根据自身喜好，选择核心景点游玩，也是一个省时省力的选择。,全年 08:00-17:00,https://img1.qunarzz.com/travel/d4/1610/6c/3f6e8ad1c1ec97b5.jpg_480x360x95_e5d689a6.jpg,4.5,建议游览时间：3天 - 6天,,"{'少林寺景区门票成人票\n\n': ['¥80起'], '中岳景区门票成人票\n\n': ['¥27起'], '太室山门票成人票\n\n': ['¥45起']}",嵩山上主要有许多名寺名庙，它们是旅游者颇爱光顾游览的重点，但旅游者在游历寺庙时有四忌需牢记心头，以免引起争执和不快。 一、忌称呼不当对寺庙的僧人、道人应尊称为“师”或“法师”，对主持僧人应称其为“长老”、“方丈”、“禅师”。喇嘛庙中的僧人称其“喇嘛”，即“上师”意，忌直称为“和尚”、“出家人”，甚至其它污辱性称呼。 二、忌礼节失当 与僧人见面常见的行礼方式为双手合十，微微低头，或单手竖掌于胸前、头略低，忌用握手、拥抱、摸僧人头部等不当之礼节。 三、忌谈吐不当 与僧人道人交谈，不应提及杀戮之辞、婚配之事，以及食用腥荤等话，以免引起僧人反感。四、忌行为举止失当：游历寺庙时不可大声喧哗、指点议论、妄加嘲讽或随便乱走、乱动寺庙之物，尤禁乱摸乱刻神像，如遇佛事活动应静立默视或悄然离开。同时，也要照看好自己的孩子，以免孩子因年幼无知而做出不礼貌的事。五、嵩山位于太室山，山下有宋代四大书院之一的嵩阳书院，从市区乘坐2路公交车到书院河站下即到达,1
伏羲山旅游区Fuxi Mountain Tourist Area,http://travel.qunar.com/p-oi32922869-fuxishanlu:youqu,"

地址:
郑州市新密市月寨村


电话:
0371-69226789

",伏羲山旅游区包含伏羲山大峡谷、红石林，三泉湖等景点，园区内景色宜人，四季玩法不同，更有网红秋千、玻璃桥等项目。,11月中旬-次年2月下旬：周一-周日8:00-17:00，16:30停止入场；3月上旬-11月上旬：周一至周日8:00-17:00，17:30停止入场。,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/0dd872891feb4e8539315809a8a067f5.jpg_480x360x95_1fdb1b72.jpg,4.7,建议游览时间：3小时 - 4小时,,"{'伏羲山大峡谷门票成人票\n\n': ['¥58起'], '伏羲山大峡谷门票学生票\n\n': ['¥30起'], '伏羲山大峡谷门票优待票\n\n': ['¥30起']}",,1
郑州海洋馆Zhengzhou Aquarium,http://travel.qunar.com/p-oi7468963-zhengzhouhaiyangguan,"

地址:
郑州市文化路与国基路向西100米


电话:
0371-63567402,0371-63567403

",【景点简介】坐落于郑州市金水区的长乔郑州海洋馆，由中国领航专业海洋旅游度假区、海洋公园投资运营企业---长乔旅游集团倾力打造。项目集海洋生物展示互动、科普研学、剧场演艺、夜宿度假等功能为一体的旗舰型城市海洋馆。 这里物种丰富、妙趣横生，汇集冰海极地、温带、热带生物1000余种、1万余尾，独特的呈现方式令游客仿佛置身于深海秘境之中，2022年郑州海洋馆极地动物世界如期呈现，创新提供沉浸式海洋度假体验，坐拥庞大生物种群资源及独树一帜的氛围场景呈现。与海相伴，白鲸、海豚、企鹅等万余只极地海洋珍稀生物在此汇聚；不负蔚蓝，极地动物世界、海洋水族世界、地中海小镇等三大主题展区海纳全球海洋风貌。更有海洋研学院及海洋夜宿营魅力呈现，夜游海洋，“鱼”我同眠。【场馆介绍】 郑州海洋馆共分为极地动物世界、海洋水族世界、地中海小镇三大主题展区，建议游玩时间在3-4小时，推荐游玩路线：海洋水族世界1F淡水馆、2F珊瑚海生物馆→海底隧道出口→极地动物世界1F电梯上至8F→8F、7F海豚湾→6F白鲸海→5F、4F白鲸剧场→3F+、3F企鹅岛→地中海小镇两栖动物馆→地中海小镇海豚剧场→地中海礼品商场→游客中心出口 1、极地动物世界 作为郑州海洋馆二期的特色项目——极地动物世界当之无愧。这里有全球特色的贯穿式立体水幕，20米宽屏沉浸式开放空间畅享海洋世界。极地动物世界八层楼高主要分为四大场馆，将分别欣赏到花鲸、海豚、白鲸、企鹅、北极狼、北极狐等珍稀极地动物。 花鲸海豚湾内维京船长的一声号召，动员了来自全球各地的朋友开启这场海洋“鲸奇”之旅；跟随白鲸天使遨游海底吧，蓝色治愈下的唯美恋歌品味与爱同游；南极企鹅馆的呆萌绅士在一片雪白中享受他们的欢乐时光；奇幻世界里保有的一丝清醒，轻而易举地便迷失在绚丽斑斓的水母宫了，一声来自北冰洋的狼嚎才把人拽回现实世界。那就在现实世界和奇幻动物世界中肆意穿梭吧。 2、海洋馆水族世界 海洋馆水族世界主要场馆包括亚马逊雨林馆、海洋剧场、海底隧道馆、珊瑚海生物馆等四大场馆，在这里可以欣赏到南美海狮、东亚江豚、巨骨舌鱼、鳐鱼、魟鱼、鲨鱼等上千种淡水及海水生物。 走在70余米长的海底隧道，身临其境置身于海底世界；“珊瑚生海底，五七株成林，谓之珊瑚林”。而这里成群的珊瑚连成一片海，需要一台5.76亿像素的超级相机亲身体验。 3、地中海小镇 地中海小镇凭借自身城堡风的外表，一气呵成连接起极地动物世界、海洋水族世界以及海豚剧场。这里是为游客创造欢乐的主题乐园，有趣又有乐的观赏项目当然也不能少，海豚表演剧场、海狮家园、海鸟滩、鳄鱼池、两栖爬行馆均坐落在这里。 除了三大主题展区外，地中海礼品店更有丰富多彩的纪念品供游客选择，精选长乔优品，与海相伴，臻藏每一段与海洋动物的情谊；馆区内更有小镇餐厅以及各场馆内相应的白鲸餐厅、企鹅餐厅、海狮餐厅等主题餐厅供游客享受饕餮美食。,8:30-17:00,https://img1.qunarzz.com/travel/d5/1503/8a/92f7a43aade764.jpg_480x360x95_15737968.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'郑州海洋馆门票成人票\n\n': ['¥209起'], '郑州海洋馆门票儿童票\n\n': ['¥160起'], '郑州海洋馆门票优待票\n\n': ['¥180起']}",,1
瑞光创意工厂Ruiguang Creative Factory,http://travel.qunar.com/p-oi23351979-ruiguangchuangyigongchang,"

地址:
二环支路35号


电话:
0371-65510666

",瑞光创意园区是在瑞光印刷厂的老厂房基础上改建而成，有郑州的“798”之称。园区内汇集了多家文创工作室、画廊、展览厅、艺术家工作室、设计公司、小剧场等，还有不少文艺范十足的餐厅和咖啡馆。昔日的老房墙上都是满满的创意涂鸦，吸引年轻人前来拍照游玩。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/21235973f92944f42b9a58dc0d6d30ee.jpg_480x360x95_78ad46e4.jpg,4.5,建议游览时间：3小时,,,,1
二七纪念塔Erqi Strike Monument Tower,http://travel.qunar.com/p-oi5740592-erqijinianta,"

地址:
郑州市二七区二七路230号二七广场(近火车站)


电话:
0371-66966798


官网:
http://www.zz27.com.cn/

",二七纪念塔位于现在的二七广场上，是为纪念1923年“二七”大罢工的英雄们而建造的。二七纪念塔为双身并联式塔身，塔全高63米，共14层，其中塔基座为3层塔身为11层，钢筋混凝土结构。塔内一边为旋梯，一边为展室，可登至塔顶。,景区暂时停业，具体开放时间以景区公示为准；原开放时间周二-周日9:00-17:00，周一闭馆进行文物保护和设备维修。,https://img1.qunarzz.com/travel/d7/1710/88/f897e3b3d6b5fdb5.jpg_480x360x95_87a9c9ee.jpg,4.4,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,1
中国绿化博览园China Green Expo Park,http://travel.qunar.com/p-oi3762955-zhongguolu:huabolanyuan,"

地址:
郑州市中牟县刘集镇郑开大道与人文路交会处


电话:
0371-69682333-3000,0371-69682111,0371-69682288,0371-69682299,0371-60216000


官网:
http://www.zzzglby.com/

",位于郑州市金水区的中国绿化博览园，是第二届中国绿化博览会的室外绿化景点建设展区，景区内分为多个功能区域，有枫湖区、展园区、绿色生活体验区、休闲娱乐区等区域，众多区域以“枫湖”为中心，周边有森林、湿地等生态景观，还有观景台、演艺中心和码头等设施供游客选择游玩。绿博园游玩的核心景点是园中的各类展园，是绿博园的精华所在。展园有全国三十多个省区市的、具有地方特色的各地花卉展区，汇聚了我国大部分地区的珍稀花卉苗木。如：厦门展园的三角梅，新疆、青海的胡杨等等。还有世界各地的不同大洲的花卉展区以及河南各地市的特色花卉展区，可以说在这个绿博园中，游客用半天的的时间，就可以观赏到祖国各地以及世界各大洲的特色花卉。园中还有各个季节盛开的花草，使得这里一年四季都有鲜花可以欣赏，游客可以在景区的网站上查询到全年的花期表。除了欣赏千姿百态的花卉，享受绿色大自然带来的惬意时光，游客在景区内游玩时，还有机会欣赏到各类表演，如：情景剧《白娘子传奇》、舞蹈《北京的金山上》等，具体演出节目和时间，请参照景区官网 。喜欢玩水的游客还可以在枫湖荡舟而行，端午佳节时，这里还有龙舟大赛可以观赏。景区内的绿博园生态餐厅可以提供餐饮服务，餐厅所用的蔬菜，很多都是景区内的蔬菜大棚种植的有机蔬菜。,04/01-10/31 08:30-19:00;2/12-2/28 08:30-21:00,https://img1.qunarzz.com/travel/d3/1508/64/420352c40402e0.jpg_480x360x95_5285e97c.jpg,4.7,建议游览时间：2小时 - 4小时,四季皆宜,"{'郑州绿博园门票成人票\n\n': ['¥18起'], '郑州绿博园门票学生票\n\n': ['¥10起'], '郑州绿博园电子导览服务大小同价\n\n': ['¥0.5起']}",,1
潘多拉森林动物王国Pandora Forest Animal Kingdom,http://travel.qunar.com/p-oi36144603-panduolasenlindongwuwang,"

地址:
郑州市金水区东四环路与鸿苑路交叉口东北角向东900米

",潘多拉森林动物王国位于郑州市金水区东四环路与鸿苑路交叉口东北角向东900米。以萌宠动物为核心元素，以动物观赏、科学普及、根据各大洲野生萌宠动物的不同生境来模拟不同场景，为游客提供一个全季节、全龄段的互动场所。,全年 09:30-18:00,,3.2,建议游览时间：12小时 - 3天,,"{'潘多拉森林动物王国门票成人票\n\n': ['¥42起'], '潘多拉森林动物王国门票儿童票\n\n': ['¥59.9起'], '潘多拉森林动物王国门票亲子票(1大1小)\n\n': ['¥84.2起']}",,1
