名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
高椅岭旅游区Gaoyiling Scenic Area,http://travel.qunar.com/p-oi8457582-gaoyilinglu:youqu,"

地址:
郴州市苏仙区桥口镇高椅岭村


电话:
0735-2672866

",高椅岭旅游区位于湖南省郴州市苏仙区桥口镇与资兴市交界处，与飞天山相隔，紧邻永兴县便江。景区树石相间、红岩绿水、险寨奇涧，构成一幅幅美丽的山水画卷。 高椅岭以山林为主，山脚碧水环绕，从高处俯瞰犹如墨绿色的“天池”环绕着一只在水面张牙舞爪的“八爪鱼”。这里丹峰林立、红崖绿水，美得一塌糊涂，山、水、泉、洞、寨、崖、坦俱全，是一处不可多得的丹霞地貌奇观。,全年 08:15-16:00,https://img1.qunarzz.com/travel/d9/1706/72/604dfa29961176b5.jpg_480x360x95_73d4be35.jpg,4.3,建议游览时间：1小时 - 2小时,四季皆宜。,"{'高椅岭风景区门票成人票\n\n': ['¥77.9起'], '高椅岭风景区门票优待票\n\n': ['¥40起'], '高椅岭风景区手机导游服务大小同价\n\n': ['¥7起']}",,1
雾漫小东江,http://travel.qunar.com/p-oi7647961-wumanxiaodongjiang,"

地址:
郴州市资兴市其他东江镇东江湖旅游风景区(近京广铁路)


电话:
0735-3356623


官网:
http://www.dongjianghu.com

",小东江位于资兴市内，水面面积达160平方公里，蓄水量81亿立方米，相当于半个洞庭湖。湖周森林环绕，水质清洌，有湖心岛和半岛13个，岛上有山奇水秀，景色迷人，其中最大的岛──兜率岩，岛有有兜率寺，寺中有幽深奇特的大溶洞，洞中景态万千。享有“东方瑞士”的美誉，国家森林公园——天鹅山坐落在东江湖畔。雾漫小东江，该景点位于风景区北面的主入口处，由上游的东江水电站和下游的东江水电站而成，为长约10公里的一条狭长平湖。这里长年两岸峰峦叠翠，湖面水汽蒸腾，云雾缭绕，神...小东江位于资兴市内，水面面积达160平方公里，蓄水量81亿立方米，相当于半个洞庭湖。湖周森林环绕，水质清洌，有湖心岛和半岛13个，岛上有山奇水秀，景色迷人，其中最大的岛──兜率岩，岛有有兜率寺，寺中有幽深奇特的大溶洞，洞中景态万千。享有“东方瑞士”的美誉，国家森林公园——天鹅山坐落在东江湖畔。雾漫小东江，该景点位于风景区北面的主入口处，由上游的东江水电站和下游的东江水电站而成，为长约10公里的一条狭长平湖。这里长年两岸峰峦叠翠，湖面水汽蒸腾，云雾缭绕，神秘绮丽，其雾时移时凝，宛如一条被仙女挥舞着的“白练”，美丽之极，堪称中华一绝。 ,春秋季观雾时间：6:30-9:30   17:30-19:00夏季观雾时间：   5:00-7:00   19:00-20:00小东江观雾最佳时间：5-10月  清晨：6:30-8:30    傍晚：5:30-7:30 ,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/558451975dc41088ad88b01765ba4281.jpg_480x360x95_a4b42c26.jpg,4.7,建议游览时间：3小时 - 4小时,观雾时间为每年的4～11月，最佳时间为8月。,"{'东江湖旅游区精品线路1票成人票\n\n': ['¥80起'], '东江湖旅游区精品线路2票成人票\n\n': ['¥188起'], '东江湖旅游区手机智能导游讲解服务大小同价\n\n': ['¥0.5起']}",,1
仰天湖大草原Yangtian Lake,http://travel.qunar.com/p-oi712048-yangtianhudacaoyuan,"

地址:
湖南省郴州市北湖区仰天湖大草原景区


电话:
0735-7755333,0735-7755222

",【万亩草原】仰天湖大草原景区位于湖南省郴州市北湖区，海拔1314米，总面积40平方公里，是中国南端的高山草原，也离粤港澳近、面积大的高山草原，被誉为“江南的呼伦贝尔”。【草原骑马】在这里纵马驰骋，是体验草原风情的打卡项目，可感受北方草原的粗犷与豪放。蓝天白云下，策马奔驰在广袤辽阔的仰天湖大草原上，好不快哉。【仰天湖】位于大草原核心区域的仰天湖为第四纪冰川期馈赠的一个死火山口，是悬系于长江、珠江分水线的一颗璀璨明珠。仰天湖滋养的环湖湿地区域是游客喜爱的打卡点。【动漫风车】高耸入云的“大风车”沿着山脊蜿蜒数百公里，高耸入云，犹如一条条巨龙腾空远去，蔚为壮观。【网红餐车】在草原上走累了有马卡龙配色的网红餐车作为您的能量补给站，不同颜色的餐车让你分分钟拍出网红大片。【霍比特小屋】隐藏在草原深处的霍比特小屋，高度还原电影场景，别致又可爱，仿佛进入童话世界，感受奇幻之旅。【草原下午茶】【帐篷营地】走饿了路边还有草原烧烤，择一处草地，铺上野餐巾，即可享受一场完美的露营野餐，不负假日好时光。【萌宠乐园】仰天湖大草原内更引进了多种萌宠，如羊驼，柯尔鸭，黑天鹅，梅花鹿，近距离喂养各种小动物，是度假时光中值得珍藏的回忆。 【仰天巨佛】海拔1277米，相对高差达300多米的石岩绝壁，造就了举世无双的华夏奇观“仰天巨佛”。佛像五官轮廓清晰可见，头顶至下颚高300余米，头颅宽200余米，山体长3000余米。【漫山云海】流云漫锁，仰天湖云海波起峰涌，乘风而来，如临大海之滨，凝写沧桑。【划船】有仰天湖大草原相伴，与身边的伴侣或朋友一起划着小船，欣赏美景之余畅谈人生。阳光倾洒在湖面，映照出波光粼粼的蓝天白云，形成水天一色画卷，沉醉其中。,1/1-11/14 09:00-17:00;11/15-12/31 全天不开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/82a17096e9136229c2803ec898181816.jpg_480x360x95_617aed36.jpg,4.1,建议游览时间：12小时 - 3天,,"{'仰天湖大草原门票成人票\n\n': ['¥108起'], '仰天湖大草原门票学生票\n\n': ['¥60起'], '仰天湖大草原电子导览服务大小同价\n\n': ['¥5起']}",,1
东江湖风景区Dongjiang Lake Scenic Area,http://travel.qunar.com/p-oi705514-dongjianghufengjingqu,"

地址:
资兴市东江街道沿江东路东江湖游客中心


电话:
0735-3356623


官网:
https://www.dongjianghu.com/

",东江湖风景旅游区，位于资兴市东江镇境内，东江湖清澈，景区内主要景观有：雾漫小东江、东江大坝、龙景峡谷、兜率灵岩、东江漂流、三湘四水-东江湖文化旅游街（含东江湖奇石馆、摄影艺术馆、人文潇湘馆）等。风景区内的主要游览项目有：东江漂流、水上跳伞、水上飞机、水上摩托、水上滑道、湖畔垂钓、瑶族民俗风情歌舞表演等，游客可以根据自身情况和兴趣，选择自己喜欢的娱乐项目。来到景区，游客既可以在湖畔漫步，感受水天一色的自然风光，也可以选择乘坐游船在湖面上荡漾，不同的线路和船型，费用不一。景区有餐饮设施为游客提供用餐服务，这里的特色美食是湖中的新鲜鱼类，特别是肉鲜味美的三文鱼，非常值得一尝。,4/1-10/31 06:00-17:00;11/1-3/31 08:30-17:00,https://img1.qunarzz.com/travel/d6/1508/58/b59eeb37a7c49a.jpg_480x360x95_38f669e2.jpg,4.5,建议游览时间：12小时 - 6天,,"{'东江湖旅游区精品线路1票成人票\n\n': ['¥80起'], '东江湖旅游区精品线路2票成人票\n\n': ['¥188起'], '东江湖旅游区手机智能导游讲解服务大小同价\n\n': ['¥0.5起']}",雾漫小东江观雾时间：每年4月中旬至10月中旬早晨和傍晚,1
天鹅山Swan Hill,http://travel.qunar.com/p-oi711434-tianeshan,"

地址:
郴州市资兴县

", 天鹅山属罗霄山脉南端的八面山下，海拔1000多米，山体雄伟，森林密布。1987年，在山顶建立高倍望远镜，既护林防火又供旅游者观其景色之美，环境之幽，确实令人神往。该公园原系国营天鹅山林场，1992年7月，经省林业厅上报林业部批复，建为国家森林公园。相传古代有一年，久旱不雨，民不聊生，有一天一只天鹅自远方飞来，栖息山顶，三天后，大雨如注故名天鹅山。天鹅山，距公园管理处5公里。坐落于天鹅大桥5公里处的下水堡瀑布，瀑布宽4米高达70米，周围古树参天，环境清新幽静，景色十分可观。天鹅大桥，1987年建成，长220米，高800米，采用吊装式建桥工艺，气势雄伟，全国少有。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1705/b8/cd7dd7b685a79037.jpg_480x360x95_0c8778a1.jpg,4.7,建议游览时间：3小时 - 5小时,,具体收费情况以现场公示为主,,1
资兴观澜书院,http://travel.qunar.com/p-oi38876658-zixingguanlanshuyuan,,,,,5.0,,,,,1
龙华山Longhua Mountain,http://travel.qunar.com/p-oi24411135-longhuashan,"

地址:
湖南省永兴县永兴县城东

",龙华山位于郴州市永兴县，山势险峻，集秀、险、奇、幽于一体，景色宜人。山上建有龙华寺和大明寺。这里是您休闲度假、旅游探险的好地方。,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,,,1
莽山国家森林公园Mangshan National Forest Park,http://travel.qunar.com/p-oi713692-mangshanguojiasenlingong,"

地址:
郴州市宜章县169县道附近


电话:
0735-3991182

",莽山国家森林公园，位于郴州市宜章县南部，南岭山脉北麓，东、西、南与广东省乳源、连州、阳山相邻。莽山境内1000米以上的山峰就有150多座，最高峰“猛坑石”海拔约两千米，号称“天南第一峰”，而山中蜿蜒山间的长乐河是珠江的发源地之一。景区内地形复杂，独特的峭壁怪石和水色天光造就了莽山壮丽秀美的景观。景区内有将军寨、天台山、鬼子寨、崖子石和猴王寨景区等分景区。莽山的地形由东南向西北倾斜，相当崎岖，相对高差大，一般为500-800米，最大高差达1400米。站在最高峰“天南第一峰”的猛坑石主峰上，可将群峦尽收眼底，并可“北望衡阳、南见韶关”。莽山植物区内古老植物种类丰富，属于第三纪森林良好的保存地，是古老植物的“避难所”，白豆杉、穗花杉、长苞铁杉、华南铁杉、南方红豆杉、百日青等珍贵植物大量成群地分布。景区面积非常大，如果要玩遍整个景区，最起码需要2天的时间，游客可以回到县城住宿，第二天再进入景区游玩。景区内有接送车，车费约60元/人，接送车并不是景区管理的，是由其他旅游公司承包的，根据部分游客反映，接送车为了多拉生意，会催促游客快速的游玩各个分景区，而且每班车的间隔时间也比较长。,8:00-17:30,https://img1.qunarzz.com/travel/d9/1506/2a/31f5d942503da5.jpg_480x360x95_ee4961c3.jpg,4.5,建议游览时间：3天 - 6天,,"{'【酒店套餐】湖南郴州莽山森林温泉旅游度假酒店1晚+双人莽山森林温泉+双早\n\n': ['¥715起'], '3日拼团游/2-8人天天发团/湖南郴州旅游/仰天湖大草原东江湖高椅岭小东江莽山五指峰回龙山白廊\n\n': ['¥50起']}",,1
苏仙岭Suxian Ridge,http://travel.qunar.com/p-oi710698-suxianling,,,,,,,,,,1
北湖公园North Lake Park,http://travel.qunar.com/p-oi706951-beihugongyuan,,,,,,,,,,1
