名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
响沙湾Whistling Dune Bay (Xiangshawan),http://travel.qunar.com/p-oi713980-xiangshawan,"

地址:
内蒙古自治区鄂尔多斯市达拉特旗响沙湾旅游景区


电话:
400-878-5550


官网:
http://www.xiangsw.com/

",中国沙漠度假地——内蒙古.响沙湾是集观光与休闲度假为一体的大型综合型的沙漠休闲景区，地处中国第七大沙漠——库布其沙漠东端，是中国境内距离内地及北京较近的沙漠旅游胜地，是国家AAAAA级旅游景区，国家文化产业示范基地。拥有超过500峰的骆驼队。“我是一粒沙”——这是响沙湾人迎接每一位远道客人的第一句心语。“一粒沙世界”——这是响沙湾人与宾客融为一体的溶于大自然的自由自在的神仙般的永无止境的欢乐境界 在这个沙的世界里，隐现着似超现实却又现实的世外桃源——响沙湾以绿色、生态、环保、节能、低碳为开发理念，开沙漠度假之首，领低碳旅游之先,全年 08:30-18:00,https://img1.qunarzz.com/travel/d5/201407/21/4e7e3bb022484300c8d65eac.jpg_480x360x95_e63e73dc.jpg,4.4,建议游览时间：2小时 - 1天,5月到10月最合适去响沙湾游玩。,"{'响沙湾门票+往返索道票成人票\n\n': ['¥130起'], '响沙湾电子导览票大小同价\n\n': ['¥0.5起'], '响沙湾一日游【网红打卡赠送脖套】含门票+索道【市区免费接送】\n\n': ['¥180起']}",1、在响沙湾游览时，需穿平底鞋（旅游鞋）；滑沙时，请保管好随身携带的手机、摄像机等贵重物品，以免损坏或丢失。2、响沙湾夜温差较大，所以夏季旅游游客不能只穿短衣裤、裙装，还要携带长袖衣物，以便随时增减；内蒙古草原天气变化无常，下雨时气温下降很多，且风比较大，带雨衣比带雨伞要适用；或向当地草原接待中心租用棉大衣。最好带上一把雨伞备用。夏季出游最主要的就是防止中暑。3、多带一些吃的和水果，尤其是水一定要带够，这些东西最好用双肩包背着。4、沙漠紫外线强，穿长裤，带长袖，丝巾，遮住口、鼻挡风沙。,1
鄂尔多斯大草原Ordos Prairie,http://travel.qunar.com/p-oi20938032-eerduosidacaoyuan,"

地址:
鄂尔多斯市杭锦旗锡尼镇西南9公里处


电话:
0477-8888868,0477-2265555

",鄂尔多斯草原旅游区兴建于2004年，是国家有名的旅游景区，位于“骑射之地、游牧之所”的鄂尔多斯市杭锦旗境内，占地面积1.6万亩。,4月1日-10月31日8:00-22:00（21:00停止入场）；11月1日-次年3月31日8:00-19:00（17:00停止入场）。,https://youimg1.c-ctrip.com/target/100g0q000000gc4y2B581_C_300_300.jpg,4.6,建议游览时间：6小时,,"{'鄂尔多斯草原旅游区风情套票成人票\n\n': ['¥39.9起'], '鄂尔多斯草原旅游区演艺套票成人票\n\n': ['¥88起'], '鄂尔多斯草原旅游区手机智能机讲解（不含门票）票大小同价\n\n': ['¥7起']}",,1
七星湖沙漠生态旅游区Qixing Lake Desert Ecological Park,http://travel.qunar.com/p-oi707119-qixinghushamoshengtai,"

地址:
鄂尔多斯市杭锦旗独塔拉镇


电话:
0477-6888707,400-6789-168,0477-6888888


官网:
http://www.qxhly.cn/lxwm/

",七星湖沙漠旅游区位于鄂尔多斯市杭锦旗境内的库布齐沙漠腹地，是浩瀚沙漠中的一汪清水。景区里七个湖泊排列似北斗七星，故名七星湖，也因此有了“天上北斗星，地上七星湖”一说。其中的扎汉道图、东大道图、大道图三海统称道图海。传说过去这里有一种水牛鸟，眼如饭碗，肢如木椽，体如牛身，在空中盘旋轻如羽毛，叫声如牛吼，发出“哞哞”的声音。许多飞禽走曾视它为怪物，只要看到它的影子便都躲起来，当地蒙古族牧民认为这种鸟能够帮人们消灾免难，带来吉祥，于是取名道图，译成汉语是“响”的意思。七星湖好似明珠般镶嵌在苍茫的库布齐沙漠之中，水质清澈，水草茂盛，周围被沙山环抱，十分神奇。湖中还栖息了多种鸟类，其中国家保护鸟类遗欧鸥几千只。这里完整的保存了沙海、沙山、湖泊等自然景观，游客既能爬沙山赏湖景，还能在湖边观赏沙漠中的日落，可以尽情享受大自然所带来的惬意。此外，这里还是观星圣地，这里没有雾霾、没有霓虹的污染、没有都市的喧嚣，在沙漠里抬头仰望，便是漫天星辰烂漫。七星湖沙漠旅游区位于沙漠腹地，而且景区内面积非常大，单靠步行游览几乎只能去景区中极小的一部分，所以建议采取自驾或者包车的方式前往景区游玩。,08:30-17:00,https://img1.qunarzz.com/travel/d8/1510/c0/b8e3dd0275fc89f7.jpg_480x360x95_f3fd1de8.jpg,4.2,建议游览时间：12小时 - 3天,鄂尔多斯属于典型的温带大陆性气候，四季分明，日照强烈，降雨较少，春季多发沙尘暴，年平均气温为5.3-8.7℃之间，夏秋季节是到鄂尔多斯旅游的最佳时间，此时的鄂尔多斯风沙较小、空气湿润。,100元,景区昼夜温差较大，所以夏季旅游游客不能只穿短衣裤、裙装，还要携带长袖衣物，以便随时增减；天气变化无常，下雨时气温下降很多，且风比较大，带雨衣比带雨伞要适用。最好带上一把雨伞备用。夏季出游最主要的就是防止中暑。,1
鄂尔多斯草原旅游区Ordos Grasslands Tourist Area,http://travel.qunar.com/p-oi10004556-eerduosicaoyuanlu:you,"

地址:
鄂尔多斯市杭锦旗锡尼镇西南9公里


电话:
0477 856 0000

",鄂尔多斯草原旅游区是国家4A旅游景区，位于内蒙古鄂尔多斯市杭锦旗锡尼镇西南9公里处，是内蒙古中西部规模较大的草原休闲度假目的地。鄂尔多斯草原作为中国美丽的草原之一，有着它独有的风情，它吸引人的当属独特的自然风光，同时并存有大面积的草原和沙漠，以及上千个大小湖泊。旅游区拥有视野面积约30平方公里的草场，核心区是由一个蒙古金帐和三百多个蒙古包组成的蒙古包群。旅游区主要划分为综合服务区、汽车营地区、民俗文化体验区、草原休闲娱乐区、草原休闲度假区、草原生态观光区六个功能区。来到这里可以尽情体验骑马、射箭，听古如歌悠扬豪迈的长调与神奇的蒙古歌唱艺术呼麦，还可观鄂尔多斯婚礼、访牧户、祭敖包，并且品尝炒米、奶茶和手把肉，以及烤全羊、诈马宴等草原饕餮，领略草原深处原始、淳朴的民俗风情。,4月1日-10月31日8:00-23:00（21:00停止入场）；11月1日-次年3月31日8:00-19:00（17:00停止入场）。,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/667aca82c6fc2baa481d4b7916b59af7.jpg_480x360x95_37711e1b.jpg,4.5,建议游览时间：3小时 - 4小时,,"{'鄂尔多斯草原旅游区风情套票成人票\n\n': ['¥39.9起'], '鄂尔多斯草原旅游区演艺套票成人票\n\n': ['¥88起'], '鄂尔多斯草原旅游区手机智能机讲解（不含门票）票大小同价\n\n': ['¥7起']}",,1
库布齐沙漠Kubuqi Desert,http://travel.qunar.com/p-oi710545-kubuqishamo,"

地址:
鄂尔多斯市达拉特旗


电话:
0477-2257788

","库布齐沙漠是中国第七大沙漠，也是距北京较近的沙漠。“库布齐”为蒙古语，意思是弓上的弦，因为它处在黄河下像一根挂在黄河上的弦，因此得名。库布齐景区属于沙漠气候区，夏日酷热，冬日奇寒，只有秋季（9月中至10月底，约40天）气候温和，是涉足沙漠的好时间。库布齐沙漠现在开发了响沙湾、七星湖、神光响沙、恩格贝、夜明沙等景区。但需要注意的是，如果在下雨或雨后去响沙湾，响沙湾的沙丘是不会发出响声的。大沙漠浩浩渺渺,沙干净且细腻，景观壮美，穿越强度适中，很适合驴友徒步穿越沙漠。从恩格贝穿沙起点到终点响沙湾一般需要三天的时间，中途有一部分时间是穿越草原，但是大部分时间都是在沙漠中行走。前一天在鹿场（召西牧场）安营扎寨，次日宿西柳沟（龙头拐），第三天到达响沙湾。穿越途中会见到壮美的沙漠景观，星罗棋布的绿洲也会给人留下深刻的印象。",全年 全天开放,https://img1.qunarzz.com/travel/d2/1511/69/bc88eea09c15bef7.jpg_480x360x95_1924e8d2.jpg,4.3,建议游览时间：3天,内蒙古属半干湿的中温带季风气候，东部为半湿润地带，西部为半干旱地带。库布齐景区属于沙漠气候区，4月中至5月底多风暴，夏日酷热，冬日奇寒，只有秋季气候温和，是涉足沙漠的最佳季节。Tips：沙漠气温高，气候干燥，昼夜温差大，一般可达10度左右，所以无论春夏秋冬，在沙漠中一定要穿长衣长裤，最好是冲锋衣裤或快干衣裤，在穿越戈壁荒漠时能很好地保护自己的身体，当然最重要的是装备的防水和身体的补水。8月中至9月底气候温和，是涉足沙漠的最佳季节。如果在下雨或雨后去，沙丘是不会发出响声的。最佳穿越时间是每年的5、6、9、10月。,"{'库布齐沙漠经典A套票成人票\n\n': ['¥260起'], '库布齐沙漠豪华D套票成人票\n\n': ['¥380起'], '库布其沙漠经典B套票成人票\n\n': ['¥280起']}",1、沙漠干燥、多风沙、日晒强烈，一定要涂抹防晒霜，多备些水，摄影设备要做好保护措施，以免风沙进去。2、如果要徒步穿越沙漠，一定要提前做好准备，水、睡袋、冲锋衣、常用药等都要备好。不要自己单独穿越，最好是跟专业的队伍一起，有人带领，以免迷路或出现其他意外。3、最好不要带单反，以防沙子进入相机，或者做好防护措施。,1
成吉思汗陵Mausoleum of Genghis Khan,http://travel.qunar.com/p-oi714577-chengjisihanling,"

地址:
鄂尔多斯市伊金霍洛旗伊金霍洛街与布拉格路交汇处附近


电话:
0477-8961222

",成吉思汗陵（陵园景区），位于鄂尔多斯市伊金霍洛镇附近，距离鄂尔多斯市区约50公里。成吉思汗陵是一代天骄成吉思汗的衣冠冢所在地，是达尔扈特人700年以来一直守护的陵寝。需要注意的是，在成吉思汗陵附近，还有一个成吉思汗陵旅游区（东联景区），这个景区是2004年某集团新建的人工文化主题公园，由气壮山河门、“铁马金帐”群雕、亚欧版图等景点组成。两个景区分别售票。古代蒙古族有密葬的传统。传说，成吉思汗下葬时，为保密起见，曾经以上万匹战马在下葬处踏实土地，并以一棵独立的树作为墓碑。为了便于日后能够找到墓地，在成吉思汗的下葬处，当着一头母骆驼的面，杀死其亲生的一头小骆驼，将鲜血洒于墓地之上。等到第二年春天绿草发芽后，墓地已经与其他地方无任何异样。在这种情况下，后人在祭祀成吉思汗时，便牵着那头母骆驼前往。母骆驼来到墓地后便会因想起被杀的小骆驼而哀鸣不已。祭祀者便在母骆驼哀鸣处进行隆重的祭奠。可是，等到那头母骆驼死后，就再也没人能够找到成吉思汗的墓葬了。当你走入景区大门，迎面就是宏大的门牌楼和成吉思汗铜像广场，再往前走就是陵园的主体建筑——金碧辉煌的成吉思汗陵宫。乳白色的墙壁，朱红的门窗，金黄宝顶、蓝色的云图，极具蒙古民族特色。这里的建筑保留了成吉思汗八白宫的形状特点，由正殿、后殿、东西殿、东西过厅组成。在正殿正中，有成吉思汗的塑像，背景是“四大汗国”的疆域图。你还能在这里观赏到大汗曾经使用过的弯刀、神弓和长矛。在东西廊中，有大型的壁画供你观赏，壁画描述了大汗出生、遇难、统一蒙古部落等重大事件。在陵宫的左侧是苏勒德祭坛，这里是供奉成吉思汗战神的地方，以“主苏勒德”和四柄“陪苏勒德”组成的“四斿哈日苏勒德”，是成吉思汗所向无敌的战神。陵宫的右侧是文化展览馆，通过图片、实物等，系统地展示了成吉思汗陵沧桑历史和古老神秘的成吉思汗祭祀。在文化馆的旁是伊希哈屯祭祀殿，这里是供奉拖雷（成吉思汗第四子）妻子的宫殿。托雷的妻子伊希夫人，为蒙古养育了蒙哥、忽必烈两代大汗。院内还供奉着成吉思汗胞弟哈撒儿、别里古台以及拖雷的灵包。每天早上八点半，在陵宫会举行传统的祭祀活动。每年的农历三月十七日，是成吉思汗建立不朽战功的日子，当天景区内会举行隆重的祭奠“苏勒定”大会，热闹非凡。,全年 07:30-19:30;全年 08:30-18:00,https://img1.qunarzz.com/travel/d8/201407/22/7ffb0cf2ad2ae998c8d65eac.jpg_480x360x95_72dcc122.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'成吉思汗陵门票成人票\n\n': ['¥90起'], '成吉思汗陵门票学生票\n\n': ['¥45起'], '成吉思汗陵门票老人票\n\n': ['¥45起']}",,1
康镇Kangzhen Town,http://travel.qunar.com/p-oi23344005-kangzhen,"

地址:
鄂尔多斯市康巴什区哈巴格希街道博雅街


电话:
0477-2255885

",康镇位于鄂尔多斯市政府以北，“康巴什之眼”摩天轮西侧，是康巴什又一新晋热门之地，画风新奇古朴，地方民俗特色显著，主要体验建筑美、曲艺美、美食美，是流离室外的“深闺”之地。代表建筑有鄂尔多斯院、山西大院、北京四合院、蒙古包、福建土楼及互市街等。,全年 09:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/12e2470bffe8ee94517d8a819042d11b.jpg_480x360x95_7622ada4.jpg,2.7,建议游览时间：12小时 - 3天,,60元,,1
沙山公园Sha Mountain Park,http://travel.qunar.com/p-oi19979039-shashangongyuan,,沙山公园内的玩乐项目很多，有碰碰车、过山车、高空飞翔、双层转马、转转杯、滑沙、冲沙车和沙漠秋千等，非常好玩。,,,--,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
恩格贝旅游区Engebe Tourist Area,http://travel.qunar.com/p-oi709749-engebeilu:youqu,"

地址:
鄂尔多斯市达拉特旗乌兰乡


电话:
0477-5751997,4000477836

", 恩格贝旅游区，位于鄂尔多斯市达拉特旗乌兰乡境内。恩格贝是蒙古语，意为平安、吉祥。历史上这里是一块水草丰美、风景秀丽的地方，后来由于战乱和过度垦牧，美丽的草原变成了沙漠。经过当地人十几年不懈的努力，这里已建成了集沙漠珍禽动物观赏、大漠风光观赏、农业观赏、沙生植物观赏、沙漠探险和游客综合服务为一体的旅游景区恩格贝旅游区独特的沙漠风景，景观壮美，目前形成了五大旅游景区，二十余个旅游景点，并且有各种旅游娱乐设施。其中的“漠中河”长 3.5公里，乘快艇或荡舟随着沙丘的婉延曲折直入沙漠，堪称天下一绝。此外，还可以享受到驾驶沙漠越野车尽情驰骋，体验乘坐热气球饱览沙漠风光的快乐。,5月1日-10月15日8:00-17:00,https://img1.qunarzz.com/travel/poi/201211/15/906adba8bbf39599ddb12cfb.jpg_480x360x95_fcbc0148.jpg,4.5,建议游览时间：4小时 - 5小时,鄂尔多斯属于典型的温带大陆性气候，四季分明，日照强烈，降雨较少，春季多发沙尘暴，年平均气温为5.3-8.7℃之间，夏秋季节是到鄂尔多斯旅游的最佳时间，此时的鄂尔多斯风沙较小、空气湿润。,{'恩格贝旅游区电子导览票大小同价\n\n': ['¥9起']},1、恩格贝旅游区属于内陆地区，气候比较干燥，故带些润唇膏及女士护肤品，多饮水，若怕水土不适，可每天在壶内装酒店白开水。2、多带一些吃的和水果，尤其是水一定要带够，这些东西最好用双肩包背着。3、沙漠紫外线强，穿长裤，带长袖，丝巾，遮住口、鼻挡风沙。,1
世珍园旅游区,http://travel.qunar.com/p-oi711805-shizhenyuanlu:youqu,,"世珍园旅游区是国家级自然保护区、世界重要保护湿地和国家AAA级旅游景区。世珍园旅游区内除湖泊、岛屿外，分布着大片的湿地、沙漠、草地、丘陵，是典型的饿高原荒漠、半荒漠湿地生态系统。水面面积约10.2平方公里，平均水深3.5米。这里生活着遗鸥、东方白鹳、白天鹅等鸟类80余种。世珍园由三大景区组成：鄂尔多斯遗鸥国家级自然保护区；鄂尔多斯神光响沙景区；鄂尔多斯草原蒙古族风情区。鄂尔多斯遗鸥国家级自然保护区位于109国道鄂尔多斯市西45公里处，占地面积45平方公里，其中湖...世珍园旅游区是国家级自然保护区、世界重要保护湿地和国家AAA级旅游景区。世珍园旅游区内除湖泊、岛屿外，分布着大片的湿地、沙漠、草地、丘陵，是典型的饿高原荒漠、半荒漠湿地生态系统。水面面积约10.2平方公里，平均水深3.5米。这里生活着遗鸥、东方白鹳、白天鹅等鸟类80余种。世珍园由三大景区组成：鄂尔多斯遗鸥国家级自然保护区；鄂尔多斯神光响沙景区；鄂尔多斯草原蒙古族风情区。鄂尔多斯遗鸥国家级自然保护区位于109国道鄂尔多斯市西45公里处，占地面积45平方公里，其中湖面面积为10.2平方公里。是世界珍稀濒危动物、国家一级保护动物---遗鸥的栖息繁殖地，并占到全球已知遗鸥总数的75%以上。其它国家级保护动物大天鹅、东方白鹅、鸿雁等也在这里驻留，各种鸟类达百余种之多。园区内丰富的地形、地貌、植被、风土人情，构成了另一道亮丽的风景线。鄂尔多斯神光响沙景区位于鄂尔多斯市杭锦旗，沿着驰名中外的""穿沙公路""既可到达。这里的沙漠色彩不一，沙山比比皆是，只要踩踏或滑溜它就会发出""嗡嗡""响声。更神奇的是夜间沙海之颠，有幸会看见莹白色光芒，让人目不暇接，疑入仙境。传说，这是吉祥的象征。鄂尔多斯草原蒙古族风情区，草原地势平坦，一望无际，绿茵如毯，鲜花烂漫，座座蒙古包，犹如绿海中点点百帆。纵马驰骋草原，让你亲身感受""天苍苍、野茫茫，风吹草低见牛""的优美意境。美丽的鄂尔多斯草原风光独特，是夏季避暑及草原民族风情旅游的理想之地。",,,--,,,,,1
