名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
莫高窟Mogao Grottoes,http://travel.qunar.com/p-oi709762-mogaoku,"

地址:
酒泉市敦煌市东南25公里处鸣沙山东麓、宕泉河西岸的断崖上


电话:
400-833-3715,0937-8825000,0937-8825166,0937-8825066


官网:
https://www.mgk.org.cn/

",莫高窟也称千佛洞，位于敦煌市区的东南侧。石窟始建于东晋十六国时期，石窟开凿历经了千年，直到元朝结束。拥有大量的壁画、石窟、文物等，是全世界闻名的佛教艺术胜地。在这里可以欣赏到规模浩大内容丰富的石窟和壁画艺术，还能通过讲解和电影展示了解到佛教在敦煌上千年的发展历史，是游客游玩敦煌的必去之地。现在的莫高窟景区由莫高窟数字展示中心和莫高窟石窟两部分组成，两者采取联票制，不单独销售。从2014年9月11日起景区实行预约参观制度，游客必须先通过电话或网上预约门票，根据预约的时段进行参观，每天限量6000人入内。游客在预约并取票后，需要先前往莫高窟数字展示中心（不能直接去石窟，否则会无法进入），观看两场关于莫高窟的电影，每场20分钟。一场《千年莫高》为莫高窟的历史文化介绍，帮助游客对莫高窟有更深的了解。另外一场《梦幻佛宫》是球幕电影，展示现在不开放的很多石窟，非常精彩。观看完电影之后乘坐景区的接驳车前往石窟，景区提供讲解，在讲解的带领下分批进入景区，参观一个个石窟，一般每次只能参观8-10个窟，参观时间约1小时左右。莫高窟以壁画和塑像而闻名，非常精彩。环顾莫高窟各中洞窟内，到处都画着佛像、飞天、伎乐、仙女等，有高达九层楼的坐像，也有十几厘米的小菩萨，数量众多，形态各异，可以在讲解的带领下一一了解。参观结束后既需乘坐景区区间车返回火车站附近的数字展示中心处结束游览。,全年 07:30-18:00,https://img1.qunarzz.com/travel/d4/1509/b1/0b81ec74aede12.jpg_480x360x95_fe4ab9bd.jpg,4.5,建议游览时间：3小时 - 4小时,敦煌为温带大陆性气候；5-10月是旅游旺季，建议游客错峰出游。,"{'敦煌莫高窟（正常票）门票成人票\n\n': ['¥238起'], '敦煌莫高窟（正常票）门票优待票\n\n': ['¥148起'], '敦煌莫高窟门票+《又见敦煌》演出票成人票\n\n': ['¥536起']}",不要直接前往洞窟，现在的浏览流程是先网上预留门票，然后到数字中心观看，乘坐摆渡车前往洞窟进入洞窟参观不允许拍照，雨雪风沙等恶劣天气会视情况会限制参观。1、注意不要拍照，当遇到雨雪沙等恶劣天气时会闭馆。 2、不要带手电筒，导游都会配有手电筒。3、建议早上去莫高窟，因为窟洞口朝东，太阳光直射进去很神圣。4、若夏日参观，最好带上遮阳设备和预防中暑的药。5、景区里面允许带小包、矿泉水等。,1
雅丹地质公园Yadan National Geological Park,http://travel.qunar.com/p-oi710349-yadandizhigongyuan,"

地址:
酒泉市敦煌市西北约180公里处


电话:
0937-8841885


官网:
http://www.dunhuangyadan.net.cn/

",敦煌雅丹地质公园又称敦煌魔鬼城，位于敦煌市西北180公里的戈壁上，是游客游玩敦煌西线（包含玉门关、汉长城、阳关、西千佛洞等景点）的重要景观。公园里以大片的独特雅丹地貌群为主，在戈壁之上显得奇幻壮观，而每到傍晚时夕阳西照，更是拍摄摄影大片的绝妙地点。魔鬼城的面积很大，长约有25公里，宽13公里，里面成片的分布着各种各样造型各异的风蚀地貌景观。景区内有北线和南线两个区域，游客可以乘区间车游玩北线后即结束游玩，大约全程1.5-2小时左右。也可以在游玩北线后乘坐越野车再游玩南线，这样的环线游玩共需要3-4小时左右。景区的区间车上配备导游，游客进入景区后需乘坐区间车游玩，区间车会停靠在园内北线上的4个景点，分别是金狮迎宾、金字塔、孔雀和西海舰队。游客全程乘坐同一辆车游玩，每个景点停靠约10-30分钟。金狮迎宾、金字塔、孔雀均是单个的风蚀石山，造型与其名字十分相似。而西海舰队则是一片地貌群，这个景点也是四个观景点中尤为壮观的一个，一座座形似舰队造型的战船土山，平行分布在戈壁之上，真的好像一支舰队，非常独特。另外，在车辆不停靠的区域，两旁也有很多独特的风蚀岩体，造型各异，所以在乘车时也不要错过。到达西海战舰后可以随车原路返回结束游玩，也可以再乘坐越野车深入到南线。南线的面积比北线更大，景观也更多，有多个名人的头像、卡通形象等，还有金龟戏蟾、二龙戏珠、天生桥等，多种多样。而且此处还有沙漠景观，可以进入沙漠游玩，一起在沙漠里拍摄日落等。乘车时可以与司机商量，在自己喜欢的景点前停车拍照，比较随意，所以乘坐越野车还是比较值得的。,全年 08:00-16:30,https://img1.qunarzz.com/travel/d8/1610/eb/8049053dc21d67b5.jpg_480x360x95_a84777c0.jpg,4.5,建议游览时间：2小时 - 3小时,这里是典型的极干旱大陆性气候，多风多沙尘暴；因其环境特殊，建议选择5-10月出游为最佳时间。,"{'雅丹地质公园门票成人票\n\n': ['¥550起'], '雅丹地质公园门票+观光车票成人票\n\n': ['¥120起'], '雅丹地质公园人工讲解服务大小同价\n\n': ['¥220起']}",雅丹地貌多处于戈壁荒滩中，走在巨大的雅丹群里非常容易迷失方向，且气候条件恶劣。冬冷夏热，风沙较大，需自带墨镜、遮阳伞、食品、足够的水和衣服。雅丹地貌多处于戈壁荒滩中，走在巨大的雅丹群里非常容易迷失方向，且气候条件恶劣。冬冷夏热，风沙较大，需自带墨镜、遮阳伞、食品、足够的水和衣服。,1
鸣沙山月牙泉Mingsha Mountain Crescent Spring,http://travel.qunar.com/p-oi709570-mingshashanyueyaquan,"

地址:
酒泉市敦煌市南6公里


电话:
0937-8883388,0937-8882074


官网:
http://www.mssyyq.com

",鸣沙山月牙泉位于敦煌市区以南，这里沙山与泉水共处，历来以“沙漠奇观”闻名于世，是敦煌的名片之一。在这里你既可以爬上鸣沙山，俯瞰月牙泉，还能在山顶上欣赏大漠日落，感受西北大漠的苍凉广阔。虽然历来水火不能相容，但是月牙泉却安然处在这一片沙山之中。月牙泉位于鸣沙山下，处在沙丘环抱之中，因为地势的关系，刮风时沙子不往山下走，而是往山上流动，所以月牙泉永远不被沙子埋没，被誉为“沙漠之眼”。鸣沙山的山体由流沙堆积而成，远远望去，沙丘高低起伏，蔚为壮观。游览景区建议安排在下午，这样既可以避开中午沙漠中的酷热，还能在夕阳西下时，爬到山顶遥望远处的沙海和山下的月牙泉，观看唯美的日落。景区目前提供多种游乐项目，如：骑骆驼、滑沙、滑草、沙漠摩托车、射箭、直升飞机游览等，其中骑骆驼和滑沙较受游客欢迎，值得体验。游客进入景区后，游客可以直接爬上鸣沙山，欣赏完景色后，选择滑沙下山。当你从山顶下滑时，会听到“咚咚咚”的响声，似敲锣打鼓，让人胆战心惊又颇感刺激，鸣沙山因此得名。,1/1-11/23 05:00-20:30;11/24-12/31 07:30-18:00,https://img1.qunarzz.com/travel/d9/1707/6f/6386f8873aa092b5.jpg_480x360x95_7c61f0ea.jpg,4.7,建议游览时间：3小时 - 4小时,这里是典型的极干旱大陆性气候，多风多沙尘暴；因其环境特殊，建议选择5-10月出游为最佳时间。,"{'鸣沙山月牙泉门票成人票\n\n': ['¥110起'], '鸣沙山月牙泉门票老人票\n\n': ['¥55起'], '鸣沙山月牙泉+沙漠露营票成人票\n\n': ['¥296起']}",1、做好防晒防砂措施；2、保护好手机、相机等电子设备。,1
敦煌博物馆Dunhuang Museum,http://travel.qunar.com/p-oi705441-dunhuangbowuguan,"

地址:
酒泉市敦煌市鸣山北路1390号


电话:
0937-8818173,0937-8818191

",敦煌博物馆位于敦煌市城南，是以展示丝绸之路都会敦煌的历史文物以及莫高窟内的珍贵文物为主的博物馆。敦煌博物馆新馆于2012年开放，这座博物馆在全国博物馆内不算很大，但是由于专注于丝绸之路和莫高窟文化的展示，所以成为了解敦煌历史和莫高窟艺术的好去处，博物馆控们不可错过。现在的博物馆外观十分特别，外观形状好像汉代长城的城墙与烽火台。走进博物馆内部则好像是走进了一座石窟群，里面的墙壁、走廊等都是古老的石窟走廊的形式，很有特色。博物馆一共有六个展厅，但主要的展览即为敦煌博物馆的主题展览-《华戎交汇的都市》，参观一圈约需1-2小时。《华戎交汇的都市》展览贯穿整栋博物馆建筑，按照年代分为一个一个单元，可以一层一层按顺序参观过去，单元一共有13个，为敦煌上古历史与居民、两汉时期敦煌的大发展、魏晋南北朝时期敦煌的继续发展、隋唐五代时期敦煌的繁盛、沙州回鹘与西夏对敦煌的统治、元明时期敦煌、清代对敦煌的开发、藏经洞的发现、清代抗粮运动、丝路古钱币等。这些单元主要是按照年代分布，沿着石窟走廊一样的通道从古至今参观过来，感受敦煌千年的历史沧桑。馆内的展品主要分为两类，一类是以莫高窟石窟艺术为主的展示，里面就有莫高窟没有开发的45号石窟的复制品，可以看到传说中反映音乐的石窟的样式。还有部分敦煌的书简，也就是被称为“敦煌遗书”的著名书简，十分珍贵。另外一类便是以丝绸之路文化为主的展览，其中的北凉石塔、画像砖等都很雅致漂亮，其中的麒麟砖更是全国罕见，可以算是这座博物馆的镇馆之宝，一定不要错过。在这里系统的按照年代了解了敦煌和莫高窟的历史，也是为后面在敦煌的旅行做足准备，值得前来。不过博物馆内现在还没有固定的讲解服务，只在少数时间可以遇到讲解，大部分时间前来还是要依靠展品的文字说明进行了解。,5月1日-9月30日周二-周日9:00-18:30（17:30停止入馆）；10月1日-次年4月30日周二-周日9:00-18:00（17:00停止入馆）；每周一闭馆。,https://img1.qunarzz.com/travel/poi/1409/25/5156fb47cae8f02dffffffffc8d65eac.jpg_480x360x95_fb99ff4b.jpg,4.6,建议游览时间：1.5小时 - 2小时,四季皆宜。,{'敦煌博物馆人工讲解服务大小同价\n\n': ['¥59起']},,1
玉门关Yumen Pass,http://travel.qunar.com/p-oi713038-yumenguan,"

地址:
酒泉市敦煌市城西北80公里戈壁滩上


电话:
0937-8821984

",玉门关建于东汉年间，又称小方盘城，随丝绸之路的兴盛而繁盛起来，曾经是西域商贾和中原人士络绎往来的必经之地。因为和田美玉自古从这里输入中原，所以被人称为玉门关。曾随丝绸之路的三通三绝而屡次兴废，最后终于沦为废墟。真正使玉门关声名大噪则是来源于古人的文学作品，其中以王之涣的《凉州词》最为脍炙人口：“黄河远上白云间，一片孤城万仞山。羌笛何须怨杨柳，春风不度玉门关。”诗句悲壮苍凉，引发人们对古老边塞的向往。如今玉门关与汉长城、河仓城出售联票。说是联票，其实更像是过路费。从敦煌走西线前往雅丹魔鬼城时，车辆都会经过这段公路，过路即需要付玉门关的联票（也是这段公路的过路费）。既然门票必须要付，走敦煌西线的游客都会到此一游，合影留念。来到玉门关若想见识古代城关的雄伟繁荣大多会失望，因为随着千百年来岁月的侵蚀，玉门关早已损失了当年的样貌。现在的玉门关看似一个夯土堆的遗迹，呈方形，高约10米，长宽20多米，由四面土墙壁组成，在土墙的西北两面各开一门。虽已没有了当年的壮观，但进入茫茫戈壁之上挺立的小城，可以在废墟中想象当年的盛景，感叹历史和时光的沧桑变化，怀古之情油然而生，莫不是一种特别的体验。城墙前是一块大石碑，上书“小方盘城遗址”，在城墙另一边较远处有另外一块石碑，上写“玉门关遗址”，可以前往拍照留念。另外，在城北边100米处，有戈壁上奇迹般出现的一片湿地，名叫哈拉湖，生有大片芦苇，可以观赏。,全年 07:30-18:00,https://img1.qunarzz.com/travel/d7/1512/1c/19ede6a79be7def7.jpg_480x360x95_3dab540f.jpg,4.3,建议游览时间：1小时,这里是典型的极干旱大陆性气候，多风多沙尘暴；因其环境特殊，建议选择5-10月出游为最佳时间。,"{'玉门关门票成人票\n\n': ['¥40起'], '玉门关门票+观光车票成人票\n\n': ['¥89.2起'], '玉门关门票+观光车票大小同价\n\n': ['¥50起']}",注意防晒，自带食物，水果，景区餐食很一般。,1
酒泉公园,http://travel.qunar.com/p-oi703168-jiuquangongyuan,,,,,,,,,,1
西汉酒泉胜迹West Han Dynasty Jiuquan Scenic Spot,http://travel.qunar.com/p-oi702071-xihanjiuquanshengji,"

地址:
酒泉市肃州区城东1.9公里处（肃州区公园路100号）


电话:
0937-2633441,0937-2630858

",酒泉西汉胜迹又名酒泉公园、泉湖公园，是酒泉市区内的标志性景点。传说汉朝大将霍去病将军在取得胜利后获得皇帝赏赐的一坛酒，将军将酒倒入泉中与将士一起饮用，因此这眼泉水得名酒泉，这也是如今酒泉市名称的由来。大多数游客来到酒泉市区，均会到这里参观游玩。酒泉西汉胜迹景区是一座完整的汉式园林，这里既是一处知名的景区，也因环境优雅成为当地市民散步、晨练常来的地方。园子据说是由左宗棠将军出资修建，这里有中式园林的湖水、假山、亭台楼阁等，内部种植了很多树木，环境很是优美。公园较核心的区域便是名叫酒泉的这眼泉水，泉水旁有一座“西汉胜迹”古碑，也是公园内的一个标志，可以拍照留影。,全年 07:00-23:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/c7da7df29b5426e84d16774f1a42c453.jpg_480x360x95_1943f077.jpg,4.7,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
月牙泉Crescent Spring,http://travel.qunar.com/p-oi27344704-yueyaquan,"

地址:
酒泉市敦煌市南6公里鸣沙山月牙泉景区内


电话:
0937-8883388,0937-8882074

",月牙泉南北长近100米，东西宽约25米，泉水东深西浅，深处约5米，弯曲如新月，因而得名，有“沙漠第一泉”之称，自汉朝起即为“敦煌八景”之一，春夏秋冬，阴晴雨雪，四季景色各个不同。四面风沙飞野马，潭之影幻游龙。但由于鸣沙山的移动，和水位下降，月牙泉正在逐渐缩小。,5:00-20:30，具体请以景区内当日公示为准,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/9e69a04667f930d3ec2fb7bd17f88209.jpg_480x360x95_f9377d1e.jpg,4.8,建议游览时间：0.5小时 - 1小时,,包含在鸣沙山月牙泉景区内，通用鸣沙山月牙泉景区门票,,1
酒泉市博物馆Jiuquan Museum,http://travel.qunar.com/p-oi10000960-jiuquanshibowuguan,"

地址:
酒泉市肃州区盘旋西路10号


电话:
0937-2650318

",酒泉市博物馆建成于1979年10月，是一个集文物保护、收藏研究、宣传教育于一体的综合性博物馆。目前馆内有工作人员13名、馆藏文物6000余件，陈列有《酒泉历史文物展览》《酒泉人文地志展览》、《酒泉古代农业发展展览》三个展览。从事对酒泉市境内260余处古文化、古墓葬、古建筑遗址的保护管理和调查研究工作。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放,https://img1.qunarzz.com/travel/poi/1712/82/1d51a6b9e21c337.jpg_480x360x95_0df3ae1d.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
西千佛洞West Thousand Buddha Caves,http://travel.qunar.com/p-oi702219-xiqianfodong,"

地址:
敦煌市西部边境(215国道近党河水库)


电话:
0937-8857158,0937-8869852

",西千佛洞是敦煌佛教艺术体系的一个组成部分。现存北魏至宋代16个洞窟。其中一至三窟为唐代窟，四至八窟为魏代窟，十六窟为晚唐窟，这9个洞窟保存较好，其他洞窟因风化模糊，时代难以辨认。其洞窟形制及壁画艺术风格与莫高窟同时作品相同，创建年代至少与莫高窟为同一时期。保存较好的9个石窟中，中央大多有中心座，座四周凿龛，内塑佛像，四壁多绘贤劫千佛、佛跌坐说法图、佛涅盘像。中心座和四壁的佛像下，绘金刚、力士像。北魏一石窟内南壁西段绘（睐子经）故事，东段绘（劳度叉斗圣变）故事，为莫高窟北魏洞窟所没有的佛本生故事，可填补其空白，有独特价值。其余窟龛的四壁和藻井则很少绘佛本生故事。,1/1-4/30 09:30-17:00;5/1-10/31 09:00-17:30;11/1-12/31 09:30-17:00,https://img1.qunarzz.com/travel/d8/1803/ce/51140c0415977eb5.jpg_480x360x95_ae83fa1d.jpg,4.5,建议游览时间：1小时,酒泉地势西南高，属大陆性季风气候，冬季严寒期较长；每年5至10月，是酒泉最佳旅游季节。,"{'敦煌旅游包车 阳关玉门关雅丹西千佛洞包车一日游【多车型可选 市区内上门接送 专享司机管家】\n\n': ['¥425起'], '敦煌 阳关+玉门关+雅丹一日结伴游【6人内商务小团 上门接送/免费接送站/大漠星空日落】\n\n': ['¥58起'], '敦煌西线日落包车拼车一日游古城-西千佛洞-阳关-玉门关日落\n\n': ['¥68起']}",,1
