名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
洪崖洞民俗风貌区Hongyadong Commercial Street,http://travel.qunar.com/p-oi709121-hongyadongminsufengmao,"

地址:
重庆市渝中区滨江路88号（嘉陵江畔）


电话:
023-63039995,023-63039853

",洪崖洞民俗风貌区是逛山城老街、观赏两江风光、品尝当地美食的好去处。洪崖洞商业街位于渝中区沧白路，长江、嘉陵江两江交汇的滨江地带，以具有巴渝传统建筑特色的“吊脚楼”为主体，依山就势，沿江而建。夜景美爆了洪崖洞民俗风貌区由纸盐河酒吧街、天成巷巴渝风情街、盛宴美食街及异域风情城市阳台四部分组成，以具有巴渝传统建筑特色的吊脚楼为主体，依山就势，通过分层筑台、吊脚、错叠、临崖等山地建筑手法，把这一片建筑汇聚在一起，夜晚时候灯火通明，堪称山城一景。美食、购物、观景走进洪崖洞民俗风貌区两边都是密集的吊脚楼。从脚下的沿江路到顶层的沧白路有11层之多。各层内容不同，有餐馆、有小吃街、有酒吧咖啡厅，也有土特产商铺。顶层是异域风情城市阳台，可乘坐电梯直达。站在观景平台上，可远观两江交汇，风光无限。,全年 11:00-23:00,https://img1.qunarzz.com/travel/d2/1608/6c/7924e637e4dad8b5.jpg_480x360x95_635e79d0.jpg,4.6,建议游览时间：1小时 - 3小时,四季皆宜，夜晚到访洪崖洞，更能体验重庆吊脚楼文化。,"{'洪崖洞民俗风貌区重逢1980街区+洪崖洞78区镜面迷宫成人票\n\n': ['¥58起'], '洪崖洞民俗风貌区洪崖洞5楼（重逢1980街区）票成人票\n\n': ['¥26起'], '洪崖洞5楼【重逢1980街区】+云端之眼观景台套票成人票\n\n': ['¥62起']}",1. 外地人逛洪崖洞，十有八九会迷路，可以多问询当地人。2. 洪崖洞的夜景更美丽，灯光开放时间大约在：18:00-22:00。,1
观音桥步行街Guanyinqiao Pedestrian Street,http://travel.qunar.com/p-oi5740965-guanyinqiaobuxingjie,"

地址:
重庆市江北区


电话:
023-67701780

",观音桥步行街地处重庆市江北区，是重庆著名商圈之一。商圈内有新世界百货、新世纪百货、大融城等众多的百货公司。来到这里，你不但能够满足购物的向往，还能有不少餐厅店供你选择。如今，这里也是重庆八大新地标之一、中国十大著名商业步行街之一。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1509/aa/c57b9bb2c86be7.jpg_480x360x95_50693102.jpg,4.5,建议游览时间：2小时 - 4小时,,无需门票,,1
解放碑步行街Jiefangbei,http://travel.qunar.com/p-oi722856-jiefangbeibuxingjie,"

地址:
重庆市渝中区解放碑周边区域


电话:
023-63767281

",解放碑步行街是重庆较为繁华的商业圈，这里百货公司、酒店数量众多，是购物、美食和走走逛逛的好去处，更是打望重庆美女的好去处。步行街位于渝中区，以解放碑为中心，包括周边的民权路、邹容路和八一路等。美食、购物、打望美女商场多，小吃多，美女多，是步行街“三多”。你在这里可以逛逛“高大上”的美美时代百货、大都会广场，也有比较平民的重庆百货大楼和太平洋百货；在步行街上你几乎能吃到所有的重庆美食，这里有八一路好吃街，便宜又好吃的酸辣粉、山城小汤圆和抄手都能在这里找到。而当你步行街上闲逛时，没走几步，就会有一位身材高挑，皮肤白皙的重庆美眉从你身边闪过。作为重庆甚至是中国西部地区繁华的商业街，无论你是重庆本地人，还是来重庆的游客，在步行街都能找到属于自己的快乐。解放碑：纪念抗战胜利的纪念碑步行街上的解放碑，是纪念抗日战争胜利的纪念碑。步行街附近还有能仁寺、罗汉寺等景点。解放碑步行街及周边还是游客在重庆住宿的主要选择之一，这里有洲际酒店、也有性价比很高的经济型酒店。,全天开放；详情以景区公示为准。,https://img1.qunarzz.com/travel/d8/1612/d1/a835a2b6a2d097b5.jpg_480x360x95_70232b89.jpg,4.6,建议游览时间：2小时 - 5小时,四季皆宜。,免费,,1
长江索道Yangtze River Cableway,http://travel.qunar.com/p-oi5740902-zhangjiangsuodao,"

地址:
重庆市渝中区新华路151号


电话:
023-68816888


官网:
http://www.cqsuodao.com/

","长江索道，已经成为了游客在山城的必游项目。索道起于渝中区长安寺（新华路），横跨长江至南岸区的上新街（龙门浩）。乘上索道，滑向江对岸，一路可见近在咫尺的钢筋森林、长江以及江北南岸区的风光。“不览夜景，未到重庆”，乘坐全程约千米的长江索道，是近距离俯瞰重庆夜景的不错体验。灯火辉煌的渝中半岛、璀璨夺目的滨江路、波光粼粼的长江水、流光溢彩的跨江大桥，交相辉映。如果你在蒙蒙细雨之夜，乘坐长江索道看夜景，还可欣赏到一幅水墨淡彩的《巴山夜雨图》，巴山雨态，水墨中的城市山林。长江索道也成为众多影视剧在重庆取景的必选地，代表作有：2001年《周渔的火车》、2006年《疯狂的石头》、2006年《好奇害死猫》、2007年《门》等影片，以及综艺节目《极限挑战》等。佩戴耳机，体验升级：智能耳机120分钟讲解，让等待不再枯燥，耳机带你游重庆，解读魔幻而文艺的江湖重庆，邂逅时光中有趣的巴渝风情，带给游客声景并茂的沉浸式观感体验。
智能讲解耳机，告别无声电影：飞越山城声景并茂，解读重庆有趣有料。时速22公里的空中旅程，随着天际线和空间景致变化，犹如观看一部动感十足的3D版城市电影-《魔幻重庆》。
 ","全年 08:00-22:00;中秋节,国庆节 07:30-22:30",https://img1.qunarzz.com/travel/d2/1510/94/5f2779f915ee01f7.jpg_480x360x95_753243e1.jpg,4.2,建议游览时间：0.3小时 - 0.5小时,,"{'长江索道往返索道票成人票\n\n': ['¥30起'], '长江索道单程索道票成人票\n\n': ['¥20起'], '漫游重庆·都市观光巴士1日游票大小同价\n\n': ['¥50起']}",,1
磁器口古镇Ciqikou Ancient Town,http://travel.qunar.com/p-oi702769-ciqikouguzhen,"

地址:
重庆市沙坪坝区磁南街1号


电话:
023-65010003

",来磁器口古镇，这个当年热闹的水陆码头，踩踩青石板路，品尝当地的美食小吃，找个茶馆坐坐，感受下老重庆的风土人情。因为距离市区很近，如今的古镇也是市民休闲娱乐的好去处。根据指示牌游玩即可古镇有十几条街巷，两旁边都是明清风格的建筑，古镇不大，根据指示牌步行游览完全没有问题。虽然游客眼前的一切，都是近年来重新翻新的，不过这并不影响你在这里感受“老重庆”。镇上有不少景点钟家院、通家院等是古镇中典型的川东山地民居，值得一看。镇上的宝轮寺，有千年历史，可以敬香祈福。街边还有不少茶馆，找一家坐坐，当年的水手、袍哥大爷等都喜爱出入此间。喝茶的同时，有机会欣赏到当地的民间艺术，如：川剧坐唱、四川清音等。当地知名小吃：陈麻花古镇内能够品尝到很多当地的美食和小吃。毛血旺、千张皮和椒盐花生是镇上的“美食三绝”。更出名的是“陈麻花”，镇上有很多家“陈麻花”，哪家正宗？可以看看哪家门店前排队排的长。古镇距离歌乐山的白公馆、渣滓洞不算远，可以一并游玩。,全年 10:00-20:00,https://img1.qunarzz.com/travel/d5/1705/5a/fd2f4d4dec6a2fb5.jpg_480x360x95_1981d6a9.jpg,4.4,建议游览时间：3小时 - 4小时,四季皆宜。,"{'ArTech Hub艺术磁场时光印记-沉浸式艺术大师作品展门票大小同价\n\n': ['¥66起'], 'ArTech Hub艺术磁场时光印记-沉浸式艺术大师作品展门票亲子票(1大1小)\n\n': ['¥112起'], 'ArTech Hub艺术磁场时光印记-沉浸式艺术大师作品展门票家庭票(2大1小)\n\n': ['¥148起']}","​行程建议
磁器口周边有红岩魂广场，烈士群雕（歌乐山烈士陵园），白公馆，渣滓洞监狱旧址，歌乐山森林公园等景点，除歌乐山森林公园门票需要
10
元以外，其它景点现均免费开放。从磁器口大门坐任意车到烈士墓，在烈士墓转面包车（专到歌乐山森林公园，途经红岩魂广场、白公馆、渣滓洞、歌乐山索道）。天气好时还可选择徒步上山。",1
李子坝轻轨站Liziba Station,http://travel.qunar.com/p-oi23038752-lizibaqingguizhan,"

地址:
重庆市渝中区李子坝地铁站


电话:
023-68002222

",当地网红的轻轨站，轻轨列车从大楼中穿墙而过。,周一-周五：往鱼洞6:30-22:42（首班车6:30，末班车22:42），往较场口6:32-23:16（首班车6:32，末班车23:16）；周六、周日：往鱼洞6:42-22:42（首班车6:42，末班车22:42），往较场口6:37-23:17（首班车6:37，末班车23:17）。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/88e676d2332c931e0be2a572da0b54ca.jpg_480x360x95_74410e38.jpg,4.5,建议游览时间：12小时 - 3天,,"{'漫游重庆·都市观光巴士-机场快线单次票大小同价\n\n': ['¥15起'], '漫游重庆·都市观光巴士1日游票大小同价\n\n': ['¥50起'], '重庆磁器口+长江索道+李子坝轻轨穿楼等纯玩一日游\n\n': ['¥38起']}",,1
放牛村,http://travel.qunar.com/p-oi38866167-fangniucun,,放牛村位于重庆市南岸区，漫山遍野的杜鹃花竞相开放，有粉面含春的昆仑玉杜鹃、热情似火的火烈鸟杜鹃，美不胜收。,,,0.0,建议游览时间：3小时,,,,1
大足石刻Dazu Rock Carving,http://travel.qunar.com/p-oi704694-dazushike,"

地址:
重庆市大足区X406大足石刻游客中心


电话:
023-43785774,023-43722163,023-43729600


官网:
http://www.dazusk.com/

",        大足石刻，是重庆市大足区境内以佛教题材为主的摩岩石刻（石窟）的总称，包括宝顶山、北山、南山、石门山、石篆山等处，在这里可欣赏到保存较好的唐、宋时期的石刻造像艺术。迄今公布为文物保护单位的石刻多达75处，造像5万余尊。大足石刻造像始建于初唐，历经唐末、五代，兴盛于两宋，余绪绵延至明清，历时千余载，是中国石窟艺术史上的一座丰碑，也是世界石窟艺术中公元9世纪末至13世纪中叶间辉煌壮丽的一页。       大足石刻植根于悠久的巴蜀文化沃土，在吸收、融化前期石窟艺术精华的基础上，推陈出新，极工穷变，开拓了石窟艺术的新天地。以鲜明的民族化、世俗化、生活化特色，成为具有中国风格的石窟艺术的典范。      大足石刻是中国晚期石窟艺术的代表作品，与敦煌、云冈、龙门等石窟一起构成了一部完整的中国石窟艺术史。大足石刻从不同侧面展示了公元9世纪至13世纪中叶间，中国石窟艺术风格及民间宗教信仰的重大发展、变化，对中国石窟艺术的创新与发展有重要贡献，具有前期各代石窟不可替代的历史、艺术、科学和鉴赏价值。1999年12月1日，大足石刻作为文化遗产被联合国教科文组织列入《世界遗产名录》。宝顶山与北山石刻较为集中石刻群中，较为集中的是宝顶山石刻和北山石刻。宝顶山和北山石刻分别售票，也可以购买联票，两者相距十几公里。石刻群的其余的三个景点，地处比较偏僻或者还未对外开放。宝顶山石刻       宝顶山石窟位于大足城区东北15公里的宝顶山，以大、小佛湾为中心，由僧人赵智凤于南宋淳熙至淳祐年间（公元1174—1252年）主持开凿而成。大佛湾为一“Ｕ”字形山湾，造像崖面长约500米，高8—25米，造像刻于东、南、北三面崖壁上，通编为31号。       宝顶山石窟造像表现出有异于中国前期石窟多方面的特点：第一，宝顶山石窟造像是中国罕见的大型佛教密宗石窟道场，把中国密教史往后延续了近四百年。第二，宝顶山石窟造像的表现形式在石窟艺术中独树一帜。大佛湾数千尊造像题材不重复，龛窟间既有教义上的内在联系，又有形式上的相互衔接，形成了一个有机的整体，颇似一幅气势恢弘的历史长卷画。全部造像图文并茂，配刻经文大多与藏经有异，多为历代藏经未收入的藏外佛教石刻文献，对佛教典籍的研究具有重要学术价值。第三，造像注重阐述哲理，把佛教的基本教义与中国儒家的伦理、理学的心性及道教的学说融为一体，博采兼收，显示了中国宋代佛学思想的特色。第四，宝顶山石窟造像从内容到形式都堪称中国石窟艺术民族化、生活化的典范。对儒家孝道思想的尊崇，对世俗市井生活的渲染，使之成为具有浓郁中国传统文化特质的艺术宝库，标志着源于印度的石窟艺术至此完成了中国化的进程。第五，宝顶山石窟造像是石窟艺术的集大成之作，在诸多方面都有创造性的发展。它以能慑服人心为其创作原则，借以激发信众对佛法的虔诚信仰。并将科学原理融于艺术造型之中，其造像、装饰、布局、排水、采光、支撑、透视等，都十分注重形式美和意境美。     此外，宝顶山石窟造像中尚存碑碣16通，题刻、游记、诗词44件，培修、装绚记49件。其中，刻于公元1174—1252年间的《唐柳本尊传》碑，以及公元1425年刘畋人撰写的《重开宝顶石碑记》等对研究宝顶山石窟史乃至中国密宗史都具有重大学术价值。北山石刻        北山石窟位于大足区主城北1.5公里的北山山巅（俗称佛湾），由唐末昌州刺史、昌普渝合四州都指挥韦君靖于唐景福元年（892年）首先开凿，后经地方官绅、士庶、僧尼等相继营建，至南宋绍兴末年（1162年），方具现存规模。      北山石窟造像依岩而建，造像崖面长约300米，高约7—10米，形若新月。龛窟密如蜂房，分为南、北两段，通编为290号，其中造像264龛窟，近万尊，阴刻图1幅，经幢8座。北山石窟造像主要为世俗祈佛出资雕刻，题材丰富，以密宗造像为主，约占总数的二分之一以上。        北山石窟晚唐造像题材有12种类型，以观音及观音、地藏合龛和阿弥陀佛胁侍观音、地藏居多。晚唐造像端庄丰满，气质浑厚，衣纹细密，薄衣贴体，具有盛唐遗风。        五代造像占北山石窟的三分之一以上，题材有18种，出现了药师经变、陀罗尼经变等新的内容，是中国这一时期造像多的地区。五代造像小巧玲珑，体态多变，神情潇洒，衣饰渐趋繁丽，呈现出由唐至宋的过渡风格。        北山石窟宋代造像有21种题材，尤以观音为突出，被誉为“中国观音造像陈列馆”。宋代造像人物个性鲜明，体态优雅，比例匀称，穿戴艳丽，极富装饰之美。        北山石窟现存碑碣7通。其中，刻于公元895年的《韦君靖碑》，具有补唐史之阙的重要价值；刻于公元1163-1189年间的《赵懿简公神道碑》，系宋代四大书法家之一的蔡京所书，为书法艺术之珍品；二十二章《古文孝经碑》，则被史家们称之为“寰宇间仅此一刻”。        山石窟以其精美典雅，时代特征显著，雕刻细腻，艺精技绝，保存完好而著称于世，又集晚唐、五代、两宋作品于一体，展示了晚唐至宋代各个时期石窟艺术的不同风貌和发展演变，被誉为“唐宋石刻艺术陈列馆”。,全年 08:30-18:00,https://img1.qunarzz.com/travel/d8/1601/9e/72988d4904dce8f7.jpg_480x360x95_91ee4db5.jpg,4.6,建议游览时间：4小时 - 5小时,四季皆宜。,"{'大足石刻宝顶山石刻+北山石刻门票+交通票套票优待票\n\n': ['¥82起'], '大足石刻宝顶山石刻门票+交通票套票成人票\n\n': ['¥125起'], '大足石刻宝顶山石刻门票+交通票套票优待票\n\n': ['¥72起']}","行程建议可在第一天上午到达大足登城中的南山石刻，午饭在南山的农家乐。下午到北山石刻参观。晚上宿大足城，顺便游览夜景。第二天上午游览宝顶石刻，中午在宝顶农家乐吃饭。或提前结束宝顶行，驱车到龙水湖农家乐吃饭，景色不错，并且农家风味地道。行程建议
可在第一天上午到达大足登城中的南山石刻，午饭在南山的农家乐。下午到北山石刻参观。晚上宿大足城，顺便游览夜景。第二天上午游览宝顶石刻，中午在宝顶农家乐吃饭。或提前结束宝顶行，驱车到龙水湖农家乐吃饭，景色不错，并且农家风味地道。",1
仙女山国家森林公园Fairy Mountain National Forest Park,http://travel.qunar.com/p-oi709277-xiannu:shanguojiasenlin,"

地址:
重庆市武隆县仙女山国家森林公园


电话:
4008023666,4000235666

",仙女山国家森林公园位于重庆武隆县境内，拥有南方少有的高山草原风光，其林海、奇峰、草场、雪原被游客称为仙女山“四绝”。景区内树林相依，山丘相连，散养了众多的牛、羊、马，其景色优美，被誉为重庆的“小瑞士”。景区开设骑马、滑草、赛车、彩弹射击、悠波球、滑翔伞、篝火、烧烤等二十余个游乐项目，另建有饭店、别墅群、树上小木屋、风情木屋、欧式三角形木屋等住宿设施，是休闲避暑的胜地。这里冬季白雪皑皑，银装素裹，并设有滑雪场，届时可以在此赏雪、滑雪、玩雪，感受冬季独有的魅力。,全天开放,https://img1.qunarzz.com/travel/d5/1704/cb/095948e17fe6c4b5.jpg_480x360x95_e14054b3.jpg,4.5,建议游览时间：12小时 - 3天,一年四季皆宜，夏避暑，冬滑雪，春秋郊游最合适。,"{'武隆仙女山国家森林公园门票成人票\n\n': ['¥50起'], '武隆仙女山国家森林公园门票优待票\n\n': ['¥25起'], '仙女山国家森林公园滑翔基地滑翔伞票成人票\n\n': ['¥780起']}",由于景区处在高山，紫外线较强，需带好防晒用品，同时昼夜温差大，建议多带件衣服。,1
山城步道Mountain Town Trail,http://travel.qunar.com/p-oi5741121-shanchengbudao,"

地址:
重庆市渝中区中兴路234号立案渝中区法院旁

",所谓步道，就是只能步行的城市小道。重庆是一个建在山地的城市，许多相邻的地方落差高达几十米，交通只能靠这种爬坡上坎的城市小道。过去一些有名的步道都很繁华，重庆许多老的遗址就在这些步道旁。随着大规模的旧城改造和交通条件的改善，这些步道慢慢地失去了作用，有的已经消失或者荒芜了。周边的一些有名的遗址也慢慢被人们遗忘而消失在漫漫的历史长河中......修复完工的第三步道是其中的代表。这条步道地处渝中半岛南向坡面，由北向南，依次经过市中山医院、抗建堂、菩提金刚塔、法国仁爱堂旧址、悬空栈道等，全长1748米，紧凑地串联了一 系列传统街区和历史文化遗迹。步道较高点在菩提金刚塔附近，较低点位于山城巷入口处，高差79.5米。是一条颇具重庆城市特色的山城步道。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1705/c8/d9c11165e4993cb5.jpg_480x360x95_75639986.jpg,4.5,建议游览时间：1小时 - 3小时,,"{'漫游重庆·都市观光巴士二日游套票大小同价\n\n': ['¥60起'], '漫游重庆·都市观光巴士1日游票大小同价\n\n': ['¥50起'], '沉浸式悬疑话剧《雾起江州》演出票大小同价\n\n': ['¥199起']}",,1
