名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
横店影视城Hengdian World Studios,http://travel.qunar.com/p-oi707690-hengdianyingshicheng,,,,,,,,,,1
义乌商贸城购物旅游区,http://travel.qunar.com/p-oi711921-yiwushangmaochenggouwu,"

地址:
浙江省义乌市商城大道（近稠州北路）


电话:
0579-85185555


官网:
http://lg.cccgroup.com.cn/html/itmtsc/index.shtml

",中国义乌国际商贸城是购物的天堂，小商品的海洋。2005年被联合国、世界银行与摩根士丹利等权威机构称为“全球最大的小商品批发市场”。主要由国际商贸城、篁园市场、宾王市场三个批发市场簇群组成，规模宏大。商城分为主体市场、生产企业直销中心、商品采购中心、仓储中心、餐饮中心五大经营区。市场经营工艺品、饰品、玩具和花类四大行业商品。国际商贸城二期由F、G、H三个主体交易区和三个联接体组成，规划占地800亩。市场建筑分五层，其中一至三层为市场设计，四至五...中国义乌国际商贸城是购物的天堂，小商品的海洋。2005年被联合国、世界银行与摩根士丹利等权威机构称为“全球最大的小商品批发市场”。主要由国际商贸城、篁园市场、宾王市场三个批发市场簇群组成，规模宏大。商城分为主体市场、生产企业直销中心、商品采购中心、仓储中心、餐饮中心五大经营区。市场经营工艺品、饰品、玩具和花类四大行业商品。国际商贸城二期由F、G、H三个主体交易区和三个联接体组成，规划占地800亩。市场建筑分五层，其中一至三层为市场设计，四至五层为生产企业直销中心、特色馆和外贸机构设计。国际商贸城二期建筑宏伟，环境优美，商贾云集，堪称集购物、旅游、休闲为一体的国际性商务中心。,全年9:00-17：30,https://img1.qunarzz.com/piao/fusion/1806/26/69a53302ff6b8e02.jpg_480x360x95_63986610.jpg,4.8,建议游览时间：4小时 - 1天,,人均160元,注意绝大多数店是不做零售的，一般都是200-500个起批。,1
牛头山国家森林公园Niutoushan National Forest Park,http://travel.qunar.com/p-oi7469679-niutoushanguojiasenlin,,,,,,,,,,1
诸葛八卦村Zhuge Bagua Village,http://travel.qunar.com/p-oi706924-zhugebaguacun,"

地址:
金华市兰溪市诸葛镇


电话:
0579-88600026,0579-88600092


官网:
http://www.zgbgc.cn/

",位于兰溪西北的诸葛村是诸葛亮后裔的最大聚居地，村子按照九宫八卦布局，四面环山，中间低平，像一个巨大的聚宝盆。以村中心太极图状的钟池为中心，延向八方的八条小巷形成内八卦，村外八座小山形成外八卦，因此这里也被称为“诸葛八卦村”。诸葛八卦村景区分为主景区和西线景区两部分，西线景区包括隆丰禅院和一个百草生态园，可以观赏动物和参与一些中药相关的体验项目。主要游玩的是主景区的诸葛村古建筑，这是一个有文化底蕴、古朴而宁静的古村，如今仍有许多老人住在村里，顺着青石板路漫步，能看到卜卦的、卖画卖字的，还有卖一些如诸葛连弩、诸葛羽扇、孔明锁等小玩意的。村子并不算大，随便走走大概一两个小时就能走完，仔细逛逛村里的小巷，则大概需要半天。游客进入村子即需要购票，从售票处开始，顺着景区导览牌上的推荐线路走个半圆，便可依次走过所有主要景点。诸葛八卦村最值得一看的是钟池，它是整个村子的中心地标，南岸是一个陡坡，顺着陡坡而建的几幢大房子从北岸望去一幢比一幢高，前面临水的一溜小平房倒映在水中，整个轮廓看起来峭拔而优美。售票处往钟池方向不远便是高隆诸葛氏的宗祠丞相祠堂，里面供奉着诸葛亮及诸葛氏族先贤的塑像，建筑颇为讲究，雕塑也十分细腻，钟池边的大公堂是江南地区唯一的武侯纪念建筑。上塘、下塘附近也集中了不少看点：大经堂里展出大量与中医药有关的动植物标本，是诸葛村的特色；山坡上的雍睦堂美在门脸，门廊、斗拱和屋顶的雕刻都很别致，里面有蜡像讲述诸葛村名人的故事。此外，还有天一堂、三顾堂、农坊馆、孔明生平展等，也是需要凭票入内的。除了看祠堂建筑，在村中徽派老建筑之间闲逛也颇有乐趣，夏塘路边提名“乡会两魁”的牌坊式大门气势雍容，是村内的招牌建筑；窄窄的义泰巷两边的民居，还有村里悠闲生活着的村民，以及随处可见的诸葛氏文化痕迹，无不展示着诸葛村最质朴鲜活的一面。而随便走到哪面池塘，古建筑和倒影都显得恬静美好，拍出的照片也很有味道。需要注意的是，由于村里不仅小巷纵横，还有许许多多环连的窄弄堂，外人进入，往往好进难出，甚至迷路。不过问问村民一般都能得到答案，找到钟池便能找着北。来诸葛八卦村的游客大多是江浙自驾来玩的，一般不在村里过夜，不过村里也有吃饭住宿的地方，集中在上塘、下塘一带，卫生一般，价格也还公道。比较得食客欢心的有古街饭店、水阁楼土菜馆，住宿以花园公寓的条件较好。此外，村子南面的长乐福地有七口以北斗七星形态布局的井，十分有趣，从诸葛村步行过去大约15分钟，时间充裕推荐一并游玩。,11/1-12/31 08:00-16:30;4/1-10/31 07:30-17:00,https://img1.qunarzz.com/travel/d7/1502/cd/0e3f59098939bf.jpg_480x360x95_e3693d92.jpg,4.4,建议游览时间：12小时,春季，秋季最佳。夏季暴雨天气较多，冬季景区内气候较为湿冷。,"{'诸葛八卦村景区门票成人票\n\n': ['¥85起'], '诸葛八卦村景区门票儿童票\n\n': ['¥45起'], '诸葛八卦村景区门票学生票\n\n': ['¥45起']}",附近的新叶村和长乐村也是不错的两个古村落，距离不远，可打车和三轮过去一并游览，3个村子一天可全部游览完。,1
秦王宫景区Qinwanggong Scenic Area,http://travel.qunar.com/p-oi704465-qinwanggongjingqu,,,,,,,,,,1
游埠古镇Youbu Ancient Town,http://travel.qunar.com/p-oi35098339-youbuguzhen,,游埠古镇是浙江省四大古镇之一。古镇传统文化活动十分丰富，如 龙灯、花灯舞狮等活动可供游客欣赏。文物古迹保留较多，宗祠、庙宇、牌坊、鼓楼等多数保存完善。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/068203eeb02b61d01949ecd035383d54.jpg_480x360x95_e261905f.jpg,4.4,建议游览时间：12小时 - 3天,,,,1
双龙风景旅游区Double-Dragon Scenic Area,http://travel.qunar.com/p-oi720311-shuanglongfengjinglu:,"

地址:
金华市婺城区罗店镇双龙景区游客中心


电话:
0579-82598016


官网:
http://www.shuanglongdong.com/

","双龙风景旅游区创建面积7.95平方公里内，既有双龙洞、冰壶洞、桃源洞、二仙洞、仙瀑洞、双龙溪峡谷等岩溶地貌和山水景观的自然景点；也包含毛泽东主席视察双龙电站旧址、黄大仙祖宫、智者寺等红色教育和传统文化景点；还有霞客古道、鹿女湖、莲花观景台等户外徒步、度假休闲和网红打卡点。
双龙洞：双龙洞因洞口悬有两个钟乳石龙头，形态逼真，因而得名。双龙洞素有“水石奇观”之美誉，是我国道教“三十六洞天 七十二福地”之一。溶洞由内、外两洞组成，外洞面积约1200平方米，可容纳千人驻足，俗称“龙厅”。内洞面积约2000平方米，洞内钟乳石、石笋、石幔、石柱石钟等，造形奇特，琳琅满目。如欲进洞观赏，唯有平卧小舟，仰面擦崖逆水而入，可谓有惊而无险，妙趣横生，堪称游览方式之一绝。
冰壶洞：位于双龙洞南侧，海洞口朝天，口小、肚大、身长，进洞如入壶中，其内夏日寒气刺骨，故名。洞顶右侧有一条落差20余米的瀑布破石而出，飞流直下，如银河倒泻，响声轰隆，飞雾湿衣，气魄非凡，是全国最大的洞瀑。冰壶洞不仅银瀑飞泻，而且钟乳石千姿百态。抬头仰望，有一巨大钟乳石，状如一只巨大的佛手，倒挂于飞瀑旁，为飞瀑倍添气势。
桃源洞：相传黄初平在金华山得道成仙，洞中泉瀑系来自黄大仙登真所在的小桃源，古人称“隔世桃源”，故名桃源洞。桃源洞结构奇特，景观瑰丽多变，主要景点有“天狗望月”、“神羊破壁”、“佛手花廊”、“九龙戏水”、“犀牛驮圣果”等；钟乳悬积，石笋林立，石柱擎天，琳琅满目，组成一个特有的地下自然风光，堪称“世外桃源”，让游客叹为观止。
二仙洞：发育在距今2.8亿年前二叠纪的石灰岩地层中，为一座地下河溶蚀侵蚀型多层溶洞系统。洞中由三层溶洞，二层地下河及五条廊道，五座大厅等组成，岩洞特征令人叹为观止。石花、石笋、石钟乳、石幔、瀑布等自然景观令人目不暇接，特别是洞内天然形成的大峡谷及由生物藻类形成的晶莹剔透的石花,在全国溶洞景观中均属罕见。
仙瀑洞：仙瀑洞是金华山已发现的溶洞群中位置最高的一个地下河溶洞，视野开阔，景色迷人，可居高临下，极目远眺。溶洞集聚两大特点；其一洞内有一落差达73米的瀑布，是目前为止世界上溶洞内单阶落差最大的瀑布，1999年被列入基尼斯世界纪录；另一特点就是以探险为主，适宜具有探险精神的年轻一族。
双龙溪峡谷：双龙溪峡谷，长约4公里，谷底开阔，东西宽约800米，是典型的沟谷地貌，两山夹持，沟壑深邃。峡谷内林木茂盛，原生态植被保护完好，自然环境秀美。峡谷沿线有名人雕塑（李渔、李清照、李白、徐霞客、黄宾虹、郁达夫等）、摩崖石刻、休憩亭等文化节点和景观小品，既是生态健身长廊，又是历史文化长廊。
毛泽东主席视察双龙电站旧址：始建于1958年5月，是当时金华地委、县委在金华山动工兴建的8座梯级水电站之冠。1960年3月14日，毛主席乘坐专列专程来此视察，并对金华人民自力更生、艰苦奋斗发展小水电的成绩给予高度评价，双龙电站也引起全国乃至全世界的关注。2018年，双龙电站进行修缮维护，最大程度的还原了当年毛主席视察双龙电站的原貌和场景。如今，双龙电站已成为红色教育和爱国主义教育基地。
智者寺：始建于南朝梁武帝七年（公元526年），是梁武帝萧衍敕建的皇家院。它是旅游区内的著名佛教历史文化遗存，距今已有近1500年历史，也是金华山儒、释、道文化和谐共栖的佛教代表。智者寺的大殿达4256平方米，九殿合一，是全国佛教寺院最大的单体建筑。
黄大仙祖宫：位于鹿女湖畔，建筑坐北朝南，三面环山，祖宫由12处宫楼阁台组成，进深800多米的七进阶，宫观建筑占地5000多平方米，是我国江南最大的道观，也是信徒最多，分布最广的道观。黄大仙祖宫是中国传统的道教宫观建筑，追求一种轴线对称和整齐一律的人工美。
霞客古道：明代杰出的地理学家、旅行家、文学家徐霞客，一生四次到过金华山。对岩溶地貌的研究是徐霞客一生最主要的科考成果，起点就在金华山霞客古道是古时罗店通往双龙的官道，霞客由此登金华山游历科考。为弘扬徐霞客的爱国主义精神和献身于科学的精神，首期复建的白露下至羊甲山段，全长3公里。两山夹抱，一路泉水叮咚，鸟语花香，移步换景，心旷神怡。
鹿女湖：海拔近600米，是浙江省内少见的高山湖泊，湖面犹如一面明镜镶嵌在青山之中，湖水碧清如镜，群峰倒影似画。鹿女湖环湖游步道、亲水栈道3000米，打造了沿湖景观带，有水杉林栈道区、花海石浪区、举岩贡茶产业区、滨水沙滩休闲区等，使该景观的“仙山、圣水、幽林”特色更为突显。在环湖周边有黄大仙文化景观节点，区分动、静、雅、闲、聚功能，自然生态与人类活动相得益彰。游客可在此可纳凉避暑、休闲小住、养生体验、环湖漫步、婚纱摄影、游湖观光、体验黄大仙文化和儒家文化等。
 莲花观景台：观景台东邻玉屏山、老虎岩南朝元宝山，西邻虎尾山，北靠荷花托,依山襟野，海拔812米，视角开阔。立身观景台，近鉴玄水圣石，远收百里风韵；春观烂漫山花，夏品群山滴翠；秋赏如花红叶，冬领万树银华。此外，还有“雨霁观云海，服夜观灯火；春涤聆鸟语，秋高听鸣”等趣景。
",双龙洞景区：7月-8月及法定节假日：8:00-17:10；9月-次年6月：8:30-16:40。 黄大仙景区：7月-8月及法定节假日：8:10-17:00；9月-次年6月：8:40-16:30。,https://img1.qunarzz.com/travel/d4/1704/df/eb6e0587810e0cb5.jpg_480x360x95_708fca19.jpg,4.4,建议游览时间：3小时 - 4小时,春秋季节最佳，期间洞内温度适宜，也可避开7，8月份旅游旺季。,"{'双龙风景旅游区门票+全程景交车票成人票\n\n': ['¥40起'], '双龙风景旅游区门票+全程景交车票儿童票\n\n': ['¥20起'], '双龙风景旅游区门票+全程景交车票优待票\n\n': ['¥40起']}",景区本身是开放式的，参观其中景点则需购买联票，门票是磁卡票，到景点刷一下即可。由于景点分布较为分散，景区内又没有交通车，除了步行，游人也可自驾或者坐当地人的私车至景点附近，而后步行游览。,1
小冰岛Little Iceland,http://travel.qunar.com/p-oi34269724-xiaobingdao,,小冰岛是一个新奇天地，这里原来就是一个石灰厂，因开采矿石而留的废墟，还有一艘大船，仿佛这里是海滩一般，感觉空旷而且神秘。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/7a50bc081a80bd20a85e9ee5e304324f.jpg_480x360x95_80e8a66a.jpg,4.3,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,1
佛堂古镇Fotang Ancient Town,http://travel.qunar.com/p-oi10004386-fotangguzhen,"

地址:
金华市义乌市佛堂镇建设中路139号附近

",佛堂古镇位于义乌市区西南，明清以来，不计其数的船只在江上往来，佛堂的浮桥码头恰是重要的停靠点。如今的古镇早已落寞，而你仍可在古镇民居那些琳琅满目的牛腿、窗棂、砖雕石刻上一窥它当年昌盛的痕迹。作为景点，佛堂古镇尚在陆续开发中，并不收费，街头巷尾几乎没有什么商业意味，巷弄深处的当地人淳朴的生活，更是别处难得一见的景象。 近2公里的老街是古镇的灵魂，直街、商会街、盐埠头横街、浮桥头横街和东西两条副街，组成了古镇核心的部分。由于佛堂古来便是商埠，如今沿街依然店家林立，还保留着当年楼下是店面，楼上为住宅的格局，旧旧的木排门、矮柜台随处可见，瑞泰祥等老商号，更是给人一种时光倒流的错觉。老街上的新华剧院到现在仍是佛堂鲜明的文化标记，剧院内摆放着上世纪八十年代常见的四方桌椅，时常会有本地戏曲表演。若是遇上，不妨与从附近村子赶来看戏的村民一起，欣赏一阵。 吴棋记民居（吴宅）是古镇中较大的看点，但由于古镇尚未完全开发，街上没有明显的路标指示，不过问问当地人基本都能找到。这座明清风格的两进老宅，将徽派建筑的大气和浙江雕刻的精细结合得恰到好处，雕刻内容包括戏曲人物、渔樵耕读、亭台楼阁等多种花样，连墙角的排水口边都装饰着精美的石雕。吴宅的主人倾其一生建造了这间大宅，却经历了抗战、土改等种种坎坷，却没能在此住上一天，游人置身其中时，难免感慨唏嘘。另一座值得一看的老宅是位于后秧田水塘北岸的槐荫堂（利记八面厅），两侧八对徽派马头墙非常气派，八幢房子既单独的又是相连的·，造型别致。 除此之外，当你信步走进巷弄深处，你会发现更多精美的老建筑就藏在不经意的转角，拍出的照片颇有韵味。在老街的红糖文化艺术馆，还能看到古法制作佛堂红糖的雕塑展示，非常生动。看完建筑走到河边，古朴的清代的古桥随即引入眼帘。岸边的石头上刻着古码头的名字，墙边的雕塑记录着当年此处“鸡毛换糖”的繁华。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/2e76346b1bb4b87e88803126a9ad8be5.jpg_480x360x95_b6b5b085.jpg,4.5,建议游览时间：2小时 - 3小时,春秋季节最佳，夏季暴雨天气较多，不宜漫步古镇。,具体收费情况以现场公示为主,老街上的新华剧院到现在仍是佛堂最鲜明的文化地标，剧院内摆放着上世纪八十年代常见的四方桌椅，时常会有本地戏曲表演。若是遇上，不妨与从附近村子赶来看戏的村民一起，欣赏一阵。,1
"清明上河图景区""Along the River During Qingming Festival"" Scenic Area",http://travel.qunar.com/p-oi7588549-qingmingshanghetujing,"

地址:
金华市东阳市横店镇（横店影视城）清明上河图景区


电话:
0579-86555839


官网:
https://www.hengdianworld.com/Scenic_QMSHT/

",清明上河图景区位于横店影视城南面，是以北宋张择端的经典画作《清明上河图》为蓝本而建的一处影视基地。《古剑奇谭》、《小李飞刀》、《绝代双骄》等喜闻乐见的影视作品都曾在此取景拍摄，因此，游玩时你不仅能感受宋代繁华的京都与市井，亦能在街头巷陌寻得不少古装剧中似曾相识的场景。如果运气好，还会偶遇正在拍戏的剧组。景区内的建筑分为外城和里城，城中有“汴河”蜿蜒，北宋风情的桥梁亭台沿着水岸展开，有几分诗情画意。这些建筑内部大多是空的，因此游人更多是享受漫步欣赏“汴京”街市的“穿越感”。你可以在沿街的小店买些特色小点心边吃边逛，或者玩一把北宋飞镖之类的小游戏。想要体验更“穿越”的感觉，还可以在路边租一套北宋服装，穿着它凹造型拍照，一直逛到游程结束，彻底融入周遭的宋代环境里。清明上河图的4处免费表演也是一大亮点，其中《汴梁一梦》的杂技表演最为惊艳，剧场和演出规模也最大；《游龙戏凤》也有些杂技元素，通过声光和舞蹈，展现宋徽宗与李师师缠绵的爱情和亡国之恨，也值得一观。如果想看全这4场表演，记得上午尽早入场，在检票处拿一份景区地图，依照上面的演出时间、地点合理安排游览时间，到时前往观看。《汴梁一梦》通常的演出时间为10:00、14:00，7-8月增加11:00、13:00两场（具体以景区实际通告为准）。较为推荐的游览顺序为：进入景区大门，经高府、陈府，拍一张虹桥与水中倒影的标准照，顺着中轴线穿过上善门进入里城到达孙羊正店，再往前不远便是《汴梁一梦》和《聊斋惊梦》的演出场地，沿着步道逆时针绕湖一周，便可通过水门回到外城，继续逆时针前行，依次是《游龙戏凤》和《笑破天门阵》（室外）演出地，此时离景区大门不远了。整个游程可全部步行，如有需要也可租脚踏车代步（另付费，人均20元左右）。清明上河图与秦王宫、梦幻谷相邻，白天逛清明上河图和秦王宫，然后夜游梦幻谷玩各种游乐设施，再看一场《梦幻太极》表演，一天时间恰到好处。各景点之间均有旅游公交往返（3元左右），交通很方便。,全年 08:00-17:00;全年 08:00-16:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/c2c9e8916caecef03669d661d67b3ddd.jpg_480x360x95_c35b49d0.jpg,4.8,建议游览时间：2小时 - 3小时,秋季最佳。这个时候秋高气爽，是景区内演员明星拍电影的旺季，看到明星演员的几率更高。,"{'横店影视城清明上河图景区门票成人票\n\n': ['¥165起'], '横店影视城清明上河图景区门票儿童票\n\n': ['¥90起'], '横店影视城清明上河图景区门票老人票\n\n': ['¥126起']}",较为推荐的游览顺序为：进入景区大门，经高府、陈府，拍一张虹桥与水中倒影的标准照，顺着中轴线穿过上善门进入里城到达孙羊正店，再往前不远便是《汴梁一梦》和《聊斋惊梦》的演出场地，沿着步道逆时针绕湖一周，便可通过水门回到外城，继续逆时针前行，依次是《游龙戏凤》和《笑破天门阵》（室外）演出地，此时离景区大门不远了。整个游程可全部步行，如有需要也可租脚踏车代步（另付费，人均20元左右）。清明上河图与秦王宫、梦幻谷相邻，白天逛清明上河图和秦王宫，然后夜游梦幻谷玩各种游乐设施，再看一场《梦幻太极》表演，一天时间恰到好处。各景点之间均有旅游公交往返（3元左右），交通很方便。,1
