名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
金川国家矿山公园Jinchuan National Mine Park,http://travel.qunar.com/p-oi708476-jinchuanguojiakuangshan,"

地址:
金川区龙首山北坡

",金川国家矿山公园，位于甘肃省金昌市金川区西南部龙首山脉北坡。有中国较大的人造天坑——露天矿老坑和亚洲较长的主斜坡道等景点。主要景点以露天矿老坑为主体，包括观景台、绿化荒山边坡，矿山废渣绿化、矿山科技馆、选矿冶炼、尾矿库参观游览通道。从2009年开始金川集团公司与金昌市委、军民共建，共同推进，硬是在废渣山和荒山秃岭上，造出了一个具有大西北戈壁工业新城特色的山体式的矿山公园。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1812/2f/ce234f9fe23d4102.jpg_480x360x95_f77a78d8.jpg,4.2,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
火星1号基地,http://travel.qunar.com/p-oi38860016-huoxing1haojidi,,火星1号基地，位于甘肃省金昌市，其戈壁地貌、红色岩体等显著性地形地貌及自然条件与火星极为类似。由中国航天员科研训练中心与中国航天科技国际交流中心指导建设。是国内首个火星主题沉浸式实景体验基地，利用多重创新的方式，通过火星生存场景模拟、科幻造景等真实还原航天员火星模拟生存环境。该基地依托火星地貌场景，依托航天核心内容打造了多元化的研学科普类项目、娱乐活动类项目、主题住宿餐饮、航天文化体验项目等。,,,4.9,,,具体收费情况以现场公示为主,,1
金山寺,http://travel.qunar.com/p-oi38341195-jinshansi,,,,,--,,,具体收费情况以现场公示为主,,1
北武当山景区,http://travel.qunar.com/p-oi38340544-beiwudangshanjingqu,,,,,0.0,,,,,1
金川植物园,http://travel.qunar.com/p-oi38337317-jinchuanzhiwuyuan,,,,,5.0,,,具体收费情况以现场公示为主,,1
云庄寺,http://travel.qunar.com/p-oi38035160-yunzhuangsi,,,,,--,,,具体收费情况以现场公示为主,,1
青土井Qingtujing Village,http://travel.qunar.com/p-oi35677305-qingtujing,,,,,--,,,具体收费情况以现场公示为主,,1
米家洼子Mijiawazi Village,http://travel.qunar.com/p-oi35303133-mijiawazi,,,,,--,,,具体收费情况以现场公示为主,,1
毛北庄Maobeizhuang Village,http://travel.qunar.com/p-oi35293527-maobeizhuang,,,,,--,,,具体收费情况以现场公示为主,,1
毛卜喇四队Team 4 of Maobola Village,http://travel.qunar.com/p-oi35273148-maobulasidui,,,,,--,,,具体收费情况以现场公示为主,,1
金川峡水库Jinchuan Xiashuiku,http://travel.qunar.com/p-oi35214802-jinchuanxiashuiku,,金川峡水库位于永昌县城北部，两侧地形复杂沟壑纵横，湖水清澈玉洁，鸥鸟栖息、盘旋，形成了一个天然旅游景地，是人们避暑、疗养、度假的理想之地。,,,0.0,建议游览时间：3小时,,,,2
金昌市金川区镍都开拓者纪念馆Jinchangshi Jinchuanqu Niedou Kaituozhe Memorial Hall,http://travel.qunar.com/p-oi34274227-jinchangshijinchuanqu,,,,,5.0,,,免费,,2
永昌保卫战纪念馆Yongchang Baoweizhan Memorial Hall,http://travel.qunar.com/p-oi34273840-yongchangbaoweizhanji,"

地址:
金昌市永昌县北环路民政局二楼

",,全年 周二-周日 9:00-17:00,,0.0,,,免费,,2
金川区博物馆Jinchuanqu Museum,http://travel.qunar.com/p-oi34272839-jinchuanqubowuguan,"

地址:
金昌市金川区三角城

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,2
文昌园Wenchang Garden,http://travel.qunar.com/p-oi34210644-wenchangyuan,,,,,--,,,具体收费情况以现场公示为主,,2
紫金花海Jinchang Sea of Dactylicapnos scandens,http://travel.qunar.com/p-oi32774102-zijinhuahai,"

地址:
新华路街道天津路与泰安路交叉口北150米

",“紫金花海”位于金昌市区的北部，总面积有700多亩，走进金昌，宛若走进了花的海洋。,全年 9:00-21:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d5eea002b1856f6a89c91f7850c5286b.jpg_480x360x95_c73116fa.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
牵手林同心路,http://travel.qunar.com/p-oi32773903-qianshoulintongxinlu,,,,,--,,,,,2
三角城遗址Sanjiaocheng Ruins,http://travel.qunar.com/p-oi32466534-sanjiaochengyizhi,,,,,0.0,建议游览时间：2小时,,,,2
金川公司养鸡场,http://travel.qunar.com/p-oi26959912-jinchuangongsiyangjichang,,,,,--,,,,,2
天水路步行街TianShui Lu BuXingJie,http://travel.qunar.com/p-oi24437182-tianshuilubuxingjie,,,,https://flight-feed.qunarzz.com/as3/376/image/poi_vishnu/6255231e-6ec9-49f9-8738-0296ccbf1425.jpg,--,,,具体收费情况以现场公示为主,,2
西大河水库Xidahe Reservoir,http://travel.qunar.com/p-oi24410093-xidaheshuiku,"

地址:
甘肃省肃南裕固族自治县新城子镇

",西大河水库古称上房塞子，是一个自然生成的小盆地，库容量较大，水能资源丰富，是一座以农业灌溉为主，结合防洪、发电、养殖等多功能于一体的中型水库。,全年 9:00-17:00,,--,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
金水湖Jinshuihu,http://travel.qunar.com/p-oi23344211-jinshuihu,,金水湖湖畔种植了很多漂亮的花，秋日的金水湖格外的美，特别适合散步。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0696af1fa77b2448996963f27dff0145.jpg_480x360x95_2fb8eb96.jpg,4.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
北海子公园Beihaizi Park,http://travel.qunar.com/p-oi20961855-beihaizigongyuan,,北海子公园是古建筑群胜地，其金川寺历史悠久是必打卡之地。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0385deab9a4001dd27aeb078135528f8.jpg_480x360x95_a829be6b.jpg,0.0,建议游览时间：3小时,,,,3
金昌火车站广场,http://travel.qunar.com/p-oi20723139-jinchanghuochezhanguang,,,,,--,,,,,3
龙首湖Longshou Lake,http://travel.qunar.com/p-oi19973682-longshouhu,,,,,--,,,具体收费情况以现场公示为主,,3
