名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
麻蓝岛Malan Island,http://travel.qunar.com/p-oi708005-malandao,"

地址:
钦州市钦南区钦州湾

",麻蓝岛又名麻蓝头，是钦州湾上的一个海岛，位于钦州市犀牛脚镇的西北角，岛上空气清新，林茂浓郁，海滩宽阔平坦，礁石千姿百态，海产丰富，海景迷人，是钦州闻名海外的旅游胜地。,8：00－17：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/9e4c99fd3cf3f2ec57fa8b99e3757f66.jpg_480x360x95_453d3e72.jpg,3.4,建议游览时间：4小时,,具体收费情况以现场公示为主,,1
三娘湾Sanniang Bay,http://travel.qunar.com/p-oi701587-sanniangwan,,,,,,,,,,1
茅尾海,http://travel.qunar.com/p-oi715083-maoweihai,,茅尾海是个富饶美丽的半封闭内海，同时也是钦州四大海产品大蚝、对虾、青蟹、石斑鱼的主要产区。茅尾海的美在“海阔，浪静，泾幽”。正所谓是海阔任鱼游，天高任鸟飞，同时也暗示在这个和平，稳定的时代，我们可以发挥各自的特长，大显身手，同时你也会有一种“剑在手，问天下谁是英雄”的自豪感。茅尾海由于是半封闭的内海，所以境内风平浪静，她平均风力仅一到三级，宛如一面巨大的镜子镶嵌在北部湾的北端，在这片一望无际，风平如镜的海面上，你可忘却烦恼与忧愁，尽情享受这块属于...茅尾海是个富饶美丽的半封闭内海，同时也是钦州四大海产品大蚝、对虾、青蟹、石斑鱼的主要产区。茅尾海的美在“海阔，浪静，泾幽”。正所谓是海阔任鱼游，天高任鸟飞，同时也暗示在这个和平，稳定的时代，我们可以发挥各自的特长，大显身手，同时你也会有一种“剑在手，问天下谁是英雄”的自豪感。茅尾海由于是半封闭的内海，所以境内风平浪静，她平均风力仅一到三级，宛如一面巨大的镜子镶嵌在北部湾的北端，在这片一望无际，风平如镜的海面上，你可忘却烦恼与忧愁，尽情享受这块属于你自己的天地！遨游在这片茅尾海上就像荡漾在巨大的湖中，壮观的海景，秀丽的小岛，旖旎的水泾交融在一处，风光无限美，不是西湖，胜西湖呀！,,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/c4bdbfa4f35a0991c51c198d23ebdd88.jpg_480x360x95_a5490cab.jpg,4.3,,,,,1
七十二泾Seventy-two Waterways,http://travel.qunar.com/p-oi712966-qishierjing,"

地址:
钦州市钦南区大番坡镇茅尾海内


电话:
0777-3888978

",在钦州湾蔚蓝的海面上，有百余个形态各异的小岛散布其中，岛与岛之间被七十二条弯曲的水道环绕，这些水道就被称为“七十二泾”。泾如玉带，岛如明珠，人在船上坐，舟在泾中走，七十二泾素来有南国蓬莱的美名，这里有被誉为“海底活化石”的红树林，有孙中山铜像，还有仙岛公园、亚公山、鳄鱼石、六墩岛等景点。游览七十二泾以乘船游览为主，推荐的路线为七十二泾旅游码头-钦州港-龙门港-钦州港湿地公园红树林景区-七十二泾旅游码头。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2c49981abba55db5d2dc0cee8147b368.jpg_480x360x95_c317b3de.jpg,4.2,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
八寨沟Bazhaigou,http://travel.qunar.com/p-oi705067-bazhaigou,"

地址:
钦州市钦北区贵台镇垌利村


电话:
0777 578 8028


官网:
http://www.bzglyfjq.com/

",八寨沟是钦州市一处非常富有原生态的自然景观，幽幽竹林、山间小溪、清新空气，这里是天然的氧吧。游玩的最宜季节在夏季，那时气温舒适、植被茂密，堪称避暑圣地。不过由于夏季多雨，建议选择大晴天前往游玩。进入大门后，走过一段水泥路后，可看到白寨沟水车，继续往前经过售票处，沿着道路继续前行，这才算走到景区真正的大门，入口处有景区地图，有卖游泳衣和小食品还有水的摊位。接下来的路全是原始森林的人工栈道，栈道全是沿溪而修建的，可以随时下水玩耍。从这里开始便有两条线路可选，一条是前往瑶池方向的核心景区线路，一条线路是往万寿谷方向。大多数游客会选择核心景区线路，途中会经过几座小桥，还有一些美丽的水池，可以跳下去玩玩，如果是在雨季，池里的水更为充沛。其实最适合下水游玩的地方是将军潭。在将军潭这里有两种游玩方式：一是下水游玩，如果之前没有买泳衣的话，这里也可以购买，只是款式少，这里有可以换衣服的小木屋。二是继续往前去欣赏瑶池。去瑶池的话请预留游玩时间，这一段游玩时间需要4小时左右。沿途全是原始风貌的热带雨林风光，有奇石和清澈的泉水。继续前行至红石广场，不会游泳的游客可以在广场上戏水。沿着道路走，路过一颗好运树，可以许愿祈福。走着走着路过一座平安桥，在桥头有处泉眼，泉眼处的水可以直接饮用。一路上有奇石，接下来的南天门也是奇石的聚集地，之后便到达了瑶池，景区内较大的水池，一座人工的水库。,周一-周五8:30-17:00，周六、周日8:30-18:00。,https://img1.qunarzz.com/travel/d1/1602/26/316501125bb064f7.jpg_480x360x95_458176a7.jpg,4.4,建议游览时间：12小时 - 3天,,"{'八寨沟门票成人票\n\n': ['¥45起'], '八寨沟电子导览服务大小同价\n\n': ['¥6起']}",,1
龙门群岛,http://travel.qunar.com/p-oi715205-longmenqundao,,龙门群岛位于广西壮族自治区钦州市钦州港经济开发区西北部。钦州至钦州港公路可达。距钦州市区约25公里。是集自然景观和人文景观于一体的滨海型旅游区。明清时期一直是钦州的八景之一而备受赞誉。龙门群岛是由100多个大小各异的岛屿镶嵌在方圆约50平方公里的钦州湾海面上而形成。景区内山环水绕，扑朔迷离，风光旖旎，奇特秀丽，享有“南国蓬莱”之盛誉。主要由仙岛公园、七十二泾、茅尾海、龙门岛、亚公山、青菜头、绿岛、五马归槽等景点组成。而亚公山则因清康熙年间（公元1662年）...龙门群岛位于广西壮族自治区钦州市钦州港经济开发区西北部。钦州至钦州港公路可达。距钦州市区约25公里。是集自然景观和人文景观于一体的滨海型旅游区。明清时期一直是钦州的八景之一而备受赞誉。龙门群岛是由100多个大小各异的岛屿镶嵌在方圆约50平方公里的钦州湾海面上而形成。景区内山环水绕，扑朔迷离，风光旖旎，奇特秀丽，享有“南国蓬莱”之盛誉。主要由仙岛公园、七十二泾、茅尾海、龙门岛、亚公山、青菜头、绿岛、五马归槽等景点组成。而亚公山则因清康熙年间（公元1662年）岛上修建大皇庙，庙内塑大皇公神像而得名。岛南半崖上栖着大群水鸟，日落归巢时煞是壮观。岛北面还有一棵许愿树，飘舞的彩带寄托着渔民们祈求平安富足的美好愿望。 绿岛：又名六墩岛。酷似一条穿越碧波畅游大海的小青龙。岛上沙滩、奇石、树林，富有热带风情，岛上度假木屋、酒吧、亭台楼阁鳞次栉比，是一个别有情调的度假小岛。,,,5.0,,,,,1
灵东水库,http://travel.qunar.com/p-oi716208-lingdongshuiku,"

地址:
广西钦州市灵山县城东14公里


电话:
 0777-6321006

",又称“东湖”，位于灵山县城东14公里，在号称灵山第一峰的罗阳山翠峦环抱中，高山出平湖，水色湛蓝，似是一面明镜。该水库始建于1958年，当时全国兴修的十大水库之一，景区总面积728万平方米，现在已建设成为以灌溉防洪为主，兼发电、种养、旅游等综合利用，风景秀丽的人造湖，是水利部重点联系的大型水库之一，被列入广西滨海旅游风景区。水库东西走向，呈狭长形，水平直线长15000米，最宽处3150米，水面面积667万平方米。水云间15个岛屿，大则几千平方米，小则几百平方米，在水中...又称“东湖”，位于灵山县城东14公里，在号称灵山第一峰的罗阳山翠峦环抱中，高山出平湖，水色湛蓝，似是一面明镜。该水库始建于1958年，当时全国兴修的十大水库之一，景区总面积728万平方米，现在已建设成为以灌溉防洪为主，兼发电、种养、旅游等综合利用，风景秀丽的人造湖，是水利部重点联系的大型水库之一，被列入广西滨海旅游风景区。水库东西走向，呈狭长形，水平直线长15000米，最宽处3150米，水面面积667万平方米。水云间15个岛屿，大则几千平方米，小则几百平方米，在水中央的天湖岛上建有天湖岛度假村。水库大坝高30.6米，坝顶长1824米，巍横贯南北。坝堤西下三级斜坡，植草披绿，宛如凭空悬挂着一张宽幅的驼绒壁毯。坝堤临水一面以大石块镶嵌，侧看恰似巨龙卧波。大坝两端还建有东湖阁宾馆、东湖阁、东湖度假村和灵湖茜苑。,全天,,0.0,,,免费,,1
仙岛公园Xiandao Park (Southeast Gate),http://travel.qunar.com/p-oi701816-xiandaogongyuan,"

地址:
钦州市钦南区龟岛


电话:
0777-3887313

",仙岛公园又称逸仙公园，位于钦州港龙门群岛七十二泾景区入口处的龟岛上，因形似一只缓缓爬向海面的乌龟被称为“龟岛”，登岛远眺，钦州港区尽收眼底。公园与钦州港中心广场遥相呼应，配套建成了环岛路、游乐码头、风轮台、金鼎坛、聚英台。,9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1d09446fc424d0bd7c30d18d83d7971f.jpg_480x360x95_c481423a.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
刘永福故居,http://travel.qunar.com/p-oi713327-liuyongfuguju,"

地址:
广西壮族自治区钦州市钦城管理区扳桂街10号


电话:
0777-2842829

",故居又名三宣堂，在钦州市。刘永福在越南抗法战争中屡立战功，被越南王封为三宣提督，其故居则据此命名。刘永福（1837-1917），字渊亭，广西上思人，雇工出身。1857年，在太平天国革命影响下参加天地会起义军。1864年在归顺州（今靖西）安德组织黑旗军。在中法战争中，率领黑旗军与法国侵略者抗击，先后取得罗池大捷、纸桥大捷等，还抗旨保台，打击日寇，是著名的爱国将士。三宣堂不仅是爱国主义教育基地，还具有很高的艺术价值。它建于1891年，占地面积22776平方米，建筑面积5622.5...故居又名三宣堂，在钦州市。刘永福在越南抗法战争中屡立战功，被越南王封为三宣提督，其故居则据此命名。刘永福（1837-1917），字渊亭，广西上思人，雇工出身。1857年，在太平天国革命影响下参加天地会起义军。1864年在归顺州（今靖西）安德组织黑旗军。在中法战争中，率领黑旗军与法国侵略者抗击，先后取得罗池大捷、纸桥大捷等，还抗旨保台，打击日寇，是著名的爱国将士。三宣堂不仅是爱国主义教育基地，还具有很高的艺术价值。它建于1891年，占地面积22776平方米，建筑面积5622.5平方米，有大小厅房119间，用料考究，造型端庄而朴实，规模宏大，布局独特。主屋分三进，坐北朝南，为中国式圆柱瓦檐，墙上有圣贤豪杰、文武将臣、彩凤仙鹤等一百多幅画，金饰彩绘，神韵优雅，栩栩如生，与雕梁画栋交相辉映，既有晚清风格，又有民族特色。四周有高墙炮楼，正屋前有广场照壁，四周有花草树木，是一座气势不凡、宏伟富丽、典型古朴的建筑。,8：00-12：00；15：00-18：00,https://img1.qunarzz.com/piao/fusion/1903/b3/76e38f76aa01d802.jpg_480x360x95_75ef52b7.jpg,4.5,,,15元,,1
冯子材故居Fengzicai Former Residence,http://travel.qunar.com/p-oi714334-fengzicaiguju,"

地址:
钦州市钦北区宫保街70号


电话:
0777-2825466,0777-3690111

",晚清抗法名将冯子材的故居位于钦州城北，坐北向南。坐落于三座山丘之上，周围有墙垣，院内有碑林，字迹清秀，笔势劲遒，整个居所古意盎然，沧桑古朴，别具一格。,全年 9:00-17:00,https://img1.qunarzz.com/piao/fusion/1903/82/994107ea6dab702.jpg_480x360x95_d1fb0d77.jpg,4.2,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
