名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
象牙山旅游景区Xiangya (Elephant Tusk) Mountain,http://travel.qunar.com/p-oi707043-xiangyashanlu:youjing,"

地址:
铁岭市开原市松山镇松山乡英城子村


电话:
024-73291333

",辽北火山岩地质公园。金朝时称此山为松山，亦名“向阳山”，后因音转为象牙山。象牙山风景区面积为99平方公里，为长白山哈达岭余脉，主峰高615.2米。象牙山天设地造许多奇观异景，有怪石突兀的羊肠凳，石脊蜿蜒而上的长城栈道，栩栩如生的天然大佛、玉壶乾坤及对吻石，更有夹扁石群。山上植被丰富，物种繁多。桑、柞、松、柳等古树，榛、麻、梨、果应有尽有，享有人间花果山、世外桃源之美誉。景区内分东、西2条旅游线路。有天梯、天衣一缝、沉天缝、会仙棚、度仙棚、聚仙棚、飞来石、将军床、猴石、蝴蝶泉、婵娟湖等，不仅曲径通幽，怪石嶙峋，又有丰富的历史积淀，如清代风格特色的“清诗屏”，唐朝李世民为躲盖苏文追杀的藏君洞，见证历史烟火的烽火台，佛家修建的万象塔等，共计有景点40余处。一年一度的象牙山梨花节成为辽北重要的节日，吸引着大量游客前来观光旅游。全象牙山庄占地面积为一万平方米，为电视连续剧《马大帅1》、《马大帅2》、《马大帅3》的拍摄主景地，随着电视剧在全国的热播，年接待游客达50万人次。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1701/c5/791b358665ea46b5.jpg_480x360x95_748c6726.jpg,3.6,建议游览时间：5小时,,具体收费情况以现场公示为主,,1
乡村爱情拍摄基地Film Set of Country Love Romance,http://travel.qunar.com/p-oi712661-xiangcunaiqingpaisheji,"

地址:
铁岭市开原市松山堡乡木鱼沟村象牙山风景区影视基地


电话:
024-73898888

",《乡村爱情》这部电视剧拍摄的主要场景地开原市松山乡木鱼沟村是一个很普通的小山村，山青水秀。远远地就可以望见一个大大的木制的村门，上面写着“乡村爱情”四个大字，告诉人们这里就是的拍摄地了。进村不远，就是一个小广场，几个主要的拍摄景点都在这里了：西侧是“谢大脚食杂店”，南侧是村部和村卫生所，东侧是一条小溪，隔溪便是村长的家，溪上还有一座为拍电视剧而新建的水泥桥。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/1a0eb470cd9647ecb13c381ce6a454c7.jpg_480x360x95_6ecb95c0.jpg,4.1,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
铁煤蒸汽机车博物馆Tiemeizhengqijiche Museum,http://travel.qunar.com/p-oi707397-tiemeizhengqijichebowu,"

地址:
铁岭市调兵山市晓明镇政府对面


电话:
024-76826143

","铁煤蒸汽机车博物馆为国家AAAA级旅游景区，全国工业旅游示范点，辽宁省科普基地，位于辽宁省北部的煤城调兵山市，隶属于铁法能源公司。距铁岭35公里，距沈阳96公里。是以蒸汽机车旅游为主，工业矿井游、金文化游为辅的特色旅游品牌。
景区拥有当今世界上仅存不多并且能正常运行的多种型号的蒸汽机车21台，出厂时间从1943年到1999年不等，运行于横跨三县两市的240公里的旅游铁道线路上；占地3000余平方米的蒸汽机车陈列馆馆藏着这些珍贵的机车，随时为您整装待发；占地1500平方米的蒸汽机车博览园浓缩了蒸汽机车的发展史，藏有很多蒸汽机车的珍贵图片、零部件实物及机车模型，并且利用光、电、声等现代科技手段展示蒸汽机车的工作原理、运行状态，惟妙惟肖，有很高的观赏和科普学习价值。另外机车摄影作品和影视作品也定会让您眼前一亮。",全年 08:30-16:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/fb9d9f7ebf12ebffa616a96155ea8662.jpg_480x360x95_d6e4ede4.jpg,4.4,建议游览时间：1小时,,"{'铁煤蒸汽机车博物馆门票成人票\n\n': ['¥80起'], '铁煤蒸汽机车博物馆陈列馆+博览园套票优待票\n\n': ['¥50起']}",,1
城子山山城遗址,http://travel.qunar.com/p-oi702084-chengzishanshanchengyi,,"位于延吉市东约10公里延吉市与龙井市交界处，布尔哈通河与海兰江汇流处的城子山上。城子山，因山上建有古城，故名。山顶四周有上石混筑的城庙，长约4.5公里，中部有宫殿址遗迹，出土许多东夏国文物。金末为东夏国南京址。城垣依山势以石材修筑，呈不规则椭圆形，基宽5一7米，高1一3米，周长44.54米。有4门址。东南门修在山岗上，较窄，无瓮城。门外陡坡上有一""之""字形古道，门内侧近处，有一组建筑遗迹。东门、北门，分别修在沟口处，较宽，有瓮城，是出入城内外的主要通道。西门位于...位于延吉市东约10公里延吉市与龙井市交界处，布尔哈通河与海兰江汇流处的城子山上。城子山，因山上建有古城，故名。山顶四周有上石混筑的城庙，长约4.5公里，中部有宫殿址遗迹，出土许多东夏国文物。金末为东夏国南京址。城垣依山势以石材修筑，呈不规则椭圆形，基宽5一7米，高1一3米，周长44.54米。有4门址。东南门修在山岗上，较窄，无瓮城。门外陡坡上有一""之""字形古道，门内侧近处，有一组建筑遗迹。东门、北门，分别修在沟口处，较宽，有瓮城，是出入城内外的主要通道。西门位于西山之上的城垣中部，门外有一""八""字形防御设施。城内地势开阔，于城中央的缓坡上有宫殿址一处，作为阶梯式，共9阶。每阶约宽10米，长约17米，其上排列有础石。础石排列平面呈长方形，加工比较粗糙。殿址上散布着青灰色布纹瓦和泥质灰陶瓦片。城内尚存多处居住址。距北门约600米处的北侧慢坡上、有密集的居住址，地表散布大量辽金时期的碎砖、残瓦。在宫殿址的南侧和西部，也有较大面积的居住址，散布辽、金时期文物。东南门近处，有一小围墙遗迹，围墙内散布辽、金时期的灰砖瓦。城时期的灰砖瓦。城内西侧坡地上，可隐约见到排列有序的凹陷的居住址。在宫殿址对面坡地上，有很多褐色或红褐色板瓦，其凸面上饰有绳纹、网格纹、席纹等。这种板瓦与集安市出土的高句丽板瓦相似。",,,--,,,,,1
铁岭博物馆Tieling Museum,http://travel.qunar.com/p-oi722606-tielingbowuguan,"

地址:
铁岭市银州区文化路88号（近银冈书院）


电话:
024-74152308,024-72823205

",铁岭博物馆藏品5000余件，以辽北地方出土的文物为主，其中不乏珍品。如，商周时期的青铜钺；西汉的透雕青铜牌饰；辽代晚期北府宰相萧义墓志等。铁岭博物馆有永久性专题陈列两个：《辽北历史文物陈列》和《铁岭地志展》。《辽北历史文物陈列》以辽北地方历史发展时空为脉络、以出土文物为基础，再现了近万年来当地的社会生产和生活状况，真实地反映了辽北人民在各个不同历史时期所创造的文明成果。《铁岭地志展》以富有代表性的标本、产成品实物及模型、图片、数据资料等，全面、概括地表现了铁岭市自然环境、物产资源、人文景观、历代名人及社会物质、精神文明的发展现状。,全年 8:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4cf27bc9b5d2b499e55ea306295301c0.jpg_480x360x95_c858b641.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
清河旅游度假区Tieling Qinghe Provincial Tourism Holiday Resort,http://travel.qunar.com/p-oi709470-qinghelu:youdujiaqu,"

地址:
铁岭市清河区境内清河水库正门北走3000米（清河新城正门北走500米）


电话:
024-72115505

",清河旅游度假区座落于铁岭市清河区境内，距铁岭市政府所在地40公里，距京哈铁路开原站9公里，距沈哈高速公路开原出入口10公里，交通便利，环境优美。清河旅游度假区以清河水库为依托，依山傍水，风光旖旎，起伏的丘峦和成片的松林十分秀丽。清河水库为辽宁省第三大水库，库区面积54平方公里，水质清澈，水面开阔，湖岸蜿蜒曲折，自然流畅，江岛垂钓、碧水荡舟，给人湖光山色之感。水库四周群山环抱，动、植物资源丰富，拥有大片保护良好的天然林。工业观光游参观以清河发电厂、墨尼啤酒厂、特钢厂等为代表的工业企业。农业生态游参观以葡萄种植基地、花卉栽培基地、工厂化林蛙养殖基地、畜牧小区、旱作农业园、自摘果园等为代表的农业旅游景点。“城市上班族，假日作农夫”，别有一番情趣。民俗风情游参观以石家满族村、东华鲜族村为代表的满族和鲜族民俗风情。清河区是满族、鲜族聚集区，游客可品尝到富有民族特色的美食，欣赏民族风情舞、婚俗表演等民族风俗文化。乡村田园游参观以石家满族村、东华鲜族村为代表的乡村，食农家饭菜，品乡村风情，远离城市喧嚣，尽享田园生活。森林风光游清河旅游度假区植被茂密，有松、锻、桦、柏、山杨、垂柳、麻栎、槐等多种林木，充满原始气息，游客可参观山林风光、奇花异草，于森林野营。《刘老根》第二部拍摄基地游电视剧《刘老根》第二部拍摄基地就位于此，根据剧情的需要，其建筑规模比第一部更加宏大。一座座小木屋，小木楼在山林中若隐若现，与大自然浑然一体，水上的木廊、木桥更使山庄多了一份惬意。,暂停营业，具体开放时间详见公示；原开放时间为9:00-19:00。,https://img1.qunarzz.com/p/tts7/1712/18/cb6b6899ce732802.jpg_480x360x95_584678a7.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
龙山,http://travel.qunar.com/p-oi706601-longshan,,"龙山风景名胜区位于铁岭市区中心，是辽宁省省级风景名胜区。风景区分为龙首山、柴河、帽山三大景区，总面积9.47平方公里，其中龙首山景区2.22平方公里，柴河景区2.32平方公里，帽山景区4.93平方公里。1991年龙山风景名胜区已被省政府命名为省级风景名胜区。铁岭有龙首山、帽峰山、柴河水库、清河水库四个较大风景区。其中，遐迩闻名的龙首山风景区，西窥城廓，东枕柴河，蜿蜒起伏十华里，纵贯银州南北，呈现一幅巨龙欲飞的自然影观。这里春季满山樱花、桃花、杏花和梨花，竞相开放，...龙山风景名胜区位于铁岭市区中心，是辽宁省省级风景名胜区。风景区分为龙首山、柴河、帽山三大景区，总面积9.47平方公里，其中龙首山景区2.22平方公里，柴河景区2.32平方公里，帽山景区4.93平方公里。1991年龙山风景名胜区已被省政府命名为省级风景名胜区。铁岭有龙首山、帽峰山、柴河水库、清河水库四个较大风景区。其中，遐迩闻名的龙首山风景区，西窥城廓，东枕柴河，蜿蜒起伏十华里，纵贯银州南北，呈现一幅巨龙欲飞的自然影观。这里春季满山樱花、桃花、杏花和梨花，竞相开放，郁香醉人；盛夏绿草如茵，百鸟啼鸣；金秋松柏苍劲，红叶满山；隆冬白雪皑皑，银装素裹。四季秀美的自然景色与山中的亭、台、楼、阁相映成趣，使整个风景区到处充满诗情画意。清康熙皇帝东巡时路经此地，曾留下""雨余塞草自绿，日出山花更红""的赞美诗句。著名的慈清寺位于龙首山的北部山顶，相传始建于唐代，原名秀峰寺、水潮寺，清初改称为慈清寺。整个寺由正殿、东西配殿和醉翁楼组成一个四合院。正殿内有如来、观单、托塔李天王、韦驮和十八罗汉等塑像，西侧一间正房是三清观，里面有玉清无始天尊、上清灵宝天尊，太清太上老君塑像。醉翁楼是古时当地官绅们饮酒、赏景的地方。三十年代，慈清寺住持曾在日本取回大藏经一套藏于此楼，故也称为藏经阁。",,https://img1.qunarzz.com/travel/d2/1605/52/1bc8582eca9fc5f7.jpg_480x360x95_74729b9d.jpg,4.5,,,,,1
周恩来纪念馆,http://travel.qunar.com/p-oi722462-zhouenlaijinianguan,"

地址:
辽宁省铁岭市银州区红旗街

",铁岭市周恩来纪念馆又名周恩来少年读书旧址纪念馆，位于辽宁省铁岭市银州区红旗街。1979年9月，经中共辽宁省委和铁岭地委批准，在银岗书院小学旧址建立起来，并被列为省级文物保护单位。1990年3月，李鹏为该馆题写匾额。　　纪念馆建筑为清代青砖木结构瓦房，建于1658年，系原银岗书院的中院及西院一部分。中院为四合院格局，两层院子，前院为门房、正房、东西厢房各3间，各房之间由4个月亮门连接。1910年春，12岁的周恩来随三堂伯来此读书，对其以后走上革命道路产生很大的影响。纪念...铁岭市周恩来纪念馆又名周恩来少年读书旧址纪念馆，位于辽宁省铁岭市银州区红旗街。1979年9月，经中共辽宁省委和铁岭地委批准，在银岗书院小学旧址建立起来，并被列为省级文物保护单位。1990年3月，李鹏为该馆题写匾额。　　纪念馆建筑为清代青砖木结构瓦房，建于1658年，系原银岗书院的中院及西院一部分。中院为四合院格局，两层院子，前院为门房、正房、东西厢房各3间，各房之间由4个月亮门连接。1910年春，12岁的周恩来随三堂伯来此读书，对其以后走上革命道路产生很大的影响。纪念馆现为革命纪念地、历史文物遗址、爱国主义教育示范基地和省级文物保护单位。　　纪念馆前院东厢房就是周恩来少年读古文斋房，西院是少年周恩来读书的教室。每一个院为一个展区，展出周恩来在铁岭读书、视察及生平业绩，是进行革命传统教育的重要基地。,8：30-17：00,https://img1.qunarzz.com/travel/d5/1410/10/60953ead18ebdd73ffffffffc8d65eac.jpg_480x360x95_a2184ae2.jpg,5.0,,,10元,,1
七道壕冰雪乐园,http://travel.qunar.com/p-oi39638461-qidaohaobingxueleyuan,,,,,0.0,,,,,1
铁岭冰雪嘉年华,http://travel.qunar.com/p-oi39585624-tielingbingxuejianian,,铁岭冰雪嘉年华位于铁岭市新区钻石广场，双冰滑道70米长，多滑雪滑道70米长。景区项目包含：雪地转转冰车，雪地保龄球，冰上单腿驴，雪地平衡车，滑雪鞋，滑雪板，雪地足球，雪地拔河无动力滑雪车，滑雪碟，情侣冰上自行车，雪地龙舟 企鹅雪板，冰滑车，雪滑车，冰上速滑。,,,0.0,,,,,1
