名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
丝路雄关景区,http://travel.qunar.com/p-oi36261709-siluxiongguanjingqu,"

地址:
铁门关市明珠街铁门关城楼广场


电话:
0996-2024372

",丝路雄关景区成立于2016年3月，位于第二师铁门关市，占地面积181.46亩。景区整体采用仿古建筑形式，是集人文景观、军垦文化、丝路文化、户外拓展，园林休闲，特色购物体验为一体的城市复合型景区。景区以关口文化为主线，设置停车区、绿化区、游客集散广场、景观关楼、关隘城墙组成丝路文化景区。关口北侧以张骞出使西域圆雕为起点，途经铁门关关口，再现千年丝路长河；向南紧临“盛世汉唐”浮雕，以“通、卫、和、盛”为主题展示一代代丝路人的艰辛与辉煌；进入圆融广场，整体轮廓以中国结为造型，寓意团结、幸福、平安、融合；沿圆融广场向南，观将军河景区水系，丝绸之路的历史长河缓缓流入铁门雄关。景区观楼下设置特色旅游购物区，书画交流鉴赏区、文化体验区等，功能分区清晰，动静皆宜，雅俗共赏。,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,1
第二师铁门市渤海教导旅纪念馆,http://travel.qunar.com/p-oi36259976-diershitiemenshibohai,"

地址:
铁门关市孔雀西路与为民街交叉口


电话:
0966-2920621

",第二师渤海教导旅纪念馆位于将军河南岸，是“四馆合一”建筑群的主体部分。纪念馆建筑面积2700平方米，2019年10月施工建设，2020年5月正式开馆，是二师人传承红色基因，秉承革命历史传统，不忘初心，牢记使命的教育基地，也是二师红色文化多年积淀的综合展示。纪念馆展陈内容除“续篇”和“尾声”外，分为三个篇章，第一篇章:“星火宝塔山，建军渤海湾”，以时间轴追溯二师源头，一直追溯到红军时期的1930年10月在湖南东部萍乡大安里成立的“湘东独立师”，把二师从哪里来展呈了出来，经过第二篇章“雷霆剑出鞘，浴血大西北”（1947-1949），到第三篇章“军旗向天山，屯垦驻边关”（1949-1954），展现了二师过往可歌可泣的峥嵘岁月。,全年 10:00-18:00,,0.0,,,具体收费情况以现场公示为主,,1
丝路雄关景区,http://travel.qunar.com/p-oi36261709-siluxiongguanjingqu,"

地址:
铁门关市明珠街铁门关城楼广场


电话:
0996-2024372

",丝路雄关景区成立于2016年3月，位于第二师铁门关市，占地面积181.46亩。景区整体采用仿古建筑形式，是集人文景观、军垦文化、丝路文化、户外拓展，园林休闲，特色购物体验为一体的城市复合型景区。景区以关口文化为主线，设置停车区、绿化区、游客集散广场、景观关楼、关隘城墙组成丝路文化景区。关口北侧以张骞出使西域圆雕为起点，途经铁门关关口，再现千年丝路长河；向南紧临“盛世汉唐”浮雕，以“通、卫、和、盛”为主题展示一代代丝路人的艰辛与辉煌；进入圆融广场，整体轮廓以中国结为造型，寓意团结、幸福、平安、融合；沿圆融广场向南，观将军河景区水系，丝绸之路的历史长河缓缓流入铁门雄关。景区观楼下设置特色旅游购物区，书画交流鉴赏区、文化体验区等，功能分区清晰，动静皆宜，雅俗共赏。,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,2
第二师铁门市渤海教导旅纪念馆,http://travel.qunar.com/p-oi36259976-diershitiemenshibohai,"

地址:
铁门关市孔雀西路与为民街交叉口


电话:
0966-2920621

",第二师渤海教导旅纪念馆位于将军河南岸，是“四馆合一”建筑群的主体部分。纪念馆建筑面积2700平方米，2019年10月施工建设，2020年5月正式开馆，是二师人传承红色基因，秉承革命历史传统，不忘初心，牢记使命的教育基地，也是二师红色文化多年积淀的综合展示。纪念馆展陈内容除“续篇”和“尾声”外，分为三个篇章，第一篇章:“星火宝塔山，建军渤海湾”，以时间轴追溯二师源头，一直追溯到红军时期的1930年10月在湖南东部萍乡大安里成立的“湘东独立师”，把二师从哪里来展呈了出来，经过第二篇章“雷霆剑出鞘，浴血大西北”（1947-1949），到第三篇章“军旗向天山，屯垦驻边关”（1949-1954），展现了二师过往可歌可泣的峥嵘岁月。,全年 10:00-18:00,,0.0,,,具体收费情况以现场公示为主,,2
丝路雄关景区,http://travel.qunar.com/p-oi36261709-siluxiongguanjingqu,"

地址:
铁门关市明珠街铁门关城楼广场


电话:
0996-2024372

",丝路雄关景区成立于2016年3月，位于第二师铁门关市，占地面积181.46亩。景区整体采用仿古建筑形式，是集人文景观、军垦文化、丝路文化、户外拓展，园林休闲，特色购物体验为一体的城市复合型景区。景区以关口文化为主线，设置停车区、绿化区、游客集散广场、景观关楼、关隘城墙组成丝路文化景区。关口北侧以张骞出使西域圆雕为起点，途经铁门关关口，再现千年丝路长河；向南紧临“盛世汉唐”浮雕，以“通、卫、和、盛”为主题展示一代代丝路人的艰辛与辉煌；进入圆融广场，整体轮廓以中国结为造型，寓意团结、幸福、平安、融合；沿圆融广场向南，观将军河景区水系，丝绸之路的历史长河缓缓流入铁门雄关。景区观楼下设置特色旅游购物区，书画交流鉴赏区、文化体验区等，功能分区清晰，动静皆宜，雅俗共赏。,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,3
第二师铁门市渤海教导旅纪念馆,http://travel.qunar.com/p-oi36259976-diershitiemenshibohai,"

地址:
铁门关市孔雀西路与为民街交叉口


电话:
0966-2920621

",第二师渤海教导旅纪念馆位于将军河南岸，是“四馆合一”建筑群的主体部分。纪念馆建筑面积2700平方米，2019年10月施工建设，2020年5月正式开馆，是二师人传承红色基因，秉承革命历史传统，不忘初心，牢记使命的教育基地，也是二师红色文化多年积淀的综合展示。纪念馆展陈内容除“续篇”和“尾声”外，分为三个篇章，第一篇章:“星火宝塔山，建军渤海湾”，以时间轴追溯二师源头，一直追溯到红军时期的1930年10月在湖南东部萍乡大安里成立的“湘东独立师”，把二师从哪里来展呈了出来，经过第二篇章“雷霆剑出鞘，浴血大西北”（1947-1949），到第三篇章“军旗向天山，屯垦驻边关”（1949-1954），展现了二师过往可歌可泣的峥嵘岁月。,全年 10:00-18:00,,0.0,,,具体收费情况以现场公示为主,,3
丝路雄关景区,http://travel.qunar.com/p-oi36261709-siluxiongguanjingqu,"

地址:
铁门关市明珠街铁门关城楼广场


电话:
0996-2024372

",丝路雄关景区成立于2016年3月，位于第二师铁门关市，占地面积181.46亩。景区整体采用仿古建筑形式，是集人文景观、军垦文化、丝路文化、户外拓展，园林休闲，特色购物体验为一体的城市复合型景区。景区以关口文化为主线，设置停车区、绿化区、游客集散广场、景观关楼、关隘城墙组成丝路文化景区。关口北侧以张骞出使西域圆雕为起点，途经铁门关关口，再现千年丝路长河；向南紧临“盛世汉唐”浮雕，以“通、卫、和、盛”为主题展示一代代丝路人的艰辛与辉煌；进入圆融广场，整体轮廓以中国结为造型，寓意团结、幸福、平安、融合；沿圆融广场向南，观将军河景区水系，丝绸之路的历史长河缓缓流入铁门雄关。景区观楼下设置特色旅游购物区，书画交流鉴赏区、文化体验区等，功能分区清晰，动静皆宜，雅俗共赏。,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,4
第二师铁门市渤海教导旅纪念馆,http://travel.qunar.com/p-oi36259976-diershitiemenshibohai,"

地址:
铁门关市孔雀西路与为民街交叉口


电话:
0966-2920621

",第二师渤海教导旅纪念馆位于将军河南岸，是“四馆合一”建筑群的主体部分。纪念馆建筑面积2700平方米，2019年10月施工建设，2020年5月正式开馆，是二师人传承红色基因，秉承革命历史传统，不忘初心，牢记使命的教育基地，也是二师红色文化多年积淀的综合展示。纪念馆展陈内容除“续篇”和“尾声”外，分为三个篇章，第一篇章:“星火宝塔山，建军渤海湾”，以时间轴追溯二师源头，一直追溯到红军时期的1930年10月在湖南东部萍乡大安里成立的“湘东独立师”，把二师从哪里来展呈了出来，经过第二篇章“雷霆剑出鞘，浴血大西北”（1947-1949），到第三篇章“军旗向天山，屯垦驻边关”（1949-1954），展现了二师过往可歌可泣的峥嵘岁月。,全年 10:00-18:00,,0.0,,,具体收费情况以现场公示为主,,4
丝路雄关景区,http://travel.qunar.com/p-oi36261709-siluxiongguanjingqu,"

地址:
铁门关市明珠街铁门关城楼广场


电话:
0996-2024372

",丝路雄关景区成立于2016年3月，位于第二师铁门关市，占地面积181.46亩。景区整体采用仿古建筑形式，是集人文景观、军垦文化、丝路文化、户外拓展，园林休闲，特色购物体验为一体的城市复合型景区。景区以关口文化为主线，设置停车区、绿化区、游客集散广场、景观关楼、关隘城墙组成丝路文化景区。关口北侧以张骞出使西域圆雕为起点，途经铁门关关口，再现千年丝路长河；向南紧临“盛世汉唐”浮雕，以“通、卫、和、盛”为主题展示一代代丝路人的艰辛与辉煌；进入圆融广场，整体轮廓以中国结为造型，寓意团结、幸福、平安、融合；沿圆融广场向南，观将军河景区水系，丝绸之路的历史长河缓缓流入铁门雄关。景区观楼下设置特色旅游购物区，书画交流鉴赏区、文化体验区等，功能分区清晰，动静皆宜，雅俗共赏。,全年 全天开放,,0.0,,,具体收费情况以现场公示为主,,5
第二师铁门市渤海教导旅纪念馆,http://travel.qunar.com/p-oi36259976-diershitiemenshibohai,"

地址:
铁门关市孔雀西路与为民街交叉口


电话:
0966-2920621

",第二师渤海教导旅纪念馆位于将军河南岸，是“四馆合一”建筑群的主体部分。纪念馆建筑面积2700平方米，2019年10月施工建设，2020年5月正式开馆，是二师人传承红色基因，秉承革命历史传统，不忘初心，牢记使命的教育基地，也是二师红色文化多年积淀的综合展示。纪念馆展陈内容除“续篇”和“尾声”外，分为三个篇章，第一篇章:“星火宝塔山，建军渤海湾”，以时间轴追溯二师源头，一直追溯到红军时期的1930年10月在湖南东部萍乡大安里成立的“湘东独立师”，把二师从哪里来展呈了出来，经过第二篇章“雷霆剑出鞘，浴血大西北”（1947-1949），到第三篇章“军旗向天山，屯垦驻边关”（1949-1954），展现了二师过往可歌可泣的峥嵘岁月。,全年 10:00-18:00,,0.0,,,具体收费情况以现场公示为主,,5
