名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
梵净山Mount Fanjing,http://travel.qunar.com/p-oi703038-fanjingshan,"

地址:
贵州省铜仁市江口县太平乡黑湾河梵净山景区


电话:
4009976999


官网:
http://www.fjsfjq.com/

",梵净山位于贵州省东北部的铜仁地区，海拔2572米，系武陵山脉主峰、联合国“人与生物圈”保护网成员、世界自然遗产、国家5A级旅游景区。总面积567平方公里。原始洪荒是梵净山的景观特征，全境山势雄伟、层峦叠嶂，溪流纵横、飞瀑悬泻。其标志性景点有：红云金顶、月镜山、万米睡佛、蘑菇石、万卷经书、九龙池、凤凰山等。梵净山原名“三山谷”，得名于“梵天净土”。这里的佛教开创于唐，鼎兴在明，是一座历史悠久的佛教名山。此外，梵净山还有丰富的野生动植物资源，有黔金丝猴、珙桐等珍稀物种。梵净山是武陵山脉的主峰，位于江口、印江、松桃三县交界处，山体庞大雄浑，摩云接天，早在明初就被尊为名岳之宗，是有名的佛教圣地。此外，梵净山还拥有成片的红叶观赏区，每到秋天，层林尽染，红叶与山上的庙宇交相辉映。在这里可以坐着缆车俯瞰连绵不断的红叶，也可以漫步于山间，感受两旁和头顶的红叶似火。红云金顶是佛山之核心。绝峰上两殿鼎峙，两佛临銮，无边法界的营造，是南宋白莲社在“人间净土”建设上的点睛之笔，是名山佛教发展史上的一个奇迹，是红云之上盛开的一朵奇葩。 从景区门口坐观光车到索道，然后坐索道上去后向前走到顶就是有名的“蘑菇石”。它如名字一样，上大下小，形似蘑菇，高约十米，在山上矗立了10亿年之久。山顶的左边是红金云顶，右边是旧金顶，十分壮观。,03/01-10/31 07:00-18:00;11/1-2/28 08:00-15:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/fcd49e2362daa71ee1598d703783e831.jpg_480x360x95_24b93b66.jpg,4.4,建议游览时间：12小时 - 3天,梵净山属于亚热带季风湿润气候，气候宜人，夏无酷暑，冬无严寒，空气不干燥，四季无风沙，年平均气温15.3℃。其中，最热的七月下旬，平均气温为24℃，最冷的一月上旬，平均气温是4.6℃。4-7月雨水比较多，主要上晚上下雨。9-11月雨水较少。1、2月梵净山山顶会出现冰冻，下雪。山顶无夏天。Tips：梵净山3月可看油菜花；6、7、8太平河沿途可游泳；10、11月太平河沿岸红叶漫山遍野。最佳旅游季节是夏秋季。夏秋季节气温凉爽，不但可以避暑还可以游览到壮丽的景观。,"{'梵净山东门票（江口县）+往返观光车票成人票\n\n': ['¥120起'], '梵净山东门票（江口县）+往返观光车票儿童票\n\n': ['¥20起'], '梵净山东门票（江口县）+往返观光车票老人票\n\n': ['¥20起']}",1. 游玩梵净山时，从江口方向上山，印江方向下山，特点是可以看到较为全面的梵净山风貌，上山约4-5小时，下山约1小时。2. 印江方向上山，江口方向下山，适合想要轻松但有点挑战的人。特点是上山较为轻松，且能看到美景，但是下山要走近8000的台阶。一般上山2-2.5小时，下山可能要2-3小时。但是印江到梵净山的中巴车非常少，即使有也只到山下的山门，从山下到棉絮岭几乎没车，只能包车，一辆小巴车最少200元。人多可以考虑，人少不建议走印江。梵净山主要的风景都在金顶附近，现在有缆车了，一天可以轻松游览。3. 不管走哪条线路上下山，都可以选择当日上下（需要一早开始爬山），也可以选择在山上住一晚，第二天看完日出再下山。4. 梵净山景区建议平时最好不要入住山上，以免对环境造成更大污染。现在索道开通，一天上下时间足够了。山门外有很多农家乐，条件也不错。5. 要想徒步登顶又当天下山的话，请一定要在江口县住宿，第二天早起爬山。山上有规定：“每日下午14点到次日7点期间，禁止游客徒步下山”，因为14点以后出发很难走完，夜间山里蛇虫野兽伤人。6. 爬山时会特别热，最好带一张毛巾，爬山时间慢的约需5—6小时，快的也要3—4小时，有滑杆。沿途没有或很少有卖吃的，最好自己带一些干粮。7. 夏季当心蛇，沿山路走一般不易碰到蛇，可别另辟蹊径。8. 山地风云变幻莫测，选择好天气上山，否则遇上大雾有什么景观都看不见的遗憾，能见度差的天气还需十分注意安全，千万别站在悬崖峭壁边上。9. 根据不同的上山地点，通常游览梵净山有南线和西线两种选择，如需乘坐索道只能选择由南线上山。10. 梵净山为中亚热带山地季风气候特征，气候变化多端，昼夜温度变化快。夜间最冷。建议备好雨衣雨伞。（山顶有一次性雨衣卖，经济实惠，山顶风大，雨衣比雨伞更实用），另外在山顶过夜，一定要带好御寒衣服。11. 每年的4-5月是梵净山最美的季节，可以看到满山的野生杜鹃花。农历八月十五左右，天气通常较为晴朗，白天看日出，晚上能赏月。去梵净山一定要避开连绵的雨季，否则上到山顶什么也看不见，也会增加危险性。,1
红云金顶Hongyun Jinding,http://travel.qunar.com/p-oi7336037-hongyunjinding,"

地址:
贵州省铜仁地区梵净山景区红云金顶


电话:
0856-6720358

",红云金顶石峰位于梵净山景区内，高达94米，挺拔峻峭，像一根巨大的擎天石柱拔地而起。它与月镜山南北相望，形成两峰对仗之势，景致极其壮观。金顶石峰下临深壑，于百里以外遥望，有如玉笋插天。其顶部常有云雾缭绕，在阳光的辉映之下，云彩灿烂绚丽，因此被称为“红云金顶”，谐“鸿运金顶”之音。,全年 08:00-18:00,https://img1.qunarzz.com/travel/d0/1410/11/9d86300d0d31140affffffffc8d65eac.jpg_480x360x95_21fd53ea.jpg,4.7,建议游览时间：3天,四季皆宜，风景各异，但夏秋季最佳。夏秋季气温凉爽，适合爬山避暑。,"{'【100%纯玩】梵净山1日●超长游览时间●自营高品●专车专导\n\n': ['¥326起'], '梵天净土·贵州梵净山纯玩一日游│登红云金顶+蘑菇石·礼佛圣地\n\n': ['¥288起'], '【贵阳心脏】100%真纯玩●西江+小七孔+黄果树+梵净山4日\n\n': ['¥1298起']}",夏季当心蛇，沿山路走一般不易碰到蛇，切记不可另辟蹊径。,1
铜仁大峡谷,http://travel.qunar.com/p-oi7469444-tongrendaxiagu,,,,,,,,,,1
铜仁古城Tongren Ancient City,http://travel.qunar.com/p-oi9281391-tongrengucheng,"

地址:
铜仁市

",铜仁市中南门古城简称“铜仁古城”，位于铜仁市中心地带，东、南、西三面临水，仅北面依山，地势险要，易守难攻；总占地面积3.7万平方米，古民居建筑总面积2.6万平方米，是铜仁市仅存的足以反映古城风貌的原生历史街区，是铜仁市独有的民族文化资源。,全年 10:00-20:00,https://img1.qunarzz.com/travel/d6/1712/62/90cceafc23af44b5.jpg_480x360x95_3fdc1c73.jpg,4.3,建议游览时间：1小时 - 3小时,,{'梵净书院射艺+书画+活字印刷+贵傩文化+古筝+茶歇休憩+5D沉浸式大讲堂体验大小同价\n\n': ['¥88起']},,1
"贵州红石林Hongshi Forest, Guizhou",http://travel.qunar.com/p-oi35198125-guizhouhongshilin,,红石林岩石形成历史约有五亿年，红石林地域和坐龙溪峡谷一样同属地史上所称的扬子古海，海底沉积了大量混合泥砂的碳酸盐物质，经地壳运动及侵蚀、溶蚀作用，形成了这片美丽的地质奇观。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/bcedf793fb1e5f9386872a10395ff068.jpg_480x360x95_307492ea.jpg,3.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
朱砂古镇Zhusha Ancient Town (Wanshan National Mine Park),http://travel.qunar.com/p-oi9483443-zhushaguzhen,"

地址:
铜仁市万山区万山镇土坪社区


电话:
0856-3900555,4008258011

",朱砂古镇，位于贵州省铜仁市万山区万山镇，前身是万山国家矿山公园，距离铜仁市区32公里，更有朱砂古镇高铁站直达景区。景区总面积105平方公里，是国家AAAA级景区、全国重要文物保护单位，2012年被列入中国世界文化遗产预备名单。景区平均海拔约800米，年平均温度约16摄氏度，景区内空气清新，夏季气候凉爽，更有清凉万山的美誉。景区接待设施完善，是休闲、度假、观光、疗养、吸氧“洗肺”的理想名地。那个年代，真实还原了六七十年代的矿区生产生活场景，传达室、职工夜校、医务室、照相馆、打铁铺，带你重温那个年代的燃情岁月，了解那个年代人们无私奉献、为国分忧的爱国主义情怀。丹砂谷道，是在人工开采的970公里矿道基础上局部改造而成的一个旅游景点，走过矿洞里的万丈深渊、水墨丹青、时光隧道后，便来到盘旋曲折的悬崖栈道，栈道宽1.6米，全长1055米，途径大小矿洞十余处，更有玻璃天桥、仙人床、仙女石、黑洞子等不容错过的拍照点，行程到后面，有惊险的玻璃栈道供游客体验。朱砂大观园，是全面介绍和展示朱砂文化的一个场所，用展馆的形式，从历史、佛教、道家、皇家文化不同角度展示了国红朱砂文化，更有珍贵的朱砂文化藏品供游客观赏。放下云居，是景区巨资打造的一个野奢主题酒店，坐落于悬崖峭壁之上，每间客房都坐拥整片山谷，山景、水景、云景相互融合，优美风情，是景区新的网红打卡所在。悬崖泳池，分为三个游泳区域，有儿童区、浅水区、深水区，儿童区300平米、水深0.6M，深水区760平米、水深1.5M，游泳健身得同时享受山川得秀美及壮阔。晚间20：00以后更有悬崖泳池音乐派对放送，放松心身、享受音乐和啤酒。高空滑索，横卧于峡谷之间，全长357米，垂直高度有200多米，体验过程中游客将在空中“飞翔”，一览峡谷风光、鸟瞰朱砂古镇全景和悬崖泳池，一种欣喜和恐惧之感瞬间袭来。高空玻璃漂流，全长1200米，由全透钢化玻璃组成游客穿戴好防护防水设备后，坐在气垫船上顺滑道而下，沿途会经过多个大转盘、S型弯道，像在悬浮于空中的溪流中任意穿梭，宛如巨龙盘旋在山中。瑜伽体验，每周六悬崖泳池水上瑜伽，每周日放下云居户外瑜伽，享受人与自然的结合。,8:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/5590ace87f3d91da2350f53d673d02dd.jpeg_480x360x95_c2853272.jpeg,4.3,建议游览时间：12小时 - 3天,,"{'朱砂古镇门票+那个年代+丹砂谷道+大观园+观光车套票成人票\n\n': ['¥125起'], '朱砂古镇门票+那个年代+丹砂谷道+大观园+观光车套票学生票\n\n': ['¥100起'], '朱砂古镇门票+那个年代+地下长城+萤火虫秘境+朱砂大观园+观光车票成人票\n\n': ['¥125起']}",,1
九龙洞Jiulong (Nine Dragon) Cave,http://travel.qunar.com/p-oi702549-jiulongdong,"

地址:
铜仁市碧江区观音山山腰


电话:
0856 523 6416


官网:
http://www.zggzjld.com/

",九龙洞位于铜仁城东的观音山山腰，是一个大型的天然喀斯特溶洞。洞内拥有各种形态各异的钟乳石，再配以五颜六色的灯光照射，美丽壮观，让人感慨于大自然的鬼斧神工。游客可步行在洞内游览，建议请一个导游，可以为你介绍有关溶洞和钟乳石的各种历史和知识，这样更有意思。山上天气多变，记得带上雨伞。相传，古时有六条黄龙，相邀锦江中的三条青龙来洞中相聚，九龙来到洞中，见这蓬莱仙境般的洞府，顿时私欲大发，都想将洞府据为已有，相争不休。待到鸡鸣天亮时，谁也无法返回原来的居所了，只得盘踞在洞内深处的一巨型彩柱上，再也不能脱身。“九龙洞”由此得名。,10:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1550691142647100v11000000rfonz8466_D_640_10000.jpg_480x360x95_4f85c732.jpg,4.3,建议游览时间：2小时 - 3小时,,"{'九龙洞门票成人票\n\n': ['¥64起'], '九龙洞门票优待票\n\n': ['¥33起'], '九龙洞门票+观光车票成人票\n\n': ['¥80起']}",,1
乌江小山城,http://travel.qunar.com/p-oi709851-wujiangxiaoshancheng,,乌江小山城城镇房屋颇有层次地沿着江边的河坝街“叠架”到半山环城路，环城路蜿蜒而上，可北通遵义，南达铜仁。在青山环抱、绿水掩映之中，“小山城”有许多著名的古代建筑，至今仍令人叹为观止的有位于城西中和山顶的观音阁（宋）、城东南的城隍庙（明）、城东北的文庙（明）以及位于中山街的万寿宫（明）等。顺中和山东麓沿石阶而上，首先映入眼帘的是明代文学士吕大器所题之“黔南古刹”，“花梵连云”匾额，再往上拾级登临，清晰可见左一巨石如屏屹立，明嘉靖云南左参政李渭手...乌江小山城城镇房屋颇有层次地沿着江边的河坝街“叠架”到半山环城路，环城路蜿蜒而上，可北通遵义，南达铜仁。在青山环抱、绿水掩映之中，“小山城”有许多著名的古代建筑，至今仍令人叹为观止的有位于城西中和山顶的观音阁（宋）、城东南的城隍庙（明）、城东北的文庙（明）以及位于中山街的万寿宫（明）等。顺中和山东麓沿石阶而上，首先映入眼帘的是明代文学士吕大器所题之“黔南古刹”，“花梵连云”匾额，再往上拾级登临，清晰可见左一巨石如屏屹立，明嘉靖云南左参政李渭手书“中和”二字，即镌刻于上。旁有石碑，亦为清雍正翰林礼部朗中郭石渠所写的《中和山记》。中和山翠柏茂绿，山色秀丽，夏无酷暑，冬无严寒，素有“中和夏绿”盛名。然“中和夏绿”仅是思南八景之一。此外尚有“圣岭春耕”等七景观.在青山环抱、绿水掩映之中，“小山城”有许多著名的古代建筑，至今仍令人叹为观止的有位于城西中和山顶的观音阁（宋）、城东南的城隍庙（明）、城东北的文庙（明）以及位于中山街的万寿宫（明）等。顺中和山东麓沿石阶而上，首先映入眼帘的是明代文学士吕大器所题之“黔南古刹”，“花梵连云”匾额，再往上拾级登临，清晰可见左一巨石如屏屹立，明嘉靖云南左参政李渭手书“中和”二字，即镌刻于上。旁有石碑，亦为清雍正翰林礼部朗中郭石渠所写的《中和山记》。中和山翠柏茂绿，山色秀丽，夏无酷暑，冬无严寒，素有“中和夏绿”盛名。然“中和夏绿”仅是思南八景之一。此外尚有“圣岭春耕”等七景观。,,,5.0,,,,,1
苗王城Miao King City,http://travel.qunar.com/p-oi7469384-miaowangcheng,"

地址:
铜仁市松桃苗族自治县正大乡


电话:
0856-3920662

",苗王城是西南地区苗族留存至今保存得较好的集政治、经济、文化、军事和建筑为一体的古苗寨。寨内的吊脚楼为典型苗家特色，歪门邪道是古寨独树一帜的建筑风格。这里可以了解到苗族的历史和文化，是一个不错的人文景点。苗王城是一个没什么商业气息的寨子，游客不必像热门景点一样一个一个地打卡签到。在寨内随便走走逛逛，拍拍风景照，品味一下原始的吊脚楼和苗族建筑风情，享受古寨悠闲放松的慢节奏生活，将自己融入到当地人的生活中，惬意无比。,8:30-18:00,https://img1.qunarzz.com/travel/poi/1511/ec/071d6259c92738f7.jpg_480x360x95_9cada873.jpg,3.9,建议游览时间：2小时 - 4小时,,{'苗王城门票成人票\n\n': ['¥75起']},,1
麻阳河,http://travel.qunar.com/p-oi706036-mayanghe,,"麻阳河国家级自然保护区境内国家一级保护动物黑叶猴野外种群数量经中科院博士生导师丁伟一行年初科学考察论证,区内有黑叶猴76群736只。其数量之多,密度之大,居全国之冠。考察同时查明,区内还有脊椎动物266种,国家一、二级保护动物32种,其中二级保护动物有黑熊、大灵猫、秃鹫等27种;有维管束植物117科292属478种,濒危珍稀植物南方红豆杉、银杏等国家一二级保护植物12种。麻阳河保护区地处沿河、务川两个少数民族自治县境内,分布于乌江一级干流洪渡河、麻阳河河谷两岸及延伸地带,山峦起...麻阳河国家级自然保护区境内国家一级保护动物黑叶猴野外种群数量经中科院博士生导师丁伟一行年初科学考察论证,区内有黑叶猴76群736只。其数量之多,密度之大,居全国之冠。考察同时查明,区内还有脊椎动物266种,国家一、二级保护动物32种,其中二级保护动物有黑熊、大灵猫、秃鹫等27种;有维管束植物117科292属478种,濒危珍稀植物南方红豆杉、银杏等国家一二级保护植物12种。麻阳河保护区地处沿河、务川两个少数民族自治县境内,分布于乌江一级干流洪渡河、麻阳河河谷两岸及延伸地带,山峦起伏,沟壑纵横,保护区面积31114公顷,森林覆盖率达63%。",,https://img1.qunarzz.com/piao/fusion/1603/91/35774a58dbf7cf7.jpg_480x360x95_9e9f9356.jpg,--,,,,,1
