名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
大通古镇Datong Ancient Town,http://travel.qunar.com/p-oi20973901-datongguzhen,"

地址:
铜陵市郊区大通镇铜都大道南段8699号


电话:
0562-2897666

",千年古镇大通，是镶嵌在八百里皖江上的一颗璀璨明珠，它作为铜陵南部城区核心区，坐落在长江与青通河交汇处。大通古名澜溪，扼九华、望黄山、临皖江、依铜都，唐时设水驿；宋开宝八年(公元975年)设镇，建镇已超千年，是一座名蜚中外的江南重镇，与安庆、芜湖、蚌埠并称安徽“四大商埠”，素有“小上海”之美誉，近一百多年来，中国许多重大的历史进程都在这里留下深刻的烙印。,全年 8:30-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/be9715bb661a7da33cc4654a6f831423.jpg_480x360x95_b9fb4728.jpg,4.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
白鳍豚养护场White-flag Dolphin Conservation Field,http://travel.qunar.com/p-oi713702-baiqitunyanghuchang,"

地址:
铜陵市大通镇和悦洲与铁板洲之间的夹江上


电话:
0562-2897666,0562-2899955

",铜陵白鳍豚养护场是世界上首座利用半自然条件对白鳍豚进行易地养护的场所。它位于安徽铜陵市大通镇和悦洲与铁板洲之间的夹江上。夹江长1620米，宽220米，洲上杨柳依依，云淡风高；江上水鸟逐波戏浪，江岸树影婆娑起舞，水色秀丽，风景宜人，是养殖白鳍豚的理想水域。铜陵白暨豚养护场始建于1985年9月，占地面积409亩，保护区自枞阳县三江口至繁昌县荻港镇，全长110公里江域。该保护区主要保护长江流域国家一、二类重点保护动物，如白暨豚、中华鲟、江豚、胭脂鱼等。2003年6月24日，国家环保总局批准该保护区为国家环境保护长江重点永生野生动物保护中心，保护水域涵盖八百里皖江。她还是安徽大学生命科学教学研究基地、青少年科普教育基地和国家AA级旅游区。由于其科技含量高，知识与趣味性强，特别是“水簇馆”生动有趣，“标本馆”种类繁多，“白暨豚”驰名中外，“江豚”憨态可鞠，为广大游客提供了旅游、观光、休闲的好去处。,8:30-17:00，白鳍豚喂食时间为10:00，14:00、16:00。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/fb46caebb195e1ca4349f3c74a6e2140.jpg_480x360x95_24a6faba.jpg,4.6,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
东胡休闲娱乐中心,http://travel.qunar.com/p-oi716455-donghuxiuxianyulezhong,,铜陵市地处长江三角洲经济开发区腹地，北倚长江，南连黄山、九华山，东接芜湖，西接古城安庆，自然地理条件得天独厚。铜陵市东湖休闲娱乐中心地处铜陵市沿江快车公路北侧，离市区12公里，交通十分便利。东湖休闲娱乐中心由铜陵有色金属（集团）公司投资。该“中心”整个区域占地120.8公顷，其中休闲娱乐为23.4公顷，花卉苗圃9.9公顷，养殖基地为43.5公顷，“新、特”产品种植面积为25.1公顷。对外营业的项目已有卡丁车娱乐场、跑马场、野外射箭场、碰碰船、水上餐厅、网球场、垂钓中...铜陵市地处长江三角洲经济开发区腹地，北倚长江，南连黄山、九华山，东接芜湖，西接古城安庆，自然地理条件得天独厚。铜陵市东湖休闲娱乐中心地处铜陵市沿江快车公路北侧，离市区12公里，交通十分便利。东湖休闲娱乐中心由铜陵有色金属（集团）公司投资。该“中心”整个区域占地120.8公顷，其中休闲娱乐为23.4公顷，花卉苗圃9.9公顷，养殖基地为43.5公顷，“新、特”产品种植面积为25.1公顷。对外营业的项目已有卡丁车娱乐场、跑马场、野外射箭场、碰碰船、水上餐厅、网球场、垂钓中心和拥有30间客房的“东湖宾馆”。尚有高尔夫球馆、健身娱乐中心、入口喷水塔，游泳池等已完成主体工程，待完善竣工。中心分为东区和北区，东区是水产养殖和“新、特”农产品种植基地，生产的产品有圣女红樱果、茶树菇、优质莲藕，水产品养殖年总产量可达12万公斤，养殖品种除四大家鱼外，还有大型热带鱼类淡水白鲳、罗非鱼等；北区主要是绿化苗圃和大型综合性现代化休闲娱乐项目区。,,,--,,,,,1
螺丝山青年公园,http://travel.qunar.com/p-oi706743-luosishanqingniangong,"

地址:
安徽铜陵市铜港路

",螺丝山景区地理位置优越，旅游资源丰富，且已列入铜都森林公园规划。开发建设螺丝山景区，既能满足市民生活娱乐的要求，又能体现城市特色，同时也为创建省和国家园林城市、文明城市做出贡献。螺丝山景区开发建设也是环境保护的重要措施，可以美化铜陵环境，提高居民的生活质量。,全天,,--,,,15元,,1
天井湖公园Tianjing Lake Park,http://travel.qunar.com/p-oi713324-tianjinghugongyuan,"

地址:
铜陵市铜官山区长江西路181号


电话:
0562-2864746

",天井湖公园位于铜陵市区西北，西距长江1公里多。公园围绕着大片湖面，两条曲曲折折的长堤将湖分为东湖、南湖、北湖，呈“品”字形排布，所缺西湖，当地人戏称在杭州。湖中有一口终年高出湖水面2米左右的泉水，名天井，天井湖因此得名。对于一个小城来说，有这么一个拥有天然湖泊的公园是非常幸福的事，当地人常来此散步、锻炼身体，公园里的游乐设施也使这里成为孩子们的乐园。西南角的南湖中央有中洲岛，岛上建通天阁，泉水“天井”即在阁中。要看泉水需在岸边坐付费游船，划到中洲岛登岸。湖东岸有铜文化园，是个大广场，可以看见东边紧邻着的市政府大楼。带小孩的游客不妨到儿童乐园玩一玩碰碰车、旋转秋千、旋转木马等游乐设施。公园里还有动物园，虽然规模不大，但足以让孩子们乐不思蜀。每年4月，天井湖公园会举办牡丹花卉展，万紫千红的牡丹很适合拍照。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1510/d4/41dea32ba440bb.jpg_480x360x95_13faad5c.jpg,4.7,建议游览时间：2小时 - 3小时,,公园内游乐项目单独收费。,,1
凤凰山,http://travel.qunar.com/p-oi715189-fenghuangshan,,凤凰山形胜凤凰，由横山、面山、灵风山、潭山、金山等构成。境内山清水秀，风景如画，是铜陵家喻户晓的旅游胜地。早在明朝“景泰”年间，诗人周铎就书写“庐外山高播半天，石也孤井聚甘泉，凤凰一饮千年后，尚有遗迹万古传”等十六首“凤凰八景”组诗赞美过凤凰山。该景区于 1998年被确定为省级风景名胜区，现有主要景点为凤凰山牡丹园、相思树、滴水崖、凤凰落脚石、金牛洞古采矿遗址、金榔古树名木、陈翥墓、大明寺（王荆公书堂）等等。,,,4.0,,,,,1
金牛洞古采矿遗址,http://travel.qunar.com/p-oi708518-jinniudonggucaikuangyi,"

地址:
安徽铜陵市铜陵县新桥乡凤凰村

",金牛洞古采矿遗址，距市区30作公里。早先此处为一小山，山腰有一古洞。民间传说天上神牛私下凡间，因迷恋凤凰山风景而不思返。天帝屡屡唤之，神牛钻入此山中，化为金银铜。金牛洞由是得名。自八十年代以来，当地群众在此露采铁矿，久而久之，山被挖平了，人们继续掘而采之，形成一个数十米深的露天采场，并在边坡上暴露出古代采矿井巷和采掘遗物。从清理出的古代采矿井巷结构和采掘工具、陶制生活用具来判断，金牛洞遗址的年代始于春秋。1992年铜陵市政府下令停止这里的铁矿挖采，并...金牛洞古采矿遗址，距市区30作公里。早先此处为一小山，山腰有一古洞。民间传说天上神牛私下凡间，因迷恋凤凰山风景而不思返。天帝屡屡唤之，神牛钻入此山中，化为金银铜。金牛洞由是得名。自八十年代以来，当地群众在此露采铁矿，久而久之，山被挖平了，人们继续掘而采之，形成一个数十米深的露天采场，并在边坡上暴露出古代采矿井巷和采掘遗物。从清理出的古代采矿井巷结构和采掘工具、陶制生活用具来判断，金牛洞遗址的年代始于春秋。1992年铜陵市政府下令停止这里的铁矿挖采，并对金牛洞进行了抢救性的修复，用92根水泥柱将整个遗址环而护之。成为我国继铜绿山古铜矿遗址后的第二个正式对外开放的古铜遗址。金牛洞古采铜遗址遗存丰富，场面壮观，现已被列为省级文物保护单位，并被推荐为国家级重点文物保护单位。,8：00—18：00,,--,,,10元,,1
大通古镇,http://travel.qunar.com/p-oi711951-datongguzhen,"

地址:
铜陵市西南方向

",独特的地理位置，使大通有过辉煌的历史，目前为安徽省历史文化保护区，其文化遗存丰富，有大士阁 (九华山头天门)、天官府、圣公会、天主教堂及锺楼等人文景观二十多处，历史名人朱元璋、洪秀全、孙中山和众多文人墨客曾在此驻足停留，游览咏唱，留下无数诗篇，封火山墙、飞檐翘角、镂花窗台、水上吊楼等明清结构建筑仍历历在目。 ,全天,https://img1.qunarzz.com/travel/d1/1610/25/1301e09413f3eb5.jpg_480x360x95_c8a235ca.jpg,5.0,,,免费,,1
长江大桥公园,http://travel.qunar.com/p-oi705766-zhangjiangdaqiaogongyuan,"

地址:
安徽铜陵市横港羊山矶 下游600米处

",铜陵长江公路大桥位于铜陵市羊山矶下游600米处，是徐州至屯溪南北贯通线跨长江天堑的特大桥梁。大桥全长2592米，其中主桥长1152米，引桥长1440米，桥面宽23米，作为预应力钢筋混凝土双塔双索面斜拉桥，其综合性能属国内一流，国际先进。大桥桥身轻盈美观，体现了当代桥梁建设的美学思想。一桥飞架，全盘皆活，铜陵大桥的建成对于贯通淮北、江淮和皖南之间的交通联系，缓解大江南北交通运输紧张状况起了不可估量的作用，加速了铜陵市的经济发展，从而奠定了铜陵市作为安徽腹地一个中心...铜陵长江公路大桥位于铜陵市羊山矶下游600米处，是徐州至屯溪南北贯通线跨长江天堑的特大桥梁。大桥全长2592米，其中主桥长1152米，引桥长1440米，桥面宽23米，作为预应力钢筋混凝土双塔双索面斜拉桥，其综合性能属国内一流，国际先进。大桥桥身轻盈美观，体现了当代桥梁建设的美学思想。一桥飞架，全盘皆活，铜陵大桥的建成对于贯通淮北、江淮和皖南之间的交通联系，缓解大江南北交通运输紧张状况起了不可估量的作用，加速了铜陵市的经济发展，从而奠定了铜陵市作为安徽腹地一个中心城市的基础。此外，其桥南公园建成了“凤凰涅粲”、“锚钻”、“功德碑亭”等许多小品景点，吸引了大批游客前往观光游览。,全天,https://img1.qunarzz.com/travel/d6/1705/53/d83946848be28cb5.jpg_480x360x95_a0f5a9cd.jpg,5.0,,,5元,,1
铜官山森林公园,http://travel.qunar.com/p-oi38606369-tongguanshansenlingong,,铜官山森林公园风景优美，登山有平缓路线和陡峭路线两种。无限风光在险峰，沿途可以看到山两侧的花花草草，山顶可以远眺长江以及铜陵市市区全貌。,,,--,,,具体收费情况以现场公示为主,,1
