名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
览山公园Yinchuan Lanshan Park,http://travel.qunar.com/p-oi23343333-lanshangongyuan,,,,,,,,,,1
镇北堡西部影城Zhenbeibao West Film Art Center,http://travel.qunar.com/p-oi714109-zhenbeibaoxibuyingcheng,"

地址:
银川市西夏区镇北堡110国道路东


电话:
0951-2136088,0951-2136068

",镇北堡西部影城位于银川市西夏区。在这个以古朴、粗犷、荒凉为特色的影城中，拍摄了《牧马人》、《红高粱》、《大话西游》、《刺陵》、《锦衣卫》等经典影片以及具有影响力的影视片百余部，一大批中国电影界名人都在这里留下过足迹，如巩俐、姜文、张艺谋、葛优、周星驰、甄子丹等。影城由明城、清城和老银川一条街三部分组成，游客游玩影城可以沿着老银川一条街的“8字形”线路游览。在这里，可以看到20世纪上半叶的银川市容市貌，吃到羊杂汤等当地传统小吃。影城中的明城和清城是由明、清两朝遗留下来的屯兵城堡改建的，城廓还保留着西北塞外特有的荒凉残旧、破而不败的景象。在明、清两城中，你可以看到很多耳熟能详的电影场景，如：《大话西游》中孙悟空和紫霞仙子站立的城门楼、牛魔王的招亲台、唐僧的受刑台；还有电影《红高粱》中的月亮门、“我爷爷”醉酒后撒尿的酿酒作坊、九儿出嫁时乘坐的轿子、盛酒的大缸、碗具等。影城内很多地方都有服装和道具出租，在这里穿一套戏中的服装，用一用影片中的道具，在电影的场景中走一走，过一把当明星的瘾。去镇北堡西部影城游玩前，可以先重温几部经典的影片，再去游览，会有不一样的感觉。,10/21-4/15 09:00-17:00;4/16-10/20 08:00-18:00,https://img1.qunarzz.com/travel/d8/1703/43/1d0e8f233464b2b5.jpg_480x360x95_1d69f92e.jpg,4.6,建议游览时间：3小时 - 4小时,四季皆宜。,"{'镇北堡西部影城门票成人票\n\n': ['¥76起'], '镇北堡西部影城门票儿童票\n\n': ['¥40起'], '镇北堡西部影城门票优待票\n\n': ['¥40起']}",夏季日照强烈，需要携带睛雨伞、遮阳帽、太阳镜、防晒霜等防晒用具。,1
西夏陵国家考古遗址公园Western Xia Mausoleums National Archaeological Park,http://travel.qunar.com/p-oi703404-xixialingguojiakaoguyi,"

地址:
银川市西夏区贺兰山东麓


电话:
0951-5668966


官网:
http://nxxling.cn/

",西夏陵国家考古遗址公园（也称西夏王陵），位于银川市西郊的贺兰山麓，是西夏王朝的皇家陵寝，埋葬了西夏王朝的多位皇帝。现在整个陵区有9座帝陵和140多陪葬墓，是中国历史上占地面积的皇家陵寝之一。陵墓的形状与其他中国陵墓都不一样，呈倒扣的窝头形。除此之外，景区内还建有西夏博物馆、西夏史话艺术馆，西夏碑林等设施场馆，帮助游客了解陵墓背后的历史文化。景区目前开放了1、2、3号等陵墓供游客参观，其中3号陵墓（西夏开国皇帝李元昊的“泰陵”）距离西夏史话艺术馆和西夏碑林相距较近。西夏王朝由党项人建立，文字、风俗都与中原汉族不同。王朝灭亡后西夏的城市、历史也都神秘的消失在戈壁之中，成为千古之谜，直到近代才被发现解读。在西夏博物馆内藏有丰富的西夏王朝文物，其中很多西夏文的石刻和带有西夏风格的壁画都是珍品。博物馆内部免费的讲解也十分精彩，可以帮助大家了解神秘西夏王朝的风俗、文化和兴衰，也能更加有体会的参观王陵。景区内昊王陵可以走近参观。巨大的倒立半圆形陵墓立于荒地之上，历史沧桑近在眼前，远处的贺兰山麓沟壑纵横，使人顿生悲凉壮阔的沧桑之感。景区内的西夏博物馆（新馆）全新亮相。馆内陈列分为西夏史、西夏文化、西夏宗教艺术、西夏社会经济、西夏陵、保护与传承等六个部分。展出了唐卡、文献、泥塑、铜铁器、织物、瓷器等近5000件藏品，其中包括了近些年来西夏陵考古研究过程中出土的大量精品文物。,10/22-3/31 08:30-17:00,https://img1.qunarzz.com/travel/d9/1505/61/beb7e538ac51be.jpg_480x360x95_d26275a5.jpg,4.5,建议游览时间：2小时 - 4小时,5月-10月最佳,"{'西夏陵门票+往返观光车成人票\n\n': ['¥84.5起'], '西夏陵国家考古遗址公园门票+园内观光车票学生票\n\n': ['¥54起'], '西夏陵门票+3D电影+往返观光车票成人票\n\n': ['¥108起']}",由于近期银川南绕城高速路部分路段进行维修，车辆来往行驶不通畅，经常出现部分时段拥堵现象。建议驾车来西夏陵景区参观的游客由北京路向西行驶至110国道，然后南行可直达景区。,1
贺兰山岩画Helan Mountain Rock Painting,http://travel.qunar.com/p-oi711983-helanshanyanhua,"

地址:
银川市区贺兰县西北贺兰山国家自然保护区内


电话:
0951-3948808

",贺兰山岩画，位于银川市贺兰县金山乡境内，是1969年当地的一位赤脚医生发现的，岩画大致诞生于一万年前，是古代先民们在漫长的岁月里运用写实或抽象的艺术手法，在岩石上绘制和凿刻的图画，它记录了银川地区古代人类社会生活的各个方面。贺兰山在古代是匈奴、鲜卑、突厥、回鹘、吐蕃、党项等北方少数民族驻牧游猎、生息繁衍的地方。他们把生产生活的场景，凿刻在贺兰山的岩石上，来表现对美好生活的向往与追求，再现了他们当时的审美观、社会习俗和生活情趣。在南北长200多公里的贺兰山腹地，就有20多处遗存岩画。其中最具有代表性的是贺兰口岩画。众多的贺兰山岩画中，需要特别关注的是一副“太阳神”的岩画，画面体现了远古人类对于太阳的崇拜，画面中的太阳神，双目圆睁、头部有着放射性的线条刻槽。景区内还有一个岩画博物馆可以参观，博物馆中的以岩画的复制品和照片为主，真品并不多。沿着景区内的栈道，走到尽头，是贺兰瀑布，时间充裕的游客可以继续向深处步行，越往里面，自然风光越美。,11/26-3/31(淡季) 09:00-17:30,https://img1.qunarzz.com/travel/d2/1606/fb/3247e9e97264cd9a.jpg_480x360x95_63c17aea.jpg,4.5,建议游览时间：2小时 - 3小时,5-10月适宜。,"{'贺兰山岩画门票成人票\n\n': ['¥80起'], '贺兰山岩画门票+往返观光车票老人票\n\n': ['¥10起'], '贺兰山岩画门票+电瓶车票成人票\n\n': ['¥65起']}",,1
贺兰山国家森林公园Helan Mountain National Forest Park,http://travel.qunar.com/p-oi704898-helanshanguojiasenlin,"

地址:
银川市市区西北贺兰山国家自然保护区内


电话:
0951-4114390,0951-2079103


官网:
http://www.hlstour.com

",贺兰山国家森林公园，位于银川市区以西约50公里，具有丰富的自然景观和独特的人文景观。景区内层层林海，有高耸入云的油松、杜松、云杉等天然林木。游客在这里不仅能观赏到贺兰山迷人的夜色和日出，还有机会看到奔跑的马鹿，跳跃的岩羊，嬉戏的兰马鸡等国家重要保护的野生动物。进入景区后，是景区的迎宾区，这里有游客中心、博物馆。可以选择乘坐景区内的观光车，到达松涛山庄，从这里开始登山（也可以选择索道上山），一般40分钟左右可以步行到达青松岭。在峡谷内步行约1小时后，就可以到达公路，等待观光车，回到景区大门处。景区内历史文化内涵丰富，宗教文化、西夏文化、岩画文化等在这里交融，为贺兰山国家森林公园赋予了丰富的历史文化内涵。在古西夏庙宇遗址上恢复起来的“三清观”、“灵光寺”、“灵光塔”、“灵光洞”等建筑，再现了佛教和道教文化的源远流长；内容丰富的贺兰山博物馆，是贺兰山文化的一个缩影，由岩羊专题馆、贺兰山地貌沙盘、历史文化馆、矿产资源环境馆、等场馆组成。景区面积非常大，游览时要按照景区内的示意图或者指示牌游玩，不要独自去那些比较偏僻的地方，景区内很多区域没有手机信号，如果想野外徒步，要参加当地的户外团队。,11/25-3/31 09:00-18:00,https://img1.qunarzz.com/travel/d9/1612/fa/59ebdb9af26d96b5.jpg_480x360x95_b6ae415a.jpg,4.3,建议游览时间：3小时 - 4小时,5月-10月,"{'贺兰山国家森林公园门票+往返观光车票成人票\n\n': ['¥75起'], '贺兰山国家森林公园门票+往返观光车票学生票\n\n': ['¥50起'], '贺兰山国家森林公园（苏峪口）+园内往返观光车票+银川市区往返景区直通车票成人票\n\n': ['¥148起']}",推荐游览路线：线路一：贺兰山博物馆——三清观——灵光寺——松涛山庄（乘坐索道）——青松岭（索桥往返）——世纪塔——兔儿坑——樱桃谷线路二：贺兰山博物馆——三清观——灵光寺——樱桃谷——兔儿坑——世纪塔——青松岭（索桥往返）——松涛山庄,1
黄沙古渡原生态旅游区Huangsha Guduyuan Ecological Tourism Area,http://travel.qunar.com/p-oi712972-huangshaguduyuansheng,"

地址:
银川市兴庆区月牙湖


电话:
0951-6119999


官网:
http://www.nxhsgd.com/

","宁夏黄沙古渡国家湿地公园是国家AAAA级旅游景区，位于银川市兴庆区月牙湖乡，紧邻黄河东岸，距银川市区28公里，河东机场38公里，银川火车站43公里。湿地公园规划面积32.4平方公里，分别由功能服务区、治沙推广实验区、生态文明展览区、黄河湿地保护区、沙漠欢乐谷区、黄河古渡文化区、边塞风情区、民俗文化园等区域构成。
黄沙古渡是一处古老的黄河渡口，是明清宁夏八景之一。明朝庆靖王朱栴诗《黄沙古渡》描述了这里的壮丽景色，也阐述了黄沙古渡在古时交通上的重要地位。在这里，您可以亲临康熙渡黄河的古渡口、昭君出塞和亲留在大漠的月牙湖。园区内的大漠风光、黄河古韵、自然湿地、黄沙拥长河的塞外奇景，是原生态自助游的好去处。古老的羊皮筏子，原始的沙漠之舟骆驼，现代的湿地龙舟，刺激的沙海冲浪，是一个好玩的地方。",全年 09:00-18:00,https://img1.qunarzz.com/travel/d8/1703/a8/3a00523c186aab5.jpg_480x360x95_42328be1.jpg,4.6,建议游览时间：5小时,,"{'黄沙古渡原生态旅游区一票通套票成人票\n\n': ['¥198起'], '黄沙古渡原生态旅游区一票通套票学生票\n\n': ['¥188起'], '黄沙古渡原生态旅游区市区车费成人票\n\n': ['¥40起']}",,1
六盘山红军长征纪念亭,http://travel.qunar.com/p-oi711958-liupanshanhongjunzhang,,六盘山不仅是一处资源丰富、植被完好、风光优美的森林基地，而且是中国革命史上的一座丰碑。1935年10月，毛泽东率领的红一方面军长途翻越六盘山，打开了通往陕北革命根据地的最后通道。毛泽东登上六盘山，临风寄景，气贯长虹，遥想红军走过的艰难里程，展望革命的未来前途，即兴写下了气壮山河的光辉词章，《清平乐？六盘山》，从而使六盘山扬名海内外。1961年9月，应宁夏人民之请，毛泽东以大手笔书写长卷相赠，激励以“不到长城非好汉”的精神建设宁夏。现在六盘山下的和尚铺还树...六盘山不仅是一处资源丰富、植被完好、风光优美的森林基地，而且是中国革命史上的一座丰碑。1935年10月，毛泽东率领的红一方面军长途翻越六盘山，打开了通往陕北革命根据地的最后通道。毛泽东登上六盘山，临风寄景，气贯长虹，遥想红军走过的艰难里程，展望革命的未来前途，即兴写下了气壮山河的光辉词章，《清平乐？六盘山》，从而使六盘山扬名海内外。1961年9月，应宁夏人民之请，毛泽东以大手笔书写长卷相赠，激励以“不到长城非好汉”的精神建设宁夏。现在六盘山下的和尚铺还树有伟人手书的全词石碑，以昭示后人，激励来者。为纪念红军长征胜利50周年，1985年在红军当年走过的六盘山山顶上修建了“六盘山红军长征纪念亭”，由胡耀邦题词。六盘山巍巍高耸，红军长征纪念亭屹立山巅。它成为永久性的爱国主义和革命传统教育基地。今天，西北第一隧道的贯通，使昔日“峰高华岳三千丈，险居秦关百二重”的六盘山变成通途，也为旅游观光增添了新的内涵。,,https://img1.qunarzz.com/travel/d8/1508/a3/f5d10914bd9b10.jpg_480x360x95_5a43b059.jpg,3.0,,,,,1
宁夏博物馆Ningxia Museum,http://travel.qunar.com/p-oi7640986-ningxiabowuguan,"

地址:
银川市金凤区人民广场东街6号


电话:
0951-5085093

",宁夏博物馆位于银川市金凤区，整个建筑平面呈“回”字型布局，贴应了宁夏回族自治区的“回”字。外墙装饰所运用的迦陵频伽、力士志文支座等建筑构件形象，以及四个大门使用的装饰图案，这些都是宁夏历史文化遗存的代表，具有鲜明的地域特色。博物馆共有四层，其中地面的三层对普通游客开放。博物馆的一层是观众服务厅和临时展厅。这里还有名为“石刻史书”的岩画展厅，进入展厅你就如同进入了一个远古时代。一般游客都喜欢去贺兰山内游玩远古的岩画，但在宁夏境内有很多地方都有岩画，这些地区很多都是游人罕至、交通不便。而在这个展厅内，游客可以近距离接触更多的宁夏岩画。博物馆的二楼是“宁夏通史展厅”，也是博物馆重点游览的区域。西汉错金银铜羊、唐代胡旋舞石门扇、西夏鎏金铜牛、人像碑座、凸钉玻璃碗等镇馆之宝都位于二楼。此外游客还可以在这里看到“凉州重修护国寺感通塔碑铭”的拓片，拓片上的西夏文比汉字更像方块字。博物馆的三楼是“回乡风情展”，展出的藏品以史籍和各种《古兰经》珍藏为主，是游客了解穆斯林文化和伊斯兰历史的好地方。博物馆为游客提供收费讲解服务，在博物馆问讯处的柜台上，摆放着免费的《博物馆导览图》、《展览介绍》等，游客可以自行拿取。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00,https://img1.qunarzz.com/travel/poi/1502/b9/6846b5a7a27b6e.jpg_480x360x95_e6da6681.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'宁夏博物馆0元预约票大小同价\n\n': ['¥20起'], '宁夏博物馆寻宝之旅体验票大小同价\n\n': ['¥169起'], '宁夏博物馆凤凰碗套装冰箱贴票大小同价\n\n': ['¥189起']}",,1
水洞沟藏兵洞cangbingdong,http://travel.qunar.com/p-oi9555230-shuidonggouzangbingdong,"

地址:
宁夏回族自治区灵武市临河镇水洞沟村水洞沟景区内


官网:
http://www.shuidonggou.com/tuijian/13.html

",藏兵洞蜿蜒曲折于悬壁之中，上下相通，左右相连，洞中分叉颇多，左盘右旋，久久不见尽头，确如迷宫，一般对洞内情况不熟的，很难走出去。洞中除洞道外，左右辟有土屋，可以住人，大约是专供领兵长官住的。洞内还设有粮食储藏室，有水井、灶房等，只要储藏够一定的食物，在相应的一段时间内，洞内所藏将土不出洞，照样可以生存。因藏兵洞高出沟底10多米，可以是不怕水淹的。多年来，既便发山洪，藏兵洞都不曾为水淹过。对于古人的智慧，我们真是叹为观止。,周一至周日8:00~17:00,https://img1.qunarzz.com/piao/fusion/1810/3a/e1405164e31c4802.jpg_480x360x95_6292e348.jpg,4.8,,,30元,,1
银川南关清真寺Nanguan Mosque,http://travel.qunar.com/p-oi706908-yinchuannanguanqingzhen,"

地址:
银川市兴庆区玉皇阁南街288号


电话:
0951-4106714

",原寺地址在银川南关外“拱北”亭，规模较小。1916年将寺址迁入南关内，建成一座具有古典风格的大寺。60年代寺院在动乱中被毁殆尽。1981年募资在今址重建。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-touch/img/98c245361ec71062c57023e57c609a34.jpeg_480x360x95_d1be58fc.jpeg,4.1,建议游览时间：1小时,,具体收费情况以现场公示为主,到清真寺参观，一定要注意这里的风俗习惯。,1
