名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
岳麓山Yuelu Mountain,http://travel.qunar.com/p-oi710552-yuelushan,"

地址:
长沙市登高路58号


电话:
0731-88825011,0731-88647958


官网:
http://www.hnyls.com/

",湘江西岸的岳麓山，是长沙的地标，这里古迹众多，有岳麓书院、爱晚亭等。景区有南大门和东大门（也称北大门）两个入口。大部分人文景点靠近南大门，其中包括山脚下的岳麓书院、清风峡中的爱晚亭、距今已有1700多年的历史的古麓山寺以及位于山顶的云麓道宫。此外山中还有黄兴、陈天华、蔡锷等革命先烈的墓地。景区的东大门，靠近索道的下站，索道的上站是景区的南泥湾山庄，附近有禹王碑、蟒蛇洞等景点。岳麓山还是一个巨大的“植物博物馆”。有晋朝罗汉松、唐代银杏、宋元香樟、明清枫栗等古树名木。,全年 07:00-22:00,https://img1.qunarzz.com/travel/d9/1501/f0/f0e12e7649e7171ccdb.jpg_480x360x95_20a54463.jpg,4.6,建议游览时间：12小时 - 3天,秋季（9月至11月）为最佳游览时节，可观漫山红叶。,"{'岳麓山门票预约+岳麓山换乘车(往返)+人工讲解服务大小同价\n\n': ['¥178起'], '岳麓山门票预约+人工讲解服务大小同价\n\n': ['¥148起'], '岳麓山门票预约+岳麓书院门票+人工讲解服务大小同价\n\n': ['¥133.99起']}",1、每年的11月底-12月初是岳麓山观赏红叶的最佳时期，根据季节温差情况，可能略有提前或延迟。2、爱晚亭是观赏红叶的最佳位置，除此之外也可乘坐索道观赏红叶。3、岳麓山是免门票的，但是需要收取停车费，在枫叶红时，较难找到停车位。,1
橘子洲Orange Island,http://travel.qunar.com/p-oi705230-juzizhou,"

地址:
长沙市岳麓区橘子洲头2号


电话:
0731-88882152


官网:
http://jzzjq.hnyls.com/

",橘子洲是湘江名洲，由南至北，纵贯江心，西瞻岳麓，东临古城。橘子洲景区是全国文明风景旅游区示范点、全国首批“红色旅游”经 典景点之一，省级文明单位、湖南百景单位、潇湘八景之一、长沙“山、水、洲、城”旅游格局的核心要素。景区原面积约17公顷，其中开放区面积约6公顷，主要景点有洲头颂橘亭、汉白玉诗词碑、铜像广场、藤架广场、揽岳亭、枕江亭、盆景园、大门广场等。新景区景点建设紧紧围绕“生态、文化、旅游”这一主题，充分利用、保留和保护建筑，进一步突出历史文化特色，积极营造出“红色旅游”的浓厚气氛，把历史背景、特色园林和人文景观相结合，突出人与自然的和谐。新景区建设的主要景点有：问天台、洲头广场、百亩桔园、文化园、橘洲客栈、湖湘文化陈列展览馆、潇湘名人会所、朱张古渡、竹园、桃园、梅园、桂园、新诗词碑、门区广场、百米高喷、焰火广场及音乐喷泉、游客服务中心等。,全天开放；烟花燃放当天下午16:00禁止入园（具体以景区实际为准）。,https://img1.qunarzz.com/travel/d5/1503/9b/b6a48c99e2d49a.jpg_480x360x95_ada8dff6.jpg,4.6,建议游览时间：3小时 - 5小时,2019年长沙橘子洲烟花燃放全年仅4场，时间分别为1月1日（元旦）、2月19日（元宵节）、5月1日（劳动节）、10月1日（国庆节）。,"{'橘子洲龙骧湘江游船（橘子洲码头）票成人票\n\n': ['¥98起'], '橘子洲橘洲游日游船票（含观光车）票成人票\n\n': ['¥118起'], '湘江游轮橘洲之星(含观光车票)游船套票成人票\n\n': ['¥178起']}",橘子洲在特别的节假日会放烟火，一般情况下焰火燃放期间地铁不停站橘子洲头。想欣赏橘子洲焰火的可乘坐长沙地铁2号线到湘江中路站下，往南步行至杜甫江阁附近为最佳观赏位置。,1
太平老街Taiping Street,http://travel.qunar.com/p-oi707515-taipinglaojie,"

地址:
长沙市天心区五一大道与太平街交叉口西南50米


电话:
0731-84394488

",太平街位于长沙市老城区南部，街区以太平街为主线，北至五一大道， 南到解放路，西接卫国街，东到三兴街、三泰街。这里是一个历史悠久的文化街区，有贾谊故居、长怀井、明吉藩王府西牌楼等古迹，还有一些青瓦白墙的老民居，在此可以寻找老长沙的影子。如今，太平街内商铺林立，游人如织，热闹非凡。这里也是长沙美食街，不管是百年老店，还是新崛起的特色小店，都值得品尝，不能错过的美食有长沙臭豆腐、糖油粑粑、口味虾等当地小吃。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1512/c4/83cfeaca236597f7.jpg_480x360x95_23c2ef0a.jpg,4.5,建议游览时间：1小时 - 2小时,寻访老街记忆，四节皆可，只是夏季的长沙天气稍热。,{'【趣味讲解】!!!省博+岳麓书院+橘子洲!!! 长沙一日游纯玩团赠茶颜\n\n': ['¥339起']},,1
岳麓书院Yuelu Academy,http://travel.qunar.com/p-oi5475553-yuelushuyuan,"

地址:
长沙市岳麓区麓山路（湖南大学内）


电话:
0731-88823764


官网:
http://ylsy.hnu.edu.cn/

",岳麓书院的中间位置是“讲堂”，是书院进行教学和举办重大活动的核心场所。南宋理学家曾在此举办“会讲”。书院内还有大量的碑匾，如唐刻“麓山寺碑”、江夏勒石刻篆；明刻手书“岳麓书院”石碑坊、“程子四箴碑”；御匾“学达性天”、“道南正脉”等。,5/1-10/31 07:30-18:00;11/1-4/30 08:00-17:30,https://img1.qunarzz.com/travel/d3/1504/1d/910d6739c45f96.jpg_480x360x95_aaef7efb.jpg,4.6,建议游览时间：1小时 - 2小时,游览岳麓书院四季皆可，置身于秀美的岳麓山中，庭院的景色也随季节不断变换。,"{'岳麓书院门票+人工讲解套餐成人票\n\n': ['¥95.99起'], '岳麓书院手机电子导游票大小同价\n\n': ['¥1.5起'], '岳麓书院人工讲解服务大小同价\n\n': ['¥95.99起']}",1. 岳麓书院目前属于湖南大学下属的二级学院，书院是大学内的一个正常的教学场所，游览时，请遵守学校的相关规定，避免扰乱正常的教学秩序。2. 只要在开放时间内，游客都能参观游览书院，不受院内学生课时的影响。,1
五一广场,http://travel.qunar.com/p-oi37204471-wuyiguangchang,,,,,,,,,,1
黄兴路步行街Huangxing Road Walking Street,http://travel.qunar.com/p-oi710734-huangxinglubuxingjie,"

地址:
黄兴南路司门口(近解放西路)


电话:
0731-88842777

",黄兴路步行街是长沙市繁华的地段之一，是一条于2002年修缮竣工的步行商业街。北起芙蓉区司门口，南到南门口，全长838米，街面宽23-26米，包括近万平方米的黄兴广场，商业总面积25万平方米，其中新建面积15万平方米，是集购物、休闲、娱乐、餐饮、文化及旅游等多项功能于一体的综合性场所。步行街分为内街和外街，内街又有三层。店铺众多，品牌齐全。除各种常规服装店、饰品店以外，这里还汇集了全国各地的小吃美食，旁边的坡子街更是长沙特色小吃的齐聚之处，有长沙人耳熟能详的火宫殿、双燕楼、红梅冷饮等，数不胜数。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1707/51/51227ad25faf23b5.jpg_480x360x95_c6cc69da.jpg,4.6,建议游览时间：2小时 - 3小时,去黄兴路步行街四季皆可，春秋季气候较为舒适，但夏季的长沙天气较热。,具体收费情况以现场公示为主,,1
谢子龙影像艺术馆Xiezilong Yingxiang Art Center,http://travel.qunar.com/p-oi23344540-xiezilongyingxiangyishu,"

地址:
长沙市岳麓区潇湘南路一段387号


电话:
0731-88991518


官网:
http://www.x-museum.com/

",谢子龙影像艺术馆位于长沙市洋湖湿地公园D区，是由摄影艺术家、湖南省摄影家协会、老百姓大药房连锁股份有限公司董事长谢子龙先生出资1.5亿元创建，为目前国内非盈利影像艺术馆，自2017年9月16日起向公众开放。艺术馆由著名建筑艺术家、湖南大学建筑学院院长魏春雨先生及其团队设计，获得2019亚洲建筑师协会建筑奖公共设施-文化及机构建筑类金奖，这也是亚洲地区建筑界建筑设计大奖奖项。全馆建筑面积10600平方米，用白色清水混凝土一次性浇筑而成——通过建筑本身来感受影像艺术，是...谢子龙影像艺术馆位于长沙市洋湖湿地公园D区，是由摄影艺术家、湖南省摄影家协会、老百姓大药房连锁股份有限公司董事长谢子龙先生出资1.5亿元创建，为目前国内非盈利影像艺术馆，自2017年9月16日起向公众开放。艺术馆由著名建筑艺术家、湖南大学建筑学院院长魏春雨先生及其团队设计，获得2019亚洲建筑师协会建筑奖公共设施-文化及机构建筑类金奖，这也是亚洲地区建筑界建筑设计大奖奖项。全馆建筑面积10600平方米，用白色清水混凝土一次性浇筑而成——通过建筑本身来感受影像艺术，是对当下浮华的建筑语言的抵制和颠覆，回归建筑与艺术本质。建筑主体共四层，首层为艺文空间，有艺术品商店、咖啡厅、春夏冬日料、多功能厅、亲水公共展示区、特展厅等；二、三层为4000平米专业艺术展厅，展线长1000米，展墙较高达10米，较长达40米，采用德国Erco专业展陈灯光；四层为藏家俱乐部、图书馆、全套瑞典Profoto高端摄影棚及画廊。作为一个专业、高端的殿堂级影像艺术博物馆，谢子龙影像艺术馆集影像收藏、展览、学术研究和交流等为一体，致力于成为传播中国影像艺术的重要窗口，推动中国影像艺术发展。,全年 周二-周日 10:00-18:00;03/24-12/31 周一 全天不开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/d6e55b24b9722a573433b06d3107542c.jpg_480x360x95_db669893.jpg,4.1,建议游览时间：1小时 - 2小时,,"{'谢子龙影像艺术馆《星辰异客》展览票成人票\n\n': ['¥20起'], '谢子龙影像艺术中心玩转艺术馆联票成人票\n\n': ['¥100起'], '谢子龙影像艺术中心玩转艺术馆联票双人票\n\n': ['¥180起']}",,1
湖南博物院Hunan Provincial Museum,http://travel.qunar.com/p-oi706579-hunanbowuyuan,"

地址:
长沙市开福区东风路50号


电话:
0731-84415833,0731-84475933


官网:
http://www.hnmuseum.com/

",湖南博物院馆藏文物丰富，马王堆汉墓文物颇具特色。马王堆汉墓陈列是湖南博物院的基本陈列。陈列馆里，展出有薄如蝉翼的素纱单衣、完好无损的印花绵袍、各种精细秀丽的刺绣、光泽鲜亮的彩绘漆器以及精美细致的彩绘帛画、内容丰富的帛书、雕琢精制的各种木俑和琴、瑟、笙等乐器、兵器等。还陈列有保存于地下室的女尸及其内脏器官，复原的巨大棺材以及保存于马王堆现场的3号墓坑与2号坟堆。马王堆三座汉墓共出土珍贵文物3000多件，绝大多数保存完好。有一件素纱单衣，薄如蝉翼，长1.28米，且有长袖，重量仅49克，织造技巧非常高超。三号墓出土了10多万字的帛书以及外面已经失传的佚书。二号汉墓出土的地形图绘制技巧与现代地图大体近似，评价极高。,全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00,https://img1.qunarzz.com/travel/d0/1801/3c/0dcf04b542b188b5.jpg_480x360x95_b6c99bde.jpg,4.8,建议游览时间：2小时 - 5小时,最佳旅游季节：秋季 理由：秋季始于8月中旬，气温通常在15℃至20℃左右，这时秋高气爽，是参观湖南省博物馆最佳旅游季。,"{'湖南博物院门票预约服务+深度讲解服务票大小同价\n\n': ['¥68起'], '湖南博物院门票代预约+VIP私家包团服务大小同价\n\n': ['¥358起'], '湖南博物院门票+""聆听文物的声音""中高级导游私享人工讲解服务大小同价\n\n': ['¥658起']}",游客须知1.易燃易爆危险品、管制械具等法定违禁物品禁止携带入馆，请自觉遵守本馆相关规定配合安检。饮品、食物、宠物谢绝携带入馆。2.行动不便、身体有潜在疾病的观众需有人陪同方可入馆参观。 3.12周岁以下未成年人须由成年人陪护或集体组织方可入馆参观。4. 醉酒者、衣冠不整者以及无行为能力或限制行为能力者，无监护人陪伴的谢绝入馆。5.展馆内部分场所地面光滑，部分展厅亮度较低，请注意安全。 6.请勿摄像及在展馆内使用自拍杆、三脚架、闪光灯拍照。7.请勿触摸裸露展品，损坏文物者将负相应的法律责任。8.请爱护公共设施，展馆内禁止吸烟，请勿喧哗、追跑打闹、攀爬躺卧。9.请保持公共卫生，在展馆内勿随意投掷、丢弃杂物。10.请自觉遵守公共秩序，勿在展馆内使用轮滑、暴走鞋等类似轮式鞋。11.遇重大活动请配合馆方临时安排。,1
长沙铜官窑古镇Changsha Tongguanyao Ancient Town,http://travel.qunar.com/p-oi22917363-changshatongguanyaogu,"

地址:
长沙市望城区铜官街道铜官窑路1号


电话:
0731-88106666

","
八大博物馆群这里是民间博物馆群，有八大博物馆静候光临。珍藏千余件铜官窑陶瓷珍品的长沙窑博物馆，收藏中国四大名绣数千件刺绣的绣珍阁，收集自然界宝石精华的矿物标本博物馆，展现中国酒文化发展的酒文化博物馆，反映货币更替变迁的钱币博物馆，集中展示古今三千年湖湘风云人物的湖湘名人馆，展藏当代陶瓷大师作品的铜官阁，集中展示世界机器人前沿技术的机器人博物馆。 精彩演艺+视听盛宴在观览静态展陈的同时，还有更多的高科技娱乐项目为你带来耳目一新的视听盛宴！《黑石号特技秀》、全景飞行体验馆《美丽湖南》、5D影院及《铜官水秀》精彩纷呈。铜官窑古镇特地引进了长期服务于环球影城、迪士尼等主题乐园的团队为古镇打造专属演艺节目，每一场都炫酷非凡。听雨轩、花鼓戏楼、丹凤戏楼等是古典庭院与传统戏楼的结合，雕梁画栋间流连品茗，近距离欣赏长沙弹词、花鼓戏、皮影戏等非物质文化遗产表演，感受原汁原味的湖湘民俗风情文化。十八处人文历史景点深挖铜官地区的历史典籍、地方志、名人传记等史记材料，从国内各地收集复建的标志性中国古建筑，铜官窑古镇打造出十八处人文历史景点，恢复了梁元帝行宫、欧阳询书院、曾氏祠堂、都司衙署、杨福田将军府、文山草堂、泥人刘陶瓷艺术馆等当地历史遗迹、历史名人宅院！舜子街、弱柳堤、石渚草市等古色古香特色街区，漫步街头，仿佛时光也舍不得流逝。 亲子天地 童梦王国&冰雪王国童梦王国距北城门仅50米，整个乐园为森林风格大主题，以服务1—12岁儿童游乐为主，拥有大型设备7种13台（旋转木马、勇闯鲨鱼岛、极速飞车、碰碰车）；冰雪王国，是融合冰雪世界、星空森林、镜子迷宫等新趣体验项目为一体的综合主题馆。让观众置身于静谧梦幻的星空之中，从听觉、视觉、嗅觉、触觉感受全所未有的沉浸式互动体验。不出长沙，可以度假旅游，还可以穿越到唐朝，领略到大唐盛世之风采。【餐饮亮点】火宫殿—集湖南长沙传统民俗文化、饮食文化于一体，火宫殿的风味小吃享誉三湘。在这里可以吃到各种长沙和湖南小吃，如长沙臭豆腐、正宗红烧肉、糍粑等等。明粤楼—依石渚湖而建，主营广东美食，现场秘制的烧鹅、烤鸭、潮式卤水、广式点心任您挑选。铜官窑餐厅—铜官窑餐厅还原古诗般的环境，让您体验悠久的陶瓷文化，品尝地道的铜官窑美食。 【游玩路线推荐】（Tips：✲星标景点含演出，具体演出场次以景区当天公布为准，请根据需要合理安排行程）一家老小乐悠游（关键词：拍照打卡、互动、逛吃、体验）✲机器人博物馆→✲听雨轩→✲君生戏楼→铜官窑美食街、明粤楼铜官窑餐厅→✲黑石号特技秀→新华联铜官窑博物馆群→飞行影院→湖湘名人馆→5D影院《魔法釉传奇》→✲铜官水秀青年结伴乐享游（关键词：聚会、逛吃、分享、嗨玩）✲机器人博物馆→5D影院《魔法釉传奇》→飞行影院→石渚游船→✲黑石号特技秀→✲君生戏楼→新华联铜官窑博物馆群→舜子街、石渚草市→春香街（水街）→✲铜官水秀亲子儿童趣味游（关键词：科技感、寓教于乐、炫酷、欢乐）✲机器人博物馆→新华联铜官窑博物馆群→冰雪王国→✲机甲巡游→童梦王国爷爷奶奶历史游（关键词：非遗、古宅、历史、震撼）✲听雨轩→✲花鼓戏楼→✲君生戏楼→新华联铜官窑博物馆群→宜素斋→市场湖街→欧阳询书院→✲丹凤戏楼→湖湘名人馆",全年 09:00-22:00,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/2f09450d6b15e4f7a71e0b556ef8d193.jpg_480x360x95_7351db7b.jpg,4.5,建议游览时间：3天 - 6天,,"{'长沙铜官窑古镇门票成人票\n\n': ['¥168起'], '长沙铜官窑古镇门票优待票\n\n': ['¥100起'], '长沙铜官窑古镇门票家庭票(2大1小)\n\n': ['¥358起']}",新华联铜官窑古镇预订须知1.试营业特价使用期限：2018年8月28日——2018年9月30日；2.园区实行一人一票制，限有效期内使用，过期作废；门票仅作入场使用，并不适用于需额外收费的其他项目，请妥善保管入场门票，请勿折叠或涂污；3.门票退改规则：有条件退：提前预定票在使用日期当天23:00（含）之前申请取消，不收取损失费。使用日期当天23:00之后申请取消，收取100%损失费；单笔订单不支持部分退。如需改期，请申请取消后重新预定。电子票使用须知1、下单时请写明：姓名+手机号码；2、入园凭证：游玩当天凭预订成功短信中的二维码直接检票入园；3、使用日期：仅限您选择的游玩日期的当天有效；4、游览当天请打开手机内二维码短信，至景区游客服务中心检票口扫描进入景区，或直接持第二代身份证原件刷证入园；5、若游览当天无法打开二维码，您也可以凭短信内容、订票人姓名及手机号等至景区游客服务中心综合窗口换取纸质门票后检票进入景区；,1
湖南省植物园Hunan Forestry Botanical Garden,http://travel.qunar.com/p-oi7468954-hunanshengzhiwuyuan,"

地址:
长沙市雨花区植物园路111号


电话:
0731-85233238,0731-85597485


官网:
http://www.hnsslzwy.com/

",湖南省森林植物园是赏花踏青以及亲子游的好去处。这里森林密布，环境好，空气也很清新。园内分为多个区域，比如樱花园、荷花园和杜鹃广场等。园内不定期会举办花展，能观赏到美丽的郁金香、樱花、牡丹还有荷花等，尤其是樱花和郁金香，面积大，盛开时非常美。,5/1-9/30(游览时间) 08:00-18:00;10/1-4/30 08:00-17:30,https://img1.qunarzz.com/travel/d9/1609/cf/99f1a1a94f7923b5.jpg_480x360x95_fd3452b8.jpg,4.7,建议游览时间：2小时 - 4小时,四季皆宜,"{'湖南省森林植物园乐林游乐园项目长沙乐林游乐园玻璃漂流+喷球车/摇头飞椅2选1+花果山漂流/八卦阵2选1票大小同价\n\n': ['¥49.9起'], '湖南省森林植物园乐林游乐园玻璃漂流+转马/摇头飞椅2选1票+湖南省森林植物园乐林游乐园花果山漂流/双层过山车2选1+八卦阵套票亲子票(1大1小)\n\n': ['¥79.9起'], '789沙滩车运动俱乐部(松雅湖)\n\n': ['¥268起']}",,1
