名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
太行山大峡谷Taihang Grand Canyon,http://travel.qunar.com/p-oi713375-taihangshandaxiagu,"

地址:
长治市壶关县桥上乡


电话:
400-0710-999


官网:
http://www.thsdxg.com.cn/

",太行山大峡谷地处晋豫两省交界，位于山西长治市壶关县，主要景点有八泉峡、红豆峡、青龙峡、黑龙潭和紫团山等景区。走进峡谷，犹如步入百里画廊，有壁立千仞的奇峰怪石、郁郁葱葱的莽莽林海、喷珠溅玉的悬泉飞瀑、妙趣横生的岩溶桥洞等景观，令人目不暇接。八泉峡拥有近百个景点，集江河峡谷、石灰岩地区干旱峡谷和溪流峡谷诸般景致为一体，是太行山大峡谷核心游览区。八泉峡北面悬崖绝壁周围有八个泉眼，常年流水不息，喷泉、瀑布直跌谷底，汇成八道水流出，故得名八泉峡。红豆峡因境内天然生长着南方科目的珍稀树种红豆杉而得名，是集北方阳刚粗狂与南国阴柔和美于一体的景区。这里有原始森林、悬泉飞瀑、高峡平湖，曲折蜿蜒的河谷山岭上，生长着上千种原始野生植物，裸根盘节，乔灌相间，花果竞艳。景区内由于景点与景点之间相距较远，所以比较适合自驾游玩。不过山间弯路较多，不建议新手尝试。此外，景区内也提供电瓶车、游船、索道、电梯等交通工具，各景点之间都有停靠，也很方便。山中有不少民宿和客栈，时间充足的情况下，可以在此住宿一晚，慢慢游玩。,全年 08:00-16:00,https://img1.qunarzz.com/travel/d4/1606/cd/ec4bccf13450c4f7.jpg_480x360x95_c67efb5f.jpg,4.6,建议游览时间：3天 - 6天,,"{'太行山大峡谷八泉峡单程电梯缆车+单程游船+往返观光车票成人票\n\n': ['¥170起'], '太行山大峡谷八泉峡缆车+单程船票+往返观光车+电梯票大小同价\n\n': ['¥170起'], '太行山大峡谷八泉峡+红豆峡+青龙峡门票成人票\n\n': ['¥45起']}",,1
太行水乡Taihang Water Township,http://travel.qunar.com/p-oi704875-taixingshuixiang,"

地址:
长治市平顺县324省道


电话:
0355-8881331

",太行水乡风景区，位于长治市平顺县北部浊漳河沿岸，与河北、河南两省接壤，涉及平顺北耽车乡、阳高乡、石城镇的70个行政村，景区面积非常大，目前景区的交通不是十分便捷，更加适合自驾前往游玩。太行水乡风景区内有奇山异石、自然峡谷，还有原始森林、文物遗址等自然景观和人文景观，同时又开发了恐龙谷、天鹅湖、西大门、南垴山、大云院、水上漂流、藏兵洞、龙门寺等旅游景点。游客来到景区，在青山绿水中，可以乘坐游船在水面荡漾，可以在清新的空气中享受大自然带来的悠闲，还可以去玩玩高空溜索，在清澈的溪流中漂流。与候壁水电厂相邻的恐龙谷风是太行水乡非常具有特色的景点之一，这里面向卧龙山，背靠卧虎山，东接闻名于世的人工天河——“红旗渠源”。景区内有住宿点和餐饮服务，但景区面积比较大，游玩时自己带一些饮用水和零食会比较好。,全年 8:00-16:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/bb28231149b18f6fab108cca6dd677bf.jpg_480x360x95_561a526a.jpg,4.5,建议游览时间：3天,,具体收费情况以现场公示为主,,1
仙堂山Xiantang Mountain,http://travel.qunar.com/p-oi710139-xiantangshan,"

地址:
长治市襄垣县井背村


电话:
4006298100

",仙堂山景区位于山西省襄垣县，太行山西麓、上党盆地之北，距县城25公里、长治机场60公里、太长高速40公里、黎霍高速（在建）35公里、太焦高铁20公里，太行一号公路基本完工，交通十分便利。古谓“仙堂旧隐”，今为融自然风光、人文景观、法显文化、历史文物、避暑休养为一体的旅游胜地。仙堂山素有“太行灵山”之称，海拔1100—1725米，花草树木360多种，森林覆盖率90%，空气质量和地表水质量为国家标准，环境噪声为零，有“天然氧吧”之誉。仙堂寺居胜景之冠。门前天梯矗立，寺后奇峰高耸，殿内外泉水萦绕，四面环山，神奇壮观，古称“九龙环抱，人杰地灵”。金灯岩、舍身崖、虎掌石、海底生物化石、黑龙洞、朱砂洞、观音洞等奇峰险洞千姿百态、鬼斧神工。仙堂奇松、娲皇宫奇树为树中之绝，举世罕见。翠微峰、灵鹫峰等山峰环列如画屏，天然卧佛神态安详而庄严。明永乐进士李俊诗云：“此是蓬莱真境界，更于何处觅仙堂”。仙堂山人文荟萃。东晋时期，高僧法显曾于此出家弘法，是我国历史上第一个到印度取经的僧人，比唐玄奘早230年，到达美洲大陆早于哥伦布1080年，是古“丝绸之路上的文化使者”和“开拓者”，被鲁迅誉为“中国的脊梁”。寻访法显足迹，问源仙堂名山。仙堂山景区积极响应国家“一带一路”倡议，传承法显丝路文化，开发建设了法显纪念苑、法显西行丝绸之路馆群、财神庙、观音殿、索道、山门游客中心，同时对仙堂寺古建筑群部分景点进行了专业维护。景区共有景点30余处。现为国家AAAA级旅游景区、国家森林公园，是“中国低碳旅游示范区”、“山西省级风景名胜区”、“山西省德育基地”、“省级文明和谐景区”、“山西省十大新锐景区”“长治市爱国主义教育基地”。仙堂名山，四季如画：阳春百花争艳、花海如潮；盛夏林荫庇道、云雾缭绕；深秋姹紫嫣红、满山红叶；隆冬玉洁冰清、分外妖娆。仙堂山景区将以独特的景观、开放的姿态、优质的服务，热忱欢迎八方游客前来观光旅游！,全年 08:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/201912/ff251a1724df1b1fc3bb8cc08974bf86.jpg_480x360x95_bdc0571e.jpg,4.5,建议游览时间：3天 - 6天,,{'仙堂山电子讲解服务大小同价\n\n': ['¥1.6起']},,1
青龙峡(太行山大峡谷)Qinglong Gorge ( Taihang Mountain Grand Canyon),http://travel.qunar.com/p-oi717484-qinglongxia,"

地址:
山西长治壶关县


电话:
400-0710-999

","太行山大峡谷自然风光旅游区地处晋豫两省交界，在长治市壶关县东南部,占地总面积约为225平方公里。先后荣获“国家森林公园、国家地质公园、国家4A级景区、中国攀岩基地、 山西省风景名胜区”等荣誉称号。大峡谷中有名景点有红豆峡、八泉峡和女娲洞等。太行山（北纬34°34'—40°43'、东经110°14'——114°33'），又称为五行山、王母山、女娲山，是中国东部地区的重要山脉和地理分界线。在山西省与华北平原之间，纵跨北京、河北、山西、河南四省，山脉北起北京市西山，向南延伸到河南和山...太行山大峡谷自然风光旅游区地处晋豫两省交界，在长治市壶关县东南部,占地总面积约为225平方公里。先后荣获“国家森林公园、国家地质公园、国家4A级景区、中国攀岩基地、 山西省风景名胜区”等荣誉称号。大峡谷中有名景点有红豆峡、八泉峡和女娲洞等。太行山（北纬34°34'—40°43'、东经110°14'——114°33'），又称为五行山、王母山、女娲山，是中国东部地区的重要山脉和地理分界线。在山西省与华北平原之间，纵跨北京、河北、山西、河南四省，山脉北起北京市西山，向南延伸到河南和山西交界地区的王屋山，西接山西高原，东临华北平原，呈东北到西南走向，绵延数400多公里。太行山由多种岩石结构组成，呈现不同的地貌，大部分海拔高达1200，有众多河流发源流经，地势北高南低并储藏有丰富的煤炭资源。",全年 8:00-16:00,https://img1.qunarzz.com/piao/fusion/1808/ed/8c3cc2cf68742d02.jpg_480x360x95_4596ebcd.jpg,4.4,建议游览时间：12小时 - 3天,,"{'太行山大峡谷八泉峡+红豆峡+青龙峡门票成人票\n\n': ['¥45起'], '太行山\n\n': ['¥198起']}",,1
太行太岳烈士陵园,http://travel.qunar.com/p-oi716437-taixingtaiyuelieshiling,,位于长治市内的梅辉坡。它是根据1946年3月晋冀鲁豫边区参议会第一届第二次会议的决议，为纪念在抗日战争中英勇牺牲于太行太岳的中华民族优秀儿女而建立的。1951年落成。 占地总面积为9460万平方米。陵园开南、东两个门，南门为正门。大门两壁是戎子和同志亲笔题写的对联：“英雄功劳换来民族幸福，烈士血汗奠定国家安全”。进入园内，青松郁郁，鲜花遍地，显得十分庄严肃穆。陵园的中心耸立着太行太岳烈士纪念碑，碑高23米，是陵园内最突出的建筑物。碑身内部全是大青石，表面贴5厘米...位于长治市内的梅辉坡。它是根据1946年3月晋冀鲁豫边区参议会第一届第二次会议的决议，为纪念在抗日战争中英勇牺牲于太行太岳的中华民族优秀儿女而建立的。1951年落成。 占地总面积为9460万平方米。陵园开南、东两个门，南门为正门。大门两壁是戎子和同志亲笔题写的对联：“英雄功劳换来民族幸福，烈士血汗奠定国家安全”。进入园内，青松郁郁，鲜花遍地，显得十分庄严肃穆。陵园的中心耸立着太行太岳烈士纪念碑，碑高23米，是陵园内最突出的建筑物。碑身内部全是大青石，表面贴5厘米厚的白色大理石。通身洁白的纪念碑象征着先烈们纯洁无形的高尚品质。碑的正面是晋冀鲁豫边区人民政府主席程子华题写的“太行太岳烈士纪念碑”九个丹漆大字。背面是邓小平同志的题词：“人民水远纪念着你们”。,,,4.0,,,,,1
仙堂寺,http://travel.qunar.com/p-oi708229-xiantangsi,,在山西襄垣县城东北25公里仙堂山腰。四面环山，松柏苍翠，泉水蜿蜒寺侧，环境清静优美。寺址内外，五泉涌出，故又名五龙寺。创建年代不祥。相传某夜风寸雨大作，飞砂走石，林木倾坏，人呼马叫，翌日寺成，山门横额“仙堂”。明清两代屡有修葺，现存山门，东西配殿，三佛殿，禅院等，殿顶琉璃，殿内佛像，是明代遗物。寺外右侧观音洞自成一局，石阶陡峻，林木耸峙，依洞建有窟檐。西北里许山崖如削，崖下建娲皇阁一座，宽五间，高三层，构造奇巧，周围高山峻岭相衬，犹如古画中的玲珑小...在山西襄垣县城东北25公里仙堂山腰。四面环山，松柏苍翠，泉水蜿蜒寺侧，环境清静优美。寺址内外，五泉涌出，故又名五龙寺。创建年代不祥。相传某夜风寸雨大作，飞砂走石，林木倾坏，人呼马叫，翌日寺成，山门横额“仙堂”。明清两代屡有修葺，现存山门，东西配殿，三佛殿，禅院等，殿顶琉璃，殿内佛像，是明代遗物。寺外右侧观音洞自成一局，石阶陡峻，林木耸峙，依洞建有窟檐。西北里许山崖如削，崖下建娲皇阁一座，宽五间，高三层，构造奇巧，周围高山峻岭相衬，犹如古画中的玲珑小屋。寺前还有乐楼、关帝殿、黑龙潭、炼丹洞、琉璃崖等景色。过去每年四月初八释迦牟尼诞辰，人们到此焚香膜拜，饱赏风光。明永乐进士李浚诗有“此是蓬莱真境界，更于何处觅仙堂”。,,,--,,,,,1
天脊山自然风景区Tianji Mountain Scenic Area,http://travel.qunar.com/p-oi709464-tianjishanziranfengjing,"

地址:
长治市平顺县


电话:
0355-8927713


官网:
http://www.tjschina.cn/

",天脊山自然风景区，位于太行山之颠的平顺县东南山麓，毗邻河南桃花洞，天脊山有古朴原始的自然环境、温和湿润的气候条件、绮丽壮阔的地形风貌，是长治市的后花园，景色赛江南，这里特别适合城市居民前来度假休闲，远离大城市的喧嚣，到这里呼吸下清新无比的空气，爬爬山，健身运动一番。这里植被茂盛，是一个天然的森林大氧吧，山中四季流水不断，处处是瀑布山泉，还有溶洞、绝壁等处，更让人叫绝。景区内的两大景观：惟妙惟肖的天脊大佛、气势宏伟的天泉飞瀑，此外还有年代久远的崖葬群、神秘的潞氏陵、八戒背妻、连心蜂、翡翠湖、灵音洞等近多处景点。当游客进入山中，两边是郁郁葱葱的青山，大山的岩缝中是清澈的细流，当你爬到山顶的观景台，则是另一番景色，一览众山小的豪迈之情油然而生。游客在天脊山游玩时，一定要去观音洞后面的绝壁栈道，这里，依靠着悬崖而建，落差300余米，走在这条栈道上，山中的美景一无遮拦。,8:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1560193485715100515000000xnhp8E606_D_640_10000.jpg_480x360x95_4cd19a47.jpg,4.4,建议游览时间：3天,,"{'天脊山自然风景区门票成人票\n\n': ['¥48起'], '天脊山电子导览服务大小同价\n\n': ['¥6起']}",,1
红豆峡Hongdou Gorge,http://travel.qunar.com/p-oi717363-hongdouxia,"

地址:
长治市壶关县府前街19号


电话:
400-0710-999

",由于生长着寓意相思的珍稀树种“红豆杉”故被誉为“中国情峡”。红豆峡雄奇险幽，集北方阳刚粗狂与南国阴柔和美于一体，可谓汇千峡之秀，纳万种风情。这里有雄山秀水，直壁断崖。整条峡谷由亿万年前造地运动形成，斧砍刀削，绝壁对峙，河谷高断，瀑潭叠出，岩层丰富，化石众多。这里林木葱郁，生态完好，森林植被覆盖率达90%，仿佛一座天然氧吧。在峡谷深处的裙褶形沟坡上，成片生长有2万余株天然红豆杉，这在我国北方地区实为罕见；方圆2.5平方公里的石树公园，奇石林立、树木参差、...由于生长着寓意相思的珍稀树种“红豆杉”故被誉为“中国情峡”。红豆峡雄奇险幽，集北方阳刚粗狂与南国阴柔和美于一体，可谓汇千峡之秀，纳万种风情。这里有雄山秀水，直壁断崖。整条峡谷由亿万年前造地运动形成，斧砍刀削，绝壁对峙，河谷高断，瀑潭叠出，岩层丰富，化石众多。这里林木葱郁，生态完好，森林植被覆盖率达90%，仿佛一座天然氧吧。在峡谷深处的裙褶形沟坡上，成片生长有2万余株天然红豆杉，这在我国北方地区实为罕见；方圆2.5平方公里的石树公园，奇石林立、树木参差、石树相依，浑然天成，独具特色，为专家学者拍案叫绝；峡谷内还开发建成极具观赏价值的杂果园和植物园，是情侣幽会、休闲观光的好去处。这里有乡村人家，田园风光。民风淳厚，民俗淳朴，一幅“小桥流水人家”的如诗画卷，不失为都市人返朴归真的理想境地。这里有商烟隋砖，文化底蕴厚重。穿峡而过的白陉古道是上党古八陉之一；建于隋代和明代的滴谷寺、九连寺，遗址尚存，壁画、石刻、碑碣等遗产颇丰，是探索、考察、研究史前文化、古代历史和佛教文化的现实教材。此外，这里还有红豆峡保卫战炮台遗址，是开展爱国主义教育的重要基地。通过对以上资源的初步开发，红豆峡自然风景区已成为集自然生态旅游、地质古道旅游、宗教民俗文化旅游、休闲娱乐旅游、攀岩探险旅游、爱国主义教育旅游等一系列旅游项目为一体的旅游胜地。主要景点有七仙峪、三叠潭、紫云岭、锯齿嵝、龙眼泉、滴谷寺、石树苑、红豆谷、植物园、鹅掌沟等。沿峡入境，如坠画廊，千峰竞秀，万木争奇，清流潺潺，飞瀑迭迭，湖光山色，五彩纷呈。正如诗人所赞“此景本应在天上，醉佛失手落人间”。游客至此，可攀崖赏红豆，一线天中游，幽谷观奇景，湖潭戏青波，摆渡思古韵，隔岸唱情歌，享受的是和谐、和美、和合，体味的是温情、温馨、温暖。,全年 8:00-16:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/b3f8988764480989f5473f2169dc7807.jpg_480x360x95_46f719c5.jpg,4.4,建议游览时间：3小时 - 4小时,,"{'太行山大峡谷八泉峡+红豆峡+青龙峡门票成人票\n\n': ['¥45起'], '导览服务大小同价\n\n': ['¥9起'], '【太原出发】太行山2日游·赠送一早3正餐住农家 天天发团，无购物\n\n': ['¥265起']}",,1
黄崖洞文化旅游区Huangya Cave,http://travel.qunar.com/p-oi704315-huangyadongwenhualu:you,"

地址:
长治市黎城县黄崖洞镇赤峪村168号


电话:
0355-5512000,0355-6680001

",黄崖洞文化旅游区居太行之“棱”上。雄山秀水、奇峰幽峡、日出云海、松涛飞瀑、天梯栈道、虫鸣星空。抗日战争时期，这里曾是华北敌后较大的兵工基地，被誉为“人民军工摇篮”。兵工厂车间、供销社、厂卫部、弹药库、保卫战碉堡、掩体、战壕、将军屋、战士营房、烈士陵园等遗迹遍布，是现存规模较大、保存较完好的红色抗战遗址，被誉为“没有围墙的抗战博物馆”。这里集太行壮美风光、黄崖地质奇观、红色军工文化、抗战史迹遗址于一体，是以资源保护、文化弘扬、党政培训、研学团建、观光度假、避暑康养、户外拓展为主要功能的文化旅游区。,全年 08:00-16:00,https://img1.qunarzz.com/p/tts4/1712/e1/46f7d3548bb34602.jpg_480x360x95_7a702cce.jpg,4.5,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
灵空山Lingkong Mountain,http://travel.qunar.com/p-oi716360-lingkongshan,"

地址:
长治市沁源县西北灵空山镇


电话:
0355-7974866

",灵空山风景区位于沁源县西北灵空山镇，南接古县，西靠霍山，北连石膏山，属太岳山系，总面积为15.44平方公里。境内奇峰叠翠，林海茫茫，目及之处无不层林尽染，绿意昂然，因此这里有“天然氧吧”的美誉。特殊的自然生态环境，使灵空山成了一个千峰竞秀，万木葱茏，空气清纯，鸟语花香的“世外桃园”。灵空山风景区地貌特点形似一个硕大的蘑菇状，中间由三条峡谷交汇，呈“丫”形分布，其中风洞沟峡谷较长，约5公里，草沟和将军墓沟各3.5公里。风洞沟被誉为“龙游胜境”，草沟人称“蝴蝶谷”，将军墓沟则以“十里画廊”著称。灵空山风景区景点有近50处，专家将他们分为六种类型：第一类为珍奇古树，计有“世界油松之王”九鼎松（九杆旗），古松“一炉香”、“三大王”、“招手松”、“一佛二菩萨”、“哼哈二将”，以及生于元、明、清、建国初期的“四朝云杉”，此外山中还有巨松数百株，均气势不凡，蔚为壮观。其中“九鼎松”和“四朝云杉”被称为灵空双绝，为世所罕见。第二类为古建筑。计有创建于唐代的“圣寿寺”六院，峦桥、 仙桥 、茅庵、东钟楼、唐王祠、净身窑、文殊殿、宋代石刻、五龙庙等。第三类为龙的传说和自然相结合的景点。计有蟠桃凹、五龙池、 盖海洞、 五龙洞、龙母洞、龙脊、龙胆、龙尾等。第四类为名人古迹，有唐王寨、藏兵洞、舍身崖、一线天、将军墓。第五类为其它自然胜迹，有登云路、甘露泉、 卧龙洞、十八盘、 风洞、螺旋口、叠翠峰。第六类为优美风光景观，有深夜听松、灵空叠翠、秋山红叶、雪压青松、春林晨雾、盛暑雨霖。千百年来，众多游客慕名前往，不仅为了领略大自然给于灵空山的神奇的造化，而且将这里作为修身养性的佛国胜地进香，祈福。唐代以来，灵空山因“先师菩萨”李侃在此坐化成仙，而成为历代权贵为得仙气，占神韵，保福禄，得寿喜而朝山祈福的首选之地。,全年 6:00-18:00,https://img1.qunarzz.com/piao/fusion/1505/82/3731a4c6658fdf.jpg_480x360x95_453d8061.jpg,4.7,建议游览时间：3天,,{'灵空山手机导游(不含门票)手绘地图、语音讲解票大小同价\n\n': ['¥8起']},,1
