名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
海棠山风景区Haitang Mountain,http://travel.qunar.com/p-oi703046-haitangshanfengjingqu,"

地址:
阜新市阜新蒙古族自治县大板镇大板村西北2公里处


电话:
0418-8204444,0418-8210034


官网:
http://www.htsfjq.cn/

",海棠山风景区位于阜新市东南22公里，是东北三大名山之一医巫闾山的后尾之主峰。海棠山风光四季皆美：春季可赏满山杜鹃、樱桃、杏花争艳竞放；夏季清凉幽静，是避暑佳地；秋游海棠山可见满山红叶，秋意甚美；而冬季的银装素裹让人犹如身处仙境。海棠山上建有藏传佛教风格的普安寺，寺庙周围的摩崖造像堪称一大奇观，这些摩崖造像是藏传佛教黄教传入阜新后镌刻而成。据史料记载，1683年由西藏善同寺扎萨克（总管）喇嘛章嘉活佛率门徒到此山雕刻造像，这些造像继承了晚唐传统雕刻工艺，又融合了外来艺术的精华，雕功精湛。这里的摩崖佛像种类繁多，从山间到山巅，现保存完好的佛像260多尊，它们高为5米，较小的仅0.3米。有些佛龛上下左右刻有蒙、满、藏、梵和汉文字，有的涂有彩绘。这些摩崖造像的神态千姿百态，有的面含微笑、慈眉善目；有的圆睁怒目、威风凛凛。众多的佛像中，以释迦牟尼、观音菩萨、弥勒佛、红绿度母、金刚力士、欢喜佛、千手千眼佛、天王佛、三头六臂佛、阿修罗等佛像为代表。其中，藏传佛教黄教创始人宗喀巴造像雕刻在一块高大凸起的岩石上，格外醒目。,8:00-17:00,https://img1.qunarzz.com/travel/d0/1701/a7/08eff3fde365d4b5.jpg_480x360x95_50149057.jpg,4.6,建议游览时间：2小时 - 3小时,,"{'海棠山门票成人票\n\n': ['¥45起'], '海棠山电子导览服务大小同价\n\n': ['¥6起']}",,1
海州露天矿国家矿山公园Haizhou Open-Pit Mine Park,http://travel.qunar.com/p-oi707067-haizhoulutiankuangguo,,海州露天矿国家矿山公园是亚洲第一、世界闻名的现代化大型露天煤矿，在公园游览时也能领略大规模现代化煤炭生产的壮观场面。置身其间，不能不为大自然的神秘而惊叹。海州露天矿国家矿山公园是在露天采矿遗址上建立的集旅游观光、商务休闲、科普实践、传统教育、工业忆旧、探险体验于一体的世界现代工业遗产旅游项目。,,https://img1.qunarzz.com/travel/d0/1711/9e/57a3f70d03b090b5.jpg_480x360x95_c598fee1.jpg,4.6,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
乌兰木图山,http://travel.qunar.com/p-oi722460-wulanmutushan,"

地址:
辽宁省阜新蒙古族自治县八家子乡

",阜蒙县八家子乡境内的乌兰木图山，早年叫阿力玛图山。两个名都是蒙语的音译，前者汉译为“有红色树木之山”，后者译为“有梨之山”。梨山之名更久。　　这座山的主峰叫锅底山，海拔高度831.4米，是阜新市第一高峰。站在主峰上近观远眺，收入眼帘的处处是美丽的图画。看近处，只见18个山头兀立，岩壁陡峭，沟谷幽深，峰峰形状各异，有的如万仞城墙，有的象摩天大楼，有的峻峭像华山迁来，有的雄伟似泰山移至。老头山、长蛇山、虎头山，像人形，类兽状，鬼斧神工，令人叫绝。　　站在...阜蒙县八家子乡境内的乌兰木图山，早年叫阿力玛图山。两个名都是蒙语的音译，前者汉译为“有红色树木之山”，后者译为“有梨之山”。梨山之名更久。　　这座山的主峰叫锅底山，海拔高度831.4米，是阜新市第一高峰。站在主峰上近观远眺，收入眼帘的处处是美丽的图画。看近处，只见18个山头兀立，岩壁陡峭，沟谷幽深，峰峰形状各异，有的如万仞城墙，有的象摩天大楼，有的峻峭像华山迁来，有的雄伟似泰山移至。老头山、长蛇山、虎头山，像人形，类兽状，鬼斧神工，令人叫绝。　　站在主峰南望，阜新市区、阜蒙县城、新邱区、清河门区历历在目；向东北方极目远眺，内蒙古科尔沁沙地的白色沙丘如雪；环顾四周，山水林田，村屯农舍，尽收眼底，大好河山景色秀美，令人心旷神怡。当春夏之际，看山下大地一片葱绿，阡陌纵横，似画卷，类棋盘。金秋时节，只见大地镶金铺玉。有幸遇到云海，人在云上，山在云中，恰似身临仙境，从红尘万丈的城市来到这幽静的山中，真是难得的享受。　　梨山这幅图画，四时景不同，八方色各异。真是：春有百花秋有月，夏有凉风冬有雪。东看青山西观丘，南望城池北眺沙。,6：00-18：00,,--,,,10元,,1
三塔沟Santa Ditch (Northeast Gate),http://travel.qunar.com/p-oi722461-santagou,"

地址:
阜新市阜新蒙古族自治县大板镇境内

","三塔沟风景区以山青、林密、水秀、石奇为主要特色,给游客以青、秀、幽、奇等美的感受,旅游区内森林景观多样,季相变化明显。峰险谷秀,溪水去流；奇石天成,规模宏大；环境幽静,水草丰美,是野生动物乐园。人文景观丰富,能引起游人思古之幽情。三塔沟之名源于三塔景区内的辽代三塔遗址。奇石景区山势险峻,怪石林立。松涛景区内油松风景林,绵延十余里,松林高低错落,疏密得体。青龙山景区的青龙山峰海拔736.7米,登临山顶,整个阜新市区全貌可尽收眼底。",全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1803/cb/e4792d492b01a537.jpg_480x360x95_cae25aab.jpg,4.1,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
瑞应寺Ruiying Temple,http://travel.qunar.com/p-oi711786-ruiyingsi,"

地址:
辽宁省阜新蒙古族自治县佛寺镇佛寺村


电话:
0418-8833175,0418-8171909


官网:
http://www.ruiyingsi.com/

",瑞应寺三面环山，卧谷十里，大雄宝殿、大召寺、长寿塔、祈愿殿、活佛宫、哲学院等藏式佛教建筑群与佛寺水库自然景观交相辉映，浑然天成，是蒙古族东部地区著名的朝拜圣地，素有“小布达拉宫”美誉，民间称“东藏”。目前，在瑞应寺持戒修行的七世活佛是全国仅有的六位活佛之一，每年来这里进香、请活佛摩顶祈求家庭合睦、事业腾达、亲人平安的信众络绎不绝。,全年 07:30-17:00,https://img1.qunarzz.com/p/tts9/1806/83/d6992c8eaa3c8f02.jpg_480x360x95_42226299.jpg,4.6,建议游览时间：1小时 - 2小时,,"{'瑞应寺门票成人票\n\n': ['¥28起'], '瑞应寺门票老人票\n\n': ['¥15起'], '瑞应寺电子导览服务大小同价\n\n': ['¥6起']}",,1
海棠山普安寺,http://travel.qunar.com/p-oi38941873-haitangshanpuansi,,,,,,,,,,1
七家子水库,http://travel.qunar.com/p-oi38341031-qijiazishuiku,,,,,5.0,,,具体收费情况以现场公示为主,,1
松涛湖风景区,http://travel.qunar.com/p-oi38340688-songtaohufengjingqu,,,,,--,,,具体收费情况以现场公示为主,,1
Mural of Aviator Amelia EarhartMural of Aviator Amelia Earhart,http://travel.qunar.com/p-oi38339192-mural_of_aviator_amel,,,,https://flight-feed.qunarzz.com/as3/456/image/poi_vishnu/00628847-d27f-4956-888e-f2874fa7ff5f.jpg,0.0,,,,,1
Telegraph MuseumTelegraph Museum,http://travel.qunar.com/p-oi38338112-telegraph_museum,,,,https://flight-feed.qunarzz.com/as3/456/image/poi_vishnu/26ad95a5-d84e-490a-afaf-f0015b5f2e59.jpg,0.0,,,,,1
