名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
八里河旅游区Bali River Scenic Area,http://travel.qunar.com/p-oi707526-balihelu:youqu,"

地址:
阜阳市颍上县八里河镇八里河风景区


电话:
0558-4585006

",八里河风景区位于颍上县以南8公里处，距西北边的阜阳市60公里，是在1991年特大洪水形成的湖泊洼地上建成的景区，有一些类似于深圳世界之窗、锦绣中华的微缩景观，也有游乐园、动物园，不过最吸引人的还是它本身的自然风光，湖面平静，湖上长堤种满绿柳，湖中散落着一座座岛屿，不逊色于杭州西湖。春夏是最佳游览时间，红花绿柳衬把八里河衬托得更加美丽。游览指南风景区欧式外观的大门在西北角，进门后先参观鸟语林，可以看到天鹅、鸳鸯、孔雀等鸟类。然后沿着一条栽满柳树的长堤东行，依次经过两个园区。西区“世界风光”，里面有法国凯旋门、荷兰风车、巴黎圣心教堂等世界著名景点的微缩建筑，还有个游乐场，有摩天轮等游乐项目。东区“锦绣中华”，里面能看到苏式园林、白雀寺等仿造的中国景观。从“锦绣中华”南行，会经过一座特别长的吊桥，晃晃悠悠带来的刺激感使这座吊桥很受欢迎。然后到达“碧波游览区”，又称十二生肖岛，十二生肖只是一个名字而已，十二座岛上养着的动物并不与生肖一一对应，有麋鹿、狗熊、斑马等，品种不是很多，不过小朋友一定会喜欢。在风景区西测的白塔下有一个沙滩浴场，可以玩沙子，夏天可以一展泳技。景区餐食八里河中的鱼很肥硕，如果想品尝，景区门口就有几家餐馆，注意要挑选活的鱼，味鲜肉美。,"全年 周日 12:00-17:00;全年 周一-周三,周五 10:00-17:00;全年 周四 10:00-21:00",https://img1.qunarzz.com/travel/d7/1712/1c/3129f0cd3839c8b5.jpg_480x360x95_05d96aae.jpg,4.3,建议游览时间：3天,,{'八里河风景区门票成人票\n\n': ['¥85起']},,1
阜阳生态园Fuyang Ecological Park,http://travel.qunar.com/p-oi715598-fuyangshengtaiyuan,"

地址:
阜阳市颍泉区欧阳修路666号


电话:
400-850-8000

",阜阳生态园位于阜阳市西北郊，园中种有大量花草和果树，春天和秋天可以来此赏花，夏天和秋天可以参与采摘活动。生态园中还有动物园、游乐园，适合亲子游。阜阳生态园的正大门在东部，园中央拥有大片湖面，湖上可以付费坐游船，园中各区域都围绕着湖水展开。东南部为果树种植示范区，有葡萄园、苹果园、枣园等。东北部为动物园，动物园中的动物品种没有生态园的植物多，九层高的九和塔也坐落在东北部，是生态园的地标。西北部为五牛园和盆景园。西部的热带植物园是生态园的亮点，可以看到佛肚树、加拿利海枣、盘根榕树、阿根廷国花美丽异木棉等珍贵植被。西南部的恐龙园里立着各种恐龙塑像。,全年 周六-周日 09:00-21:00;全年 周一-周五 09:00-17:00,https://img1.qunarzz.com/travel/d7/1612/a3/a30b492aeb4296b5.jpg_480x360x95_48b41457.jpg,4.5,建议游览时间：12小时 - 3天,,"{'阜阳生态园门票成人票\n\n': ['¥50起'], '阜阳生态园门票优待票\n\n': ['¥26起']}",,1
颍州西湖景区Yingzhou West Lake,http://travel.qunar.com/p-oi716527-yingzhouxihujingqu,"

地址:
阜阳市颍州区西湖镇


电话:
0558-6806807


官网:
http://www.zgyzxh.com/

","
1、
中国四大古西湖之一（杭州西湖、扬州瘦西湖、惠州西湖，颍州西湖）

2、
皖北壮﻿阔的原生态湖泊，环境优美

3、
以历史文化为核心的、集生态湿地旅游、休闲度假、会议餐饮为主题的旅游观光休闲度假区。
 
4、
颍州西湖风景区核心区将超过24平方公里、水面将达6.6平方公里，规模为全国西湖之首
",全年 09:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/ee9cc485e8341c894545e5fe34524cef.jpg_480x360x95_470c339e.jpg,4.2,建议游览时间：2小时 - 3小时,,60元,,1
迪沟风景区Digou Scenic Area,http://travel.qunar.com/p-oi704130-digoufengjingqu,"

地址:
阜阳市颍上县迪沟旅游风景区


电话:
0558-4261003,1335583333

",迪沟风景区位于阜阳市东边，紧邻迪沟镇。风景区包含了西边的竹音寺和东边的迪沟生态园，两者中间仅224省道一路之隔，相距约150米。竹音寺据说祈福灵验；生态园里有大片水面，植被茂盛，还有小孩子喜欢的动物园。迪沟风景区适合全家出游，自驾会比较方便，从阜阳市区到景区约1个多小时车程。竹音寺的看点在于非常大的五百罗汉堂，里面的罗汉全部由香樟木雕成。迪沟生态园的动物园里有老虎、狮子、狗熊等不少动物，孔雀开屏是游客较期待的一刻，生态园的湖面上天鹅等水禽自由自在地游泳，几乎不怕游客。同时，生态园里有非常多的名贵植被，适合拍照，热带植物园区的佛肚树、加拿利海枣、盘根榕树、阿根廷国花美丽异木棉等仿佛带你走进真实的热带世界。,8:00-19:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202110/9d7401491623c30b0ccc9e0b9377e5e6.jpg_480x360x95_456833fb.jpg,4.5,建议游览时间：4小时,,"{'迪沟风景区门票+竹音寺门票成人票\n\n': ['¥34起'], '迪沟风景区门票+竹音寺门票优待票\n\n': ['¥19起'], '迪沟电子导览服务大小同价\n\n': ['¥12起']}",,1
Carrizo Badlands Overlook,http://travel.qunar.com/p-oi39817876-carrizo_badlands_over,,,,,0.0,,,,,1
枫柏岗风景区,http://travel.qunar.com/p-oi39634123-fengbogangfengjingqu,,阜南地城枫柏岗景区是以荷花为主题的旅游景区，景区近省道202，交通便利。已建成400亩赏荷园、1000米观光栈道、3座凉亭、5座拱桥、2公里长的湿地风光观光大道、农家乐荷香庄园及以墙体插画为主的“藕”遇街。,,,0.0,,,,,1
南湖公园,http://travel.qunar.com/p-oi39585556-nanhugongyuan,,,,,0.0,,,,,1
戴桥,http://travel.qunar.com/p-oi39167499-daiqiao,,,,,0.0,,,,,1
长官杂技小镇,http://travel.qunar.com/p-oi38860785-zhangguanzajixiaozhen,,,,,0.0,,,具体收费情况以现场公示为主,,1
颍淮花园,http://travel.qunar.com/p-oi38636945-yinghuaihuayuan,,,,,0.0,,,具体收费情况以现场公示为主,,1
