名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
万尾金滩Wanwei Golden Beach,http://travel.qunar.com/p-oi706679-wanweijintan,"

地址:
防城港市东兴市江平镇


电话:
0770-7222463

",万尾金滩是位于东兴市的京族三岛的绵长海滩，因沙质金黄，日落时分在阳光的照耀下显得金光闪闪而闻名。这里沙滩平缓，海水清澈，相比北海银滩，显得更为清静与原生态。游玩万尾金滩一般选择下午4~6点的时候，这个时候在沙滩上散散步，或者乘坐渔船出海，享受海上美景与惬意时光，然后差不多就到日落时分了，便可欣赏这里金灿灿的海滨美景。,全年 全天开放,https://img1.qunarzz.com/travel/d2/1703/99/d094dc3487e4f7b5.jpg_480x360x95_ab2d4018.jpg,4.3,建议游览时间：2小时,,"{'东兴一日游【万尾金滩+海上红树林+国门边境风情+海淘美食特产精选纯玩团】\n\n': ['¥198起'], '东兴一日游【国界之南越南边界游+海淘美食】\n\n': ['¥198起']}",,1
大清国1号界碑,http://travel.qunar.com/p-oi712961-daqingguo1haojiebei,,大清国一号界碑位于北伦河口的竹山港，这块因长年日晒雨淋而益显沧桑的巨石，就以这样崛强的方式屹立着，界碑上庄严雄浑的“大清国钦州界”几个大楷透着一股不可侵犯的凛然正气，向每一个游客诉说着100多年来的每一段历史。 1885年6月9日，清政府和法国在天津签定的《中法越南条约》，条约规定，两国边界自竹山起界，循北伦河自东向西，以河心为界线。防城港市与越南的边界线，从竹山的北伦河口至峒中的北岗隘，长200多公里，全段以石碑为标致，共立1至33号界碑。其中以河为界的，双方...大清国一号界碑位于北伦河口的竹山港，这块因长年日晒雨淋而益显沧桑的巨石，就以这样崛强的方式屹立着，界碑上庄严雄浑的“大清国钦州界”几个大楷透着一股不可侵犯的凛然正气，向每一个游客诉说着100多年来的每一段历史。 1885年6月9日，清政府和法国在天津签定的《中法越南条约》，条约规定，两国边界自竹山起界，循北伦河自东向西，以河心为界线。防城港市与越南的边界线，从竹山的北伦河口至峒中的北岗隘，长200多公里，全段以石碑为标致，共立1至33号界碑。其中以河为界的，双方各于已方河岸相对立石，以山为界的则双方共立一块界碑，一面书“大清国钦州界”（当时防城属钦州府辖），一面书“大南”（即越南）。竹山一号界碑位于东兴镇竹山村的北仑河入海口，是大清国界碑。一号界碑竖立在竹山村边的一棵大榕树旁，碑石是用坚硬的海石凿成，高六尺余，宽二尺余，厚尺余，上面正楷阴刻的字为“大清国钦州界”。当时竹山属钦州所辖，故名“钦州界”。 据史料记载，公元1886年11月至1888年5月间，清政府代表邓承修与法使（越南当时为法国殖民军占领）会勘疆界。开始，法使仗势欺人，要将白龙半岛一半划出中国，在白龙半岛上竖埋第一号界碑。邓承修正气凛然，据理力争，终将起界定在竹山，维护了国家主权。,,https://img1.qunarzz.com/travel/d0/1712/65/4f485fa6348079b5.jpg_480x360x95_cdf948bf.jpg,0.0,,,,,1
中越友谊大桥Sino-Vietnam Friendship Bridge,http://travel.qunar.com/p-oi7527013-zhongyueyouyidaqiao,"

地址:
防城港市东兴市东兴口岸中越友谊大桥

",中越友谊大桥位于防城港市东兴市东兴口岸，横跨北仑河，是中越两国关系发展的象征和缩影。中越友谊大桥全长一百多米，桥中间有一条斑马线，是中越大桥管理线。现在，它是国际贸易、边境贸易、跨国旅游的大通道。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1511/46/4b317faf648b2f7.jpg_480x360x95_45b7cbd0.jpg,4.1,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,1
东兴口岸Port of Dongxing,http://travel.qunar.com/p-oi8305304-dongxingkouan,"

地址:
防城港市东兴市新华路

",东兴口岸位于防城港市东兴市，这里通过北仑河大桥与越南芒街相连，目前是中越之间主要的贸易通道，也是出境的必经之路。附近还设有大清国五号界碑、胡志明亭等景点。来这里领略一下“国门”的威严，感受越南风情，都是非常好的去处。东兴口岸庄严肃穆，五星红旗高高飘扬，在东兴口岸下方的街道上屹立着大清国五号界碑，随着1369号界碑的设立，它已不再是真正的界碑，但仍具有重大的历史意义，与其合影的游客数不胜数。街道两侧房屋上都插着五星红旗，其中有许多商铺都售卖着越国特产，也有许多越南人在摆着摊卖着越南的小吃与传统特色商品。东兴口岸旁还设有胡志明亭，是为纪念前越南劳动党主席胡志明的东兴之行而建立。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1809/9b/8a5457ec08cfd6b5.jpg_480x360x95_6548062b.jpg,4.3,建议游览时间：1小时 - 2小时,,"{'东兴一日游【国界之南越南边界游+海淘美食】\n\n': ['¥198起'], '越南芒街+东兴口岸一日游【身份证出国+异国风情+海淘美食】\n\n': ['¥298起'], '东兴一日游【万尾金滩+海上红树林+国门边境风情+海淘美食特产精选纯玩团】\n\n': ['¥198起']}",,1
白浪滩Bailang Beach,http://travel.qunar.com/p-oi708614-bailangtan,"

地址:
防城港市防城区江山半岛月亮湾西南侧6公里处


电话:
0770-3398069

",白浪滩因为常常可见海面上卷起的一层层白浪而得名，这里的沙质也与众不同，含钛量较高，因而接近黑褐色，固有“黑沙白浪”一说。许多当地人也喜欢假日来这儿踩水、玩沙子。沙滩滩上有太阳伞、游泳圈出租，也有沙滩排球之类的活动可以参与。虽然海滩上浪多，但由于沙滩平缓，浪头并不大，不会影响游人下海玩水。如果不住在附近的酒店，玩水过后也可以在沙滩上的淋浴室洗澡，冷热水都有（价格在10元左右）。夜色降临时，沙滩周围的大排档便开始热闹起来，选择繁多，不必担心用餐问题。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1601/77/2e72acc306fe64f7.jpg_480x360x95_6de7ea6f.jpg,4.2,建议游览时间：2小时 - 3小时,夏季为佳。,{'防城港江山半岛白浪滩景区出海拉网捕鱼体验成人票\n\n': ['¥450起']},,1
蝴蝶岛天堂滩Butterfly Island Paradise Beach,http://travel.qunar.com/p-oi704450-hudiedaotiantangtan,,,,,,,,,,1
十万大山国家森林公园Shiwan Great Mountain National Forest Park,http://travel.qunar.com/p-oi713942-shiwandashanguojiasen,"

地址:
防城港市上思县百鸟乐园景区西南500米


电话:
0770-8462108,0770-8462188

",十万大山国家森林公园位于上思县南部，这里环境清幽，有着一派原始的森林景观，群山连绵、飞泉流泻、绿林环绕，景色非常迷人。来到景区游玩时主要有两条线路，其一是通往“南山睡佛”（因在此往南山望去，南山的轮廓就像一座仰天而睡的大佛而得名），其二是通往“狮山观海”（因为所在的峰顶为狮山山顶，在这里可以将北部湾的海景尽收眼底而得名），大多数游客都会选择第二条线路。不过景区大门距离山顶的路程较远，登顶需要3.5小时左右，而且目前只能步行，想要登顶的游客建议早点出发，如果天色已较晚，就算未登至山顶也建议立马下山。若是选择通往“狮山观海”的线路，即使不到达山顶，沿途的众多景点也会让你觉得不虚此行。途中的天然药浴池、天女浴池等景点都是戏水的好地方，龙袍树、情网同心、三叉江等景点也十分迷人。,全年 8:00-18:00,https://img1.qunarzz.com/travel/d9/1503/5d/15ef8ac4de0b0d.jpg_480x360x95_10a9b5a6.jpg,4.2,建议游览时间：3天,,具体收费情况以现场公示为主,,1
竹山景区,http://travel.qunar.com/p-oi711408-zhushanjingqu,,竹山景区位于北仑河入海口，是海陆交汇处。中国大陆海岸线东起鸭绿江，西至北仑河，这里是中国大陆海岸线的最西端，又是陆路边界线的起点，其对面隔海相望是越南的芒街市和万柱海滩。这里是大清国一号界碑，还是北仑河国家海洋自然生态保护区。历史上竹山港曾是中国与越南一个热闹的通商口岸，从遗留下来的古戏台、古街、三圣宫、天主教堂等依稀可辩当年的繁华。,,https://img1.qunarzz.com/travel/d8/1602/ed/4031b1a385de5f7.jpg_480x360x95_01fb9174.jpg,3.8,,,,,1
怪石滩Fangchenggang Guaishi (Strange Stones) Beach,http://travel.qunar.com/p-oi702213-guaishitan,"

地址:
防城区半岛灯架岭前


电话:
0770-3398069

",防城港怪石滩位于江山半岛景区的南端，景如其名，这里的海滩上分布着成片的石滩，它们沟壑纵横，形状各异，大部分呈现出红褐色，许多人都称其为“海上赤壁”。怪石滩的海水也较为清澈，不过这里人少，而且海边的礁石略滑，并不建议下水游玩。可以在怪石滩上散散步、看看海、拍拍照，感受这不一般的海滨风光。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/30c5154e4f3c0930179379ca87f9446e.jpg_480x360x95_4d1db9da.jpg,3.9,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
"防城港月亮湾Moon Bay, Port of Fangcheng",http://travel.qunar.com/p-oi710898-fangchenggangyueliang,"

地址:
防城港市防城区环岛东路月亮湾派出所东200米

",位于江山半岛东侧的牛头山脚下，东面与防城港隔海相望，相隔仅几百米，因其形似弯月而名。月亮湾由3个湾组成，沙滩长约2公里，水面平稳，沙质细软，洁净金黄，滩后防护林带郁郁葱葱。月亮湾现已开发为海滨公园，是游人漫步观海、嬉水娱乐的好去处。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/14f2b54f8b90c1969d1952a5aab668b3.jpg_480x360x95_363ed2e4.jpg,4.6,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
