名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
海陵岛Hailing Island,http://travel.qunar.com/p-oi710764-hailingdao,"

地址:
阳江市江城区海港小区三巷8号


电话:
0662-3888240

",海陵岛位于阳江市，是广东的第四大岛，这里不仅有优美的海景和好的海水浴场，还有吃不腻的海鲜可以大饱口福，是旅游度假的理想之地。岛上主要游玩景点集中在西南角海滨，主要游玩景点有闸坡大角湾、马尾岛、十里银滩和海上丝绸之路博物馆（南海一号），除上述景点外，还有望海亭、小港湾、北洛环（铁帽子）、牛塘山文化览胜景区和金沙滩风景区等景区。旅馆多集中在大角湾附近，经济旅馆到酒店都有，所以这里通常是游客集散地。白天来到海陵岛，可以在大角湾海滨浴场游泳，这边的浪比较大，海滩区不仅可以扑浪、游泳、散步，还可以玩水上单车、沙滩摩托车、香蕉船等自费娱乐设施，还可以去淡水区，这边主要是海上乐园，可以玩螺旋道、炮筒、雪橇滑道、波浪毯、彩虹滑道等惊险刺激的水上运动，适合年轻人来玩。从大角湾沿着海岸线往西，还可以从闸坡中心渔港乘船出海去到马尾岛，渔港中心有很多船家，有的专做游客出海游的生意。在海上，可以远眺海陵岛上的巨型风车，看远处马尾岛渔民家的渔排，和其他船上的游客打招呼，感受大海环绕的融洽与自然。大角湾往东走，则是十里银滩和南海一号。特别值得一提的是半路上的大角咀，这里只是一条山路，并不是景点，但是这条路上可以远眺无尽的南海景色，十里银滩的全景也可尽收眼底。如果想要看日出，这里也是较好的观景地。需要注意的是，大角咀拍照留念的游客很多，自驾的话可能会停车不便。十里银滩没有大角湾的大浪，在这里主要玩沙滩车和飞艇，不建议游泳。坐沙滩车可以轻松横跨十里银滩，领略十里银滩作为吉尼斯世界纪录较长海滩的魅力与风光。在海上丝绸之路博物馆，可以看到当年打捞出来的南海一号沉船，还可以看到瓷器、饰物等出土文物，对历史文物感兴趣不妨来这里看看。夜游海陵岛，一个是螺洲海滨公园，基本上游客都会聚集在这里游玩；另一个就是购物天堂“一夜埕”，这里可以买到很不错的当地海鲜，不妨买一些带回去送朋友。推荐晚饭后从放生台出发，这里也是白天的看海点。沿海滩散步到海滨公园，这是个开放式的公园，沙滩可以放烟花，旁边还有个小吃街可以买点宵夜。然后，去到一夜埕采购特产。,全天开放,https://img1.qunarzz.com/travel/d5/1606/92/c30cc463dd7dbd9a.jpg_480x360x95_a53e9682.jpg,4.4,建议游览时间：3天 - 6天,一年四季都适宜出游。海陵岛地处南亚热带，四面环海，山海兼优，年平均气温22.3°С，年降雨量1816毫米，年晴天310天，冬无严寒，夏无酷暑，四季如春，海水浴时间长达8个月。,"{'海陵岛拖伞体验成人票\n\n': ['¥450起'], '海陵岛摩托艇体验门票成人票\n\n': ['¥150起'], '海陵岛深潜体验门票成人票\n\n': ['¥480起']}",节假日期间，大鹏半岛的游客大量增加，大鹏半岛的海鲜价格普遍上涨，宰客现象时有发生，正常情况下，两个人一顿海鲜餐大概200-300元之间。,1
马尾岛Mawei Island,http://travel.qunar.com/p-oi707666-maweidao,"

地址:
阳江市江城区海陵岛西南端


电话:
0662-3892299

",马尾岛位于闸坡西南方，是半封闭型海岛，总面积1.3平方公里，海滩长约1.25公里，水深适度、海底平缓、沙质优良，有“海水大浴缸”之称，适合老人儿童玩乐。马尾岛的北帝庙，供奉“水神”北帝，渔民出海前总虔诚地来这里奉香以求平安。值得一提的是“马尾夕照”，这里是海岛的较西角，观日落的好地点，当晚彩霞漫天时，许多游人驻足于此等待。岛上森林植被丰富，怪石遍布，虫鸣蝶飞，林荫小道弯弯曲曲，保留着很浓的原始气息。山体被海浪千年万载的冲刷雕琢，形成了乱石滩、海蚀滩、一线天等奇异景观。除了观瞻北帝庙、灵曰灵庙和灯塔外，还有碉堡、战壕、古炮台等军事遗址。,全年 全天开放,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1563132264641100616000000zg1uf0EAB_D_640_10000.jpg_480x360x95_c460f15e.jpg,4.3,建议游览时间：3小时,,{'【酒店套餐】阳江海陵岛万豪海陵湾1号网红一线海景+十里银滩\n\n': ['¥139起']},,1
闸坡大角湾Zhapo Dajiao Bay,http://travel.qunar.com/p-oi710039-zhapodajiaowan,"

地址:
阳江市江城区海陵岛闸坡镇西南端


电话:
0662-3887080,0662-3888240


官网:
http://www.djwtour.com/

",大角湾是海陵岛的知名海湾，位于海陵岛闸坡镇东南，三面群峰环抱，面向浩瀚南海，因形如牛角，从而得名。大角湾滩长2.5公里，湾内风平浪静，沙质细腻松软、海水清澈纯净，空气清新，是旅游度假的好去处。游玩大角湾可以欣赏这里的浪漫海景，踏浪戏沙，尽享海滨时光。景区还冲浪、摩托艇、动力伞、沙滩车等娱乐项目，都可以体验一番。,4/16-10/15(旺季) 08:00-21:30;10/16-4/15(淡季) 08:00-18:00,https://img1.qunarzz.com/travel/d2/1606/da/b0d1d53f3602ee9a.jpg_480x360x95_7df296bf.jpg,4.3,建议游览时间：12小时 - 3天,夏季是最佳的旅游时节，阳江没有奇寒酷署，气候宜人，夏季可尽情游玩海上项目，感受凉爽。,"{'闸坡大角湾单次门票成人票\n\n': ['¥29.5起'], '闸坡大角湾单次门票优待票\n\n': ['¥15起'], '闸坡大角湾单次门票亲子票(1大1小)\n\n': ['¥45起']}",1、在海滩游泳时，如果风大浪急的话，一定要听从护游人员的指示。2、大角湾附近有一个旧市场卖海鲜，买了海鲜可以到附近的小店加工，7元每斤，既便宜又新鲜。3、 大角湾里面没有免费换衣服的地方。,1
沙扒湾Shaba Bay,http://travel.qunar.com/p-oi703372-shabawan,"

地址:
阳西县沙扒镇海港路26号


电话:
0662-5589995,13824971247

",沙扒湾是阳西县沙扒镇上的一处天然海湾，岸边绿林含翠，海面碧波粼粼，每天来此休闲漫步的居民数不胜数。这里海水清澈，是天然的海滨浴场，海滩上的休闲玩乐项目并不是很多，但也足够，不远处还有一座摩天轮，有兴趣的可以体验一番。这里盛产海鲜，看看海景，吹吹海风，再享用一顿美味海鲜大餐，是这里很常见的休闲度假方式了。,7:00-19:30；青洲岛8:00-17:00。,https://img1.qunarzz.com/travel/d4/201405/30/f845b2c00bd877e8ddb12cfb.jpg_480x360x95_4863c87e.jpg,4.1,建议游览时间：2小时 - 3小时,10月—次年3月是最佳的旅游时节，夏季平均气温为28摄氏度，适宜海边避暑游玩，冬季平均气温12摄氏度，温度适宜，可沐浴阳光。,40元,,1
鸳鸯湖公园Yuanyanghu Park,http://travel.qunar.com/p-oi715173-yuanyanghugongyuan,"

地址:
阳江市江城区东风三路24号


电话:
0662-3324027,0662-2288311

",鸳鸯湖公园位于鸳鸯湖畔。景区面积16.7万平方米，绿化面积10.8万平方米，有鸳鸯湖、南国风筝场、风筝博览馆、海鸥观礼台和广场雕塑“放飞之梦”等景点。鸳鸯湖湖水清澈，湖岸杨柳垂堤，山清水秀，楼台阁榭点缀其间，别具南国湖光韵味，是市区比较大的人工湖。南国风筝场1991年建成，占地12万平方米，可容数万群众同时进行放飞风筝娱乐活动。是市民和游客休闲、娱乐的好去处，是我国享誉盛名的风筝放飞场，每年在这里举办放风筝比赛。近年，风筝场进行了改造，铺设花岗岩地面和草坪，种植风景树，点缀一些人文景观，修建了海鸥造型的观礼台、“放飞之梦”雕塑、环湖路、大型停车场和相关的旅游设施，安装许多亮丽的灯饰。每当华灯初上，风筝场溢彩流光，展现出美丽璀璨的夜景。另外，这里还有漠阳楼、李萁烈士墓等景点，以及游泳池、溜冰场、游乐园、动物园等设施。,全年 全天开放,https://img1.qunarzz.com/travel/d7/1612/f6/024393be992948b5.jpg_480x360x95_759c69c1.jpg,4.6,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
大澳渔村,http://travel.qunar.com/p-oi714659-daaoyucun,"

地址:
位于阳东县东平镇东南

",东平大澳渔村是一个古老的渔港，位于阳东县东平镇东南，史称“六澳之首”，是中国古代南方“海上丝绸之路”的必经港口。昔日港口商贸繁盛，与广州的“十三行”相并列，史称“十三行尾”。大澳渔村至今仍然保持古渔村风貌，遗迹众多，古色古香，为渔家民俗文化之珍品。有“全国首家渔家民俗风情馆”、“爱国主义教育基地”、“古渔民民居群”、“大澳万人坟”、“海上日出”、“葛洲帆影”、“古商会旧址”、“海角琼楼”、“古炮楼”等景点，集旅游观光、博览渔家文化等功能于一体。...东平大澳渔村是一个古老的渔港，位于阳东县东平镇东南，史称“六澳之首”，是中国古代南方“海上丝绸之路”的必经港口。昔日港口商贸繁盛，与广州的“十三行”相并列，史称“十三行尾”。大澳渔村至今仍然保持古渔村风貌，遗迹众多，古色古香，为渔家民俗文化之珍品。有“全国首家渔家民俗风情馆”、“爱国主义教育基地”、“古渔民民居群”、“大澳万人坟”、“海上日出”、“葛洲帆影”、“古商会旧址”、“海角琼楼”、“古炮楼”等景点，集旅游观光、博览渔家文化等功能于一体。大澳渔村是我省唯一保存下来保持着原始渔家小屋风貌的渔村，是现今“阳江十景”之一。,8：00-18：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/a80d6cd32df1c8b9eee62fe468cf5347.jpg_480x360x95_bd42f4b8.jpg,0.0,,,,,1
珍珠湾旅游度假区Pearl Bay Holiday Resort,http://travel.qunar.com/p-oi722714-zhenzhuwanlu:youdujia,"

地址:
阳江市阳东县东平镇珍珠湾旅游区


电话:
0662-6671328

",珍珠湾海水浴场是一个2000多米长的天然海水浴场，沙质晶莹洁白，沙滩开阔，坡度平缓，海水清澈无污染。蓝天、碧海、白浪、沙滩、一幅美丽的海滨风景画将呈现在游人面前,全年 7:00-21:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/6a39f382135eb711762adee8d09a76ce.jpg_480x360x95_519635fa.jpg,4.2,建议游览时间：2小时 - 3小时,,度假区免费开放，内部摩托艇等娱乐项目另收费。,,1
十里银滩Shili Silver Beach,http://travel.qunar.com/p-oi7469233-shiliyintan,"

地址:
阳江市江城区闸坡镇海陵岛


电话:
0662-3853333

",十里银滩位于海陵岛中南部，它是海陵岛的众多海滩之一。十里银滩的特点在于海岸线很长，它的海岸线长达16.5公里，金色长滩，一望无际。往海上丝绸之路博物馆的路上，就可见到碧海向金沙涌去的景象。这里沙质洁净均匀，水质清澈透明，是一处海边戏水的好地方。十里银滩另外一个优势是在于干净及人少，这里距离旅游大道比大角湾远，所以游人要比大角湾少。大角湾相对人较多，所以旺季的时候就像下饺子般，而这里的人群就要少很多了，可以图个清静。十里银滩没有大角湾的大浪，在这里主要玩沙滩车和飞艇，不建议游泳。坐沙滩车可以轻松横跨十里银滩，领略十里银滩作为上海大世界基尼斯纪录较长海滩的魅力与风光。除此之外，和一般的海滩一样，这里也设有帆船、游艇、水上垂钓、冲浪等水上项目以及沙滩排球、足球等体育活动项目，可以选择感兴趣的游玩，据说冲浪很不错。结束了，继续往南走就是海上丝绸之路博物馆，有兴趣的可以放一条线上游玩掉。,全天开放；服务及娱乐设施8:00-18:00,https://img1.qunarzz.com/travel/d2/1704/16/1d244b1c2a1bc9b5.jpg_480x360x95_9c1fa057.jpg,4.4,建议游览时间：2小时 - 3小时,每年3月到11月，此间阳光充足，海水温暖，适宜下水游泳。,"{'十里银滩摩托艇体验双人票\n\n': ['¥130起'], '十里银滩深潜体验成人票\n\n': ['¥430起'], '十里银滩快艇出海三山岛体验成人票\n\n': ['¥100起']}",1. 海陵岛上有很多摩的司机，说是可以免费带路去酒店或者饭店，实际上他们会借此收取佣金，已经形成了产业链。出行前不妨提前在网上订好房间。2. 岛上有些黑店专坑游客，有的会通过拉客司机判断你是否是外地人，然后给你比本地人价格高的餐牌。另外，称海鲜的称可能会缺斤少量。如果想要比较保险，可以就在入住的酒店用餐，比较有名的是碧珠楼1楼的海鲜餐厅。早餐建议吃吃闸坡的特色猪肠碌和海鲜粥，非常美味。3. 渔船出海涉及安全问题，最好查看该船的许可证、保险、执业资格证等证件再上船，有部分是无证和无保险船只，所以请务必小心。,1
凌霄岩Lingxiao Cave,http://travel.qunar.com/p-oi704893-lingxiaoyan,"

地址:
阳春市河塱镇西北侧66公里罗阳峰林内


电话:
0662-7879126

",凌霄岩以自然山水溶洞景观为主，洞内分布着形态各异的钟乳石，其规模和形成时长在国内都名列前茅。石柱、石笋遍布，在五彩斑斓的景观灯照耀下，更显得绚丽夺目。凌霄岩洞内主要分三层游览，有凌霄大厅，凌霄殿和观景台。其中底层凌霄大厅有条约400米长的岩底河，游人可乘船穿梭其中，赏洞内石壁的迷人风光。也可沿“百步云梯”登至凌霄殿，赏形态逼真的石花、石果，看绚丽多彩的石笋、石幔、石瀑。,8:30-17:00,https://img1.qunarzz.com/travel/poi/1803/e8/04fa8b9e2db77237.jpg_480x360x95_b2414990.jpg,4.0,建议游览时间：1小时 - 2小时,,"{'凌霄岩门票成人票\n\n': ['¥42.8起'], '凌霄岩门票优待票\n\n': ['¥21.8起'], '凌霄岩电子导览服务大小同价\n\n': ['¥6起']}",,1
金山森林公园Jinshan Forest Park,http://travel.qunar.com/p-oi704141-jinshansenlingongyuan,"

地址:
阳江市江城区金山路大放鸡山路1号


电话:
0662-2698718

",阳江市区森林公园位于市区东面，面积4000多亩，分为植物观赏区、动物观赏区、儿童活动区和游泳区。植物观赏区由针叶林，阔叶林组成。有树种白玉兰、荷花玉兰、乔二玉兰、桃花心、格木、含笑树、马占相思、大叶相思、南洋杉、马尾松、湿地松、火炬松、加勒比松、扁柏、龙柏、质柏、英洛柏、人力楠、龙眼、荔枝、波萝蜜等200多种。动物观赏区可观赏到鹦鹉、大莽蛇、孔雀、猴子等，儿童活动区有小型足球场、秋千、儿童游泳池、滑梯、电动火车等。公园内绿草如茵，花丛处处，景色宜人。,全年 09:00-17:00,https://img1.qunarzz.com/travel/poi/1803/8e/a9b08296b1277537.jpg_480x360x95_9da1dadb.jpg,4.7,建议游览时间：2小时,,具体收费情况以现场公示为主,,1
