名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
关王庙,http://travel.qunar.com/p-oi709053-guanwangmiao,,关王庙又称关帝庙，俗称老爷庙，位于郊区白泉乡林里村南。殿宇由绿树、红墙萦围。占地面积近7000平方米，分内外两大院落。关王庙建成已有900多年，据有关资料证实，是我国最早的关羽庙建筑。关王庙以关王正殿为主，由献殿、马殿、南北配殿，以及外院的戏台、大门、忠恕牌坊、落箭亭、饮马亭等组成，布局合理，气势雄伟。属国家级文物保护单位。,,https://img1.qunarzz.com/travel/d9/1703/43/892decd96b0762b5.jpg_480x360x95_57ed6770.jpg,3.8,,,,,1
固关长城Guguan Great Wall,http://travel.qunar.com/p-oi7469235-guguanzhangcheng,"

地址:
阳泉市平定县娘子关镇新关村


电话:
0353-6142158,0353-6142258

",固关长城距平定县城35公里，距娘子关15公里，与知名的娘子关、旧关共成鼎足之势，为历代军事要塞。固关长城始建于中山国，复修于明，是我国现存较完整的石砌古长城。现主要遗址有长城南段固关经将军峪至白灰口长约7000米、北段经岑后底至娘子关嘉峪沟约13000米，城墙宽2米，高3-4米，全部依山势而建，用石头砌筑。在墙体的重要至高点上分别建有炮台、烽火台、哨台等。现有炮台、墩台11座，烽火台2座，哨台1座，药楼1座，敌楼3座。固关长城建有东西城门两座，西门建有坚固的瓮城，城门上有重檐歇山顶关楼。固关长城地势险要，历史悠久，古驿道深深。清康熙帝西巡路经此地，赞叹此关的雄伟，赋《过固关》诗一首：“鸟道入云中，风光塞漠同，人依险地立，城自越山丛，俗朴观民舍，才多壮士雄，芹泉连冀北，回首指青聪。”现在的固关长城已是平定的东大门和太旧高速公路上一道独特的风景线。,全年 8:00-17:30,https://img1.qunarzz.com/travel/d4/1703/a6/8426e3a3faee2cb5.jpg_480x360x95_f3694d64.jpg,4.6,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
冠山,http://travel.qunar.com/p-oi710580-guanshan,"

地址:
山西省阳泉市平定县

",山西省冠山森林公园位于山西省东部的平定县城关镇内，公园总面积709。4公顷，最高海拔1152米，植物种类丰富，有古松、奇树35株，医用药材160余种，危崖峭立，松柏参天，山光水色瑰丽，景色四季宜人，更有佛寺书院、石峒亭阁、乔宇诗碑、傅山篆刻，实是文献名邦，古迹荟萃。集自然景观、古迹、文化源渊于一身，融儒、释、道于一体，是晋、冀地区旅游、度假的胜地。,08:00-17:00,,--,,,入山门票10元,,1
藏山风景区Cang Mountain Scenic Area,http://travel.qunar.com/p-oi705376-zangshanfengjingqu,"

地址:
泉市盂县苌池镇藏山村


电话:
0353-8145032,0353-8145078

",藏山风景区，坐落于太行山西麓，阳泉市盂县城以北约20公里处的长池镇，因春秋时期藏匿赵氏孤儿得名。相传春秋时晋国大夫赵朔被晋国公杀害，赵朔死前将遗腹孤儿托付给门客程婴，程婴牺牲了自己的孩子，带着赵朔的孤儿赵武潜入盂山藏匿15年之久，这就是著名的赵氏孤儿的故事。后人为了颂扬程婴、公孙杵臼等人舍身取义之壮烈事迹，遂在藏山立庙祭祀，代代香火不绝。藏山祠是山中的主要景点，规模宏大，由文子祠、寝宫、藏孤洞、梳洗楼、八义祠、报恩祠、启忠祠组成，是一个气势壮观的建筑群体。其主体建筑文子祠受到过朝廷的赐封，其中藏山神庙更是升格为“万岁朝廷香火院”，在全国各大寺庙中实属少见。山中还有总圣悬楼、木牌坊等古建筑，以及各种碑碣铭文、摩崖石刻、浮雕壁画等文物古迹随处可见。藏山风景区的自然风光也是非常迷人的。山中草木茂盛，抬头可见奇峰怪石，一年四季景色各异。春天山中是花的海洋，几十种山花开遍山野；夏天这里是避暑的胜地，满山都是浓郁的树荫，清凉爽心；如果你是秋天来到景区，这里是山峦是黄色和红色的世界；寒冬藏山也不会令人失望，瑞雪飞扬的冬季，千里冰封，十分的壮观。,旺季（4月1日-10月31日）8:00-18:30；淡季（11月1日-次年3月31日）8:30-16:30。,https://img1.qunarzz.com/piao/fusion/2106/8d/b082dc9be6cdc002.jpg_480x360x95_3b507adc.jpg,4.5,建议游览时间：12小时 - 3天,,{'导览服务成人票\n\n': ['¥9起']},,1
开河寺Kaihe Temple,http://travel.qunar.com/p-oi709031-kaihesi,,开河寺位于平定县乱流村西的魁头山腹，这里山峰突兀，松柏参天。此寺创建于北魏永平三年（510）。寺内有上、中、下三龛，大小佛像百余尊，佛像大者高4.4米，小者仅高0.12米，其造像风格和神态与大同云冈石窟佛像如出一辙，故有“三晋小云冈”之称。,,https://img1.qunarzz.com/travel/poi/1803/3b/352d1423d6b85537.jpg_480x360x95_c468cda5.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
翠枫山自然风景区Cuifeng Mountain Natural Scenic Area,http://travel.qunar.com/p-oi713890-cuifengshanziranfengjing,"

地址:
阳泉市后峪村翠枫山


电话:
0353-4075500

",翠枫山自然风景区，位于阳泉市的郊外，景区内有大面积的原始次森林，处处都是沟壑怪石，清澈的泉水在山中流淌，是一个天然的大氧吧。在阳泉火车站前有中巴车可以到达景区，全程约1小时左右，在每年的11月至次年的3月底是景区的封山防火期，期间景区不对外开放。翠枫山景区内有绿野仙谷、佛旨亭、枫叶亭三条游线。绿野仙谷主要是自然的体验旅游，全长约5公里游程，由石板、木板和松针铺成的山林小路，道路两旁是郁郁葱葱的树林。山上还有六个观日出、日落、桃花、夏绿、红叶、雪景的“...翠枫山自然风景区，位于阳泉市的郊外，景区内有大面积的原始次森林，处处都是沟壑怪石，清澈的泉水在山中流淌，是一个天然的大氧吧。在阳泉火车站前有中巴车可以到达景区，全程约1小时左右，在每年的11月至次年的3月底是景区的封山防火期，期间景区不对外开放。翠枫山景区内有绿野仙谷、佛旨亭、枫叶亭三条游线。绿野仙谷主要是自然的体验旅游，全长约5公里游程，由石板、木板和松针铺成的山林小路，道路两旁是郁郁葱葱的树林。山上还有六个观日出、日落、桃花、夏绿、红叶、雪景的“观景台”，还有可以调节心情的“喊山崖”。还能看到自然形成的“财门”、“运门”、“福门”和“龟驮树”、“恩爱到白头”等景点。景区内各种树木上，都挂有树种介绍牌。景区内的标本馆，展出了海洋、陆地动植物标本一千多种，是山西省大的自然科学教育场所。你还可以在景区的蟒蛇巨龟馆与动物亲密接触，这里展出的黄金蟒和巨龟。翠枫山的水上乐园内，有水上健身球、游船、钓鱼等娱乐项目供游客选择。景区内还有“山吧木屋”和度假村为游客提供住宿。游客还可以在这里购买农家特产、吃吃农家菜。在每年的9、10月份，山中的枫叶纷纷的变红，是山中美丽的时节。,9:00-17:00,https://img1.qunarzz.com/travel/poi/1803/43/c6c42c40349c037.jpg_480x360x95_363c43b0.jpg,4.3,建议游览时间：3小时 - 4小时,,旺季80元 淡季50元,,1
百团大战纪念馆Baituandazhan Memorial Hall,http://travel.qunar.com/p-oi703578-baituandazhanjinianguan,, 百团大战纪念馆位于狮脑山峰顶，现有藏品2000多件，是以百团大战为主题的具有革命历史纪念意义的专题性展馆。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5d061f29969449a04c5add9835366edf.jpg_480x360x95_8375706c.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
阳泉水帘洞瀑布,http://travel.qunar.com/p-oi702181-yangquanshuiliandongpu,,位于娘子关城东门东南方向的500米处。飞瀑奔泻，悬流百尺，散缕似珠，山城沟谷中泉眼累累。当地人称为“海眼”的悬泉，是众泉眼中最大的一个。瀑布落差30余米，宽约10多米，“海眼”泉水翻滚，激起层层白色浪花，响声震耳。平地涌出的泉水，从“海眼”旁边的峭壁上直泻而下，汇入桃河，形成水帘洞瀑布。壁面布满常青苔藓，一串串银花纷扬其外，水雾弥漫，蔚为奇观。,,,--,,,,,1
大王庙,http://travel.qunar.com/p-oi715446-dawangmiao,,位于孟县城西关，是一组至今保存比较完好的金代建筑。庙有两院组成，中轴线上是山门、乐台、正殿、后殿等建筑。正殿、后殿均不很高，但出檐较深，古朴浑厚，雕梁画栋，丹壁彩绘，富丽堂皇。庙内多通石碑镌刻细腻，笔工刚健，技艺精湛。庙前有古槐两株，相传为唐代所植，老枝纵横，树冠高大，至今枝叶繁茂。,,,--,,,,,1
药林寺Yaolin Temple,http://travel.qunar.com/p-oi704035-yaolinsi,, 药林寺森林公园位于平定县城南20公里处，占地4000余亩，是平定县境内一片较为整齐的针、阔叶混交林，主要树种是油松和栎树，灌木有黄栌、刺梅等，园内有数十种飞禽走兽，是一个乔、灌、草相间，动植物共存的不受外界环境污染的动植物乐园。药岭寺在药岭山，原名清凉寺，始建于明宣德九年（1434）。寺院由石洞、东西楼等大型建筑组成。石洞供奉雕像共38尊，东西大殿供有关羽、岳飞、枷蓝、药王等塑像。除立佛外，尚有无数小像，各类人物，比比皆是。另有石刻、碑石等宗教文物。明代张三漠有七律《药岭寺》写道：“清凉古寺出城瘭，寂寞烟村总莫邻。参天古木作龙鳞。云深采药迷仙子，夜静悬藜见老人。书舍僧居两不厌，可能一坐隔嚣尘。”药岭山山势挺拔险峻，怪石嶙峋，置身此地如人间天堂。站地山顶俯视全景，四季各异。春季是花的世界；一到夏季鸟语花香，万紫千红的世界变为绿色的海洋；在秋季，各种药材、野果累累，漫山的树叶红绿相间，别具一格；冬季是美好的景色之一，坚毅挺拔的劲松毅然如春。在药岭山腰中有一巨石曰清凉石，石中凿一石洞，洞内雕大佛像菩萨及八仙过海等几十余尊，洞顶雕有飞龙、花鸟图案，龙下有八角井一眼，井内有神水，龙倒影水中，犹如飞龙戏水。清凉石上还建有大佛殿，殿内大小佛像七百余尊，东西配古称伽兰殿、关公殿。此外，园内还有蓬松、井沟泉、将台岭、一线天、待月石等多处景点。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6fc5a3ac228868a307bc99cd6e32d806.jpg_480x360x95_680f3953.jpg,4.5,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
