名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
阿瓦提丝绸古道Awati Silk Road,http://travel.qunar.com/p-oi10002451-awatisichougudao,,和田河是从塔克拉玛干沙漠穿过的河流，全长1127公里，其上游由两条支流构成，一条是玉龙喀什河，一条是喀拉喀什河，均发源于昆仑山，两河在阔什拉什汇合后始称和田河，和田河下游为典型的平原游荡型河流，河床宽浅，河流曲折婉蜒，多心滩、边滩，以灰杨、胡杨为主的天然林沿河两岸呈带状分布，野生动物时常出没，宽阔的河床每年洪水过后便成为沙滩地，受风力吹扬，流沙荡漾呈波浪纹，在烈日的照耀下，远远望去，似碧波荡漾的河水。每年6～8月为汛期，和田河下泄的洪水可穿越沙漠入塔里木河，此时为漂流的时机。和田河是沟通塔里木盆地南北交通的绿色走廊，其军事和经济地位十分重要。千百年来，商贾行旅、或车马、或驼驮，由阿瓦提到和田，再转疏勒，它是连接阿瓦提绿洲与墨玉、和田绿洲的纽带，成为丝绸古道的重要通衢，起到了中原与西亚文化、经济交融的桥梁作用。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a1d406135fc8494cc475f3f5bd8d6db1.jpg_480x360x95_b6a395ee.jpg,4.7,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
天山神秘大峡谷The Mysterious Grand Canyon of Tianshan Mountains,http://travel.qunar.com/p-oi714586-tianshanshenmidaxiagu,"

地址:
阿克苏地区库车县217国道1025号北侧，库车县城以北64公里的山区


电话:
0997-6780333

",天山神秘大峡谷又叫克孜利亚大峡谷，位于新疆阿克苏地区库车县北部。克孜利亚维吾尔语意是“红色的山崖”，这是因为大峡谷由红褐色的巨型山体群组成。天山神秘大峡谷红褐色的山体群直插云天，在阳光照射下，犹如一簇簇燃烧的火焰。进入谷内，在红褐色的山峦中步行，仿佛进入了一个幽静清凉的世界。谷口十分开阔，但是深入谷中，峰回路转，时而宽阔，时而狭窄，有些地方仅容一人侧身通过。谷底比较平坦，许多时候都能够闲庭信步，两侧是高耸的石壁，脚下是细沙，不少路段还覆着一层浅浅的水，结着薄薄的一层冰。抬头仰望，在蓝天的映照下，奇峰异石千姿百态，数不胜数，神犬守谷、旋天古堡、显灵洞、玉女泉、卧驼峰等景观个个形态逼真。峡谷中神秘的阿艾石窟距谷口不足2公里，高悬于绝壁之上，开始只可攀着30多米高的悬梯而上，如今旁边已经加建了石阶栈道。根据考证，石窟建于盛唐中期。石窟很小，深不足5米，约一人高，洞顶呈拱形。窟内三面皆有残存的壁画，而壁画上竟然罕有地出现了汉字，与古西域地区其他数百座石窟相迥异，充分显示汉文化的痕迹。,1/1-12/31 10:00-19:00,https://img1.qunarzz.com/travel/d7/1509/1e/69ec065c5bb017.jpg_480x360x95_228e3470.jpg,4.5,建议游览时间：2小时 - 3小时,,"{' 天山神秘大峡谷门票成人票\n\n': ['¥40起'], ' 天山神秘大峡谷门票学生票\n\n': ['¥21起'], ' 天山神秘大峡谷门票老人票\n\n': ['¥21起']}",,1
塔里木河Tarim River,http://travel.qunar.com/p-oi711726-talimuhe,"

地址:
阿克苏地区沙雅县

",塔里木河是中国较大的内流河，由发源于天山的阿克苏河、发源于喀喇昆仑山的叶尔羌河以及和田河汇流而成，而后流入台特马湖。塔里木河流域在地域上包括塔里木盆地周边向中心聚流的九大水系114条源流和塔里木河干流，塔克拉玛干大沙漠及东部荒漠区。塔里木河河水流量因季节差异而变化很大。每当进入酷热的夏季，积雪、冰川溶化，河水流量急剧增长，就象一匹“无疆的野马”奔腾咆哮着穿行在荒漠和草原上。塔河流域兴建了许多水利设施，各族人民的辛勤耕耘，昔日荒漠变成桑田，塔河两岸瓜果满园，稻花飘香。,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1701/5f/8ed418afcb731302.jpg_480x360x95_48b932e2.jpg,4.6,建议游览时间：3天,,具体收费情况以现场公示为主,,1
温宿托木尔大峡谷,http://travel.qunar.com/p-oi713878-wensutuomuerdaxiagu,"

地址:
新疆维吾尔自治区阿克苏地区温宿县637乡道温宿大峡谷景区

",温宿大峡谷位于温宿县境内天山山脉中段南麓前山区博孜敦柯尔克孜民族乡境内，大峡谷距温宿县城东北约80公里，距国道314线30公里左右，总面积200平方公里，前期投资700万元。这里曾是通往南北天山古代驿路木扎特古道的必经之地，当地称之为“库都鲁克大峡谷”，维吾尔语意为“惊险，神秘”。峡谷观光探险区约有30平方公里（含地质独特构造—盐丘地貌），总长度约5公里，宽约6公里，典型景观集中在峡谷中部区域，山体以红色砂岩、页岩为主要构成，峡谷谷口宽约160米，入口处河床平坦，灌...温宿大峡谷位于温宿县境内天山山脉中段南麓前山区博孜敦柯尔克孜民族乡境内，大峡谷距温宿县城东北约80公里，距国道314线30公里左右，总面积200平方公里，前期投资700万元。这里曾是通往南北天山古代驿路木扎特古道的必经之地，当地称之为“库都鲁克大峡谷”，维吾尔语意为“惊险，神秘”。峡谷观光探险区约有30平方公里（含地质独特构造—盐丘地貌），总长度约5公里，宽约6公里，典型景观集中在峡谷中部区域，山体以红色砂岩、页岩为主要构成，峡谷谷口宽约160米，入口处河床平坦，灌木稀少，沙细柔软，河床顺峡谷缓缓升高，直至雪山脚下，间有清泉从时宽时窄的河床缓缓涌出。峡谷群南面有近200平方公里的戈壁，主要分布和生长着麻黄草、梭梭草等耐旱植物，黄羊、野猪、野兔、狼经常出没于峡谷和戈壁滩。温宿大峡谷两侧群峰耸立，山体以棕红色为主体，间有淡绿色、米黄色、乳白色穿插其中，顿显五彩斑斓，雨水过后更是色彩鲜艳。进入谷中约1000米后，大峡谷相继分为8条较大支谷，长短不一的小支谷在峡谷群中约有1000多条，较大支谷风格迥异，小支谷千变万化，在漫长的地质年代中把地层切割的班驳陆离，形态万千。步入峡谷，视野时而开阔，时而郁闭，峰回路转，时暗时明，峡谷群峰叠嶂，万轫攒空，气势磅礴，极具震撼力。峡谷内分布有少量灌木、胡杨树和耐旱盐生植物，峡谷两侧断崖因风吹日蚀，雨水冲刷，形成了许多令人叹为观止的传神奇景，如：英雄谷、幽情谷、双塔谷、紫澜山、胡杨双雄、万僧朝圣、千年古堡、千山雄风、太空来客、驿路城池、双塔争锋、情俑、千古壁画、千屋万塔、一线云天、星河飞瀑、三心石、二意柱、巨轮飞渡、赤柱坡、雄鞭口、望心门、赤砂墩等气势壮观的100多处难于用语言文字表达清晰的山体造型。目前，大峡谷还是原始的自然景观,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/57576abcf5c7b12a66523d23a657bc45.gif_480x360x95_86275db4.gif,4.3,,,40元,,1
刀郎部落Daolang Tribe,http://travel.qunar.com/p-oi7607115-daolangbuluo,"

地址:
阿克苏市阿瓦提县玉满甸口


电话:
0997-5251528,0997-5121088


官网:
http://www.dolanbl.com/

",刀郎部落景区又称多浪部落，位于阿克苏市南部的阿瓦提县，距离阿克苏市区约58公里，距阿瓦提县县城约18公里，是一处以刀郎民族的民俗风情和沙漠、河流、胡杨林风光为主的景区。景区内风光优美，娱乐活动众多，还可以观看到神秘刀郎民族的风情，是阿克苏市旅游的好去处。刀郎部落景区的面积较大，长宽都有近1公里，进入景区后可以步行游玩，大约3-4小时为宜。景区的西侧紧靠河流，这里种植了百果园，环境清新优美，在遍地戈壁的新疆地区十分独特。河滩上还修建了沙雕公园和林则徐雕像等...刀郎部落景区又称多浪部落，位于阿克苏市南部的阿瓦提县，距离阿克苏市区约58公里，距阿瓦提县县城约18公里，是一处以刀郎民族的民俗风情和沙漠、河流、胡杨林风光为主的景区。景区内风光优美，娱乐活动众多，还可以观看到神秘刀郎民族的风情，是阿克苏市旅游的好去处。刀郎部落景区的面积较大，长宽都有近1公里，进入景区后可以步行游玩，大约3-4小时为宜。景区的西侧紧靠河流，这里种植了百果园，环境清新优美，在遍地戈壁的新疆地区十分独特。河滩上还修建了沙雕公园和林则徐雕像等，适合拍照合影。在河中央，有一处水上娱乐区和一座露天的生态游泳馆，可以在此享受玩水的乐趣。景区的中部，是以休闲娱乐和展示刀郎民俗文化为主。刀郎族是新疆塔里木盆地周围的原始居民，一直生活在与世隔绝的大漠绿洲之中，保持了特有的民俗风情。这里有一处民俗展览馆，可以进入参观，深入了解刀郎民族的故事。另外，这里还有葡萄园、无花果园、垂钓区、自助烧烤区、农庄等，可以前来娱乐。景区东部，则是以胡杨林风光为主，这里大片的原始胡杨林，可以前来观看这些大漠上坚韧的树种，拍摄摄影大片。在东部的南侧，有一处原始刀郎人村庄，复制了很多刀郎民族生活的场景，有房屋、木车、劳作工具等，可以前去参观。,全年 10:00-19:30,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/202112/991ed6b543c1b91cd03590086caac399.jpg_480x360x95_d3257a0e.jpg,4.3,建议游览时间：3小时 - 4小时,,"{'刀郎部落门票成人票\n\n': ['¥65起'], '刀郎部落门票儿童票\n\n': ['¥35起'], '刀郎部落门票学生票\n\n': ['¥35起']}",人身安全：夜间尽量减少户外活动。 事先了解当地的民族习惯，尊重当地的民俗和生活中的禁忌，所谓入乡随俗，切不可忽视礼俗或由于行动上的不慎而伤害民族自尊心。,1
库车王府Kuche Royal Palace,http://travel.qunar.com/p-oi722507-kuchewangfu,"

地址:
阿克苏地区库车县老城林基路街库车王府


电话:
0997-7210013,0997-7210016,0997-72100167210013

",库车王府位于新疆阿克苏地区库车县老城区内，是从1759年起库车当地的维吾尔亲王库车王世代居住的地方。曾经的库车王府已经变为废墟，如今的王府是在原址基础上，按照后一代库车王达吾提·买合苏提的回忆原样复原的。库车王府面积很大，横竖都有两三百米左右，里面有多座建筑，建筑多为维吾尔风格，内部色彩鲜艳，可以随处拍拍照片，院子里还有花园、绿地，环境十分不错。王府参观分为龟兹文化展览区、王府参观区和老城墙三处，进入后步行参观即可，一般2小时左右为宜。龟兹文化展览区展...库车王府位于新疆阿克苏地区库车县老城区内，是从1759年起库车当地的维吾尔亲王库车王世代居住的地方。曾经的库车王府已经变为废墟，如今的王府是在原址基础上，按照后一代库车王达吾提·买合苏提的回忆原样复原的。库车王府面积很大，横竖都有两三百米左右，里面有多座建筑，建筑多为维吾尔风格，内部色彩鲜艳，可以随处拍拍照片，院子里还有花园、绿地，环境十分不错。王府参观分为龟兹文化展览区、王府参观区和老城墙三处，进入后步行参观即可，一般2小时左右为宜。龟兹文化展览区展示了新疆历史上龟兹国的文化风俗，有众多的文字图片说明，有龟兹佛教的珍贵文物展示，还展示了龟兹古国的生产工具、钱币和民间工艺品等文物。老城墙是王府内古老的建筑，可以简单看看。为重点的参观区为王府区域，这里按照曾经王府的原样展示，内部有曾经历代库车王使用过的物品展示，还通过蜡像复原了曾经王府一家的生活场景，可以一一参观，感受曾经库车王的生活氛围。需要注意的是，原来居住在王府内的后一代库车王（也是中国后一位曾被中央政府承认的王爷）达吾提·买合苏提已于2014年7月30日辞世，现在前来游玩已经不能得见这位王爷，仅能在王府参观。,9:00-20:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/14da36380c2b7dd5f23998b26170a90e.jpg_480x360x95_9d21d34b.jpg,4.1,建议游览时间：2小时,,"{'库车王府门票成人票\n\n': ['¥53起'], '库车王府门票学生票\n\n': ['¥30起'], '库车王府门票老人票\n\n': ['¥30起']}",,1
库车大寺Kuche Dasi,http://travel.qunar.com/p-oi702328-kuchedasi,"

地址:
阿克苏地区库车县帕哈塔巴扎路


电话:
0997-7688145

",库车大寺是新疆境内仅次于喀什艾提尕尔清真寺的第二大寺，距库车新城4公里。在库车老城区众多生土建筑中，库车大寺绿色的琉璃穹顶在阳光下显得格外夺目。大寺门楼高18.3米，全部青砖砌成，高耸的门楼与宣礼塔，庄严挺拔。塔柱雕以伊斯兰风格图案，穹窿式楼顶，形似天宇，寺内礼拜大厅1500平方米，可容纳3000人大礼拜。纵横8行的64根六棱形大柱，饰似彩雕绘画，支撑起由102块方格画图案组成的天花板，华丽壮观。库车大寺据传为16世纪新疆伊斯兰教黑山派首领伊斯哈格吾里从喀什到库车留...库车大寺是新疆境内仅次于喀什艾提尕尔清真寺的第二大寺，距库车新城4公里。在库车老城区众多生土建筑中，库车大寺绿色的琉璃穹顶在阳光下显得格外夺目。大寺门楼高18.3米，全部青砖砌成，高耸的门楼与宣礼塔，庄严挺拔。塔柱雕以伊斯兰风格图案，穹窿式楼顶，形似天宇，寺内礼拜大厅1500平方米，可容纳3000人大礼拜。纵横8行的64根六棱形大柱，饰似彩雕绘画，支撑起由102块方格画图案组成的天花板，华丽壮观。库车大寺据传为16世纪新疆伊斯兰教黑山派首领伊斯哈格吾里从喀什到库车留居传道期间所建。初是土建寺院，17世纪改为木结构，1923年遇大火被烧毁，现存寺院为1931年建成。值得一提的是小礼拜寺之北有一处声威显赫的“宗教法庭”，它是政教合一的产物，也是新疆保留的为数不多的伊斯兰教司法机构遗址。,肉孜节、古尔邦节全天不对游客开放,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1558897872657100414000000wpz2t0030_D_640_10000.jpg_480x360x95_359221d5.jpg,4.2,建议游览时间：1小时 - 2小时,,"{'库车大寺大门票成人票\n\n': ['¥14起'], '库车大寺大门票学生票\n\n': ['¥8起'], '库车大寺大门票老人票\n\n': ['¥8起']}",,1
龟兹古城,http://travel.qunar.com/p-oi706701-guizigucheng,,我国汉唐时期，中央政府都以龟兹为政治中心，设立政权机构，管理西域地区。龟兹为我国古代西域大国都城东汉和帝永元三年（公元91年）班超任都护时曾迁西域都护府于龟兹。唐贞观22年（公元648年）和唐显庆2年（公元657年）曾两度设安西都护府于龟兹，辖4镇、16府、72州之地。古城周长近八千米，北墙2000米，南墙1806米，东墙1646米，西墙约2200米。除东、南、北三面城墙尚可辨认外，西墙已荡然无存。全城成不规则正方形，城墙高约2--7米，为夯土筑成，每隔40米左右有城垛...我国汉唐时期，中央政府都以龟兹为政治中心，设立政权机构，管理西域地区。龟兹为我国古代西域大国都城东汉和帝永元三年（公元91年）班超任都护时曾迁西域都护府于龟兹。唐贞观22年（公元648年）和唐显庆2年（公元657年）曾两度设安西都护府于龟兹，辖4镇、16府、72州之地。古城周长近八千米，北墙2000米，南墙1806米，东墙1646米，西墙约2200米。除东、南、北三面城墙尚可辨认外，西墙已荡然无存。全城成不规则正方形，城墙高约2--7米，为夯土筑成，每隔40米左右有城垛一个。1985年，我国著名考古学家黄文弼先生曾在此城进行过发掘工作，出土文物有石器、骨器彩陶片，铜件、汉五铢钱、龟兹小钱、开元通宝等。,,https://img1.qunarzz.com/travel/d9/1512/63/606e35975ec396f7.jpg_480x360x95_d16f88ef.jpg,2.0,,,,,1
拜城克孜尔千佛洞Kizil Thousand Buddha Caves (Kezi'er Qian Fo Dong),http://travel.qunar.com/p-oi714968-baichengkezierqianfodong,"

地址:
阿克苏地区拜城县克孜尔乡东南约7公里木扎提河北岸明屋达格山断崖上


电话:
0997-8636144

",克孜尔千佛洞大约始建于3-4世纪，或者更早一些；盛期在6-7世纪；8世纪末吐蕃占据龟兹后逐步废弃，其相继营造的时间达五六百年之久。这座千佛洞已编号的有236个窟，目前窟形尚完整的有135个窟。其中有供僧徒礼佛观像和讲经说法用的支提窟，有供僧徒居住和坐禅用的毗诃罗窟。支提窟中有窟室高大，窟门洞开，正壁塑立佛的大像窟；有主室作长方形，内设塔柱的中心柱窟；有窟室为较规则的方形窟。毗诃罗窟又称僧房，多为居室加甬道式结构，室内有灶炕等简单生活设施。这些不同类型和用途的窟，多呈规律地修建在一起，组合成一个个单元。从配列的情况看，每个单元可能就是一座佛寺。这种窟室结构和布局，在我国石窟建筑中较为罕见。克孜尔千佛洞的塑像和壁画均绘塑于支提窟内，虽然塑像多已毁坏，但壁画尚保存约有5000平方米，题材主要为佛传、因缘和本生故事。此外，反映弥勒说法和僧人习禅的题材也有一定的比重。与其他石窟相比，克孜尔千佛洞可说是我国修建得较早、现存规模较大的一座石窟寺。它的特殊窟形、壁画题材和艺术风格，深刻地反映了龟兹佛教的情况，代表了龟兹民族的文化艺术水准，是游览和研究佛教文化艺术的重要场所。,全年 周一 全天不开放 ;全年 09:30-19:00;全年 10:00-18:00,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1563217309481100l16000000zfbmtB734_D_640_10000.jpg_480x360x95_2b27688c.jpg,4.4,建议游览时间：3天,,具体收费情况以现场公示为主,,1
温宿古城古墓群,http://travel.qunar.com/p-oi705232-wensuguchenggumuqun,,,,,,,,,,1
