名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
古格王国遗址Ruins of the Kingdom of Guge,http://travel.qunar.com/p-oi717645-gugewangguoyizhi,"

地址:
西藏自治区阿里地区札达县古格王国遗址


电话:
0897-2622822

",古格王国遗址位于札达县扎布让村2公里外的一座约300米高的黄土坡上，房屋建筑、佛塔和洞窟密布全山，形成一座庞大的古建筑群。遗址分上、中、下三层，依次为王宫、寺庙和民居。古格王国于公元10世纪前半期开始建立，先后世袭了16个国王，其王宫城堡也是从10世纪开始不断扩建，并达到全盛，于17世纪吐蕃王朝瓦解后结束。遗址的外围建有城墙，四角设有碉楼，到处都是和泥土颜色一样的建筑群和洞窟，规模宏大，布局严谨，气势雄伟。从山脚的入口沿着小径上山，半山腰有几座保存较好的寺庙建筑，分别是红殿、白殿和度母殿。殿内四壁都画满精美的壁画，画风粗犷，颜色厚重，虽经历多年色彩依旧亮丽。这些记录古格王统世系、反映古格地区政治、经济活动以及文化风情的壁画在国内十分罕见，颇具观赏和考古价值。不过这几个大殿的门平时都是锁着的，需要讲解员来开门。寺庙的周围，有十多个洞窑，其中还藏着诸如盾牌、盔甲和大刀长剑之类的古代武器。山腰有暗道连接，沿着暗道可以直接抵达山顶的王宫。王宫有一座保存相对完好的建筑，据说是当年古格王朝的议事厅。厅内壁画主体部分大多为密宗男女双修佛，画风泼辣，用彩强烈。壁画下方淋漓尽致地展现了地狱之苦，各式刑法惨不忍睹。边饰则是一长排数十位裸空行母，妩媚优雅，仪态万方，无一雷同。走出遗址大门，南行约几百米，沿着悬崖边的小路绕过去，有一个离地约2米高的洞口，这就是古格遗址中神秘的藏尸洞。洞中有洞，分三个洞厅，洞内布满腐烂掉的尸骨，据说是被当年拉达克屠杀掉的古格士兵和僧侣。奇怪的是洞中尸骨都是无头的，原因为何，至今仍是个谜。洞口有几块木条拼接的木梯，可以登上去一窥洞内风光。不过由于气候干燥，尸体没有完全腐败，散发着一种混合着酥油的怪味，无抵抗力者慎重。游玩古格遗址约2小时，之后可乘车返回札达县城食宿。如果想要拍摄夕阳下的古格遗址，则可住在距离古格遗址约2公里的札布让村，村里目前有家庭旅馆可以提供食宿，不过旺季时要提前约好。,全年 8:00-20:30,https://img1.qunarzz.com/travel/poi/201211/15/bab1556b94285c99ddb12cfb.jpg_480x360x95_9dc8f14c.jpg,4.7,建议游览时间：2小时 - 3小时,每年5月到9月,"{'阿里转山转水+冈仁波齐+玛旁雍错+珠峰8日游/商务越野团可选\n\n': ['¥1650起'], '【藏西达人阿里小北线9日纯玩】含住宿赠市区接+10升钢罐氧气车！真正玩转阿里北线精华！可选商务或越野\n\n': ['¥3600起']}",,1
冈仁波齐Kangrinpoche,http://travel.qunar.com/p-oi708248-gangrenboqi,"

地址:
阿里地区普兰县


电话:
13228198268

","冈仁波齐是冈底斯山的主峰，位于阿里地区普兰县北部八嘎乡境内，海拔约6656米，是世界公认的神山，同时被许多佛教认定为是世界的中心。相传围绕神山转山圈可洗脱一生的罪孽，所以每年来这里转山朝圣的信徒络绎不绝。
冈仁波齐绵延于中、印、尼三国边境，素有“阿里之巅”的盛誉。神山四壁分布鲜明对称，形似圆冠金字塔（藏民称像“石磨的把手〞），由南面望去可见到它有名的标志：由峰顶垂直而下的巨大冰槽与一横向岩层构成的佛教万字格（佛教中精神力量的标志，意为佛法永存，代表着吉祥与护佑）。神山周边孕育了250多条冰川，带来了大量水源，是恒河、印度河和雅鲁藏布江等大河的发源地，深得信徒们的崇拜。
冈仁波齐神山，除了它壮丽的外观可供人膜拜，转山则是主要目的。每年来转山朝圣的信徒和旅行者，一般先在神山脚下的塔钦住宿，这里是转山的起点和终点。转山分内转和外转：外转是以风仁波齐为核心的大环山线路，距离约56公里，徒步的话2天比较适宜，可住宿海拔约5100米的止热普寺附近,推荐冈仁波齐朝圣客栈;内转是以冈仁波齐南侧的因揭陀山为核心的小环山线路。转山人一般都是在转足13圈外转之后再内转。因传说神山属马，在马年转山，一圈相当于平时的13圈，故每逢藏历马年，转山的朝圣者数不胜数。
一般体力好的转山者和当地藏民一天即可外转山完毕，普通体力的旅行者会用两天。，转山第一天沿着河谷路况比较平缓,需要注意防止高原反应的发生;第二天开始的转山路，以止热普寺到卓玛拉山口的路段较为艰险。这段路全程约5公里，以乱石路为主，坡度接近60度，且海拔陡升500多米，需要注意调整节奏。途中会经过一个古老的天葬台，天葬台周围布满各色经幡和藏民的随身物品。
 远远望见一片布满经幡的山坡，这就预示着已经来到海拔5630米的卓玛拉山口。从山顶俯瞰下去，是碧绿如玉的托吉错，意为慈悲湖。传说在此湖中沐浴，能洗净身上的污垢和孽障。不过一般旅行者估计没这个勇气，湖中是冰雪融水，寒冷刺骨，不建议贸然尝试。下卓玛拉山口的路是一段几近垂直的下坡，长且陡，下山需要注意安全。之后需要穿过一片杂草丛生的沼泽地，然后是无尽的陡坡，当眼前出现那木那尼峰壮丽的身影的时候，转山之路就基本结束了。慢慢的走回到塔钦，吃一顿好的犒劳自己吧。",01/01-12/31 08:30-22:00,https://img1.qunarzz.com/travel/d5/1611/a1/44eb51becec961b5.jpg_480x360x95_3ddc1fd9.jpg,4.7,建议游览时间：3天 - 6天,每年5月到9月,200元,,1
玛旁雍措Lake Manasarovar,http://travel.qunar.com/p-oi713125-mapangyongcuo,"

地址:
阿里地区普兰县


电话:
0894-5833361

","玛旁雍措，藏语意为“战无不胜的碧玉湖”，位于阿里地区冈仁波齐神山东南30公里处，海拔4588米，是世界上海拔较高的淡水湖之一，也是有名的三大圣湖之一。这里传说是神山冈仁波齐的妻子，并称“神山圣湖”。
玛旁雍措是中国目前实测透明度较大的湖，透明度可达14米，清澈通透。清澈的湖水与蓝天相映，博大而坦荡。湖畔有纳木那尼雪山族拥，山光水色，出神入化。信徒们认为，玛旁雍措是佛主赐给人们的甘露，它能清除人们肌肤上的污秽，能洗净人心灵上的五毒，更能延年益寿。高僧玄奘在《大唐西域记》中称为“西天瑶池’的地方，既是玛旁雍措。佛教经典中更是尊此湖为“世界江河之母”，历来的朝圣者都以到此湖转经、沐浴净身为人生幸事
围绕玛旁雍措有8个寺庙，正好分布在湖的四面八方,观景各不相同,以寺庙作为拍照的点,可俯瞰整个圣湖,产生角度各不一样的玛旁雍措大片,是转湖亮点之一。
湖西侧有鬼湖，藏语称“拉昂措”，相传是玛旁雍措的姊妹湖，两湖有地下水道相通。有趣的是，玛旁雍措的水是淡水，而拉昂错的湖水则咸涩无比，以致湖畔寸草不生，被称为有毒的黑湖。
   转湖是虔诚的信徒们诚心的表现，环湖步行一圈约需7-10天，需要较强的体力。除了环湖，你也可以搬个椅子在湖畔坐坐，晒晒太阳或者看着远处的纳木那尼峰发发呆，都是不错的选择。不过晒太阳前记得涂抹好足够指数的防晒霜，毕竟高原的阳光很容易就会在你的肌肤上留下深刻的印象。",01/01-12/31 08:30-22:00,https://img1.qunarzz.com/travel/d8/1703/6c/9f8e08ca62d32fb5.jpg_480x360x95_93c54bfc.jpg,4.6,建议游览时间：2小时 - 3小时,每年5月到9月,景区正常营业，详情请以景区公示为准,,1
札达土林Zhada Tulin,http://travel.qunar.com/p-oi706713-zhadatulin,"

地址:
阿里地区札达县境内

",札达土林是受造山运动影响，湖底沉积的地层长期受流水切割，并逐渐风化剥蚀，形成的特殊地质地貌。土林里的“树木”高低错落达数十米，千姿百态，汽车行进其间，就像绕着众多巨人的脚掌打圈。 札达土林作为一种特殊的地貌组合、其形态丰富多姿，在宏观上沿象泉河两岸展布着波状起伏、层林叠现、陡缓相间、气势浩大的土林群，是世界上罕见的“土林地貌”奇观。这些奇特的“土质山林”地貌为远古时期该地区所处的湖盆沉积层在喜玛拉雅造山运动影响下，随着水位下降、湖盆抬高，并在气候及河水侵蚀切割之下形成的。陡峭险峻的山岩看上去似巍峨挺拔的城堡、碉楼、佛塔等，是阿里地区有名的自然景观。然而，在距今约1100年前，同样的余晖中，伫立着的却是强盛一时的古格王国的宫殿和寺院。从现存的残颓遗址可以想象得到当时场面的巨大，远非眼前这般光景可比。观赏点：在县城以南几百米的象泉河谷台地是观赏土林的好地方。拍摄点：在托林寺附近的广场上，广场边几十米深处，便是宽阔平坦的象泉河网状水系了，河谷的两岸土林纵横，似城堡、似佛塔、似菩萨、似宫殿，延绵数十公里。,全年 8:00-17:00,https://img1.qunarzz.com/travel/d7/1611/88/dad6cff2c64ec6b5.jpg_480x360x95_a35cdf2c.jpg,4.7,建议游览时间：1小时 - 2小时,每年5月到9月,"{'阿里转山转水+冈仁波齐+玛旁雍错+珠峰8日游/商务越野团可选\n\n': ['¥1650起'], '【藏西达人阿里小北线9日纯玩】含住宿赠市区接+10升钢罐氧气车！真正玩转阿里北线精华！可选商务或越野\n\n': ['¥3600起'], '【阿里南线/北线】代办边防证丨可选越野车/商务小团，自由行\n\n': ['¥1660起']}",,1
拉昂错La'nga Co,http://travel.qunar.com/p-oi716005-laangcuo,"

地址:
阿里地区普兰县玛旁雍错东北角

",拉昂错与玛旁雍错东西并列，被称为“鬼湖”。但它的名气却不能与“圣湖”玛旁雍错相提并论。拉昂错的面积小，略低于玛旁雍错。1906年瑞典地理学家在测量完玛旁雍错的水深后，曾试图测量拉昂错的深度，但仅测量了湖体北端便无果而终，它的深度至今仍是一个谜。由于多年以来的气候变迁，拉昂措湖水已不能外流，并封闭成内陆湖。近百年来，通过安迦水道来自玛旁雍错的补给水量时断时续，加以自身积水面积远少于玛旁雍措，拉昂错正在经历湖体消缩、湖面水位下降、湖水矿化度升高的过程，但它仍不失为一座景观壮美的大湖。鬼湖与圣湖中间至今仍有一条河相通。鬼湖中有一个小岛，据说岛上有一小寺，每年冬天，湖面封冻结冰，寺中的喇嘛才与外界有所联系。鬼湖与圣湖一样，都是鸟类的天堂。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/75a6763061ca90e6ddb12cfb.jpg_480x360x95_7f9200f9.jpg,4.7,建议游览时间：0.5小时 - 1小时,每年5月到9月,"{'阿里转山转水+冈仁波齐+玛旁雍错+珠峰8日游/商务越野团可选\n\n': ['¥1650起'], '【阿里南线/北线】代办边防证丨可选越野车/商务小团，自由行\n\n': ['¥1660起'], '【藏西达人阿里小北线9日纯玩】含住宿赠市区接+10升钢罐氧气车！真正玩转阿里北线精华！可选商务或越野\n\n': ['¥3600起']}",,1
班公错Pangong Tso,http://travel.qunar.com/p-oi715072-bangongcuo,"

地址:
阿里地区日土县多玛乡219国道附近


电话:
0897-2642105

",班公错也叫班公湖，藏语称“错木昂拉仁波”，意为明媚而狭长的湖泊，位于阿里地区日土县北部约12公里处，是中国日土县与印控克什米尔交界的“国际湖泊”。班公措湖面狭长，呈东西走向，长约155公里，湖水东淡西咸，日土县境内为淡水，西部与克什米尔交界处为咸水。班公湖周边景色秀美，四周群山环绕，远处雪山点点。湖水清澈，能见度为3至5米，由于光照、深浅、亮度等因素，呈现出墨绿、淡绿和深蓝等不同的颜色，非常漂亮。到了夜里，星空点点，宽阔的水面倒映着天空，宁静深邃，这时的夜景也别有一番韵味。湖中有十多个大小不等的岛屿，有名的当属鸟岛。岛上约有各种鸟类20多种，数量多时可达数万只，主要的鸟类有：斑头雁、棕头鸥、鱼鸥、凤头鸭、赤麻鸭等，其中属斑头雁和棕头鸥数量较多。从岸边乘船约30分钟即可抵达鸟岛，不过，出于对鸟类的保护，不允许登岛，只能环绕着鸟岛欣赏这个神奇的鸟类王国。班公措湖畔有几家餐馆，以湖中特产的裂腹鱼为主要噱头，不过出于对环境及物种的保护，不建议食用。如果不想在湖畔用餐，乘车约半小时即可返回日土县城用餐。,全年 8:00-16:00,https://img1.qunarzz.com/travel/poi/201211/15/3b0d6b73624c5152ddb12cfb.jpg_480x360x95_26a9c2bc.jpg,4.7,建议游览时间：2小时 - 3小时,每年5月到9月,具体收费情况以现场公示为主,,1
托林寺Tholing Monastery,http://travel.qunar.com/p-oi711668-tuolinsi,"

地址:
西藏自治区札达县象泉河畔


电话:
0897-2902244

",    托林寺是公元996年由古格王益西沃创建，是古格高僧、藏传佛教后弘期著名译师仁钦桑布译经授徒的场所。1036年古格益西沃及其兄弟强曲沃迎请阿底峡尊者进藏，驻锡托林寺讲经著书，宏传佛法，使该寺更加著名。    托林意为飞翔空中，永不坠落。古格开国之时，已确定尊崇佛教。当时的藏地佛教虽开始复兴但却仍然混乱。第二代古格王意希沃拨乱反正，兴建托林寺，其规模和形制都仿照前藏的桑耶寺所建。其后请来的印度高僧阿底峡弘法，以此寺为驻锡地。    阿底峡带动了西藏佛教的复兴，托林寺也因而逐渐成为当时的藏传佛教中心。据说，周围的废墟里，至今还有许多遗物。宗喀巴的弟子古格·昂旺扎巴对该寺进行过大规模的重建。西藏佛教后弘期的许多高僧都曾在此留下足迹。    托林寺塔林位于象泉河边。有二百多座大大小小的佛塔，南北两边各有一排整齐的塔墙，每面墙由108座小佛塔组成，据说每座塔里都有仁青桑布的一颗念珠。夕阳照在这一片土黄色的塔林上，场面之壮观难以言表，不禁让人遥想，盛时的托林寺该有何等的灿烂辉煌。,全年 08:00-19:00,https://img1.qunarzz.com/travel/poi/201211/15/be5063f70fe64b47ddb12cfb.jpg_480x360x95_c7bd1b17.jpg,4.5,建议游览时间：1小时,每年5月到9月,"{'托林寺迦萨殿驴迹电子导览（不含门票）票成人票\n\n': ['¥6起'], '阿里转山转水+冈仁波齐+玛旁雍错+珠峰8日游/商务越野团可选\n\n': ['¥1650起']}",,1
纳木那尼峰Namu Na'ni Peak,http://travel.qunar.com/p-oi713366-namuneinifeng,"

地址:
喜马拉雅山西段纳木那尼峰

",纳木那尼峰海拔7728米，被称为“神女峰”，东面的山脊被侵蚀为刃脊，形成了高差近2000米的峭壁，西面的坡度则较为和缓。纳木那尼峰拥有大型冰川群，围绕峰区的冰川由3条晶莹透明的冰塔林组成，就像一座座童话里的宫殿。,全天,https://img1.qunarzz.com/travel/poi/201211/15/b4bc9ddf78c50eacddb12cfb.jpg_480x360x95_24700c76.jpg,4.6,建议游览时间：1小时,每年5月到9月,具体收费情况以现场公示为主,,1
科加寺Kejia Temple,http://travel.qunar.com/p-oi710126-kejiasi,"

地址:
普兰镇科加村


电话:
+977 980-1004277

",科迦在藏语中是“定居”之意。科迦寺兴建年份已难以考据，其来历据说是源于噶尔一带擅长铸造佛像的居民，他们将一座观音像以马车送运，走到孔雀河边。马车突然被石头卡住，不论怎么办也无法继续前行，于是人们就在车停之处建一座庙，取名科迦寺。科迦寺规模很小，殿堂内的壁画和布置，由于年久失修，难免有点斑驳。但是从另一角度看，这儿却散发着一种原始、古朴的味道。科迦寺门口有一片河滩以及美丽的红色芦苇丛。附近的科迦村是个具有田园风味的小村庄，颇有点世外桃源的感觉。此外，在这里还可以观赏到高山雪景。科迦寺是从尼泊尔进入普兰的必经之路，经常有许多衣着怪异的异域游客光着脚、提着小铁筒从这里经过。这些人多是来参拜神山圣湖的外国修行者。如果天气炎热，他们常常会在科迦寺前的河水里沐浴；如果给他们拍照，他们会很友好很乐意地摆出姿势来，然后向你索要少量的金钱或食品。,9:00-16:00，部分殿宇不开放。,https://img1.qunarzz.com/piao/fusion/1805/50/62ee0a4ff8f54a02.jpg_480x360x95_53561ed5.jpg,4.4,建议游览时间：1小时 - 2小时,"每年的7月初,是进入阿里的最佳季节。 阿里的年平均气温19℃,地区海拔多在5000米以上,昼夜温差很大,夏季白天气温为17摄氏度以上,到夜间则降至摄氏零度以下,在这里旅行一定要带好足够御寒的每年6月到9月",2019年10月15日至2020年3月15日“冬游西藏”期间内景区免费游览。,冒险固然刺激，然而安全更加重要。,1
扎日南木错Zhari Namco,http://travel.qunar.com/p-oi7526971-zharinanmucuo,"

地址:
阿里地区措勤县东边磁石乡木雄

",扎日南木错，位于西藏自治区阿里地区措勤县东北部，距离措勤县城12公里。距离阿里地区行署所在地狮泉河镇500公里左右。在冈底斯山群峰之间，分布着阿里地区和位居西藏第三的咸水湖扎日南木错。它的面积有1023平方公里，湖面海拔4613米，是一个东西长近54公里，南北宽约20公里的大湖。扎日南木错湖体宽阔，暖季风和日丽，远山如黛，湖周岸边芳草凄凄，是良好的牧场，盛产珍贵的紫绒山羊。沿湖有三五成群的藏羚羊、野驴等野生动物出没，奔驰在湖滨原野上。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1411/90/909eb49bb3c594de213a9cdb.jpg_480x360x95_5c2a541f.jpg,4.3,建议游览时间：1小时,每年5月到9月,{'【藏西达人阿里小北线9日纯玩】含住宿赠市区接+10升钢罐氧气车！真正玩转阿里北线精华！可选商务或越野\n\n': ['¥3600起']},,1
