名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
万象洞风景名胜区Wanxiang Cave Scenic Area,http://travel.qunar.com/p-oi709999-wanxiangdongfengjingming,"

地址:
陇南市武都区汉王镇杨庞村


电话:
0939-8526288,0939-8529286


官网:
http://www.517wanxiangdong.com/

",万象洞位于甘肃省陇南市的东南侧，距离市区车程约20公里左右，是陇南市知名的溶洞旅游区，洞内石花造型各异，又有灯光辅助，景色奇幻迷人。在洞里还有小溪潺潺，是当地人放松游玩的好去处。万象洞恒温14度，四季游玩皆宜。洞内现在开发了日宫、月宫和天宫三个区域，开放区域的长度约有4公里。洞内宽广处高几十米，窄处仅能通过1人爬行而过，石笋、石柱、石花形态各异，景色奇幻壮观。,8:30-17:30,https://img1.qunarzz.com/travel/d8/1508/93/4c33e60cdef3f.jpg_480x360x95_5e2a98b1.jpg,4.2,建议游览时间：2小时,,"{'万象洞风景名胜区门票+往返区间车票成人票\n\n': ['¥60起'], '万象洞风景名胜区门票+往返区间车票优待票\n\n': ['¥60起'], '万象洞电子导览服务大小同价\n\n': ['¥6起']}",,1
阳坝自然风景区Yangba Natural Scenic District,http://travel.qunar.com/p-oi10016701-yangbaziranfengjingqu,"

地址:
陇南市康县阳坝镇


电话:
0939-5122398

",康县阳坝生态旅游风景区位于陇南市康县东南部，是一处山清水秀的自然风景区。这里气候湿润，风光旖旎，是一处名副其实的“陇上江南”，也是兰州及陇南当地居民观赏山水、消夏游玩的好去处。游客游玩阳坝景区大多是从兰州、陇南等地前来，景区内多个景点，需要乘坐区间车游览，大约需要大半天时间。一般游客都会在阳坝景区所在的阳坝镇上住宿一晚。景区内的主要游玩区域大致有河边的木制栈道、天鹅湖、茶园等地。木制栈道位于峡谷底的河边，这里山势清秀，水流也非常清澈，游客可以下到河边赤脚戏水，在炎热的夏季感觉非常惬意。天鹅湖则是一处碧绿优美的湖泊，这里可以乘坐游船游玩，也可以观景漫步，周围青山绿水景色非常漂亮。茶园则是阳坝的亮点之一，这里曾在下乡知青的影响下开始种茶，结果种出的茶叶品质非常好，于是建立的茶叶基地，来此可以观看茶园风光，优美的景色让人仿佛置身于江南一带，在茶园旁有几家农家乐可以吃饭，不过价格也稍贵，建于游玩前自备一些干粮和饮用水。,全年 8:00-17:00,https://img1.qunarzz.com/piao/fusion/1808/c7/23e1acb9b4d45002.jpg_480x360x95_8f854b4d.jpg,4.1,建议游览时间：4小时 - 6小时,,{'阳坝自然风景区驴迹电子导览（不含门票）体验大小同价\n\n': ['¥6起']},,1
陇南西狭颂摩崖Longnan Xixiasong Cliff,http://travel.qunar.com/p-oi715684-longnanxixiasongmoya,"

地址:
甘肃省成县西部

",位于成县西10公里处鱼窍峡中天井山下，俗称黄龙碑。刻于东汉建宁四年（171年），是汉代书法三颂之一。“惠安西表”篆额，全是汉隶真迹，记载武都太守李翕率众开天井道政迹。是古代摩崖石刻碑之珍品，字体清晰，笔触遒劲，结构美观，刀法有力，为书法之瑰宝，在国内外书法界和史学界享有盛誉。碑下有一潭，水呈黄色，相传有黄龙自潭底飞出，因名黄龙潭。这里青山对峙，一泓中流，群潭如珠，短瀑相接，悬崖绝壁上，古栈道足迹犹存。沿途还有耿勋碑、桃花碑等摩崖石刻二十多处。沟口存有李可染《西峡颂》碑题。 《西峡颂》摩崖碑高220厘米，宽340厘米，碑额为“惠安西表”四个篆刻字，正文阴刻12行，385字。主要记述了李翕生平及屡任地方行政长官之卓越政绩，以及其率民修通西狭古道，为民造福之德政。碑刻字为汉隶，每字9至10厘米见方，结构方正，笔划舒展平稳，笔峰遒劲有力，独具风格。碑文和书法均有很高的考古研究和临摹鉴赏价值。,8：00-18：00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/67399f207a563f4fb575992f68d631ca.jpg_480x360x95_14f75275.jpg,4.4,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
官鹅沟Guan'e Valley,http://travel.qunar.com/p-oi709454-guanegou,"

地址:
陇南市宕昌县城郊


电话:
0939-6229138,0939-6115188

",官鹅沟位于甘肃陇南宕昌县，是一条长约三十多公里的峡谷。峡谷里有二十多个颜色深浅不一的碧绿湖泊，湖水清澈，还有老树等盘桓水中，是摄影家眼中的“小九寨”。峡谷两侧山势陡峭，山崖上有很多瀑布飞流直下，景观众多。游览官鹅沟的好季节是夏天，峡谷里气候凉爽，所以景区也是甘肃知名的避暑胜地。春秋前来也可以，春天有杜鹃花可以看，秋天则有山间的红叶。每到冬天景区内大部分封冻，不太适合前来游玩。官鹅沟靠近宕昌县城，景区大门（售票处）距离县城4公里，经过售票处即进入景区，景区大致分为外景区、主景区和内部森林共三个区域。外景区从售票处进入起，一直到通天门服务中心（也叫通天门停车场），这一段有12公里的路程，首先会看到这里的古城堡遗址和由奇特山势构成的官鹅卧佛，这一段步行的路边分布着阴平湖、公主湖、珍珠湖等十几个湖泊，每个都碧绿清澈，路边还有一个藏族聚居的鹿仁村，可以参观藏式民居的村落。另外还有鹿仁廊桥、通天峡、通天栈道等景点可以参观。但若要参观这些景点则需步行这12公里，大约需要3个小时到达通天门处，体力消耗很大。很多游客会舍弃这一部分景点，直接坐车从公路来到通天门景区去游览主景区。主景区从通天门服务中心开始到官鹅天瀑景点处，也是大多数游客主要游玩的地带，主景区长度大约两三公里，只能步行，单程约需1小时左右，这一段以瀑布和峡谷风光为主，有五谷峡、五瀑峡、地书峡等众多形态各异的峡谷奇观，还有龙涎瀑、九叠瀑、虎口瀑等大小长短不一的瀑布点缀其间，其中官鹅天瀑又叫官鹅飞天大瀑布，瀑布高几十米，水量很大，非常壮观。大部分游客走到瀑布处即为游玩结束，再原路步行返回通天门离开景区，但想要深度游玩或喜爱徒步的游客会选择继续深入进入内侧原始森林景区，这一段路程较长，且要爬升较高，只适合体力较好的游客或徒步爱好者前往，内有原始森林、高山草甸等景观，风景优美。,7:30-18:00，16:30停止入场。,https://img1.qunarzz.com/travel/d8/1709/a5/214fa09a651258b5.jpg_480x360x95_5d4e72a3.jpg,4.2,建议游览时间：3天,,"{'官鹅沟国家森林公园门票成人票\n\n': ['¥130起'], '官鹅沟国家森林公园门票学生票\n\n': ['¥90起'], '官鹅沟国家森林公园门票老人票\n\n': ['¥90起']}",,1
嘉陵江,http://travel.qunar.com/p-oi712257-jialingjiang,"

地址:
甘肃-陇南　

",,全天,https://img1.qunarzz.com/travel/d7/1610/84/86860e8d2a1e7cb5.jpg_480x360x95_85fa7fcb.jpg,4.3,建议游览时间：2小时 - 3小时,春夏两季,20元,,1
千坝草原,http://travel.qunar.com/p-oi715804-qianbacaoyuan,,千坝草原位于武都东南部，距离城30公里，海拔在2100-3090米之间，总面积10.075万亩；东至分水岭滴水崖，西至北沙柳梁，南至千沟坝，北至前梁的边梁，地形为东西狭长22公里，南北距离17公里。境内以八坝、八坑、三坪、六洞、二池而负盛名。境内共有泉水28处，四季长流，池水24处，年保蓄量1400多立方米，分布均匀，尤其是香水坪水源更为充足，流量0.12m3/秒。水质清澈透明，素以状若清露，冰沁心脾而著称。,,https://img1.qunarzz.com/piao/fusion/1507/de/569d292bb85bee.jpg_480x360x95_7d9a533a.jpg,3.8,,,,,1
哈达铺镇,http://travel.qunar.com/p-oi704453-hadapuzhen,,哈达铺镇被誉为中国工农红军长征途中的“加油站”，被列为我省红色旅游景点及爱国主义教育基地。1978年，哈达铺红军长征纪念馆建成，之后分别被命名为全国重点文物保护单位和全国爱国主义教育示范基地，也是全国30条红色旅游精品线路和全国100个红色旅游经典景区之一。哈达铺镇位于甘肃南部的宕昌县，地处国道212线的交通要道上，南距县城35公里，北距岷县县城35公里。 中国工农红军一、二、四方面军长征都曾经过这里。1935年9月20日，党中央在这里召开重要会议，作出了去陕北建立革...哈达铺镇被誉为中国工农红军长征途中的“加油站”，被列为我省红色旅游景点及爱国主义教育基地。1978年，哈达铺红军长征纪念馆建成，之后分别被命名为全国重点文物保护单位和全国爱国主义教育示范基地，也是全国30条红色旅游精品线路和全国100个红色旅游经典景区之一。哈达铺镇位于甘肃南部的宕昌县，地处国道212线的交通要道上，南距县城35公里，北距岷县县城35公里。 中国工农红军一、二、四方面军长征都曾经过这里。1935年9月20日，党中央在这里召开重要会议，作出了去陕北建立革命根据地的战略方针。在国务院公布全国重点文物保护单位时称“哈达铺是决定中国工农红军长征命运的重要决策地”。哈达铺是红军在甘肃省长征途中革命文物陈列最多，原貌保存最完整的一处故址。现馆内存有文物52件，其中国家一级文物1件、国家二级文物8件、国家三级文物14件。,,https://img1.qunarzz.com/piao/fusion/2006/4b/e00d19103fc82702.jpg_480x360x95_a61f8d9f.jpg,--,,,,,1
天池,http://travel.qunar.com/p-oi709864-tianchi,,在文县境内，距县城北部约100公里，海拔2400米，面积约20平方公里，水深480米。山光水色，浑然一体，如诗似画，潆红漾绿，烟波茫茫，水天一色。如乘坐木筏，溯湖而上，擦着伸入湖中的象嘴石，濒临饮马池，绕到捉鱼沟时，只见两侧悬崖壁立，遮天蔽日，一声号子，山鸣谷应，满谷震荡，使人有置身仙境之感，妙趣横生，心旷神怡。天池周围山峦峻秀，松柏争荣，滴绿溢翠，琵琶花、杜鹃花、丁香花遍布山野，千姿百态，峰峦奇形怪状，有的如雄狮昂首，有的似骏马腾空，有的象仙女下凡，怪石嶙...在文县境内，距县城北部约100公里，海拔2400米，面积约20平方公里，水深480米。山光水色，浑然一体，如诗似画，潆红漾绿，烟波茫茫，水天一色。如乘坐木筏，溯湖而上，擦着伸入湖中的象嘴石，濒临饮马池，绕到捉鱼沟时，只见两侧悬崖壁立，遮天蔽日，一声号子，山鸣谷应，满谷震荡，使人有置身仙境之感，妙趣横生，心旷神怡。天池周围山峦峻秀，松柏争荣，滴绿溢翠，琵琶花、杜鹃花、丁香花遍布山野，千姿百态，峰峦奇形怪状，有的如雄狮昂首，有的似骏马腾空，有的象仙女下凡，怪石嶙峋，奇景入目，美不胜收。,,https://img1.qunarzz.com/travel/d1/1808/2f/5c993a4ee44e93b5.jpg_480x360x95_86bcc427.jpg,5.0,,,,,1
杜甫草堂Du Fu Thatched Cottage,http://travel.qunar.com/p-oi710048-dufucaotang,,"杜甫草堂，又称杜公祠，坐落于陇南市成县县城东南3.5公里处的飞龙峡口。是一组纪念唐代伟大诗人杜甫流寓同谷的祠堂式建筑，也是国内现存37处""草堂""中历史较为久远的一处。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/228d7503ab178d8aa4a37d0826e91d32.jpg_480x360x95_a1a01a51.jpg,4.9,建议游览时间：1小时 - 2小时,,5元,,1
三滩,http://travel.qunar.com/p-oi711360-santan,,徽县三滩风光是徽县近年开辟的天然森林风景区，位于陕甘川交界的秦巴山地，是嘉陵江上游千山万壑中蕴藏的一块宝地。距县城50公里，总面积200平方公里，属北亚热带向暖温带过渡地带，80%的地域被原始森林覆盖，茫茫林海，碧草连天，雨润雾泽，纤尘不染，妩媚多姿，古老神奇。因有三个森林草旬相连，故名“三滩”。境内有羚羊400余只，其他珍禽异兽数十种，是探险旅游的天然乐园。目前正在招商引资，期待共同开发。,,https://img1.qunarzz.com/travel/d8/1509/b7/72f7927f2e53e4.jpg_480x360x95_640714e5.jpg,4.7,,,,,1
