名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
分界洲岛Boundary Island,http://travel.qunar.com/p-oi703586-fenjiezhoudao,"

地址:
海南省陵水黎族自治县海南环岛东线高速牛岭出口处


电话:
0898-31817733,0898-31817777,0898-83347555,0898-83349222


官网:
http://www.hnfjz.com/

",分界洲岛位于海南省陵水县与万宁市分界处，是个非常美丽的小岛，这里海水清澈干净，沙滩松软细白，自然环境保护得非常好，比起三亚市的几个海滩、海岛，这里拥有更为完整而美丽的海底风光。分界洲岛门票包含往返船票，码头都是用原木搭建起来的，非常有热带风情。船型为快艇，10分钟左右便可到达小岛。下船就是分界洲岛的游客中心。分界洲岛不仅为游客提供潜水、海钓、摩托艇等海洋旅游项目，而且还提供与海豚、海狮、海龟等海洋动物亲密接触的互动项目。另外，还有一艘全潜式海底观光潜水艇，活体珊瑚与珊瑚标本共存的珊瑚区，展示南海海捞瓷文化的海捞瓷区等等众多海洋景观，都可以让游客感受到不同凡响的海洋乐趣。分界洲岛的潜水条件得天独厚，这里的海底除了大量保育良好的活体珊瑚礁群外，还有神秘的古代沉船、七福神像、海底村庄、老旧战斗机和其它多彩的海洋生物等，被国际专业潜水组织认为是“海南最适宜潜水的海岛”之一。国家海岛型5A级旅游景区——分界洲岛，欢迎您的光临！,全年 08:30-22:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/b7e7b94b3376382abde82669987308a5.jpg_480x360x95_fd698d74.jpg,4.6,建议游览时间：3小时 - 6小时,,"{'分界洲岛旅游区门票+往返船票成人票\n\n': ['¥121.9起'], '分界洲岛旅游区门票+往返船票儿童票\n\n': ['¥66起'], '分界洲岛旅游区门票+往返船票老人票\n\n': ['¥66起']}",,1
清水湾旅游区Qingshui (“Clear Water”) Bay,http://travel.qunar.com/p-oi5808875-qingshuiwanlu:youqu,"

地址:
陵水黎族自治县英州镇清水湾大道雅居乐售楼部沿海50m


电话:
0898-31813158

",清水湾旅游区位于陵水县东部沿海，是一个由雅居乐集团管理的休闲胜地。在这里可将清水、白沙、奇岭、怪石等景色一览无余，奇妙的是，其弧形海岸一半是礁岩，一半是沙滩，同时拥有海南东西两地海岸风光。清水湾旅游区跨越英州、新村两个乡镇，滩涂狭长，海岸线长约12公里，景区东邻南湾猴岛，西有椰田古寨，周边旅游资源也较为丰富。从这里乘坐专线车辆还可方便地前往三亚市区游玩。,全天开放,https://img1.qunarzz.com/travel/d7/1512/18/9b7fae5afba20af7.jpg_480x360x95_0f33ddcb.jpg,4.7,建议游览时间：12小时 - 3天,,入园免费，项目收费,,1
呆呆岛Daidai Island,http://travel.qunar.com/p-oi22945198-daidaidao,"

地址:
海南省陵水县新村镇望海大道1号南湾猴岛售票处


电话:
0898-83360902,0898-83362992

",呆呆岛位于海南省陵水县南约14公里的南湾半岛西南部滨海区域，西与清水湾度假区相邻，南与蜈支洲岛隔海相望。岛上沙滩海岸线全长约5.9公里，是海南岛东海岸线较长、保护较好的沙滩，也是海南十大浪漫景区之一。行走在呆呆岛干净细软的沙滩上，随处可见椰林秋千、泡泡屋、白色小教堂、粉色的小车、沙滩凉亭、废弃的渔船等设施。在这个天蓝水净的地方，伴随翻涌的白色浪花，随便一拍就是自带滤镜的照片，唯美而浪漫，堪称拍照圣地。,全年 08:00-17:20,https://img1.qunarzz.com/piao/fusion/2111/f4/58dee06c2233cc02.jpg_480x360x95_2d437d4f.jpg,4.5,建议游览时间：12小时 - 3天,,"{'呆呆岛+往返轮渡+往返观光车票成人票\n\n': ['¥94起'], '呆呆岛门票(含往返轮渡+往返观光车)票儿童票\n\n': ['¥48起'], '呆呆岛门票(含往返轮渡+往返观光车)票优待票\n\n': ['¥78起']}",,1
椰子岛Coconut Island,http://travel.qunar.com/p-oi712696-yezidao,"

地址:
陵水县椰乡排溪村

",椰子岛位于陵水县城的东部约5公里处，地处陵水河的出口处，是一座面积仅有1平方公里的小岛。椰子岛被碧水环抱，岛上椰林密布，景色自然脱俗，目前为止仍是一处没有开发的原生态岛屿。椰子岛上除了高大的椰子树外，其它植物群落不多，而这里的椰子树几乎棵棵神姿仙态，在岛上很难找到几棵形态相似的椰树。椰子岛虽然很小，但随意在小岛上走走，听听海风掠过树叶的摩挲声，去小沙滩上踏踏海浪，仿佛置身于世外桃源。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1806/f5/b870e345971ae337.jpg_480x360x95_19616ead.jpg,4.2,建议游览时间：1小时 - 2小时,,{'三亚自游者桨板俱乐部【椰子洲岛浆板探秘】\n\n': ['¥438起']},,1
猴岛公园Nanwan Monkey Island,http://travel.qunar.com/p-oi705361-houdaogongyuan,"

地址:
陵水黎族自治县陵水新村镇望海大道1号


电话:
0898-83360902,0898-83362714


官网:
http://www.monkeyisland.com.cn/

",猴岛公园位于海南省陵水县南湾半岛上，三面环海，是我国也是世界上仅有的岛屿型猕猴自然保护区。现居住着千余只猕猴，因此人们称之为“猴岛”。由于景区在半岛上，如果要进入猴岛，可以选择乘观光索道直接抵达景区，或者选择坐船抵达半岛的码头，然后乘坐景区的观光车前往猴岛公园。进入大门，首先看到的将会是猴岛雕塑广场。看到是一只猴子正坐在达尔文的《物种起源》捧着人的头盖骨在思考。这个雕塑可是美国知名的红色资本家哈默博士送给前苏联领导人列宁的礼品雕塑的复制品。观赏完雕塑，来到花果山猕猴游览区。看到由猴队长的带领下高举旗帜可爱猕猴的迎宾仪仗队，还可以看到猕猴的水上乐园——“浴圣池”，游泳池的猴子们或潜水、或游泳、或高楼跳水。在猕猴杂技表演区可以看到充满“人性”的猕猴。在驯化师的带领下，表演各种高难度的杂技。继续前行，有一间猕猴王国拘留所，那是“关押”那些抢劫或者抓伤人后的猕猴，按照规定在这里关押一定的时间。在猕猴演艺场可以观赏一场经典的情景喜剧。,全年 08:00-16:50,https://img1.qunarzz.com/travel/d6/1409/22/f7bc153c5b5300ddffffffffc8d65eac.jpg_480x360x95_e85830ff.jpg,4.3,建议游览时间：3小时 - 5小时,,"{'南湾猴岛门票+往返缆车/轮渡(可选人群)票成人票\n\n': ['¥153.5起'], '南湾猴岛门票+往返缆车/轮渡(可选人群)票儿童票\n\n': ['¥70起'], '猴岛公园门票(含往返缆车/轮渡)+水上运动中心赶海体验1小时成人票\n\n': ['¥190起']}",岛上有天朗度假村，餐饮、住宿、娱乐设施齐全。,1
椰田古寨Yetian Ancient Village,http://travel.qunar.com/p-oi7469335-yetianguzhai,"

地址:
陵水县英州镇英州村椰田古寨景区


电话:
0898-83470995


官网:
http://www.yetianguzhai.com/

",椰田古寨是一个黎族和苗族混合居住的寨子，也是感受黎苗族传统文化的好地方。景区内的建筑既有黎族的金字屋、船形屋和寮房，又有苗族的吊脚楼。而这里的居民更是身体力行地展现着黎苗族的文化习俗。凉棚内有阿婆在织黎锦、粮仓边有阿公在编竹篓。在这里也可以近距离地感受苗蛊文化，尝一尝风味独特的黎苗族美食。这里也有不少展示着手工银饰的阿婆阿妹，银器大多精美，价格则略为昂贵，购买时还需理智选择。黎苗族人能歌善舞，若是三月三来到椰田古寨，这里更会多添一份歌舞洋溢的热情。,7:30-17:30,https://img1.qunarzz.com/travel/d4/1702/ea/e55642fba9cb1ab5.jpg_480x360x95_c022a9bf.jpg,4.1,建议游览时间：2小时 - 4小时,,25元,,1
苏维埃政府旧址,http://travel.qunar.com/p-oi709182-suweiaizhengfujiuzhi,,,,,,,,,,1
香水湾Xiangshui (Perfume) Bay,http://travel.qunar.com/p-oi5940943-xiangshuiwan,"

地址:
陵水黎族自治县光坡镇香水湾高速出口(近港坡村)


电话:
0898-83345160

",香水湾位于海南岛南北气候分界岭——牛岭脚下，陵水县东部。这里因香水岭流来的泉水注入海湾而得名，与万宁市的石梅湾相接，与分界洲岛遥遥相望。如今这里依然保持着原生态的海滨风光，踏入香水湾，首先映入眼帘的是青翠的椰林，再就是漫无尽头的银色沙滩，低处若毯，高处成丘。香水湾较为僻静，沿着海岸线走着，浪花声声声入耳。,全天开放,https://img1.qunarzz.com/travel/d3/1706/7f/62f0cc824716c8b5.jpg_480x360x95_38341de9.jpg,4.5,建议游览时间：2小时,夏季最佳，适合沙滩晒太阳和玩水上项目。,"{'红角岭国际滑翔伞飞行营地滑翔伞单人带飞票成人票\n\n': ['¥870起'], '沙卡冲浪俱乐部（富力湾店）零基础冲浪体验课1v3成人票\n\n': ['¥368起'], '沙卡冲浪俱乐部（富力湾店）一星私教零基础冲浪私教课1v1大小同价\n\n': ['¥868起']}",,1
吊罗山国家森林公园Diaoluo Mountain National Forest Park,http://travel.qunar.com/p-oi711733-diaoluoshanguojiasenlin,"

地址:
海南省陵水黎族自治县(距高速公路陵水开口处21公里)


电话:
0898-83381388

",吊罗山森林公园是海南四大原始森林公园之一，总面积379平方千米，年平均气温约为20℃，是避暑的好去处。这里拥有众多自然景观，巨树古木、湖光山色，还有瀑布百余个。其中较闻名的当属枫果树瀑布群，落差达350米，很是壮观。景区内还有小妹湖、苗王墓、大里瀑布等景点。游玩吊罗山国家森林公园一般当天去当天回，若是时间来不及，也可在山上的度假村入住一晚。因为风光原始，而且山林之中蚊虫较多，游玩时建议请景区内工作人员陪同，或者与有较多户外经验的驴友一起前往。后山有一条800米的雨林栈道，沿途原始风光无限，走到终点便可看到一棵“神树”，这也是景区内的一个有名景点，据说已有3000年历史。吊罗山较好的游览季节是旱季的11月至次年的3月，这里鲜花竞相盛开，彩蝶飞舞，十分美丽迷人；每年5月底至10月底是雨季，四月是旱季和雨季的相交时段，偶有小雨，山高路滑，不太利于户外运动。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1409/11/7e29fa123d61de32ffffffffc8d65eac.jpg_480x360x95_dac466c1.jpg,4.2,建议游览时间：12小时 - 3天,,35元,,1
海陵珍珠养殖场Hailing Pearl Cultivation Farm,http://travel.qunar.com/p-oi715376-hailingzhenzhuyangzhi,"

地址:
新村镇

",位于陵水县南部新村港，与南湾猴岛隔水相望，是我国有名的珍珠养殖场。该珍珠场以养殖马氏珍珠贝和白蝶珍珠贝，每年都生产出数量可观的名贵珍珠，还曾培养出国内较大的一粒人工养殖珍珠。珍珠场有一座楼房，通过一条长长的石堤伸到海中，远望像一座海上平台。提醒：在珍珠养殖场观光之后能在珍珠商店购到货真价实的海水珍珠首饰。,全天,https://img1.qunarzz.com/travel/poi/1409/11/f07f0bec12515a09ffffffffc8d65eac.jpg_480x360x95_8494cb05.jpg,3.0,建议游览时间：3小时,全年皆宜。海南长夏无冬，终年湿润，无明显季节之分。,具体收费情况以现场公示为主,,1
