名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
大洪山风景名胜区Dahong Mountain Scenic Spot,http://travel.qunar.com/p-oi703782-dahongshanfengjingming,"

地址:
随州市随县长灵路西侧


电话:
0722 483 2353


官网:
http://www.szdhs.cn/

",大洪山风景名胜区横卧江汉，气势磅礴，风光秀丽，拥有丰富的自然景观和人文景观。大洪山是一座天然的动植物宝库，森林覆盖率90%以上，拥有大片的原始森林群落；已知的动物品种中现有兽类11科17种，鸟类20科38种。这些动植物构建了天然的公园，被人们称之为“武汉后花园”。有“不倒翁”之称的千年古银杏，历经苍桑，是大洪山镇山之宝，是“华中第一树”。绿林山风景区：是大洪杉风景名胜区的核心景区，绿林山风景区由五大区域、十大景点、几百个景观构成，独特神秘，奇妙无比。包括以千年古兵寨为主要代表的绿林寨景区，以西线原始森林为代表的古朴神秘原始生态丛林和“亲情”游景区，以众多的瀑布群为代表的水石文化交织的“美人谷景区”，以天然石编钟为神奇特色的空山洞景区，以鄂中久享盛名、柔情蜿蜒6.7公里的鸳鸯溪漂流景区等。黄仙洞：是大洪山风景区的核心景点，有“不到黄仙洞，就没去大洪山”之说。位于钟祥市境内，全长2000米，洞口高100米，宽70米。洞内景点有“洞口避风”、“济公仰天”、“屈子行吟”、“仙鹤顶月”、“大鹏展翅”等数十处。洪山寺：分上下两院，上院位于宝珠峰顶，下院位于山麓南面，上下两院统称洪山禅寺。上院奇峰寺始建于唐朝宝历二年（公元826年），下院万寿禅院始建于北宋绍圣年间（公元1094年—1097年）。洪山寺是禅宗南宗曹洞宗发祥地之一，在佛教界享有盛誉。千年古银杏：在洪山禅寺下院前，传说是建寺院时和尚栽种的。树高近30米，树杆粗围8.2米，直径2.61米，冠幅荫笼半亩余，五人环抱树腰还需多加一手。,全年 08:30-16:30;全年 08:00-17:30,https://img1.qunarzz.com/piao/fusion/2005/72/aaf764d8d6ab6702.jpg_480x360x95_c810693e.jpg,4.4,建议游览时间：12小时 - 3天,,"{'大洪山风景名胜区门票成人票\n\n': ['¥70起'], '大洪山风景名胜区门票老人票\n\n': ['¥35起'], '大洪山风景名胜区门票+景交车票成人票\n\n': ['¥110起']}",,1
渡蚁桥,http://travel.qunar.com/p-oi709500-duyiqiao,,在广水市西原应山县城南郊。为纪念北来宋庠、宋祁以竹渡蚁而建，故名。宋库（996一1066）与其弟宋祁（998-1061），安陆（今属湖北）人，后迁开封雍丘（今河南杞县）。皆北宋大臣，有文名，时称“二宋”。天圣二年（1024年）二宋同举进士，库名列第一。《应山县志》载：二宋少年时随父颐寓应山法兴寺读书，见蚁为雨所溺，即以竹代桥渡之。绍圣间（1094一1098），太常少张来于此立桥以表其事。乡人相继建乡圣祠、联芳坊、双壁坊、状元坊等以资纪念。因岁久倾记，仅存残碑三通。现桥为石...在广水市西原应山县城南郊。为纪念北来宋庠、宋祁以竹渡蚁而建，故名。宋库（996一1066）与其弟宋祁（998-1061），安陆（今属湖北）人，后迁开封雍丘（今河南杞县）。皆北宋大臣，有文名，时称“二宋”。天圣二年（1024年）二宋同举进士，库名列第一。《应山县志》载：二宋少年时随父颐寓应山法兴寺读书，见蚁为雨所溺，即以竹代桥渡之。绍圣间（1094一1098），太常少张来于此立桥以表其事。乡人相继建乡圣祠、联芳坊、双壁坊、状元坊等以资纪念。因岁久倾记，仅存残碑三通。现桥为石砌，长12米，宽4米，高2.3米，桥孔跨度4米，仍甚坚固，唯石栏已毁。,,,--,,,,,1
曾侯乙墓,http://travel.qunar.com/p-oi704803-cenghouyimu,"

地址:
湖北-随州

",战国早期曾国君主乙的墓葬。位于湖北省随州市西郊擂鼓墩。 1978 年发掘。为岩坑竖穴木椁墓，平面呈多边形，无墓道，南北向，墓坑长 21 米，宽 16.5 米，深 13 米。木椁周围填充木炭，顶上敷 10 ～ 30 厘米的青膏泥。椁内分四室，墓主居最大的东室，漆棺，尸体由多层丝织物包裹。殉人共21 个，各配木棺，均为 13 ～ 25 岁的女性。出土随葬品达 1万余件，有青铜礼器、乐器、车马器、兵器和金器、玉器、木器、漆器、竹简等。单乐器即有钟、磬、鼓、瑟、琴、笙、排箫、篪 8 种。曾侯乙成套...战国早期曾国君主乙的墓葬。位于湖北省随州市西郊擂鼓墩。 1978 年发掘。为岩坑竖穴木椁墓，平面呈多边形，无墓道，南北向，墓坑长 21 米，宽 16.5 米，深 13 米。木椁周围填充木炭，顶上敷 10 ～ 30 厘米的青膏泥。椁内分四室，墓主居最大的东室，漆棺，尸体由多层丝织物包裹。殉人共21 个，各配木棺，均为 13 ～ 25 岁的女性。出土随葬品达 1万余件，有青铜礼器、乐器、车马器、兵器和金器、玉器、木器、漆器、竹简等。单乐器即有钟、磬、鼓、瑟、琴、笙、排箫、篪 8 种。曾侯乙成套编钟多达 65 件，并有 2800 多个铭文，是震惊中外的巨大发现，为先秦音乐史研究提供了珍贵的实物和文字资料。其他如多达6600 字的 240 多支竹简及一件自铭“？鳌钡南涓牵？保存写有 28 宿名称的天文图等都具有重要价值。由青铜器上多次出现“曾侯乙乍（作） （持）”之类铭文，可确认此墓的墓主。又据？D钟铭文推知，曾侯乙下葬的年代当为公元前 433 年或稍晚。,8：00-17：00,https://img1.qunarzz.com/travel/d6/1609/ac/96fd137ac600adb5.jpg_480x360x95_710f68e9.jpg,4.3,,,25元,,1
擂鼓墩古墓群,http://travel.qunar.com/p-oi707994-leigudungumuqun,,在随州市城关西北2.5公里的擂鼓墩。擂鼓墩古为随国领地，北望桐柏，南面涡山（即大洪山），东临极水，山岭绵亘，古冢森森。曾侯乙系战国早期曾国君主，其墓营建于红砂岩坡之上，凿石为穴，墓扩面积220平方米，深近20米，停分四室，均以巨木镶隔。主棺分内外两层，全为彩绘，外棺长3.2米，高2.19米，殉葬棺21具，除一格只髹红漆外，皆施彩绘，殉葬人多系13-25岁之青少年女性。随葬物品有礼乐器、兵器、车马器、金玉器、漆木竹器及竹简等达1.5万余件。以九鼎、八簋为中心的铜礼器，品类...在随州市城关西北2.5公里的擂鼓墩。擂鼓墩古为随国领地，北望桐柏，南面涡山（即大洪山），东临极水，山岭绵亘，古冢森森。曾侯乙系战国早期曾国君主，其墓营建于红砂岩坡之上，凿石为穴，墓扩面积220平方米，深近20米，停分四室，均以巨木镶隔。主棺分内外两层，全为彩绘，外棺长3.2米，高2.19米，殉葬棺21具，除一格只髹红漆外，皆施彩绘，殉葬人多系13-25岁之青少年女性。随葬物品有礼乐器、兵器、车马器、金玉器、漆木竹器及竹简等达1.5万余件。以九鼎、八簋为中心的铜礼器，品类齐全，造型奇妙，浮雕、透雕、细镂，错金嵌玉，巧夺天工。金杯、金盏，光灿夺目。壁、环、璜、佩等玉器玲珑璀璨，刻技精湛。漆器造型新颖，图案繁缛，蟠龙、卧鹿，栩栩如生。钟、磐、鼓、瑟、琴、竺、萧、笛等乐器，种类繁多，排列有序，宛如一间古代乐厅。尤其是其中一套拥有64件的编钟，设计精巧，铸造瑰丽，出土时，尚完整地悬挂在钟架之上。音域宽广，音色优美，古今乐曲均能演奏，令人惊叹叫绝。这批反映我国古代科学艺术成就的文化瑰宝，现藏在湖北省博物馆；并在原地加盖厅庑，保存墓坑、椁室及大部分棺木，并陈列着相应的文物及其复制品等。,,,5.0,,,,,1
炎帝神农烈山,http://travel.qunar.com/p-oi710490-yandishennonglieshan,"

地址:
湖北-随州

",华夏始祖炎帝神农的诞生地--烈山，座落在湖北省随州市曾都区厉山镇九龙山南麓。古神农洞位于九农山腰。史书记载“神农母安登，感农而生炎帝”于此。在炎帝神农烈山名胜区内，建有炎帝神农洞、炎帝神农碑、炎帝神农纪念广场、炎帝神农纪念馆、炎帝神农牌坊等纪念性建筑物。炎帝神农烈山名胜区规划建设，以“建筑返古、环境还野”为特色，规划建成“世界烈山宗亲会馆”、“祭祀朝圣”、“圣遗迹游览”、“大同街市”、“炎帝故里经济技术开发”、“服务接待管理”六个区，兴建修复炎帝神...华夏始祖炎帝神农的诞生地--烈山，座落在湖北省随州市曾都区厉山镇九龙山南麓。古神农洞位于九农山腰。史书记载“神农母安登，感农而生炎帝”于此。在炎帝神农烈山名胜区内，建有炎帝神农洞、炎帝神农碑、炎帝神农纪念广场、炎帝神农纪念馆、炎帝神农牌坊等纪念性建筑物。炎帝神农烈山名胜区规划建设，以“建筑返古、环境还野”为特色，规划建成“世界烈山宗亲会馆”、“祭祀朝圣”、“圣遗迹游览”、“大同街市”、“炎帝故里经济技术开发”、“服务接待管理”六个区，兴建修复炎帝神农殿、烈山大宗祠、圣贤殿、功德殿、神农庙、安登泉、百草园、观天坛、神农九井等景点。景观有姜河新潮、九岭晴岚、烟寺晚钟、山村夕照、古洞青雪、断岩缩雾、龙凤旗杆等，因材借景，秀丽非凡。几千年来，每逢炎帝生辰祭日，世界各地数以万计的群众前来烈山敬奉炎帝神农，缅怀华夏始祖，烈山已成为海内外炎黄子孙寻根问祖的圣地。,7:30至17:00,,3.7,,,成人票：20元 儿童票：10元,,1
高挂三潭,http://travel.qunar.com/p-oi710498-gaoguasantan,,又称圣水井。在广水市城北20余公里的高桂山峡谷中。两侧悬崖峭壁，犹如刀削斧劈，高处达百余米，青苔满布，金钗间级，时而云雾缭统，时而彩霞横抹，由底仰望长天，几如一线，幽险而奇丽。三座天然石潭，顺峡底自西而东，依次排列，间隔10一20米，皆呈不规则圆形。上潭深广各约10米余，上有瀑布下注；中潭深广各约15米，底有泉水上涌；下潭深约8米，广20米，溢水由此外泻。三潭喷雪腾雾，趵浪团展，碧波潋滟，各具景趣。尤其日当正午，晴空万里时，常有阵雨突降，击潭水面，而止后即有...又称圣水井。在广水市城北20余公里的高桂山峡谷中。两侧悬崖峭壁，犹如刀削斧劈，高处达百余米，青苔满布，金钗间级，时而云雾缭统，时而彩霞横抹，由底仰望长天，几如一线，幽险而奇丽。三座天然石潭，顺峡底自西而东，依次排列，间隔10一20米，皆呈不规则圆形。上潭深广各约10米余，上有瀑布下注；中潭深广各约15米，底有泉水上涌；下潭深约8米，广20米，溢水由此外泻。三潭喷雪腾雾，趵浪团展，碧波潋滟，各具景趣。尤其日当正午，晴空万里时，常有阵雨突降，击潭水面，而止后即有彩虹飞架崖壁，蔚为奇观。《新唐书》作者宋祁曾有“虬洞耸云峰，缘虚一线通，岭望天斜碧，崖倾日倒虹”写其景色。更耐人寻味者，每当清晨，潭面忽起一股白烟，上升为蘑菇云，经久不散，前人谓之“白龙现”，数天内必有风雨。讹传当年有一孽龙在此作恶，吕洞宾知而擒之，并斩其八子，唯其九子尾部受伤潜入圣井中得免，后行善事，人称“桩尾巴龙”，天旱即兴云布雨，滋润五谷。,,https://img1.qunarzz.com/travel/d7/1506/dd/97a1479bf64cc6.jpg_480x360x95_5680e243.jpg,5.0,,,,,1
徐家河,http://travel.qunar.com/p-oi711071-xujiahe,,位于广水市西南部，水域面积7万余亩，属大型水库，平均水深15米。曲水环山、回峰抱水，烟波浩淼，气候宜人，是镶嵌在中原腹地的一颗旅游明珠。景区水质清澈，四季碧波荡漾，堤柳吐翠，山林绵延，渔船游戈，鹤鸟飞鸣。库区100多个半岛、群岛点缀其中。 景区交通便利，316国道、汉丹铁路穿境而过。南距武汉150公里，北距随州擂墩编钟出土地36公里。,,,4.3,,,,,1
高贵三潭,http://travel.qunar.com/p-oi712169-gaoguisantan,,"高贵三潭风景区位于广水市北部，这里有清奇幽深的三叠瀑布""一线天""；闻名遐迩的雄关古道平靖关；碧波万顷的许家冲水库；峻险的鄂北第一峰大贵寺金顶，海拔908米；还有千姿百态、惟妙惟肖的""双狮夺珠""石，碧玉湖，天池，龙眼圣水井，罗汉池。这里林海茫茫、漫山遍野、四季飞花。",,https://img1.qunarzz.com/piao/fusion/1508/34/f45ce777837120.jpg_480x360x95_9cf25721.jpg,--,,,,,1
平靖关,http://travel.qunar.com/p-oi712700-pingjingguan,,在广水市区北30公里的桐柏山脉与大别山脉交会处。雄关险隘，群峰列峙，系著名的“义阳三关”中的西关（中关武阳，即今广水北武胜关；东关黄崛，即今大悟县九里关），扼鄂豫两省襟喉，为古今中原要道，乃兵家用武之地。历史悠久，胜迹远闻。古名“冥轭”。相传春秋时，吴国借兵伐楚，三军经此，马不能前，遂改名“拦马墙”；三国时蜀将关羽镇守荆州，陈兵于此，恨不能过关直取中原，故更名“恨这关”。北魏拓跋氏在关南设平靖郡，即易名“平靖关”；明清之际，因百年老古遍布山洞与驿路...在广水市区北30公里的桐柏山脉与大别山脉交会处。雄关险隘，群峰列峙，系著名的“义阳三关”中的西关（中关武阳，即今广水北武胜关；东关黄崛，即今大悟县九里关），扼鄂豫两省襟喉，为古今中原要道，乃兵家用武之地。历史悠久，胜迹远闻。古名“冥轭”。相传春秋时，吴国借兵伐楚，三军经此，马不能前，遂改名“拦马墙”；三国时蜀将关羽镇守荆州，陈兵于此，恨不能过关直取中原，故更名“恨这关”。北魏拓跋氏在关南设平靖郡，即易名“平靖关”；明清之际，因百年老古遍布山洞与驿路两侧，又改名“杏遮关”；旋因来往行人成群结队，络绎不绝，又叫“行者关”等。南宋岳飞、李庭芝亦曾驻兵于此。不仅有巍峨的城垣，宏丽的庙宇，并有不少建筑，后毁于白朗讨袁之役。但当年土筑关城绵亘山脊，仍依稀可辨。此地风景奇丽，和“高桂三潭”相互辉映，因而吸引游人。将军寨在广水市东35公里孝子店北山上。县志载：北宋名将狄青南征，曾在此屯兵扎寨所建，故名。为邑中保存较好的古寨之一。全以大片石构筑，长约700米，高4米，厚3.6米，上端每隔4米凿一插旗圆孔，四面各一高出寨墙之券顶砦门。结构坚固，气势威武，俨若巨大盘龙。周围除东一径可盘旋攀登外，余皆悬崖峭壁，尤东西崖下各有一河，婉蜒汇于山寨南麓，益显地势险要．寨内迄今尚存井、塘、窖穴、蹬道等设施。寨北控武胜关，东望九里关，南邻烽火台等，素有南北咽喉之称，历为军家争夺要塞。,,,--,,,,,1
封江生态旅游区,http://travel.qunar.com/p-oi715508-fengjiangshengtailu:you,,封江水库两岸山峦连绵起伏，库汊水岛犬牙交错，形成了封江独具特色的库区风光。27公里长的水域犹如一幅画廊，14万亩山场四季如画：春季山花烂漫，映山红满山遍野；夏日绿树成荫，满目青翠；秋天叶红果熟，四处飘香；冬时雪压青松，银装素裹。库区上游的狮子口更是怪石林立，奇峰耸天，野趣甚浓。由于水库调节而形成的独特小区域气候，使这里冬暧夏凉，气候宜人。万余亩水面碧波荡漾，水美鱼 肥，是一处可供疗养的理想场所。兴建的打靶场、遛马场、游泳场、游乐场、垂钓场将给游人提...封江水库两岸山峦连绵起伏，库汊水岛犬牙交错，形成了封江独具特色的库区风光。27公里长的水域犹如一幅画廊，14万亩山场四季如画：春季山花烂漫，映山红满山遍野；夏日绿树成荫，满目青翠；秋天叶红果熟，四处飘香；冬时雪压青松，银装素裹。库区上游的狮子口更是怪石林立，奇峰耸天，野趣甚浓。由于水库调节而形成的独特小区域气候，使这里冬暧夏凉，气候宜人。万余亩水面碧波荡漾，水美鱼 肥，是一处可供疗养的理想场所。兴建的打靶场、遛马场、游泳场、游乐场、垂钓场将给游人提供丰富多彩的文化生活。这里的人文景观也比较丰富。封江历史悠久，1960年以前，这里是厉山（东风）公社江河管理区，境内原有江家河、刘家河两大古老的集镇，是方圆百里的主要货物集散地，也是随州通往河南的古道。丰水季 节，商船可顺水直达随州、武汉。因此这里商贾云集，经济繁荣。僧人们曾在此建有东安寺、红安寺，香客络绎不绝。历史上这里曾发生过多次战斗。如今狮子口古寨墙仍连绵几公里，完全用青石垒成，高大坚固，气势宏伟，四方寨门保存完好。民间相传薛刚反唐曾屯兵于此。这里盛产香菇、茶叶、蚕茧、木耳、水产品、畜产品。历史上柞蚕享有盛名，年产茧达25万公斤。该库属富库，年可产成鱼25万公斤。封江生态旅游区目前正在加紧建设，以新的面貌迎接四方客人。,,,--,,,,,1
