名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
湿地公园,http://travel.qunar.com/p-oi37190461-shidigongyuan,,,,,--,,,,,1
香荷园水生植物种植基地,http://travel.qunar.com/p-oi26958977-xiangheyuanshuishengzhi,,,,,--,,,,,1
行宫钓鱼台,http://travel.qunar.com/p-oi26646492-xinggongdiaoyutai,,,,,--,,,,,1
白洋淀文化苑,http://travel.qunar.com/p-oi9787618-baiyangdianwenhuayuan,"

地址:
保定市安新县白洋淀景区内


电话:
0312-5116352

",白洋淀文化苑是白洋淀的王牌景点之一，有八大景观：白洋淀雁翎队纪念馆、康熙水围行宫、沛恩寺、钱屏、东堤烟柳、西淀风荷、白洋淀水生植物园、嘎子村。它涵盖了革命传统文化、悠久历史文化、优美生态文化、淳朴民俗文化，是集爱国主义教育、观赏自然美景、体验水乡风情、度假休闲游览、娱乐餐饮等多功能为一体的大型综合旅游景区。,景区仅在约每年4-11月开放，期间售票处及各景点售票、活动运营时间为8:30-17:30。,https://img1.qunarzz.com/travel/poi/1708/a3/b2f8d4e507f0b337.jpg_480x360x95_c593d998.jpg,--,建议游览时间：1小时 - 2小时,夏季和秋季。每年7月23日至9月23日，是所有种类荷花开得最旺的时候，这也是白洋淀旅游最佳时间。,票价门票：白洋淀景区门票：50元/人（必购）；景点票：内部景点单独收费：荷花大观园50元，白洋淀文化苑50元，异国风情园40元，鸳鸯岛、水上游乐园40元，荷花淀休闲岛40元，《嘎子印象》观赏园40元，王家寨水乡民俗观赏园15元；船票预定：租船及部分娱乐项目体验需单独付费。具体船票可参考官网：http://121.18.36.106:8080/Index.aspx优惠政策1、身高1.2~1.4米儿童或18周岁以下未成年人，门票半价优惠；2、60~70周岁老年人凭有效证件，门票半价优惠；3、全日制大学本科及以下学历在校学生凭学生证，门票半价优惠；4、现役军人凭有效证件，门票半价优惠。免票政策1、身高1.2米以下儿童免票；2、记者、残疾军人凭有效证件免票；3、70周岁以上老年人凭有效证件免票。Tips具体门票价格变化以景区公布为准。,,1
宝岛水上游乐园,http://travel.qunar.com/p-oi9787617-baodaoshuishangyouleyuan,"

地址:
保定市安新县白洋淀景区内


电话:
0312-5116352

",宝岛水上游乐园建于2008年，位于鸳鸯岛的北边，占地85800平方米。宝岛水上游乐园的主要娱乐项目包括： 白俄罗斯水上芭蕾、泰国的红艺人表演、创吉尼斯的高空飞车、技艺高超的马术、驯兽、杂技等等，岛内各项活动集娱乐观赏、竞技娱乐为一体。 ,景区仅在约每年4-11月开放，期间售票处及各景点售票、活动运营时间为8:30-17:30。,https://img1.qunarzz.com/travel/poi/1708/e5/4f25d4c01894db37.jpg_480x360x95_4d24790d.jpg,--,建议游览时间：1小时 - 2小时,夏季和秋季。每年7月23日至9月23日，是所有种类荷花开得最旺的时候，这也是白洋淀旅游最佳时间。,票价门票：白洋淀景区门票：50元/人（必购）；景点票：内部景点单独收费：荷花大观园50元，白洋淀文化苑50元，异国风情园40元，鸳鸯岛、水上游乐园40元，荷花淀休闲岛40元，《嘎子印象》观赏园40元，王家寨水乡民俗观赏园15元；船票预定：租船及部分娱乐项目体验需单独付费。具体船票可参考官网：http://121.18.36.106:8080/Index.aspx优惠政策1、身高1.2~1.4米儿童或18周岁以下未成年人，门票半价优惠；2、60~70周岁老年人凭有效证件，门票半价优惠；3、全日制大学本科及以下学历在校学生凭学生证，门票半价优惠；4、现役军人凭有效证件，门票半价优惠。免票政策1、身高1.2米以下儿童免票；2、记者、残疾军人凭有效证件免票；3、70周岁以上老年人凭有效证件免票。Tips具体门票价格变化以景区公布为准。,,1
休闲岛,http://travel.qunar.com/p-oi9787615-xiuxiandao,"

地址:
保定市安新县白洋淀景区内


电话:
0312-5116352

",休闲岛位于鸳鸯岛南侧，建于2002年5月1日，占地面积200多亩，岛内以餐饮、住宿、娱乐、民俗风情为主题。休闲岛东侧是革命历史宣传区，主要讲述的是雁翎队的建立过程，及《小兵张嘎》作品中嘎子的原形赵波同志生平的一些事迹，国家领导人接见他的一些合影照片。休闲岛也是一处美食岛，岛内建有特色休闲屋和民俗风情渔家村，还准备了游泳、划船、八卦迷宫、垂钓、群鸭争嬉、卡拉OK、鱼鹰捕鱼表演等娱乐项目。 ,景区仅在约每年4-11月开放，期间售票处及各景点售票、活动运营时间为8:30-17:30。,https://img1.qunarzz.com/travel/poi/1708/c2/531a54a98f0eed37.jpg_480x360x95_9c63d5fe.jpg,--,建议游览时间：1小时 - 2小时,夏季和秋季。每年7月23日至9月23日，是所有种类荷花开得最旺的时候，这也是白洋淀旅游最佳时间。,票价门票：白洋淀景区门票：50元/人（必购）；景点票：内部景点单独收费：荷花大观园50元，白洋淀文化苑50元，异国风情园40元，鸳鸯岛、水上游乐园40元，荷花淀休闲岛40元，《嘎子印象》观赏园40元，王家寨水乡民俗观赏园15元；船票预定：租船及部分娱乐项目体验需单独付费。具体船票可参考官网：http://121.18.36.106:8080/Index.aspx优惠政策1、身高1.2~1.4米儿童或18周岁以下未成年人，门票半价优惠；2、60~70周岁老年人凭有效证件，门票半价优惠；3、全日制大学本科及以下学历在校学生凭学生证，门票半价优惠；4、现役军人凭有效证件，门票半价优惠。免票政策1、身高1.2米以下儿童免票；2、记者、残疾军人凭有效证件免票；3、70周岁以上老年人凭有效证件免票。Tips具体门票价格变化以景区公布为准。,,1
鸳鸯岛,http://travel.qunar.com/p-oi9787614-yuanyangdao,"

地址:
保定市安新县白洋淀景区内


电话:
0312-5116352

",鸳鸯岛位于安新白洋淀景区内，占地64000平方米，可在岛内观看定时定点的鱼鹰捕鱼表演、水乡婚俗表演、白洋淀民俗表演。岛内的白洋淀之窗由原来的“水泊梁山宫”改造而成，地处鸳鸯岛南侧，面积5000平方米，包含“六厅一园”，即导厅、人文历史厅、民俗厅、自然资源厅、英雄史诗厅、辉煌业绩厅和水乡风情园。重点展示白洋淀的湿地自然文化，传统历史文化和民俗文化。自然文化突出白洋淀的形成与变迁，历史传统文化突出远近闻名的神兵雁翎队、小兵张嘎，民俗文化突出白洋淀的风土人情。,景区仅在约每年4-11月开放，期间售票处及各景点售票、活动运营时间为8:30-17:30。,https://img1.qunarzz.com/travel/poi/1708/77/d434711d6075c937.jpg_480x360x95_5773bf5e.jpg,--,建议游览时间：1小时 - 2小时,夏季和秋季。每年7月23日至9月23日，是所有种类荷花开得最旺的时候，这也是白洋淀旅游最佳时间。,票价门票：白洋淀景区门票：50元/人（必购）；景点票：内部景点单独收费：荷花大观园50元，白洋淀文化苑50元，异国风情园40元，鸳鸯岛、水上游乐园40元，荷花淀休闲岛40元，《嘎子印象》观赏园40元，王家寨水乡民俗观赏园15元；船票预定：租船及部分娱乐项目体验需单独付费。具体船票可参考官网：http://121.18.36.106:8080/Index.aspx优惠政策1、身高1.2~1.4米儿童或18周岁以下未成年人，门票半价优惠；2、60~70周岁老年人凭有效证件，门票半价优惠；3、全日制大学本科及以下学历在校学生凭学生证，门票半价优惠；4、现役军人凭有效证件，门票半价优惠。免票政策1、身高1.2米以下儿童免票；2、记者、残疾军人凭有效证件免票；3、70周岁以上老年人凭有效证件免票。Tips具体门票价格变化以景区公布为准。,,1
安新县,http://travel.qunar.com/p-oi9599483-anxinxian,,安新县是河北省保定市下辖县，位于河北省中部，县境东与雄县相连，北与容城毗邻，并与之一起成为雄安新区。安新县因受历史上冀中拗陷和黄河改道及太行山东麓永定河、滹沱河冲积扇的影响，形成特殊形貌。西南北有冲积洼地平原，东有华北平原最大的淡水湖泊—白洋淀。安新县依托悠久的历史以及美丽的白洋淀风景，拥有白洋淀景区、孙犁纪念馆、元妃荷园以及嘎子印象等众多景区。,,https://img1.qunarzz.com/travel/poi/1704/8e/37bc09e01f769f37.jpg_480x360x95_6408df13.jpg,--,,,,,1
容城县,http://travel.qunar.com/p-oi9599482-rongchengxian,,,,https://img1.qunarzz.com/travel/poi/1704/66/d3508522e0af9337.jpg_480x360x95_cde55e66.jpg,--,,,,,1
雄县,http://travel.qunar.com/p-oi9599478-xiongxian,,,,https://img1.qunarzz.com/travel/poi/1704/43/ab257eec9bdff637.jpg_480x360x95_1d9bf364.jpg,--,,,,,1
