名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
牛背山Niubei Mountain,http://travel.qunar.com/p-oi5419839-niubeishan,"

地址:
雅安市荥经县牛背山镇建政村


电话:
13388344464

",牛背山，位于四川省雅安市荥经县境三合乡瓢儿沟，因山顶一面悬崖有巨石突出酷似牛头，山脊细长貌似牛背而得名（也称“野牛山”）。这里是山路崎岖，景色秀丽，无论是徒步爱好者或是摄影发烧友，本线路都可谓是难忘的行摄之旅。游客登牛背山有2种选择：徒步前往或是坐当地越野车前往。徒步上山登顶需8小时左右，较为劳累，适合体力好的登山爱好者，而坐当地越野车只需半天。当你到达山顶后，会觉得一切的辛苦和劳累都是值得的。气势磅礴的雪山、云海、佛光一一展现在你的眼前，这般无与伦比的景色只有亲身体会才能感受到。在这拍摄风景大片再合适不过了，几乎不需要PS和滤镜，只需按下快门，一幅壮美的风景照便完成了。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1603/62/147363b58b83faf7.jpg_480x360x95_189ff1b1.jpg,4.4,建议游览时间：3天 - 6天,最佳前往时间是4-5月，处于海拔3800米的牛背山顶，在这个季节空气是非常干燥的，大雾天气相对就会少了许多。当然，这也是牛背山一年中观看壮丽云海最好的时间段。雨季时间是6-11月，由于地处气候分隔带，在这样的时间段受雨季影响也是显而易见的，多雨的季节也给通往牛背山的路增加许多危险和困难。这个时间段的牛背山相对全年来说，大雾和落雨的概率也高了许多。结冰时间是12月-3月，这个时间也并非是一塌糊涂的，反而在这个时间内去牛背山观景看到壮丽云海的几率也很高。只是由于牛背山处于海拔3800米的位置，通往牛背山的自驾线路和徒步线路都盖上了非常厚的雪，甚至很多地方已经结冰，安全无法得到有效保障，因此不做推荐。,"{'牛背山门票成人票\n\n': ['¥160起'], '牛背山门票学生票\n\n': ['¥80起'], '牛背山门票老人票\n\n': ['¥80起']}",住宿问题：由于牛背山未开发，在山顶只有当地藏民和汉民开的几家山顶客栈，条件简陋，夜晚还要用发电机发电，山顶有信号，通铺的话50元一个人，席梦思床略贵，大概100元一人。最好要提前预订。山顶的客栈老板都很热情，在去之前如果大家想知道当前天气情况，都可以打个电话问问他们，他们是一直都待在山顶，对天气情况非常了解。TIPS1、山顶的住宿是按人头而不是按床位收费的，哪怕三个人挤一张床也是一个人50元。2、山上的帐篷是通铺，一个大床上睡6-8个人，是挨在一起睡的，所以要去的朋友应该计划一下，爱干净的童鞋可以带睡袋。3、很多客栈都是山顶山下同时开的，可致电客栈咨询。上山前，请一定提前预定好山顶客栈，不然很有可能没有住宿。山顶温度比较低，建议带厚睡袋，并带上几片暖宝宝，以备不时之需。1、徒步上山，身体要略向前倾；攀登陡峭山坡应走“之”字形路线；下山时，身体应稍后仰，放松下肢肌肉，以免腰腿酸痛。2、驴友们一定不要一直追求速度，正常的徒步速度一般是每小时行进3.6公里，如果实在走不动了，不要逞强，看看路边的美丽风景。3、牛背山地处高原气候，昼夜温差较大，注意保暖。高原日照强，紫外线强。长时间徒步，请戴上太阳帽，涂抹防晒霜，戴上魔术头巾。4、牛背山的垂直度很高，基本上是沿着盘山公路，走山路差不多要12个小时，沿途地形复杂，悬崖峭壁、断崖、河床、山路难走，倘若一个人建议还是谨慎前往，女生最好是结伴。5、爬山时随身携带一根登山棒真的可以减轻你的很多负担，另外请随身带一个垃圾袋，因为随着景区驴友的增多，景区已经开始有所污染了，这已经不仅仅是为了牛背山的明天。,1
上里古镇Shangli Ancient Town,http://travel.qunar.com/p-oi707935-shangliguzhen,"

地址:
雅安市雨城区雅上路


电话:
0835-2316596

",上里古镇位于雅安市雨城区，小镇依山傍水，游客可以欣赏保留至今的许多明清风貌的吊脚楼式建筑。古镇不大，在此游玩可以放慢脚步，慢慢品味古镇的韵味。在古镇内闲逛，可以去感受一下古镇“井”字的布局（取“井中有水”防止火患之意）。古镇流水环绕，面向田野小丘，与四周古树、修竹、溪水、古桥相映成趣，宛若一幅田园山水画，在这拍照取景非常合适。上里古镇初名“罗绳”，是历史上南方丝绸之路临邛古道进入雅安的重要驿站，是唐蕃古道上的重要边茶关隘和茶马司所在地；近代又为红军长征过境之地。又因场镇内有韩、杨、陈、许、张（韩家银子—钱、杨家顶子—官、陈家谷子—田、许家女子—靓、张家锭子—斗）五大家族居住在此，故俗称“五家口”。,全年 全天开放,https://img1.qunarzz.com/travel/d9/1705/50/8243be03fe6e03b5.jpg_480x360x95_0364f2a4.jpg,4.2,建议游览时间：3小时,上里属亚热带湿润季风气候，一年365天，淫雨霏霏之日便有板有眼180天之多，年均降雨量1800毫米。春季：回暖早，雨量相对较小。春季的上里山清水秀，空气清新，景韵独特。夏季：气温较高，5月开始降水会更加集中，出行需要注意携带雨具。秋季：多绵雨，雨量较大，但气温舒适，可以看到不一样的水墨上里。冬季：无严寒，霜雪少。全区属立体性气候，年均气温14.4－17.9度，年日照1000-1200小时，无霜期280－300天，年平均降雨量达1000毫米以上，雅安、天全等市县达1700毫米以上。气候宜人，年平均气温16.2℃，冬暖夏凉，空气清新，享有“雨城”之美称。属亚热带湿润季风气候。雅安自古便有“华西雨屏”、“西蜀漏天”之称。一年365天，雅安淫雨菲菲之日便有板有眼180天之多，年均降雨量1800毫米，降水时数高达2328小时，可谓名副其实的“雨城”。   雅安旅游资源丰富多样，一年四季都可游览，需要注意的是来这里一定要准备好雨。一年均可以来到上里镇，阴雨绵绵的古镇别有一番特色。,具体收费情况以现场公示为主,1.上里古镇雨水丰富，出行应携带雨具。2.走在水边时要注意，地上的碎石小路长着青苔，以防滑倒。3.上里古镇属属山区地貌，因此，从雅安行车至古镇时，弯道多，且沿途三轮摩托较多，要控制车速。另外，古镇至白马泉有急弯，请谨慎驾驶。4.古镇多狗，这也算上里的特色之一。虽然大多数没被拴住的狗据说都不咬人，但还是令人生畏，有小孩同行时，多提请注意。5.古镇住宿单位多木质，请注意防火，尤其是抽烟的游客。,1
孟获城Menghuo Castle,http://travel.qunar.com/p-oi7644498-menghuocheng,"

地址:
雅安市石棉县栗子坪乡孟获新村


电话:
0835-8889888

",,全年 全天开放,https://img1.qunarzz.com/piao/fusion/1906/e7/e7f58ed23c6a7002.jpg_480x360x95_deb34a1d.jpg,3.9,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,1
碧峰峡Bifengxia Giant Panda Base,http://travel.qunar.com/p-oi709288-bifengxia,"

地址:
雅安市下里乡碧峰镇碧峰峡风景区


电话:
0835-2318091,0835-2318077


官网:
http://www.bifengxia.com/

",碧峰峡位于雅安市雨城区下里乡，整个峡谷走完约需4小时，乘坐景区电瓶车可直达熊猫园。漫步在园中的白熊坪、熊猫幼儿园、豹子山等区域，都能看到半放养状态的大熊猫，看着萌萌的大熊猫，心情也格外好起来了。还有野生动物园也值得一去。游玩碧峰峡，要完整游玩可能需要6小时甚至一天时间，如果想要玩得轻松一点，不妨在景区附近住宿一夜。景区大门外农家乐中心有数十家农家乐，包食宿。此外，景区内也有不少饮食摊档，玩累了可以坐下吃点喝点，受游人欢迎的是家常腊排骨，香辣可口，有兴趣可以尝尝。景区导览图,01/01-04/30 08:30-16:30;05/01-10/07 08:00-16:30;10/08-12/31 08:30-16:30,https://img1.qunarzz.com/travel/d9/1508/cc/daf0cc230340ac.jpg_480x360x95_0a0b8f37.jpg,4.4,建议游览时间：4小时 - 6小时,夏季最为适宜，实乃避暑休闲好去处。,"{'碧峰峡（含大熊猫基地门票+观光车票+电梯票）门票成人票\n\n': ['¥95起'], '碧峰峡（含动物园+猛兽区观光车+动物行为展示）票成人票\n\n': ['¥175起'], '碧峰峡野生动物世界门票(含动物园+猛兽区观光车+动物行为展示)儿童票\n\n': ['¥90起']}",,1
"二郎山喇叭河风景区Laba River Park, Erlangshan National Park",http://travel.qunar.com/p-oi716077-erlangshanlabahefengjing,"

地址:
雅安市天全县二郎山喇叭河景区


电话:
028-84165585


官网:
http://www.labahe.com/

",二郎山喇叭河风景区位于夹金山东南麓，处在绵延起伏的龙门山、邛崃山山脉的南缘，是四川盆地向川西高原过渡的高山深谷地带。整个景区旅游资源可划分为昂洲河、漩漩沟、蜂子河、大峡等八大景点。景区内生态环境良好，动植物种属丰富，珍稀保护品种众多，是国家森林公园自然保护区。保护区内已知兽类约46种、鸟类型约160种、鱼类约7种、爬行类约14种，其中有大熊猫、扭角羚、金丝猴、小熊猫、水鹿、豹、川陕哲罗鲑等重点保护野生动物。这里每年都会举行冰雪节，曾以“圣诞集市”、“冰雪灯光秀”、“浪漫暖冬季”等为主题的热门活动，深受广大游客的喜爱。深冬时节，景区内白雪皑皑，在严寒凛冬中透着生机与雪趣，放眼望去雾凇满枝、奇观秀景，如同雪国般的景色令人沉醉其中。届时，你可以在焦山索道乘坐缆车，将此美景尽收眼底。登山线路推荐一：二郎山喇叭河风景区核桃坪－双石溪－莲香坡－翡翠长廊－鹿池路程：3公里。路面：碎石路，缓缓而上，颇不太陡。特别看点：登山道沿溪而上，两岸绿树成荫、鸟语花香，河中溪水潺潺，清澈见底，可边玩边走。走累了，不愿再走回来，还可以乘坐景区的高山滑水道“漂流而下”。推荐二：五彩谷－滑雪场－箭竹林－牛井沟－原始森林路程：7-8公里。路面：3公里木栈道和4公里多山路。特别看点：原始森林木栈道登山更轻松、更凉快，海拔较高，可俯览景区，山林中经常可见野生动物。红叶观赏期：10月底－11月底（赏红叶较好的时间只不过十来日，所以建议出行前先咨询景区。另外，天气也特别重要，出行时尽量选择晴天）。,全年 08:30-17:00,https://img1.qunarzz.com/travel/d3/1701/a4/500b7d2140ab7cb5.jpg_480x360x95_4af92df5.jpg,4.3,建议游览时间：3小时 - 4小时,四季皆宜。,"{'二郎山喇叭河旅游景区门票+观光车票成人票\n\n': ['¥83起'], '二郎山喇叭河旅游景区门票+观光车票优待票\n\n': ['¥58起'], '二郎山喇叭河旅游景区门票+观光车票学生票\n\n': ['¥58起']}",,1
红石滩,http://travel.qunar.com/p-oi9644787-hongshitan,,二郎山喇叭河旅游景区红石滩于2016年中秋节当天由工作人员巡山途中无人机拍摄偶然间发现。,,https://img1.qunarzz.com/travel/d9/1709/be/defd265deb6e32b5.jpg_480x360x95_21e90469.jpg,--,,,,,1
达瓦更扎Mount Dawagengzha,http://travel.qunar.com/p-oi9533076-dawagengzha,"

地址:
四川省雅安市宝兴县硗碛藏族乡嘎日村嘎日组27号


电话:
0835-5906616

",达瓦更扎位于雅安市宝兴县硗碛藏族乡嘎日村境内，是四姑娘山的幺妹峰。这里海拔在3900米左右，在山峰上向北望，能够看到四姑娘山，南面则是帕格拉神山，西面还有贡嘎群峰。山中景色优美，能够看到森林、草原、峡谷和湖泊，幸运的话还能看到云海和日照金山的美景。,全年 8:00-17:30,https://img1.qunarzz.com/travel/d1/1704/7d/d38358a511c069b5.jpg_480x360x95_629c20ad.jpg,3.8,建议游览时间：12小时 - 3天,,"{'达瓦更扎门票+观光车票成人票\n\n': ['¥140起'], '达瓦更扎门票+观光车票学生票\n\n': ['¥110起'], '【达瓦更扎+神木垒纯玩2日游】云海/日出/星空|可选山顶露营帐篷\n\n': ['¥256起']}",山路这里的路要比牛背山的路好很多，但是还是比较险的，有些弯道坡度较大，比较急，千万要注意，最好选择有四轮驱动的车辆前往，因为一旦下雪，道路会结冰，须挂上防滑链前行，以防打滑。还有就是一切车辆最好停在砂石路面上，千万不要开进草坪里面，以防陷进去。因为我们这次就遇到过这个问题，费了很大的力气才将车推了出来。吃住由于达瓦更扎属于尚未开发的区域，所以山顶无任何住宿与食物，须游客自身携带露营和路餐。如果有需要可以在山下的神木垒景区或硗碛乡住宿。食物的话如果没有带路餐的话，建议在宝兴县采购一切需要的食材与路餐，包括水源，因为山上面没有饮用水，中午饭可以选择在宝兴县解决，吃完饭后直接上山。扎营山上的露营地大概有5处可以供大家扎营的平台，车辆也可以停放，但是由于达瓦更扎山顶的平台较小，停车的地方太窄，所以不建议大家一窝蜂涌往山顶，可以选择在离山顶不远的地方扎营，停车，例如我们扎营的营地大概距离山顶5公里，由于道路结冰，行进较慢，徒步大概2个半小时左右才能到山顶，徒步的时候注意靠山体的这边行走。,1
神木垒Shenmulei,http://travel.qunar.com/p-oi8595112-shenmulei,"

地址:
雅安市宝兴县硗碛藏族乡


电话:
0835-6868999

",神木垒在藏语里是神仙玩耍的地方，以森林、雪山、溪流、高山草甸、高山钙化流池为主体景观。景区主要包括红杉坪、根雕园、帕格拉神山仁赞喇嘛神山、五彩池、松椤园等景点，是成都周边游的好去处。神木垒既有参天古木，也有高原草甸，原始森林的风貌保存得很好。景区内还新修建了旅游山道和木桥，能让人轻松穿行在空气清新的天然氧吧。在这里能看到藏族牧民的牛羊、骡马等动物在山坡草甸惬意地啃食牧草，让人觉得仿佛到了世外桃源。,8:30-17:00，具体开放时间以景区现场公示为准。,https://img1.qunarzz.com/travel/d3/1612/cb/878d71ec2f4388b5.jpg_480x360x95_dcce68a2.jpg,4.1,建议游览时间：2小时 - 4小时,,"{'神木垒门票成人票\n\n': ['¥51起'], '神木垒门票优待票\n\n': ['¥26起'], '神木垒手机智能导游讲解服务大小同价\n\n': ['¥6起']}",,1
蒙顶山Mengding Mountain,http://travel.qunar.com/p-oi708181-mengdingshan,"

地址:
雅安市名山区蒙顶山风景名胜区


电话:
0835-3232089,0835-3232118,028-86182166

",蒙顶山因“雨雾蒙沫”而得名，古称“西蜀漏天”。自古便与青城、峨嵋并称蜀中三大名山，素有“蒙顶天下雅”之美誉。早在西汉时期，蒙顶山就已经形成了对女娲神、大禹神、茶神的信仰。2004年第八届国际茶文化研讨会通过的《蒙顶山世界茶文化宣言》宣告：蒙顶山是世界茶文明发祥地、世界茶文化发源地、世界茶文化圣山。景区面积为45平方公里，海拔1456米，景区内有距今2000多年的古银杏群、1500多年的老茶树、红豆杉以及各种珍贵鸟类27种，森林覆盖率达98%，每立方厘米空气里富含3万负氧离子。这里夏季较高气温仅25°，常年雨水充沛，四季云雾缭绕，温差适度，气候宜人，是万物生长，人类生存的理想之地。更是被古代天文学家袁天罡称之为“天道循环、水之大汇，气之大聚”的中心穴位。,全年 08:30-18:30,https://img1.qunarzz.com/travel/d0/1604/a8/8c9cecf5597f15f7.jpg_480x360x95_0dc694bf.jpg,4.9,建议游览时间：2小时 - 3小时,四季皆宜，需要注意的是来这里一定要备好雨具。,"{' 蒙顶山门票成人票\n\n': ['¥19.9起'], ' 蒙顶山门票儿童票\n\n': ['¥26起'], ' 蒙顶山门票优待票\n\n': ['¥26起']}",,1
夹金山Jiajin Mountain,http://travel.qunar.com/p-oi713504-jiajinshan,"

地址:
雅安市小金县南部


电话:
400-828-0828

",夹金山又名“甲金山”，藏语称为“甲几”，夹金为译音，意为很高很陡的意思。位于小金县东南，属邛崃山脉，横亘于小金县达维乡与雅安地区宝兴县之间，海拔4124米。夹金山还是青衣江的发源地，湍流而上，两岸悬崖陡峭，谷幽峡深，湖泊明净，瀑布飞溅，野生动植物随处可见，构成一幅使人向往的自然景观。这里也是雅安通往小金四姑娘山的必经之道。夹金山是中国工农红军长征徒步翻越的第一座大雪山。1935年6月12日下午，红一方面军一军团2师4团在团长王开湘、政委杨成武带领下，克服千难万险，终于从夹金山南麓的硗碛乡成功翻越夹金山，与正在执行任务的红二十五师七十四团的一部，在山下的达维乡的木城沟沟口地带相遇。意外的相逢，为实现中国工农红军第一、四方面军两大红军主力的胜利会师奠定了基础。,9:00-18:00,https://img1.qunarzz.com/travel/d5/201404/02/ed941babcb65ce68ddb12cfb.jpg_480x360x95_9ebcabfd.jpg,4.4,建议游览时间：2小时 - 4小时,雅安旅游资源丰富多样，一年四季都可游览，需要注意的是来这里一定要准备好雨。,"{'清源山门票成人票\n\n': ['¥58起'], '清源山门票儿童票\n\n': ['¥35起'], '清源山门票老人票\n\n': ['¥35起']}",,1
清代立交桥,http://travel.qunar.com/p-oi7475904-qingdailijiaoqiao,"

地址:
雅安市雨城区上里古镇

",高桥又称清代立交桥，桥面高起，距离水面有十多米，桥身平坦宽阔——这样的设计既保证了人流货运的畅通，也保证了丰水季节的出入安全。高桥是上里古镇过去最大的一座桥梁，也是南丝路驿道进入古镇的主要通道。值得一提的是，在这座石桥东西两端的桥身之下，还各建有一人行通道，这样桥上、桥下皆可通行，被当地人誉为清代的“立交桥”。想当年，高桥上马帮铃响，络绎不绝，桥下则人流如注，来往喧嚣。古镇的热闹，丝路的繁华，在这高桥身上可窥一斑。,全天,https://img1.qunarzz.com/travel/poi/1409/17/4811d34fc56085bffffffffc8d65eac.jpg_480x360x95_09fef857.jpg,5.0,建议游览时间：0.5小时,四季皆宜。,免费,,2
二仙桥,http://travel.qunar.com/p-oi5942820-erxianqiao,"

地址:
四川省雅安上里古镇西约200米处的陇西河

",二仙桥位于古镇西约200米处的陇西河上，属市级文物保护单位。清乾隆初第一、二次建成后均被洪水冲毁，第三次再建于清乾隆四十一年（公元1776年）建成，该桥为高卷拱单孔石桥，桥面两侧有石栏，此桥与周围山峦、河水、田野相映有江南水乡美景之感。站立于桥上物影倒影水中，充满着诗情画意，桥南田野间耸立着数十座馒头小山包，人称“十八罗汉拜观音”；桥北为天台山，如遇晴天可观尝到天台山脉由由山脊构成的巨型卧佛。,全天,https://img1.qunarzz.com/travel/poi/201406/18/3f270e34045ce848ddb12cfb.jpg_480x360x95_dad55584.jpg,4.5,建议游览时间：0.5小时,,免费,,2
雅安周公山国家森林公园Zhougong Mountain Forest Park,http://travel.qunar.com/p-oi711076-yaanzhougongshanguojia,"

地址:
四川省雅安市雨城区周公河畔


电话:
0835-2312009

",周公山古称蔡山，地处于四川省雅安市雨城区东南风景秀丽的周公河畔，距雅安市区（雨城区）仅只有1公里，诸葛武侯征讨西南蛮夷途径于此，而梦见周公，故名周公山。周公山自汉唐以来逐渐成中国历史名山，山上庙宇众多，古建筑鳞次栉比，风光秀丽。周公山已被批为森林公园，是远近闻名的旅游胜地。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201407/30/2e3797db83e6d323c8d65eac.jpg_480x360x95_f3f8e94d.jpg,4.4,,四季皆宜，注意防雨。,具体收费情况以现场公示为主,,2
东拉山大峡谷Dongla Mountain Canyon,http://travel.qunar.com/p-oi706638-donglashandaxiagu,"

地址:
雅安市宝兴县陇东镇


电话:
028-68730898

",东拉山大峡谷位于龙门山脉邛崃山脉南部的宝兴段，地处四川省雅安市宝兴县陇东镇境内，距离成都235公里，雅安市98公里，宝兴县28公里。景区包括东拉山沟、赶羊正沟、鹿井沟、桂嫱湾、猫子湾等5大景片，集典型的峡谷地貌和雪山草原等自然景观于一体，是川西峡谷地貌自然景观的代表。山中奇峰异景，溪水飞瀑，雨雾红叶，林鸟山兽，让人目不暇接。春看万紫千红，夏观草原峡谷，秋赏彩林野桂，冬望雪山冰瀑。尤其秋季来临，接连的秋雨，迎来霜降，东拉山的树叶逐渐由绿色转为红色。放眼望去，秋林尽染，红叶烂漫，在万亩野生桂花林的绿中尽情绽放。此外，东拉山大峡谷在自驾车旅游者中很有名气，是环线自驾游中比较惬意的地方之一。贴士：每年霜降前后至11月中下旬为东拉山大峡谷红叶观赏季节。红叶期按时间划分为：高海拔峡谷红叶期、彩林期、雪山红叶期。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1803/f0/9d7c622522d2037.jpg_480x360x95_069cafbe.jpg,4.2,建议游览时间：1小时,四季皆宜。,具体收费情况以现场公示为主,,2
九襄镇,http://travel.qunar.com/p-oi7527087-jiuxiangzhen,"

地址:
四川省雅安市汉源县

",九襄镇古称汉源场、汉源街，历史悠久，农商发达，为汉源县经济、文化中心，是连接雅、甘、凉三市州的民族走廊，商阜物质集散中心。相传诸葛亮翻过大相岭，遥望九襄坝子沃野平畴，大丞相由衷感叹：天下绝收，此地半收，天下大乱，此地无忧！九襄的建制历史已有1800多年，南丝路和茶马古道在此交汇，这里自古重德尚文，物产丰富，商贸繁荣。戊戌变法时，曾因九襄下辖九个乡镇，民众互助友爱，因而得名九襄。,全天,https://img1.qunarzz.com/travel/d0/1609/60/a4f48c1d986f6db5.jpg_480x360x95_07f6251e.jpg,4.7,建议游览时间：2小时 - 1天,每年5月-8月游玩最佳。古镇内鸟语花香，植被茂盛。,免费,,2
