名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
崂山Mount Lao,http://travel.qunar.com/p-oi710170-laoshan,"

地址:
青岛市崂山区崂山风景区


电话:
0532-96616


官网:
http://www.qdlaoshan.cn

",崂山位于青岛东部，东、南两面濒临黄海，有“海上名山”的美名，高峰为海拔约1100米的巨峰。崂山以其雄伟、壮观、奇特、秀丽成为了有名的道教名山，崂山的道教宫观、日出与云海，都久富盛名。崂山主要由巨峰、流清、太清、棋盘石、仰口、北九水、华楼七大风景游览区组成。游览线路共有四条，其中陆路三条（南线、东线、中线），水路一条。这些景区的风光：巨峰旭照、太清水月、海峤仙墩、华楼叠石、九水明漪等共同组成崂山十二景。华楼远离大海，不在崂山区，所以游客较少。北九水以水为美，景区内到处是溪水、泉水，风景秀美。对于一般的游客而言，真正值得游览的是巨峰和流清-仰口线路，这两条线路各玩一天就足够了。巨峰和仰口也正是崂山自然美景的所在。流清-仰口又称南线，是崂山景区较早开发的景区。它紧贴海岸线，拥有名人景点太清宫，是绝大多数人游崂山的线路。进入景区的基本线路是流清-太清宫风景区-华严寺，终点是仰口。由于这条线路的精髓在于仰口，建议游玩前面的景点可自己安排好时间。太清宫——聊斋中崂山道士的故事发生地。当年因蒲松龄来到此地，看到太清宫有感而发在此写出了《崂山道士》。游客在此可以看到蒲松龄笔下崂山道士穿墙越壁的那面墙。华严寺——崂山中现存的佛寺。由于仰口靠近黄海，在这里可以看海、吹风。当然，仰口除了美景外，就是富于挑战性的觅天洞，此洞蜿蜒、陡峭、狭窄，暗处伸手不见五指，窄处卡着身子才能勉强过，大大增加了游玩过程中的有趣性。可步行也可坐缆车前往觅天洞，登上山顶可拍照、看风景、远眺黄海。另外记住带手电筒，这样可以一览洞中美景。除了仰口，崂山的第二个美景就在巨峰风景区。巨峰是崂山主峰所在，其中的崂顶为至高点。这里主要以爬山为主，是崂山旅游较耗体力之处。巨峰乱石叠嶂，气势恢宏，晴天可看海，阴天可观云海，而在崂顶观日出，可以看到美不胜收的迷人画面。,07/01-08/31 06:00-19:00;09/01-11/30 07:00-17:30;12/01-2/28 07:30-17:00,https://img1.qunarzz.com/travel/d7/1807/25/ba6a2c7dc164d5b5.jpg_480x360x95_037fe813.jpg,4.5,建议游览时间：3天 - 6天,春夏秋三季皆可。冬季植被稀少，降水少，风景不如春夏秋天好玩。,"{'崂山南线票-太清入园（不含巨峰）+观光车票成人票\n\n': ['¥40起'], '崂山南线票-太清入园（不含巨峰）+观光车票学生票\n\n': ['¥40起'], '崂山南线票-太清入园（不含巨峰）+观光车票老人票\n\n': ['¥20起']}",1、崂山冬暖夏凉，气候温和湿润，但是在山顶的话就会比较冷，夏季爬山的时候要穿件薄外套，秋冬爬山要穿的厚实一些。2、登山时一定要注意安全，不要只看美景，要注意脚下，拍照时不要越过危险标志。3、崂山南线山脚下有一些饭店，不过一般都是接待旅游团队的，质量一般。可以找家小餐馆，点几个特色菜，吃点野菜等。,1
青岛海底世界Qingdao Underwater World,http://travel.qunar.com/p-oi702719-qingdaohaidishijie,"

地址:
青岛市市南区莱阳路2号


电话:
0532－58617777


官网:
http://www.qdhdworld.com

",海底世界坐落于第一海水浴场西侧，这里是展示海底环境和海洋生物的主题场馆。在这里，你不仅可以看到许多活体海洋动物和生物标本，还可欣赏精彩的水下表演，非常适合亲子游览。首先在梦幻水母宫中，你将看到上千只水母在灯光映射下争奇斗艳，然后可去海豹馆看看憨态可掬的海豹、海狮和企鹅，还可在国内藏品丰富的海洋标本馆中看到抹香鲸、剑鱼、海龟等各种海洋生物标本。接着，完全建于地下的“海底世界”馆会带给你全方位的海底视觉，你可以漫步在全透明的海底隧道中、感受鱼群环绕身边，或是透过圆柱形展缸看小丑鱼等热带鱼群绕着珊瑚遨游。而海洋剧场里的真人水下表演更是备受欢迎，可欣赏惊险的“人鲨共舞”、唯美梦幻的“美人鱼”表演，有时还能看到由潜水员在水下上演的幽默小品。在了解海洋生物后，最后可去淡水生物馆参观巨骨舌鱼、中华 鲟、娃娃 鱼等珍稀淡水生物，一睹这些“活化石”的风采。青岛海底世界内有多个展馆，参观路线为单向不可走回头路，从莱阳路南面的入口进入、最后从莱阳路北面出来。游览顺序依次为：梦幻水母宫-海豹馆-海洋生物标本馆-海底世界-淡水生物馆。,全年 08:30-16:30,https://img1.qunarzz.com/travel/d5/1610/f1/98f5de612bb0e5b5.jpg_480x360x95_8129da1d.jpg,4.5,建议游览时间：3小时 - 4小时,,"{'青岛海底世界门票成人票\n\n': ['¥95起'], '青岛海底世界门票老人票\n\n': ['¥39.9起'], '青岛海底世界奥帆帆文创套票大小同价\n\n': ['¥99起']}",,1
大珠山风景区Jiaonan Dazhu Mountain,http://travel.qunar.com/p-oi708259-dazhushanfengjingqu,"

地址:
青岛胶南滨海街道办事处大珠山景区


电话:
0532-85131271,0532-84123456


官网:
http://www.dazhushan.net

",大珠山风景区位于黄岛区西南部海滨，来到这里沿着登山步道而上，可以欣赏各种奇峰异石，参观石门寺、古代佛教造像石窟等古迹，走累了还能品尝甘甜的玉泉水。若是春季来此，漫山遍野的杜鹃花海一定让你大饱眼福。大珠山主峰大砦顶海拔486米，整座山不算高，爬起来也不会很累。景区主要分为石门寺和珠山秀谷两大游览区，通常的走法是从珠山秀谷这边的入口进入景区，途中观览珠山秀谷、大砦顶、朱朝洞、大珠山石窟、天然大佛、墓塔林、石门寺等景观，从石门寺入口出景区。每年春季是大珠山的旅游时节。清明前夕在山谷入口可见樱桃花、杏花、桃花相继盛开；而4月中旬至5月中旬的珠山秀谷更是万亩野生杜鹃花竞相开放，红遍山脊，登上山顶远远望去，十分壮美。不过届时专程来赏花的游客人潮汹涌，要有心理准备。大珠山上有很多奇峰异石，充满灵气。这些巨石有的形似神龟奔月，有的像仙人晒靴，甚至像活灵活现的钟馗，惟妙惟肖。山上还有不少怪石自然堆垒起来的石洞，比如朱朝洞、朝阳洞等。而登上山顶眺望远方，群峰翠色尽收眼底，天气晴朗时，可眺望到胶南城区甚至远处的海岸。石门寺游览区内古迹甚多，始建于北齐时期的石门寺是有名的礼佛名地，至今已有1500余年历史，此寺因以两块赫然而立的巨石为门而得名，如今寺内建筑古韵犹在。这里还有隋唐时期的佛教造像石窟、石门寺历代高僧的塔林等景点，还能看到端居山巅的奇峰——天然大佛，其佛相十分庄严。,01/01-10/31 周一-周五 07:30-17:00;1/1-10/31 周六-周日 07:00-18:00;11/1-12/31 06:30-17:30,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/1d29151dd5839543da70388163bd7fff.jpg_480x360x95_f1c44895.jpg,4.6,建议游览时间：3小时 - 5小时,,"{'大珠山风景区门票成人票\n\n': ['¥38起'], '大珠山风景区门票优待票\n\n': ['¥20起'], '青岛胶州湾跨海大桥+金沙滩一日游【全程0购物，纯玩100%，市内三区免费接送，青岛旅游精华一览无余】\n\n': ['¥149起']}",,1
栈桥Zhanqiao Pier,http://travel.qunar.com/p-oi702128-zhanqiao,"

地址:
青岛市太平路12号


电话:
0532-82884548

",栈桥位于青岛中心城区的南部海滨，是一条440米长的海上长廊，从陆地延伸入海中。栈桥建于清光绪年间（1892年），已有百年历史，一直以来被视为青岛的象征。栈桥尽头的回澜阁，则是青岛近代历史的见证。栈桥曾是青岛的军事专用人工码头。栈桥与小青岛隔水相望，北端与中山路商业街成一直线相连，栈桥的尽头建有三角形防波堤，而这里有一座具有民族风格的八角亭阁回澜阁。回澜阁里面有一块无字碑，这块石碑的来历至今众说纷纭。现在，阁内通过主题展陈的方式，全面展示青岛近现代历史、人文、民俗等独特城市风貌。栈桥两边有铁链护栏和莲花路灯，游人漫步于栈桥海滨，风平浪静时，可观看海鸥在此自由翱翔。走到桥的尽头还可远眺小青岛。岛上树影婆娑、绿荫成群，一座白灯塔亭亭玉立。涨潮时，惊涛拍打着防波堤，激起簇簇浪花，可驻足观看。退潮时，赭色岩礁和金色沙滩露出水面，可走下栈桥，漫步在海滩上赶海拾贝。青岛火车站就在不远处，步行至栈桥也就10分钟路程，当你下火车走出站厅便能看到伸入海中的栈桥。栈桥的北端两侧是栈桥公园。东侧红瓦绿树交相辉映，各式建筑参差错落地分布在海滨边。而栈桥的西侧，是第六海滨浴场，盛夏季节这里常常云集了很多当地游泳者。,全天开放,https://img1.qunarzz.com/travel/d9/1603/3d/bc6b0d4ac1bd73f7.jpg_480x360x95_3486f431.jpg,4.5,建议游览时间：0.5小时 - 1小时,春冬季的栈桥海风较大，游客较少，安静平和；夏秋时候最适宜下海玩耍，与海鸥嬉戏。,"{'【0购物 0自费】青岛极地海洋世界+游艇出海+金沙滩一日游\n\n': ['¥168起'], '【6人内·轻奢团】青岛崂山一日游·仰口/赶海/沙滩+青山渔村\n\n': ['¥18起'], '【某音严选·精致团】青岛老城一日游/超省力/晚出发/一价全包\n\n': ['¥178起']}",·栈桥上的游客非常多，尤其是各种节假日，行走在栈桥边需注意安全，也要保管好自己的物品。 ·回澜阁目前仅对一楼开放，一楼游客瞬时最大承载量为40人，随出随进，循环游览。游览回澜阁，可在入口处免费领取回澜阁游览卡，持卡方可进入阁内游览。,1
小麦岛公园Xiaomaidao Park,http://travel.qunar.com/p-oi27583907-xiaomaidaogongyuan,,小麦岛公园位于崂山区麦岛路西50米，小麦岛属环形岛屿，有大片平坦宽广的绿化草地，远处就是湛蓝的海水，可在这里眺望到遥远的海岸线，一派海滨美景，非常适宜拍照。,,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/567ec1d8-297b-4a8d-8745-2eba8b2896a3.jpg,4.5,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
八仙墩Qingdao Baxiandun Scenic Resort,http://travel.qunar.com/p-oi710621-baxiandun,"

地址:
青岛市崂山区风景名胜区太清游览区


电话:
0532-88899000

",八仙墩位于崂山头南，是由青、黄、绿、灰、黑、红等色砂岩组成的峭壁，其下有10余块石墩。其地风高浪急，为海天山岩奇观，在崂山十二景中名为“海桥仙墩”。,不对外开放，仅可远观。,https://img1.qunarzz.com/travel/poi/1803/b6/8fdc6bfa48518237.jpg_480x360x95_003e2795.jpg,4.0,建议游览时间：0.3小时 - 0.5小时,,不对外开放，仅可远观。,,1
第二海水浴场Second Beach,http://travel.qunar.com/p-oi702307-dierhaishuiyuchang,"

地址:
青岛市市南区山海关路6号(近花石楼)


电话:
0532-66577309

",来逛八大关，如果沿着宁武关路一直往南走，就会来到花石楼旁的第二海水浴场。浴场与八大关相互映衬，形成青岛典型的“红瓦绿树、碧海蓝天”美丽景观，因此常有新人在此拍摄婚纱照，是外景取景胜地。二浴的海滩比第一海水浴场略小，不过这里的游客更少，环境也更好。这里的海滩岸边是红褐色的岩石，峭壁如刀削般峻拔，岸上遍植黑松，环境宜人。即使来这里随意走走、晒晒太阳，也是相当惬意。而且二浴的海水比较干净，这里浪小坡缓，是夏季游泳胜地。浴场西部海滩有不少鹅卵石，常有游人前来采拾。由于这一带礁石较多，适合捡拾贝壳，甚至可看到寄居蟹、海星等生物。这里的沙滩沙质较细，因此适合在这里赤脚行走，孩子也可以玩挖沙。还有一条石头垒成的堤桥延伸到海里，可在上面走走，感受与大海更近的距离。,全年 9:00-17:00,https://img1.qunarzz.com/travel/d6/201404/20/6967491deed1f18dddb12cfb.jpg_480x360x95_42f93d12.jpg,4.3,建议游览时间：1小时 - 3小时,夏季最佳，适合日光浴。,"{'【某音严选·精致团】青岛老城一日游/超省力/晚出发/一价全包\n\n': ['¥178起'], '【环游岛城·东西海岸】经典岛城1日游/老青岛餐/空中下午茶\n\n': ['¥338起'], '青岛市内游+小麦岛网红打卡地+大学路+青啤博物馆+游艇出海\n\n': ['¥298起']}",海水开始涨潮的时候不要去堤桥上游玩，以免大浪突然打来发生危险。,1
石老人海水浴场Shilaoren Bathing Beach,http://travel.qunar.com/p-oi705440-shilaorenhaishuiyuchang,"

地址:
青岛市崂山区海口路287号


电话:
0532-88894729

",石老人海水浴场位青岛市区东部，是青岛较大的海水浴场。这里南邻海洋世界，东部可眺望到矗立于海中的巨石“石老人”，这块奇石像一位老人坐于海中，它是千百万年的风浪侵蚀和冲击形成的海蚀柱景观。石老人海水浴场滩平坡缓，很多人认为海水比市区里的几个浴场更清澈，所以不少当地居民喜爱来这里游泳。而且这里人更少，空气更为清新、沙子也更细，来这里散步、晒晒太阳，很是享受。不过夏季的时候时常会有浒苔漂浮在水面上，略会影响游泳。离浴场不远处的香港东路上还有有名的国际啤酒城，每逢夏季啤酒节来临时，这里人山人海，你也可以来这里凑个热闹，享受啤酒、烤肉和海鲜，玩一把游乐场里的过山车。,9:00-18:00，17:30停止入场。,https://img1.qunarzz.com/travel/poi/201211/15/d2af7c767a5b423bddb12cfb.jpg_480x360x95_2a4d309c.jpg,4.5,建议游览时间：1小时 - 2小时,6-9月最佳。此时的海水较温暖，砂质较软，适宜夏季的水上活动。,"{'【0购物 0自费】青岛极地海洋世界+游艇出海+金沙滩一日游\n\n': ['¥168起'], '青岛玩转滨海包车一日游【市内/崂山 景点随心配 海滨新玩法】\n\n': ['¥350起'], '【6人内·轻奢团】青岛崂山一日游·仰口/赶海/沙滩+青山渔村\n\n': ['¥18起']}",,1
八大关Badaguan,http://travel.qunar.com/p-oi710128-badaguan,"

地址:
青岛市市南区汇泉角东北部（正阳关路南北两侧街区）


电话:
0532-82885943

",八大关是青岛市区南部相交错的十几条马路的总称，它们大多取名于我国知名关隘的名称。这里环境清幽，春季有碧桃盛开、夏季有紫薇盛放，秋季可见银杏红枫夹道，还坐落着许多各国风格的别墅，是摄影胜地。在这里，你可以进入欧洲古堡风格的“花石楼”参观、登上楼顶遥望大海，或者外观开国元帅住过的日式洋楼“元帅楼”、流传着唯美爱情故事的丹麦建筑“公主楼”等经典别墅，让你仿佛身处欧洲的某个角落。在这里一直往南可走到海边，即是沙细水清的第二海水浴场，是夏季的游泳好去处。海滩与八大关相互映衬，形成青岛典型的“红瓦绿树、碧海蓝天”的特色景观而成为这座城市的必游之地。名称由来“八大关”起初是指这里以我国知名关隘命名的八条道路（韶关路、宁武关路、紫荆关路、武胜关路、嘉峪关路、正阳关路、居庸关路、山海关路），后来此称呼成了泛指，还包括了后来增加的函谷关路、临淮关路，以及荣成路、正阳关一支路、正阳关二支路、正阳关三支路、黄海路等道路组成的街区。别墅群八大关现有三百多座别墅，多为20世纪初中外政客富商所建，现今成了单位疗养院和政府机构驻地，也有不少是私人餐饮、美容、健身商铺。花石楼便是这里典型的建筑风格，元帅楼、公主楼、八大关小礼堂、贵宾楼、钓鱼台等也是较有名的建筑。观赏花木八大关的各条街道栽植了各种不同的树木，各成一景：春季的韶关路碧桃盛开、夏季的正阳关路紫薇盛放、秋季的嘉峪关路五角枫甚美、紫荆关路成排的雪松则四季常青。另外还有山海关路的法桐、居庸关路的银杏、宁武关路的海棠、临淮关路的龙柏等。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/391071d8bc86f56fd3ba80da864560f9.jpg_480x360x95_fd099c4c.jpg,4.5,建议游览时间：1小时 - 3小时, 四季皆宜，除观赏建筑外，还可欣赏八大关四季美景，韶关路全植碧桃，春季开花，粉红如带；正阳关路遍种紫薇，夏天盛开；居庸关路是五角枫，秋季霜染枫红；紫荆关路两侧是成排的雪松，四季常青。 ,"{'八大关电子导览服务大小同价\n\n': ['¥5起'], '八大关风景区(含花石楼+公主楼)门票+预约服务+2小时人工讲解服务大小同价\n\n': ['¥108起'], '上门接含餐青岛啤酒博物馆+金沙滩+八大关+小鱼山纯玩一日游\n\n': ['¥197起']}",,1
第一海水浴场No. 1 Bathing Beach,http://travel.qunar.com/p-oi712043-diyihaishuiyuchang,"

地址:
青岛市市南区南海路15号(近汇泉湾广场王朝大酒店)


电话:
0532-82878020,0532-82963355,0532-82966117

",第一海水浴场建于1901年，是青岛较为老牌的城市海滩，它位于青岛市区南部。每年的七月至九月，第一海水浴场游人如织，人们在这里下海畅游，或是躺在沙滩上享受海风，还可坐水上摩托或快艇逐浪飞驰，享受夏日激爽。春、秋季的第一海水浴场虽不适合下水，却成为海滨散步赏景的好去处。你可以在这五百多米长的沙滩上与爱人齐肩缓行，呼吸着海边的宜人空气，还可在此拍摄山海相连的海滨美景和日落霞光。如果登上一旁的小鱼山，还可俯瞰整个浴场优美的的海岸弧线。而冬季的浴场则时常可见冬泳爱好者们的身影。,全天开放,https://img1.qunarzz.com/travel/d4/1610/ea/429828cd59992b5.jpg_480x360x95_4da9c92f.jpg,4.3,建议游览时间：1小时 - 3小时,7-9月最佳，内地酷暑难熬，青岛却凉爽宜人，是下水的好季节，来此避暑是再合适不过了。,"{'【青岛私家包车1日游】舒适出行·不赶时间·1单1团·不拼车\n\n': ['¥278起'], '【游艇·帆船包船出海】垂钓/观光/BBQ/唱K/专车上门接\n\n': ['¥78起'], '【海上体验项目】游艇/摩托挺/帆船/飞伞/潜水·专车上门接\n\n': ['¥78起']}",1. 海水浴场全年开放，下海游泳不收费。一般每年的7至9月最适合下海，但此时人山人海。在此期间，浴场提供寄存和冲水服务（需收费，每次约30元）。2. 第一海水浴场沙滩的沙质较粗、有小石子，赤脚走路比较硌脚，但游泳区域沙质还可以，有防鲨网。3. 浴场有一些海沟，如下海游泳需注意不要游得离岸太远，以及注意下午会开始涨潮。4. 浴场有快艇、水上摩托等活动，价格较贵且时间较短，如要乘坐请尽量还价。5. 该浴场紧邻市区，隔着南海路是汇泉广场，这一带有很多餐馆。,1
