名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
九龙川自然保护区,http://travel.qunar.com/p-oi705468-jiulongchuanziranbaohu,,九龙川自然保护区位于海城市接文镇境内，距市区50公里，总面积34平方公里，现有森林20000余亩，各类动物300余种，并覆有大量植被，自然资源风光独特，为辽宁省政府批准设立的省级自然保护区。,,https://img1.qunarzz.com/travel/d1/1505/dd/518f7525d8dd68.jpg_480x360x95_b3b83243.jpg,2.5,,,,,1
千山Qianshan (Qian Mountains) National Park,http://travel.qunar.com/p-oi711141-qianshan,"

地址:
鞍山市千山区千山东路79号


电话:
0412-5081116,0412-5081117


官网:
http://www.qianshanjingqu.com/

",千山南临渤海，北接长白山，是有名的道教胜地。因为这里由近千座形似莲花的奇峰组成而得名，自然风光十分秀丽。千山主要由仙人台国家森林公园、大佛景区、天上天景区、五佛顶景区等景区组成。千山的景点比较多，基本来此的游客以一日游为主，如果想要全部游完景区内精华景点的话，建议坐景区内电瓶车、徒步和缆车结合的方式游玩。进入山门便是一条林荫水泥大道，道路两旁满目翠绿，路上可以看到莲花石和生态绿道的景点，之后便可来到财神庙和无量观。无量观是一个小的道观，从这里开始需要沿着石阶，一路向上攀爬，沿途可以看到无量石、太极石及木鱼石。之后便到了一线天，此处非常狭窄，只能同时容纳一个人经过，走到尽头拉着铁链向上爬一小步便登上了天上天。这是一个小山脊，四周都是铁栏杆，很安全，但由于山脊面积不大，只可容纳十几名游客，所以登上之后需继续向前下山。继续向前来了七重天和九重天，这两处和之前一样，也是全部石阶，两旁栏杆。之后会经过天外天和佛手峰两个景点，再向上便到了五佛顶。爬到这里用时约3、4个小时，如果体力还可以的游客，可以在此沿百鸟园步行下山，体力不支的游客可以选择乘坐缆车下山。缆车下山后便有景区电瓶车可坐到大佛寺，从大佛寺开始一路向上可至千山弥勒大佛，这座大佛有着千年历史，值得观看的是大佛胸前一串天然形成的佛珠。之后从大佛步行至山脚下一路可参观龙泉寺、龙潭湖、圆通观和祖越寺，然后返回景区大门。,全年 06:00-18:00,https://img1.qunarzz.com/travel/d7/1705/5f/dabd4044f8221ab5.jpg_480x360x95_ce777214.jpg,4.7,建议游览时间：12小时 - 3天,春秋两季。春天山花烂漫，漫山好景色。秋天山上枫叶红，是难得一见的美景。,"{'鞍山千山门票成人票\n\n': ['¥59.9起'], '鞍山千山门票老人票\n\n': ['¥30起'], '鞍山千山门票优待票\n\n': ['¥30起']}",,1
玉佛苑Jade Buddha Garden,http://travel.qunar.com/p-oi703417-yufoyuan,"

地址:
鞍山市铁东区绿化街58号


电话:
0412-5552819,18041200166

",玉佛苑是鞍山市区东部玉佛山风景名胜区的核心景区，正门位于千山中路上，也可以穿过二一九公园后到达山门。玉佛苑建成于1996年，是一处有名的佛教文化景点，是祈福求愿的胜地。继续往里走可看到两侧的钟楼和鼓楼，钟楼内有一口1999年底铸的“世纪钟”，钟上镌有佛教经典《般若波罗蜜多心经》，钟声一响，可祈愿如意吉祥。重殿是舍利堂，由门楼、观光台、垂花门和舍利堂四部分组成。门楼的门洞口采用汉白玉浮雕，雕有54条龙和24只狮子。门楼正中间的垂花门上端悬挂“玉佛苑”九龙金匾。走过舍利堂，就看到了宏伟的玉佛阁，此阁也叫大雄宝殿，高33米、拥有58米的进深，规模之大在全国同类型建筑中较突出。山门北侧有经营各种玉器的旅游商店，可以看看，如果不懂货的话不建议购买。,全年 08:00-16:30,https://img1.qunarzz.com/travel/d2/1701/60/703d78fd3711c9b5.jpg_480x360x95_e93d658d.jpg,4.6,建议游览时间：2小时 - 3小时,,{'玉佛苑门票+讲解器导览服务成人票\n\n': ['¥30起']},,1
张学良出生地纪念馆Zhangxueliang Chushengde Memorial Hall,http://travel.qunar.com/p-oi712997-zhangxueliangchusheng,"

地址:
桓洞镇鄂家村张家窝堡屯


电话:
0412-4664205

",,9:00-22:00,https://img1.qunarzz.com/piao/fusion/1906/17/1b466eae01856702.jpg_480x360x95_b5538b69.jpg,0.0,,,具体收费情况以现场公示为主,,1
二一九公园Anshan 219 Park,http://travel.qunar.com/p-oi703967-eryijiugongyuan,,,,,,,,,,1
西平森林公园,http://travel.qunar.com/p-oi710346-xipingsenlingongyuan,,西平省级森林公园是辽河平原上不可多得的绿色资源，地处千山、医巫闾山的交通要道上。公园占地5400亩，苍松翠柏连绵不绝，碧水蓝天共成一色。园内生长百余种木本植物和多种野生动物，形成独特的野生生态环境。人工湖、狐狸洞、雁尾湖渔场、金色沙滩、了望塔等景观更是锦上添花，成为人们休闲、度假的理想场所。,,https://img1.qunarzz.com/travel/d4/1505/40/94179ae5449abb.jpg_480x360x95_1f37929d.jpg,4.0,,,,,1
海城白云山Baiyun Mountain of Haicheng,http://travel.qunar.com/p-oi716305-haichengbaiyunshan,"

地址:
辽宁省海城市孤山镇


电话:
0412-3740002

",白云山风景区位于辽宁省海城市东南部的孤山满族自治镇，距离海城市区45公里，总面积约23平方公里，2002年被评为国家2A级旅游区。全景区有山峰450座，海城境内的第一高峰——海拔876米的唐帽山就坐落在白云山景区中。,全年 07:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20193/8978c7cfcdae5a7047edc16f9230c22e.jpg_480x360x95_e16a0d24.jpg,4.3,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,1
清凉山,http://travel.qunar.com/p-oi707986-qingliangshan,"

地址:
鞍山市岫岩县

",清凉山——古时就是辽东名山，属于辽河群系隆起带。位于鞍山市岫岩县境内，距沈阳230公里。《岫岩县志》载：清凉山，其山摩天云中，一峰蜿蜒而下，树木葱郁，湿润凉爽，鸟语花香，为道家静修之地，故名清凉山。清凉山起于群峰之首，东临凤凰山，山高林密，具有良好的森林自然资源，全部为绿色植被覆盖。山脚下发源的大清凉河，河水清澈，常年不断。清凉山风景以石怪、水清、峰秀、松奇闻名，山中有唐代名将薛礼征东所留下的拦马墙、葬马石。还有老虎洞、石湖十八罗汉洞、观音阁、老...清凉山——古时就是辽东名山，属于辽河群系隆起带。位于鞍山市岫岩县境内，距沈阳230公里。《岫岩县志》载：清凉山，其山摩天云中，一峰蜿蜒而下，树木葱郁，湿润凉爽，鸟语花香，为道家静修之地，故名清凉山。清凉山起于群峰之首，东临凤凰山，山高林密，具有良好的森林自然资源，全部为绿色植被覆盖。山脚下发源的大清凉河，河水清澈，常年不断。清凉山风景以石怪、水清、峰秀、松奇闻名，山中有唐代名将薛礼征东所留下的拦马墙、葬马石。还有老虎洞、石湖十八罗汉洞、观音阁、老君堂等文物古迹。洞中有洞，石花、石笋、石林，自然造化，姿态各异，巧夺天工。泉水中有娃娃鱼、林蛙。还有千年冰洞，从未开化。千年古松、辽代古塔。天然丁香林、天女木兰花、杜鹃花以及漫山的映山红争奇斗艳，令人心旷神怡。如今，瀑布水清涧底，山野碧绿，还是狩猎的好地方，山鸡、野兔很多。,8：00-18：00,https://img1.qunarzz.com/travel/d7/1505/26/3cf6419afa7e26.jpg_480x360x95_13c2c039.jpg,4.0,,,10元,,1
玉佛山景区Anshan Yufo Mountain,http://travel.qunar.com/p-oi708848-yufoshanjingqu,"

地址:
鞍山市铁东区千山中路1-1号


电话:
0412-5533425

",,全年 8:30-17:30,,4.6,建议游览时间：3小时,,具体收费情况以现场公示为主,,1
罗汉圣地,http://travel.qunar.com/p-oi714259-luohanshengdi,"

地址:
中国辽宁省鞍山二一九公园湖畔

","座落于辽宁鞍山""二一九""公园湖畔，东山风景区内。与著名的玉佛苑合璧为一处，构成完整的佛教文化场所，又是一处综合性旅游场所。其外部环境以古代建筑、古典园林为主体，整个布局雄伟壮观、气势恢宏，亭、台、楼、阁、殿、宇错落有致，金壁生辉。园林中春兰、夏蝉、秋菊、冬雪四季景异，与佛教文化、艺术相交融；拜祭台上矗立着6.19米的露天滴水观音创东北之最。每天香烟缭绕，会让您流连忘返，如置身于净土之中。全长近千米的罗汉洞内，五百罗汉栩栩如生，神态各异，填补东北佛文化空...座落于辽宁鞍山""二一九""公园湖畔，东山风景区内。与著名的玉佛苑合璧为一处，构成完整的佛教文化场所，又是一处综合性旅游场所。其外部环境以古代建筑、古典园林为主体，整个布局雄伟壮观、气势恢宏，亭、台、楼、阁、殿、宇错落有致，金壁生辉。园林中春兰、夏蝉、秋菊、冬雪四季景异，与佛教文化、艺术相交融；拜祭台上矗立着6.19米的露天滴水观音创东北之最。每天香烟缭绕，会让您流连忘返，如置身于净土之中。全长近千米的罗汉洞内，五百罗汉栩栩如生，神态各异，填补东北佛文化空白；全长873米的《五百罗汉图》又创世界之最；济公膳圆楼，精心烹制历代皇室、民间、寺院传统斋膳精品，为东北地区所独有。",7：30-18：30,,0.0,,,包含于玉佛苑门票内,,1
小孤山人类遗址,http://travel.qunar.com/p-oi702762-xiaogushanrenleiyizhi,,"又称“仙人洞”。座落鞍山海城东南45公里处，是天然石洞。洞口宽敞，洞宽4.9米，纵深22.5米。洞门上方刻有""王洞""二字，据查是明万历年间所立。洞中挖掘出旧石器时代晚期与新石器时代文化遗迹和遗物，距今约4万年至1万年，与北京周口店山顶洞人文化相似，填补了鞍山地区旧石器时代文化空白。",,,--,,,,,2
西柳老栓动物园Xiliulaoshuan Zoo,http://travel.qunar.com/p-oi714792-xiliulaoshuandongwuyuan,"

地址:
辽宁省鞍山市海城市黄金走廊 ‎

",西柳老栓动物园1998年9月，老栓动物园正式动工兴建，经过一年多紧张的建设和筹备，占地1800平方米、投资197万元的动物园一期工程全部竣工投入使用。,8：00—18：30,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1552080204221100t12000000rqcy26E05_D_640_10000.jpg_480x360x95_68a2c218.jpg,4.4,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
