名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
丹霞山Mount Danxia,http://travel.qunar.com/p-oi714799-danxiashan,"

地址:
韶关市仁化县106国道


电话:
0751-6296988


官网:
http://www.tourdxs.com/

",丹霞山也被称为中国红石公园，位于韶关市仁化县和浈江区境内，是广东省面积较大的以丹霞地貌景观为主的风景区。它与鼎湖山、罗浮山、西樵山合称为广东四大名山。每年11月底到12月左右，丹霞山成片的枫树会挂满红枫，与丹崖赤壁相映生辉，别具一番风韵。丹霞山是科学之山和文化之山。它由多座顶平、身陡、麓缓的红色砂砾岩构成，是全世界1200处丹霞地貌中类型齐全、造型独特、景色优美、地质地貌十分典型的地区，所以也称之为“露天的地质博物馆”。同时景区内拥有世界上罕见的貌似神凝的阳元石、阴元石、双乳石、睡美人等景点，又使丹霞山有“天然的性文化博物馆”之称。此外，丹霞山还有悠久、丰厚的历史文化内涵，以及丰富多彩的人文特点，拥有舜帝南巡奏韶乐、女娲造人补天等许多美丽动人的传说故事。景区拥有众多摩崖石刻和碑刻、80多处神奇的古山寨和岩庙、锦石岩的尼姑庵和广东十大禅林之一的别传禅寺，以及神秘的悬棺葬和岩棺葬，都具有较大的历史文化价值，既是珍贵的文化遗产，又是重要的旅游资源。,24小时开放。外山门票务中心、长老峰票站24小时对外售票，阳元石票站、宝珠峰票站、锦江票站售票时间为8:30-17:20。,https://youimg1.c-ctrip.com/target/fd/tg/g6/M05/C1/4E/CggYtFc6hFWALVEeACwu7U08Euk765_C_300_300.jpg,4.6,建议游览时间：3天 - 6天,四季皆宜。,"{'丹霞山门票成人票\n\n': ['¥50起'], '水上丹霞游船票成人票\n\n': ['¥110起'], '丹霞山索道单程（上行）票成人票\n\n': ['¥39起']}",,1
南华禅寺Nanhua Temple,http://travel.qunar.com/p-oi703131-nanhuashansi,"

地址:
韶关市曲江区南华禅寺


电话:
0751-6501014,0751-6502258,0751-6502358

",南华寺坐落于广东省韶关市，曲江县马坝东南7公里的曹溪之畔，是中国佛教名寺之一，是禅宗六祖惠能宏扬“南宗禅法”的发源地。迈过高大雄伟的牌坊，就看见了古木护持下山门上的“曹溪”二字，这就到了“三门”。一进三门，便是“五香亭”与放生池，池中许多乌龟在悠哉地游动。穿过小巧别致的“五香亭”和放生池，可望见二门门楣上“宝林道场”四个大字匾额。门的两旁有“东粤第一宝刹，禅宗不二法门”的对联。二门内建有壮观的天王殿，殿内供奉弥勒佛，两侧为四大天王塑像。天王殿的背后都有韦驮像。南天王殿背后为一处布置精巧的小花园，园内东西两边有钟楼、鼓楼。再往后走，北面丹墀大雄宝殿，大殿正中供奉释迦牟尼、药师、阿弥陀佛。大殿之中墙壁上雕刻有五百罗汉像，往后走，三世佛背面一金身观音菩萨手托净瓶。大殿后面是藏经阁和灵照塔，其后就是祖殿，六祖慧能的真身放置于内。走出殿门，过了伏虎亭和飞锡桥，上台阶，走进写着“天下宝林”石门，便是卓锡泉，可在这里洗洗手，喝喝泉水。卓锡泉西行，不远处就是虚云老和尚纪念堂，上有对联写，“参见祖师必须空心无我，来到佛地总是宿世有缘”。 继续西行，约百米，是虚云老和尚的舍利塔。礼拜之后，绕塔一周，记载的是虚云老和尚的生平事迹。继续前行，便走到无尽庵，过了尼姑庵后又回到了曹溪门内。,全年 09:00-17:00,https://img1.qunarzz.com/travel/d6/1510/df/e43d643e2c3857.jpg_480x360x95_78a00e59.jpg,4.6,建议游览时间：2小时 - 3小时,四季皆宜，每年农历二月初八六祖慧能诞辰日有“南华诞”庙会活动，可前往参加。,具体收费情况以现场公示为主,,1
南水水库,http://travel.qunar.com/p-oi711084-nanshuishuiku,,,,https://img1.qunarzz.com/travel/poi/201408/13/fde295b50e8a4e92c8d65eac.jpg_480x360x95_54de1731.jpg,3.0,,韶关属中亚热带湿润型季风气候区，一年四季均受季风影响。光照充足，雨量充沛，气候宜人。年平均气温18-21℃，最佳出游时间在春秋两季。,免费,,1
通天箩Tongtianluo Forest Park,http://travel.qunar.com/p-oi714048-tongtianluo,"

地址:
韶关市乳源瑶族自治县X327

",通天箩地下森林与南岭国家森林公园相邻，距京珠高速公路大桥出口16千米，属岩溶地貌，它的特点是它所形成的山地相对来讲都比较平缓，海拔在600-800米之间，岩石奇特，保水性差。通天箩在地质学上叫漏斗，是由于溶洞陷塌或地表水流入地下溶蚀而成。通天箩垂直凹入地下90米，洞口直径73米，底部较大直径140米，箩底周长450米，地形似一口锅，周边高，中间低，在洞底生长有不少参天树木，针叶树和阔叶树长得又瘦又高，许多树的直径只有20厘米左右，但高度却有30多米。乔木下生长着耐荫的低矮灌木丛，地表上又覆盖了一层草本植物，堪称世界奇观。,全年 7:30-18:00,,3.3,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
南岭国家森林公园Nanling National Forest Park,http://travel.qunar.com/p-oi702092-nanlingguojiasenlingong,"

地址:
韶关市乳源瑶族自治县五指山


电话:
0751-5232038

",南岭国家森林公园位于广东省北部，处于南岭山脉的偏南地带。这里地域广阔、气候独特，拥有洁净的空气和水源，存留着很大的原始森林，景区内还坐落着海拔1902米的石坑崆，被誉为“广东屋脊”。南岭国家森林公园四季皆宜游玩，公园分为小黄山、瀑布群、亲水谷、石坑崆四大景区。这里春季鲜花含笑，鸟鸣山涧；夏季浓荫蔽日，清溪长流；秋季漫山遍野，红叶斑斓；冬季雾凇冰凌，恍若北国风光。,全年 8:00-18:00,https://img1.qunarzz.com/travel/d7/1505/cc/2fe801d896b09.jpg_480x360x95_9afa746a.jpg,4.6,建议游览时间：3天,,{'南岭国家森林公园电子讲解导览服务成人票\n\n': ['¥9起']},,1
广东大峡谷Guangdong Great Canyon,http://travel.qunar.com/p-oi711278-guangdongdaxiagu,"

地址:
广东省韶关市乳源瑶族自治县大布镇


电话:
0751-6831888

",广东大峡谷又叫乳源大峡谷，位于韶关市乳源瑶族自治县西南68公里的大布镇。峡谷长达15公里，谷深300多米，在2005年“寻找广东最美的地方”活动中，它被评选为“广东最美丽的峡谷”。 如果喜欢徒步，或者想欣赏下大地的巨大裂痕，这里会是你钟爱的场所。一般行程从谷口广场开始，售票处就位于广场上，广场上也有卖饮料和食品的小店。建议自己带好干粮和水出行，因为一直走到谷底都没有补给处，只有到水电站才有一个小店。景区有详细的导览图，你可以自行选择自己想要走的路线，路线实际很多样，推荐的走法是 “谷口广场-生态观景步道-一线天入口-一线天景区-水卷寨景区-风车门-谷底游客服务点-通天梯-南门游客服务区-千米游廊-谷口广场”如上行程，整个走下来大约3个半小时左右，这条线路能够看到最全面的景色，而且在徒步线路里算比较节省体力的。体力差的人群或者有老人家出行的，可以考虑休闲路线，比如“谷口广场-生态观景步道-一线天入口，大约2km的路程，约60分钟可以走完。其它路线可以参考以下官网链接：http://www.daxiagu.cc/page/html/?122.html峡谷的自然环境真的很美，这里有杜鹃花也有苍松的翠竹，这里有遮天蔽日的植物们和散落在周遭的不知名野花。沿路可以看见小瀑布也有很多小型的水潭，水质很是清澈，就是这样幽静和原始的山谷。在这里漫步，呼吸新鲜空气欣赏美景，一切都显得很是美好。 除了自然风光，景区的景点中，比较有意思的是通天梯。从悬崖一侧的小路沿台阶向下，三百多米的悬崖上布着一千三百多级的台阶，相当于从86层楼往下爬，挺有意思的。另外，景区门票包括了一个高空杂技的表演。在谷底，生态步道，半山腰等处，都可以看到表演。表演前会有音乐声响起，可以稍加注意。高空的杂技非常的精彩，还是蛮值得一看的。,暂停营业，具体开放时间以景区公告为准或电话咨询景区。原开放时间为：8:00-17:00,https://img1.qunarzz.com/travel/d5/1611/56/a0a3ec8220e12bb5.jpg_480x360x95_599c9138.jpg,4.6,建议游览时间：12小时,年平均气温18-21℃，最佳出游时间在春秋两季。,"{'广东大峡谷门票成人票\n\n': ['¥54.8起'], '广东大峡谷门票优待票\n\n': ['¥35起'], '广东大峡谷门票双人票\n\n': ['¥110起']}",美食大布番薯干（冬季），白豆腐，爆炒坑螺、龙归冷水肚、炒酸笋、冬菇、马坝油粘米、白毛茶。推荐：丽宫果园度假村：由多栋小别墅组成，由于刚建成不久，度假酒店内的绿化还不够好。但走在度假区小径上，还是可以看到日后的漂亮景观。除了住宿，这里也还提供美食。餐厅比较大，可以在这里点上几道特色菜。[2] 乳源河边美食街：乳源美食街位于乳源县城，离乳源大峡谷有一定的距离。这里囊括着各种各样的美食，有川菜、湘菜、海鲜、砂锅粥，而且档次也不一，可根据自身喜好来选择。同时，这里还有夜宵摊子。其他：出大峡谷往大布镇沿途，有几家农家乐，以农家菜为主打，价格不算贵各类信息1）住宿：在景区内设有二星标准客房，景区可以帮助代订；也可以在乳源县城住宿，当前乳源县城有三星以上的星级酒店4家。2）餐饮：景区内设有茶园餐厅，以淮扬菜、客家风味及大布镇当地风味为主。3）购物：景区内和大布镇均有购物场所，礼品有大布五彩石、水晶石，土特产以大布豆腐、大布腐竹、番薯干、荷兰豆、花生、竹笋等农产品为主。4）民俗：大布人有赶圩的习俗，每月逢5或10的倍数为圩日。,1
阳元山Yangyuan Mountain,http://travel.qunar.com/p-oi708763-yangyuanshan,"

地址:
韶关市仁化县丹霞山风景区内


电话:
0751-6291683,0751-6296988,0751-6291630

",阳元山与丹霞山主山（长老峰）隔河相望，因有天下奇景阳元石而得名。这里的山石不论大小，均构成奇特的地貌造型，主要景点南有阳元石、北有坤元山（玉女拦江），一阳一阴遥相对应。从阳元石背后经云崖栈道可上至阳元山顶的嘉遁亭，然后从西端的细美寨经九九天梯下山可以观赏到玄机台和天罡桥，还可见到通泰桥、海豹石、混元洞等美丽景观。,全年 6:00-18:00,https://img1.qunarzz.com/travel/d8/1603/3f/cbacf79d4a057ef7.jpg_480x360x95_0dc6cab6.jpg,4.6,建议游览时间：1小时 - 2小时,,,,1
风采楼Fengcai Building,http://travel.qunar.com/p-oi704445-fengcailou,"

地址:
韶关市浈江区风采路34号


电话:
0751-8323456

",位于韶关市区，西望武水，东临浈江，是明代宏治年间韶州知府钱镛为纪念北宋名臣余靖而建，屡经重修。因余靖有“更加丰采动朝端”之誉，故名丰采楼。明代学者陈白沙所书“风采楼”墨迹柔韧苍劲、潇洒俊逸，镌刻成石匾高挂门楼。风采楼高约22米，楼体重檐碧瓦，顶为三重飞檐翘角，正中有华饰小圆顶。整座建筑物雄伟独特，气势轩昂，是韶关市的标记建筑，现为韶关市博物馆。,全年 全天开放,https://img1.qunarzz.com/travel/d6/1706/10/11055c289bce46b5.jpg_480x360x95_b682276b.jpg,4.2,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
长老峰Zhanglao Peak,http://travel.qunar.com/p-oi7642412-zhanglaofeng,"

地址:
韶关市仁化县丹霞山长老峰


电话:
0751-6296988

",  长老峰景区海拔约400多米，它与众多名山相比远不算高，也不算大，但它集黄山之奇、华山之险、桂林之秀一身，具有一险、二奇、三美的特点。风景区划分为上、中、下三层，上层是三峰耸峙；中层以别传寺为主体；下层以锦石岩为核心。三百多年前澹归和尚在丹霞山开辟别传寺时，曾挑出12处风景，命名丹霞十二景：锦水滩声、玉台爽气、杰阁晨钟、丹梯铁索、舵石朝曦、竹坡烟雨、双沼碧荷、累顶浮图、虹桥拥翠、片鳞秋月等。,6:00-天黑,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/1d130c641ec710d591bc6bd1ea93e696.jpg_480x360x95_d25e9c46.jpg,4.4,建议游览时间：5小时 - 6小时,,包含于丹霞山风景名胜区景区门票内，通用于丹霞山风景名胜区景区门票。,,1
云门寺Yunmen Temple,http://travel.qunar.com/p-oi708899-yunmensi,"

地址:
韶关市乳源县县城东北6公里慈雪峰下


电话:
0751-5382757,0751-5384697

",云门寺全称云门山大觉禅寺，是我国佛教禅宗五大支派之一的云门宗的发祥地，其间所创的云门佛学院也是韶关仅次于南华寺的佛学研究胜地。寺庙大约建于公元923年前后，由云门宗的文偃禅师所建，历史十分悠久。云门寺整座建筑物庄严而淡雅，具有岭南清秀风格，寺庙虽然地处偏僻，但前有观音山，后有桂花潭，灿烂风光无限，占尽灵秀之气，千余年来依然香火鼎盛，信徒人流如织，寺内至今保留着一批珍贵的文物。,全年 09:00-16:00,https://img1.qunarzz.com/travel/d5/1505/a1/35c2d0db739a18.jpg_480x360x95_49c03d89.jpg,4.6,建议游览时间：2小时 - 3小时,,{'云门寺电子导览服务大小同价\n\n': ['¥9起']},,1
